Accession no.	Symbol	Gene name	Fold change	Function	Expression
AF058799	Ywhag	3-Monooxygenase/tryptophan 5-monooxygenase activation protein ? polypeptide	2	Platelet function vasoconstriction	Up-regulated
M21247	Ucp1	Uncoupling protein 1	2.9	Metabolism	Up-regulated
AB033887	Acsl4	Acyl-CoA synthetase long-chain family member 4	2.3	Metabolism	Up-regulated
AI527354	Aldob	Fructose-biphosphate aldolase B	2.2	Metabolism	Up-regulated
AW125284	Prei4	Preimplantation protein 4	2.2	Metabolism	Up-regulated
AF033381	BHMT	Betaine homocysteine methyl transferase	2	Metabolism	Up-regulated
AI844043	Etfdh	Electron transferring flavoprotein, dehydrogenase	2	Metabolism	Up-regulated
AV294412	Rpl24	Similar to ribosomal protein L24	4.7	Translation, protein modification	Up-regulated
AW124988	Apobec2	Apolipoprotein B editing complex 2	2.2	Translation, protein modification	Up-regulated
AI507524	2310032M22Rik	Similar to polybromo 1 protein	2.1	Translation, protein modification	Up-regulated
AA656621	Mkrn1	Makorin, ring finger protein 1	2.1	Translation, protein modification	Up-regulated
AA791742	Actr2	ARP2 actin-related protein 2 homologue	2.2	Cell motility, cytoskeleton, and membrane associated	Up-regulated
AI841387	Cgi-83-pending	Similar to chicken actin-like protein	2.2	Cell motility, cytoskeleton, and membrane associated	Up-regulated
AF036893	Per2	Circadian clock protein	2.1	Circadian rhythm	Up-regulated
D10204	Ptger3	Prostaglandin E receptor 3 (subtype EP3)	2	Signal transduction	Up-regulated
AV303514	Pip5k2c	Phosphatidylinositol-4-phosphate 5-kinase, type II, ?	2.3	Signal transduction	Up-regulated
AB015595	Calcrl	Calcitonin receptor-like receptor precursor	2.2	Signal transduction	Up-regulated
M83219	S100a9	S100 calcium binding protein A9	2.4	Signal transduction	Up-regulated
M83218	S100a8	S100 calcium binding protein A8	2.2	Signal transduction	Up-regulated
X04480	Igf1	Insulin-like growth factor I	2	Signal transduction	Up-regulated
D00613	Mglap	Matrix Gla protein	2.9	Extacellular matrix	Up-regulated
AI841410	Tax1bp1	Tax1 (human T-cell leukemia virus type I) binding protein 1	2.2	Viral related	Up-regulated
U69488	G7e	Viral envelope like protein	2.1	Viral related	Up-regulated
AB019601	Casp9	Caspase-9	2	Apoptosis	Up-regulated
AW047207	1810037I17Rik	Hypothetical protein XP_885366	2.4	Miscellaneous	Up-regulated
AI844396	3110038L01Rik	NA	2.1	Miscellaneous	Up-regulated
AI97337	6230416J20Rik	NA	2	Miscellaneous	Up-regulated
X53451	Gstp2	Glutathione S-transferase P2	?100	Redox homeostasis	Down-regulated
AW125272	Dynlt1	Dynein light chain Tctex-type 1	?5	Cell motility, cytoskeleton, and membrane associated	Down-regulated
U21673	Tcte3	T-complex–associated testis expressed 3	?3.3	Cell motility, cytoskeleton, and membrane associated	Down-regulated
AW061330	Emb	Embigin	?3.3	Cell motility, cytoskeleton, and membrane associated	Down-regulated
M91602	Myl2	Myosin, light polypeptide 2	?3.3	Cell motility, cytoskeleton, and membrane associated	Down-regulated
AF085696	Kcnj15	K+ inwardly rectifying channel, subfamily J, member 15	?3.3	Ion transport	Down-regulated
AI849615	Gas5	Growth arrest specific 5	?3.3	Cell cycle	Down-regulated
AB024005	Zfp68	Zinc finger protein 68	?2.5	Signal transduction and transcription	Down-regulated
M16358	Mup4	Major urinary protein 4	?2.5	Transport	Down-regulated
AI842667	Ctsc	Cathepsin C	?2.5	Proteolysis	Down-regulated
AV212241	Oaz1	Ornithine decarboxylase antizyme	?2.9	Metabolism	Down-regulated
AI482454	NA	Soares_mammary_gland_NbMMG	?3.7	Immune system	Down-regulated
AA914734	D4Wsu24e	Soares_mammary_gland_NbMMG	?2.5	Immune system	Down-regulated
AW125086	4833420G17Rik	NA	?2.3	Immune system	Down-regulated
