Gene symbol	Chromosomal location	Gene description	Cell line	Fold change
BMP2K	4q21.21	BMP2 inducible kinase	MM1	12.7
BRWD1	21q22.2	bromodomain and WD repeat domain containing 1	NCI-H929	7.8
C10orf56	10q22.3	chromosome 10 open reading frame 56	U266	4.8
C11orf9	11q12-q13.1	chromosome 11 open reading frame 9	MM1	5.1
C16orf53	16p11.2	chromosome 16 open reading frame 53	MM1	6.2
C19orf27	19p13.3	chromosome 19 open reading frame 27	NCI-H929	14.9
C19orf28	19p13.3	chromosome 19 open reading frame 28	U266	7.2
C19orf6	19p13.3	chromosome 19 open reading frame 6	NCI-H929	10
C3F	12p13	putative protein similar to nessy (Drosophila)	U266	10.7
C9orf16	9q34.1	chromosome 9 open reading frame 16	NCI-H929	6.9
CACNA1G	17q22	calcium channel, voltage-dependent, alpha 1G subunit	NCI-H929	8.6
CALCOCO1	12q13.13	calcium binding and coiled-coil domain 1	NCI-H929	7.2
CAMTA1	1p36.31-p36.23	calmodulin binding transcription activator 1	U266	10
CCHCR1	6p21.3	coiled-coil alpha-helical rod protein 1	NCI-H929	4.8
CCNF	16p13.3	cyclin F	MM1	17
CD9	12p13.3	CD9 antigen (p24)	U266	9.3
CDC20	1p34.1	CDC20 cell division cycle 20 homolog (S. cerevisiae)	MM1	6.4
CDC34	19p13.3	cell division cycle 34	NCI-H929	6.5
CDC37	19p13.2	CDC37 cell division cycle 37 homolog (S. cerevisiae)	NCI-H929	9.4
CDK10	16q24	cyclin-dependent kinase (CDC2-like) 10	NCI-H929	12.2
CDKL3	5q31	cyclin-dependent kinase-like 3	U266	9.5
CDKN1A	6p21.2	cyclin-dependent kinase inhibitor 1A (p21, Cip1)	NCI-H929	13.9
CDKN1C	11p15.5	cyclin-dependent kinase inhibitor 1C (p57, Kip2)	U266, NCI-H929	27.2, 8.2
CDKN2D	19p13	cyclin-dependent kinase inhibitor 2D (p19, inhibits CDK4)	NCI-H929	7
CENPE	4q24-q25	centromere protein E, 312kDa	MM1	5.8
CENPF	1q32-q41	centromere protein F, 350/400ka (mitosin)	MM1	6.2
CFH	1q32	complement factor H	NCI-H929	7.4
CGREF1	2p23.3	cell growth regulator with EF-hand domain 1	U266	7.5
CHCHD7	8q12.1	coiled-coil-helix-coiled-coil-helix domain containing 7	U266	5.3
CLPTM1	19q13.2-q13.3	cleft lip and palate associated transmembrane protein 1	NCI-H929	8.3
CLTC	17q11-qter	Clathrin, heavy polypeptide (Hc)	NCI-H929	6.7
CNAP1	12p13.3	chromosome condensation-related SMC-associated protein 1	MM1	5.7
COTL1	16q24.1	coactosin-like 1 (Dictyostelium)	U266	5.7
CPD	17p11.1-q11.2	carboxypeptidase D	NCI-H929	8.9
CRIP2	14q32.3	cysteine-rich protein 2	MM1, U266, NCI-H929	15.3, 9.0, 26.4
CRK	17p13.3	v-crk sarcoma virus CT10 oncogene homolog (avian)	U266	4.8
CSRP2	14q32.3	cysteine-rich protein 2	NCI-H929	26.4
CTTN	11q13	cortactin	U266	10.1
CXCL10	4q21	chemokine (C-X-C motif) ligand 10	NCI-H929	6.9
CYP1A1	15q22-q24	cytochrome P450, family 1, subfamily A, polypeptide 1	NCI-H929	8.8
CYP46A1	14q32.1	cytochrome P450, family 46, subfamily A, polypeptide 1	NCI-H929	8.3
DAPK3	19p13.3	death-associated protein kinase 3	NCI-H929	6.3
DBN1	5q35.3	drebrin 1	U266	8.2
DDAH2	6p21.3	dimethylarginine dimethylaminohydrolase 2	NCI-H929	19.5
DHRS2	14q11.2	dehydrogenase/reductase (SDR family) member 2	MM1, U266	10.5, 199.3
DLG7	14q22.3	discs, large homolog 7 (Drosophila)	MM1	6.2
DLX2	2q32	distal-less homeo box 2	U266	24.6
DNM2	19p13.2	dynamin 2	NCI-H929	5
DNM3	1q24.3	dynamin 3	NCI-H929	6.3
DOCK6	19p13.2	dedicator of cytokinesis 6	NCI-H929	5.6
DOCK9	13q32.3	dedicator of cytokinesis 9	U266	15.6
DPM3	1q22	dolichyl-phosphate mannosyltransferase polypeptide 3	NCI-H929	5.9
DRE1	3q27.1	DRE1 protein	NCI-H929	15.3
EFHC1	6p12.3	EF-hand domain (C-terminal) containing 1	NCI-H929	10.1
EHBP1L1	11q13.1	EH domain binding protein 1-like 1	NCI-H929	17.7
ENAH	1q42.12	enabled homolog (Drosophila)	U266	12.9
ENPP2	8q24.1	ectonucleotide pyrophosphatase/phosphodiesterase 2 (autotaxin)	MM1, NCI-H929	14.6, 24.2
EPAS1	2p21-p16	endothelial PAS domain protein 1	U266, NCI-H929	22.1, 12.8
EPLIN	12q13	epithelial protein lost in neoplasm beta	NCI-H929	6.5
FAM20C	7p22.3	Family with sequence similarity 20, member C	NCI-H929	4.6
FAM49A	2p24.3-p24.2	Family with sequence similarity 49, member A	U266	13
FDXR	17q24-q25	ferredoxin reductase	U266, NCI-H929	5.4, 7.7
FER	5q21	fer (fps/fes related) tyrosine kinase (phosphoprotein NCP94)	U266	6.1
FGFR4	5q35.1-qter	fibroblast growth factor receptor 4	NCI-H929	15
FHL1	Xq26	four and a half LIM domains 1	U266	8.1
FLJ10178	Xq22.3	hypothetical protein FLJ10178	U266	47.7
FLJ10415	2q35	hypothetical protein FLJ10415	U266	23.3
FLJ12584	2q37.1	melanoma/melanocyte specific protein KU-MEL-1	MM1	11.4
FLJ23049	3q26.1	hypothetical protein FLJ23049	NCI-H929	4.6
FN1	2q34	fibronectin 1	MM1, U266, NCI-H929	52.4, 57.6, 59.9
FSCN1	7p22	fascin homolog 1, actin-bundling protein (Strongylocentrotus purpuratus)	MM1, U266, NCI-H929	32.5, 75.8, 49.6
FTCD	21q22.3	formiminotransferase cyclodeaminase	U266	11.6
FTL	19q13.3-q13.4	ferritin, light polypeptide	NCI-H929	6.4
G1P2	1p36.33	interferon, alpha-inducible protein (clone IFI-15K)	U266	6.7
G1P3	1p35	interferon, alpha-inducible protein (clone IFI-6-16)	MM1	7.8
G6PD	Xq28	glucose-6-phosphate dehydrogenase	MM1, NCI-H929	16.9, 12.9
GAGE2	Xp11.23	G antigen 2	U266	19
GAGE3	Xp11.4-p11.2	G antigen 3	U266	7.9
GAGE4	Xp11.4-p11.2	G antigen 4	U266	5.9
GAGE5	Xp11.4-p11.2	G antigen 5	U266	5.9
GATA4	8p23.1-p22	GATA binding protein 4	U266	5.7
GLCE	15q23	glucuronyl C5-epimerase	U266	8.2
GM2A	5q31.3-q33.1	GM2 ganglioside activator	MM1	21.3
GMPR	6p23	guanosine monophosphate reductase	U266	6.1
GNS	12q14	glucosamine (N-acetyl)-6-sulfatase (Sanfilippo disease IIID)	NCI-H929	13.4
GPAA1	8q24.3	GPAA1P anchor attachment protein 1 homolog (yeast)	NCI-H929	7.3
GPM6A	4q34	glycoprotein M6A	MM1, NCI-H929	18.6, 14.5
GPSM2	1p13.3	G-protein signalling modulator 2 (AGS3-like, C. elegans)	MM1	7.8
GRN	17q21.32	granulin	NCI-H929	12.8
GSDML	17q21.1	Gasdermin-like	U266	14.2
GSN	9q33	gelsolin (amyloidosis, Finnish type)	NCI-H929	5.6
GSTM4	1p13.3	glutathione S-transferase M4	MM1	9.8
H1F0	22q13.1	H1 histone family, member 0	MM1, U266, NCI-H929	31.6, 13.7, 49.3
H1FX	3q21.3	H1 histone family, member X	NCI-H929	7.5
H2AFJ	12p12	H2A histone family, member J	U266	5.3
H2AFV	7p13	H2A histone family, member V	MM1	5.4
H2AFY	5q31.3-q32	H2A histone family, member Y	NCI-H929	7.3
H3F3B	17q25	H3 histone, family 3B (H3.3B)	U266	10.8
HBA1	16p13.3	hemoglobin, alpha 1	MM1, U266, NCI-H929	37.0, 11.4, 27.5
HBA2	16p13.3	hemoglobin, alpha 2	MM1, U266, NCI-H929	25.2, 35.0, 70.2
HCFC1R1	16p13.3	host cell factor C1 regulator 1 (XPO1 dependant)	NCI-H929	7.9
HDAC3	5q31	histone deacetylase 3	NCI-H929	4.8
HERC1	15q22	hect (homologous to the E6-AP (UBE3A) carboxyl terminus) domain and RCC1 (CHC1)-like domain (RLD) 1	NCI-H929	4.8
HES1	3q28-q29	hairy and enhancer of split 1, (Drosophila)	U266	14.3
HHLA3	1p31.1	HERV-H LTR-associating 3	NCI-H929	6.4
HIST1H2AC	6p21.3	histone 1, H2ac	U266	8.4
HIST1H2AE	6p22.2-p21.1	histone 1, H2ae	NCI-H929	21.4
HIST1H2AG	6p22.1	histone 1, H2ag	U266	11
HIST1H2AI	6p22-p21.3	histone 1, H2ai	U266	8
HIST1H2AJ	6p22-p21.3	histone 1, H2aj	U266	7.3
HIST1H2AM	6p22-p21.3	Histone 1, H2am	U266	12.1
HIST1H2BG	6p21.3	histone 1, H2bg	U266, NCI-H929	6.5, 6.7
HIST1H3B	6p21.3	histone 1, H3b	U266	7.9
HIST1H3D	6p21.3	histone 1, H3d	U266	29.5
HIST1H3H	6p22-p21.3	histone 1, H3h	U266	11.8
HIST1H3J	6p22-p21.3	Histone 1, H3j	U266	8.8
HIST1H4H	6p21.3	histone 1, H4h	U266	5.2
HIST1H4I	6p21.33	histone 1, H4i	U266	8.1
HIST1H4K	6p22-p21.3	histone 1, H4k	U266	10.1
HIST2H2AA	1q21.2	histone 2, H2aa	U266, NCI-H929	5.4, 24.3
HIST2H2BE	1q21-q23	histone 2, H2be	U266	6.6
HIST3H2A	1q42.13	histone 3, H2a	U266	12.8
HLA-DPA1	6p21.3	major histocompatibility complex, class II, DP alpha 1	MM1	12.8
HLA-DPB1	6p21.3	major histocompatibility complex, class II, DP beta 1	MM1	6.3
HLA-DRB1	6p21.3	major histocompatibility complex, class II, DR beta 1	MM1	6.5
HLA-DRB4	6p21.3	major histocompatibility complex, class II	MM1	41.7
HMG20B	19p13.3	high-mobility group 20B	NCI-H929	5.7
HPSE	4q21.3	heparanase	NCI-H929	16
HSPA2	14q24.1	heat shock 70kDa protein 2	NCI-H929	5.3
HUMPPA	17q25.1	paraneoplastic antigen	U266	7.6
ID2	2p25	inhibitor of DNA binding 2, dominant negative helix-loop-helix protein	U266, NCI-H929	4.7, 5.3
IDI1	10p15.3	isopentenyl-diphosphate delta isomerase 1	U266	5.7
IFIT1	10q25-q26	interferon-induced protein with tetratricopeptide repeats 1	MM1	15.5
IGSF4C	19q13.31	immunoglobulin superfamily, member 4C	NCI-H929	66.1
IL13RA1	Xq24	interleukin 13 receptor, alpha 1	U266	11.8
ING1	13q34	inhibitor of growth family, member 1	U266	5.5
ITGA6	2q31.1	integrin, alpha 6	U266	10.6
ITGA7	12q13	integrin, alpha 7	MM1, U266, NCI-H929	36.0, 7.0, 59.7
JAG2	14q32	jagged 2	U266	9.6
JARID1B	1q32.1	Jumonji, AT rich interactive domain 1B (RBP2-like)	NCI-H929	6.2
JUNB	19p13.2	jun B proto-oncogene	NCI-H929	8.7
JUP	17q21	junction plakoglobin	U266	7.9
KATNB1	16q13	katanin p80 (WD repeat containing) subunit B 1	NCI-H929	14
KHK	2p23.3-p23.2	ketohexokinase (fructokinase)	NCI-H929	10
KIAA0738	7q34-q35	KIAA0738 gene product	U266	5.5
KIAA0913	10q22.2	KIAA0913	NCI-H929	45.5
KIAA1109	4q27	KIAA1109	U266	6
KIAA1598	10q25.3	KIAA1598	U266	5
KIF4A	Xq13.1	kinesin family member 4A	MM1	7.4
KLF2	19p13.13-p13.11	Kruppel-like factor 2 (lung)	NCI-H929	5.7
L1CAM	Xq28	L1 cell adhesion molecule	MM1, NCI-H929	11.7, 9.9
LAMP3	3q26.3-q27	lysosomal-associated membrane protein 3	NCI-H929	5.7
LLGL2	17q24-q25	lethal giant larvae homolog 2 (Drosophila)	NCI-H929	6.5
LOC283412	12q22	similar to 60S ribosomal protein L29 (Cell surface heparin binding protein HIP)	U266	13.4
LONP	16q12.1	Peroxisomal lon protease	U266	8.2
LPPR2	19p13.2	lipid phosphate phosphatase-related protein type 2	NCI-H929	7.1
LRRC6	8q24.22	leucine rich repeat containing 6	NCI-H929	7.8
MAN1B1	9q34	mannosidase, alpha, class 1B, member 1	NCI-H929	7.7
MAOA	Xp11.4-p11.3	monoamine oxidase A	MM1	13.6
MAPK8IP1	11p12-p11.2	mitogen-activated protein kinase 8 interacting protein 1	U266	7.2
MAPKAPK2	1q32	mitogen-activated protein kinase-activated protein kinase 2	NCI-H929	5.6
MARCKSL1	1p35.1	MARCKS-like 1	MM1, U266	4.8, 5.4
MARK2	11q12-q13	MAP/microtubule affinity-regulating kinase 2	MM1	6.5
MBTD1	17q21.33	mbt domain containing 1	U266	6
MEF2C	5q14	MADS box transcription enhancer factor 2, polypeptide C (myocyte enhancer factor 2C)	MM1	6.9
MGC22265	5p14.3	Hypothetical protein MGC22265	NCI-H929	5.7
MGST3	1q23	microsomal glutathione S-transferase 3	MM1, NCI-H929	6.9, 14.2
MICAL-L2	7p22.3	MICAL-like 2	U266	14
MLF1	3q25.1	myeloid leukemia factor 1	NCI-H929	5
MSH5	6p21.3	mutS homolog 5 (E. coli)	NCI-H929	8.9
MSX1	4p16.3-p16.1	msh homeo box homolog 1 (Drosophila)	U266	9.1
MT1E	16q13	metallothionein 1E (functional)	MM1	7.4
MT1F	16q13	metallothionein 1F (functional)	MM1	19.3
MT1H	16q13	metallothionein 1H	MM1, NCI-H929	28.0, 8.6
MT1X	16q13	metallothionein 1X	MM1, U266	9.4, 4.8
MT2A	16q13	metallothionein 2A	MM1, NCI-H929	10.1, 11.0
MXRA7	17q25.1	matrix-remodelling associated 7	NCI-H929	5
MYO9B	19p13.1	myosin IXB	U266	5.3
NAALAD2	11q14.3-q21	N-acetylated alpha-linked acidic dipeptidase 2	U266	8.1
NCAM1	11q23.1	neural cell adhesion molecule 1	MM1, U266, NCI-H929	6.3, 7.2, 24.8
NCOA2	8q13.3	nuclear receptor coactivator 2	NCI-H929	10.6
NCOA3	20q12	nuclear receptor coactivator 3	NCI-H929	14.4
NEDD9	6p25-p24	neural precursor cell expressed, developmentally down-regulated 9	MM1	8.8
NEFL	8p21	neurofilament, light polypeptide 68kDa	U266	7.2
NEU1	6p21.3	sialidase 1 (lysosomal sialidase)	NCI-H929	7.9
N-PAC	16p13.3	cytokine-like nuclear factor n-pac	NCI-H929	5.6
NR4A2	2q22-q23	nuclear receptor subfamily 4, group A, member 2	U266, NCI-H929	10.8, 11.5
NRGN	11q24	neurogranin (protein kinase C substrate, RC3)	MM1	12.7
NRTN	19p13.3	neurturin	U266	7.6
NUDT11	Xp11.22	nudix (nucleoside diphosphate linked moiety X)-type motif 11	U266	13.3
PCSK1N	Xp11.23	proprotein convertase subtilisin/kexin type 1 inhibitor	NCI-H929	5
PDE4DIP	1q12	phosphodiesterase 4D interacting protein (myomegalin)	NCI-H929	5.1
PDGFRL	8p22-p21.3	platelet-derived growth factor receptor-like	MM1	9.1
PDLIM7	5q35.3	PDZ and LIM domain 7 (enigma)	NCI-H929	9.2
PEG10	7q21	paternally expressed 10	MM1, NCI-H929	10.9, 13.2
PFN2	3q25.1-q25.2	profilin 2	U266	7.4
PIGV	1p36.11	phosphatidylinositol glycan, class V	NCI-H929	10.9
PIK3CD	1p36.2	phosphoinositide-3-kinase, catalytic, delta polypeptide	MM1, NCI-H929	9.6, 5.2
PLD3	19q13.2	phospholipase D family, member 3	NCI-H929	8.5
PLEC1	8q24	plectin 1, intermediate filament binding protein 500kDa	U266	12.5
PLK2	5q12.1-q13.2	polo-like kinase 2 (Drosophila)	NCI-H929	13.1
PLXNA3	Xq28	plexin A3	NCI-H929	6.3
POR	7q11.2	P450 (cytochrome) oxidoreductase	NCI-H929	8.8
PPARD	6p21.2-p21.1	peroxisome proliferative activated receptor, delta	NCI-H929	12
PPL	16p13.3	periplakin	U266	37.4
PPM1E	17q23.2	protein phosphatase 1E (PP2C domain containing)	U266	12.7
PPP2R3B	Xp22.33; Yp11.3	protein phosphatase 2 (formerly 2A), regulatory subunit B, beta	U266	10.1
PRDX2	19p13.2	peroxiredoxin 2	MM1	11.1
PRKAR2B	7q22	protein kinase, cAMP-dependent, regulatory, type II, beta	U266	11.4
PRKCB1	16p11.2	Protein kinase C, beta 1	NCI-H929	9.8
ProSAPiP1	20p13	ProSAPiP1 protein	NCI-H929	8.4
PRPH	12q12-q13	peripherin	U266, NCI-H929	12.8, 12.1
PTENP1	9p21	phosphatase and tensin homolog (mutated in multiple advanced cancers 1), pseudogene 1	U266	5
PTGER4	5p13.1	prostaglandin E receptor 4 (subtype EP4)	MM1	6.3
PTTG1IP	21q22.3	pituitary tumor-transforming 1 interacting protein	U266	5.2
RAB4B	19q13.2	RAB4B, member RAS oncogene family	MM1, NCI-H929	10.5, 7.1
RAB6IP1	11p15.4	RAB6 interacting protein 1	U266	14.1
RABL2B	22q13.33	RAB, member of RAS oncogene family-like 2B	NCI-H929	8.8
RAD9A	11q13.1-q13.2	RAD9 homolog A (S. pombe)	U266, NCI-H929	4.3, 6.8
RALGPS1	9q34.13	Ral GEF with PH domain and SH3 binding motif 1	U266	5.6
RCN3	19q13.33	reticulocalbin 3, EF-hand calcium binding domain	MM1, NCI-H929	20.7, 11.6
RIS1	3p21.3	Ras-induced senescence 1	U266, NCI-H929	14.8, 10.4
RNASE4	14q11.1	ribonuclease, RNase A family, 4	NCI-H929	9.7
RNF128	Xq22.3	ring finger protein 128	NCI-H929	4.8
RNU2	17q12-q21	RNA, U2 small nuclear	U266, NCI-H929	15.2, 35.7
	6p25	tubulin, beta polypeptide paralog	U266	7.5
RPIB9	7q21.12	Rap2-binding protein 9	U266, NCI-H929	28.3, 11.4
RRAS	19q13.3-qter	related RAS viral (r-ras) oncogene homolog	NCI-H929	12.4
RTN2	19q13.32	reticulon 2	NCI-H929	14.7
S100A4	1q21	S100 calcium binding protein A4 (calcium protein, calvasculin, metastasin, murine placental homolog)	MM1	7.1
SAT	Xp22.1	spermidine/spermine N1-acetyltransferase	U266, NCI-H929	17.0, 112.5
SBF1	22q13.33	SET binding factor 1	NCI-H929	5.5
SCML1	Xp22.2-p22.1	sex comb on midleg-like 1 (Drosophila)	U266	5.9
SDC4	20q12	syndecan 4 (amphiglycan, ryudocan)	NCI-H929	12.5
SEC23IP	10q25-q26	SEC23 interacting protein	U266	6.2
SEPP1	5q31	selenoprotein P, plasma, 1	MM1	7.1
4-Sep	17q22-q23	septin 4	NCI-H929	8.3
SERPINI1	3q26.1	serine (or cysteine) proteinase inhibitor, clade I (neuroserpin), member 1	U266, NCI-H929	13.1, 7.1
SEZ6L2	16p11.2	seizure related 6 homolog (mouse)-like 2	NCI-H929	6.9
SFI1	22q12.2	Sfi1 homolog, spindle assembly associated (yeast)	NCI-H929	14.6
SFXN3	10q24.32	sideroflexin 3	U266	7.1
SGKL	8q12.3-8q13.1	serum/glucocorticoid regulated kinase-like	NCI-H929	53.7
SH3GL3	15q24	SH3-domain GRB2-like 3	U266, NCI-H929	8.6, 4.9
SILV	12q13-q14	silver homolog (mouse)	MM1	11.2
SLC16A3	17q25	solute carrier family 16 (monocarboxylic acid transporters), member 3	U266	9.6
SLC17A7	19q13	solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 7	NCI-H929	9.8
SLC25A28	10q23-q24	solute carrier family 25, member 28	U266	10.3
SLC4A8	12q13	solute carrier family 4, sodium bicarbonate cotransporter, member 8	NCI-H929	7.6
SLC6A8	Xq28	solute carrier family 6 (neurotransmitter transporter, creatine), member 8	U266	12.9
SLC9A1	1p36.1-p35	solute carrier family 9 (sodium/hydrogen exchanger), isoform 1 (antiporter, Na+/H+, amiloride sensitive)	NCI-H929	10.1
SMARCD3	7q35-q36	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3	NCI-H929	7.4
SNRP70	19q13.3	small nuclear ribonucleoprotein 70kDa polypeptide (RNP antigen)	U266	8.6
SNTA1	20q11.2	syntrophin, alpha 1 (dystrophin-associated protein A1, 59kDa, acidic component)	NCI-H929	5.7
SORBS1	10q23.3-q24.1	sorbin and SH3 domain containing 1	U266, NCI-H929	4.6, 38.5
SOX4	6p22.3	SRY (sex determining region Y)-box 4	U266	8.5
SPAG6	10p12.2	sperm associated antigen 6	U266	12.4
SPAG9	17q21.33	sperm associated antigen 9	NCI-H929	4.4
SPINK2	4q12	serine protease inhibitor, Kazal type 2 (acrosin-trypsin inhibitor)	MM1	6.2
STARD3	17q11-q12	START domain containing 3	NCI-H929	11.6
STAT1	2q32.2	signal transducer and activator of transcription 1, 91kDa	NCI-H929	10.2
SYT11	1q21.2	synaptotagmin XI	NCI-H929	11.2
TAOK3	12q	TAO kinase 3	U266	8
TIMP3	22q12.1-q13.2|22q12.3	tissue inhibitor of metalloproteinase 3 (Sorsby fundus dystrophy, pseudoinflammatory)	U266	8.5
TK1	17q23.2-q25.3	thymidine kinase 1, soluble	NCI-H929	5.6
TM4SF13	7p21.1	Tetraspanin 13	NCI-H929	7.2
TMEFF1	9q31	transmembrane protein with EGF-like and two follistatin-like domains 1	U266	5.6
TMEM47	Xp11.4	transmembrane protein 47	NCI-H929	8.6
TMSL8	Xq21.33-q22.3	thymosin-like 8	U266	6.6
TncRNA	11q13.1	Trophoblast-derived noncoding RNA	NCI-H929	18.1
TOP2A	17q21-q22	topoisomerase (DNA) II alpha 170kDa	MM1	8.7
TOP3B	22q11.22	topoisomerase (DNA) III beta	NCI-H929	7.3
TRIP6	7q22	thyroid hormone receptor interactor 6	U266	7.9
TSPAN12	7q31.31	tetraspanin 12	U266	8.8
TSPAN4	11p15.5	tetraspanin 4	NCI-H929	7.5
TST	22q13.1	thiosulfate sulfurtransferase (rhodanese)	MM1, U266	6.6, 11.3
TTLL1	22q13.1	tubulin tyrosine ligase-like family, member 1	NCI-H929	7.5
TUBA3	12q12-12q14.3	tubulin, alpha 3	MM1	5.7
TUBB2	9q34	tubulin, beta, 2	MM1, U266, NCI-H929	6.1, 13.8, 5.2
TUFT1	1q21	tuftelin 1	NCI-H929	7.3
TXNIP	1q21.1	thioredoxin interacting protein	MM1, U266, NCI-H929	6.9, 6.3, 15.7
TYK2	19p13.2	tyrosine kinase 2	NCI-H929	4.7
UBD	6p21.3	ubiquitin D	MM1	22.2
VCL	10q22.1-q23	vinculin	U266	4.4
VRK3	19q13	vaccinia related kinase 3	NCI-H929	7.4
WASF1	6q21-q22	WAS protein family, member 1	U266	5.2
WDR10	3q21	WD repeat domain 10	NCI-H929	8.1
WDR19	4p14	WD repeat domain 19	NCI-H929	4.4
WDTC2	16p13.3	WD and tetratricopeptide repeats 2	NCI-H929	6.2
ZBTB20	3q13.2	zinc finger and BTB domain containing 20	NCI-H929	5.9
ZNF297B	9p24.1-q22.33	zinc finger protein 297B	NCI-H929	6.2
ZNF556	19p13.3	zinc finger protein 556	U266	11.1
ZYG11BL	9q34.11	zyg-11 homolog B (C. elegans)-like	U266, NCI-H929	9.0, 14.7
ZZEF1	17p13.2	zinc finger, ZZ-type with EF-hand domain 1	U266	8.7
