Probe_ID	Gene Symbol	Gene ID	Gene Name	Regession Coeff	R-squared	Pearson Correlation	p-value
214482_at	ZBTB25	7597	zinc finger and BTB domain containing 25	-3.65	0.32	-0.57	0.0000
203331_s_at	INPP5D	3635	inositol polyphosphate-5-phosphatase, 145kDa	-2.78	0.32	-0.57	0.0000
211543_s_at	GRK6	2870	G protein-coupled receptor kinase 6	-3.66	0.32	-0.57	0.0000
219517_at	ELL3	80237	elongation factor RNA polymerase II-like 3	-1.81	0.32	-0.57	0.0000
222285_at	IGHG1	3500	immunoglobulin heavy constant gamma 1 (G1m marker)	-2.09	0.32	-0.57	0.0000
207389_at	GP1BA	2811	glycoprotein Ib (platelet), alpha polypeptide	-4.15	0.32	-0.57	0.0000
244375_at	Not known	Not known	Not known	-2.22	0.32	-0.57	0.0000
231496_at	FCAMR	83953	Fc receptor, IgA, IgM, high affinity	-1.86	0.32	-0.57	0.0000
39318_at	TCL1A	8115	T-cell leukemia/lymphoma 1A	-1.30	0.32	-0.56	0.0000
230648_at	LOC283663	283663	hypothetical protein LOC283663	-2.96	0.32	-0.56	0.0000
206126_at	CXCR5	643	chemokine (C-X-C motif) receptor 5	-2.09	0.32	-0.56	0.0000
243968_x_at	FCRL1	115350	Fc receptor-like 1	-1.60	0.32	-0.56	0.0000
81737_at	LOC23117	23117	KIAA0220-like protein	-2.47	0.32	-0.56	0.0000
215118_s_at	IGHG1	3500	immunoglobulin heavy constant gamma 1 (G1m marker)	-2.14	0.32	-0.56	0.0000
38521_at	CD22	933	CD22 molecule	-2.63	0.32	-0.56	0.0000
206181_at	SLAMF1	6504	signaling lymphocytic activation molecule family member 1	-2.40	0.32	-0.56	0.0000
221571_at	TRAF3	7187	TNF receptor-associated factor 3	-2.55	0.31	-0.56	0.0000
225343_at	TMED8	283578	transmembrane emp24 protein transport domain containing 8	-2.27	0.31	-0.56	0.0001
224499_s_at	AICDA	57379	activation-induced cytidine deaminase	-1.87	0.31	-0.56	0.0001
225530_at	MOBKL2A	126308	MOB1, Mps One Binder kinase activator-like 2A (yeast)	-2.58	0.31	-0.56	0.0001
214339_s_at	MAP4K1	11184	mitogen-activated protein kinase kinase kinase kinase 1	-2.78	0.31	-0.56	0.0001
210981_s_at	GRK6	2870	G protein-coupled receptor kinase 6	-3.84	0.31	-0.56	0.0001
243757_at	LOC100129006	100129006	hypothetical protein LOC100129006	-4.02	0.31	-0.56	0.0001
1568943_at	INPP5D	3635	inositol polyphosphate-5-phosphatase, 145kDa	-2.25	0.31	-0.56	0.0001
229040_at	Not known	Not known	Not known	-2.35	0.31	-0.56	0.0001
230509_at	SNX22	79856	sorting nexin 22	-5.67	0.31	-0.56	0.0001
204581_at	CD22	933	CD22 molecule	-1.68	0.31	-0.56	0.0001
220377_at	FAM30A	29064	family with sequence similarity 30, member A	-3.24	0.31	-0.55	0.0001
213534_s_at	PASK	23178	PAS domain containing serine/threonine kinase	-1.93	0.31	-0.55	0.0001
239287_at	Not known	Not known	Not known	-1.81	0.30	-0.55	0.0001
243798_at	Not known	Not known	Not known	-2.87	0.30	-0.55	0.0001
221293_s_at	DEF6	50619	differentially expressed in FDCP 6 homolog (mouse)	-2.97	0.30	-0.55	0.0001
1565627_a_at	Not known	Not known	Not known	-3.12	0.30	-0.55	0.0001
225491_at	SLC1A2	6506	solute carrier family 1 (glial high affinity glutamate transporter), member 2	-1.79	0.30	-0.55	0.0001
205038_at	IKZF1	10320	IKAROS family zinc finger 1 (Ikaros)	-2.90	0.30	-0.55	0.0001
1554413_s_at	RUNDC2B	400509	RUN domain containing 2B	-2.26	0.30	-0.55	0.0001
227393_at	ANO9	338440	anoctamin 9	-3.51	0.30	-0.55	0.0001
231124_x_at	LY9	4063	lymphocyte antigen 9	-1.88	0.30	-0.55	0.0001
1553238_a_at	HIPK4	147746	homeodomain interacting protein kinase 4	-8.92	0.30	-0.55	0.0001
207521_s_at	ATP2A3	489	ATPase, Ca++ transporting, ubiquitous	-3.09	0.30	-0.55	0.0001
219396_s_at	NEIL1	79661	nei endonuclease VIII-like 1 (E. coli)	-2.74	0.30	-0.55	0.0001
203111_s_at	PTK2B	2185	PTK2B protein tyrosine kinase 2 beta	-3.92	0.30	-0.55	0.0001
202963_at	RFX5	5993	regulatory factor X, 5 (influences HLA class II expression)	-3.20	0.30	-0.55	0.0001
220068_at	VPREB3	29802	pre-B lymphocyte gene 3	-1.50	0.30	-0.55	0.0001
230877_at	IGHG1	3500	immunoglobulin heavy constant gamma 1 (G1m marker)	-1.69	0.30	-0.54	0.0001
209881_s_at	LAT	27040	linker for activation of T cells	-3.25	0.30	-0.54	0.0001
210481_s_at	CLEC4M	10332	C-type lectin domain family 4, member M	-2.34	0.30	-0.54	0.0001
230245_s_at	LOC283663	283663	hypothetical protein LOC283663	-1.54	0.29	-0.54	0.0001
205306_x_at	KMO	8564	kynurenine 3-monooxygenase (kynurenine 3-hydroxylase)	-1.75	0.29	-0.54	0.0001
226032_at	CASP2	835	caspase 2, apoptosis-related cysteine peptidase	-2.82	0.29	-0.54	0.0001
227877_at	C5orf39	389289	chromosome 5 open reading frame 39	-2.64	0.29	-0.54	0.0001
1566079_at	LOC647190	647190	similar to 40S ribosomal protein S16	-2.29	0.29	-0.54	0.0001
223820_at	RBP5	83758	retinol binding protein 5, cellular	-1.83	0.29	-0.54	0.0001
1554343_a_at	STAP1	26228	signal transducing adaptor family member 1	-1.56	0.29	-0.54	0.0001
205901_at	PNOC	5368	prepronociceptin	-1.84	0.29	-0.54	0.0001
203317_at	PSD4	23550	pleckstrin and Sec7 domain containing 4	-2.78	0.29	-0.54	0.0001
217422_s_at	CD22	933	CD22 molecule	-1.48	0.29	-0.54	0.0001
216945_x_at	PASK	23178	PAS domain containing serine/threonine kinase	-2.06	0.29	-0.54	0.0001
221239_s_at	FCRL2	79368	Fc receptor-like 2	-1.70	0.29	-0.54	0.0001
207485_x_at	BTN3A1	11119	butyrophilin, subfamily 3, member A1	-3.51	0.29	-0.54	0.0001
1568752_s_at	RGS13	6003	regulator of G-protein signaling 13	-1.61	0.29	-0.53	0.0001
213376_at	ZBTB1	22890	zinc finger and BTB domain containing 1	-3.02	0.29	-0.53	0.0001
239808_at	Not known	Not known	Not known	-1.94	0.28	-0.53	0.0001
228599_at	MS4A1	931	membrane-spanning 4-domains, subfamily A, member 1	-1.14	0.28	-0.53	0.0001
231093_at	FCRL3	115352	Fc receptor-like 3	-1.19	0.28	-0.53	0.0001
244798_at	Not known	Not known	Not known	-4.12	0.28	-0.53	0.0001
215967_s_at	LY9	4063	lymphocyte antigen 9	-2.44	0.28	-0.53	0.0001
228061_at	CCDC126	90693	coiled-coil domain containing 126	-2.56	0.28	-0.53	0.0001
201306_s_at	ANP32B	10541	acidic (leucine-rich) nuclear phosphoprotein 32 family, member B	-3.44	0.28	-0.53	0.0001
1557733_a_at	Not known	Not known	Not known	-2.18	0.28	-0.53	0.0001
206760_s_at	FCER2	2208	Fc fragment of IgE, low affinity II, receptor for (CD23)	-2.80	0.28	-0.53	0.0001
205790_at	SKAP1	8631	src kinase associated phosphoprotein 1	-2.01	0.28	-0.53	0.0001
202964_s_at	RFX5	5993	regulatory factor X, 5 (influences HLA class II expression)	-2.88	0.28	-0.53	0.0001
209828_s_at	IL16	3603	interleukin 16 (lymphocyte chemoattractant factor)	-2.86	0.28	-0.53	0.0001
1553856_s_at	P2RY10	27334	purinergic receptor P2Y, G-protein coupled, 10	-1.91	0.28	-0.53	0.0002
206478_at	KIAA0125	9834	KIAA0125	-1.68	0.28	-0.53	0.0002
220485_s_at	SIRPG	55423	signal-regulatory protein gamma	-2.51	0.28	-0.53	0.0002
228258_at	TBC1D10C	374403	TBC1 domain family, member 10C	-2.05	0.28	-0.53	0.0002
205544_s_at	CR2	1380	complement component (3d/Epstein Barr virus) receptor 2	-0.99	0.28	-0.53	0.0002
238342_at	Not known	Not known	Not known	-1.90	0.27	-0.52	0.0002
236301_at	Not known	Not known	Not known	-2.29	0.27	-0.52	0.0002
220059_at	STAP1	26228	signal transducing adaptor family member 1	-1.22	0.27	-0.52	0.0002
244413_at	CLECL1	160365	C-type lectin-like 1	-2.37	0.27	-0.52	0.0002
206296_x_at	MAP4K1	11184	mitogen-activated protein kinase kinase kinase kinase 1	-2.60	0.27	-0.52	0.0002
236198_at	Not known	Not known	Not known	-1.31	0.27	-0.52	0.0002
227799_at	MYO1G	64005	myosin IG	-2.73	0.27	-0.52	0.0002
219518_s_at	ELL3	80237	elongation factor RNA polymerase II-like 3	-1.49	0.27	-0.52	0.0002
223750_s_at	TLR10	81793	toll-like receptor 10	-1.99	0.27	-0.52	0.0002
230917_at	Not known	Not known	Not known	-1.35	0.27	-0.52	0.0002
210313_at	LILRA4	23547	leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 4	-2.61	0.27	-0.52	0.0002
223246_s_at	STRBP	55342	spermatid perinuclear RNA binding protein	-1.79	0.27	-0.52	0.0002
228518_at	IGHG1	3500	immunoglobulin heavy constant gamma 1 (G1m marker)	-1.40	0.27	-0.52	0.0002
202849_x_at	GRK6	2870	G protein-coupled receptor kinase 6	-5.69	0.27	-0.52	0.0002
206398_s_at	CD19	930	CD19 molecule	-1.39	0.27	-0.52	0.0002
244887_at	Not known	Not known	Not known	-1.85	0.26	-0.51	0.0003
223751_x_at	TLR10	81793	toll-like receptor 10	-1.68	0.26	-0.51	0.0003
228677_s_at	FLJ21438	64926	hypothetical protein FLJ21438	-2.87	0.26	-0.51	0.0003
210258_at	RGS13	6003	regulator of G-protein signaling 13	-0.94	0.26	-0.51	0.0003
219667_s_at	BANK1	55024	B-cell scaffold protein with ankyrin repeats 1	-1.03	0.26	-0.51	0.0003
211822_s_at	NLRP1	22861	NLR family, pyrin domain containing 1	-2.77	0.26	-0.51	0.0003
207995_s_at	CLEC4M	10332	C-type lectin domain family 4, member M	-2.08	0.26	-0.51	0.0003
240718_at	LRMP	4033	lymphoid-restricted membrane protein	-2.45	0.26	-0.51	0.0003
205049_s_at	CD79A	973	CD79a molecule, immunoglobulin-associated alpha	-1.27	0.26	-0.51	0.0003
220588_at	BCAS4	55653	breast carcinoma amplified sequence 4	-2.56	0.26	-0.51	0.0003
204960_at	PTPRCAP	5790	protein tyrosine phosphatase, receptor type, C-associated protein	-1.97	0.26	-0.51	0.0003
213669_at	FCHO1	23149	FCH domain only 1	-3.82	0.26	-0.51	0.0003
207536_s_at	TNFRSF9	3604	tumor necrosis factor receptor superfamily, member 9	-1.84	0.26	-0.51	0.0003
224406_s_at	FCRL5	83416	Fc receptor-like 5	-1.40	0.26	-0.51	0.0003
207339_s_at	LTB	4050	lymphotoxin beta (TNF superfamily, member 3)	-1.34	0.26	-0.51	0.0003
209443_at	SERPINA5	5104	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 5	-3.65	0.26	-0.51	0.0003
205212_s_at	CENTB1	9744	centaurin, beta 1	-3.32	0.26	-0.51	0.0003
239555_at	Not known	Not known	Not known	-2.23	0.26	-0.51	0.0003
236226_at	BTLA	151888	B and T lymphocyte associated	-2.25	0.26	-0.51	0.0003
209337_at	PSIP1	11168	PC4 and SFRS1 interacting protein 1	-2.42	0.26	-0.51	0.0003
1564248_at	LOC100130544	100130544	hypothetical protein LOC100130544	-2.26	0.26	-0.51	0.0003
203520_s_at	ZNF318	24149	zinc finger protein 318	-3.75	0.26	-0.51	0.0003
202329_at	CSK	1445	c-src tyrosine kinase	-2.48	0.26	-0.51	0.0003
205039_s_at	IKZF1	10320	IKAROS family zinc finger 1 (Ikaros)	-2.84	0.26	-0.51	0.0003
239328_at	Not known	Not known	Not known	-1.91	0.26	-0.51	0.0003
227101_at	ZNF800	168850	zinc finger protein 800	-3.63	0.26	-0.51	0.0003
220132_s_at	CLEC2D	29121	C-type lectin domain family 2, member D	-1.69	0.26	-0.51	0.0003
223562_at	PARVG	64098	parvin, gamma	-2.37	0.25	-0.50	0.0003
1556183_at	FLJ40330	645784	hypothetical LOC645784	-1.71	0.25	-0.50	0.0003
227060_at	RELT	84957	RELT tumor necrosis factor receptor	-3.91	0.25	-0.50	0.0003
206828_at	TXK	7294	TXK tyrosine kinase	-2.31	0.25	-0.50	0.0004
230805_at	Not known	Not known	Not known	-2.50	0.25	-0.50	0.0004
239027_at	DOCK8	81704	dedicator of cytokinesis 8	-3.29	0.25	-0.50	0.0004
206983_at	CCR6	1235	chemokine (C-C motif) receptor 6	-1.86	0.25	-0.50	0.0004
238531_x_at	Not known	Not known	Not known	-2.58	0.25	-0.50	0.0004
222915_s_at	BANK1	55024	B-cell scaffold protein with ankyrin repeats 1	-1.70	0.25	-0.50	0.0004
223552_at	LRRC4	64101	leucine rich repeat containing 4	-3.87	0.25	-0.50	0.0004
235912_at	Not known	Not known	Not known	-2.37	0.25	-0.50	0.0004
223245_at	STRBP	55342	spermatid perinuclear RNA binding protein	-1.62	0.25	-0.50	0.0004
