Gene Name	Description	WT Expression Log Ratio	Percentile	CKO Expression Log Ratio	Percentile	Difference Log Ratio	Fold Change	p-value
Car11	carbonic anhydrase 11	11.5	95.8	10.84	92.86	-0.67	-1.59	2.32E-03
Apex1	APEX nuclease 1	12.03	97.43	11.36	95.19	-0.67	-1.59	5.50E-04
Hist1h2ae	histone 1, H2ae	8.21	70.44	7.55	60.28	-0.66	-1.58	2.85E-03
Camk2b	calcium/calmodulin-dependent protein kinase II beta	9.19	80.96	8.54	74.47	-0.65	-1.57	1.36E-02
Chst15	carbohydrate (N-acetylgalactosamine 4-sulfate 6-O) sulfotransferase 15	9.06	79.8	8.42	72.91	-0.64	-1.56	3.50E-04
Atp7a	ATPase, Cu++ transporting, alpha polypeptide	8.31	71.73	7.67	62.47	-0.64	-1.56	9.90E-07
Ccrn4l	CCR4 carbon catabolite repression 4-like	8.84	77.64	8.21	70.43	-0.63	-1.55	1.39E-02
Apcdd1	adenomatosis polyposis coli down-regulated 1	8.53	74.28	7.91	66.25	-0.63	-1.54	6.47E-05
Nsbp1	nucleosomal binding protein 1	10.09	88.37	9.47	83.47	-0.63	-1.54	9.40E-04
Hist1h3d	histone cluster 1, H3d	9.73	85.67	9.11	80.21	-0.62	-1.54	2.99E-02
Adprtl2	Poly [ADP-ribose] polymerase 2	9.17	80.81	8.55	74.56	-0.62	-1.54	9.14E-05
Raet1b	retinoic acid early transcript beta	8.17	69.88	7.55	60.22	-0.62	-1.53	2.39E-03
Kctd12	potassium channel tetramerisation domain containing 12	9.21	81.12	8.6	75.11	-0.62	-1.53	8.60E-04
3110009E18Rik	hypothetical protein LOC73103	10.22	89.2	9.61	84.62	-0.61	-1.52
Tbgcp4	tubulin, gamma complex associated protein 4	8.29	71.49	7.68	62.66	-0.61	-1.52	3.30E-04
AI593442	hypothetical protein LOC330941	8.66	75.72	8.06	68.46	-0.6	-1.51	1.82E-02
Rnf41	ring finger protein 41	7.53	59.71	6.93	32.5	-0.59	-1.51	1.67E-05
Spred1	sprouty-related, EVH1 domain containing 1	10.22	89.2	9.63	84.73	-0.59	-1.51	1.50E-05
Nell2	NEL-like 2	8.49	73.74	7.9	66.1	-0.59	-1.51	1.30E-04
Ncoa4	nuclear receptor coactivator 4	8.67	75.89	8.08	68.71	-0.59	-1.5	6.08E-05
Cbfa2t3h	core-binding factor, runt domain, alpha subunit 2, translocated to, 3	8.36	72.26	8.94	78.67	0.58	1.5	2.44E-02
Ndrl	N-myc downstream regulated gene 1	8.62	75.31	9.21	81.06	0.59	1.5	3.49E-02
Centg2	centaurin, gamma 2 (Centg2), transcript variant 2	10.92	93.29	11.51	95.75	0.59	1.5	7.40E-04
Sdk1	sidekick homolog 1, cell adhesion molecule	10.64	91.84	11.23	94.7	0.59	1.51	6.07E-03
Nbl1	neuroblastoma, suppression of tumorigenicity 1	9.35	82.35	9.95	87.24	0.59	1.51	2.25E-03
Rhbdl4	rhomboid, veinlet-like 3	8.29	71.4	8.88	78.09	0.6	1.51	5.10E-04
Tp53i11	transformation related protein 53 inducible protein 11	8.24	70.79	8.84	77.65	0.6	1.52	5.50E-06
Spnb3	spectrin beta 3	10.25	89.44	10.85	92.94	0.6	1.52	3.80E-04
Usp20	ubiquitin specific peptidase 20	10.15	88.73	10.75	92.38	0.6	1.52	6.47E-03
Cx3cr1	chemokine (C-X3-C motif) receptor 1	7.87	65.6	8.47	73.59	0.61	1.52	7.99E-03
Stat2	signal transducer and activator of transcription 2	7.57	60.53	8.18	70.05	0.61	1.53	2.72E-06
Dapk1	death-associated protein kinase 1	8.16	69.72	8.77	76.89	0.61	1.53	3.10E-05
Htr3a	5-hydroxytryptamine (serotonin) receptor 3A	7.15	47.44	7.76	64	0.61	1.53	2.80E-02
Gcap14	granule cell antiserum positive 14, transcript variant 2	11.02	93.82	11.63	96.19	0.62	1.54	5.55E-05
Phlda3	pleckstrin homology-like domain, family A, member 3	7.45	57.93	8.07	68.57	0.62	1.54	3.42E-03
Bcl11b	B-cell leukemia/lymphoma 11B	10.33	89.98	10.95	93.45	0.62	1.54	1.13E-06
2210012G02Rik	hypothetical protein LOC66526	7.63	61.69	8.25	70.97	0.62	1.54	2.80E-04
Insm1	insulinoma-associated 1	10.96	93.51	11.58	96.01	0.63	1.54	9.80E-04
Afap1	actin filament associated protein 1	8.34	72	8.96	78.92	0.63	1.54	2.50E-04
Klc3	kinesin light chain 3	7.6	61.18	8.23	70.7	0.63	1.55	1.28E-03
Rimkla	ribosomal modification protein rimK-like family member A	10.64	91.79	11.27	94.84	0.63	1.55	3.10E-03
Rgl1	ral guanine nucleotide dissociation stimulator,-like 1	9.04	79.69	9.68	85.11	0.63	1.55	6.52E-03
Foxo6	forkhead box O6	7.42	57.38	8.06	68.45	0.63	1.55	9.09E-05
Mid1	midline 1	7.25	51.94	7.88	65.89	0.63	1.55	2.20E-02
Cep164	centrosomal protein 164	8.35	72.16	8.99	79.07	0.64	1.55	2.65E-07
Ddit4	DNA-damage-inducible transcript 4	10.23	89.26	10.87	93	0.64	1.56	2.60E-04
Mgll	monoglyceride lipase	8.26	71.04	8.9	78.23	0.64	1.56	5.43E-03
Prox1	prospero-related homeobox 1	8.02	67.81	8.66	75.76	0.64	1.56	9.97E-05
Tmed4	transmembrane emp24 protein transport domain containing 4	8.86	77.81	9.5	83.68	0.64	1.56	2.04E-05
Wisp1	WNT1 inducible signaling pathway protein 1	8.67	75.95	9.32	82.08	0.65	1.56	1.20E-02
Fbrsl1	Fibrosin-1-like protein	11.18	94.54	11.83	96.77	0.65	1.57	5.75E-06
Galr2	galanin receptor 2	7.84	65.26	8.5	73.92	0.65	1.57	3.26E-06
Rasl11a	RAS-like, family 11, member A	9.42	82.97	10.07	88.17	0.65	1.57	2.00E-03
Cxcl16	chemokine (C-X-C motif) ligand 16	7.7	62.75	8.36	72.29	0.67	1.59	1.80E-02
Ms4a7	membrane-spanning 4-domains, subfamily A, member 7	7.26	52.52	7.93	66.62	0.67	1.59	2.56E-02
Ranbp3l	RAN binding protein 3-like	7.6	61.23	8.27	71.23	0.67	1.59	3.97E-03
Insig2	insulin induced gene 2	8.03	67.97	8.7	76.22	0.67	1.6	3.00E-04
Gpr123	G protein-coupled receptor 123	7.61	61.35	8.29	71.39	0.68	1.6	1.14E-03
Plekha2	pleckstrin homology domain-containing, family A member 2	9.84	86.43	10.52	91.16	0.68	1.6	4.30E-04
Syt13	synaptotagmin XIII	8.74	76.71	9.42	83.05	0.68	1.6	1.16E-02
Pcdh17	protocadherin 17	10.64	91.8	11.32	95.07	0.69	1.61	1.14E-03
Fam78a	family with sequence similarity 78, member A	8.74	76.66	9.43	83.08	0.69	1.61	5.67E-07
Amigo1	adhesion molecule with Ig like domain 1	8.86	77.85	9.55	84.14	0.69	1.62	3.90E-04
Flrt1	fibronectin leucine rich transmembrane protein 3	8.27	71.26	8.97	78.93	0.69	1.62	4.70E-04
Dpysl4	dihydropyrimidinase-like 4	12.94	98.93	13.64	99.53	0.7	1.62	2.57E-06
Trp53i11	transformation related protein 53 inducible protein 11	9.32	82.09	10.02	87.79	0.7	1.63	1.63E-05
Kcnc1	potassium voltage gated channel, Shaw-related subfamily, member 1	8.19	70.13	8.89	78.13	0.7	1.63	4.81E-06
Mreg	melanoregulin	10.9	93.19	11.62	96.12	0.71	1.64	2.44E-05
Cryba4	crystallin, beta A4	7.49	58.89	8.21	70.42	0.72	1.64	6.18E-03
Fgd2	FYVE, RhoGEF and PH domain containing 2	7.29	53.61	8.02	67.81	0.72	1.65	5.30E-04
Tlx3	T-cell leukemia, homeobox 3	9.85	86.52	10.57	91.43	0.72	1.65	3.06E-05
Galnt9	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 9	8.79	77.11	9.51	83.8	0.73	1.66	4.31E-03
Ebf2	early B-cell factor 2	9.9	86.92	10.64	91.81	0.73	1.66	4.21E-03
Tlx2	T-cell leukemia homeobox 2	8.78	77.1	9.52	83.89	0.74	1.66	2.83E-06
Aebp1	AE binding protein 1	7.98	67.19	8.72	76.38	0.74	1.67	3.50E-04
Mcc	mutated in colorectal cancers	10.26	89.49	11	93.68	0.74	1.67	7.90E-06
Lars2	leucyl-tRNA synthetase 2, mitochondrial	8.2	70.33	8.95	78.73	0.74	1.67	2.23E-02
Lyzs	lysozyme 2	7.91	66.08	8.66	75.8	0.76	1.69	2.60E-02
Mglap	matrix Gla protein	7.73	63.45	8.5	73.93	0.77	1.7	4.70E-04
Syn2	synapsin II	10.41	90.54	11.18	94.46	0.77	1.7	8.68E-03
Cryba1	crystallin, beta A1	10.41	90.5	11.18	94.48	0.78	1.71	1.20E-04
Siat8b	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 2	8.69	76.14	9.47	83.46	0.78	1.72	1.30E-04
Dusp7	dual specificity phosphatase 7	9.29	81.81	10.07	88.14	0.78	1.72	3.20E-04
Doc2b	double C2, beta	7.34	55.31	8.13	69.32	0.78	1.72	2.36E-05
Npr2	natriuretic peptide receptor 2	11.07	94.07	11.86	96.93	0.79	1.73	3.15E-05
Lox	lysyl oxidase	8.64	75.57	9.43	83.15	0.79	1.73	1.73E-02
Slc6a13	solute carrier family 6 (neurotransmitter transporter, GABA), member 13	8.62	75.3	9.42	83.03	0.8	1.74	4.61E-03
C1qg	complement component 1, q subcomponent, C chain	8.03	67.97	8.83	77.58	0.8	1.75	2.94E-02
Stra6	stimulated by retinoic acid gene 6	8.73	76.56	9.54	84.04	0.81	1.75	1.39E-03
Kndc1	kinase non-catalytic C-lobe domain (KIND) containing 1	8.02	67.9	8.83	77.62	0.81	1.76	2.90E-03
Aif1	allograft inflammatory factor 1	7.45	58.08	8.27	71.14	0.81	1.76	1.27E-02
Apg3l	autophagy-related 3	8.48	73.67	9.3	81.92	0.82	1.76	4.77E-02
Fah	fumarylacetoacetate hydrolase	9.05	79.74	9.88	86.76	0.83	1.77	2.10E-04
C1qb	complement component 1, q subcomponent, beta polypeptide	8.64	75.48	9.47	83.45	0.83	1.78	4.12E-02
EG433016	predicted gene, EG433016	7.41	57.01	8.26	71	0.85	1.8	1.48E-02
Cplx2	complexin 2	8.91	78.39	9.77	85.96	0.87	1.82	2.30E-04
Mkks	McKusick-Kaufman syndrome protein	7.19	49.43	8.06	68.44	0.87	1.83	2.21E-03
Ntn3	netrin 3	10.62	91.68	11.49	95.69	0.87	1.83	6.13E-06
S100a9	S100 calcium binding protein A9 (calgranulin B)	7.85	65.27	8.72	76.46	0.88	1.84	3.15E-02
Mtap1b	microtubule-associated protein 1B	8.67	75.91	9.57	84.28	0.9	1.86	1.53E-02
Slco4a1	solute carrier organic anion transporter family, member 4a1	10.11	88.49	11.02	93.8	0.91	1.87	2.00E-04
Atp10d	ATPase, Class V, type 10D	7.86	65.43	8.76	76.83	0.91	1.88	1.53E-03
Lyz	lysozyme (Lyz), mRNA.	9.28	81.69	10.19	89.02	0.92	1.89	2.58E-02
Actb	actin, beta, cytoplasmic	11.34	95.14	12.28	97.99	0.94	1.91	1.33E-03
Scn10a	sodium channel, voltage-gated, type X, alpha	8.9	78.35	9.88	86.82	0.98	1.97	2.20E-02
Pkm2	pyruvate kinase, muscle	11.76	96.56	12.74	98.71	0.98	1.98	6.74E-06
Arv1	ARV1 homolog	8	67.49	9	79.23	1	2	1.44E-02
Epm2aip1	EPM2A (laforin) interacting protein 1	9.02	79.5	10.03	87.86	1.01	2.01	8.15E-02
S100a8	S100 calcium binding protein A8	8.62	75.29	9.66	85	1.04	2.06	2.88E-02
Gnat3	guanine nucleotide binding protein, alpha transducing 3	9.37	82.53	10.43	90.58	1.06	2.08	1.10E-03
Taf6	TAF6 RNA polymerase II, TATA box binding protein-associated factor	7.52	59.49	8.6	75.17	1.09	2.12	8.30E-04
Tgfb1i1	transforming growth factor beta 1 induced transcript 1	8.76	76.83	9.87	86.74	1.11	2.16	1.84E-07
Rd3	retinal degeneration 3	8.07	68.63	9.19	80.9	1.12	2.17	3.45E-03
Pcdh21	protocadherin 21	11.11	94.2	12.26	97.96	1.15	2.22	1.76E-06
Gjb6	gap junction membrane channel protein beta 6	8.8	77.24	9.97	87.41	1.17	2.25	1.90E-02
Dusp26	dual specificity phosphatase 26	10.4	90.47	11.59	96.05	1.19	2.28	2.26E-03
Mbp	myelin basic protein	9.14	80.52	10.34	89.97	1.2	2.3	8.30E-04
Islr2	immunoglobulin superfamily containing leucine-rich repeat 2	9.41	82.86	10.68	92.04	1.27	2.42	3.14E-02
Th	tyrosine hydroxylase	8.73	76.55	10.02	87.78	1.29	2.45	2.26E-02
Stfa1	stefin A1	7.78	64.17	9.19	80.88	1.41	2.66	1.87E-02
Tmem87a	transmembrane protein 87A	7.63	61.67	9.13	80.43	1.5	2.84	6.30E-04
Erdr1	erythroid differentiation regulator 1	9.33	82.17	10.84	92.88	1.51	2.85	4.95E-03
Rnase4	ribonuclease, RNase A family 4	8.68	76.06	10.21	89.14	1.53	2.88	2.97E-06
Ccl19	chemokine (C-C motif) ligand 19	6.93	31.9	8.5	73.88	1.57	2.97	5.70E-10
Tmem25	transmembrane protein 25	6.74	8.98	8.34	72.05	1.6	3.04	5.95E-07
Zfp68	zinc finger protein 68	7.93	66.39	9.73	85.6	1.8	3.48	3.29E-03
Atp2c1	ATPase, Ca++-sequestering	7.23	51.15	9.05	79.64	1.82	3.53	2.41E-06
Actl6	actin-like 6B	8.56	74.58	10.4	90.42	1.84	3.59	1.08E-03
Mcm6	minichromosome maintenance deficient 6	8.62	75.33	10.51	91.08	1.88	3.69	1.99E-02
Hbb-b2	hemoglobin, beta adult minor chain	7.57	60.52	9.74	85.75	2.18	4.52	1.51E-09
Rpl29	ribosomal protein L29	7.29	53.58	10.52	91.15	3.22	9.34	2.30E-08
