GO ID	Go Term	p-value	Probe Set ID	Gene Symbol	Fold Change	Gene Title
GO:0005622	intracellular	0.0068	209485_s_at	OSBPL1A	0.63	oxysterol binding protein-like 1A
GO:0005622	intracellular	0.0068	209019_s_at	PINK1	0.72	PTEN induced putative kinase 1
GO:0005622	intracellular	0.0068	209317_at	POLR1C	0.72	polymerase (RNA) I polypeptide C, 30kDa
GO:0005622	intracellular	0.0068	201228_s_at	ARIH2	0.74	ariadne homolog 2 (Drosophila)
GO:0005622	intracellular	0.0068	214252_s_at	CLN5	0.75	ceroid-lipofuscinosis, neuronal 5
GO:0005622	intracellular	0.0068	53076_at	B4GALT7	0.76	xylosylprotein beta 1,4-galactosyltransferase, polypeptide 7 (galactosyltransferase I)
GO:0005622	intracellular	0.0068	201238_s_at	CAPZA2	0.76	capping protein (actin filament) muscle Z-line, alpha 2
GO:0005622	intracellular	0.0068	219547_at	COX15	0.78	COX15 homolog, cytochrome c oxidase assembly protein (yeast)
GO:0005622	intracellular	0.0068	202812_at	GAA	0.78	glucosidase, alpha; acid (Pompe disease, glycogen storage disease type II)
GO:0005622	intracellular	0.0068	200856_x_at	NCOR1	0.8	nuclear receptor co-repressor 1
GO:0005622	intracellular	0.0068	203518_at	CHS1	0.82	Chediak-Higashi syndrome 1
GO:0005622	intracellular	0.0068	209393_s_at	EIF4EL3	0.84	eukaryotic translation initiation factor 4E-like 3
GO:0005622	intracellular	0.0068	213477_x_at	EEF1A1	0.88	eukaryotic translation elongation factor 1 alpha 1
GO:0005622	intracellular	0.0068	200026_at	RPL34	0.93	ribosomal protein L34
GO:0005622	intracellular	0.0068	208398_s_at	TBPL1	1.15	TBP-like 1
GO:0005622	intracellular	0.0068	209326_at	SLC35A2	1.17	solute carrier family 35 (UDP-galactose transporter), member A2
GO:0005622	intracellular	0.0068	207347_at	ERCC6	1.19	excision repair cross-complementing rodent repair deficiency, complementation group 6
GO:0005622	intracellular	0.0068	202858_at	U2AF1	1.22	U2(RNU2) small nuclear RNA auxiliary factor 1
GO:0005622	intracellular	0.0068	218316_at	TIMM9	1.23	translocase of inner mitochondrial membrane 9 homolog (yeast)
GO:0005622	intracellular	0.0068	201459_at	RUVBL2	1.26	RuvB-like 2 (E. coli)
GO:0005622	intracellular	0.0068	212966_at	HIC2	1.27	hypermethylated in cancer 2
GO:0005622	intracellular	0.0068	207618_s_at	BCS1L	1.28	BCS1-like (yeast)
GO:0005622	intracellular	0.0068	201092_at	RBBP7	1.28	retinoblastoma binding protein 7
GO:0005622	intracellular	0.0068	221505_at	ANP32E	1.29	acidic (leucine-rich) nuclear phosphoprotein 32 family, member E
GO:0005622	intracellular	0.0068	202474_s_at	HCFC1	1.3	host cell factor C1 (VP16-accessory protein)
GO:0005622	intracellular	0.0068	204749_at	NAP1L3	1.32	nucleosome assembly protein 1-like 3
GO:0005622	intracellular	0.0068	214728_x_at	SMARCA4	1.32	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4
GO:0005622	intracellular	0.0068	213720_s_at	SMARCA4	1.33	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4
GO:0005622	intracellular	0.0068	202173_s_at	ZNF161	1.33	zinc finger protein 161
GO:0005622	intracellular	0.0068	217798_at	CNOT2	1.35	CCR4-NOT transcription complex, subunit 2
GO:0005622	intracellular	0.0068	209849_s_at	RAD51C	1.35	RAD51 homolog C (S. cerevisiae)
GO:0005622	intracellular	0.0068	219351_at	SEDL	1.35	spondyloepiphyseal dysplasia, late
GO:0005622	intracellular	0.0068	218763_at	STX18	1.35	syntaxin 18
GO:0005622	intracellular	0.0068	218708_at	NXT1	1.36	NTF2-like export factor 1
GO:0005622	intracellular	0.0068	209388_at	PAPOLA	1.36	poly(A) polymerase alpha
GO:0005622	intracellular	0.0068	202171_at	ZNF161	1.36	zinc finger protein 161
GO:0005622	intracellular	0.0068	218968_s_at	ZFP64	1.37	zinc finger protein 64 homolog (mouse)
GO:0005622	intracellular	0.0068	208857_s_at	PCMT1	1.38	protein-L-isoaspartate (D-aspartate) O-methyltransferase
GO:0005622	intracellular	0.0068	216241_s_at	TCEA1	1.38	transcription elongation factor A (SII), 1
GO:0005622	intracellular	0.0068	210766_s_at	CSE1L	1.39	CSE1 chromosome segregation 1-like (yeast)
GO:0005622	intracellular	0.0068	203432_at	TMPO	1.39	thymopoietin
GO:0005622	intracellular	0.0068	201911_s_at	FARP1	1.4	FERM, RhoGEF (ARHGEF) and pleckstrin domain protein 1 (chondrocyte-derived)
GO:0005622	intracellular	0.0068	208673_s_at	SFRS3	1.4	splicing factor, arginine/serine-rich 3
GO:0005622	intracellular	0.0068	213206_at	GOSR2	1.46	golgi SNAP receptor complex member 2
GO:0005622	intracellular	0.0068	218738_s_at	RNF138	1.48	ring finger protein 138
GO:0005622	intracellular	0.0068	212231_at	FBXO21	1.57	F-box only protein 21
GO:0005622	intracellular	0.0068	201222_s_at	RAD23B	1.58	RAD23 homolog B (S. cerevisiae)
GO:0005622	intracellular	0.0068	221642_at	TREX1	1.6	three prime repair exonuclease 1
GO:0005622	intracellular	0.0068	209332_s_at	MAX	1.63	MAX protein
GO:0005622	intracellular	0.0068	204400_at	EFS	1.78	embryonal Fyn-associated substrate
GO:0005634	nucleus	0.0079	208965_s_at	IFI16	0.62	interferon, gamma-inducible protein 16
GO:0005634	nucleus	0.0079	205359_at	AKAP6	0.63	A kinase (PRKA) anchor protein 6
GO:0005634	nucleus	0.0079	209317_at	POLR1C	0.72	polymerase (RNA) I polypeptide C, 30kDa
GO:0005634	nucleus	0.0079	201228_s_at	ARIH2	0.74	ariadne homolog 2 (Drosophila)
GO:0005634	nucleus	0.0079	200856_x_at	NCOR1	0.8	nuclear receptor co-repressor 1
GO:0005634	nucleus	0.0079	208398_s_at	TBPL1	1.15	TBP-like 1
GO:0005634	nucleus	0.0079	207347_at	ERCC6	1.19	excision repair cross-complementing rodent repair deficiency, complementation group 6
GO:0005634	nucleus	0.0079	202858_at	U2AF1	1.22	U2(RNU2) small nuclear RNA auxiliary factor 1
GO:0005634	nucleus	0.0079	201459_at	RUVBL2	1.26	RuvB-like 2 (E. coli)
GO:0005634	nucleus	0.0079	212966_at	HIC2	1.27	hypermethylated in cancer 2
GO:0005634	nucleus	0.0079	201092_at	RBBP7	1.28	retinoblastoma binding protein 7
GO:0005634	nucleus	0.0079	221505_at	ANP32E	1.29	acidic (leucine-rich) nuclear phosphoprotein 32 family, member E
GO:0005634	nucleus	0.0079	202474_s_at	HCFC1	1.3	host cell factor C1 (VP16-accessory protein)
GO:0005634	nucleus	0.0079	204749_at	NAP1L3	1.32	nucleosome assembly protein 1-like 3
GO:0005634	nucleus	0.0079	214728_x_at	SMARCA4	1.32	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4
GO:0005634	nucleus	0.0079	213720_s_at	SMARCA4	1.33	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4
GO:0005634	nucleus	0.0079	202173_s_at	ZNF161	1.33	zinc finger protein 161
GO:0005634	nucleus	0.0079	217798_at	CNOT2	1.35	CCR4-NOT transcription complex, subunit 2
GO:0005634	nucleus	0.0079	209849_s_at	RAD51C	1.35	RAD51 homolog C (S. cerevisiae)
GO:0005634	nucleus	0.0079	219351_at	SEDL	1.35	spondyloepiphyseal dysplasia, late
GO:0005634	nucleus	0.0079	218708_at	NXT1	1.36	NTF2-like export factor 1
GO:0005634	nucleus	0.0079	209388_at	PAPOLA	1.36	poly(A) polymerase alpha
GO:0005634	nucleus	0.0079	202171_at	ZNF161	1.36	zinc finger protein 161
GO:0005634	nucleus	0.0079	218968_s_at	ZFP64	1.37	zinc finger protein 64 homolog (mouse)
GO:0005634	nucleus	0.0079	216241_s_at	TCEA1	1.38	transcription elongation factor A (SII), 1
GO:0005634	nucleus	0.0079	210766_s_at	CSE1L	1.39	CSE1 chromosome segregation 1-like (yeast)
GO:0005634	nucleus	0.0079	203432_at	TMPO	1.39	thymopoietin
GO:0005634	nucleus	0.0079	208673_s_at	SFRS3	1.4	splicing factor, arginine/serine-rich 3
GO:0005634	nucleus	0.0079	218738_s_at	RNF138	1.48	ring finger protein 138
GO:0005634	nucleus	0.0079	201222_s_at	RAD23B	1.58	RAD23 homolog B (S. cerevisiae)
GO:0005634	nucleus	0.0079	221642_at	TREX1	1.6	three prime repair exonuclease 1
GO:0005634	nucleus	0.0079	209332_s_at	MAX	1.63	MAX protein
GO:0006281	DNA repair	0.0102	207347_at	ERCC6	1.19	excision repair cross-complementing rodent repair deficiency, complementation group 6
GO:0006281	DNA repair	0.0102	201459_at	RUVBL2	1.26	RuvB-like 2 (E. coli)
GO:0006281	DNA repair	0.0102	209849_s_at	RAD51C	1.35	RAD51 homolog C (S. cerevisiae)
GO:0006281	DNA repair	0.0102	201222_s_at	RAD23B	1.58	RAD23 homolog B (S. cerevisiae)
GO:0006281	DNA repair	0.0102	221642_at	TREX1	1.6	three prime repair exonuclease 1
GO:0006461	protein complex assembly	0.0105	201238_s_at	CAPZA2	0.76	capping protein (actin filament) muscle Z-line, alpha 2
GO:0006461	protein complex assembly	0.0105	219547_at	COX15	0.78	COX15 homolog, cytochrome c oxidase assembly protein (yeast)
GO:0004386	helicase activity	0.0105	207347_at	ERCC6	1.19	excision repair cross-complementing rodent repair deficiency, complementation group 6
GO:0006461	protein complex assembly	0.0105	201459_at	RUVBL2	1.26	RuvB-like 2 (E. coli)
GO:0004386	helicase activity	0.0105	201459_at	RUVBL2	1.26	RuvB-like 2 (E. coli)
GO:0006461	protein complex assembly	0.0105	207618_s_at	BCS1L	1.28	BCS1-like (yeast)
GO:0004386	helicase activity	0.0105	214728_x_at	SMARCA4	1.32	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4
GO:0004386	helicase activity	0.0105	213720_s_at	SMARCA4	1.33	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4
GO:0004386	helicase activity	0.0105	204977_at	DDX10	1.38	DEAD (Asp-Glu-Ala-Asp) box polypeptide 10
GO:0004114	3,5-cyclic-nucleotide phosphodiesterase activity	0.0107	208591_s_at	PDE3B	0.56	phosphodiesterase 3B, cGMP-inhibited
GO:0004114	3,5-cyclic-nucleotide phosphodiesterase activity	0.0107	212521_s_at	PDE8A	0.7	phosphodiesterase 8A
GO:0006310	DNA recombination	0.011	201459_at	RUVBL2	1.26	RuvB-like 2 (E. coli)
GO:0006310	DNA recombination	0.011	209849_s_at	RAD51C	1.35	RAD51 homolog C (S. cerevisiae)
GO:0006310	DNA recombination	0.011	221642_at	TREX1	1.6	three prime repair exonuclease 1
GO:0047394	glycerophosphoinositol inositolphosphodiesterase activity	0.0127	208591_s_at	PDE3B	0.56	phosphodiesterase 3B, cGMP-inhibited
GO:0004112	cyclic-nucleotide phosphodiesterase activity	0.0127	208591_s_at	PDE3B	0.56	phosphodiesterase 3B, cGMP-inhibited
GO:0047394	glycerophosphoinositol inositolphosphodiesterase activity	0.0127	212521_s_at	PDE8A	0.7	phosphodiesterase 8A
GO:0004112	cyclic-nucleotide phosphodiesterase activity	0.0127	212521_s_at	PDE8A	0.7	phosphodiesterase 8A
GO:0048193	Golgi vesicle transport	0.013	219351_at	SEDL	1.35	spondyloepiphyseal dysplasia, late
GO:0048193	Golgi vesicle transport	0.013	218763_at	STX18	1.35	syntaxin 18
GO:0048193	Golgi vesicle transport	0.013	213206_at	GOSR2	1.46	golgi SNAP receptor complex member 2
GO:0005736	DNA-directed RNA polymerase I complex	0.0146	209317_at	POLR1C	0.72	polymerase (RNA) I polypeptide C, 30kDa
GO:0046525	xylosylprotein 4-beta-galactosyltransferase activity	0.0146	53076_at	B4GALT7	0.76	xylosylprotein beta 1,4-galactosyltransferase, polypeptide 7 (galactosyltransferase I)
GO:0004558	alpha-glucosidase activity	0.0146	202812_at	GAA	0.78	glucosidase, alpha; acid (Pompe disease, glycogen storage disease type II)
GO:0005459	UDP-galactose transporter activity	0.0146	209326_at	SLC35A2	1.17	solute carrier family 35 (UDP-galactose transporter), member A2
GO:0015785	UDP-galactose transport	0.0146	209326_at	SLC35A2	1.17	solute carrier family 35 (UDP-galactose transporter), member A2
GO:0004652	polynucleotide adenylyltransferase activity	0.0146	209388_at	PAPOLA	1.36	poly(A) polymerase alpha
GO:0004719	protein-L-isoaspartate (D-aspartate) O-methyltransferase activity	0.0146	208857_s_at	PCMT1	1.38	protein-L-isoaspartate (D-aspartate) O-methyltransferase
GO:0008262	importin-alpha export receptor activity	0.0146	210766_s_at	CSE1L	1.39	CSE1 chromosome segregation 1-like (yeast)
GO:0004617	phosphoglycerate dehydrogenase activity	0.0146	201397_at	PHGDH	1.76	phosphoglycerate dehydrogenase
GO:0006366	transcription from Pol II promoter	0.021	200856_x_at	NCOR1	0.8	nuclear receptor co-repressor 1
GO:0006366	transcription from Pol II promoter	0.021	208398_s_at	TBPL1	1.15	TBP-like 1
GO:0003702	RNA polymerase II transcription factor activity	0.021	208398_s_at	TBPL1	1.15	TBP-like 1
GO:0006366	transcription from Pol II promoter	0.021	207347_at	ERCC6	1.19	excision repair cross-complementing rodent repair deficiency, complementation group 6
GO:0003702	RNA polymerase II transcription factor activity	0.021	207347_at	ERCC6	1.19	excision repair cross-complementing rodent repair deficiency, complementation group 6
GO:0006366	transcription from Pol II promoter	0.021	202474_s_at	HCFC1	1.3	host cell factor C1 (VP16-accessory protein)
GO:0006366	transcription from Pol II promoter	0.021	214728_x_at	SMARCA4	1.32	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4
GO:0006366	transcription from Pol II promoter	0.021	213720_s_at	SMARCA4	1.33	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4
GO:0006366	transcription from Pol II promoter	0.021	202173_s_at	ZNF161	1.33	zinc finger protein 161
GO:0003702	RNA polymerase II transcription factor activity	0.021	202173_s_at	ZNF161	1.33	zinc finger protein 161
GO:0006366	transcription from Pol II promoter	0.021	217798_at	CNOT2	1.35	CCR4-NOT transcription complex, subunit 2
GO:0003702	RNA polymerase II transcription factor activity	0.021	217798_at	CNOT2	1.35	CCR4-NOT transcription complex, subunit 2
GO:0006366	transcription from Pol II promoter	0.021	202171_at	ZNF161	1.36	zinc finger protein 161
GO:0003702	RNA polymerase II transcription factor activity	0.021	202171_at	ZNF161	1.36	zinc finger protein 161
GO:0006366	transcription from Pol II promoter	0.021	216241_s_at	TCEA1	1.38	transcription elongation factor A (SII), 1
GO:0003702	RNA polymerase II transcription factor activity	0.021	216241_s_at	TCEA1	1.38	transcription elongation factor A (SII), 1
GO:0003678	DNA helicase activity	0.0222	207347_at	ERCC6	1.19	excision repair cross-complementing rodent repair deficiency, complementation group 6
GO:0003678	DNA helicase activity	0.0222	201459_at	RUVBL2	1.26	RuvB-like 2 (E. coli)
GO:0006974	response to DNA damage stimulus	0.0226	207347_at	ERCC6	1.19	excision repair cross-complementing rodent repair deficiency, complementation group 6
GO:0006974	response to DNA damage stimulus	0.0226	201459_at	RUVBL2	1.26	RuvB-like 2 (E. coli)
GO:0006974	response to DNA damage stimulus	0.0226	209849_s_at	RAD51C	1.35	RAD51 homolog C (S. cerevisiae)
GO:0006974	response to DNA damage stimulus	0.0226	201222_s_at	RAD23B	1.58	RAD23 homolog B (S. cerevisiae)
GO:0006974	response to DNA damage stimulus	0.0226	221642_at	TREX1	1.6	three prime repair exonuclease 1
GO:0009719	response to endogenous stimulus	0.025	207347_at	ERCC6	1.19	excision repair cross-complementing rodent repair deficiency, complementation group 6
GO:0009719	response to endogenous stimulus	0.025	201459_at	RUVBL2	1.26	RuvB-like 2 (E. coli)
GO:0009719	response to endogenous stimulus	0.025	209849_s_at	RAD51C	1.35	RAD51 homolog C (S. cerevisiae)
GO:0009719	response to endogenous stimulus	0.025	201222_s_at	RAD23B	1.58	RAD23 homolog B (S. cerevisiae)
GO:0009719	response to endogenous stimulus	0.025	221642_at	TREX1	1.6	three prime repair exonuclease 1
GO:0006605	protein targeting	0.0267	205359_at	AKAP6	0.63	A kinase (PRKA) anchor protein 6
GO:0006605	protein targeting	0.0267	218316_at	TIMM9	1.23	translocase of inner mitochondrial membrane 9 homolog (yeast)
GO:0006605	protein targeting	0.0267	218708_at	NXT1	1.36	NTF2-like export factor 1
GO:0006605	protein targeting	0.0267	210766_s_at	CSE1L	1.39	CSE1 chromosome segregation 1-like (yeast)
GO:0003677	DNA binding	0.029	208965_s_at	IFI16	0.62	interferon, gamma-inducible protein 16
GO:0003677	DNA binding	0.029	48825_at	ING4	0.62	inhibitor of growth family, member 4
GO:0003677	DNA binding	0.029	209317_at	POLR1C	0.72	polymerase (RNA) I polypeptide C, 30kDa
GO:0003677	DNA binding	0.029	200856_x_at	NCOR1	0.8	nuclear receptor co-repressor 1
GO:0003677	DNA binding	0.029	208398_s_at	TBPL1	1.15	TBP-like 1
GO:0003677	DNA binding	0.029	207347_at	ERCC6	1.19	excision repair cross-complementing rodent repair deficiency, complementation group 6
GO:0003677	DNA binding	0.029	212966_at	HIC2	1.27	hypermethylated in cancer 2
GO:0003677	DNA binding	0.029	202474_s_at	HCFC1	1.3	host cell factor C1 (VP16-accessory protein)
GO:0003677	DNA binding	0.029	204749_at	NAP1L3	1.32	nucleosome assembly protein 1-like 3
GO:0003677	DNA binding	0.029	214728_x_at	SMARCA4	1.32	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4
GO:0003677	DNA binding	0.029	213720_s_at	SMARCA4	1.33	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4
GO:0003677	DNA binding	0.029	202173_s_at	ZNF161	1.33	zinc finger protein 161
GO:0003677	DNA binding	0.029	209849_s_at	RAD51C	1.35	RAD51 homolog C (S. cerevisiae)
GO:0003677	DNA binding	0.029	202171_at	ZNF161	1.36	zinc finger protein 161
GO:0003677	DNA binding	0.029	218968_s_at	ZFP64	1.37	zinc finger protein 64 homolog (mouse)
GO:0003677	DNA binding	0.029	216241_s_at	TCEA1	1.38	transcription elongation factor A (SII), 1
GO:0003677	DNA binding	0.029	203432_at	TMPO	1.39	thymopoietin
GO:0003677	DNA binding	0.029	201222_s_at	RAD23B	1.58	RAD23 homolog B (S. cerevisiae)
GO:0003677	DNA binding	0.029	221642_at	TREX1	1.6	three prime repair exonuclease 1
GO:0003677	DNA binding	0.029	209332_s_at	MAX	1.63	MAX protein
GO:0004119	cGMP-inhibited cyclic-nucleotide phosphodiesterase activity	0.0291	208591_s_at	PDE3B	0.56	phosphodiesterase 3B, cGMP-inhibited
GO:0016529	sarcoplasmic reticulum	0.0291	205359_at	AKAP6	0.63	A kinase (PRKA) anchor protein 6
GO:0016528	sarcoplasm	0.0291	205359_at	AKAP6	0.63	A kinase (PRKA) anchor protein 6
GO:0009251	glucan catabolism	0.0291	202812_at	GAA	0.78	glucosidase, alpha; acid (Pompe disease, glycogen storage disease type II)
GO:0005980	glycogen catabolism	0.0291	202812_at	GAA	0.78	glucosidase, alpha; acid (Pompe disease, glycogen storage disease type II)
GO:0000272	polysaccharide catabolism	0.0291	202812_at	GAA	0.78	glucosidase, alpha; acid (Pompe disease, glycogen storage disease type II)
GO:0015926	glucosidase activity	0.0291	202812_at	GAA	0.78	glucosidase, alpha; acid (Pompe disease, glycogen storage disease type II)
GO:0015030	Cajal body	0.0291	202858_at	U2AF1	1.22	U2(RNU2) small nuclear RNA auxiliary factor 1
GO:0006358	regulation of global transcription from Pol II promoter	0.0291	217798_at	CNOT2	1.35	CCR4-NOT transcription complex, subunit 2
GO:0005485	v-SNARE activity	0.0291	213206_at	GOSR2	1.46	golgi SNAP receptor complex member 2
GO:0008853	exodeoxyribonuclease III activity	0.0291	221642_at	TREX1	1.6	three prime repair exonuclease 1
GO:0008094	DNA-dependent ATPase activity	0.0308	201459_at	RUVBL2	1.26	RuvB-like 2 (E. coli)
GO:0008094	DNA-dependent ATPase activity	0.0308	209849_s_at	RAD51C	1.35	RAD51 homolog C (S. cerevisiae)
GO:0005478	intracellular transporter activity	0.0308	219351_at	SEDL	1.35	spondyloepiphyseal dysplasia, late
GO:0005478	intracellular transporter activity	0.0308	213206_at	GOSR2	1.46	golgi SNAP receptor complex member 2
GO:0003697	single-stranded DNA binding	0.0371	201222_s_at	RAD23B	1.58	RAD23 homolog B (S. cerevisiae)
GO:0003697	single-stranded DNA binding	0.0371	221642_at	TREX1	1.6	three prime repair exonuclease 1
GO:0006350	transcription	0.0413	208965_s_at	IFI16	0.62	interferon, gamma-inducible protein 16
GO:0006350	transcription	0.0413	48825_at	ING4	0.62	inhibitor of growth family, member 4
GO:0006350	transcription	0.0413	209317_at	POLR1C	0.72	polymerase (RNA) I polypeptide C, 30kDa
GO:0006350	transcription	0.0413	200856_x_at	NCOR1	0.8	nuclear receptor co-repressor 1
GO:0006350	transcription	0.0413	208398_s_at	TBPL1	1.15	TBP-like 1
GO:0006350	transcription	0.0413	207347_at	ERCC6	1.19	excision repair cross-complementing rodent repair deficiency, complementation group 6
GO:0006350	transcription	0.0413	201459_at	RUVBL2	1.26	RuvB-like 2 (E. coli)
GO:0006350	transcription	0.0413	212966_at	HIC2	1.27	hypermethylated in cancer 2
GO:0006350	transcription	0.0413	202474_s_at	HCFC1	1.3	host cell factor C1 (VP16-accessory protein)
GO:0006350	transcription	0.0413	214728_x_at	SMARCA4	1.32	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4
