Genbank ID	Gene Title	Gene Symbol	5 h                               FC ± SEM	8 d                FC ± SEM	1.5 mos                              FC ± SEM	6 mos                                       FC ± SEM	Gene sequence
AF402611	FYVE, RhoGEF and PH domain containing 4	Fgd4	N.C.	-1.8 ± 0.4	N.C.	N.C.	63
BC023064	guanine nucleotide binding protein (G protein), gamma transducing activity polypeptide 1	Gngt1	N.C.	-3.3 ± 0.4	N.C.	N.C.	64
L03353	CD247 antigen	Cd247	N.C.	-2.0 ± 0.4	N.C.	N.C.	65
AK004371	RAS-like, family 11, member A	Rasl11a	N.C.	-1.8 ± 0.4	N.C.	N.C.	66
BB271919	Ras-like without CAAX 2	Rit2	N.C.	-3.7 ± 0.5	N.C.	N.C.	67
NM_025331	guanine nucleotide binding protein (G protein), gamma 11	Gng11	N.C.	-1.5 ± 0.4	N.C.	N.C.	68
NM_016708	neuropeptide Y receptor Y5	Npy5r	N.C.	-3.1 ± 0.5	N.C.	N.C.	69
M59811	thyrotropin releasing hormone receptor	Trhr	N.C.	-3.6 ± 0.7	N.C.	N.C.	70
BE288934	neuronal PAS domain protein 3	Npas3	N.C.	-2.5 ± 0.4	N.C.	N.C.	71
BI738491	rhodopsin	Rho	N.C.	-1.6 ± 0.4	N.C.	N.C.	72
AA510713	suppressor of cytokine signaling 5	Socs5	-2.6 ± 0.4	N.C.	N.C.	N.C.	73
AB015595	calcitonin receptor-like	Calcrl	-3.5 ± 0.4	-1.5 ± 0.4	N.C.	N.C.	74
AF022992	period homolog 1 (Drosophila)	Per1	N.C.	N.C.	N.C.	-1.7 ± 0.4	75
AF072249	methyl-CpG binding domain protein 4	Mbd4	-2.3 ± 0.4	N.C.	N.C.	N.C.	76
AF333028	adrenergic receptor kinase, beta 1	Adrbk1	-1.6 ± 0.4	N.C.	N.C.	N.C.	77
AF350047	regulator of G-protein signaling 3	Rgs3	-2.5 ± 0.4	N.C.	N.C.	N.C.	78
AK004683	wingless-related MMTV integration site 7A	Wnt7a	-1.8 ± 0.4	N.C.	N.C.	N.C.	79
AK010040	interleukin 17 receptor	Il17r	N.C.	N.C.	-1.5 ± 0.4	N.C.	80
AK010380	protein phosphatase 2 (formerly 2A), regulatory subunit B (PR 52), alpha isoform	Ppp2r2a	-1.6 ± 0.4	N.C.	N.C.	N.C.	81
AK013804	purinergic receptor P2Y, G-protein coupled 12	P2ry12	N.C.	N.C.	-1.5 ± 0.4	-1.6 ± 0.4	82
AK017904	CD3 antigen, zeta polypeptide	Cd3z	N.C.	N.C.	-1.8 ± 0.4	N.C.	83
AK018378	adrenergic receptor, beta 1	Adrb1	-2.3 ± 0.4	N.C.	N.C.	N.C.	84
AV265674	RIKEN cDNA 1700019B16 gene	1700019B16Rik	-2.0 ± 0.4	N.C.	N.C.	N.C.	85
AV373771	prostaglandin I receptor (IP)	Ptgir	-2.1 ± 0.4	N.C.	N.C.	N.C.	86
AW546508	phospholipase C, gamma 2	Plcg2	N.C.	N.C.	-1.5 ± 0.4	N.C.	87
BB139986	regulator of G-protein signaling 18	Rgs18	N.C.	N.C.	-1.8 ± 0.5	-1.9 ± 0.5	88
BB204380	chemokine (C-C motif) receptor 7	Ccr7	N.C.	N.C.	-2.3 ± 0.4	N.C.	89
BB345784	insulin receptor substrate 1	Irs1	-2.6 ± 0.4	N.C.	N.C.	-1.9 ± 0.4	90
BB371406	frizzled homolog 2 (Drosophila)	Fzd2	-4.5 ± 0.4	N.C.	N.C.	N.C.	91
BB533323	angiotensin receptor-like 1	Agtrl1	-3.1 ± 0.4	N.C.	-2.6 ± 0.4	-2.3 ± 0.5	92
BB628935	ankyrin 3, epithelial /// RIKEN cDNA 2900054D09 gene	Ank3 /// 2900054D09Rik	N.C.	N.C.	-1.7 ± 0.4	N.C.	93
BB730912	interleukin 13 receptor, alpha 1	Il13ra1	N.C.	N.C.	-1.5 ± 0.4	N.C.	94
BB775785	paired immunoglobin-like type 2 receptor alpha	Pilra	N.C.	N.C.	-1.6 ± 0.4	N.C.	95
BC003838	regulator of G-protein signaling 19	Rgs19	-1.6 ± 0.4	N.C.	N.C.	N.C.	96
BC005440	prostaglandin E receptor 2 (subtype EP2)	Ptger2	-4.6 ± 0.4	N.C.	N.C.	N.C.	97
BC010480	RIKEN cDNA A230055J12 gene	Lphn3	-2.2 ± 0.5	-5.7 ± 0.4	N.C.	N.C.	98
BC013820	rhotekin	Rtkn	-1.5 ± 0.4	N.C.	N.C.	N.C.	99
BC020534	cholecystokinin A receptor	Cckar	-3.0 ± 0.4	N.C.	N.C.	N.C.	100
BC021308	G-protein signalling modulator 2 (AGS3-like, C. elegans)	Gpsm2	-2.0 ± 0.4	N.C.	N.C.	N.C.	101
BC026373	wingless-related MMTV integration site 2	Wnt2	-1.6 ± 0.4	N.C.	N.C.	N.C.	102
BC026377	RASD family, member 2	Rasd2	N.C.	N.C.	-2.0 ± 0.4	-2.1 ± 0.4	103
BC027102	cysteinyl leukotriene receptor 1	Cysltr1	-2.0 ± 0.4	N.C.	N.C.	N.C.	104
BC027191	oxidase assembly 1-like	Oxa1l	-1.5 ± 0.4	N.C.	N.C.	N.C.	105
BF472806	guanylate cyclase 1, soluble, beta 3	Gucy1b3	-1.7 ± 0.4	N.C.	N.C.	N.C.	106
BG094302	guanine nucleotide binding protein, alpha 13	Gna13	N.C.	-1.8 ± 0.4	-1.6 ± 0.4	N.C.	107
BG695431	ADP-ribosylation factor related protein 1	Arfrp1	-1.6 ± 0.4	N.C.	N.C.	N.C.	108
BI081723	ras homolog gene family, member Q	Rhoq	-1.6 ± 0.4	N.C.	N.C.	N.C.	109
BM243660	ras homolog gene family, member H	Rhoh	N.C.	N.C.	-2.8 ± 0.5	N.C.	110
BM248774	Rho GTPase activating protein 5	Arhgap5	-1.5 ± 0.4	-1.8 ± 0.4	N.C.	N.C.	111
L43164	regulatory factor X-associated ankyrin-containing protein	Rfxank	-4.1 ± 0.6	N.C.	N.C.	N.C.	113
NM_007412	adrenomedullin receptor	Admr	-2.5 ± 0.4	N.C.	N.C.	N.C.	114
NM_007551	Burkitt lymphoma receptor 1	Blr1	N.C.	N.C.	-2.0 ± 0.4	N.C.	115
NM_007655	CD79A antigen (immunoglobulin-associated alpha)	Cd79a	-1.5 ± 0.4	N.C.	-3.9 ± 0.4	-1.9 ± 0.5	116
NM_008057	frizzled homolog 7 (Drosophila)	Fzd7	-2.8 ± 0.4	N.C.	N.C.	N.C.	117
NM_008152	G-protein coupled receptor 65	Gpr65	N.C.	N.C.	-1.5 ± 0.4	N.C.	118
NM_008339	CD79B antigen	Cd79b	N.C.	N.C.	-3.9 ± 0.4	N.C.	119
NM_008679	nuclear receptor coactivator 3	Ncoa3	-1.5 ± 0.4	N.C.	N.C.	N.C.	121
NM_008840	phosphatidylinositol 3-kinase catalytic delta polypeptide	Pik3cd	N.C.	-2.4 ± 0.5	-1.8 ± 0.4	N.C.	122
NM_008874	phospholipase C, beta 3	Plcb3	-1.9 ± 0.4	N.C.	N.C.	N.C.	123
NM_008965	prostaglandin E receptor 4 (subtype EP4)	Ptger4	N.C.	N.C.	-1.5 ± 0.4	N.C.	124
NM_008966	prostaglandin F receptor	Ptgfr	-2.7 ± 0.4	N.C.	N.C.	N.C.	125
NM_009008	RAS-related C3 botulinum substrate 2	Rac2	N.C.	N.C.	-2.0 ± 0.4	N.C.	126
NM_009062	regulator of G-protein signaling 4	Rgs4	-1.6 ± 0.4	N.C.	N.C.	N.C.	127
NM_009384	T-cell lymphoma invasion and metastasis 1	Tiam1	-2.3 ± 0.4	N.C.	-2.1 ± 0.4	-1.9 ± 0.4	128
NM_009779	complement component 3a receptor 1	C3ar1	-2.0 ± 0.4	N.C.	N.C.	N.C.	129
NM_009835	chemokine (C-C motif) receptor 6	Ccr6	N.C.	N.C.	-1.6 ± 0.4	N.C.	130
NM_009924	cannabinoid receptor 2 (macrophage)	Cnr2	-2.4 ± 0.4	N.C.	N.C.	N.C.	131
NM_010934	neuropeptide Y receptor Y1	Npy1r	-6.0 ± 0.7	N.C.	N.C.	N.C.	132
NM_011067	period homolog 3 (Drosophila)	Per3	-3.7 ± 0.4	N.C.	N.C.	-1.8 ± 0.4	133
NM_011823	G protein-coupled receptor 34	Gpr34	-2.8 ± 0.5	N.C.	-1.8 ± 0.4	N.C.	134
NM_013487	CD3 antigen, delta polypeptide	Cd3d	N.C.	N.C.	-3.1 ± 0.5	N.C.	135
NM_016765	dimethylarginine dimethylaminohydrolase 2	Ddah2	-1.9 ± 0.4	N.C.	N.C.	-1.5 ± 0.4	136
NM_018750	Ras association (RalGDS/AF-6) domain family 5	Rassf5	N.C.	N.C.	-1.7 ± 0.4	N.C.	137
NM_022983	endothelial differentiation, lysophosphatidic acid G-protein-coupled receptor 7	Edg7	-2.2 ± 0.4	N.C.	N.C.	N.C.	138
NM_029519	RIKEN cDNA 5830461H18 gene	5830461H18Rik	-2.3 ± 0.4	N.C.	N.C.	N.C.	139
NM_054044	G protein-coupled receptor 124	Gpr124	-1.8 ± 0.4	N.C.	N.C.	N.C.	140
NM_133962	rho/rac guanine nucleotide exchange factor (GEF) 18	Arhgef18	-1.8 ± 0.4	N.C.	N.C.	N.C.	141
U10551	GTP binding protein (gene overexpressed in skeletal muscle)	Gem	N.C.	N.C.	-1.7 ± 0.4	N.C.	142
BG068753	Dedicator of cytokinesis 4	Dock4	-2.0 ± 0.4	N.C.	N.C.	N.C.	18
NM_010612	kinase insert domain protein receptor	Kdr	-1.6 ± 0.4	N.C.	N.C.	N.C.	42
L13103	mitogen activated protein kinase kinase kinase 1	Map3k1	-1.6 ± 0.4	N.C.	N.C.	N.C.	33
AV047342	protein kinase inhibitor beta, cAMP dependent, testis specific	Pkib	N.C.	N.C.	-1.5 ± 0.4	N.C.	65
BB134628	Protein tyrosine phosphatase, receptor type, D	Ptprd	N.C.	-7.0 ± 0.9	N.C.	N.C.	178
BI076698	Phosphatidylinositol 3 kinase, regulatory subunit, polypeptide 3 (p55)	Pik3r3	N.C.	-1.8 ± 0.4	N.C.	N.C.	200
BG071771	Calcium/calmodulin-dependent serine protein kinase (MAGUK family)	Cask	N.C.	-1.7 ± 0.4	N.C.	N.C.	201
BB451347	protein tyrosine phosphatase, receptor type, D	Ptprd	N.C.	-3.9 ± 0.4	N.C.	N.C.	209
BG076035	protein phosphatase 3, catalytic subunit, beta isoform	Ppp3cb	N.C.	-4.2 ± 0.4	N.C.	N.C.	217
AI662854	signal-regulatory protein beta 1	Sirpb1	N.C.	N.C.	-1.7 ± 0.4	N.C.	318
AV066689	RIO kinase 2 (yeast)	Riok2	-1.6 ± 0.4	N.C.	N.C.	N.C.	377
AV079128	mitogen activated protein kinase kinase kinase 4	Map3k4	-2.0 ± 0.4	N.C.	N.C.	N.C.	379
AV104668	kinesin family member 1B	Kif1b	-2.7 ± 0.4	N.C.	N.C.	N.C.	382
AV110584	MARCKS-like 1	Marcksl1	N.C.	N.C.	-2.0 ± 0.4	N.C.	383
AV122249	kinesin family member 21B	Kif21b	N.C.	N.C.	-1.6 ± 0.4	N.C.	386
AV235634	RAB3A interacting protein	Rab3ip	-1.7 ± 0.4	N.C.	N.C.	N.C.	410
AV209892	protein kinase inhibitor, gamma	Pkig	-1.5 ± 0.4	N.C.	N.C.	N.C.	396
AV380561	Receptor (TNFRSF)-interacting serine-threonine kinase 1	Serpinb6a	-2.0 ± 0.4	N.C.	N.C.	N.C.	477
AW492648	Rho guanine nucleotide exchange factor (GEF) 15	Arhgef15	-3.9 ± 0.4	N.C.	N.C.	N.C.	486
AW910872	SH3 domain containing ring finger 2	Sh3rf2	-1.5 ± 0.4	N.C.	N.C.	N.C.	505
BB040841	Kinesin family member 13A	Kif13a	-1.7 ± 0.4	N.C.	N.C.	N.C.	537
BB036235	serine/threonine kinase 23	Stk23	N.C.	N.C.	-1.8 ± 0.4	N.C.	531
BB072090	SH3 multiple domains 2	Sh3md2	-1.5 ± 0.4	N.C.	N.C.	N.C.	548
BB085335	inositol polyphosphate-5-phosphatase F	Inpp5f	-1.5 ± 0.4	N.C.	N.C.	N.C.	554
BB230757	cAMP responsive element binding protein 3-like 2	Creb3l2	-1.5 ± 0.4	N.C.	N.C.	N.C.	618
BB417145	G protein-coupled receptor 23	Gpr23	-1.8 ± 0.5	N.C.	N.C.	N.C.	681
BB430502	protein kinase C, zeta	Prkcz	-2.5 ± 0.4	N.C.	N.C.	N.C.	684
BB435342	receptor interacting protein kinase 5	Ripk5	-1.5 ± 0.4	N.C.	N.C.	N.C.	687
BB397672	protein tyrosine kinase 9-like (A6-related protein)	Ptk9l	-2.2 ± 0.4	N.C.	N.C.	N.C.	673
BB461848	FCH and double SH3 domains 2	Fchsd2	-1.8 ± 0.4	N.C.	N.C.	N.C.	702
BB470329	Transmembrane and coiled coil domains 1	3632431M01Rik	-1.7 ± 0.4	N.C.	N.C.	N.C.	705
BB528554	serine/threonine kinase 36 (fused homolog, Drosophila)	Stk36	-1.7 ± 0.4	N.C.	N.C.	N.C.	725
BB546619	mitogen activated protein kinase kinase kinase kinase 1	Map4k1	N.C.	N.C.	-2.0 ± 0.4	N.C.	732
BB636266	Nemo like kinase	Nlk	-2.7 ± 0.4	N.C.	N.C.	N.C.	739
BB812574	G protein-coupled receptor 126	Gpr126	-1.5 ± 0.4	N.C.	N.C.	N.C.	781
BG071940	protein phosphatase 1, regulatory (inhibitor) subunit 3B	Ppp1r3b	-2.4 ± 0.4	N.C.	N.C.	N.C.	866
BG072799	guanylate cyclase 1, soluble, alpha 3	Gucy1a3	-1.7 ± 0.4	N.C.	N.C.	N.C.	869
BG145550	G protein-coupled receptor 18	Gpr18	-1.5 ± 0.4	N.C.	N.C.	N.C.	886
BG519214	striatin, calmodulin binding protein	Strn	-1.5 ± 0.4	N.C.	N.C.	N.C.	890
BM197239	Protein kinase ATR (Atr)	1700065D16Rik	N.C.	N.C.	-1.5 ± 0.4	N.C.	929
BM198170	TAO kinase 2	Taok2	-1.9 ± 0.4	N.C.	N.C.	N.C.	930
BM222798	Rho GTPase activating protein 15	Arhgap15	N.C.	N.C.	-2.2 ± 0.4	N.C.	946
BM234405	BMP2 inducible kinase	Bmp2k	-1.7 ± 0.4	N.C.	N.C.	N.C.	949
BM243674	GTPase, IMAP family member 8	Gimap8	-2.1 ± 0.4	N.C.	N.C.	N.C.	959
BM244999	Rho GTPase activating protein 30	Arhgap30	N.C.	N.C.	-1.5 ± 0.3	N.C.	961
BM936013	signal-induced proliferation-associated 1 like 1	Sipa1l1	-2.2 ± 0.4	N.C.	N.C.	N.C.	973
NM_080464	protein phosphatase 1, regulatory (inhibitor) subunit 3A	Ppp1r3a	N.C.	-2.2 ± 0.4	N.C.	N.C.	1043
NM_011946	mitogen activated protein kinase kinase kinase 2	Map3k2	N.C.	-1.9 ± 0.4	N.C.	N.C.	1046
NM_023209	PDZ binding kinase	Pbk	N.C.	-1.8 ± 0.4	N.C.	N.C.	1117
AK021186	serine threonine kinase 31	Stk31	N.C.	-8.1 ± 0.8	N.C.	N.C.	1161
AF062076	serine/threonine kinase 16	Stk16	-1.7 ± 0.4	N.C.	N.C.	N.C.	1180
AF259672	protein phosphatase 1A, magnesium dependent, alpha isoform	Ppm1a	-1.6 ± 0.4	N.C.	N.C.	N.C.	1194
AI893646	protein tyrosine phosphatase, receptor type, K	Ptprk	N.C.	N.C.	-1.5 ± 0.4	-1.5 ± 0.4	1215
AK002516	Rho, GDP dissociation inhibitor (GDI) beta	Arhgdib	N.C.	N.C.	-1.6 ± 0.4	N.C.	1220
AK008803	SH2 domain containing 4A	Sh2d4a	-2.3 ± 0.4	N.C.	N.C.	-1.6 ± 0.4	1263
AK008856	Ral GEF with PH domain and SH3 binding motif 2	Ralgps2	-1.7 ± 0.3	N.C.	-1.5 ± 0.4	N.C.	1264
AK010754	protein phosphatase 2 (formerly 2A), regulatory subunit A (PR 65), beta isoform	Ppp2r1b	-1.6 ± 0.4	N.C.	N.C.	N.C.	1284
AK013205	calcium binding protein 39-like	Cab39l	-1.5 ± 0.4	N.C.	N.C.	N.C.	1311
AK014601	protein tyrosine phosphatase 4a3	Ptp4a3	-1.7 ± 0.4	N.C.	N.C.	N.C.	1330
AK018286	transmembrane emp24 domain containing 8	Tmed8	-1.9 ± 0.4	N.C.	N.C.	N.C.	1349
AK018317	Rho GTPase activating protein 20	Arhgap20	-1.7 ± 0.5	N.C.	N.C.	N.C.	1350
BB431654	RAB GTPase activating protein 1-like	Rabgap1l	-1.8 ± 0.4	N.C.	N.C.	N.C.	1434
BB326929	SH3-domain kinase binding protein 1	Sh3kbp1	N.C.	N.C.	-1.6 ± 0.4	N.C.	1427
BB351792	inosine 5-phosphate dehydrogenase 1	Impdh1	-1.7 ± 0.4	N.C.	N.C.	N.C.	1430
BB667215	Rho GTPase activating protein 18	Arhgap18	N.C.	-2.0 ± 0.4	-1.5 ± 0.4	N.C.	1451
BB667753	GTPase, IMAP family member 6	Gimap6	-1.5 ± 0.4	N.C.	N.C.	-1.6 ± 0.4	1452
BB760902	G protein-coupled receptor kinase-interactor 2	Git2	-1.5 ± 0.4	N.C.	N.C.	N.C.	1459
BB762731	G protein-coupled receptor 155	Gpr155	-2.2 ± 0.4	N.C.	N.C.	-1.5 ± 0.4	1460
BC005577	GTPase, IMAP family member 4	Gimap4	-2.5 ± 0.4	N.C.	N.C.	-1.5 ± 0.4	1493
BC019174	adenylate kinase 3	Ak3	-1.5 ± 0.4	N.C.	N.C.	N.C.	1543
BE981338	GPI-anchored membrane protein 1	Gpiap1	-1.6 ± 0.4	-2.7 ± 0.4	N.C.	N.C.	1637
BE986849	protein phosphatase 1, regulatory (inhibitor) subunit 14B	Ppp1r14b	N.C.	N.C.	-1.5 ± 0.4	N.C.	1638
BF160591	protein kinase C, nu	Prkcn	-1.5 ± 0.4	N.C.	N.C.	N.C.	1644
BF660388	protein kinase C, beta 1	Prkcb1	N.C.	N.C.	-4.2 ± 0.6	N.C.	1652
BG064038	Rho GTPase activating protein 12	Arhgap12	-1.9 ± 0.4	N.C.	N.C.	N.C.	1655
BM207274	GTP binding protein 3	Gtpbp3	-2.5 ± 0.4	N.C.	N.C.	N.C.	1688
BQ177170	transmembrane 4 superfamily member 1	Tm4sf1	-1.5 ± 0.4	N.C.	N.C.	N.C.	1718
BQ179335	SH3-domain binding protein 5 (BTK-associated)	Sh3bp5	N.C.	N.C.	-1.6 ± 0.4	N.C.	1719
D00208	S100 calcium binding protein A4	S100a4	N.C.	N.C.	-2.1 ± 0.4	N.C.	1721
NM_007405	adenylate cyclase 6	Adcy6	-1.6 ± 0.3	N.C.	N.C.	N.C.	1728
NM_007406	adenylate cyclase 7	Adcy7	-2.0 ± 0.4	N.C.	N.C.	N.C.	1729
NM_008376	GTPase, IMAP family member 1	Gimap1	-3.0 ± 0.4	N.C.	N.C.	N.C.	1745
NM_009114	S100 calcium binding protein A9 (calgranulin B)	S100a9	N.C.	N.C.	-3.3 ± 0.6	N.C.	1762
NM_008905	protein tyrosine phosphatase, receptor-type, F interacting protein, binding protein 2	Ppfibp2	-1.7 ± 0.4	N.C.	N.C.	N.C.	1757
NM_008984	protein tyrosine phosphatase, receptor type, M	Ptprm	N.C.	N.C.	N.C.	-1.5 ± 0.4	1758
NM_009624	adenylate cyclase 9	Adcy9	-1.5 ± 0.4	N.C.	N.C.	N.C.	1777
NM_011216	protein tyrosine phosphatase, receptor type, O	Ptpro	-2.9 ± 0.4	N.C.	-2.2 ± 0.4	-2.1 ± 0.4	1800
NM_010878	non-catalytic region of tyrosine kinase adaptor protein 1	Nck1	-2.4 ± 0.4	N.C.	N.C.	N.C.	1795
NM_012059	SH3 domain protein D19	Sh3d19	-2.4 ± 0.4	N.C.	N.C.	N.C.	1816
NM_013482	Bruton agammaglobulinemia tyrosine kinase	Btk	N.C.	N.C.	-1.6 ± 0.4	N.C.	1817
NM_013545	protein tyrosine phosphatase, non-receptor type 6	Ptpn6	N.C.	N.C.	-1.7 ± 0.4	N.C.	1818
NM_013650	S100 calcium binding protein A8 (calgranulin A)	S100a8	N.C.	N.C.	-2.9 ± 0.6	N.C.	1819
NM_016933	protein tyrosine phosphatase, receptor type, C polypeptide-associated protein	Ptprcap	N.C.	N.C.	-2.0 ± 0.4	N.C.	1828
