Gene Symbol	 Fold change	Functional Category
NOS3	2.7	 Vasomotor and blood pressure regulation 
PTHLH	7.5	 Vasomotor and blood pressure regulation 
BMP4	-2.7	 Immune and lymphatic system development and function 
CIQR1	-4.4	 Immune and lymphatic system development and function 
CCL2	-15.4	 Immune and lymphatic system development and function 
CCND3	1.9	 Immune and lymphatic system development and function 
CRP	-2.2	 Immune and lymphatic system development and function 
CXCR4	-1.9	 Immune and lymphatic system development and function 
DLL1	2.2	 Immune and lymphatic system development and function 
DOCK2	-1.9	 Immune and lymphatic system development and function 
EDN1	-5.3	 Immune and lymphatic system development and function 
FGR	2	 Immune and lymphatic system development and function 
ICOSL	-2.7	 Immune and lymphatic system development and function 
ID1	2.6	 Immune and lymphatic system development and function 
ID3	-3.1	 Immune and lymphatic system development and function 
IGF2	4.1	 Immune and lymphatic system development and function 
ILIRL1	2.6	 Immune and lymphatic system development and function 
IL8	-2.9	 Immune and lymphatic system development and function 
KCNN4	6.4	 Immune and lymphatic system development and function 
KITLG	3.5	 Immune and lymphatic system development and function 
LBP	-2.2	 Immune and lymphatic system development and function 
LGALS9	2.6	 Immune and lymphatic system development and function 
LTC4S	5.2	 Immune and lymphatic system development and function 
MAPK9	3	 Immune and lymphatic system development and function 
MVP	2	 Immune and lymphatic system development and function 
NDRG1	5.9	 Immune and lymphatic system development and function 
NOS3	2.7	 Immune and lymphatic system development and function 
PROS1	2	 Immune and lymphatic system development and function 
PTPRJ	3.3	 Immune and lymphatic system development and function 
SFTPD	5.7	 Immune and lymphatic system development and function 
STAT1	-2.1	 Immune and lymphatic system development and function 
THBD	6.1	 Immune and lymphatic system development and function 
THBS1	-7.8	 Immune and lymphatic system development and function 
TRAF6	-2.2	 Immune and lymphatic system development and function 
CCL2	-15.4	 Chemotaxis and infiltration of leukocytes, granulocytes, and lymphocytes 
CCR8	2	 Chemotaxis and infiltration of leukocytes, granulocytes, and lymphocytes 
CRP	-2.2	 Chemotaxis and infiltration of leukocytes, granulocytes, and lymphocytes 
CXCR4	-1.9	 Chemotaxis and infiltration of leukocytes, granulocytes, and lymphocytes 
DAF	2	 Chemotaxis and infiltration of leukocytes, granulocytes, and lymphocytes 
DOCK2	-1.9	 Chemotaxis and infiltration of leukocytes, granulocytes, and lymphocytes 
ELN	6.1	 Chemotaxis and infiltration of leukocytes, granulocytes, and lymphocytes 
ILIRL1	2.6	 Chemotaxis and infiltration of leukocytes, granulocytes, and lymphocytes 
IL8	-2.9	 Chemotaxis and infiltration of leukocytes, granulocytes, and lymphocytes 
KITLG	3.5	 Chemotaxis and infiltration of leukocytes, granulocytes, and lymphocytes 
LGALS9	2.6	 Chemotaxis and infiltration of leukocytes, granulocytes, and lymphocytes 
NFKBIA	1.9	 Chemotaxis and infiltration of leukocytes, granulocytes, and lymphocytes 
NOS3	2.7	 Chemotaxis and infiltration of leukocytes, granulocytes, and lymphocytes 
RGS3	-2.4	 Chemotaxis and infiltration of leukocytes, granulocytes, and lymphocytes 
SFTPD	5.7	 Chemotaxis and infiltration of leukocytes, granulocytes, and lymphocytes 
THBS1	-7.8	 Chemotaxis and infiltration of leukocytes, granulocytes, and lymphocytes 
BCL3	1.9	 Hemostasis and hematologic disorder 
CCR8	2	 Hemostasis and hematologic disorder 
CXCR4	-1.9	 Hemostasis and hematologic disorder 
EPAS1	2.1	 Hemostasis and hematologic disorder 
IGF2	4.1	 Hemostasis and hematologic disorder 
ILIRL1	2.6	 Hemostasis and hematologic disorder 
IL8	-2.9	 Hemostasis and hematologic disorder 
KITLG	3.5	 Hemostasis and hematologic disorder 
LEPR	-1.9	 Hemostasis and hematologic disorder 
MT2A	-2.2	 Hemostasis and hematologic disorder 
NFKBIA	1.9	 Hemostasis and hematologic disorder 
PROS1	2	 Hemostasis and hematologic disorder 
PTHLH	7.5	 Hemostasis and hematologic disorder 
SERPINE1	-7.4	 Hemostasis and hematologic disorder 
TFP1	-1.9	 Hemostasis and hematologic disorder 
THBD	6.1	 Hemostasis and hematologic disorder 
VWF	2.5	 Hemostasis and hematologic disorder 
