Binreg coefficient	Probe ID	Gene symbol	Description
0.002108	219743_at	HEY2	hairy/enhancer-of-split related with YRPW motif 2
0.002101	215707_s_at	PRNP	prion protein (p27-30) (Creutzfeldt-Jakob disease, Gerstmann-Strausler-Scheinker syndrome, fatal familial insomnia)
0.00206	202889_x_at	MAP7	microtubule-associated protein 7
0.001977	41577_at	PPP1R16B	protein phosphatase 1, regulatory (inhibitor) subunit 16B
0.001935	200096_s_at	ATP6V0E	ATPase, H+ transporting, lysosomal 9kDa, V0 subunit e /// ATPase, H+ transporting, lysosomal 9kDa, V0 subunit e
0.001867	220285_at	C9ORF77	chromosome 9 open reading frame 77
0.001854	211214_s_at	DAPK1	death-associated protein kinase 1
0.00175	218186_at	RAB25	RAB25, member RAS oncogene family
0.001572	206012_at	LEFTY2	left-right determination factor 2
0.001274	221605_s_at	PIPOX	pipecolic acid oxidase
0.000825	205640_at	ALDH3B1	aldehyde dehydrogenase 3 family, member B1
0.000814	212919_at	DCP2	DCP2 decapping enzyme homolog (S. cerevisiae)
0.00042	209489_at	CUGBP1	CUG triplet repeat, RNA binding protein 1
0.000269	212180_at	CRKL	v-crk sarcoma virus CT10 oncogene homolog (avian)-like
-0.000474	210029_at	INDO	indoleamine-pyrrole 2,3 dioxygenase
-0.000495	202822_at	LPP	LIM domain containing preferred translocation partner in lipoma
-0.001087	221245_s_at	C2ORF31	chromosome 2 open reading frame 31 /// chromosome 2 open reading frame 31
-0.001134	211940_x_at	H3F3A /// LOC440926 /// LOC644914	H3 histone, family 3A
-0.001532	202911_at	MSH6	mutS homolog 6 (E. coli)
-0.001577	202956_at	ARFGEF1	ADP-ribosylation factor guanine nucleotide-exchange factor 1(brefeldin A-inhibited)
-0.001617	213722_at	SOX2	SRY (sex determining region Y)-box 2
-0.001958	213050_at	COBL	cordon-bleu homolog (mouse)
-0.004219	201266_at	TXNRD1	thioredoxin reductase 1
-0.006752	213283_s_at	SALL2	sal-like 2 (Drosophila)
-0.00762	213301_x_at	TRIM24	tripartite motif-containing 24
