ENSEMBL_gene_id	Glomerulus cDNA clones ENSEMBL_gene_name	Clone_id	log2(glo/rest_kidney)	Pvalue	log2(glo/brain_capillary)	Pvalue2
ENSMUSG00000021759	Lipid phosphate phosphohydrolase 1 (EC 3.1.3.4) (Phosphatidic acid phosphatase 2	MTG_602138959	1.94	0.01596	1.72	0.00313
ENSMUSG00000018995		gbctl04_plate11_G20	1.54	0.0254	2.09	0.00562
ENSMUSG00000050493		gbctl04_plate3_L03	1.74	0.01526	1.87	0.00997
ENSMUSG00000018593	SPARC precursor (Secreted protein acidic and rich in cysteine) (Osteonectin) (ON)	MTG_602469065	1.42	0.00428	2.16	0.00062
ENSMUSG00000028713	Cytochrome P450 4B1 (EC 1.14.14.1) (CYPIVB1). [Source:Uniprot/SWISSPROT;Ac	gbctl04_plate9_A23	1.96	0.00272	1.61	0.00118
ENSMUSG00000029211	Gamma-aminobutyric-acid receptor alpha-4 subunit precursor (GABA(A) receptor). [	gbctl04_plate12_P13	1.48	0.0096	2.08	0.0273
ENSMUSG00000006403	a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1	gbctl04_plate3_H19	1.59	0.03715	1.96	0.0354
ENSMUSG00000020044	Metalloproteinase inhibitor 3 precursor (TIMP-3) (Tissue inhibitor of metalloproteinas	MTG_602468343	1.4	0.01188	2.15	0.0155
ENSMUSG00000034786	G-protein signalling modulator 3 (AGS3-like, C. elegans). [Source:RefSeq;Acc:NM_	gbctl04_plate13_G20	1.98	0.01229	1.57	0.00551
ENSMUSG00000052131	Aldose reductase-related protein 1 (EC 1.1.1.21) (AR) (Aldehyde reductase) (VAS d	MTG_602472838	1.21	0.00563	2.33	0.00269
ENSMUSG00000008136	Skeletal muscle LIM-protein 3 (SLIM 3) (LIM-domain protein DRAL) (Four and a half	MTG_602469765	1.04	0.02239	2.49	0.00034
ENSMUSG00000039503		gbctl04_plate13_N06	1.51	0.03356	2.02	0.0238
ENSMUSG00000006205	Serine protease HTRA1 precursor (EC 3.4.21.-). [Source:Uniprot/SWISSPROT;Acc:	MTG_602469553	2.37	0.00331	1.13	0.0229
ENSMUSG00000017309		MTG_602471842	1.98	0.00239	1.49	0.0191
ENSMUSG00000022272		MTG_602469704	1.78	0.02084	1.64	0.00929
ENSMUSG00000057604	LIM and cysteine-rich domains protein 1. [Source:Uniprot/SWISSPROT;Acc:Q8VEE	gbctl04_plate4_H19	1.01	0.01103	2.41	0.00335
ENSMUSG00000031538	Tissue-type plasminogen activator precursor (EC 3.4.21.68) (tPA) (t- PA) (t-plasmin	MTG_602138944	2.13	0.00415	1.27	0.0102
ENSMUSG00000056501	CCAAT/enhancer binding protein beta (C/EBP beta) (Interleukin-6- dependent bindi	MTG_602474692	1.44	0.03063	1.96	0.00097
ENSMUSG00000032666		MTG_602474473	1.12	0.02045	2.26	0.00056
ENSMUSG00000043298		MTG_602467115	1.38	0.01682	1.98	0.00096
ENSMUSG00000027800	Transmembrane 4 superfamily member 1 (Tumor-associated antigen L6) (Membran	gbctl04_plate10_O12	1.79	0.00958	1.56	0.00355
ENSMUSG00000005501	Ubiquitin carboxyl-terminal hydrolase 40 (EC 3.1.2.15) (Ubiquitin thiolesterase 40) (U	gbctl04_plate11_P15	1.72	0.00378	1.61	0.00653
ENSMUSG00000051978		MTG_602467162	1.46	0.00765	1.86	0.00917
ENSMUSG00000021453	Growth arrest and DNA-damage-inducible protein GADD45 gamma (Cytokine respo	MTG_602467360	1.67	0.02043	1.65	0.0112
ENSMUSG00000011263		MTG_602467554	1.82	0.00239	1.49	0.0222
ENSMUSG00000026152	procollagen, type IV, alpha 3. [Source:RefSeq;Acc:NM_007734	gbctl04_plate6_O08	1.57	0.00406	1.74	0.00601
ENSMUSG00000030127	COP9 (constitutive photomorphogenic) homolog, subunit 7a; COP9 (constitutive ph	MTG_602471313	1.51	0.01359	1.8	0.00164
ENSMUSG00000025402	NGFI-A binding protein 2 (EGR-1 binding protein 2). [Source:Uniprot/SWISSPROT;	MTG_602477020	1.06	0.00678	2.22	0.00017
ENSMUSG00000015568	Lipoprotein lipase precursor (EC 3.1.1.34) (LPL). [Source:Uniprot/SWISSPROT;Acc:	MTG_602475573	1.09	0.01788	2.15	0.0004
ENSMUSG00000026249	Glia derived nexin precursor (GDN) (Protease nexin I) (PN-1) (Serine protease-inhib	iMTG_602468479	1.88	0.00297	1.36	0.00414
ENSMUSG00000032625		MTG_602477667	1.47	0.01076	1.77	0.00868
ENSMUSG00000035441		MTG_602139038	1.32	0.00418	1.92	0.00067
ENSMUSG00000051855	mesoderm specific transcript; EST AI256745. [Source:RefSeq;Acc:NM_008590]	gbctl04_plate8_I13	1.21	0.01934	2.03	0.00563
ENSMUSG00000022231	Semaphorin 5A precursor (Semaphorin F) (Sema F). [Source:Uniprot/SWISSPROT;	gbctl04_plate17_H13	1.05	0.00574	2.16	0.0073
ENSMUSG00000040260	Disheveled associated activator of morphogenesis 2. [Source:Uniprot/SWISSPROT;	Agbctl04_plate5_C02	1.48	0.00264	1.71	0.0471
ENSMUSG00000027170	dendritic cell protein GA17. [Source:RefSeq;Acc:NM_145380]	gbctl04_plate17_F23	1.21	0.00402	1.93	0.00034
ENSMUSG00000052062	Amyotrophic lateral sclerosis 2 chromosome region candidate gene protein 19 homo	MTG_602468054	1.14	0.0228	1.99	0.00876
ENSMUSG00000036879		MTG_602296393	1.56	0.00297	1.54	0.00289
ENSMUSG00000031778	Fractalkine precursor (CX3CL1) (Neurotactin) (CX3C membrane-anchored chemoki	MTG_602476781	1.26	0.00364	1.8	0.00049
ENSMUSG00000035403	5930402A21 protein (Fragment). [Source:Uniprot/SPTREMBL;Acc:Q80YA8	MTG_602470194	1.76	0.00328	1.28	0.00709
ENSMUSG00000001493	Homeobox protein MOX-1 (Mesenchyme homeobox 1). [Source:Uniprot/SWISSPR	MTG_602474862	1.24	0.02044	1.76	0.0204
ENSMUSG00000022817	Integrin beta-5 precursor. [Source:Uniprot/SWISSPROT;Acc:O70309]	MTG_602467875	1.22	0.00574	1.78	0.0079
ENSMUSG00000037266		gbctl04_plate8_J22	1.45	0.0176	1.55	0.0428
ENSMUSG00000015745	TNF intracellular domain-interacting protein; CK2 interacting protein 1. [Source:RefS	gbctl04_plate12_N03	1.93	0.00395	1.05	0.0125
ENSMUSG00000022894	ADAMTS-5 precursor (EC 3.4.24.-) (A disintegrin and metalloproteinase with thromb	oMTG_602469049	1.6	0.01184	1.35	0.0452
ENSMUSG00000058056	Strain Swiss Webster/NIH actin-associated protein palladin (Fragment). [Source:Uni	gbctl04_plate11_D16	1.24	0.00354	1.71	0.00126
ENSMUSG00000026584	ezrin-binding partner PACE-1. [Source:RefSeq;Acc:NM_028776]	MTG_602471190	1.52	0.00354	1.41	0.00165
ENSMUSG00000039706	LIM domain binding 2. [Source:RefSeq;Acc:NM_010698]	gbctl04_plate14_N07	1.47	0.00948	1.46	0.00324
ENSMUSG00000020601	tribbles homolog 2. [Source:RefSeq;Acc:NM_144551]	MTG_602467572	1.37	0.00574	1.52	0.0199
ENSMUSG00000013833	thyroid hormone receptor associated protein 5; thyroid hormone receptor-associated	MTG_602469016	1.43	0.00303	1.4	0.00369
ENSMUSG00000022579	1110002J19Rik protein (High density lipoprotein binding protein 1). [Source:Uniprot/	gbctl04_plate15_B13	1.37	0.0401	1.46	0.0412
ENSMUSG00000019857	ASF1 anti-silencing function 1 homolog A. [Source:RefSeq;Acc:NM_025541]	gbctl04_plate10_J02	1.43	0.00302	1.39	0.0126
ENSMUSG00000064326	Apoptosis regulatory protein Siva (CD27-binding protein) (CD27BP). [Source:Unipro	MTG_602477616	1.42	0.00428	1.39	0.011
ENSMUSG00000020520	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferas	MTG_602475529	1.74	0.0026	1.05	0.00624
ENSMUSG00000052837	Transcription factor jun-B. [Source:Uniprot/SWISSPROT;Acc:P09450]	MTG_602472486	1.2	0.00815	1.58	0.00829
ENSMUSG00000048878	cardiac lineage protein 1. [Source:RefSeq;Acc:NM_138753]	MTG_602470118	1.49	0.009	1.27	0.0199
ENSMUSG00000057301		MTG_602476681	1.19	0.00367	1.57	0.0051
ENSMUSG00000002250	Peroxisome proliferator activated receptor delta (PPAR-delta) (PPAR- beta) (Nuclea	MTG_602476773	1.23	0.00422	1.5	0.00125
ENSMUSG00000058799	Nucleosome assembly protein 1-like 1 (NAP-1 related protein) (Brain protein DN38)	.MTG_602469448	1.13	0.01946	1.59	0.00322
ENSMUSG00000026672	optineurin; TFIIIA-INTP. [Source:RefSeq;Acc:NM_181848]	MTG_602296315	1.16	0.00635	1.45	0.00893
ENSMUSG00000039628		MTG_602467022	1.06	0.01288	1.54	0.00666
ENSMUSG00000008348	Ubiquitin. [Source:Uniprot/SWISSPROT;Acc:P02248]	gbctl04_plate6_P06	1.15	0.00569	1.45	0.00133
ENSMUSG00000020121	SLIT-ROBO Rho GTPase activating protein 1 (srGAP1) (Rho-GTPase- activating pr	gbctl04_plate12_O13	1.05	0.00772	1.54	0.0129
ENSMUSG00000052105		MTG_602467135	1.37	0.00708	1.2	0.0163
ENSMUSG00000040003	Atrophin-1 interacting protein 1 (Membrane associated guanylate kinase inverted-2)	MTG_602473284	1.33	0.00426	1.22	0.0144
ENSMUSG00000021112	MAGUK p55 subfamily member 5 (Protein associated with Lin-7 1). [Source:Uniprot/	MTG_602468154	1.22	0.00347	1.32	0.00496
ENSMUSG00000042675	Yippee-like protein 3. [Source:Uniprot/SWISSPROT;Acc:P61237]	MTG_602476328	1.21	0.02145	1.32	0.0292
ENSMUSG00000050212		gbctl04_plate8_G02	1.21	0.00609	1.29	0.00568
ENSMUSG00000022122	Endothelin B receptor precursor (ET-B) (Endothelin receptor Non- selective type). [S	ogbctl04_plate11_C08	1.24	0.03716	1.23	0.0295
ENSMUSG00000000934	DNA topoisomerase I. [Source:Uniprot/SPTREMBL;Acc:Q8R4U6]	MTG_602476161	1.17	0.0278	1.29	0.0281
ENSMUSG00000054203	interferon activated gene 205; interferon-activatable protein 205-like. [Source:RefSe	MTG_602474876	1.35	0.03053	1.11	0.0305
ENSMUSG00000029070	limitrin. [Source:RefSeq;Acc:NM_024263]	MTG_602469209	1.17	0.00597	1.27	0.00298
ENSMUSG00000060985		MTG_602471140	1.32	0.00303	1.03	0.0466
ENSMUSG00000029638	glucocorticoid induced transcript 1; testhymin; thymocyte/spermatocyte selection 1. [	MTG_602467575	1.21	0.03079	1.11	0.0324
ENSMUSG00000056748		gbctl04_plate12_K16	1.05	0.02941	1.22	0.00879
ENSMUSG00000058865		MTG_602467063	1.07	0.02394	1.19	0.0127
ENSMUSG00000022505	Epithelial membrane protein-2 (EMP-2) (XMP protein). [Source:Uniprot/SWISSPRO	MTG_602475342	1.05	0.00556	1.16	0.00902
ENSMUSG00000000325	Armadillo repeat protein deleted in velo-cardio-facial syndrome homolog (Fragment).	MTG_602296391	1.19	0.00639	1.01	0.0484
ENSMUSG00000027777	schwannomin interacting protein 1; neurofibromatosis 2 interacting protein. [Source:	MTG_602472953	1.1	0.00665	1.09	0.0229
ENSMUSG00000026712	mannose receptor, C type 1. [Source:RefSeq;Acc:NM_008625]	MTG_602467778	1.04	0.00551	1.12	0.00342
	EST	gbctl04_plate7_K14	2.49	0.006303	3.26	0.00018
	EST	gbctl04_plate5_I23	2.45	0.013272	3.09	0.00057
	EST	MTG_602469520	2.27	0.00239	3.2	0.00003
	EST	MTG_602310626	1.02	0.045325	4.23	0.00006
	EST	gbctl04_plate4_O08	2.24	0.009017	2.95	0.00033
	EST	MTG_602467023	2.28	0.002723	2.79	0.00079
	EST	gbctl04_plate3_I22	1.99	0.01192	2.99	0.00033
	EST	gbctl04_plate15_K17	2.7	0.00239	2.01	0.0295
	EST	gbctl04_plate10_D02	2.09	0.003032	2.43	0.00006
	EST	MTG_602473406	2.06	0.00239	2.45	0.00473
	EST	gbctl04_plate8_M14	2.19	0.002642	2.25	0.00465
	EST	gbctl04_plate5_M19	2.49	0.00239	1.91	0.00145
	EST	MTG_602471429	1.5	0.00302	2.67	0.00388
	EST	MTG_602474109	2.2	0.002577	1.92	0.0224
	EST	MTG_602470178	1.93	0.020682	1.98	0.00243
	EST	gbctl04_plate13_C03	1.71	0.009746	2.13	0.0118
	EST	MTG_602473630	1.55	0.030634	2.14	0.00853
	EST	gbctl04_plate3_I13	1.82	0.027714	1.85	0.0193
	EST	gbctl04_plate6_O05	2.15	0.00239	1.45	0.00879
	EST	gbctl04_plate14_K23	1.6	0.006993	1.73	0.00091
	EST	MTG_602476601	1.41	0.025245	1.87	0.0482
	EST	MTG_602471282	1.56	0.002723	1.7	0.0322
	EST	MTG_602473845	1.53	0.002723	1.63	0.00343
	EST	MTG_602470345	1.26	0.003671	1.88	0.0386
	EST	MTG_602138935	1.14	0.031845	1.93	0.00258
	EST	MTG_602474350	1.73	0.004031	1.32	0.0349
	EST	MTG_602467858	1.53	0.003055	1.41	0.0121
	EST	MTG_602477647	1.16	0.049493	1.65	0.00823
	EST	gbctl04_plate14_F05	1.34	0.01129	1.46	0.0115
	EST	MTG_602467148	1.43	0.003032	1.33	0.00484
	EST	MTG_602476817	1.04	0.009021	1.46	0.00187
	EST	MTG_602471153	1.21	0.004895	1.25	0.0132
	EST	MTG_602468449	1.19	0.009021	1.13	0.0252
	EST	MTG_602473237	1.09	0.008067	1.2	0.00817
