Genbank ID	Gene Title	Gene Symbol	5 h                               FC ± SEM	8 d                FC ± SEM	1.5 mos                              FC ± SEM	6 mos                                       FC ± SEM	Gene sequence
AU067663	protein phosphatase 1, regulatory (inhibitor) subunit 9A	Ppp1r9a	-1.7 ± 0.4	N.C.	N.C.	N.C.	15
AV026976	PTK2 protein tyrosine kinase 2 beta	Ptk2b	N.C.	N.C.	-1.5 ± 0.3	N.C.	16
AV330236	Adducin 1 (alpha)	Add1	-1.7 ± 0.4	N.C.	N.C.	N.C.	17
AW550681	Spectrin beta 2	Spnb2	-1.8 ± 0.4	-1.7 ± 0.4	N.C.	N.C.	18
BB009122	FERM domain containing 4B	Frmd4b	-2.1 ± 0.3	N.C.	N.C.	N.C.	19
BB045512	talin 1	Tln1	-1.9 ± 0.4	N.C.	N.C.	N.C.	20
BB104162	myosin IXa	Myo9a	-3.0 ± 0.4	N.C.	N.C.	N.C.	21
BB105164	LIM and SH3 protein 1	Lasp1	-1.6 ± 0.4	N.C.	N.C.	N.C.	22
BB277912	amyotrophic lateral sclerosis 2 (juvenile) chromosome region, candidate 2 homolog (human)	Als2cr2	-2.2 ± 0.4	N.C.	N.C.	N.C.	23
BB326749	metastasis suppressor 1	Mtss1	-1.6 ± 0.4	N.C.	N.C.	N.C.	24
BB357580	cortactin binding protein 2	Cttnbp2	-2.2 ± 0.4	N.C.	-3.0 ± 0.4	N.C.	25
BB408240	Diaphanous homolog 1 (Drosophila)	Diap1	-1.6 ± 0.4	N.C.	N.C.	N.C.	26
BB416028	Protein tyrosine phosphatase, non-receptor type 4 (Ptpn4), mRNA	Ptpn4	N.C.	N.C.	-1.5 ± 0.4	N.C.	27
BB667124	tropomodulin 2	Tmod2	-1.9 ± 0.4	N.C.	N.C.	N.C.	28
BB667786	Actin binding LIM protein family, member 3, mRNA (cDNA clone MGC:106450 IMAGE:30534236)	D930036B08Rik	N.C.	N.C.	-1.5 ± 0.4	N.C.	29
BB794772	myosin X	Myo10	N.C.	N.C.	N.C.	-1.6 ± 0.4	30
BE133806	myosin VI	Myo6	-2.0 ± 0.4	N.C.	N.C.	N.C.	31
BE287052	Rho guanine nucleotide exchange factor (GEF) 17	Arhgef17	-1.8 ± 0.4	N.C.	N.C.	N.C.	32
BI695250	kelch-like 20 (Drosophila)	Klhl20	-1.8 ± 0.4	N.C.	N.C.	N.C.	33
BM936783	FYVE, RhoGEF and PH domain containing 6	Fgd6	-3.0 ± 0.4	N.C.	N.C.	N.C.	34
C81400	DNA segment, Chr 15, ERATO Doi 366, expressed	D15Ertd366e	-1.6 ± 0.4	N.C.	N.C.	N.C.	35
NM_021278	thymosin, beta 4, X chromosome	Tmsb4x	N.C.	-2.0 ± 0.4	N.C.	N.C.	36
BM239931	ribosomal protein L31 /// similar to ribosomal protein L31 /// similar to ribosomal protein L31 /// similar to ribosomal protein L31 /// similar to ribosomal protein L31 /// similar to ribosomal protein L31 /// similar to ribosomal protein L31 /// similar to ribosomal protein L31 /// similar to ribosomal protein L31 /// similar to ribosomal protein L31	Rpl31 /// LOC544868 /// LOC632618 /// LOC638399 /// LOC665562 /// LOC667682 /// LOC670381 /// LOC672957 /// LOC673582 /// LOC676592	N.C.	-1.7 ± 0.4	N.C.	N.C.	37
BI793814	KRIT1, ankyrin repeat containing	Krit1	N.C.	-3.2 ± 0.4	N.C.	N.C.	38
AK013585	formin 2	Fmn2	N.C.	-2.3 ± 0.4	N.C.	N.C.	39
AK014104	Wiskott-Aldrich syndrome-like (human)	Wasl	N.C.	-1.7 ± 0.4	N.C.	N.C.	40
BC018383	internexin neuronal intermediate filament protein, alpha	Ina	N.C.	-2.1 ± 0.4	N.C.	N.C.	41
NM_009132	scinderin	Scin	N.C.	-2.0 ± 0.4	N.C.	N.C.	42
AI323758	cofilin 2, muscle	Cfl2	-1.5 ± 0.4	N.C.	N.C.	N.C.	43
AK005167	RIKEN cDNA 1500005P14 gene	1500005P14Rik	-1.5 ± 0.4	N.C.	N.C.	N.C.	44
AK018649	myosin IE	Myo1e	-1.7 ± 0.4	N.C.	N.C.	N.C.	45
AK021181	myosin IF	Myo1f	-2.3 ± 0.4	N.C.	N.C.	N.C.	46
BC011476	erythrocyte protein band 4.1-like 5		N.C.	N.C.	-1.5 ± 0.4	-1.5 ± 0.4	47
BG075295	TNF receptor-associated factor 3 interacting protein 1	Traf3ip1	-1.7 ± 0.4	N.C.	N.C.	N.C.	48
BM203457	supervillin	Svil	-1.7 ± 0.4	N.C.	N.C.	N.C.	49
NM_007868	dystrophin, muscular dystrophy	Dmd	-1.5 ± 0.4	N.C.	N.C.	N.C.	50
NM_015756	shroom	Shrm	-1.5 ± 0.4	N.C.	N.C.	N.C.	51
NM_016712	tropomodulin 4	Tmod4	-2.1 ± 0.6	N.C.	N.C.	N.C.	52
NM_018793	tyrosine kinase 2	Tyk2	-1.8 ± 0.4	N.C.	N.C.	N.C.	53
NM_026524	Mid1 interacting protein 1 (gastrulation specific G12-like (zebrafish))	Mid1ip1	-1.9 ± 0.3	N.C.	N.C.	N.C.	54
AV310148	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1	Smarcb1	-1.6 ± 0.4	N.C.	N.C.	N.C.	446
