Probe set	Symbol	Name	Fold-difference
236099_at	---	CDNA FLJ41339 fis, clone BRASW1000053	0.0954807
212094_at	PEG10	paternally expressed 10	0.0951708
226282_at	---	Full length insert cDNA clone ZE03F06	0.0931923
213060_s_at	CHI3L2	chitinase 3-like 2 /// chitinase 3-like 2	0.0924148
205184_at	GNG4	guanine nucleotide binding protein (G protein), gamma 4	0.0914203
207892_at	CD40LG	CD40 ligand (TNF superfamily, member 5, hyper-IgM syndrome)	0.0905702
212827_at	IGHM	immunoglobulin heavy constant mu /// immunoglobulin heavy constant mu	0.0880737
231418_at	---	Transcribed locus, strongly similar to NP_068769.2 membrane-spanning 4-domains, subfamily A, member 1; CD20 antigen; CD20 receptor; B-lymphocyte cell-surface antigen B1 [Homo sapiens]	0.0843777
209583_s_at	CD200	CD200 molecule	0.0839205
201438_at	COL6A3	collagen, type VI, alpha 3	0.0829914
221874_at	KIAA1324	KIAA1324	0.082978
217418_x_at	MS4A1	membrane-spanning 4-domains, subfamily A, member 1	0.082151
206126_at	BLR1	Burkitt lymphoma receptor 1, GTP binding protein (chemokine (C-X-C motif) receptor 5)	0.0814733
210073_at	ST8SIA1	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1	0.0785395
214841_at	CNIH3	cornichon homolog 3 (Drosophila)	0.0780907
215025_at	NTRK3	neurotrophic tyrosine kinase, receptor, type 3	0.0752972
212097_at	CAV1	caveolin 1, caveolae protein, 22kDa	0.0732781
227524_at	---	---	0.0716534
214238_at	---	Clone DT1P1B6 mRNA, CAG repeat region	0.0713236
227410_at	FAM43A	family with sequence similarity 43, member A	0.0702491
204995_at	CDK5R1	cyclin-dependent kinase 5, regulatory subunit 1 (p35)	0.0697364
210356_x_at	MS4A1	membrane-spanning 4-domains, subfamily A, member 1	0.0685353
225525_at		KIAA1671 protein	0.0662029
226828_s_at	HEYL	hairy/enhancer-of-split related with YRPW motif-like	0.0655919
239082_at	---	CDNA clone IMAGE:5311370	0.0636435
218839_at	HEY1	hairy/enhancer-of-split related with YRPW motif 1	0.0609916
216876_s_at	IL17A	interleukin 17A	0.0609291
206643_at	HAL	histidine ammonia-lyase	0.0585517
204260_at	CHGB /// MON2	chromogranin B (secretogranin 1) /// MON2 homolog (S. cerevisiae)	0.0581519
221271_at	IL21	interleukin 21	0.0568997
227798_at	SMAD1	SMAD, mothers against DPP homolog 1 (Drosophila)	0.0563122
230626_at	TSPAN12	tetraspanin 12	0.0537278
230551_at	---	Shinc-4 mRNA, partial sequence	0.0497086
228592_at	MS4A1	membrane-spanning 4-domains, subfamily A, member 1	0.0469234
228737_at	C20orf100	chromosome 20 open reading frame 100	0.0455803
44783_s_at	HEY1	hairy/enhancer-of-split related with YRPW motif 1	0.0406369
205242_at	CXCL13	chemokine (C-X-C motif) ligand 13 (B-cell chemoattractant)	0.0267124
205267_at	POU2AF1	POU domain, class 2, associating factor 1	0.0178804
