Probe ID	Gene Symbol	Chromosomal location	Representative public ID	Score	Fold Change	Sam
209199_s_at	MEF2C	Chr:5q14	N22468	9.368051	2.64362	MLL
200953_s_at	CCND2	Chr:12p13	NM_001759	-5.69598	0.33982	MLL
212678_at	NF1	Chr:17q11.2	AW054826	-5.20104	0.56561	MLL
214651_s_at	HOXA9	Chr:7p15-p14	U41813	7.879088	4.49362	MLL
203010_at	STAT5A	Chr:17q11.2	NM_003152	-5.12884	0.66444	MLL
215933_s_at	HHEX	Chr:10q23.33	Z21533	-4.68752	0.64762	MLL
217887_s_at	EPS15	Chr:1p32	NM_001981	-4.60044	0.60701	MLL
205051_s_at	KIT	Chr:4q11-q12	NM_000222	-4.37725	0.31488	MLL
217886_at	EPS15	Chr:1p32	BF213575	-5.75494	0.61244	MLL
37966_at	PARVB	Chr:22q13.2-q13.33	AA187563	-4.44304	0.44436	t(15;17)
209200_at	MEF2C	Chr:5q14	AL536517	-5.05558	0.11808	t(15;17)
209306_s_at	SWAP70	Chr:11p15	AI139569	-4.88999	0.39318	t(15;17)
209199_s_at	MEF2C	Chr:5q14	N22468	-4.85988	0.15073	t(15;17)
202443_x_at	NOTCH2	Chr:1p13-p11	AA291203	-4.59803	0.42286	t(15;17)
207760_s_at	NCOR2	Chr:12q24	NM_006312	-4.55472	0.65323	t(15;17)
206074_s_at	HMGA1	Chr:6p21	NM_002131	-5.47374	0.51576	t(15;17)
216237_s_at	MCM5	Chr:22q13.1	AA807529	-4.46308	0.56244	t(15;17)
204116_at	IL2RG	Chr:xq13.1	NM_000206	4.045447	1.56653	t(15;17)
201755_at	MCM5	Chr:22q13.1	NM_006739	-4.39296	0.52947	t(15;17)
212377_s_at	NOTCH2	Chr:1p13-p11	AU158495	-4.20498	0.42464	t(15;17)
209307_at	SWAP70	Chr:11p15	AB014540	-4.47579	0.49153	t(15;17)
212983_at	HRAS	Chr:11p15.5	NM_005343	5.336224	1.63146	t(15;17)
216449_x_at	TRA1	Chr:12q24.2-q24.3	AK025862	5.598284	2.53324	t(15;17)
200599_s_at	TRA1	Chr:12q24.2-q24.3	NM_003299	8.089121	2.13956	t(15;17)
210756_s_at	NOTCH2	Chr:1p13-p11	AF308601	-5.41605	0.22753	t(15;17)
200953_s_at	CCND2	Chr:12p13	NM_001759	6.580952	2.12819	t(15;17)
211095_at	NF1	Chr:17q11.2	D12625	4.763843	2.275	t(15;17)
210694_s_at	MID1	Chr:Xp22	AF041209	4.674401	1.7019	t(15;17)
200598_s_at	TRA1	Chr:12q24.2-q24.3	AI582238	4.456506	1.65814	t(15;17)
212590_at	SCP2	Chr:11p15.2	AI431643	4.311224	1.65275	t(15;17)
212589_at	RRAS2	Chr:11p15.2	AI753792	4.186701	2.59839	t(15;17)
211524_at	NFKB2	Chr:10q24	U09609	4.136783	2.43093	t(15;17)
206589_at	GFI1	Chr:1p22	NM_005263	7.240095	2.40882	t(15;17)
218902_at	NOTCH1	Chr:9q34.3	NM_017617	-4.30109	0.59342	t(8;21)
219255_x_at	IL17RB	Chr:3p21.1	NM_018725	5.68705	3.06255	t(8;21)
208978_at	CRIP2	Chr:14q32.3	U36190	4.446839	3.74645	t(8;21)
201700_at	CCND3	Chr:6p21	NM_001760	-5.1897	0.49017	t(8;21)
201850_at	CAPG	Chr:2cen-q24	NM_001747	-5.17501	0.10256	t(8;21)
