Function	Gene	Affymetrix Probe Set ID	p-Value	Fold Change	Chromosome Location
cell death	BCL10	1557257_at	7.02E-07	1.9	1p22
cell death	FXR1	229519_at	2.59E-04	1.9	3q28
cell death	IL1B	39402_at	7.38E-04	1.8	2q14
cell death	MGC13096	224467_s_at	8.75E-09	1.8	19q13.12
cell death	DNASE1L3	205554_s_at	4.70E-04	1.8	3p21.1-3p14.3
cell death	EBAG9	204278_s_at	5.36E-06	1.7	8q23
cell death	ZNF443	205928_at	3.07E-04	1.6	19p13.2
cell death	BCL2L1	215037_s_at	5.11E-05	1.6	20q11.21
cell death	SMNDC1	200071_at	3.58E-06	1.5	10q23
cell death	BAG5	202985_s_at	3.16E-04	1.5	14q32.33
cell death	CASP9	203984_s_at	6.75E-05	-1.5	1p36.3-p36.1
cell death	ACINUS	201715_s_at	9.83E-10	-1.7	14q11.2
cell death	SON	226465_s_at	1.26E-05	-1.8	21q22.1-q22.2
cell death	NA	212320_at	1.49E-04	-1.8	6p21.32
cell death	CTNNAL1	202468_s_at	4.31E-06	-2.3	9q31.2
cell death	SULF1	212354_at	1.30E-04	-2.4	8q13.2
cell death	COP	1552701_a_at	1.32E-07	-2.5	11
cell death	CFLAR	239629_at	1.54E-04	-3	2q33-q34
cell differentiation	SKIL	217591_at	3.50E-06	2.2	3q26
cell differentiation	NOTCH4	205247_at	9.31E-10	1.9	6p21.3
cell differentiation	MGC16025	204225_at	2.51E-04	-2	2q37.3
cell differentiation	FGF9	206404_at	1.41E-04	-3.3	13q11-q12
cell growth and/or maintenance	ATP8B1	226302_at	1.19E-10	7.7	18q21-q22
cell growth and/or maintenance	RGC32	218723_s_at	1.82E-10	7.4	13q13.3
cell growth and/or maintenance	LCN2	212531_at	2.56E-09	4.8	9q34
cell growth and/or maintenance	DACH	228915_at	1.04E-05	4.5	13q22
cell growth and/or maintenance	HIST2H2AA	214290_s_at	5.75E-10	4.5	1q21.3
cell growth and/or maintenance	HIST1H1C	209398_at	3.27E-05	4	6p21.3
cell growth and/or maintenance	EDN1	222802_at	2.71E-04	4	6p24.1
cell growth and/or maintenance	ENPEP	204844_at	6.17E-13	3.4	4q25
cell growth and/or maintenance	RAB25	218186_at	1.95E-05	3	1q22
cell growth and/or maintenance	NEDD9	202149_at	9.79E-05	3	6p25-p24
cell growth and/or maintenance	H2AFX	205436_s_at	2.64E-08	2.8	11q23.2-q23.3
cell growth and/or maintenance	FZD3	219683_at	3.45E-10	2.8	8p21
cell growth and/or maintenance	SMC4L1	215623_x_at	5.62E-09	2.7	3q26.1
cell growth and/or maintenance	HGF	209960_at	7.61E-04	2.7	7q21.1
cell growth and/or maintenance	CKS1B	201897_s_at	6.33E-11	2.6	1q21.2
cell growth and/or maintenance	MCM2	202107_s_at	2.69E-08	2.6	3q21
cell growth and/or maintenance	CNAP1	201774_s_at	4.99E-04	2.6	12p13.3
cell growth and/or maintenance	H2BFS	208579_x_at	8.78E-05	2.5	21q22.3
cell growth and/or maintenance	SORL1	203509_at	9.67E-04	2.5	11q23.2-q24.2
cell growth and/or maintenance	GLRB	205280_at	3.39E-04	2.5	4q31.3
cell growth and/or maintenance	PMSCL1	213226_at	5.67E-08	2.5	4q27
cell growth and/or maintenance	YES1	202933_s_at	3.22E-12	2.5	18p11.31-p11.21
cell growth and/or maintenance	CCND1	208711_s_at	5.02E-06	2.5	11q13
cell growth and/or maintenance	HIST1H2BD	209911_x_at	6.66E-09	2.5	6p21.3
cell growth and/or maintenance	TMSNB	205347_s_at	7.75E-07	2.4	Xq21.33-q22.3
cell growth and/or maintenance	PFDN4	205361_s_at	1.52E-11	2.4	20q13
cell growth and/or maintenance	POPDC2	203880_at	2.73E-05	2.2	3q13.33
cell growth and/or maintenance	KPNA4	225268_at	7.99E-04	2.2	3q25.33
cell growth and/or maintenance	E2F1	2028_s_at	1.67E-06	2.2	20q11.2
cell growth and/or maintenance	HIST1H2BK	209806_at	2.91E-07	2.2	6p21.33
cell growth and/or maintenance	SNX16	219793_at	1.90E-13	2.2	8q21.13
cell growth and/or maintenance	RPGR	207624_s_at	5.12E-04	2.1	Xp11.4
cell growth and/or maintenance	RAB22A	218360_at	3.83E-08	2.1	20q13.32
cell growth and/or maintenance	RFC3	204127_at	5.47E-08	2.1	13q12.3-q13
cell growth and/or maintenance	KCNE4	222379_at	2.46E-05	2.1	2q36.3
cell growth and/or maintenance	TFAM	203177_x_at	1.01E-04	2.1	10q21
cell growth and/or maintenance	TBCE	226233_at	2.24E-06	2.1	1q42.3
cell growth and/or maintenance	CSE1L	210766_s_at	5.65E-04	2	20q13
cell growth and/or maintenance	SMARCC1	201074_at	2.16E-04	2	3p23-p21
cell growth and/or maintenance	APOC1	204416_x_at	9.32E-05	1.9	19q13.2
cell growth and/or maintenance	ATP6V0D2	1553155_x_at	6.86E-07	1.8	8
cell growth and/or maintenance	BAF53A	202666_s_at	3.04E-09	1.8	3q27.1
cell growth and/or maintenance	CTBP2	201218_at	9.14E-06	1.8	10q26.2
cell growth and/or maintenance	STX6	212800_at	1.40E-04	1.8	1q25.1
cell growth and/or maintenance	AP1M2	65517_at	3.75E-04	1.8	19p13.2
cell growth and/or maintenance	NXT2	209628_at	9.07E-05	1.8	Xq23
cell growth and/or maintenance	SLC26A2	224959_at	2.70E-04	1.8	5q31-q34
cell growth and/or maintenance	TXN	216609_at	6.66E-04	1.8	9q31
cell growth and/or maintenance	ZNF278	209431_s_at	3.84E-06	1.8	22q12.2
cell growth and/or maintenance	FEN1	204767_s_at	3.18E-04	1.7	11q12
cell growth and/or maintenance	APOE	203381_s_at	9.22E-04	1.7	19q13.2
cell growth and/or maintenance	MEIS1	204069_at	2.87E-04	1.7	2p14-p13
cell growth and/or maintenance	TLOC1	208943_s_at	1.45E-04	1.6	3q26.2-q27
cell growth and/or maintenance	NEK4	204634_at	3.79E-08	1.6	3p21.1
cell growth and/or maintenance	VEGF	210513_s_at	4.22E-05	1.6	6p12
cell growth and/or maintenance	ETV6	239740_at	3.95E-04	1.6	12p13
cell growth and/or maintenance	CDC42	226400_at	9.91E-05	1.6	1p36.1
cell growth and/or maintenance	SNX4	212652_s_at	3.19E-08	1.6	3q21.2
cell growth and/or maintenance	DD5	208882_s_at	7.88E-09	1.6	8q22
cell growth and/or maintenance	PFDN1	201507_at	8.68E-04	1.6	5q31
cell growth and/or maintenance	MRE11A	242456_at	4.02E-04	1.6	11q21
cell growth and/or maintenance	WEE1	212533_at	7.23E-05	1.6	11p15.3-p15.1
cell growth and/or maintenance	SLC35A3	209865_at	2.31E-08	1.6	1p21
cell growth and/or maintenance	DTYMK	1553983_at	3.95E-07	1.6	2q37.3
cell growth and/or maintenance	BIG1	202956_at	1.19E-06	1.5	8q13
cell growth and/or maintenance	RAB20	219622_at	9.09E-07	1.5	13q34
cell growth and/or maintenance	RRP41	58696_at	3.37E-04	1.5	8q24.3
cell growth and/or maintenance	ANK3	206385_s_at	7.56E-04	1.5	10q21
cell growth and/or maintenance	RANBP9	202582_s_at	6.48E-06	1.5	6p23
cell growth and/or maintenance	PTEN	211711_s_at	2.57E-05	1.5	10q23.3
cell growth and/or maintenance	RAB14	211503_s_at	2.32E-06	-1.5	9q32-q34.11
cell growth and/or maintenance	LRPAP1	242705_x_at	7.04E-04	-1.5	4p16.3
cell growth and/or maintenance	L3MBTL	210306_at	3.74E-05	-1.5	20q13.12
cell growth and/or maintenance	AP1M1	223024_at	4.55E-07	-1.5	19p13.12
cell growth and/or maintenance	ANAPC4	226917_s_at	6.35E-08	-1.6	4p15.31
cell growth and/or maintenance	ABCD4	203981_s_at	1.59E-06	-1.6	14q24.3
cell growth and/or maintenance	HRIHFB2122	210276_s_at	5.52E-05	-1.6	22q13.1
cell growth and/or maintenance	PACSIN2	201651_s_at	5.39E-04	-1.6	22q13.2-13.33
cell growth and/or maintenance	SLC22A5	205074_at	1.96E-05	-1.6	5q31
cell growth and/or maintenance	HFE	235754_at	1.30E-04	-1.6	6p21.3
cell growth and/or maintenance	SLC28A3	220475_at	1.60E-05	-1.6	9q22.2
cell growth and/or maintenance	FLJ20511	218794_s_at	1.74E-04	-1.6	16q22.2
cell growth and/or maintenance	AP2A2	211779_x_at	4.93E-06	-1.6	11p15.5
cell growth and/or maintenance	TAP1	1555852_at	1.28E-05	-1.6	6p21.3
cell growth and/or maintenance	SCAMP3	201771_at	1.20E-08	-1.7	1q21
cell growth and/or maintenance	HPCAL1	212552_at	1.31E-10	-1.7	2p25.1
cell growth and/or maintenance	CCND3	201700_at	4.95E-04	-1.7	6p21
cell growth and/or maintenance	HNRPA1	213356_x_at	3.05E-07	-1.8	12q13.1
cell growth and/or maintenance	PRKCM	205880_at	4.86E-04	-1.8	14q11
cell growth and/or maintenance	SNAP23	229773_at	1.34E-04	-1.9	15q14
cell growth and/or maintenance	MDM4	236814_at	8.94E-04	-1.9	1q32
cell growth and/or maintenance	TMP21	212352_s_at	6.36E-04	-1.9	14q24.3
cell growth and/or maintenance	SLC35B4	225882_at	1.19E-10	-1.9	7q33
cell growth and/or maintenance	GRP58	226974_at	1.19E-06	-1.9	15q15
cell growth and/or maintenance	RBM5	201394_s_at	9.23E-07	-2	3p21.3
cell growth and/or maintenance	NEK9	212299_at	6.03E-06	-2	14q24.2
cell growth and/or maintenance	OS-9	215399_s_at	2.06E-04	-2	12q13
cell growth and/or maintenance	SETDB2	235338_s_at	1.54E-07	-2	13q14
cell growth and/or maintenance	SH3BP4	222258_s_at	7.87E-04	-2	2q37.1-q37.2
cell growth and/or maintenance	DOCK4	205003_at	3.12E-06	-2	7q31.1
cell growth and/or maintenance	C14orf69	232280_at	3.60E-04	-2.1	14q32.32
cell growth and/or maintenance	ATP10D	213238_at	9.66E-04	-2.1	4p12
cell growth and/or maintenance	SLC25A27	230624_at	3.34E-04	-2.1	6p11.2-q12
cell growth and/or maintenance	SLC21A11	219229_at	2.38E-06	-2.1	15q26
cell growth and/or maintenance	SNX1	213364_s_at	3.33E-04	-2.1	15q22.1
cell growth and/or maintenance	TRPC1	205802_at	7.06E-04	-2.2	3q22-q24
cell growth and/or maintenance	WT1	206067_s_at	5.51E-07	-2.3	11p13
cell growth and/or maintenance	TPCN2	229250_at	3.37E-11	-2.3	11q13.1-q13.2
cell growth and/or maintenance	NBEA	221207_s_at	9.26E-04	-2.3	13q13
cell growth and/or maintenance	QSCN6	201482_at	1.40E-05	-2.4	1q24
cell growth and/or maintenance	ATP6V0D1	212041_at	9.92E-11	-2.4	16q22
cell growth and/or maintenance	PCAF	239585_at	4.45E-10	-2.4	3p24
cell growth and/or maintenance	LRP1	200785_s_at	5.27E-05	-2.4	12q13-q14
cell growth and/or maintenance	PSAP	200866_s_at	1.21E-07	-2.5	10q21-q22
cell growth and/or maintenance	RECK	205407_at	6.79E-07	-2.5	9p13-p12
cell growth and/or maintenance	CBX6	202047_s_at	7.50E-04	-2.5	22q13.1
cell growth and/or maintenance	SE20-4	218012_at	5.05E-08	-2.6	Xp11.2
cell growth and/or maintenance	KCTD2	34858_at	2.63E-05	-2.6	17q25.2
cell growth and/or maintenance	PCOLCE2	219295_s_at	6.23E-06	-2.7	3q21-q24
cell growth and/or maintenance	TFE3	212457_at	6.63E-04	-2.7	Xp11.22
cell growth and/or maintenance	CRIM1	202552_s_at	2.86E-15	-2.8	2p21
cell growth and/or maintenance	PDGFRA	203131_at	3.83E-06	-2.9	4q11-q13
cell growth and/or maintenance	SEMA3C	203789_s_at	1.05E-08	-2.9	7q21-q31
cell growth and/or maintenance	KCNB1	211006_s_at	4.49E-04	-2.9	20q13.2
cell growth and/or maintenance	SMARCD3	204099_at	7.00E-04	-3	7q35-q36
cell growth and/or maintenance	MET	203510_at	3.20E-11	-3.1	7q31
cell growth and/or maintenance	LRP2	205710_at	9.87E-06	-3.6	2q24-q31
cell growth and/or maintenance	TM4SF11	204519_s_at	2.06E-04	-3.6	16q13
cell growth and/or maintenance	KCNK6	223658_at	3.97E-15	-3.7	19q13.1
cell growth and/or maintenance	RAB27B	228708_at	9.62E-04	-4.1	18q21.2
cell growth and/or maintenance	CCND2	200953_s_at	2.11E-05	-4.1	12p13
cell growth and/or maintenance	GAS1	204457_s_at	1.71E-04	-4.5	9q21.3-q22
cell growth and/or maintenance	VIL2	208623_s_at	1.91E-04	-4.6	6q25.2-q26
cell growth and/or maintenance	DAB2	201280_s_at	3.25E-08	-5	5p13
cell growth and/or maintenance	ARHI	215506_s_at	4.84E-17	-7.9	1p31
cell growth and/or maintenance	ABCA8	204719_at	9.43E-09	-9.4	17q24
cell growth and/or maintenance	PMS2L9	179_at	6.11E-04	-10	7q11.23
cell motility	MAGP2	209758_s_at	2.34E-09	6.2	12p13.1-p12.3
cell motility	VAV3	218807_at	3.96E-10	4.5	1p13.3
cell motility	TNNT2	215389_s_at	1.13E-05	2.4	1q32
cell motility	MMP14	202827_s_at	1.68E-05	2.3	14q11-q12
cell motility	JAG2	32137_at	2.22E-06	1.7	14q32
cell motility	F11R	223000_s_at	8.99E-04	1.5	1q21.2-q21.3
cell motility	FLII	222065_s_at	1.11E-08	-1.6	17p11.2
cell motility	NEO1	225270_at	9.54E-05	-1.7	15q22.3-q23
cell motility	PALM	203859_s_at	1.47E-04	-1.7	19p13.3
cell motility	PAFAH1B1	200816_s_at	9.88E-04	-1.7	17p13.3
cell motility	DTNA	205741_s_at	1.02E-06	-1.9	18q12
cell motility	SLIT2	209897_s_at	1.76E-06	-1.9	4p15.2
cell motility	PPAP2A	210946_at	5.19E-08	-2.6	5q11
cell motility	FPR1	205119_s_at	6.85E-05	-3.4	19q13.4
cell motility	C4A	208451_s_at	3.50E-16	-6.7	6p21.3
drug resistance	ABCC6	214033_at	1.67E-04	1.8	16p13.1
extracellular matrix organization and biogenesis	COL4A2	211964_at	1.38E-04	4.2	13q34
hemostasis	PROS1	207808_s_at	3.48E-05	-3.5	3p11-q11.2
hemostasis	TFPI2	209277_at	3.88E-11	-5.4	7q22
invasive growth	IFI44	214059_at	9.38E-05	2	1p31.1
invasive growth	HTLF	226711_at	5.03E-06	1.9	2p22-p16
invasive growth	NDP52	210817_s_at	1.49E-08	-1.6	17q21.33
metabolism	TRIP13	204033_at	7.21E-04	4.1	5p15.33
metabolism	ATF3	202672_s_at	9.22E-04	3.8	1q32.3
metabolism	LOC148203	229700_at	1.35E-08	3.8	19p13.11
metabolism	DUSP5	209457_at	4.43E-04	3.7	10q25
metabolism	PFKP	201037_at	1.56E-05	3.2	10p15.3-p15.2
metabolism	KIAA1804	228565_at	4.14E-07	3	1q42
metabolism	LOC221061	212771_at	8.60E-19	2.9	10p13
metabolism	HBXAP	218166_s_at	6.29E-14	2.6	11q13.4
metabolism	FLJ14813	228468_at	4.79E-04	2.5	10p12.1
metabolism	GPD2	225447_at	3.56E-04	2.5	2q24.1
metabolism	STK38L	212565_at	1.38E-04	2.5	12p12.1
metabolism	ST14	216905_s_at	1.62E-05	2.5	11q24-q25
metabolism	GCLM	234986_at	7.81E-05	2.4	1p22.1
metabolism	IBRDC2	228153_at	6.95E-07	2.4	6p22.3
metabolism	ZNF138	244743_x_at	1.59E-06	2.4	7q11.21-q11.23
metabolism	SNARK	220987_s_at	1.32E-04	2.4	1q32.1
metabolism	OCLN	209925_at	3.79E-10	2.3	5q13.1
metabolism	KIAA1630	209916_at	5.01E-09	2.3	10p14
metabolism	LOC134218	235032_at	4.81E-04	2.3	5p13.3
metabolism	ZNF131	225916_at	5.07E-13	2.1	5p12-p11
metabolism	HUMPPA	213230_at	3.33E-04	2.1	17q25.2
metabolism	TD-60	224578_at	5.50E-04	2.1	1p36.13
metabolism	SMARCA3	202983_at	5.86E-10	2.1	3q25.1-q26.1
metabolism	TRIP8	221763_at	1.64E-07	2.1	10q22.1
metabolism	POLR2K	202635_s_at	6.23E-04	2	8q22.3
metabolism	CSTF3	229665_at	1.86E-07	2	11p13
metabolism	ZNF435	219676_at	3.08E-08	2	6p21.33
metabolism	TIZ	217547_x_at	8.80E-06	2	19p12
metabolism	DCK	203302_at	4.24E-04	2	4q13.3-q21.1
metabolism	TRPS1	218502_s_at	1.75E-04	1.9	8q24.12
metabolism	FDX1	203646_at	4.56E-05	1.9	11q22
metabolism	LOC114977	206900_x_at	4.57E-13	1.9	19p13.11
metabolism	TYRP1	205694_at	6.97E-06	1.9	9p23
metabolism	LOC84524	223506_at	3.88E-04	1.9	2q13
metabolism	PTP4A1	200733_s_at	9.77E-12	1.9	6q12
metabolism	PLAGL2	202925_s_at	5.33E-06	1.9	20q11.21
metabolism	TOX	204529_s_at	7.46E-04	1.9	8q12.1
metabolism	B3GALT3	223374_s_at	1.56E-06	1.8	3q25
metabolism	RYBP	201845_s_at	1.74E-07	1.8	3p14.2
metabolism	VRK1	203856_at	4.08E-04	1.8	14q32
metabolism	ZNF430	238614_x_at	4.42E-05	1.8	19p13.11
metabolism	LSM5	202904_s_at	9.91E-05	1.8	7p14.3
metabolism	ARIH1	201878_at	5.37E-07	1.8	15q24
metabolism	MGC27076	57703_at	5.20E-05	1.8	3q29
metabolism	ZNF295	233952_s_at	4.11E-05	1.8	21q22.3
metabolism	CTSL2	210074_at	6.07E-06	1.8	9q22.2
metabolism	DPM1	237213_at	5.68E-05	1.7	20q13.13
metabolism	PRSS22	205847_at	8.83E-08	1.7	16p13.3
metabolism	PCCB	212694_s_at	1.10E-04	1.7	3q21-q22
metabolism	PDHX	203067_at	9.32E-12	1.7	11p13
metabolism	PPIG	208995_s_at	3.75E-08	1.7	2q31.1
metabolism	SRPK2	203182_s_at	1.11E-10	1.7	7q22-q31.1
metabolism	DKFZP434D1335	212132_at	2.47E-05	1.7	19q13.12
metabolism	IF2	201024_x_at	4.81E-04	1.7	2p11.1-q11.1
metabolism	RLF	204243_at	3.89E-04	1.6	1p32
metabolism	ZHX1	223213_s_at	1.28E-06	1.6	8q24.13
metabolism	FLJ12519	224721_at	4.41E-07	1.6	2q32.3
metabolism	ASXL1	244519_at	2.84E-06	1.6	20q11.1
metabolism	MTMR2	203211_s_at	4.10E-10	1.6	11q22
metabolism	WBP11	217822_at	8.07E-04	1.6	12p13.1
metabolism	SQLE	1557352_at	1.03E-05	1.6	8q24.1
metabolism	PPP1R2	202165_at	5.32E-05	1.6	3q29
metabolism	CGI-07	222497_x_at	6.78E-04	1.6	3q26.1
metabolism	POLR2H	209302_at	6.62E-06	1.6	3q28
metabolism	SEPHS1	208939_at	7.72E-05	1.6	10p14
metabolism	PRKCBP1	209048_s_at	2.77E-04	1.6	20q13.13
metabolism	ZNF354A	205427_at	2.01E-08	1.6	5q35.3
metabolism	CPSF3	225082_at	4.76E-07	1.6	2p25.2
metabolism	USP1	202413_s_at	1.62E-05	1.6	1p32.1-p31.3
metabolism	GCDH	208369_s_at	1.44E-04	1.6	19p13.2
metabolism	LOC162655	1568873_at	5.67E-05	1.5	18p11.21
metabolism	GGPS1	202321_at	2.21E-07	1.5	1q43
metabolism	HKE2	222029_x_at	9.41E-07	1.5	6p21.3
metabolism	UBE2E1	212519_at	1.17E-04	1.5	3p24.2-p24.1
metabolism	ZNF281	228785_at	1.11E-05	1.5	1q32.1
metabolism	ZDHHC7	218606_at	1.39E-06	-1.5	16q24.1
metabolism	SPR	203458_at	7.00E-05	-1.5	2p14-p12
metabolism	GNS	212334_at	1.03E-06	-1.5	12q14
metabolism	TXNRD3	59631_at	4.52E-05	-1.5	3p13-q13.33
metabolism	ERCC5	202414_at	1.07E-04	-1.5	13q22
metabolism	FLJ14639	217527_s_at	1.10E-06	-1.5	16p12.1
metabolism	ABHD4	218581_at	1.32E-05	-1.5	14q11.2
metabolism	MGC20446	224735_at	5.91E-06	-1.5	11q12.3
metabolism	RNPC2	227223_at	7.90E-04	-1.5	20q11.23
metabolism	RPL3	201217_x_at	4.03E-04	-1.5	22q13
metabolism	SUSP1	243768_at	2.91E-04	-1.5	6q13-q14.3
metabolism	FECH	203115_at	2.84E-04	-1.6	18q21.3
metabolism	BLVRA	211729_x_at	5.19E-10	-1.6	7p14-cen
metabolism	VARS2L	226200_at	5.58E-05	-1.6	6
metabolism	SGSH	35626_at	3.66E-04	-1.6	17q25.3
metabolism	LONP	221834_at	8.23E-04	-1.6	16q12.1
metabolism	IVD	216958_s_at	2.75E-05	-1.6	15q14-q15
metabolism	EEF2	204102_s_at	1.10E-04	-1.6	19pter-q12
metabolism	DKFZP434B1727	224124_at	2.70E-05	-1.6	2q21.3
metabolism	AARSL	231845_at	1.31E-08	-1.6	6p21.1
metabolism	EIF4EBP2	224645_at	3.43E-04	-1.6	10q21-q22
metabolism	ALDH2	201425_at	1.84E-04	-1.7	12q24.2
metabolism	OAZ1	215952_s_at	4.93E-05	-1.7	19p13.3
metabolism	UBXD2	1562741_at	1.11E-07	-1.7	2q21.3-q22.1
metabolism	DCTD	201572_x_at	2.40E-07	-1.7	4q35.1
metabolism	DDX17	208718_at	4.59E-09	-1.7	22q13.1
metabolism	UBB	200633_at	1.53E-04	-1.7	17p12-p11.2
metabolism	SIAT7D	220937_s_at	7.04E-04	-1.8	9q34
metabolism	CUGBP1	209489_at	5.40E-10	-1.8	11p11
metabolism	SNRPA1	242146_at	1.81E-05	-1.8	15q26.3
metabolism	RPS12	213377_x_at	1.34E-06	-1.8	6q23.1
metabolism	LATS2	227013_at	1.37E-06	-1.8	13q11-q12
metabolism	FNTB	1568865_at	6.18E-05	-1.8	14q23-q24
metabolism	UROD	208970_s_at	6.74E-10	-1.8	1p34
metabolism	CAPN2	208683_at	5.93E-09	-1.9	1q41-q42
metabolism	ZNF207	228157_at	4.20E-08	-1.9	17q12
metabolism	SPTBN1	212071_s_at	1.07E-06	-1.9	2p21
metabolism	ADH5	208848_at	4.56E-07	-1.9	4q21-q25
metabolism	GABPB2	205511_at	6.55E-08	-2	15q21.2
metabolism	BASP1	202391_at	2.60E-04	-2	5p15.1-p14
