Gene name	Probe ID	GeneID	Gene	Runx1	Runx2	Runx3	Functional annotation	Expression
 Ferredoxin 1	1449108_at	D43690	Fdx1	-1.76	-2.26	-2.62	1	Downregulated
 Fibronectin type III domain containing 3a	1426903_at	BC022140	Fndc3a	-1.69	-1.97	-2.64		Downregulated
 Growth arrest specific 2	1450112_a_at	NM_00807	Gas2	-1.75	-2.17	-3.31	4, 8, 9, 10	Downregulated
 Inhibitor of DNA binding 2	1435176_a_at	BF19883	Id2	-3.21	-4.74	-6.55	4, 5, 6, 7, 8, 9, 10, 11	Downregulated
 Inhibitor of DNA binding 3	1416630_at	NM_008321	Id3	-2.33	-2.82	-2.64	4, 5, 6, 8, 9, 10, 11	Downregulated
 Kit ligand	1415855_at	BB815530	Kitl	-1.63	-2.06	-2.69	1, 5	Downregulated
 Mesothelin	1460238_at	NM_018857	Msln	-1.82	-2.16	-4.92	1, 9	Downregulated
 Nuclear receptor subfamily 3,  group C member 1	1457635_s_at	BB096079	Nr3c1	-1.72	-1.97	-2.66	5, 7, 8, 10	Downregulated
 Odd Oz/ten-m homologue 4	1434530_at	BQ175876	Odz4	-2.35	-2.37	-2.66	4	Downregulated
 Phosphodiesterase 8B	1437989_at	BB357157	Pde8b	-2.46	-4.41	-11.13		Downregulated
 Procollagen lys, 2-oxoglutarate  5-dioxygenase 2	1416686_at	BC021352	Plod2	-1.92	-2.31	-2.28	1, 2	Downregulated
 Paired-related homeobox 1	1425527_at	L06502	Prrx1	-2.03	-1.7	-3.73	4, 8, 9, 10	Downregulated
 Receptor (calcitonin) activity modifying  protein 3	1420401_a_at	NM_019511	Ramp3	-1.82	-2.02	-3.06	1, 10	Downregulated
 Regulator of G-protein signalling 2	1447830_s_at	BB034265	Rgs2	-3.55	-4.4	-10.54	9, 10, 11	Downregulated
 Ring finger protein 144	1438404_at	BB125272	Rnf144	-2.63	-1.84	-2.76		Downregulated
 Sphingosine-1-phosphate phosphatase 1	1420821_at	NM_030750	Sgpp1	-1.75	-2.11	-2.96	3, 6	Downregulated
 Signal-induced proliferation-associated  1-like 2	1434261_at	AV228782	Sipa1l2	-1.77	-1.94	-2.32	5	Downregulated
 Sine oculis-related homeobox  1 homologue	1427277_at	BB137929	Six 1	-2.83	-1.89	-3.42	4, 5	Downregulated
 Transducer of ERBB2, 2	1448666_s_at	AV174616	Tob2	-1.64	-1.84	-2.36	9	Downregulated
 Vasoactive intestinal polypeptide	1428664_at	AK018599	Vip	-3.77	-4.18	-4.01	1, 5	Downregulated
 Xanthine dehydrogenase	1451006_at	AV286265	Xdh	-1.86	-2.51	-3.46	2, 4, 6, 7, 8, 9, 10	Downregulated
