Gene	Symbol	Probe1	Fold-change2
DNA-damage-inducible transcript 3	DDIT3	39420_at	-3.29
RPE-spondin	RPESP	39940_at	-3.29
Fc fragment of IgG, low affinity IIb, receptor for	FCGR2B	34664_at	-3.37
coagulation factor II (thrombin) receptor-like 1	F2RL1	38247_at	-3.37
interferon-induced protein with tetratricopeptide repeats 4	IFIT4	38584_at	-3.54
keratin 7	KRT7	41294_at	-3.55
neuronal pentraxin I	NPTX1	37921_at	-4.1
DNA-damage-inducible transcript 4	DDIT4	39827_at	-4.17
bone marrow stromal cell antigen 2	BST2	39061_at	-4.27
chitinase 3-like 1	CHI3L1	36197_at	-4.68
baculoviral IAP repeat-containing 5	BIRC5	40533_at	-4.8
BMP and activin membrane-bound inhibitor	BAMBI	37678_at	-5.11
KIAA1199	NA	36070_at	-5.56
myxovirus resistance 1	MX1	37014_at	-5.86
G protein-coupled receptor 51	GPR51	33764_at	-6.2
serine proteinase inhibitor, clade B, member 2	SERPINB2	37185_at	-11.68
