Probe Set ID	Fold Regulation	A269_R11	A269_R18	A269_R28	A269_R43	A269_R46	A269_R8	Gene Symbol	Gene Title
227688_at	0.498063607	148.03745	69.15289	100.813446	223.52548	249.00914	165.94565	LRCH2	leucine-rich repeats and calponin homology (CH) domain containing 2
219483_s_at	0.499765431	118.17136	87.998375	74.860306	168.13986	190.28697	203.89706	PORCN	porcupine homolog (Drosophila)
232256_s_at	2.060381747	109.549835	150.54642	145.70016	58.667313	67.32881	70.95593	LOC401321	hypothetical LOC401321
227542_at	2.062235648	655.4315	419.311	453.25366	207.423	248.61119	284.9074	SOCS6	Suppressor of cytokine signaling 6
220231_at	2.111099241	53.053947	35.027184	59.03877	21.129028	31.12754	17.432198	C7orf16	chromosome 7 open reading frame 16
229123_at	2.159359628	157.02737	160.82051	86.15101	74.43272	50.40604	62.25323	ZNF224	Zinc finger protein 224
205771_s_at	2.21784196	609.66785	720.0408	556.12177	328.30966	293.2276	228.76247	AKAP7	A kinase (PRKA) anchor protein 7
232500_at	2.221015088	60.024647	64.59696	82.971596	27.23459	27.985039	38.248085	C20orf74	chromosome 20 open reading frame 74
230653_at	2.241205267	788.16016	362.22418	419.75055	250.46793	185.00815	265.10004		Transcribed locus
1559190_s_at	2.25829793	117.75947	78.726715	122.13513	59.214474	33.732727	48.14194		MRNA; cDNA DKFZp313H0740 (from clone DKFZp313H0740)
219557_s_at	2.295847319	69.13811	34.496338	45.783024	18.719927	23.362427	22.99927	NRIP3	nuclear receptor interacting protein 3
203221_at	2.317779685	1315.3176	1262.6494	732.3565	411.66977	403.47617	613.0845	TLE1	transducin-like enhancer of split 1 (E(sp1) homolog, Drosophila)
1552316_a_at	2.372843795	43.009266	35.001213	37.086395	11.511059	14.839993	22.154827	GIMAP1	GTPase, IMAP family member 1
1558164_s_at	2.379507717	251.28435	132.53333	131.52803	64.518974	52.81653	99.241104	PEX13	Peroxisome biogenesis factor 13
223298_s_at	2.400662035	1275.1785	1676.7086	1338.5281	670.3178	460.93826	655.92395	NT5C3	5-nucleotidase, cytosolic III
229442_at	2.428656609	476.703	236.8773	202.10448	147.04202	114.26633	115.7251	C18orf54	chromosome 18 open reading frame 54
203604_at	2.450922732	261.41742	202.33173	166.43611	105.10356	96.896965	55.12111	ZNF516	zinc finger protein 516
227072_at	2.544637993	496.4286	360.37802	522.7422	250.9248	99.7113	191.50342	RTTN	rotatin
212775_at	2.560250409	1062.8838	1778.9675	1410.5842	739.6685	479.7476	441.52905	OBSL1	obscurin-like 1
220483_s_at	2.613608331	142.22737	68.14792	63.85442	26.993523	36.898594	41.03168	RNF19	ring finger protein 19
203504_s_at	2.638331218	485.00632	402.16925	324.7085	93.76172	115.41547	250.16016	ABCA1	ATP-binding cassette, sub-family A (ABC1), member 1
218966_at	2.785860626	149.5752	148.67038	209.45007	59.702175	52.184166	70.353806	MYO5C	myosin VC
236795_at	3.152681378	189.08873	83.66992	154.93153	52.90691	26.548656	56.203617		Transcribed locus
226499_at	3.175144987	183.70619	124.78187	122.081375	58.28365	28.490074	48.832504	MGC61598	Similar to ankyrin-repeat protein Nrarp
1558522_at	3.266226771	54.4288	74.131935	71.26891	21.480062	17.0927	22.607817	MPP6	Membrane protein, palmitoylated 6 (MAGUK p55 subfamily member 6)
228347_at	3.484523017	226.60684	121.38908	93.448074	41.80147	31.41427	53.471325	SIX1	Sine oculis homeobox homolog 1 (Drosophila)
1552378_s_at	3.919746398	176.08606	126.07121	111.73589	29.862682	53.72895	22.000189	RDH10	retinol dehydrogenase 10 (all-trans)
204379_s_at	4.012461853	253.31361	203.31885	349.33774	117.626625	40.139732	43.1004	FGFR3	fibroblast growth factor receptor 3 (achondroplasia, thanatophoric dwarfism)
227860_at	4.327037037	243.56638	194.8323	390.16193	93.32304	26.84997	71.31151	CPXM	carboxypeptidase X (M14 family)
226974_at	4.35894934	406.17038	355.01706	223.65208	49.418125	44.390774	132.12617	NEDD4L	Neural precursor cell expressed, developmentally down-regulated 4-like
227449_at	4.513157481	660.6029	474.33105	272.18088	196.28537	32.73582	82.759384	EPHA4	EPH receptor A4
212448_at	4.646517756	358.16104	332.06403	244.943	50.765995	60.083637	90.4125	NEDD4L	neural precursor cell expressed, developmentally down-regulated 4-like
219911_s_at	5.742585309	118.85029	490.02557	466.87015	64.526474	41.85456	80.94679	SLCO4A1	solute carrier organic anion transporter family, member 4A1
215297_at	6.003029741	46.765026	15.545221	40.514004	3.5512285	11.254202	2.3232954	LOC340281	hypothetical protein LOC340281
216086_at	6.029331895	217.13153	72.029594	69.15662	16.409018	21.591158	21.42892	SV2C	synaptic vesicle glycoprotein 2C
243139_at	6.139696147	44.38897	18.346167	26.9677	10.95975	1.3488173	2.3017383		CDNA FLJ37676 fis, clone BRHIP2012627
206154_at	7.008344497	55.88963	155.07129	107.06661	11.741277	28.491014	5.146119	RLBP1	retinaldehyde binding protein 1
243672_at	7.567674812	425.033	494.696	416.4974	146.59155	15.633994	14.344728
236734_at	8.444311033	211.94824	123.02475	66.3061	19.293951	16.932955	11.293737	SLITRK1	SLIT and NTRK-like family, member 1
200986_at	8.514810322	259.81268	62.059544	397.69064	36.483017	18.67305	29.351143	SERPING1	serpin peptidase inhibitor, clade G (C1 inhibitor), member 1, (angioedema, hereditary)
230785_at	9.515042419	419.24948	470.65082	387.56134	106.01728	20.336813	7.902969	SALL3	Sal-like 3 (Drosophila)
203413_at	10.33841113	478.24957	2983.0215	1188.1603	322.34384	63.152637	64.2275	NELL2	NEL-like 2 (chicken) /// NEL-like 2 (chicken)
230889_at	10.57642952	235.44958	264.98215	335.11725	45.924194	30.175148	2.9017026
204724_s_at	10.88755422	519.8631	1280.6761	1062.4413	39.407356	120.373146	103.17851	COL9A3	collagen, type IX, alpha 3
219463_at	14.12345275	1274.5835	1872.1132	329.87924	103.32423	40.577324	102.25468	C20orf103	chromosome 20 open reading frame 103
204304_s_at	19.01637189	786.06537	1033.0206	573.0339	28.74923	31.874533	65.16889	PROM1	prominin 1
206633_at	20.39320801	290.54507	1146.1108	62.786297	31.854513	27.123972	14.548062	CHRNA1	cholinergic receptor, nicotinic, alpha polypeptide 1 (muscle)
224997_x_at	24.61128365	434.75076	178.08626	803.15955	18.662134	27.429964	11.442348	H19	H19, imprinted maternally expressed untranslated mRNA
