Accession no.	Symbol	Gene	Fold change CD4+	Fold change CD45RO+
M23379	RASA1	RAS p21 protein activator (GTPase activating protein) 1	2.64	2.43
X57398	PM5	pM5 protein	2.63	2.65
X65550	MK167	Antigen identified by monoclonal antibody Ki-67	2.6	3.41
J05614	PCNA	Proliferating cell nuclear antigen†	2.59	2.5
X67951	PRDX1	Peroxiredoxin 1	2.58	2.16
M11507	TFRC	Transferrin receptor (p90, CD71)	2.57	2.59
D26599	PSMB2	Proteasome (prosome, macropain) subunit, beta type, 2	2.55	2.91
AF053551	MTX2	Metaxin 2	2.53	3.54
AF016898	BATF	Basic leucine zipper transcription factor, AT-like	2.5	2.04
AF055993	SAP30	sin3-associated polypeptide	2.49	2.73
D14710	ATP5A1	ATP synthase, H+transporting, mitochondrial F1 complex, alpha subunit, isoform 1	2.48	2.01
U09564	NA	Human serine kinase	2.48	2.51
AL109672	P24B	Integral type I protein	2.48	3.85
AI056696	NA	oz26h05.x1	2.44	2.65
M13228	MYCN	v-myc myelocytomatosis viral related oncogene, neuroblastoma derived	2.44	2.78
AI566877	NA	tn24f02.x1	2.44	2.25
L09235	ATP6V1A	ATPase, H+transporting, lysosomal	2.42	5.18
X51688	CCNA2	Cyclin A2	2.36	2.45
U13695	PMS1	Postmeiotic segregation increased 1	2.34	2.17
AB007455	TP53AP1	TP53 activated protein 1	2.33	2.77
D44497	CORO1A	Coronin, actin binding protein, 1A	2.33	2.77
AA255502	NA	zr85b06.r1	2.33	2.78
X73066	NME1	Non-metastatic cells 1, protein (NM23A) expressed in	2.32	3
AI347088	NA	qp60d09.x1	2.32	2.21
U37689	POLR2H	Polymerase (RNA) II (DNA directed) polypeptide H	2.32	2.13
U86529	GSTZ1	Glutathione transferase zeta 1	2.32	2.28
J03133	SP1	SP1 (SV40 promoter 1) transcription factor	2.31	4.73
AB007447	FLN29	FLN29 gene product (TNF receptor factor-like protein)	2.3	2.34
X74008	PPP1CC	Protein phosphatase 1, catalytic subunit, gamma isoform	2.3	2.07
U56833	VBP1	von Hippel-Lindau binding protein 1	2.29	2.16
AF020038	IDH1	Isocitrate dehydrogenase 1 (NADP+), soluble	2.29	3.4
U63809	PAWR	PRKC (protein kinase C), apoptosis, WT1, regulator	2.29	2.35
AL050034	ADPRTL3	ADP-ribosyltransferase-like 3	2.25	2.09
M87339	HUMACT1A	Human replication factor C, 37-kDa subunit	2.25	2.98
AA056747	NA	zk81f02.s1	2.24	2.95
U10886	PTPRJ	Protein tyrosine phosphatase, receptor type, J	2.23	2.52
X84194	ACYP1	A-cylphosphatase 1, erythrocyte (common) type	2.23	4.4
AB024401	ING1	Inhibitor of growth family, member 1	2.2	14.85
M19481	FST	Follistatin	2.2	2.54
AF006084	ARPC1B	Actin related protein 2/3 complex, subunit 1B,	2.19	3.71
Y00097	ANXA6	Annexin A6	2.19	2
D00017	ANXA2	Annexin A2	2.18	2.81
U50079	HDAC1	Histone deacetylase 1	2.17	2.62
AA811338	NA	ob81g05.sl	2.17	5.19
M97676	MSX1	msh homeo box homolog 1	2.16	3.15
M63573	PPIB	Peptidylprolyl isomerase B (cyclophilin B)	2.16	2.85
J00314	OK	beta 5-tubulin	2.16	2.19
U30872	CENPF	Centromere protein F	2.16	2.43
AA969267	NA	on57d12.sl	2.13	2.49
AF053306	BUB1B	Budding uninhibited by benzimidazoles 1 homolog beta	2.13	2.04
AF042384	BC-2	Putative breast adenocarcinoma marker	2.12	2.52
U32849	NMI	N-myc (and STAT) interactor	2.12	2.9
AB028975	KIAA1052	KIAA1052 protein	2.12	2.53
AJ000480	C8FW	Phosphoprotein regulated by mitogenic pathways	2.11	4.49
D50692	MYCBP	c-myc binding protein	2.1	3
M16279	CD99	CD99 antigen	2.1	2.94
X69398	CD47	CD47 antigen (Rh-related antigen)	2.09	2.17
AF054825	VAMP5	Vesicle-associated membrane protein 5	2.09	2.69
D37984	RECQL	RecQ protein-like (DNA helicase Q1-like)	2.09	2.27
U90549	HMGN4	High mobility group nucleosomal binding domain 4	2.09	2.16
AF087036	MSC	Musculin (activated B-cell factor-1)	2.08	2.67
J04058	ETFA	Electron-transfer-flavoprotein, alpha polypeptide	2.06	2.54
X62534	HMGB2	High-mobility group box 2	2.04	2.26
S57501	NA	Protein phosphatase 1, alpha catalytic subunit	2.04	2.71
AJ001612	PSPHL	Phosphoserine phosphatase-like	2.03	2.89
AJ245416	LSM2	LSM2 (Sm-like protein 2) homolog, U6 small nuclear RNA associated	2.03	2.18
U91932	AP3S1	Adaptor-related protein complex 3, sigma 1 subunit	2.03	2.89
U74612	FOXM1	Forkhead box M1	2.02	2.17
L42243	IFNAR2	Interferon (alpha, beta, and omega) receptor 2	2.02	2.88
