GI	Gene Symbol	GenBank Accession	BG01ES	BG01EB
GI_13027654-A	SNURF	NM_022804.1	2185.5	334.3
GI_37538636-S	MUC3B	XM_168578.3	320.6	49.3
GI_31317306-S	PCSK9	NM_174936.2	951.7	146.6
GI_4557682-S	KAL1	NM_000216.1	809.5	125
GI_16933529-A	CYP26A1	NM_000783.2	3264.8	505.2
GI_16418396-S	MAL2	NM_052886.1	213.7	33.5
GI_21918830-S	NFE2L3	NM_004289.4	1076.4	169.7
GI_13386461-I	FLJ20288	NM_024668.1	644.1	102.3
GI_9257245-I	TERF1	NM_017489.1	2896.7	467.4
GI_19923127-S	HTR1D	NM_000864.2	108.4	17.6
GI_27754770-I	PCDH1	NM_002587.3	431.7	70.2
GI_4501944-S	ADM	NM_001124.1	412.4	67.7
GI_34222165-S	ZDHHC19	NM_144637.2	241.5	39.8
GI_14916516-S	AP1M2	NM_005498.3	2188.3	361.3
GI_22547199-S	ZIC3	NM_003413.2	152.6	25.2
GI_38327514-S	BCL6B	NM_181844.2	111.1	18.4
GI_10800418-S	CHGA	NM_001275.2	328.7	54.8
GI_31542705-S	FLJ20485	NM_019042.2	288.5	48.1
GI_4885134-S	CER1	NM_005454.1	229.1	38.2
GI_13386461-A	FLJ20288	NM_024668.1	400.2	67.3
GI_31542536-S	RAM2	NM_018719.2	2187.1	369.3
GI_11641272-S	DPEP3	NM_022357.1	148.2	25.1
GI_23397461-S	FLJ33761	NM_153211.1	146	25
GI_22068828-S	LOC150371	XM_086879.2	831.3	144.9
GI_27477073-A	IL17RB	NM_018725.2	123.2	21.6
GI_31581523-S	COBL	NM_015198.2	530	93
GI_28866946-S	MT1F	NM_005949.1	1807.5	317.7
GI_11038623-S	PHC1	NM_004426.1	2452.6	433.6
GI_32307116-A	PPP2R2B	NM_181676.1	981	173.5
GI_7662143-S	KIAA0471	NM_014857.1	322.8	57.5
GI_31083027-S	CCRN4L	NM_012118.2	341.7	61
GI_7662307-S	KIAA0792	NM_014698.1	1174.1	210.2
GI_34147362-S	MGC4504	NM_024111.2	573.7	103
GI_19924110-S	PRODH	NM_016335.2	436.1	78.3
GI_24308146-S	IL17RD	NM_017563.1	107.7	19.5
GI_27498253-S	LOC133993	XM_068632.3	342.4	63.3
GI_13787192-S	ALPL	NM_000478.2	3112.9	576.9
GI_37551098-S	AIM1	XM_166300.2	232.1	43.1
GI_37550025-S	LOC131405	XM_067369.3	119.6	22.3
GI_32307141-I	PITPNC1	NM_181671.1	289.2	54.1
GI_21687251-S	ZNF342	NM_145288.1	395	74
GI_30061568-I	FLJ10378	NM_032239.2	241.6	45.6
GI_23397509-S	FLJ36445	NM_153233.1	214.9	41
GI_22035621-A	ASC	NM_145183.1	1529.6	291.9
GI_27734844-S	MGC42530	NM_173570.1	325.3	62.1
GI_19882250-S	CST1	NM_001898.2	1170.7	224.6
GI_38348419-S	UNQ470	NM_198573.1	152.1	29.3
GI_4505672-S	PDE6G	NM_002602.1	196.8	38.2
GI_34147400-S	RPS6KL1	NM_031464.2	175.6	34.1
GI_13375687-S	FLJ12684	NM_024534.1	187.2	36.4
GI_37546716-S	LOC375788	XM_351882.1	109.4	21.3
GI_6382070-A	DIAPH2	NM_007309.1	1459.2	289.7
GI_29540556-A	SNRPN	NM_003097.3	1201.6	238.8
GI_31341734-S	LOC339456	NM_178545.2	794	159.7
GI_31542254-S	C20orf160	NM_080625.2	116.7	23.7
GI_21389504-S	FLJ31564	NM_144720.1	160.3	32.7
GI_20522238-S	CYP2S1	NM_030622.5	179.4	36.6
GI_34147615-S	DKFZP434I2	NM_031478.3	816.6	167
GI_31377598-S	FLJ20311	NM_017760.3	154.9	31.7
GI_37558319-S	LOC375114	XM_351376.1	157.2	32.3
GI_21389442-S	MGC17299	NM_144626.1	302.8	62.5
GI_4506930-S	SH3GL2	NM_003026.1	154.7	32
GI_23097237-S	CHST13	NM_152889.1	245.1	50.8
GI_13435148-S	FLJ21918	NM_024939.1	850.5	176.4
GI_29826337-S	IFI30	NM_006332.3	297.6	62.1
GI_21361201-S	PCYT1B	NM_004845.2	232.7	48.6
GI_30141909-S	TNNI3	NM_000363.3	273.6	57.2
GI_34147545-S	RAB3C	NM_138453.2	287.8	60.2
GI_4504580-S	IFITM1	NM_003641.1	7610.6	1607.6
GI_24797147-S	SPS	NM_012247.2	1223	258.9
GI_13027637-S	UGP2	NM_006759.2	4098.9	872.1
GI_38348301-S	FLJ43692	NM_198495.1	355.3	75.6
GI_28416910-A	IL28RA	NM_173065.1	128	27.4
GI_38016130-S	GSTO2	NM_183239.1	1077.4	231.7
GI_21687269-S	FLJ30532	NM_144724.1	93.9	20.2
GI_27894384-S	FZD5	NM_003468.2	285.5	62.3
GI_27734988-S	FLJ90805	NM_173633.1	251.7	55.3
GI_32455243-I	PPP2R1B	NM_181699.1	115.8	25.6
GI_34335234-A	CORO2A	NM_052820.2	699.4	156.4
GI_13994373-S	GSG2	NM_031965.1	86.8	19.5
GI_5729965-S	HCP5	NM_006674.1	203.4	45.7
GI_24307882-S	ETV4	NM_001986.1	215.2	48.5
GI_31543640-S	SLC7A3	NM_032803.3	320.1	72.4
GI_22538469-S	EOMES	NM_005442.2	154.4	35.1
GI_16507199-S	USP28	NM_020886.1	354.7	80.7
GI_31542940-S	HSD11B2	NM_000196.2	109.8	25
GI_6806894-S	PKP4	NM_003628.2	113.2	25.9
GI_34147473-S	MGC16491	NM_052943.2	973.1	222.8
GI_24497582-S	AKR1C3	NM_003739.4	122.8	28.2
GI_31341118-S	TRA16	NM_176880.2	159.4	36.7
GI_25188194-S	SALL3	NM_171999.1	106.2	24.7
GI_8051632-S	RARRES2	NM_002889.2	3389.4	789.9
GI_4503932-S	GATM	NM_001482.1	106.9	25
GI_21314717-S	ZBTB3	NM_024784.2	284.1	66.5
GI_29336036-S	KIAA1444	NM_032512.1	437.4	103.1
GI_7661707-S	FLVCR	NM_014053.1	116.6	27.8
GI_24431954-S	ZNF267	NM_003414.3	199.4	47.8
GI_24762247-I	MIBP	NM_170678.1	155.5	37.6
GI_21361692-I	NTT73	NM_018057.2	419.6	101.6
GI_4557240-S	ACTN3	NM_001104.1	360.4	87.3
GI_21314630-S	GNG4	NM_004485.2	426.2	103.5
GI_7657155-S	C6orf54	NM_014354.1	85.2	20.8
GI_11386132-S	ARHGAP4	NM_001666.1	371	90.8
GI_25777703-A	ZNF398	NM_170686.1	662.6	162.4
GI_30155334-S	LOC284422	XM_209196.2	98.5	24.2
GI_25952107-S	KCNS3	NM_002252.3	187.2	46.1
GI_26787987-S	MICB	NM_005931.2	276.2	68.2
GI_38202210-S	MGC4170	NM_024312.3	188.4	46.7
GI_19718771-A	ASNS	NM_001673.2	1227.6	305.2
GI_22748786-S	FLJ34633	NM_152365.1	142.4	35.5
GI_34915989-S	RBPMS2	NM_194272.1	6025.2	1509.1
GI_23238227-S	CHST7	NM_019886.2	163.6	41
GI_8922941-S	LPAAT-e	NM_018361.1	463.1	116.1
GI_29742429-S	RGL3	XM_290867.1	145.8	36.6
GI_22749084-S	FLJ40432	NM_152523.1	161.7	40.7
GI_38016157-S	LOC91431	NM_138698.2	101.3	25.5
GI_33859754-S	LCX	NM_030625.1	128.2	32.3
GI_11386138-S	PLCB3	NM_000932.1	106.3	26.8
GI_5453893-S	PIK3CB	NM_006219.1	94	23.8
GI_13377001-S	CRYGD	NM_006891.2	236	59.9
GI_24308228-S	PACSIN1	NM_020804.1	312.8	79.6
GI_15431294-I	RPL13	NM_033251.1	121.6	31
GI_38045933-A	RNF138	NM_198128.1	256.3	65.5
GI_13375886-S	FLJ13842	NM_024645.1	87.9	22.5
GI_11863151-S	JMJ	NM_004973.2	2845	730.6
GI_14150121-S	MGC14799	NM_032336.1	184.9	47.5
GI_30520372-S	CADPS2	NM_017954.7	148.4	38.3
GI_27894386-S	HELLS	NM_018063.3	666.9	172.7
GI_42662629-S	LOC389873	XM_372233.2	874.4	227
GI_41281385-S	HA-1	NM_012292.1	168.9	44
GI_18860908-S	SNTB1	NM_021021.2	86.3	22.5
GI_7705750-S	YBX2	NM_015982.1	393.8	102.7
GI_33598959-S	ADRA2B	NM_000682.3	134	35
GI_22749032-S	FLJ31434	NM_152496.1	159.2	41.7
GI_14042959-S	SLC4A11	NM_032034.1	84.8	22.3
GI_37547259-S	LOC374963	XM_351244.1	85.5	22.5
GI_32455243-A	PPP2R1B	NM_181699.1	162.4	42.9
GI_24308232-S	SYT13	NM_020826.1	163.2	43.2
GI_27734876-S	MGC34695	NM_173555.1	466.6	123.6
GI_37552332-S	KIAA1981	XM_114000.2	204.7	54.3
GI_32698681-S	PAXIP1L	NM_007349.1	138.6	36.8
GI_34147354-S	MGC3101	NM_024043.2	272.6	72.6
GI_22749136-S	MGC39633	NM_152549.1	80	21.4
GI_8051635-S	XPOT	NM_007235.2	198.9	53.3
GI_31543194-S	MGC45866	NM_152259.2	257.4	69
GI_42662309-S	LOC388813	XM_373925.2	79.8	21.4
GI_24497505-S	FOXA3	NM_004497.2	182.3	48.9
GI_27479432-S	LOC161291	XM_090844.2	380.4	102.2
GI_4503064-S	CRYM	NM_001888.1	88.1	23.7
GI_15451888-I	GAD1	NM_013445.2	411.7	111
GI_13676856-S	HSPA2	NM_021979.2	201	54.2
GI_21361913-S	FLJ12287	NM_022367.2	164.2	44.3
GI_18765691-S	LAMC3	NM_006059.2	714.7	193.4
GI_15451865-A	LRP8	NM_017522.2	68.7	18.6
GI_20986527-S	MAPK13	NM_002754.3	186.7	50.6
GI_27885010-S	ZFP42	NM_174900.1	229.6	62.3
GI_25121973-S	LOC151835	NM_153635.1	226.7	61.8
GI_34147590-S	PUS1	NM_025215.3	916	249.8
GI_24308407-S	LOC91768	NM_138375.1	192.2	52.5
GI_11641422-A	USP9X	NM_021906.1	2283.7	624.2
GI_21361415-S	RRAS2	NM_012250.2	819.6	224.2
GI_37552401-S	LOC375662	XM_351780.1	1620.5	443.5
GI_42662586-S	LOC401607	XM_379717.1	85.5	23.5
GI_31542757-S	FLJ30046	NM_144595.2	81.1	22.3
GI_11321633-S	CD2AP	NM_012120.1	227.5	62.6
GI_31542657-S	FLJ10462	NM_018099.3	122.6	34
GI_33469940-S	POLR1B	NM_019014.2	168.4	46.8
GI_7382495-S	PAK1	NM_002576.2	1074	299.7
GI_4507426-S	TEAD4	NM_003213.1	886.4	247.4
GI_13112049-A	FGFR4	NM_022963.1	1187.2	331.5
GI_5453975-S	PRKCQ	NM_006257.1	79.8	22.3
GI_42660574-S	LOC400451	XM_375260.1	529.2	148.1
GI_4885496-S	MYB	NM_005375.1	162.2	45.4
GI_18379347-S	SORL1	NM_003105.3	198.1	55.7
GI_31543625-S	SLC1A1	NM_004170.3	153.5	43.2
GI_14149737-S	NLN	NM_020726.1	533.6	150.3
GI_9910359-S	RRP46	NM_020158.1	588.2	165.9
GI_33186894-S	SELV	NM_182704.1	162	45.7
GI_31341698-S	MGC50844	NM_178562.2	478.1	135.9
GI_21361404-S	RGS17	NM_012419.3	174.4	49.6
GI_8400731-S	SFRP1	NM_003012.2	2693.6	766.1
GI_23510436-A	TNFRSF8	NM_152942.1	127.5	36.3
GI_15208661-S	TRIM22	NM_006074.2	282.1	80.5
GI_22538438-I	CTSC	NM_001814.2	1255.9	359.8
GI_4504012-S	GLDC	NM_000170.1	1610.7	462.5
GI_22547151-S	CCL26	NM_006072.3	74.1	21.3
GI_29744077-S	LOC340542	XM_291335.1	65.7	18.9
GI_11415027-S	TCL1A	NM_021966.1	66	19
GI_33300656-S	FLJ38736	NM_182758.1	105.4	30.4
GI_16418454-S	CRBPIV	NM_052960.1	113.7	32.9
GI_34147574-S	HTATIP2	NM_006410.3	224.6	65
GI_42655983-S	FLJ10359	XM_375853.1	534.5	154.7
GI_38202254-S	TARS	NM_152295.3	2272.7	658.6
GI_15812223-A	TReP-132	NM_033501.1	254.9	74
GI_33946286-A	FLJ11383	NM_024938.2	86.9	25.3
GI_22538494-S	WBSCR17	NM_022479.1	616	179.5
GI_18379361-A	WFDC2	NM_080736.1	68.1	19.9
GI_34222182-S	LOC115265	NM_145244.2	142.7	41.7
GI_40788000-I	SPRY1	NM_199327.1	397.7	117
GI_22035632-I	MGST1	NM_020300.3	403	118.6
GI_42656747-S	LOC285401	XM_379195.1	79.5	23.4
GI_7706688-S	SFMBT1	NM_016329.1	61.5	18.2
GI_9257221-S	FOXO1A	NM_002015.2	1218.7	361.1
GI_37595567-S	SALL4	NM_020436.2	2407	714
GI_6031207-S	GABRA5	NM_000810.2	107.2	31.8
GI_31543620-S	SH2D2A	NM_003975.2	419.3	124.4
GI_15431305-I	RPL8	NM_033301.1	146.4	43.6
GI_15451888-A	GAD1	NM_013445.2	83.7	25
GI_34222338-S	LIN28	NM_024674.3	4769.7	1428.6
GI_19718770-S	ELMO3	NM_024712.2	67.1	20.1
GI_33598914-A	CLDN10	NM_006984.2	433.6	130
GI_11024685-S	FLJ10637	NM_018164.1	483.6	145.2
GI_29736784-S	LOC201294	XM_113950.4	95.9	28.8
GI_29837664-S	CXCL12	NM_000609.2	125	37.6
GI_29558098-A	PPM1B	NM_177969.1	182.5	54.9
GI_22547202-S	ZIC5	NM_033132.2	74.1	22.3
GI_19923936-S	LOC112885	NM_138415.1	637.9	192.1
GI_21361848-S	LOC113251	NM_052879.2	104.9	31.6
GI_30410804-I	CDCP1	NM_022842.3	64	19.3
GI_7657040-S	DRIM	NM_014503.1	89.4	27
GI_24234691-I	MRE11A	NM_005591.2	93.3	28.2
GI_37674228-S	KIAA0514	NM_014696.2	129.4	39.2
GI_12751490-S	FLJ12439	NM_023077.1	371.1	112.6
GI_14602458-S	TMPRSS2	NM_005656.2	111.9	34
GI_25777729-S	ALDH1B1	NM_000692.3	98.5	30
GI_13787208-S	DDX21	NM_004728.1	1381	421
GI_11056035-S	KIAA0153	NM_015140.1	598.9	182.6
GI_22050996-S	KIAA1274	XM_166125.2	549.1	167.7
GI_7706450-S	GPRC5B	NM_016235.1	912.3	278.9
GI_21359893-S	ITPK1	NM_014216.2	191.4	58.6
GI_8051578-S	AK3	NM_013410.1	661.4	202.9
GI_19924132-I	RAD51	NM_002875.2	58.3	17.9
GI_7661699-I	SORBS1	NM_015385.1	112.5	34.6
GI_37595554-S	RNF125	NM_017831.2	68.6	21.1
GI_6912245-S	ASE-1	NM_012099.1	396.3	121.9
GI_37549344-S	LOC375301	XM_351511.1	203.9	62.8
GI_33598914-I	CLDN10	NM_006984.2	67.2	20.7
GI_22748630-S	FLJ23749	NM_152271.1	168.8	52
GI_19718750-A	UNG	NM_080911.1	2129.6	656.3
GI_30061564-A	FLJ10378	NM_178043.1	111.6	34.4
GI_37546893-S	MTA3	XM_038567.6	3383.6	1043.9
GI_22547196-S	ZIC2	NM_007129.2	6400.6	1983.4
GI_22538439-A	CTSC	NM_148170.1	645.9	200.2
GI_31742485-S	EGLN3	NM_022073.2	132.9	41.2
GI_29171733-S	EIF2C2	NM_012154.2	1294.7	401.4
GI_37655178-S	AP3B2	NM_004644.3	68	21.1
GI_8922359-S	FANCL	NM_018062.1	198.3	61.6
GI_34419629-S	CD1D	NM_001766.2	112	34.8
GI_13775598-S	SIRT1	NM_012238.3	618.4	193
GI_4507858-S	UTF1	NM_003577.1	345.5	107.9
GI_4758021-S	COCH	NM_004086.1	301.3	94.1
GI_31795543-S	ORC1L	NM_004153.2	307.3	96
GI_31342626-S	SYT12	NM_177963.2	56.6	17.7
GI_38455392-S	NTHL1	NM_002528.4	557.8	174.5
GI_12545403-S	ICAM5	NM_003259.2	82.1	25.7
GI_13699869-S	MTHFD2	NM_006636.2	2058.4	645.4
GI_4885544-S	PDK3	NM_005391.1	262.6	82.6
GI_37059768-S	MGC27085	NM_153353.2	166.7	52.6
GI_23957699-S	MGC17986	NM_153608.1	373.6	117.9
GI_13129103-S	MGC2574	NM_024098.1	69.9	22.1
GI_4885136-S	CHES1	NM_005197.1	487.2	155.5
GI_31542262-S	C20orf59	NM_022082.2	535.2	170.9
GI_4758297-S	ERBB2	NM_004448.1	150.6	48.1
GI_21264372-S	UPK1A	NM_007000.2	91.9	29.4
GI_4501912-S	ADAM23	NM_003812.1	129.2	41.4
GI_31982887-S	PRKCB1	NM_002738.3	160.9	51.6
GI_31317255-A	NLGN4	NM_181332.1	1211.7	388.9
GI_14150131-S	MGC12992	NM_032342.1	148.2	47.8
GI_37556013-S	KIAA1416	XM_098762.9	58.5	18.9
GI_23510447-S	MCM5	NM_006739.2	1247.1	403.1
GI_4506136-S	PRRG2	NM_000951.1	56.1	18.2
GI_6466461-A	RANBP3	NM_007320.1	138.4	44.9
GI_24430188-S	PIGL	NM_004278.2	167	54.2
GI_4758477-S	GRB14	NM_004490.1	92.1	29.9
GI_24797159-S	TAP1	NM_000593.4	234.5	76.2
GI_13786122-S	TCF7L1	NM_031283.1	2539.6	825.3
GI_33859758-S	JPHL1	NM_032452.1	61.5	20
GI_6912541-S	NUFIP1	NM_012345.1	61.5	20
GI_21359959-S	BGR	NM_030924.2	54.5	17.8
GI_13376994-S	ME2	NM_002396.2	492.4	161.2
GI_21735591-A	PDCD2	NM_002598.2	155.7	51
GI_28416900-I	GART	NM_000819.3	1053	345.3
GI_7657125-S	PLA2G3	NM_015715.1	62.8	20.6
GI_6138970-S	ACP5	NM_001611.2	203.3	66.9
GI_6005809-S	MAP4K1	NM_007181.1	302.4	99.7
GI_19923847-S	CDT1	NM_030928.2	791.3	261.1
GI_31317221-A	ARHGAP8	NM_181335.1	130.6	43.1
GI_37540070-S	KIAA1727	XM_034262.7	114.6	37.9
GI_33519454-I	MAT2B	NM_182796.1	78.3	25.9
GI_38026942-I	C21orf107	NM_018963.3	58.6	19.4
GI_6857817-S	NPM3	NM_006993.1	2420.1	801.6
GI_20336215-A	GA	NM_138566.1	82.4	27.3
GI_37550532-S	LOC200810	XM_114301.4	102.3	33.9
GI_14150140-S	MGC13096	NM_032346.1	749.1	248.3
GI_22538491-A	WBSCR16	NM_030798.2	70.6	23.5
GI_37539523-S	LOC375262	XM_353291.1	184	61.4
GI_27735068-S	MGC47816	NM_173642.1	185.4	61.9
GI_19923288-S	PIK3CD	NM_005026.2	843.3	282.2
GI_5729946-S	NMU	NM_006681.1	637.6	213.4
GI_23503260-S	MGC35392	NM_153336.1	173.2	58.1
GI_22748972-S	MGC39650	NM_152465.1	98.9	33.2
GI_16950634-A	ASS	NM_000050.2	337.4	113.8
GI_34147344-S	KCTD14	NM_023930.2	1038.9	350.7
GI_31543215-S	MYC	NM_002467.2	825.9	279.2
GI_41109026-S	LOC388614	XM_373835.1	62.7	21.2
GI_23397541-S	FLJ38568	NM_153252.1	88.3	29.9
GI_22058592-S	KIAA0701	XM_045423.3	102.7	34.8
GI_4826715-S	SLC29A1	NM_004955.1	202.2	68.6
GI_34222159-S	ELL2	NM_012081.3	271	92.2
GI_34577046-I	BPAG1	NM_183380.1	57.8	19.7
GI_4507224-S	SRY	NM_003140.1	125.1	42.7
GI_22035623-S	CDS1	NM_001263.2	427.9	146.1
GI_40538783-S	IBRDC2	NM_182757.1	75.3	25.8
GI_34147708-S	MGC20983	NM_145045.2	371	127.2
GI_10862697-S	ACVR2B	NM_001106.2	642.3	221
GI_16306542-A	FGF13	NM_033642.1	435.4	150
GI_29893546-A	EPB41L4B	NM_018424.1	62.4	21.5
GI_31341675-S	MGC50831	NM_175924.2	59.2	20.4
GI_4557760-S	MSH2	NM_000251.1	326.7	112.6
GI_22209008-A	CHEK2	NM_145862.1	348.8	120.3
GI_40316923-I	CXCL12	NM_199168.1	486.7	167.9
GI_22749514-S	MGC33607	NM_152775.1	72.7	25.1
GI_4826767-A	ICA1	NM_004968.1	439.3	151.7
GI_6006019-S	MAD2L2	NM_006341.2	3560.4	1229.9
GI_13376231-S	FLJ22662	NM_024829.1	150.8	52.1
GI_42660287-S	LOC400214	XM_375081.1	143.8	49.8
GI_34222214-S	CLDN7	NM_001307.3	587.9	203.7
GI_6912417-S	HPCL2	NM_012260.1	1393.3	483.4
GI_19923956-S	LOC113655	NM_138431.1	1997.8	693.9
GI_13129095-S	MGC5528	NM_024094.1	526.8	183
GI_23397468-S	FLJ33962	NM_153213.1	548.3	190.6
GI_21361335-S	DUT	NM_001948.2	393.1	136.8
GI_13129141-S	LGP2	NM_024119.1	52	18.1
GI_31982866-S	PINX1	NM_017884.3	393.9	137.5
GI_18254471-S	UNC5D	NM_080872.1	52.9	18.5
GI_14720927-S	SPRY1	XM_036349.1	726.6	254.2
GI_4757853-S	BMPR1A	NM_004329.1	246	86.1
GI_34147687-S	FLJ22318	NM_022762.3	167.2	58.6
GI_22027543-S	CACNG2	NM_006078.2	60.2	21.1
GI_11545796-A	C1orf24	NM_022083.1	52.7	18.5
GI_16753222-S	DHODH	NM_001361.1	146.9	51.7
GI_34485729-S	PRKY	NM_002760.2	301.9	106.3
GI_22550103-S	USP32	NM_032582.2	590	207.8
GI_37538348-S	LOC155340	XM_055725.3	466	164.3
GI_19525736-S	ADAMTS19	NM_133638.1	134.7	47.5
GI_24497503-A	FOXA2	NM_153675.1	87.2	30.8
GI_24308188-S	RGMA	NM_020211.1	901.4	318.4
GI_36054106-S	BENE	NM_005434.3	64.5	22.8
GI_6598319-S	AOX1	NM_001159.2	86.5	30.6
GI_37544694-S	LOC374514	XM_350908.1	76.6	27.1
GI_22062556-S	LOC254439	XM_170659.1	58.5	20.7
GI_27500713-S	LOC284307	XM_209111.1	85.6	30.3
GI_27436949-S	LMNB1	NM_005573.2	217.5	77
GI_34147329-S	RRS1	NM_015169.2	475	168.7
GI_34222297-S	PRKCI	NM_002740.3	216.5	76.9
GI_15619007-A	CHAC	NM_015186.1	67	23.8
GI_4885310-S	GPR23	NM_005296.1	83	29.5
GI_19923608-S	Jade-1	NM_024900.2	560.9	199.5
GI_13375663-S	FLJ12650	NM_024522.1	606.8	215.9
GI_9257230-S	OCLN	NM_002538.2	90.2	32.1
GI_4885354-S	GRB7	NM_005310.1	76.1	27.1
GI_34335281-I	OLFM1	NM_014279.2	202.1	72.1
GI_45439364-S	FLJ22529	NM_024789.2	86.1	30.8
GI_21536453-S	PRSS8	NM_002773.2	2371.8	848.5
GI_29029560-I	CSE1L	NM_177436.1	98.3	35.2
GI_33188458-S	BRAF	NM_004333.2	118.7	42.7
GI_24431996-S	C6orf60	NM_024581.2	347	125
GI_8923472-S	NALP2	NM_017852.1	281.1	101.3
GI_5803001-S	CLCN2	NM_004366.2	57.6	20.8
GI_32698727-S	FAM20C	NM_020223.1	142.5	51.5
GI_37059744-S	FLJ10407	NM_018087.3	160.2	58
GI_13699867-S	MTHFD1	NM_005956.2	330.6	119.8
GI_7657304-S	LHX6	NM_014368.1	52.7	19.1
GI_21361453-S	P5CR2	NM_013328.2	763.3	276.9
GI_34304349-S	BDH	NM_004051.2	176.8	64.2
GI_24497623-S	IRF6	NM_006147.2	61.9	22.5
GI_37539476-S	MGC19531	XM_352931.1	100.9	36.7
GI_28416898-I	GART	NM_175085.1	191.1	69.7
GI_37551214-S	DNA2L	XM_166103.3	92.1	33.6
GI_27532983-A	MIZ1	NM_173206.1	258.3	94.3
GI_26051267-A	KCNQ2	NM_172109.1	1791.8	654.2
GI_17149826-A	TBDN100	NM_025085.2	520.1	190.4
GI_36796742-S	FTHFSDC1	NM_015440.2	490.7	179.8
GI_37540022-S	LOC375731	XM_351827.1	334.5	122.6
GI_29826328-A	PAK7	NM_177990.1	75.3	27.6
GI_38176295-I	LASS1	NM_198207.1	316.8	116.2
GI_35038563-S	KIAA0922	NM_015196.2	251.5	92.3
GI_33285009-S	FLJ22390	NM_022746.2	381.5	140.2
GI_16905508-A	B3GAT1	NM_018644.2	61.7	22.7
GI_13376287-S	FLJ21148	NM_024860.1	195.9	72.1
GI_31559820-S	GJE1	NM_181538.1	91.8	33.8
GI_14591911-S	RPS15	NM_001018.2	3220.1	1185.8
GI_31563504-I	ADNP	NM_015339.2	63	23.2
GI_4826947-S	PRKX	NM_005044.1	136.8	50.6
GI_4505896-S	PLS1	NM_002670.1	257.1	95.1
GI_31542694-S	FLJ14594	NM_032808.2	506.6	187.7
GI_37552699-S	KIAA1764	XM_045086.4	250.6	92.9
