Gene ID	Fold Change	q-value (%)	Accession	Unigene	Symbol	Function	Gene Name
208893_s_at	0.63	2.13	NM_001946	Hs.180383	DUSP6	Signaling	dual specificity phosphatase 6
209426_s_at	0.63	1.44	NM_014324	Hs.128749	AMACR	Tumor	alpha-methylacyl-CoA racemase
201646_at	0.63	2.52	AA885297	Hs.349656		0 Other/Unknown	Homo sapiens cDNA FLJ31439 fis, clone NT2NE2000707, mRNA sequence
214040_s_at	0.63	1.63	NM_000177	Hs.290070	GSN	Apoptosis	gelsolin (amyloidosis, Finnish type)
214701_s_at	0.62	2.37	NM_002026	Hs.287820	FN1	Signaling	fibronectin 1
209079_x_at	0.62	1.63	NM_018912	Hs.333404	PCDHGA1	ECM-Adhesion	protocadherin gamma subfamily A, 1
211876_x_at	0.61	1.49	NM_018914	Hs.283794	PCDHGA11	ECM-Adhesion	protocadherin gamma subfamily A, 11
209619_at	0.61	2.13	NM_004355	Hs.84298	CD74	Immunity	CD74 antigen (invariant polypeptide of major histocompatibility complex, class II antigen-associated)
202827_s_at	0.61	2.13	NM_004995	Hs.2399	MMP14	Proteolysis	matrix metalloproteinase 14 (membrane-inserted)
216352_x_at	0.6	1.44	NM_018916	Hs.283800	PCDHGA3	ECM-Adhesion	protocadherin gamma subfamily A, 3
219181_at	0.59	1.17	NM_006033	Hs.65370	LIPG	metabolism	lipase, endothelial
201616_s_at	0.57	2.52	NM_004342	Hs.325474	CALD1	Cytoskeleton	caldesmon 1
215506_s_at	0.56	1.17	NM_004675	Hs.194695	ARHI	Cell Cycle	ras homolog gene family, member I
211527_x_at	0.56	0.68	NM_003376	Hs.73793	VEGF	Signaling	vascular endothelial growth factor
221730_at	0.56	0.78	NM_000393	Hs.82985	COL5A2	ECM-Adhesion	collagen, type V, alpha 2
214091_s_at	0.55	1.63	NM_002084	Hs.386793	GPX3	oxidative stress	glutathione peroxidase 3 (plasma)
202310_s_at	0.55	1.17	NM_000088	Hs.172928	COL1A1	ECM-Adhesion	collagen, type I, alpha 1
205334_at	0.54	0.32	NM_006271	Hs.433503	S100A1	Calcium	S100 calcium binding protein A1
200906_s_at	0.53	1.17	NM_016081	Hs.194431	KIAA0992	Cytoskeleton	palladin
203854_at	0.53	0.54	NM_000204	Hs.36602	IF	Immunity	I factor (complement)
210605_s_at	0.51	0.32	NM_005928	Hs.3745	MFGE8	Apoptosis	milk fat globule-EGF factor 8 protein
201617_x_at	0.51	1.49	NM_004342	Hs.325474	CALD1	Cytoskeleton	caldesmon 1
216607_s_at	0.51	0.32	U40053		NA	0 Other/Unknown	NA
202075_s_at	0.51	0.32	NM_006227	Hs.283007	PLTP	lipid metabolism	phospholipid transfer protein
201348_at	0.5	0.32	NM_002084	Hs.386793	GPX3	metabolism	glutathione peroxidase 3 (plasma)
204933_s_at	0.5	0.32	NM_002546	Hs.81791	TNFRSF11B	Immunity	tumor necrosis factor receptor superfamily, member 11b (osteoprotegerin)
211911_x_at	0.47	0.32	NM_005514	Hs.77961	HLA-B	Immunity	major histocompatibility complex, class I, B
214845_s_at	0.46	0.32	NM_001219	Hs.7753	CALU	Calcium	calumenin
210830_s_at	0.45	0.32	NM_000305	Hs.169857	PON2	lipid metabolism	paraoxonase 2
202687_s_at	0.45	0.32	NM_003810	Hs.83429	TNFSF10	Apoptosis	tumor necrosis factor (ligand) superfamily, member 10
200907_s_at	0.44	0.32	NM_016081	Hs.194431	KIAA0992	Cytoskeleton	palladin
209101_at	0.41	0.32	NM_001901	Hs.75511	CTGF	Signaling	connective tissue growth factor
212311_at	0.4	0.32	AB018289	Hs.49500	KIAA0746	Other/Unknown	KIAA0746 protein
201842_s_at	0.34	0.32	NM_004105	Hs.76224	EFEMP1	ECM-Adhesion	EGF-containing fibulin-like extracellular matrix protein 1
202688_at	0.25	0.32	NM_003810	Hs.83429	TNFSF10	Immunity	tumor necrosis factor (ligand) superfamily, member 10
202436_s_at	0.21	0.32	NM_000104	Hs.154654	CYP1B1	ER	cytochrome P450, subfamily I (dioxin-inducible), polypeptide 1 (glaucoma 3, primary infantile)
219134_at	0.05	0.32	NM_022159	Hs.57958	ETL	Development	EGF-TM7-latrophilin-related protein
