Accession no. b	Gene symbol	Title	Function a	P-value c	Expression
AA251484		ESTs, weakly similar to hypothetical protein FLJ20378 [Homosapiens] [H. sapiens]	Unknown	1.42E-08	Genes that have significantly higher expression level in intestinal- than diffuse-type gastric cancer
NM_003961	RHBDL	Rhomboid, veinlet-like 1 (Drosophila)	Signal transduction	7.34E-09	Genes that have significantly higher expression level in intestinal- than diffuse-type gastric cancer
U78093	SRPX	Sushi-repeat-containing protein, X chromosome	Cell adhesion	1.34E-13	Genes that have significantly higher expression level in intestinal- than diffuse-type gastric cancer
U97145	GFRA2	GDNF family receptor alpha 2	Receptor, signal transduction	6.76E-15	Genes that have significantly higher expression level in intestinal- than diffuse-type gastric cancer
U45974	PPI5PIV	Phosphatidylinositol polyphosphate 5-phosphatase type IV	Catalytic enzyme activity	3.78E-14	Genes that have significantly higher expression level in intestinal- than diffuse-type gastric cancer
J02966	SLC25A4	Solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 4	Mitochondrial genome maintenance	1.33E-13	Genes that have significantly higher expression level in intestinal- than diffuse-type gastric cancer
L31772	ADRA1D	Adrenergic, alpha-1D-, receptor	G-protein signaling pathway	1.29E-09	Genes that have significantly higher expression level in intestinal- than diffuse-type gastric cancer
S53374	TCF19	Transcription factor 19 (SC1)	Transcription factor, cell cycle regulation	1.07E-09	Genes that have significantly higher expression level in intestinal- than diffuse-type gastric cancer
J05213	IBSP	Integrin-binding sialoprotein (bone sialoprotein, bone sialoprotein II)	Cell adhesion	5.21E-13	Genes that have significantly higher expression level in intestinal- than diffuse-type gastric cancer
AV652795	HRG	Histidine-rich glycoprotein	Apoptosis cell clearance, anticoagulant	1.38E-09	Genes that have significantly higher expression level in intestinal- than diffuse-type gastric cancer
U20362	TG737	Probe hTg737 (polycystic kidney disease, autosomal recessive)	Excretion	4.66E-07	Genes that have significantly higher expression level in intestinal- than diffuse-type gastric cancer
AL050367	LOC221061	Hypothetical protein LOC221061	Unknown	1.63E-10	Genes that have significantly higher expression level in intestinal- than diffuse-type gastric cancer
AW967478		ESTs	Unknown	3.68E-06	Genes that have significantly higher expression level in intestinal- than diffuse-type gastric cancer
U70322	KPNB2	Karyopherin (importin) beta 2	Protein-nucleus import	1.43E-11	Genes that have significantly higher expression level in intestinal- than diffuse-type gastric cancer
AK001754	NUP133	Nucleoporin 133 kDa	mRNA-nucleus export	1.59E-14	Genes that have significantly higher expression level in intestinal- than diffuse-type gastric cancer
AA523727	MBP	Myelin basic protein	Immune response, neurotransmission	1.60E-08	Genes that have significantly higher expression level in intestinal- than diffuse-type gastric cancer
NM_001053	SSTR5	Somatostatin receptor 5	Receptor, G-protein signaling pathway	6.25E-09	Genes that have significantly higher expression level in intestinal- than diffuse-type gastric cancer
Z30137	LDB3	LIM domain binding 3	Signal transduction	6.92E-10	Genes that have significantly higher expression level in intestinal- than diffuse-type gastric cancer
AL133784	FLJ25477	Hypothetical protein FLJ25477	Unknown	0.00017911	Genes that have significantly higher expression level in intestinal- than diffuse-type gastric cancer
U08377	SFRS8	Splicing factor, arginine/serine-rich 8 (suppressor-of-white-apricot homolog, Drosophila)	Transcriptional regulation	2.49E-08	Genes that have significantly higher expression level in intestinal- than diffuse-type gastric cancer
R12013	MLL5	Myeloid/lymphoid or mixed-lineage leukemia 5 (trithorax homolog, Drosophila)	Transcriptional regulation	6.13E-12	Genes that have significantly higher expression level in intestinal- than diffuse-type gastric cancer
L41668	GALE	Galactose-4-epimerase, UDP-	Carbohydrate metabolism	6.20E-10	Genes that have significantly higher expression level in intestinal- than diffuse-type gastric cancer
BE899460	H1F0	H1 histone family, member 0	DNA binding, nucleosome assembly	0.001187699	Genes that have significantly higher expression level in intestinal- than diffuse-type gastric cancer
AF069073	P8	p8 protein (candidate of metastasis 1)	Nuclear DNA binding protein	0.001379776	Genes that have significantly higher expression level in intestinal- than diffuse-type gastric cancer
U78556	CRA	Cisplatin resistance associated	Unknown	0.009855345	Genes that have significantly higher expression level in intestinal- than diffuse-type gastric cancer
