Gene Title	Gene Symbol	RefSeq Transcript Id	p-value(TREATMENTS)	p-value(Let7b - negative control1)	ratio (Let7b - negative control1)	p-value(Let7b - negative control2)	ratio (Let7b - negative control2)
dopa decarboxylase (aromatic L-amino acid decarboxylase)	DDC	NM_000790	8.53E-08	8.82E-08	-1.50618	7.03E-08	-1.5458
Cyclin-dependent kinase 8	CDK8	NM_001260	2.30E-09	6.36E-09	-1.50589	1.04E-09	-1.84763
vestigial-like 3	VGL-3	NM_016206	1.67E-08	1.60E-07	-1.50045	5.22E-09	-2.21808
solute carrier family 5 (sodium-dependent vitamin transporter), member 6	SLC5A6	NM_021095	2.09E-08	2.75E-08	-1.49987	1.43E-08	-1.61586
Full-length cDNA clone CS0DL007YI24 of B cells (Ramos cell line) Cot 25-normaliz	NA	NA	1.88E-10	7.58E-10	-1.49506	7.41E-11	-1.94048
hypothetical protein MGC13204	MGC13204	NM_031465	1.86E-10	2.29E-10	-1.49167	1.36E-10	-1.58091
transforming growth factor, beta receptor I (activin A receptor type II-like kin	TGFBR1	NM_004612	1.37E-08	5.36E-09	-1.48274	5.38E-08	-1.14059
hypothetical protein MGC13204	MGC13204	NM_031465	1.54E-08	2.25E-08	-1.47902	9.77E-09	-1.62653
Transcribed locus	NA	NA	5.37E-08	1.80E-07	-1.47802	2.21E-08	-1.88005
E2F transcription factor 5, p130-binding	E2F5	NM_001951	1.70E-09	2.57E-09	-1.46603	1.07E-09	-1.61854
leptin receptor overlapping transcript-like 1	LEPROTL1	NM_015344	5.10E-10	3.81E-10	-1.46462	6.14E-10	-1.38822
CCAAT/enhancer binding protein (C/EBP), delta	CEBPD	NM_005195	3.57E-09	1.13E-08	-1.44686	1.52E-09	-1.81514
adenosine deaminase	ADA	NM_000022	1.71E-08	1.16E-08	-1.43997	2.28E-08	-1.33399
hyaluronan-mediated motility receptor (RHAMM)	HMMR	NM_012484 /// NM_012485	2.77E-07	4.78E-07	-1.43976	1.55E-07	-1.64081
aurora kinase B	AURKB	NM_004217	1.37E-08	3.68E-08	-1.43399	6.20E-09	-1.75581
solute carrier family 7 (cationic amino acid transporter, y+ system), member 5	SLC7A5	NM_003486	2.24E-08	1.20E-08	-1.4316	4.30E-08	-1.23769
proteasome (prosome, macropain) activator subunit 4	PSME4	NM_014614	8.01E-06	1.39E-05	-1.42677	4.23E-06	-1.65002
UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransfer	GALNT2	NM_004481	5.64E-10	1.85E-09	-1.42298	2.38E-10	-1.79155
MHC class I polypeptide-related sequence B	MICB	NM_005931	1.42E-09	1.28E-08	-1.42164	4.50E-10	-2.07445
dolichyl-phosphate (UDP-N-acetylglucosamine) N-acetylglucosaminephosphotr	DPAGT1	NM_001382 /// NM_203316	1.64E-09	1.22E-09	-1.39882	1.97E-09	-1.32502
hypothetical protein MGC23909	MGC23909	NM_174909	5.21E-09	1.47E-08	-1.39562	2.33E-09	-1.71884
Hypothetical protein LOC285513	LOC285513	NM_198281	1.22E-07	1.88E-07	-1.38828	7.34E-08	-1.5469
aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	AASDHPPT	NM_015423	4.68E-09	3.91E-09	-1.38633	4.89E-09	-1.35157
vacuolar protein sorting 54 (yeast)	VPS54	NM_001005739 /// NM_016516	4.44E-10	7.55E-10	-1.38335	2.60E-10	-1.5593
chromosome 10 open reading frame 9	C10orf9	NM_145012 /// NM_181698	2.46E-05	1.35E-05	-1.38129	3.79E-05	-1.21371
guanine nucleotide binding protein (G protein), gamma 5	GNG5	NM_005274	1.03E-11	1.01E-11	-1.38079	9.29E-12	-1.39324
TIGA1	TIGA1	NM_053000	2.83E-05	1.29E-05	-1.37205	6.22E-05	-1.1248
adenosine deaminase	ADA	NM_000022	5.08E-10	3.48E-10	-1.36609	6.82E-10	-1.26669
Cyclin-dependent kinase 8	CDK8	NM_001260	5.94E-07	1.73E-06	-1.36572	2.54E-07	-1.70977
similar to RIKEN cDNA 1200014N16 gene	MGC14289	NM_080660	2.73E-09	1.17E-08	-1.36354	1.05E-09	-1.79019
hypothetical protein BC014072	LOC116238	NM_138463	3.41E-11	1.32E-11	-1.36343	1.45E-10	-1.04253
Chromosome 3 open reading frame 17	C3orf17	NM_001025072 /// NM_001025073 /// NM_015412	5.47E-08	4.64E-08	-1.35438	5.50E-08	-1.32829
synaptosomal-associated protein, 23kDa	SNAP23	NM_003825 /// NM_130798	1.40E-10	4.68E-11	-1.35369	9.82E-10	-0.962362
ADP-ribosylation-like factor 6 interacting protein 6	ARL6IP6	NM_152522	6.06E-08	1.61E-07	-1.35172	2.75E-08	-1.65588
RNA terminal phosphate cyclase domain 1	RTCD1	NM_003729	7.54E-11	1.14E-10	-1.35139	4.78E-11	-1.48964
Chromosome 9 open reading frame 3	C9orf3	NM_032823	0.000832262	0.000350228	-1.34965	0.00168139	-1.0712
serine/threonine kinase 6	STK6	NM_003600 /// NM_198433 /// NM_198434 /// NM_198435 /// NM_198436 /// NM_198437	2.24E-11	4.34E-11	-1.34628	1.22E-11	-1.55077
progesterone receptor membrane component 1	PGRMC1	NM_006667	6.88E-11	6.36E-11	-1.34004	6.57E-11	-1.33537
reticulon 4 receptor-like 2	RTN4RL2	NM_178570	0.000741109	0.000343294	-1.32286	0.00123434	-1.09811
ERO1-like (S. cerevisiae)	ERO1L	NM_014584	4.27E-11	5.71E-11	-1.32073	2.96E-11	-1.42113
progesterone receptor membrane component 1	PGRMC1	NM_006667	2.55E-10	2.79E-10	-1.3082	2.07E-10	-1.35254
fibrinogen alpha chain	FGA	NM_000508 /// NM_021871	7.64E-08	5.42E-07	-1.30642	2.52E-08	-1.86061
reticulon 4 interacting protein 1 /// reticulon 4 interacting protein 1	RTN4IP1	NM_032730	1.29E-07	1.72E-07	-1.30243	8.64E-08	-1.40952
golgi transport 1 homolog B (S. cerevisiae)	GOLT1B	NM_016072	5.24E-09	5.79E-09	-1.30082	4.17E-09	-1.3502
chromosome 13 open reading frame 1	C13orf1	NM_020456	2.21E-08	5.24E-08	-1.29949	1.06E-08	-1.55841
hypothetical protein LOC285943	LOC285943	NA	5.72E-08	6.43E-08	-1.29877	4.40E-08	-1.35636
chromosome 14 open reading frame 2	C14orf2	NM_004894	2.82E-10	2.48E-10	-1.29453	2.83E-10	-1.27526
pleiomorphic adenoma gene-like 2	PLAGL2	NM_002657	1.57E-10	4.78E-10	-1.29304	6.88E-11	-1.60694
galactosylceramidase (Krabbe disease)	GALC	NM_000153	4.09E-07	2.60E-07	-1.28963	5.74E-07	-1.17572
transketolase (Wernicke-Korsakoff syndrome)	TKT	NM_001064	9.63E-07	7.70E-07	-1.28645	9.91E-07	-1.24887
LSM6 homolog, U6 small nuclear RNA associated (S. cerevisiae)	LSM6	NM_007080	3.71E-09	3.75E-09	-1.2864	3.20E-09	-1.3097
hypothetical protein FLJ90709	FLJ90709	NM_173514	6.28E-09	9.37E-09	-1.28623	3.96E-09	-1.41784
hypothetical protein FLJ10700	FLJ10700	NM_018182	2.00E-08	6.78E-08	-1.28589	8.27E-09	-1.63434
signal peptidase complex subunit 3 homolog (S. cerevisiae)	SPCS3	NM_021928	2.11E-08	3.25E-08	-1.28302	1.29E-08	-1.4247
leucine-rich repeat-containing G protein-coupled receptor 4	LGR4	NM_018490	2.36E-07	2.34E-07	-1.28092	1.99E-07	-1.30498
nei endonuclease VIII-like 3 (E. coli)	NEIL3	NM_018248	1.22E-10	1.27E-10	-1.27749	1.03E-10	-1.30745
cysteine-rich, angiogenic inducer, 61	CYR61	NM_001554	9.41E-08	5.97E-07	-1.26767	3.19E-08	-1.77785
Leptin receptor	LEPR	NM_001003679 /// NM_001003680 /// NM_002303	1.07E-07	4.08E-07	-1.26663	4.19E-08	-1.64684
poly(A) polymerase alpha	PAPOLA	NM_032632	4.24E-09	3.41E-09	-1.26632	4.63E-09	-1.22322
chromosome 20 open reading frame 177	C20orf177	NM_022106	1.10E-09	1.25E-09	-1.2644	8.66E-10	-1.31756
non-metastatic cells 4, protein expressed in	NME4	NM_005009	4.51E-09	3.69E-09	-1.26162	4.83E-09	-1.22375
solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 24	SLC25A24	NM_013386 /// NM_213651	2.41E-08	2.00E-08	-1.26098	2.49E-08	-1.22988
zinc finger, CSL-type containing 2	ZCSL2	NM_206831	9.19E-12	1.24E-11	-1.25851	6.32E-12	-1.35726
CTP synthase II	CTPS2	NM_019857 /// NM_175859	5.38E-10	3.51E-10	-1.25646	7.77E-10	-1.14918
transferrin receptor (p90, CD71)	TFRC	NM_003234	0.000328157	0.000376042	-1.25203	0.000199053	-1.36693
ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide	SIAT7B	NM_006456	1.79E-10	1.80E-10	-1.24645	1.57E-10	-1.26595
chromosome 10 open reading frame 9	C10orf9	NM_145012 /// NM_181698	1.31E-09	1.02E-09	-1.24411	1.50E-09	-1.19138
IGF-II mRNA-binding protein 1	IMP-1	NM_006546	1.89E-08	7.89E-08	-1.24077	7.24E-09	-1.62892
fibrinogen gamma chain	FGG	NM_000509 /// NM_021870	1.79E-07	2.35E-07	-1.23702	1.21E-07	-1.33588
Fidgetin	FIGN	NM_018086	1.19E-06	7.58E-06	-1.23464	3.97E-07	-1.7532
adaptor-related protein complex 1, sigma 1 subunit	AP1S1	NM_001283 /// NM_057089	2.20E-08	1.86E-08	-1.23081	2.25E-08	-1.20435
H2B histone family, member S	H2BFS	NM_017445	5.32E-07	4.89E-07	-1.22756	4.78E-07	-1.231
vacuolar protein sorting 54 (yeast)	VPS54	NM_001005739 /// NM_016516	1.74E-12	4.68E-12	-1.22588	8.08E-13	-1.491
hypothetical protein LOC283464	LOC283464	XM_290597	1.26E-08	9.08E-07	-1.22287	3.29E-09	-2.33088
UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransfer	GALNT2	NM_004481	8.35E-09	3.95E-08	-1.21057	3.09E-09	-1.61668
UDP-galactose-4-epimerase	GALE	NM_000403 /// NM_001008216	7.80E-08	8.73E-08	-1.20636	6.00E-08	-1.25936
hypothetical protein MGC2408	MGC2408	NM_032331	2.08E-08	3.51E-08	-1.20555	1.21E-08	-1.36129
chromosome 6 open reading frame 211	C6orf211	NM_024573	2.15E-07	1.60E-07	-1.20443	2.48E-07	-1.14497
neurolysin (metallopeptidase M3 family)	NLN	NM_020726	8.43E-10	9.16E-10	-1.20272	6.85E-10	-1.24258
non-metastatic cells 6, protein expressed in (nucleoside-diphosphate kinase)	NME6	NM_005793	2.14E-08	8.23E-08	-1.20087	8.44E-09	-1.55685
Kell blood group precursor (McLeod phenotype)	XK	NM_021083	4.28E-06	4.96E-06	-1.19909	3.01E-06	-1.27334
solute carrier family 35, member D2	SLC35D2	NM_007001	2.27E-07	1.93E-06	-1.19383	7.18E-08	-1.75184
reticulon 4 interacting protein 1	RTN4IP1	NM_032730	5.73E-07	8.89E-07	-1.19378	3.38E-07	-1.33666
zinc finger, CCHC domain containing 9	ZCCHC9	NM_032280	7.24E-08	2.13E-07	-1.18979	3.14E-08	-1.48207
homeo box A1	HOXA1	NM_005522 /// NM_153620	7.78E-11	2.87E-10	-1.1874	3.16E-11	-1.52048
mitochondrial tumor suppressor 1	MTUS1	NM_001001924 /// NM_001001925 /// NM_001001927 /// NM_001001931 /// NM_020749	1.37E-06	6.54E-07	-1.18702	3.02E-06	-0.990228
IGF-II mRNA-binding protein 2	IMP-2	NM_001007225 /// NM_006548	3.87E-08	1.24E-07	-1.18386	1.63E-08	-1.49407
stress-associated endoplasmic reticulum protein 1	SERP1	NM_014445	5.78E-10	7.67E-10	-1.18256	4.00E-10	-1.27228
kynureninase (L-kynurenine hydrolase)	KYNU	NM_001032998 /// NM_003937	1.27E-06	3.19E-06	-1.17578	5.76E-07	-1.43972
ATPase, H+ transporting, lysosomal 42kDa, V1 subunit C, isoform 1	ATP6V1C1	NM_001007254 /// NM_001695	5.41E-09	5.52E-09	-1.17569	4.62E-09	-1.19946
chromosome 1 open reading frame 25	C1orf25	NM_030934	1.99E-09	1.24E-09	-1.16502	3.02E-09	-1.0543
MRNA; cDNA DKFZp564C0762 (from clone DKFZp564C0762)	NA	NA	7.39E-08	1.16E-07	-1.16225	4.44E-08	-1.29784
mediator of RNA polymerase II transcription, subunit 6 homolog (yeast)	MED6	NM_005466	1.17E-07	1.63E-07	-1.15895	7.54E-08	-1.26681
gem (nuclear organelle) associated protein 7	GEMIN7	NM_001007269 /// NM_001007270 /// NM_024707	6.45E-11	2.46E-10	-1.15517	2.59E-11	-1.4859
Cold shock domain containing E1, RNA-binding	UNR	NM_001007553 /// NM_007158	3.87E-10	4.71E-10	-1.15067	2.87E-10	-1.21668
solute carrier family 35, member D2	SLC35D2	NM_007001	3.53E-09	1.74E-08	-1.14982	1.29E-09	-1.54315
Phosphodiesterase 3A, cGMP-inhibited	PDE3A	NM_000921	2.01E-07	3.59E-07	-1.14647	1.11E-07	-1.31399
cyclin A2	CCNA2	NM_001237	1.01E-10	3.55E-10	-1.14528	4.16E-11	-1.45583
histone 1, H2bk	HIST1H2BK	NM_080593	7.07E-10	1.16E-09	-1.13895	4.24E-10	-1.27505
KIAA0507	KIAA0507	NA	2.63E-07	6.83E-07	-1.13835	1.19E-07	-1.3944
activin A receptor, type IB	ACVR1B	NM_004302 /// NM_020327 /// NM_020328	2.37E-11	1.63E-11	-1.13733	3.20E-11	-1.05484
cyclin-dependent kinase 8	CDK8	NM_001260	2.17E-09	9.41E-09	-1.13687	8.31E-10	-1.49507
60S ribosomal protein L6 (RPL6A)	NAP1L1	NM_004537 /// NM_139207	7.08E-06	6.95E-06	-1.13451	5.66E-06	-1.16305
CTP synthase	CTPS	NM_001905	1.73E-07	1.37E-07	-1.13418	1.84E-07	-1.09659
Vacuolar protein sorting 33A (yeast)	VPS33A	NM_022916	6.56E-07	1.10E-06	-1.13375	3.68E-07	-1.28889
S100P binding protein Riken	S100PBPR	NM_001017406 /// NM_022753	5.90E-09	5.12E-09	-1.13314	5.91E-09	-1.1148
chromosome 6 open reading frame 120	C6orf120	NM_001029863	2.41E-09	5.22E-09	-1.13223	1.22E-09	-1.33386
p18 splicing regulatory protein	P18SRP	NM_173829	1.52E-05	7.99E-06	-1.1313	2.60E-05	-0.977402
Protein kinase, cAMP-dependent, regulatory, type II, alpha	PRKAR2A	NM_004157	9.27E-10	1.03E-09	-1.12918	7.39E-10	-1.17214
activator of S phase kinase	ASK	NM_006716	4.73E-07	6.27E-07	-1.12798	3.12E-07	-1.22352
adaptor-related protein complex 1, sigma 1 subunit	AP1S1	NM_001283 /// NM_057089	4.31E-07	2.54E-07	-1.1267	6.75E-07	-1.00543
dual specificity phosphatase 16 /// dual specificity phosphatase 16	DUSP16	NM_030640	6.19E-09	3.55E-08	-1.12525	2.17E-09	-1.54484
ATG10 autophagy related 10 homolog (S. cerevisiae)	ATG10	NM_031482	8.82E-07	2.02E-06	-1.12119	4.18E-07	-1.3497
NMDA receptor regulated 1	NARG1	NM_057175	6.79E-06	1.45E-05	-1.11774	3.22E-06	-1.34211
geminin, DNA replication inhibitor	GMNN	NM_015895	4.55E-12	7.35E-12	-1.11628	2.77E-12	-1.24458
transmembrane protein 2	TMEM2	NM_013390	5.34E-10	3.73E-09	-1.11531	1.79E-10	-1.5691
gem (nuclear organelle) associated protein 7	GEMIN7	NM_001007269 /// NM_001007270 /// NM_024707	5.10E-10	1.54E-09	-1.11492	2.23E-10	-1.38496
CDNA FLJ13202 fis, clone NT2RP3004503	NA	NA	2.06E-07	2.63E-07	-1.11223	1.41E-07	-1.19481
calcium activated nucleotidase 1	CANT1	NM_138793	2.40E-08	2.01E-08	-1.11026	2.47E-08	-1.08478
KIAA1287	KIAA1287	NM_020748	6.00E-09	6.08E-09	-1.10839	5.14E-09	-1.12979
Hypothetical LOC133993	NA	XM_068632	1.20E-07	1.17E-07	-1.10452	1.04E-07	-1.11896
RNA binding protein with multiple splicing	RBPMS	NM_001008710 /// NM_001008711 /// NM_001008712 /// NM_006867	2.90E-08	7.56E-08	-1.10173	1.33E-08	-1.34331
solute carrier family 25, member 32 /// solute carrier family 25, member 32	SLC25A32	NM_030780	1.16E-08	1.71E-08	-1.10093	7.39E-09	-1.21074
solute carrier family 25, member 13 (citrin)	SLC25A13	NM_014251	2.08E-10	8.08E-10	-1.10079	8.29E-11	-1.42093
poly(A) binding protein, cytoplasmic 4 (inducible form)	PABPC4	NM_003819	7.23E-09	1.03E-08	-1.10078	4.72E-09	-1.20198
chromosome 14 open reading frame 46	C14orf46	NM_001024674	3.56E-07	3.38E-07	-1.0999	3.12E-07	-1.11005
RIO kinase 2 (yeast)	RIOK2	NM_018343	6.88E-07	2.06E-06	-1.09985	2.90E-07	-1.38479
general transcription factor II, i	GTF2I	NM_001518 /// NM_032999 /// NM_033000 /// NM_033001	0.000450116	0.000284957	-1.09608	0.000476165	-1.01991
CD164 antigen, sialomucin	CD164	NM_006016	4.37E-10	6.98E-10	-1.09443	2.66E-10	-1.2197
MRS2-like, magnesium homeostasis factor (S. cerevisiae)	MRS2L	NM_020662	1.62E-10	4.82E-10	-1.09357	7.14E-11	-1.35462
cysteine-rich, angiogenic inducer, 61	CYR61	NM_001554	3.89E-08	2.31E-07	-1.09299	1.34E-08	-1.51418
Transcribed locus	NA	NA	5.97E-06	6.72E-06	-1.09212	4.26E-06	-1.15429
solute carrier family 17 (anion/sugar transporter), member 5	SLC17A5	NM_012434	7.10E-10	1.83E-09	-1.0907	3.32E-10	-1.32193
ATPase, H+ transporting, lysosomal 14kDa, V1 subunit F	ATP6V1F	NM_004231	2.42E-11	2.16E-11	-1.0883	2.39E-11	-1.07605
PTX1 protein	PTX1	NM_016570	6.68E-08	1.63E-07	-1.08811	3.15E-08	-1.3137
nucleosome assembly protein 1-like 1	NAP1L1	NM_004537 /// NM_139207	6.53E-08	6.93E-08	-1.08745	5.27E-08	-1.1222
coagulation factor II (thrombin) receptor-like 2	F2RL2	NM_004101	1.30E-07	4.10E-06	-1.08213	3.52E-08	-1.8855
STARD3 N-terminal like	STARD3NL	NM_032016	3.59E-11	8.59E-11	-1.07988	1.75E-11	-1.29022
ring finger protein 13	RNF13	NM_007282 /// NM_183381 /// NM_183382 /// NM_183383 /// NM_183384	9.77E-10	8.46E-10	-1.07731	9.90E-10	-1.05849
phosphatidylinositol glycan, class A (paroxysmal nocturnal hemoglobinuria) /// p	PIGA	NM_002641 /// NM_020472 /// NM_020473	1.72E-06	4.03E-06	-1.0759	7.97E-07	-1.30454
vacuolar protein sorting 54 (yeast)	VPS54	NM_001005739 /// NM_016516	8.78E-10	2.24E-09	-1.07138	4.13E-10	-1.29599
mediator of RNA polymerase II transcription, subunit 6 homolog (yeast)	MED6	NM_005466	8.74E-09	1.86E-08	-1.06693	4.45E-09	-1.25475
pleiomorphic adenoma gene-like 1	PLAGL1	NM_002656 /// NM_006718	2.23E-06	4.39E-06	-1.06676	1.12E-06	-1.25491
de-etiolated homolog 1 (Arabidopsis)	DET1	NM_017996	4.94E-08	3.04E-08	-1.06566	7.52E-08	-0.960726
galactosidase, beta 1	GLB1	NM_000404	8.25E-10	5.83E-10	-1.06425	1.06E-09	-0.99459
Transcribed locus	NA	NA	0.000167776	0.000461116	-1.06296	6.61E-05	-1.38232
apobec-1 complementation factor	ACF	NM_014576 /// NM_138932 /// NM_138933	5.15E-07	1.40E-06	-1.0592	2.27E-07	-1.31005
serine/threonine kinase 6	STK6	NM_003600 /// NM_198433 /// NM_198434 /// NM_198435 /// NM_198436 /// NM_198437	7.57E-10	2.75E-09	-1.05839	3.08E-10	-1.35383
interleukin 11	IL11	NM_000641	9.77E-09	1.30E-06	-1.05836	2.55E-09	-2.1662
coproporphyrinogen oxidase	CPOX	NM_000097	8.98E-07	1.17E-06	-1.057	5.93E-07	-1.14546
insulin-like 4 (placenta)	INSL4	NM_002195	2.07E-08	2.28E-08	-1.05698	1.63E-08	-1.09834
BRCA2 and CDKN1A interacting protein	BCCIP	NM_016567 /// NM_078468 /// NM_078469	5.12E-08	1.36E-07	-1.05519	2.32E-08	-1.29166
chromosome 18 open reading frame 21	C18orf21	NM_031446	2.17E-08	2.77E-08	-1.05497	1.52E-08	-1.12968
Splicing factor, arginine/serine-rich, 46kD	SRP46	NM_032102	1.20E-07	2.44E-07	-1.05478	6.17E-08	-1.23603
basic transcription factor 3-like 4	BTF3L4	NM_152265	2.02E-09	3.84E-09	-1.05027	1.10E-09	-1.20937
calcium activated nucleotidase 1	CANT1	NM_138793	7.45E-08	7.26E-08	-1.04535	6.49E-08	-1.05888
chromosome 14 open reading frame 111	C14orf111	NM_015962	0.00104121	0.00081564	-1.0398	0.000811973	-1.04049
NIMA (never in mitosis gene a)-related kinase 3	NEK3	NM_002498 /// NM_152720	4.40E-06	6.34E-06	-1.03778	2.64E-06	-1.15327
mitogen-activated protein kinase kinase kinase 9	MAP3K9	NM_033141	8.97E-09	5.10E-08	-1.03526	3.15E-09	-1.42023
hypothetical protein HH114 /// hypothetical protein HH114	HH114	NM_032499	1.54E-08	2.29E-08	-1.03356	9.67E-09	-1.13986
CDNA FLJ43100 fis, clone CTONG2003100	NA	NA	1.59E-05	2.72E-05	-1.03346	8.34E-06	-1.19641
nuclear receptor subfamily 2, group F, member 6	NR2F6	NM_005234	2.23E-07	1.93E-07	-1.03187	2.16E-07	-1.01891
NA	NA	NA	3.24E-08	2.64E-08	-1.03152	3.42E-08	-1.00145
phosphatidylcholine transfer protein	PCTP	NM_021213	1.93E-09	1.05E-08	-1.02979	6.89E-10	-1.40044
aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	AASDHPPT	NM_015423	7.35E-08	9.23E-08	-1.02861	5.16E-08	-1.09961
SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subf	SMARCC1	NM_003074	2.67E-09	3.32E-09	-1.0283	1.93E-09	-1.09283
zinc finger, DHHC-type containing 3	ZDHHC3	NM_016598	2.18E-10	3.13E-10	-1.02697	1.43E-10	-1.12131
KIAA1702 protein	KIAA1702	NA	0.000741318	0.000941365	-1.02098	0.000401202	-1.15521
thioesterase superfamily member 4	THEM4	NM_053055 /// NM_176853	3.59E-08	5.74E-08	-1.02016	2.14E-08	-1.1415
F-box protein 8	FBXO8	NM_012180	7.58E-06	5.13E-06	-1.01989	9.05E-06	-0.951908
fibroblast growth factor receptor 4	FGFR4	NM_002011 /// NM_022963 /// NM_213647	2.23E-06	1.94E-06	-1.01963	2.06E-06	-1.01235
acidic (leucine-rich) nuclear phosphoprotein 32 family, member A	ANP32A	NM_006305	0.000695738	0.000696268	-1.01837	0.000448296	-1.08496
