Gene	Entrez	Fold-change	Pattern
gtf2h4	14885	2.2	Yng-M
gtpbp2	56055	2.2	Yng-M
lpin2	64898	2.2	Yng-M
mylk	107589	2.2	Yng-M
pctk1	18555	2.2	Yng-M
sgne1	20394	2.2	Yng-M
shmt1	20425	2.2	Yng-M
sin3a	20466	2.2	Yng-M
trim28	21849	2.2	Yng-M
3222401m22rik	74013	2.2	V
aspscr1	68938	2.2	V
bdh	71911	2.2	V
cldn3	12739	2.2	V
ephb3	13845	2.2	V
galnt3	14425	2.2	V
hdgf	15191	2.2	V
mapk13	26415	2.2	V
notch2	18129	2.2	V
pcm1	18536	2.2	V
plcd1	18799	2.2	V
prelp	116847	2.2	V
rbp1	19659	2.2	V
s100a10	20194	2.2	V
tnfrsf19	29820	2.2	V
trim62	67525	2.2	V
2010301n04rik	72103	2.2	Old-M
bcl2l1	12048	2.2	Old-M
casp7	12369	2.2	Old-M
elp3	74195	2.2	Old-M
ly96	17087	2.2	Old-M
myh6	17888	2.2	Old-M
pcbp2	18521	2.2	Old-M
pink1	68943	2.2	Old-M
rnu22	83673	2.2	Old-M
xist	213742	2.2	Old-M
rerg	232441	2.2	Coch
ank3	11735	2.2	V
ndufa3	66091	2.2	Old-M
eno1	13806	2.1	Yng-M
ldb1	16825	2.1	Yng-M
nomo1	211548	2.1	Yng-M
pdlim5	56376	2.1	Yng-M
sh3bgr	50795	2.1	Yng-M
slc25a13	50799	2.1	Yng-M
tpcn1	252972	2.1	Yng-M
1439018_at	1439018_at	2.1	V
1452899_at	1452899_at	2.1	V
anxa2	12306	2.1	V
anxa6	11749	2.1	V
brd4	57261	2.1	V
d5bwg0860e	52822	2.1	V
fez2	225020	2.1	V
fnbp1	14269	2.1	V
insl6	27356	2.1	V
man1a	17155	2.1	V
mdk	17242	2.1	V
mgc107514	232680	2.1	V
myo5c	208943	2.1	V
odz4	23966	2.1	V
phldb1	102693	2.1	V
ptpru	19273	2.1	V
rbpms	19663	2.1	V
sipa1l2	244668	2.1	V
slc26a1	231583	2.1	V
spa17	20686	2.1	V
thoc4	21681	2.1	V
wnt5a	22418	2.1	V
1700029i01rik	433791	2.1	Old-M
3300001p08rik	67684	2.1	Old-M
9130011j15rik	66818	2.1	Old-M
aak1	269774	2.1	Old-M
aldh2	11669	2.1	Old-M
grn	14824	2.1	Old-M
klf9	16601	2.1	Old-M
rab15	104886	2.1	Old-M
six5	20475	2.1	Old-M
slc6a15	103098	2.1	Old-M
ywhaz	22631	2.1	Old-M
fzd7	14369	2.1	Coch
mlstd2	67420	2.1	Coch
parp8	52552	2.1	Coch
pcmt1	18537	2.1	Coch
cyb5r3	109754	2.1	V
fscn1	14086	2.1	V
hmgn3	94353	2.1	V
1500001l15rik	68966	2.1	Old-M
gmfb	63985	2.1	Old-M
1500003o03rik	56398	2.0	Yng-M
4432405b04rik	67978	2.0	Yng-M
9530058b02rik	68241	2.0	Yng-M
a730042j05rik	234069	2.0	Yng-M
akap1	11640	2.0	Yng-M
alad	17025	2.0	Yng-M
aldh4a1	212647	2.0	Yng-M
anp32e	66471	2.0	Yng-M
bub1	12235	2.0	Yng-M
capn10	23830	2.0	Yng-M
cuedc1	103841	2.0	Yng-M
cxxc5	67393	2.0	Yng-M
ddx41	72935	2.0	Yng-M
ipo9	226432	2.0	Yng-M
mthfd2	17768	2.0	Yng-M
mtm1	17772	2.0	Yng-M
polr3c	74414	2.0	Yng-M
rap1gds1	229877	2.0	Yng-M
rnps1	19826	2.0	Yng-M
safb	224903	2.0	Yng-M
snrpn	20646	2.0	Yng-M
sox5	20678	2.0	Yng-M
tarbp2	21357	2.0	Yng-M
wdr50	217109	2.0	Yng-M
1110007c05rik	66124	2.0	V
2900011o08rik	67254	2.0	V
6720463e02rik	68097	2.0	V
aass	30956	2.0	V
abcd4	19300	2.0	V
aff1	17355	2.0	V
atg7	74244	2.0	V
atn1	13498	2.0	V
atp1a2	98660	2.0	V
auts2	319974	2.0	V
bag1	12017	2.0	V
bc058674	233210	2.0	V
btd	26363	2.0	V
chd8	67772	2.0	V
creg1	433375	2.0	V
d330010c22rik	433809	2.0	V
dnajc17	69408	2.0	V
enpp2	18606	2.0	V
entpd5	12499	2.0	V
exosc10	50912	2.0	V
fhit	14198	2.0	V
fkbp8	14232	2.0	V
grb7	14786	2.0	V
gria4	14802	2.0	V
gstt3	103140	2.0	V
itgb6	16420	2.0	V
jund1	16478	2.0	V
lip1	16889	2.0	V
lmx1a	110648	2.0	V
masp1	17174	2.0	V
mmp15	17388	2.0	V
odz3	23965	2.0	V
perp	64058	2.0	V
pkp3	56460	2.0	V
rala	56044	2.0	V
rbm35b	77411	2.0	V
rian	75745	2.0	V
shkbp1	192192	2.0	V
slc24a3	94249	2.0	V
sox6	20679	2.0	V
stx7	53331	2.0	V
supt16h	114741	2.0	V
susd4	96935	2.0	V
syngr1	20972	2.0	V
trim2	80890	2.0	V
tspan7	21912	2.0	V
ube2v1	66589	2.0	V
usmg4	83679	2.0	V
vps52	224705	2.0	V
wwp2	66894	2.0	V
za20d2	22682	2.0	V
1110014d18rik	68501	2.0	Old-M
1500005k14rik	76566	2.0	Old-M
1810030n24rik	66291	2.0	Old-M
2610005l07rik	381598	2.0	Old-M
cacna2d2	56808	2.0	Old-M
cstf2	108062	2.0	Old-M
g0s2	14373	2.0	Old-M
hus1	15574	2.0	Old-M
irf6	54139	2.0	Old-M
mrpl22	216767	2.0	Old-M
nipbl	71175	2.0	Old-M
orc2l	18393	2.0	Old-M
pomc1	18976	2.0	Old-M
rad23b	19359	2.0	Old-M
rbm16	106583	2.0	Old-M
tep1	21745	2.0	Old-M
yipf2	74766	2.0	Old-M
1416761_at	1416761_at	2.0	Coch
chst11	218194	2.0	Coch
ddc	13195	2.0	Coch
tmsb10	19240	2.0	V
glb1	12091	2.0	V
mmp23	26561	2.0	V
1500034j01rik	66498	1.9	Yng-M
atf7ip	54343	1.9	Yng-M
ctnnbl1	66642	1.9	Yng-M
fus	233908	1.9	Yng-M
fxn	14297	1.9	Yng-M
grwd1	101612	1.9	Yng-M
loc14433	14433	1.9	Yng-M
mtrr	210009	1.9	Yng-M
nol5a	67134	1.9	Yng-M
pak1	18479	1.9	Yng-M
ppap2c	50784	1.9	Yng-M
pttg1	30939	1.9	Yng-M
ripk1	19766	1.9	Yng-M
skb1	27374	1.9	Yng-M
tarsl1	71807	1.9	Yng-M
uhrf1	18140	1.9	Yng-M
zc3hc1	232679	1.9	Yng-M
1110018j12rik	73825	1.9	V
1110054m08rik	68841	1.9	V
1190002h23rik	66214	1.9	V
1300006n24rik	71766	1.9	V
1422687_at	1422687_at	1.9	V
2310061j03rik	66391	1.9	V
2610208e05rik	108755	1.9	V
4930553m18rik	75316	1.9	V
acot1	26897	1.9	V
adamts7	108153	1.9	V
aip	11632	1.9	V
alg3	208624	1.9	V
arpc4	68089	1.9	V
bb128963	233315	1.9	V
bc005512	192885	1.9	V
bc039093	230761	1.9	V
bcl9	77578	1.9	V
c530044n13rik	223978	1.9	V
capn5	12337	1.9	V
ccdc9	243846	1.9	V
clic1	114584	1.9	V
col9a3	12841	1.9	V
cox7a1	12865	1.9	V
d7ertd462e	52132	1.9	V
ddit4	74747	1.9	V
ddx10	77591	1.9	V
diap2	54004	1.9	V
dlgap4	228836	1.9	V
fbln1	14114	1.9	V
foxo1	56458	1.9	V
furin	18550	1.9	V
gm2a	14667	1.9	V
hnrpul2	68693	1.9	V
ibrdc3	75234	1.9	V
ica1	15893	1.9	V
ifitm2	80876	1.9	V
ing1	26356	1.9	V
irs1	16367	1.9	V
khdrbs3	13992	1.9	V
kif5b	16573	1.9	V
mest	17294	1.9	V
mgc29978	235674	1.9	V
mme	17380	1.9	V
myl9	98932	1.9	V
mylpf	17907	1.9	V
nans	94181	1.9	V
ngfrap1	12070	1.9	V
oas1c	114643	1.9	V
ofd1	237222	1.9	V
orc3l	50793	1.9	V
pde4b	18578	1.9	V
plekha2	83436	1.9	V
rnf123	84585	1.9	V
ruvbl1	56505	1.9	V
scarb1	20778	1.9	V
sdccag33	110796	1.9	V
sorcs1	58178	1.9	V
sox10	20665	1.9	V
sparc	20692	1.9	V
supt6h	20926	1.9	V
tcf3	21415	1.9	V
thra	21833	1.9	V
tradd	71609	1.9	V
trps1	83925	1.9	V
vamp1	22317	1.9	V
xpnpep1	170750	1.9	V
zfp36l2	12193	1.9	V
zmynd11	66505	1.9	V
1429222_at	1429222_at	1.9	Old-M
1455625_at	1455625_at	1.9	Old-M
a930001n09rik	77128	1.9	Old-M
abca1	11303	1.9	Old-M
bc023151	212974	1.9	Old-M
d4wsu53e	27981	1.9	Old-M
d8ertd812e	212528	1.9	Old-M
dap	223453	1.9	Old-M
deb1	26901	1.9	Old-M
gng5	14707	1.9	Old-M
gt(rosa)26sor	14910	1.9	Old-M
jarid1b	75605	1.9	Old-M
mylip	218203	1.9	Old-M
nr2f2	11819	1.9	Old-M
ppm1b	19043	1.9	Old-M
ptk9	19230	1.9	Old-M
rasl12	70784	1.9	Old-M
recql	19691	1.9	Old-M
sfxn3	94280	1.9	Old-M
sspn	16651	1.9	Old-M
tjp2	21873	1.9	Old-M
ubr1	22222	1.9	Old-M
usp19	71472	1.9	Old-M
cyp26a1	13082	1.9	Coch
eif5	217869	1.9	Coch
mass1	110789	1.9	Coch
nap1l1	53605	1.9	Coch
pdgfc	54635	1.9	Coch
ptch1	19206	1.9	Coch
smo	319757	1.9	Yng-M
4921506j03rik	382423	1.9	V
acin1	56215	1.9	V
atbf1	11906	1.9	V
camk1	52163	1.9	V
eif2ak1	15467	1.9	V
klf4	16600	1.9	V
prnp	19122	1.9	V
safb2	224902	1.9	V
serhl	68607	1.9	Old-M
ssx2ip	99167	1.9	Coch
tcf4	21413	1.8	V
5930434b04rik	381356	1.8	Yng-M
6720460f02rik	109212	1.8	Yng-M
aa536749	26936	1.8	Yng-M
arhgap1	228359	1.8	Yng-M
asna1	56495	1.8	Yng-M
atrx	22589	1.8	Yng-M
ccne1	12447	1.8	Yng-M
cdc2l1	12537	1.8	Yng-M
cdca5	67849	1.8	Yng-M
crabp2	12904	1.8	Yng-M
ddx19a	13680	1.8	Yng-M
dnmt3b	13436	1.8	Yng-M
got1	14718	1.8	Yng-M
gprk5	14773	1.8	Yng-M
irx1	16371	1.8	Yng-M
kars	85305	1.8	Yng-M
kti12	100087	1.8	Yng-M
lama1	16772	1.8	Yng-M
mafg	17134	1.8	Yng-M
ncoa5	228869	1.8	Yng-M
nf2	18016	1.8	Yng-M
nudc	18221	1.8	Yng-M
pcbp4	59092	1.8	Yng-M
pgd	110208	1.8	Yng-M
prss8	76560	1.8	Yng-M
rabggta	56187	1.8	Yng-M
rsafd1	100929	1.8	Yng-M
stub1	56424	1.8	Yng-M
tead2	21677	1.8	Yng-M
0610010e21rik	68332	1.8	V
1453569_s_at	1453569_s_at	1.8	V
1700023o11rik	75565	1.8	V
2010305c02rik	380712	1.8	V
2310005e10rik	67861	1.8	V
2310014h01rik	76448	1.8	V
2310036o22rik	68544	1.8	V
2410016f19rik	67371	1.8	V
2610012o22rik	69902	1.8	V
2900042b11rik	72938	1.8	V
3300001g02rik	78372	1.8	V
4632417k18rik	107373	1.8	V
6720485c15rik	68087	1.8	V
acyp2	75572	1.8	V
ahnak	66395	1.8	V
aldh18a1	56454	1.8	V
anp32a	11737	1.8	V
anxa11	11744	1.8	V
apbb2	11787	1.8	V
aplp1	11803	1.8	V
atxn7l4	72174	1.8	V
b2m	12010	1.8	V
bc002230	217827	1.8	V
bc017612	170748	1.8	V
bc034204	270151	1.8	V
btbd14a	67991	1.8	V
camta2	216874	1.8	V
chmp2a	68953	1.8	V
cops7b	26895	1.8	V
ctsz	64138	1.8	V
cutl2	13048	1.8	V
cybrd1	73649	1.8	V
d19ertd721e	225896	1.8	V
d2ertd750e	51944	1.8	V
dap3	65111	1.8	V
dgka	13139	1.8	V
drg2	13495	1.8	V
dscr6	170765	1.8	V
elovl7	74559	1.8	V
fbf1	217335	1.8	V
fkbpl	56299	1.8	V
grm8	14823	1.8	V
gsg1	14840	1.8	V
gstm5	14866	1.8	V
gstt2	14872	1.8	V
gtf2b	229906	1.8	V
gtf2ird2	114674	1.8	V
hint1	15254	1.8	V
hnmt	140483	1.8	V
htra3	78558	1.8	V
igfbp2	16008	1.8	V
ik	24010	1.8	V
lrp4	228357	1.8	V
ltb4dh	67103	1.8	V
mcam	84004	1.8	V
mrpl41	107733	1.8	V
nap1l2	17954	1.8	V
nfkbib	18036	1.8	V
nlgn2	216856	1.8	V
nlk	18099	1.8	V
nnp1	18114	1.8	V
pdcd2	18567	1.8	V
pkm2	18746	1.8	V
ppp1r11	76497	1.8	V
prkcn	75292	1.8	V
prkcz	18762	1.8	V
r3hcc1	71843	1.8	V
rad50	19360	1.8	V
rcsd1	226594	1.8	V
rhob	11852	1.8	V
rnpepl1	108657	1.8	V
rtkn	20166	1.8	V
rwdd1	66521	1.8	V
serpinh1	12406	1.8	V
shrm	27428	1.8	V
sil1	81500	1.8	V
slc4a1ap	20534	1.8	V
soat1	20652	1.8	V
spata13	219140	1.8	V
stx8	55943	1.8	V
tacc2	57752	1.8	V
tjp3	27375	1.8	V
tnfsf13	619441	1.8	V
trpc2	22064	1.8	V
u2af2	22185	1.8	V
uck2	80914	1.8	V
usp2	53376	1.8	V
utp11l	67205	1.8	V
vamp8	22320	1.8	V
xrcc1	22594	1.8	V
zfp423	94187	1.8	V
zfp706	68036	1.8	V
0610037p05rik	66086	1.8	Old-M
1432828_at	1432828_at	1.8	Old-M
2310039h08rik	67101	1.8	Old-M
4933409l06rik	74081	1.8	Old-M
4933426k21rik	108653	1.8	Old-M
bat5	193742	1.8	Old-M
bc006965	217294	1.8	Old-M
bc053440	234344	1.8	Old-M
brp44	70456	1.8	Old-M
cog1	16834	1.8	Old-M
d930020l01	330557	1.8	Old-M
epb4.1l1	13821	1.8	Old-M
fubp1	51886	1.8	Old-M
gfer	11692	1.8	Old-M
itm2b	16432	1.8	Old-M
kif4	16571	1.8	Old-M
ltbp3	16998	1.8	Old-M
mosc2	67247	1.8	Old-M
mthfr	17769	1.8	Old-M
pex6	224824	1.8	Old-M
ptprd	19266	1.8	Old-M
pvrl2	19294	1.8	Old-M
pxk	218699	1.8	Old-M
rsnl2	78785	1.8	Old-M
satb1	20230	1.8	Old-M
sec11l3	66286	1.8	Old-M
sfrs15	224432	1.8	Old-M
slc7a6	330836	1.8	Old-M
srgap3	259302	1.8	Old-M
tspan31	67125	1.8	Old-M
zfp386	56220	1.8	Old-M
2310005n03rik	66359	1.8	Coch
csda	56449	1.8	Coch
ktn1	16709	1.8	Coch
nap1l3	54561	1.8	Coch
plxdc2	67448	1.8	Coch
ranbp2	19386	1.8	Coch
tyki	22169	1.8	Coch
zhx1	22770	1.8	Coch
ldh2	16832	1.8	V
eif3s8	56347	1.8	Yng-M
itsn1	16443	1.8	Yng-M
1110002e23rik	66119	1.8	V
gtl2	17263	1.8	V
pcolce	18542	1.8	V
ppm1a	19042	1.8	V
rnaset2	68195	1.8	V
rps8	20116	1.8	V
sepw1	20364	1.8	V
tfpt	546028	1.8	V
2610002j02rik	67513	1.8	Old-M
atp7a	11977	1.8	Old-M
dsg2	13511	1.7	V
slc9a3r2	65962	1.7	V
tpi1	21991	1.7	V
2610020n02rik	353258	1.7	Yng-M
2700091n06rik	67200	1.7	Yng-M
5830457o10rik	214987	1.7	Yng-M
aamp	227290	1.7	Yng-M
afg3l1	114896	1.7	Yng-M
aldoa	11674	1.7	Yng-M
anapc5	59008	1.7	Yng-M
cad	69719	1.7	Yng-M
ccm2	216527	1.7	Yng-M
chst2	54371	1.7	Yng-M
coro1b	23789	1.7	Yng-M
cttn	13043	1.7	Yng-M
e2f1	13555	1.7	Yng-M
fiz1	23877	1.7	Yng-M
hrmt1l2	15469	1.7	Yng-M
immt	76614	1.7	Yng-M
mcm5	17218	1.7	Yng-M
mgi:2149712	268527	1.7	Yng-M
mpp5	56217	1.7	Yng-M
myd116	17872	1.7	Yng-M
pias3	229615	1.7	Yng-M
plekha7	233765	1.7	Yng-M
praf1	64424	1.7	Yng-M
psmc5	19184	1.7	Yng-M
ptdsr	107817	1.7	Yng-M
rab4a	19341	1.7	Yng-M
rcor2	104383	1.7	Yng-M
riok2	67045	1.7	Yng-M
sart1	20227	1.7	Yng-M
slc35b4	58246	1.7	Yng-M
spnb3	20743	1.7	Yng-M
tmem39a	67846	1.7	Yng-M
zfr	22763	1.7	Yng-M
1450693_at	1450693_at	1.7	V
1500026d16rik	68209	1.7	V
1700060h10rik	73390	1.7	V
2310003f16rik	67693	1.7	V
2310044h10rik	69683	1.7	V
2510006c20rik	68044	1.7	V
2600001b17rik	268490	1.7	V
2810046l04rik	212127	1.7	V
2810405k02rik	66469	1.7	V
2900002h16rik	75695	1.7	V
3110001a13rik	66540	1.7	V
3200002m19rik	75430	1.7	V
4732497o03rik	216987	1.7	V
4930563c04rik	75273	1.7	V
ada	11486	1.7	V
adprh	11544	1.7	V
agl	77559	1.7	V
akt1	11651	1.7	V
aldh9a1	56752	1.7	V
amph	218038	1.7	V
anapc13	69010	1.7	V
arhgef10	234094	1.7	V
arhgef12	69632	1.7	V
arl6ip5	65106	1.7	V
arl6ip6	65103	1.7	V
arvcf	11877	1.7	V
asph	65973	1.7	V
asrgl1	66514	1.7	V
axin2	12006	1.7	V
b230118h07rik	68170	1.7	V
bak1	12018	1.7	V
bbx	70508	1.7	V
bc026645	213573	1.7	V
bc027382	407796	1.7	V
bre	107976	1.7	V
brunol4	108013	1.7	V
c130076o07rik	319504	1.7	V
c530043g21rik	215015	1.7	V
c78878	97871	1.7	V
canx	12330	1.7	V
cct8	12469	1.7	V
cd8b1	12526	1.7	V
cdr2	12585	1.7	V
chchd1	66121	1.7	V
clstn3	232370	1.7	V
col4a1	12826	1.7	V
crcp	12909	1.7	V
cri1	58521	1.7	V
csad	246277	1.7	V
d6wsu163e	28040	1.7	V
d8ertd738e	101966	1.7	V
ddr1	12305	1.7	V
ddx27	228889	1.7	V
dhrs4	28200	1.7	V
dhrs8	114664	1.7	V
ero1lb	67475	1.7	V
fbs1	14123	1.7	V
fbxo4	106052	1.7	V
fjx1	14221	1.7	V
fkbp4	14228	1.7	V
fnta	14272	1.7	V
frap1	56717	1.7	V
fyn	14360	1.7	V
gcn5l2	14534	1.7	V
gp1bb	14724	1.7	V
gstm2	14863	1.7	V
h2afy	26914	1.7	V
hadha	97212	1.7	V
hat1	107435	1.7	V
hexim1	192231	1.7	V
hrmt1l1	15468	1.7	V
hsd17b4	15488	1.7	V
hspa4	15525	1.7	V
hyou1	12282	1.7	V
igsf4c	260299	1.7	V
kpnb1	16211	1.7	V
lamc1	226519	1.7	V
large	16795	1.7	V
lasp1	16796	1.7	V
lenep	319945	1.7	V
limk1	16885	1.7	V
lims2	225341	1.7	V
man2a1	17158	1.7	V
mb	17189	1.7	V
mfhas1	52065	1.7	V
mgi:1915044	66940	1.7	V
mgi:2180715	170753	1.7	V
mrps18b	66973	1.7	V
mrps26	99045	1.7	V
mrps5	77721	1.7	V
nab1	17936	1.7	V
ndufb10	68342	1.7	V
nek8	140859	1.7	V
notch4	18132	1.7	V
npepps	19155	1.7	V
nsfl1c	386649	1.7	V
nucb2	53322	1.7	V
osbpl1a	64291	1.7	V
paf1	54624	1.7	V
pbxip1	229534	1.7	V
pdap1	231887	1.7	V
pdlim2	213019	1.7	V
peg3	18616	1.7	V
phpt1	75454	1.7	V
pitpnc1	71795	1.7	V
ppp1r14b	18938	1.7	V
pqbp1	54633	1.7	V
prkag1	19082	1.7	V
prpf38b	66921	1.7	V
prx	19153	1.7	V
psap	19156	1.7	V
pscd2	19158	1.7	V
ptpn21	24000	1.7	V
pxmp4	59038	1.7	V
rab33a	19337	1.7	V
rab7l1	226422	1.7	V
raly	19383	1.7	V
rangap1	19387	1.7	V
rbms1	56878	1.7	V
rpl28	19943	1.7	V
rpl3	244512	1.7	V
rrbp1	81910	1.7	V
rrm1	20133	1.7	V
rusc1	72296	1.7	V
sdf4	20318	1.7	V
sema4d	20354	1.7	V
serf1	20365	1.7	V
set	56086	1.7	V
sf4	70616	1.7	V
sirt7	209011	1.7	V
slc20a1	20515	1.7	V
slc25a28	246696	1.7	V
slc35c1	228368	1.7	V
snrp70	20637	1.7	V
srprb	20818	1.7	V
ssbp3	72475	1.7	V
st7	64213	1.7	V
stoml2	66592	1.7	V
stra13	20892	1.7	V
tceal3	331528	1.7	V
tes	21753	1.7	V
tmem54	66260	1.7	V
