Genbank#	GeneSymbol	Gene Name	6hr	24hr
NM_003304.1	TRPC1	transient receptor potential cation channel, subfamily C, member 1	NC	1.9
NM_018000.1	DSU	likely ortholog of mouse dilute suppressor	1.9	1.8a
NM_004053.1	BYSL	bystin-like	1.6	1.8
BC000388.1	C6orf11	chromosome 6 open reading frame 11	1.5a	1.8
NM_017909.1	C6orf96	chromosome 6 open reading frame 96	1.5a	1.8
NM_016391.1	HSPC111	hypothetical protein HSPC111 (4)	1.5	1.8
AL583171	RNF41	ring finger protein 41	1.5a	1.8
U82756.1	PRPF4	PRP4 pre-mRNA processing factor 4 homolog (yeast)	1.4a	1.8
BC001811.1	RRS1	RRS1 ribosome biogenesis regulator homolog (S.	1.4	1.8
AL050318	TGIF2	cerevisiae) TGFB-induced factor 2 (TALE family homeobox) (2)	1.4a	1.8
NM_006643.1	SDCCAG3	serologically defined colon cancer antigen 3	NC	1.8
NM_018360.1	CXorf15	chromosome X open reading frame 15	NC	1.8
AF337808.1	GRWD1	glutamate-rich WD repeat containing 1	NC	1.8
NM_006452.1	PAICS	phosphoribosylaminoimidazole carboxylase, phosphoribosylaminoimidazole succinocarboxamide synthetase(4)	1.3b	1.8
NM_006114.1	TOMM40	translocase of outer mitochondrial membrane 40 homolog (yeast)	NC	1.8
NM_001144.1	AMFR	autocrine motility factor receptor	NC	1.8
BC003615.1	C22orf19	chromosome 22 open reading frame 19	1.2b	1.8
AB050442.1	OSGEP	O-sialoglycoprotein endopeptidase	NC	1.8
NM_006994.2	BTN3A3///BTN3A2	butyrophilin, subfamily 3, member A3 /// butyrophilin, subfamily 3, member A2	NC	1.8
NM_024072.1	DDX54	DEAD (Asp-Glu-Ala-Asp) box polypeptide 54	NC	1.8
AF258545	GEMIN4	gem (nuclear organelle) associated protein 4	NC	1.8
NM_005931.1	MICB	MHC class I polypeptide-related sequence B	NC	1.8
BE305165	PPP1R14B	protein phosphatase 1, regulatory (inhibitor) subunit 14B	NC	1.8
AI887457	SLC25A12	solute carrier family 25 (mitochondrial carrier, Aralar), member 12	NC	1.8
AF016266.1	TNFRSF10B	tumor necrosis factor receptor superfamily, member 10b	NC	1.8
NM_014918.1	CHSY1	carbohydrate (chondroitin) synthase 1	1.7	1.7
NM_024701.1	ASB13	ankyrin repeat and SOCS box-containing 13 (4)	1.5	1.7
NM_015516.1	TSK	likely ortholog of chicken tsukushi	1.5a	1.7
NM_017555.1	EGLN2	egl nine homolog 2 (C. elegans)	1.4a	1.7
NM_016034.1	MRPS2	mitochondrial ribosomal protein S2	NC	1.7
AI457120	PPAT	phosphoribosyl pyrophosphate amidotransferase	NC	1.7
BC005957.1	SLC25A17	solute carrier family 25 (mitochondrial carrier; peroxisomal membrane protein, 34kDa), member 17 (4)	1.3b	1.7
Z95118	ZNF259	zinc finger protein 259	NC	1.7
NM_021238.1	C12orf14	chromosome 12 open reading frame 14	NC	1.7
NM_004955.1	SLC29A1	solute carrier family 29 (nucleoside transporters), member 1(5)	NC	1.7
NM_006459.1	SPFH1	SPFH domain family, member 1	1.2b	1.7
BC001173.1	EIF3S9	eukaryotic translation initiation factor 3, subunit 9 eta, 116kDa (1)	NC	1.7
NM_002014.1	FKBP4	FK506 binding protein 4, 59kDa (1, 7)	NC	1.7
NM_020143.1	LOC56902	putatative 28 kDa protein	NC	1.7
NM_022490.1	PAF53	RNA polymerase I associated factor 53	NC	1.7
NM_004341.1	CAD	carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase	NC	1.7
NM_001350.1	DAXX	death-associated protein 6	NC	1.7
NM_024656.1	GLT25D1	glycosyltransferase 25 domain containing 1	NC	1.7
BE256479	HSPD1	heat shock 60kDa protein 1 (chaperonin)(1, 9)	NC	1.7
NM_024092.1	MGC5508	hypothetical protein MGC5508	NC	1.7
NM_002450.1	MT1X	metallothionein 1X	NC	1.7
NM_015956.1	MRPL4	mitochondrial ribosomal protein L4	NC	1.7
AL044326	PFAS	phosphoribosylformylglycinamidine synthase (FGAR amidotransferase)	NC	1.7
NM_006198.1	PCP4	Purkinje cell protein 4	NC	1.7
NM_002936.1	RNASEH1	ribonuclease H1	NC	1.7
M31222.1	TCF3	transcription factor 3 (E2A immunoglobulin enhancer binding factors E12/E47)	NC	1.7
NM_017660.1	p66alpha	p66 alpha	1.8a	1.6
NM_016649.1	C20orf6	chromosome 20 open reading frame 6	1.6a	1.6
BC000979.2	DDX49	DEAD (Asp-Glu-Ala-Asp) box polypeptide 49	1.6	1.6
AI803633	FLJ10534	hypothetical protein FLJ10534	1.6	1.6a
AA527515	MGC16279	hypothetical protein MGC16279	1.6a	1.6
U64317.1	NEDD9	neural precursor cell expressed, developmentally down-regulated 9	1.5	1.6
NM_006784.1	WDR3	WD repeat domain 3	1.5	1.6a
L32610.1	HNRPH3	heterogeneous nuclear ribonucleoprotein H3 (2H9)	NC	1.6
Z25434.1	NEK3	NIMA (never in mitosis gene a)-related kinase 3	NC	1.6
D80007.1	PDCD11	programmed cell death 11	NC	1.6
NM_012251.1	TFAM	transcription factor A, mitochondrial	NC	1.6
AL565074	TUBA1	tubulin, alpha 1 (testis specific)(1)	NC	1.6
BC001738.1	UBE2G2	ubiquitin-conjugating enzyme E2G 2 (UBC7 homolog, yeast)	NC	1.6
NM_002482.1	NASP	nuclear autoantigenic sperm protein (histone-binding)	NC	1.6
BE737030	CCT6A	chaperonin containing TCP1, subunit 6A (zeta 1)	NC	1.6
BC000733.1	EIF3S4	eukaryotic translation initiation factor 3, subunit 4 delta, 44kDa	NC	1.6
AV733308	ITGA6	integrin, alpha 6	NC	1.6
BC001327.1	IFRD2	interferon-related developmental regulator 2	NC	1.6
AI962879	C14orf172	chromosome 14 open reading frame 172	NC	1.6
AY007126.1	LOC339229	hypothetical protein LOC339229	NC	1.6
AF147209.1	ILF3	interleukin enhancer binding factor 3, 90kDa	NC	1.6
AB018302	KIAA0759	KIAA0759	NC	1.6
BC006177.1	MTA1	metastasis associated 1	NC	1.6
BF975273	MEP50	methylosome protein 50	NC	1.6
NM_005381.1	NCL	Nucleolin (1)	NC	1.6
BC002526.1	HSPA4	heat shock 70kDa protein 4	NC	1.6
AK002091.1	MGEA5	meningioma expressed antigen 5 (hyaluronidase)	NC	1.6
NM_025109.1	MYOHD1	myosin head domain containing 1	NC	1.6
AB011179.1	NCDN	neurochondrin	NC	1.6
AF241788.1	NUDC	nuclear distribution gene C homolog (A. nidulans)	NC	1.6
NM_006230.1	POLD2	polymerase (DNA directed), delta 2, regulatory subunit 50kDa	NC	1.6
NM_007182.2	RASSF1	Ras association (RalGDS/AF-6) domain family 1	NC	1.6
BE795648	SSRP1	structure specific recognition protein 1	NC	1.6
M61715.1	WARS	tryptophanyl-tRNA synthetase (1)	NC	1.6
BG168720	ZDHHC18	zinc finger, DHHC domain containing 18	NC	1.6
NM_025085.1	NARG1	NMDA receptor regulated 1	1.7a	1.5
NM_030895.1	FLJ14129	hypothetical protein FLJ14129	1.6	1.5
D31771.1	MSX2	msh homeo box homolog 2 (Drosophila)	1.5a	1.5
NM_018233.1	FLJ10826	hypothetical protein FLJ10826	NC	1.5
NM_004111.3	FEN1	flap structure-specific endonuclease 1 (1, 10)	NC	1.5
NM_024037.1	MGC2603	hypothetical protein MGC2603	NC	1.5
AA679988	PTBP1	polypyrimidine tract binding protein 1	NC	1.5
NM_005412.1	SHMT2	serine hydroxymethyltransferase 2 (mitochondrial)(1)	NC	1.5
M95178.1	ACTN1	actinin, alpha 1 (1)	NC	1.5
NM_019082.1	DDX56	DEAD (Asp-Glu-Ala-Asp) box polypeptide 56	NC	1.5
BF224073	TCP1	t-complex 1	NC	1.5
BG258639	TNPO2	transportin 2 (importin 3, karyopherin beta 2b)	NC	1.5
NM_022914.1	ACD	adrenocortical dysplasia homolog (mouse)	NC	1.5
AK025651.1	PNAS-4	CGI-146 protein	NC	1.5
NM_023076.1	C16orf28	chromosome 16 open reading frame 28	NC	1.5
AK023187.1	GRSF1	G-rich RNA sequence binding factor 1	NC	1.5
NM_024710.1	ISOC2	isochorismatase domain containing 2	NC	1.5
NM_017522.1	LRP8	low density lipoprotein receptor-related protein 8, apolipoprotein e receptor	NC	1.5
AW183030	FLJ20241	putative NFkB activating protein	NC	1.5
NM_016354.1	SLCO4A1	solute carrier organic anion transporter family, member 4A1	NC	1.5
NM_003074.1	SMARCC1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 1	NC	1.5
NM_005679.1	TAF1C	TATA box binding protein (TBP)-associated factor, RNA polymerase I, C, 110kDa (4)	NC	1.5
L12711.1	TKT	transketolase (Wernicke-Korsakoff syndrome) (1)	NC	1.5
N92498	PDCD4	programmed cell death 4 (neoplastic transformation inhibitor)	1.6	1.4a
BC002785.1	AP3S2	adaptor-related protein complex 3, sigma 2 subunit	1.8	NC
NM_021138.1	TRAF2	TNF receptor-associated factor 2	1.7	NC
NM_016622.1	MRPL35	mitochondrial ribosomal protein L35	1.5	NC
AI192781	POLR2C	polymerase (RNA) II (DNA directed) polypeptide C, 33kDa	1.6	NC
NM_018118.1	MCM3APAS	MCM3 minichromosome maintenance deficient 3 (S.cerevisiae) associated protein antisense	1.8	NC
NM_021625.2	TRPV4	transient receptor potential cation channel, subfamily V, member 4	1.5	NC
