Gene Symbol	Description	Fold change (selected CM vs non-selected EB) in this study	Fold change (selected CM vs non-selected EB) in Cao, et al
CLIC5	chloride intracellular channel 5	126.9	4.6
CNN1	calponin 1, basic, smooth muscle	39.5	4.9
COL4A3	collagen, type IV, alpha 3 (Goodpasture antigen)	14.5	11.8
CPEB2	cytoplasmic polyadenylation element binding protein 2	3.8	6.8
CYCS	cytochrome c, somatic	2.7	1.7
DSCR1	Down syndrome critical region gene 1	5.8	5.4
DTNA	dystrobrevin, alpha	13.8	2.1
DUSP10	dual specificity phosphatase 10	2.6	2.5
EIF2C3	eukaryotic translation initiation factor 2C, 3	2.2	1.5
EPHA2	EPH receptor A2	2.6	5.7
FLJ20152	hypothetical protein FLJ20152	24.5	2.6
GADD45A	growth arrest and DNA-damage-inducible, alpha	2.6	3.3
HBEGF	heparin-binding EGF-like growth factor	15	4
HSPB1	heat shock 27kDa protein 1	3.4	3.6
HSPB8	heat shock 22kDa protein 8	8.1	5.9
ITGAV	integrin, alpha V (vitronectin receptor, alpha polypeptide, antigen CD51)	3	2.6
ITGB1	integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)	4	2
JAK2	Janus kinase 2 (a protein tyrosine kinase)	2.7	1.9
JAZF1	juxtaposed with another zinc finger gene 1	2.5	2.4
KCNMB1	potassium large conductance calcium-activated channel, subfamily M, beta member 1	9.9	3.5
KLHDC8B	kelch domain containing 8B	2.6	2
LMO7	LIM domain 7	19.8	3.7
LOC283537	hypothetical protein LOC283537	4.3	4.4
LRRC2	leucine rich repeat containing 2	4.4	8.6
LRRFIP2	leucine rich repeat (in FLII) interacting protein 2	62.7	2.1
MGC14376	hypothetical protein MGC14376	2.3	2.5
MGC70863	similar to RPL23AP7 protein	2.3	2.4
MGST2	microsomal glutathione S-transferase 2	4.3	1.6
MSRB3	methionine sulfoxide reductase B3	17.3	3.3
MXRA7	matrix-remodelling associated 7	4.5	1.9
NDFIP2	Nedd4 family interacting protein 2	2.5	2.2
NDUFS1	NADH dehydrogenase (ubiquinone) Fe-S protein 1, 75kDa (NADH-coenzyme Q reductase)	3.6	1.4
NES	nestin	3.5	3.1
NKIRAS1	NFKB inhibitor interacting Ras-like 1	2.5	1.9
PALLD	palladin, cytoskeletal associated protein	4.1	2.3
PCGF5	polycomb group ring finger 5	98.7	2.1
PDLIM7	PDZ and LIM domain 7 (enigma)	2.9	2
PEA15	phosphoprotein enriched in astrocytes 15	3.1	4.7
PTPN21	protein tyrosine phosphatase, non-receptor type 21	9.8	2
RAB21	RAB21, member RAS oncogene family	2.4	2.7
REEP3	receptor accessory protein 3	2.3	2
REEP5	receptor accessory protein 5	2.8	2.5
RHOC	ras homolog gene family, member C	2.1	2.9
RIT1	Ras-like without CAAX 1	2.5	2.1
RNF14	ring finger protein 14	3.1	1.9
RRAGD	Ras-related GTP binding D	8.2	3
RUNX1	runt-related transcription factor 1 (acute myeloid leukemia 1; aml1 oncogene)	3.4	4.1
SAA1	serum amyloid A1	33.5	3.6
SELT	selenoprotein T	4.2	1.6
SERTAD1	SERTA domain containing 1	2.7	2.7
SHB	Src homology 2 domain containing adaptor protein B	2.6	2.1
SLC26A9	solute carrier family 26, member 9	35	5.3
SLC6A4	solute carrier family 6 (neurotransmitter transporter, serotonin), member 4	21.9	2
SORT1	sortilin 1	2.4	2.7
STK38L	serine/threonine kinase 38 like	2.9	2
TEX261	testis expressed sequence 261	2.2	1.7
TLL2	tolloid-like 2	2.2	6.9
TMEM25	transmembrane protein 25	4.3	2
TPM1	tropomyosin 1 (alpha)	6.2	4.2
TPM2	tropomyosin 2 (beta)	14.3	2.7
TSPAN2	tetraspanin 2	8.2	4.3
ZDHHC2	zinc finger, DHHC-type containing 2	3.1	2.7
