Gene ID, ranked according to fold change	gene symbol	Fold change after NIPP1 knockdown	Corresponding change after EZH2 knockdown	Expression
6751	SSTR1	2.51	1.49	Upregulated genes
10964	IFI44L	2.5	1.3	Upregulated genes
2250	FGF5	2,49; 1,62	3,12; 2,56	Upregulated genes
83895	KRTAP1-5	2.45	3.04	Upregulated genes
51429	SNX9	2,41; 1,52	1,89; 1,29	Upregulated genes
9881	LBA1	2.4	2.39	Upregulated genes
10561	IFI44	2.39	3.26	Upregulated genes
6925	TCF4	2.37	2.5	Upregulated genes
1075	CTSC	2.37	1.68	Upregulated genes
84340	GFM2	2,35; 1,52	1,68; 1,29	Upregulated genes
10878	CFHR3	2.35	4.63	Upregulated genes
167153	PAPD4	2,34; 2,18	1,70; 1,59	Upregulated genes
317761	C14orf39	2.34	0.95	Upregulated genes
145567	TTC7B	2.34	2.34	Upregulated genes
6772	STAT1	2,34; 1,79	2,46; 3,25	Upregulated genes
11199	ANXA10	2.32	0.65	Upregulated genes
4600	MX2	2,32; 1,61	4,21; 2,8	Upregulated genes
140766	ADAMTS14	46	2.96	Upregulated genes
51155	HN1	2,31; 1,40	2,30; 1,31	Upregulated genes
3885	KRT34	2.31	5.52	Upregulated genes
50486	G0S2	2.31	3.18	Upregulated genes
8473	OGT	2.31	1.6	Upregulated genes
2920	CXCL2	2,29; 1,52	1,85; 1,35	Upregulated genes
24141	C20orf103	2.28	1.16	Upregulated genes
22856	CHSY1	2.27	4.63	Upregulated genes
9473	C1orf38	2,27; 1,56	4,28; 2,22	Upregulated genes
4599	MX1	2.25	3.08	Upregulated genes
55432	YOD1	2,25; 2,18; 1,45	6,69; 5,70; 2,83	Upregulated genes
98	ACYP2	2.25	2.57	Upregulated genes
6715	SRD5A1	2.24	2.61	Upregulated genes
22795	NID2	2.23	2.02	Upregulated genes
51199	NIN	2,23; 1,59	2,09; 1,12	Upregulated genes
157567	ANKRD46	2.22	2.71	Upregulated genes
5055	SERPINB2	2.21	3.38	Upregulated genes
6335	SCN9A	2.2	1.57	Upregulated genes
1390	CREM	2.19	0.84	Upregulated genes
5533	PPP3CC	2.18	2.1	Upregulated genes
83666	PARP9	2.18	1.94	Upregulated genes
3037	HAS2	2.17	1.17	Upregulated genes
56990	CDC42SE2	2,17; 1,53	1,77; 1,18	Upregulated genes
389336	MGC23985	2.17	1.33	Upregulated genes
7325	UBE2E2	2.16	2.14	Upregulated genes
94240	EPSTI1	2.15	3.4	Upregulated genes
10447	FAM3C	2,15; 2,12; 2,00	2,15; 2,16; 2,04	Upregulated genes
54838	C10orf26	2.14	2.36	Upregulated genes
55337	FLJ11286	2,13; 1,55	1,90; 1,44	Upregulated genes
4968	OGG1	2.13	1.4	Upregulated genes
135112	NCOA7	2,13; 1,96	4,14; 4,31	Upregulated genes
55859	BEX1	2.12	1.38	Upregulated genes
8638	OASL	2.12	5.61	Upregulated genes
84978	FRMD5	2.12	1.94	Upregulated genes
55281	TMEM140	2.12	3.25	Upregulated genes
51105	PHF20L1	2.11	2.98	Upregulated genes
54739	XAF1	2.11	4.72	Upregulated genes
57179	KIAA1191	2,10; 1,91	2,37; 2,19	Upregulated genes
8604	SLC25A12	2,10; 1,59	1,25; 1,11	Upregulated genes
346389	7A5	2.09	1.37	Upregulated genes
64747	MFSD1	2.09	2.89	Upregulated genes
64951	MRPS24	2.09	2.11	Upregulated genes
3013	HIST1H2AD	2.09	1.35	Upregulated genes
5327	PLAT	2.08	4.97	Upregulated genes
55068	ENOX1	2.08	1.29	Upregulated genes
3006	HIST1H1C	2,08; 1,82	0,99; 0,92	Upregulated genes
3398	ID2	2,08; 1,70	2,14; 1,85	Upregulated genes
283537	SLC46A3	2.07	1.34	Upregulated genes
4236	MFAP1	2.06	1.96	Upregulated genes
9111	NMI	2,06; 2,05; 2,05; 2,04; 2,04; 2,02; 2,02; 2,01	2,21; 2,21; 2,20; 2,24; 2,26; 2,24; 2,23; 2,23; 2,21; 2,27	Upregulated genes
51752	ARTS-1	2.05	4.14	Upregulated genes
171546	C14orf147	2.04	2.34	Upregulated genes
8334	HIST1H2AC	2.04	0.74	Upregulated genes
8325	FZD8	2.04	1.7	Upregulated genes
164781	WDR69	2.04	1.47	Upregulated genes
51474	LIMA1	2.03	3.1	Upregulated genes
23043	TNIK	2.03	1.51	Upregulated genes
64108	RTP4	2.03	4.33	Upregulated genes
4254	KITLG	2,03; 1,72	2,03; 1,48	Upregulated genes
23562	CLDN14	2.02	4.05	Upregulated genes
283232	TMEM80	2,02; 1,49	1,36; 1,19	Upregulated genes
23621	BACE1	2.02	2.22	Upregulated genes
83544	DNAL1	2.01	1.8	Upregulated genes
83892	KCTD10	2,01; 1,53	2,84; 1,65	Upregulated genes
85455	DISP2	2	1.21	Upregulated genes
340481	ZDHHC21	2	2.2	Upregulated genes
84248	FYTTD1	2	3.79	Upregulated genes
5770	PTPN1	2	2.56	Upregulated genes
1490	CTGF	2	1.56	Upregulated genes
116071	BATF2	2	3.55	Upregulated genes
84812	PLCD4	1.98	1.1	Upregulated genes
2919	CXCL1	1.98	1.59	Upregulated genes
84132	USP42	1,98; 1,70	2,63; 2,35	Upregulated genes
10492	SYNCRIP	1.98	0.93	Upregulated genes
23306	KIAA0286	1.98	1.66	Upregulated genes
3428	IFI16	1,97; 1,94	3,27; 3,09	Upregulated genes
64145	ZFYVE20	1.97	1.95	Upregulated genes
55704	KIAA1212	1,97; 1,87; 1,70; 1,68; 1,67; 1,66; 1,64; 1,64; 1,63; 1,62; 1,60; 1,45	2,16; 1,25; 1,29; 1,31; 1,27; 1,28; 1,27; 1,25; 1,27; 1,27; 1,27; 1,24; 1,27; 1,10	Upregulated genes
80209	C13orf23	1,97; 1,38	1,21; 0,78	Upregulated genes
27430	MAT2B	1,96; 1,85	1,80; 1,71	Upregulated genes
2921	CXCL3	1,96; 1,44	1,35; 1,25	Upregulated genes
3556	IL1RAP	1,96; 1,87	0,59; 0,63	Upregulated genes
8650	NUMB	1.95	1.33	Upregulated genes
79048	SECISBP2	1,95; 1,91	1,54; 1,47	Upregulated genes
121536	AEBP2	1.95	1.39	Upregulated genes
4147	MATN2	1.94	2.21	Upregulated genes
1958	EGR1	1.94	2.41	Upregulated genes
3620	INDO	1.94	7.39	Upregulated genes
56937	TMEPAI	1.93	1.22	Upregulated genes
123722	FSD2	1.93	0.91	Upregulated genes
4502	MT2A	1,93; 1,83; 1,82	2,45; 2,62; 2,19	Upregulated genes
4322	MMP13	1.93	5.33	Upregulated genes
9871	SEC24D	1.93	1.81	Upregulated genes
9374	PPT2	1.92	2.75	Upregulated genes
6990	DYNLT3	1,92; 1,76; 1,72	0,81; 0,83; 0,85	Upregulated genes
10979	PLEKHC1	1.92	1.88	Upregulated genes
11103	KRR1	1.91	3.18	Upregulated genes
3576	IL8	1.91	2.2	Upregulated genes
8226	HDHD1A	1.91	2.01	Upregulated genes
23780	APOL2	1,91; 1,79	2,42; 2,11	Upregulated genes
284615	ANKRD34	1.9	1.18	Upregulated genes
255743	NPNT	1.9	1.3	Upregulated genes
1266	CNN3	1,90; 1,75; 1,61	1,21; 1,09; 1,14	Upregulated genes
22894	DIS3	1.89	1.49	Upregulated genes
2627	GATA6	1.89	2.6	Upregulated genes
1959	EGR2	1.88	1.57	Upregulated genes
54733	SLC35F2	1,88; 1,88	1,19; 1,24	Upregulated genes
148418	SAMD13	1.88	0.95	Upregulated genes
87178	PNPT1	1.88	2	Upregulated genes
5371	PML	1.88	2.96	Upregulated genes
8743	TNFSF10	1.87	4.4	Upregulated genes
58505	DC2	1.87	2.41	Upregulated genes
7052	TGM2	1.87	3.15	Upregulated genes
83468	GLT8D2	1.87	0.87	Upregulated genes
2960	GTF2E1	1.87	1.37	Upregulated genes
55727	BTBD7	1,86; 1,57	1,20; 1,14	Upregulated genes
25956	SEC31B	1.86	0.95	Upregulated genes
5743	PTGS2	1,86; 1,70	2,32; 2,08	Upregulated genes
3669	ISG20	1.86	2.87	Upregulated genes
3600	IL15	1.86	1.42	Upregulated genes
55967	NDUFA12	1.86	1.67	Upregulated genes
54538	ROBO4	1.86	2.64	Upregulated genes
202459	LOC202459	1.86	2.52	Upregulated genes
51149	LOC51149	1.86	1.16	Upregulated genes
11262	SP140	1.85	3.02	Upregulated genes
122509	FAM14B	1,85; 1,45	1,43; 1,25	Upregulated genes
50999	TMED5	1.84	2.27	Upregulated genes
10390	CEPT1	1.84	1.7	Upregulated genes
84188	MLSTD2	1,84; 1,61; 1,59	1,01; 1,02; 1,06	Upregulated genes
10202	DHRS2	1.84	1.6	Upregulated genes
57491	AHRR	1.83	1.7	Upregulated genes
9729	KIAA0408	1.83	1.25	Upregulated genes
7518	XRCC4	1.83	2.25	Upregulated genes
41	ACCN2	1.83	1.48	Upregulated genes
26013	L3MBTL	1,83; 1,52	0,74; 0,64	Upregulated genes
55753	OGDHL	1.83	1.02	Upregulated genes
9617	MTRF1	1.83	0.99	Upregulated genes
493856	ZCD2	1.83	1.99	Upregulated genes
90355	C5orf30	1.83	1.24	Upregulated genes
10457	GPNMB	1.82	1.07	Upregulated genes
84541	KBTBD8	1.82	2.42	Upregulated genes
54495	TXNDC10	1.82	0.95	Upregulated genes
8527	DGKD	1.82	1.72	Upregulated genes
389741	RP11-262H14.4	1,82; 1,60; 1,53	0,83; 0,85; 0,91	Upregulated genes
54981	C9orf95	1.81	1.58	Upregulated genes
64761	PARP12	1.81	2.95	Upregulated genes
92106	OXNAD1	1.81	1.31	Upregulated genes
154467	C6orf129	1.8	1.97	Upregulated genes
8464	SUPT3H	1.8	0.94	Upregulated genes
57579	KIAA1411	1,80; 1,55	1,52; 1,27	Upregulated genes
4594	MUT	1.8	1.3	Upregulated genes
64432	MRPS25	1.8	1.76	Upregulated genes
54464	XRN1	1,79; 1,65; 1,54	2,34; 1,61; 1,60	Upregulated genes
5321	PLA2G4A	1,79; 1,73; 1,72; 1,72; 1,71; 1,68; 1,69; 1,66; 1,64; 1,64	1,97; 1,90; 1,93; 1,96; 1,87; 1,91; 1,94; 1,92; 1,84; 1,96	Upregulated genes
10884	MRPS30	1.78	1.43	Upregulated genes
3376	IARS	1.78	1.55	Upregulated genes
25961	NUDT13	1,78; 1,61	0,87; 0,92	Upregulated genes
9636	ISG15	1,78; 1,78	1,61; 1,82	Upregulated genes
5359	PLSCR1	1.78	2.47	Upregulated genes
59335	PRDM12	1.78	0.92	Upregulated genes
56902	PNO1	1,78; 1,52	1,49; 1,36	Upregulated genes
81831	NETO2	1,77; 1,44	4,14; 2,02	Upregulated genes
221302	C6orf113	1.77	1.4	Upregulated genes
56260	C8orf44	1.77	1.11	Upregulated genes
3516	RBPJ	1,77; 1,66; 1,54	1,57; 2,92; 2,52	Upregulated genes
54664	TMEM106B	1,77; 1,56	1,92; 1,78	Upregulated genes
2258	FGF13	1.76	0.91	Upregulated genes
130872	AHSA2	1.76	1.21	Upregulated genes
23568	ARL2BP	1.76	2.11	Upregulated genes
51645	PPIL1	1.76	1.37	Upregulated genes
1843	DUSP1	1.76	1.59	Upregulated genes
147657	ZNF480	1.76	1.03	Upregulated genes
5163	PDK1	1,76; 1,52	2,79; 1,81	Upregulated genes
55076	TMEM45A	1.75	1.88	Upregulated genes
54583	EGLN1	1.75	1.75	Upregulated genes
83637	ZMIZ2	1.75	2.58	Upregulated genes
79925	FLJ23577	1.75	1.56	Upregulated genes
116843	C6orf192	1.75	1.82	Upregulated genes
5627	PROS1	1,75; 1,56	1,10; 0,95	Upregulated genes
24138	IFIT5	1,74; 1,62	2,23; 2,17	Upregulated genes
2634	GBP2	1.74	2.75	Upregulated genes
58985	IL22RA1	1.74	1.94	Upregulated genes
93349	LOC93349	1,74; 1,71	2,52; 2,36	Upregulated genes
26577	PCOLCE2	1.74	1.46	Upregulated genes
25907	TMEM158	1.74	0.91	Upregulated genes
3764	KCNJ8	1.74	1.33	Upregulated genes
2803	GOLGA4	1,74; 1,64	1,34; 1,23	Upregulated genes
152926	PPM1K	1.74	2.59	Upregulated genes
26750	RPS6KC1	1.73	2.27	Upregulated genes
10874	NMU	1.73	0.83	Upregulated genes
51060	TXNDC12	1.73	1.36	Upregulated genes
130574	LYPD6	1.73	0.82	Upregulated genes
7257	TSNAX	1,73; 1,57	1,05; 1,02	Upregulated genes
51296	SLC15A3	1.72	5.94	Upregulated genes
116984	CENTD1	1.72	1.58	Upregulated genes
5033	P4HA1	1.71	2.07	Upregulated genes
92999	ZBTB47	1.71	1.87	Upregulated genes
84856	MGC16291	1,71; 1,41	1,61; 1,23	Upregulated genes
26515	FXC1	1.71	1.37	Upregulated genes
9480	ONECUT2	1.71	1.23	Upregulated genes
6773	STAT2	1.71	2.62	Upregulated genes
117854	TRIM6	1,71; 1,63	2,84; 2,88	Upregulated genes
1789	DNMT3B	1.71	2.12	Upregulated genes
9563	H6PD	1.71	1.31	Upregulated genes
834	CASP1	1.71	3.49	Upregulated genes
84612	PARD6B	1.7	1.41	Upregulated genes
10060	ABCC9	1.7	1.31	Upregulated genes
837	CASP4	1,70; 1,67	1,35; 1,28	Upregulated genes
9910	RABGAP1L	1,70; 1,54	1,23; 1,31	Upregulated genes
55435	C4orf16	1,70; 1,55	1,41; 1,59	Upregulated genes
255324	EPGN	1.7	3.36	Upregulated genes
29902	C12orf24	1.7	0.99	Upregulated genes
56034	PDGFC	1.7	1.48	Upregulated genes
9245	GCNT3	1.7	2.05	Upregulated genes
2274	FHL2	1.7	1.15	Upregulated genes
112849	C14orf149	1.7	2.15	Upregulated genes
79738	BBS10	1,70; 1,55	1,33; 1,33	Upregulated genes
115362	GBP5	1.7	5.07	Upregulated genes
51191	HERC5	1.7	4.11	Upregulated genes
6372	CXCL6	1.69	1	Upregulated genes
2631	GBAS	1.69	1.47	Upregulated genes
377677	CA13	1.69	2.13	Upregulated genes
2947	GSTM3	1.69	0.92	Upregulated genes
6450	SH3BGR	1.69	1.06	Upregulated genes
91351	FLJ31033	1.69	3.69	Upregulated genes
84650	EBPL	1.69	1.28	Upregulated genes
4316	MMP7	1.69	2.47	Upregulated genes
1965	EIF2S1	1,69; 1,67	1,53; 1,60	Upregulated genes
329	BIRC2	1.69	2.12	Upregulated genes
97	ACYP1	1.69	0.69	Upregulated genes
5999	RGS4	1.69	2.58	Upregulated genes
94134	ARHGAP12	1.68	1.09	Upregulated genes
5782	PTPN12	1.68	1.22	Upregulated genes
55070	DET1	1.68	1.08	Upregulated genes
2202	EFEMP1	1.68	1.75	Upregulated genes
54972	TMEM132A	1.68	2.91	Upregulated genes
5420	PODXL	1.67	2.79	Upregulated genes
200095	C1orf67	1,67; 1,47	1,07; 0,93	Upregulated genes
400214	LOC400214	1.67	0.72	Upregulated genes
6769	STAC	1.67	1.39	Upregulated genes
84274	COQ5	1.67	0.87	Upregulated genes
6584	SLC22A5	1.67	1.89	Upregulated genes
142679	DUSP19	1.67	0.94	Upregulated genes
386617	KCTD8	1.67	1.8	Upregulated genes
192670	EIF2C4	1.67	0.98	Upregulated genes
162394	SLFN5	1.67	1.75	Upregulated genes
29079	MED4	1.67	1.07	Upregulated genes
139886	RP11-93B10.1	1.66	1.71	Upregulated genes
1288	COL4A6	1.66	0.88	Upregulated genes
10285	SMNDC1	1.66	1.19	Upregulated genes
4495	MT1G	1,66; 1,47	3,06; 2,65	Upregulated genes
55759	WDR12	1.66	1.23	Upregulated genes
25852	ARMC8	1,66; 1,53	1,79;1,02	Upregulated genes
4493	MT1E	1,66; 1,62	3,00; 2,96	Upregulated genes
28986	MAGEH1	1,66; 1,51	0,80; 1,00	Upregulated genes
83943	IMMP2L	1,65; 1,45	0,96; 1,05	Upregulated genes
23012	STK38L	1.65	1.06	Upregulated genes
838	CASP5	1.65	1.36	Upregulated genes
8073	PTP4A2	1,65; 159	2,27; 2,40	Upregulated genes
3164	NR4A1	1.65	1	Upregulated genes
128153	SPATA17	1.65	0.92	Upregulated genes
6507	SLC1A3	1.65	1.77	Upregulated genes
9321	TRIP11	1.65	1.24	Upregulated genes
4674	NAP1L2	1.65	0.99	Upregulated genes
6567	SLC16A2	1.65	3.13	Upregulated genes
23314	SATB2	1.64	1.02	Upregulated genes
9315	C5orf13	1,64; 1,46	1,67; 1,29	Upregulated genes
388677	NOTCH2NL	1.64	0.97	Upregulated genes
282809	WDR51B	1.64	1.55	Upregulated genes
56829	ZC3HAV1	1.64	3.12	Upregulated genes
11099	PTPN21	1.64	1.39	Upregulated genes
2230	FDX1	1.64	1.47	Upregulated genes
170685	NUDT10	1.64	0.78	Upregulated genes
4501	MT1X	1.64	2.98	Upregulated genes
6672	SP100	1.64	2.7	Upregulated genes
23034	SAMD4A	1.64	1.23	Upregulated genes
2246	FGF1	1.64	1.94	Upregulated genes
22936	ELL2	1.63	1.34	Upregulated genes
10402	ST3GAL6	1,63; 1,59; 1,59; 1,58; 1,58; 1,57; 1,56; 1,55; 1,55; 1,52	1,47; 1,52; 1,48; 1,55; 1,54; 1,53; 1,50; 1,51; 1,55; 1,42	Upregulated genes
9532	BAG2	1.63	1.65	Upregulated genes
134637	DEADC1	1.63	1.05	Upregulated genes
84750	FUT10	1.63	0.71	Upregulated genes
2669	GEM	1.63	1.63	Upregulated genes
9334	B4GALT5	1.63	2.01	Upregulated genes
317772	HIST2H2AB	1.63	1.19	Upregulated genes
162972	ZNF550	1.63	1.3	Upregulated genes
4490	MT1B	1.63	3	Upregulated genes
1316	KLF6	1.63	2.47	Upregulated genes
57577	KIAA1407	1.63	0.72	Upregulated genes
85363	TRIM5	1.63	2.51	Upregulated genes
7456	WIPF1	1.63	1.5	Upregulated genes
26275	HIBCH	1,63; 1,54	0,72; 0,75	Upregulated genes
283417	DPY19L2	1.62	0.67	Upregulated genes
144453	BEST3	1.62	1.35	Upregulated genes
65080	MRPL44	1.62	1.33	Upregulated genes
516	ATP5G1	1.62	1.11	Upregulated genes
113251	LARP4	1.62	0.99	Upregulated genes
29080	CCDC59	1,62; 1,53	1,38; 1,37	Upregulated genes
133022	TRAM1L1	1.62	0.92	Upregulated genes
6041	RNASEL	1.62	1.17	Upregulated genes
57574	MARCH4	1.62	1.77	Upregulated genes
57116	ZNF695	1.62	0.81	Upregulated genes
400242	FLJ45244	1.62	0.92	Upregulated genes
84869	CBR4	1.61	0.82	Upregulated genes
220134	C18orf24	1.61	1.16	Upregulated genes
8349	HIST2H2BE	1,61; 1,54	1,38; 1,21	Upregulated genes
56681	SAR1A	1.61	1.74	Upregulated genes
800	CALD1	1,61; 1,57	0,97; 0,88	Upregulated genes
91298	C12orf29	1.61	1.49	Upregulated genes
55122	C6orf166	1.61	1.59	Upregulated genes
23636	NUP62	1.61	1.56	Upregulated genes
5281	PIGF	1.61	1.28	Upregulated genes
2119	ETV5	1.61	1.29	Upregulated genes
151613	TTC14	1,61; 1,59	1,22; 1,07	Upregulated genes
57169	ZNFX1	1.6	2.69	Upregulated genes
54145	H2BFS	1.6	1.21	Upregulated genes
8519	IFITM1	1.6	2.17	Upregulated genes
150383	LOC150383	1.6	0.92	Upregulated genes
7128	TNFAIP3	1.6	2.64	Upregulated genes
57325	CSRP2BP	1.6	1.21	Upregulated genes
10558	SPTLC1	1.6	1.63	Upregulated genes
2537	IFI6	1.6	1.66	Upregulated genes
23112	TNRC6B	1.6	1.06	Upregulated genes
80235	PIGZ	1.6	1.62	Upregulated genes
27303	RBMS3	1.6	3.56	Upregulated genes
8876	VNN1	1.6	1.31	Upregulated genes
284161	GDPD1	1.6	0.93	Upregulated genes
25945	PVRL3	1.6	1.54	Upregulated genes
10777	ARPP-21	1.6	0.98	Upregulated genes
10314	LANCL1	1.6	1.41	Upregulated genes
29097	CNIH4	1.6	1.35	Upregulated genes
56674	TMEM9B	1.59	2.2	Upregulated genes
25780	RASGRP3	1.59	3.14	Upregulated genes
85287	KRTAP4-7	1.59	1.54	Upregulated genes
5092	PCBD1	1.59	1.38	Upregulated genes
23760	PITPNB	1,59; 1,57	2,16; 1,85	Upregulated genes
57602	USP36	1.59	0.63	Upregulated genes
26872	STEAP1	1,59; 1,55; 1,49	1,88; 1,82; 1,72	Upregulated genes
3914	LAMB3	1.59	3.36	Upregulated genes
120863	DEPDC4	1.59	0.75	Upregulated genes
81847	RNF146	1.59	1.28	Upregulated genes
1437	CSF2	1.59	2.23	Upregulated genes
9146	HGS	1.59	1.36	Upregulated genes
28998	MRPL13	1.59	1.26	Upregulated genes
79802	KIAA1822L	1.59	1.07	Upregulated genes
80195	C10orf57	1.59	1.59	Upregulated genes
8674	VAMP4	1.59	1.62	Upregulated genes
23532	PRAME	1.59	1.04	Upregulated genes
2764	GMFB	1.59	0.94	Upregulated genes
4232	MEST	1.59	1.61	Upregulated genes
79699	ZYG11B	1,59; 1,55; 1,48	1,47; 1,43; 1,53	Upregulated genes
134353	LSM11	1.58	0.82	Upregulated genes
55818	JMJD1A	1,58; 1,55; 1,55	1,60; 1,70; 1,76	Upregulated genes
144577	FLJ32549	1.58	0.67	Upregulated genes
4938	OAS1	1.58	2.36	Upregulated genes
92815	HIST3H2A	1.58	1.08	Upregulated genes
5274	SERPINI1	1.58	1.64	Upregulated genes
23424	TDRD7	1.58	2.28	Upregulated genes
27236	ARFIP1	1,58; 1,46	1,36; 1,31	Upregulated genes
132321	C4orf33	1.58	1.25	Upregulated genes
91661	ZNF765	1.57	1.17	Upregulated genes
51141	INSIG2	1,57; 1,56	1,99; 1,87	Upregulated genes
10184	LHFPL2	1.57	1.21	Upregulated genes
166785	MMAA	1.57	1.58	Upregulated genes
8974	P4HA2	1,57; 1,39	1,91; 1,65	Upregulated genes
80184	CEP290	1.57	1.13	Upregulated genes
6019	RLN2	1.57	0.75	Upregulated genes
597	BCL2A1	1.57	0.91	Upregulated genes
64750	SMURF2	1.57	1.35	Upregulated genes
22927	HABP4	1.56	1.12	Upregulated genes
84314	TMEM107	1.56	0.79	Upregulated genes
7597	ZBTB25	1.56	0.99	Upregulated genes
6185	RPN2	1.56	1.58	Upregulated genes
83604	TMEM47	1.56	1.61	Upregulated genes
260294	NSUN5C	1.56	0.94	Upregulated genes
10565	ARFGEF1	1.56	1.6	Upregulated genes
55636	CHD7	1,56; 1,54; 1,06	1,13; 1,43; 1,03	Upregulated genes
1478	CSTF2	1.56	1.09	Upregulated genes
10544	PROCR	1.56	1.53	Upregulated genes
26010	LOC26010	1.55	1.92	Upregulated genes
54625	PARP14	1,55; 1,46	2,08; 1,75	Upregulated genes
3017	HIST1H2BD	1.55	1.23	Upregulated genes
10196	PRMT3	1.55	0.86	Upregulated genes
144406	WDR66	1.55	1.53	Upregulated genes
6890	TAP1	1.55	3.77	Upregulated genes
9531	BAG3	1,55; 1,41	0,33; 0,38	Upregulated genes
159	ADSS	1,55; 1,54; 1,49	1,34; 1,36; 1,50	Upregulated genes
64225	ARL6IP2	1.55	0.72	Upregulated genes
7103	TSPAN8	1.55	2.39	Upregulated genes
154791	HSPC268	1.55	0.58	Upregulated genes
64167	LRAP	1.55	1.93	Upregulated genes
4939	OAS2	1.55	1.82	Upregulated genes
26040	SETBP1	1.55	1.79	Upregulated genes
29094	HSPC159	1.54	1.88	Upregulated genes
905	CCNT2	1.54	1.33	Upregulated genes
85236	HIST1H2BK	1.54	1.36	Upregulated genes
72	ACTG2	1.54	1.26	Upregulated genes
55153	SDAD1	1.54	1.43	Upregulated genes
5352	PLOD2	1.54	3.33	Upregulated genes
84162	KIAA1109	1.54	0.84	Upregulated genes
23204	ARL6IP1	1.54	1.6	Upregulated genes
3201	HOXA4	1.54	1.17	Upregulated genes
143098	MPP7	1.54	0.93	Upregulated genes
9648	GCC2	1,54; 1,50	1,00; 0,98	Upregulated genes
64343	AZI2	1.54	1.81	Upregulated genes
83941	TM2D1	1.54	1.39	Upregulated genes
5337	PLD1	1.54	0.9	Upregulated genes
55300	PI4K2B	1.54	0.93	Upregulated genes
79838	TMC5	1.54	1.42	Upregulated genes
8341	HIST1H2BN	1.54	1.18	Upregulated genes
201595	STT3B	1.54	1.66	Upregulated genes
84864	MINA	1,53; 1,36	1,39; 1,11	Upregulated genes
9519	TBPL1	1.53	1.26	Upregulated genes
340371	NRBP2	1.53	1.44	Upregulated genes
157680	VPS13B	1.53	1.3	Upregulated genes
92305	TMEM129	1.53	1.55	Upregulated genes
51256	TBC1D7	1.53	1.48	Upregulated genes
84240	ZCCHC9	1.53	0.68	Upregulated genes
285315	C3orf33	1.53	0.97	Upregulated genes
8340	HIST1H2BL	1.53	1.22	Upregulated genes
5194	PEX13	1.53	1.24	Upregulated genes
9859	CEP170	1.53	1.33	Upregulated genes
55255	WDR41	1.53	1.53	Upregulated genes
8556	CDC14A	1.53	1.24	Upregulated genes
8269	TMEM187	1.53	0.91	Upregulated genes
1677	DFFB	1,53; 1,50	0,90; 0,84	Upregulated genes
8345	HIST1H2BH	1.53	1.2	Upregulated genes
122961	ISCA2	1.53	0.69	Upregulated genes
1004	CDH6	1.52	1.16	Upregulated genes
55233	MOBK1B	1.52	1.17	Upregulated genes
10962	MLLT11	1.52	1.4	Upregulated genes
128338	TMEM77	1,52; 1,51	0,69; 0,66	Upregulated genes
138199	C9orf41	1,52; 1,46	0,91; 1,17	Upregulated genes
10100	TSPAN2	1.52	1.4	Upregulated genes
