Gene_Name	Gene_Symbol	Primary_Gene_ID	ProbeID	FC (dataset 1)	FC (dataset 2)	Molecular Function|Biological Process
nitric oxide synthase trafficker	NOSTRIN	115677	120791	1.98	3.78	unclassified
T-cell leukemia translocation altered gene	TCTA	6988	120662	1.66	1.33	unclassified
chromosome 21 open reading frame 6	C21orf6	10069	214481	-1.6	-2.00	unclassified
chromosome 2 open reading frame 33	C2orf33	56947	163168	1.56	1.21	unclassified
solute carrier family 30 (zinc transporter), member 9	SLC30A9	10463	123127	-2	-2.50	unclassified
signal transducer and activator of transcription 3 interacting protein 1	STATIP1	55250	169477	1.84	1.53	unclassified
zinc finger protein 364	ZNF364	27246	186169	1.17	1.91	unclassified
ring finger protein 190	RNF190	162333	197739	1.44	1.42	unclassified
	C3F	10162	204279	-1.6	-1.60	unclassified
	RP3-462O23.2	90529	209110	1.94	3.19	unclassified
	KIAA1706	80820	201203	1.39	2.97	unclassified
	LA16c-360B4.1	64788	161532	2.21	2.52	unclassified
		hCG1811496.1	154676	3.35	6.53	unclassified
		hCG2007929	228667	2.5	2.41	unclassified
		hCG1643350.2	102706	1.67	2.16	unclassified
		hCG1738432.2	104959	2.28	2.00	unclassified
		hCG2006634.1	234451	1.48	1.76	unclassified
		hCG2041466	134996	-1.6	-1.60	unclassified
