Unigene	Gene name	Description	Map	Av. tumor/av. Mucosa	P
Hs.446260	PSMA6	Proteasome (prosome, macropain) subunit, a type, 6	14q13	0.719	0.0006
Hs.89545	PSMB4	Proteasome (prosome, macropain) subunit, h type, 4	1q21	0.748	0.0004
Hs.211594	PSMC4	Proteasome (prosome, macropain) 26S subunit, ATPase, 4, transcript variant 2	19q13.11-q13.13	0.677	5.30E-06
Hs.369125	PSMD14	Proteasome (prosome, macropain) 26S subunit, non-ATPase, 14	2q24.2	0.696	2.00E-05
Hs.78466	PSMD8	Proteasome (prosome, macropain) 26S subunit, non-ATPase, 8	19q13.2	0.821	0.0003
Hs.75348	PSME1	Proteasome (prosome, macropain) activator subunit 1 (PA28 a), transcript variant 1	14q11.2	0.732	0.0002
Hs.434081	PSME2	Proteasome (prosome, macropain) activator subunit 2 (PA28 h)	14q11.2	0.582	1.00E-07
Hs.157351	PTD004	GTP-binding protein PTD004, transcript variant 1	2q31.1	0.755	0.0006
Hs.279529	PX19	Px19-like protein	5q35.3	0.735	0.0007
Hs.77510	RFWD3	Ring finger and WD repeat domain 3	16q22.3	0.696	0.0008
Hs.269004	SLC36A1	Solute carrier family 36 (proton/amino acid symporter), member 1	5q33.1	1.5	0.0009
Hs.515472	SNRPD2	Small nuclear ribonucleoprotein D2 polypeptide 16.5 kDa, transcript variant 1	19q13.2	0.68	0.0006
Hs.490394	SSBP1	Single-stranded DNA binding protein 1	7q34	0.723	0.0001
Hs.194385	STAP2	Signal-transducing adaptor protein-2	19p13.3	0.591	0.0002
Hs.172772	TCEB2	Transcription elongation factor B (SIII), polypeptide 2 (18 kDa, elongin B), transcript variant 1	16p12.3	0.704	0.0002
Hs.371282	TCF3	Transcription factor 3 (E2A immunoglobulin enhancer binding factors E12/E47) (TCF3), mRNA	19p13.3	0.754	0.0007
Hs.371282	TCF3	Transcription factor 3 (E2A immunoglobulin enhancer binding factors E12/E47)	19p13.3	0.733	0.0007
Hs.518123	TFG	TRK-fused gene, transcript variant 1	3q12.2	0.739	0.0001
Hs.197320	TLE1	Transducin-like enhancer of split 1 [E(sp1) homologue, Drosophila]	9q21.32	0.762	0.0007
Hs.146070	TPM3	Tropomyosin 3	1q21.2	0.746	0.0009
Hs.44532	UBD	Ubiquitin D	6p21.3	0.325	1.30E-05
Hs.119251	UQCRC1	Ubiquinol-cytochrome c reductase core protein I	3p21.3	0.71	0.0004
Hs.77578	USP9X	Ubiquitin-specific protease 9, X-linked ( fat facets-like, Drosophila), transcript variant 2	Xp11.4	0.695	0.0003
Hs.520974	YWHAG	Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, g polypeptide	7q11.23	0.734	0.0004
Hs.292575	ZNF37A	Zinc finger protein 37a (KOX 21)	10p11.2	0.702	0.0008
NA	NA	Human DNA sequence from PAC 30P20 on chromosome Xq21.1-Xq21.3. Contains set pseudogene, ESTs and STS	NA	0.697	0.0001
NA	NA	Human DNA sequence from clone 38C16 on chromosome 6q22.33-24.1. Contains GAPD (glyceraldehyde 3-phos	NA	0.696	0.0003
NA	NA	Human DNA sequence from clone 522P13 on chromosome 6p21.31-22.3. Contains a 60S ribosomal protein L2	NA	0.724	0.0004
Hs.532392	NA	CDNA FLJ13112 fis, clone NT2RP3002587	1	1.346	0.0006
NA	NA	Human DNA sequence from PAC 124O9 on chromosome 6q21. Contains DNAJ2 (HDJ1) like pseudogene, ESTs, S	NA	0.731	0.0006
NA	NA	Human DNA sequence from clone RP1-9E21 on chromosome 1q24-25. Contains a pseudogene similar to calpon	NA	0.764	0.0008
