Gene description	Functional category	Accession no.	Hybridization intensity (SE) DMSO	Taxol	Taxol + U0126	U0126	Cluster
Clone 24523	Unknown	AF052178	2,115 (213)	2,023 (49)	1,087 (9)	885 (22)	Cluster 1
KIAA1201	Unknown	AA434319	3,116 (416)	3,486 (418)	1,414 (28)	1,283 (330)	Cluster 1
uPA; plasminogen activator	Cell adhesion	X02419	14,358 (1,378)	17,476 (1,654)	3,938 (707)	2,135 (192)	Cluster 2
GOS2: lymphocyte G0-G1 switch gene	Cell cycle control	M69199	4,701 (602)	7,048 (583)	567 (19)	264 (68)	Cluster 2
TMP: epithelial membrane protein 1	Membrane glycoprotein	U43916	2,974 (171)	4,239 (1,034)	1,205 (63)	779 (106)	Cluster 2
GFAT2: glutamine:fructose-6-phosphate amidotransferase	Metabolism	AB016789	5,703 (537)	6,841 (511)	2,218 (707)	874 (33)	Cluster 2
DUSP6/MKP3:a dual-specificity phosphatase	Signal transduction	U15932	2,344 (307)	2,939 (499)	392 (20)	459 (52)	Cluster 2
PHLDA1/TDAG51: plekstrin homology	Signal transduction	Z50194	2,605 (621)	3,397 (263)	300 (10)	?391 (100)	Cluster 2
EPH-A2/ECK: protein tyrosine kinase	Signal transduction	M59371	2,325 (29)	2,774 (262)	38 (98)	20 (114)	Cluster 2
rac2: rho family GTP binding protein	Signal transduction	M64595	1,244 (26)	1,634 (611)	147 (471)	345 (404)	Cluster 2
SHB: src homology adaptor protein	Signal transduction	X75342	1,987 (186)	2,379 (205)	329 (345)	68 (69)	Cluster 2
HPH2/EDR2: chromatin complex protein	Transcriptional regulation	U89278	5,228 (880)	5,541 (178)	939 (310)	822 (83)	Cluster 2
DKFZP586A1024	Unknown	AL021977	2,387 (224)	2,870 (41)	357 (188)	107 (55)	Cluster 2
PLAUR: plasminogen activator receptor	Cell adhesion	U09937	10,984 (1,336)	12,523 (454)	3,174 (687)	3,608 (341)	Cluster 3
supervillin: actin-binding protein	Cytoskeletal protein	AF051850	1,141 (34)	1,009 (24)	379 (27)	404 (55)	Cluster 3
IEX1/IER3	Immediate-early gene	S81914	11,569 (1,684)	10,912 (201)	4,125 (1,303)	2,108 (279)	Cluster 3
TMP: epithelial membrane protein 1	Membrane glycoprotein	Y07909	3,280 (602)	3,185 (664)	702 (44)	486 (25)	Cluster 3
DUSP4/MKP2: dual-specificity phosphatase	Signal transduction	U48807	1,748 (368)	1,202 (200)	233 (123)	286 (79)	Cluster 3
etv5: ets family oncogene	Transcriptional regulation	X96381	2,577 (93)	2,144 (263)	383 (31)	257 (52)	Cluster 3
HMG2a: high-mobility group protein	Transcriptional regulation	Y10043	1,110 (120)	798 (193)	396 (162)	256 (33)	Cluster 3
TSC-22: TGF? stimulated	Transcriptional regulation	AJ222700	9,807 (1,072)	10,405 (1,873)	3,194 (296)	3,028 (269)	Cluster 3
TGFBR2:a type II TGF? receptor	Transmembrane receptor	D50683	4,614 (774)	4,519 (694)	1,192 (163)	1,215 (129)	Cluster 3
p40BBP	Unknown	AL080235	7,690 (966)	8,155 (2,193)	3,024 (481)	2,092 (63)	Cluster 3
Cyclin G2: G1-S-specific cyclin	Cell cycle control	U47414	586 (49)	611 (110)	1,554 (206)	1,351 (91)	Cluster 4
Tubulin, ?1	Cytoskeletal protein	X06956	1,571 (903)	1,832 (183)	3,353 (903)	4,376 (946)	Cluster 4
CYP1B1:acytochrome P450 component	Metabolism	U03688	3,395 (679)	2,900 (574)	5,836 (1,140)	6,612 (858)	Cluster 4
Apolipoprotein M	Metabolism	AA846749	1,083 (228)	561 (185)	1,692 (387)	1,095 (311)	Cluster 4
Kallikrein3: prostate-specific antigen	Protein procession	X07730	900 (177)	503 (52)	1,415 (139)	1,469 (403)	Cluster 4
RDC1: G-protein-coupled receptor	Signal transduction	U67784	2,470 (176)	1,772 (320)	4,083 (1,013)	5,284 (269)	Cluster 4
GADD45b: MTK1 kinase activator	Signal transduction	AF078077	1,499 (180)	1,253 (11)	2,643 (36)	2,444 (98)	Cluster 4
RSK 1: serine/threonine kinase	Signal transduction	L07597	643 (205)	197 (31)	1,031 (191)	522 (190)	Cluster 4
junD:a AP1-family protooncogene	Transcriptional regulation	X56681	10,438 (443)	10,227 (914)	23,123 (992)	23,794 (108)	Cluster 4
GADD153	Transcriptional regulation	HG2724-HT2820	698 (12)	646 (138)	1,302 (281)	999 (295)	Cluster 4
CACNB3: voltage-gated calcium channel	Transporter	U07139	1,777 (266)	1,022 (22)	2,586 (2)	1,917 (13)	Cluster 4
SCN1B: voltage-gated sodium channel	Transporter	L10338	1,276 (172)	664 (105)	1,596 (41)	996 (33)	Cluster 4
TOM1	Unknown	Z82244	2,653 (606)	1,186 (437)	2,490 (606)	3,801 (686)	Cluster 4
KIAA0879	Unknown	AB020686	414 (122)	386 (56)	1,189 (72)	871 (295)	Cluster 4
KIAA0542	Unknown	AB011114	1,004 (294)	587 (45)	1,318 (3)	1,146 (311)	Cluster 4
KIAA0645	Unknown	AB014545	423 (73)	115 (46)	1,071 (133)	812 (621)	Cluster 4
P311	Unknown	U30521	2,692 (487)	2,650 (147)	5,841 (457)	5,960 (873)	Cluster 4
Flavin-containing monooxygenase 3	Metabolism	AL021026	?5 (83)	1,085 (194)	783 (279)	313 (548)	Cluster 5
Dimethylarginine dimethylaminohydrolase	Metabolism	AJ012008	?25 (350)	1,218 (462)	1,313 (10)	429 (185)	Cluster 5
IL-8:a CXC cytokine	Receptor ligand	M17017	2,998 (723)	8,018 (710)	3,768 (2,963)	291 (69)	Cluster 5
Neurexophilin 4	Receptor ligand	AF043469	?736 (621)	1,366 (109)	1,180 (303)	?780 (799)	Cluster 5
Mucin 2	Secreted protein	L21998	?131 (1,220)	1,259 (43)	1,146 (17)	?1,031 (622)	Cluster 5
Angiotensin R-like 1:G-protein-coupled receptor	Transmembrane receptor	U03642	419 (23)	1,334 (65)	1,250 (104)	629 (432)	Cluster 5
NA	NA	NA	DMSO	Taxol	Taxol + U0126	U0126	Cluster 5
Cryptochrome 2: photoreceptor	Circadium rhythms	AB014558	1,558 (289)	1,009 (892)	293 (56)	1,141 (693)	Cluster 6
EEF1E1	Elongation factor	N32257	1,512 (228)	1,056 (308)	532 (248)	1,014 (187)	Cluster 6
Guanidinoacetate N-methyltransferase	Metabolism	Z49878	978 (34)	421 (79)	471 (221)	1,446 (337)	Cluster 6
PLAB: bone morphogenic protein	Receptor ligand	AB000584	2,958 (363)	1,381 (78)	1,383 (234)	2,390 (759)	Cluster 6
PPP2R3: protein phosphatase 2 regulator	Signal transduction	L07590	1,201 (46)	942 (216)	496 (84)	1,211 (153)	Cluster 6
CHAF1B: chromatin assembly factor	Transcriptional regulation	U20980	1,091 (91)	116 (168)	283 (9)	1,262 (1,024)	Cluster 6
EMR1	Transmembrane receptor	X81479	1,312 (260)	981 (320)	170 (229)	1,439 (797)	Cluster 6
TRPC7: calcium channel	Transporter	W28976	1,399 (116)	803 (338)	?22 (111)	956 (190)	Cluster 6
TAP2: peptide pump	Transporter	M74447	658 (105)	447 (562)	417 (59)	1,147 (137)	Cluster 6
Renin	Vasoconstriction	M26901	1,704 (90)	733 (52)	777 (45)	1,271 (477)	Cluster 6
M6A: putative methyltransferase	Unknown	AF014837	1,410 (245)	961 (49)	634 (72)	1,156 (137)	Cluster 6
KIAA0346	Unknown	AB002344	3,162 (927)	1,635 (271)	?1,164 (24)	1,924 (76)	Cluster 6
Unknown	Unknown	W30677	2,191 (593)	1,629 (71)	841 (139)	1,901 (345)	Cluster 6
Unknown	Unknown	AL021707	2,947 (2,737)	1,958 (1,704)	?313 (144)	3,350 (161)	Cluster 6
Integrin ?5: vitronectin receptor	Cell adhesion	X06256	1,699 (63)	1,244 (88)	1,069 (225)	705 (173)	Cluster 7
Cadherin FIB1	Cell adhesion	AB000895	2,371 (187)	1,999 (819)	1,228 (0)	1,164 (72)	Cluster 7
ACF7: actin cross-linking factor	Cytoskeleton	AB007934	1,951 (329)	1,388 (121)	1,068 (142)	864 (251)	Cluster 7
Epiregulin: EGF-like growth factor	Receptor ligand	D30783	1,556 (133)	1,323 (72)	894 (18)	532 (68)	Cluster 7
Prolactin: growth hormone family	Receptor ligand	M29386	1,691 (244)	1,345 (59)	1,472 (143)	682 (92)	Cluster 7
Sprouty-1: FGF signaling antagonist	Signal transduction	AF041037	1,084 (254)	693 (7)	683 (143)	474 (76)	Cluster 7
IL1 receptor accessory protein	Signal transduction	AB006537	1,057 (161)	861 (246)	518 (197)	273 (32)	Cluster 7
NF-ATC: TCR signaling factor	Transcriptional regulation	U08015	1,069 (232)	596 (59)	490 (88)	504 (314)	Cluster 7
APC2: ?-catenin-binding protein	Cell adhesion	AB012162	443 (9)	1,102 (688)	1,338 (54)	1,383 (58)	Cluster 8
Tubulin, ?1	Cytoskeletal protein	HG2259-HT2348	1,587 (203)	2,230 (108)	3,797 (325)	3,124 (49)	Cluster 8
Myosin VIIA: unconventional myosin	Cytoskeletal protein	U39226	635 (59)	1,087 (341)	1,494 (285)	932 (349)	Cluster 8
Aquaporin 6: water channel	Fluid absorption	U48408	62 (314)	1,107 (26)	1,186 (952)	838 (467)	Cluster 8
HSPCB	Heat shock protein	W28616	1,122 (222)	1,922 (31)	2,481 (472)	1,928 (96)	Cluster 8
Uromodulin: Tamm-Horsfall glycoprotein	Kidney function	M15881	?384 (88)	1,464 (340)	2,089 (272)	555 (1,252)	Cluster 8
HEP27: alcohol dehydrogenase family	Metabolism	U31875	566 (251)	951 (275)	1,386 (631)	1,388 (307)	Cluster 8
PRSS22: serine protease	Protein procession	AC_003965	3,399 (325)	6,181 (1,721)	7,740 (9)	8,486 (345)	Cluster 8
?-Luteinizing hormone	Receptor ligand	HG3527-HT3721	2,777 (662)	5,508 (2,453)	7,045 (1,689)	7,512 (423)	Cluster 8
TULP3: tubby-like protein 3	Transcriptional regulation	AF045583	973 (182)	1,308 (105)	2,559 (74)	1,975 (505)	Cluster 8
CTDP1/FCP1: RNA polymerase II phosphatase	Transcriptional regulation	AF081287	265 (102)	872 (420)	1,098 (251)	671 (202)	Cluster 8
SOX2: SRY-related HMG-box family	Transcriptional regulation	AI356682	1,010 (92)	2,218 (328)	1,816 (137)	1,802 (285)	Cluster 8
THG-1: TSC-22-like protein	Transcriptional regulation	AJ133115	332 (111)	1,140 (122)	958 (414)	1,019 (149)	Cluster 8
ABCG2: breast cancer resistance protein	Transporter	AF093771	1,440 (136)	3,414 (1,706)	3,632 (2,012)	4,622 (125)	Cluster 8
Chaperone D	Tubulin assembly	AJ006417	?6 (94)	618 (543)	1,396 (222)	1,380 (117)	Cluster 8
BPY1: basic protein on Y chromosome	Unknown	AF000979	351 (325)	1,182 (285)	1,277 (242)	983 (309)	Cluster 8
KIAA1330	Unknown	AL109725	19 (212)	1,189 (157)	1,421 (190)	1,357 (613)	Cluster 8
Folate-binding protein	Unknown	AF000381	?297 (12)	942 (179)	1,075 (107)	891 (57)	Cluster 8
Unknown	Unknown	AC_005764	551 (59)	865 (20)	1,476 (195)	1,205 (214)	Cluster 8
Inositol 1,4,5-trisphosphate 3-kinase C	Calcium homeostasis	D38169	766 (103)	1,130 (45)	147 (214)	1,044 (58)	Cluster 9
Fucosyltransferase 6	Metabolism	U27333	2,163 (518)	1,731 (4)	517 (269)	1,428 (132)	Cluster 9
ENPP2/autotoxin: phosphodiesterase	Metabolism	D45421	1,778 (131)	2,439 (652)	895 (89)	2,416 (149)	Cluster 9
TOP3B	Replication/recombination	D87012	952 (33)	1,178 (204)	?141 (653)	797 (240)	Cluster 9
PCTAIRE3; serine/threonine kinase	Signal transduction	X66362	803 (532)	1,015 (156)	349 (68)	688 (457)	Cluster 9
HSF4: heat shock factor	Transcriptional regulation	D87673	1,659 (359)	1,789 (296)	712 (273)	1,707 (359)	Cluster 9
Ribosomal protein S1	Translation	W26640	1,723 (926)	1,788 (798)	1,141 (50)	2,527 (81)	Cluster 9
KIAA0943	Unknown	AB023160	487 (177)	1,045 (84)	?286 (242)	679 (381)	Cluster 9
DKFZp564C103	Unknown	AL050269	1,183 (128)	1,167 (156)	341 (263)	1,115 (17)	Cluster 9
Phorbolin I	Unknown	AA806768	1,400 (224)	2,151 (1,714)	514 (147)	1,456 (12)	Cluster 9
KIAA0266	Unknown	D87455	1,249 (11)	1,171 (31)	741 (75)	1,532 (93)	Cluster 9
KIAA0140	Unknown	D50930	943 (134)	993 (43)	538 (52)	1,296 (175)	Cluster 9
PRELP: P-R-rich end leucine-rich repeat	Extracellular matrix	U41344	?617 (214)	434 (1,209)	345 (1,227)	1,526 (26)	Cluster 10
?-L-Iduronidase	Metabolism	M95740	606 (22)	1,900 (116)	887 (28)	1,433 (563)	Cluster 10
Formyltetrahydrofolate dehydrogenase	Metabolism	AF052732	87 (97)	1,088 (239)	853 (166)	1,485 (462)	Cluster 10
FLT3LG: hematopoietic growth factor	Receptor ligand	U03858	577 (232)	1,644 (1,020)	571 (331)	2,285 (163)	Cluster 10
Indian hedgehog	Secreted protein	L38517	1,114 (9)	1,644 (574)	1,291 (81)	2,744 (57)	Cluster 10
PRKACG: protein kinase regulatory subunit	Signal transduction	M34182	2,199 (74)	6,417 (489)	3,645 (1,982)	6,014 (171)	Cluster 10
ZIC2: regulator of brain development	Transcription factor	AF104902	826 (7)	3,370 (82)	1,646 (1,352)	2,207 (1,127)	Cluster 10
SNC73	Unknown	AF067420	547 (223)	1,138 (404)	416 (16)	1,247 (291)	Cluster 10
Clone 24675	Unknown	AF070585	3,571 (1,784)	6,136 (1,005)	4,958 (2,509)	10,556 (512)	Cluster 10
Unknown	Unknown	AI560890	449 (23)	1,202 (10)	842 (411)	1,546 (39)	Cluster 10
LLGL1	Cytoskeletal protein	X86371	1,543 (3)	362 (114)	983 (932)	1,036 (618)	Cluster 11
IgM: immunoglobulin	Immune response	X67301	1,677 (6)	179 (122)	822 (927)	948 (1,002)	Cluster 11
Proteoglycan 2/MBP: eosinophil granule protein	Inflammatory response	Z26248	2,031 (128)	552 (237)	1,911 (30)	1,303 (658)	Cluster 11
Inositol polyphosphate 4-phosphatase type I?	Metabolism	U96919	4,472 (719)	1,140 (740)	1,723 (2,423)	1,104 (1,107)	Cluster 11
GPCR21: G-protein-coupled receptor	Signal transduction	U18548	1,344 (31)	239 (45)	671 (1,098)	714 (413)	Cluster 11
TESK2: protein kinase	Signal transduction	AJ132545	1,009 (13)	332 (68)	510 (373)	654 (425)	Cluster 11
ACCN1/MDEG: sodium channel	Transporter	U57352	1,972 (69)	675 (63)	1,761 (174)	824 (323)	Cluster 11
GRO2/MIP2A: CXC cytokine	Extracellular ligand	M36820	3,552 (523)	3,520 (250)	4,542 (2,941)	1,266 (34)	Cluster 12
ADP-ribosyltransferase L1	Metabolism	AF057160	1,014 (181)	647 (195)	1,325 (85)	84 (95)	Cluster 12
Mucin 1: epithelial tumor antigen	Secreted protein	X52228	648 (289)	896 (181)	1,186 (194)	545 (80)	Cluster 12
ETV3: ets family oncogene	Transcriptional regulation	L16464	828 (259)	1,316 (95)	1,111 (92)	400 (112)	Cluster 12
Neuronatin: brain development regulator	Transporter	U31767	1,697 (251)	1,943 (367)	2,322 (243)	1,075 (105)	Cluster 12
SLC25 A20: carnitine-acylcarnitine carrier	Transporter	Y10319	386 (200)	882 (462)	1,218 (56)	?475 (578)	Cluster 12
CELSR2/EGFL2	Transmembrane receptor	D87469	801 (25)	1,299 (124)	1,207 (125)	544 (53)	Cluster 12
KIAA0176	Unknown	D79998	852 (696)	748 (664)	1,108 (205)	393 (63)	Cluster 12
KIAA1036	Unknown	AB028959	919 (317)	710 (53)	1,581 (171)	NA	Cluster 12
