Symbol	Gene name	Accession2	Ratio3	n4	p-value	Expression
KIAA0203	KIAA0203 gene product	AA047435	0,61	4	0,026	Down-regulated
TDG	Thymine-DNA glycosylase	AA490546	0,61	3	0,003	Down-regulated
MMP7	matrix metalloproteinase 7 (matrilysin, uterine)	AA031513	0,62	4	0,018	Down-regulated
BDNF	brain-derived neurotrophic factor	AA262988	0,62	4	0,032	Down-regulated
LTBR	lymphotoxin beta receptor (TNFR superfamily, member 3)	AA454646	0,62	4	0,01	Down-regulated
CDH11	Cadherin 11, type 2, OB-cadherin (osteoblast)	AA136983	0,64	4	0,019	Down-regulated
PIM1	pim-1 oncogene	AA453663	0,66	3	0,022	Down-regulated
ZNF83	zinc finger protein 83 (HPF1)	AA043743	0,66	4	0,027	Down-regulated
NFIX	nuclear factor I/X (CCAAT-binding transcription factor)	AA406269	0,66	4	0,013	Down-regulated
HMOX1	heme oxygenase (decycling) 1	T71757	0,66	4	0,005	Down-regulated
TGFBR3	transforming growth factor, beta receptor III (betaglycan, 300kD)	H62473	0,67	4	0,003	Down-regulated
HDAC2	histone deacetylase 2	AA127093	0,67	4	0,014	Down-regulated
COL4A5	Collagen, type IV, alpha 5 (Alport syndrome)	AA029997	0,68	4	0,016	Down-regulated
HOXD4	homeo box D4	AA447692	0,69	4	0,018	Down-regulated
EPS15	epidermal growth factor receptor pathway substrate 15	AA490223	0,69	4	0,002	Down-regulated
SCYA16	small inducible cytokine subfamily A (Cys-Cys), member 16	T58775	0,71	4	0,013	Down-regulated
GSTA4	glutathione S-transferase A4	AA152347	0,73	4	0,036	Down-regulated
COPS5	COP9 (constitutive photomorphogenic, Arabidopsis, homolog) subunit 5	AA460599	0,73	4	0,012	Down-regulated
LAMA5	laminin, alpha 5	AA459519	0,73	4	0,005	Down-regulated
LY6E	lymphocyte antigen 6 complex, locus E	AA865464	0,74	4	0,031	Down-regulated
MAN2C1	mannosidase, alpha, class 2C, member 1	H45455	0,74	4	0,031	Down-regulated
CA150	transcription factor CA150	AA045180	0,74	4	0,014	Down-regulated
SYK	spleen tyrosine kinase	AA598572	0,75	3	0,043	Down-regulated
PPY	pancreatic polypeptide	AA844998	0,75	4	0,001	Down-regulated
IGSF3	immunoglobulin superfamily, member 3	AI002566	0,76	4	0,04	Down-regulated
INPP5A	inositol polyphosphate-5-phosphatase, 40kD	T58773	0,76	4	0,016	Down-regulated
FLJ20312	hypothetical protein FLJ20312	AA633957	0,76	4	0,004	Down-regulated
PLD2	phospholipase D2	AA418524	0,77	4	0,019	Down-regulated
TAF3B2	TATA box binding protein (TBP)-associated factor, RNA polymerase III, GTF3B subunit 2	AA453787	0,77	4	0,017	Down-regulated
STAT4	signal transducer and activator of transcription 4	R91570	0,77	4	0,025	Down-regulated
THOP1	thimet oligopeptidase 1	AA829295	0,77	4	0,04	Down-regulated
PLD1	phospholipase D1, phophatidylcholine-specific	AA626014	0,77	3	0,019	Down-regulated
RBM5	RNA binding motif protein 5	W73892	0,77	4	0,005	Down-regulated
SFRS9	Splicing factor, arginine/serine-rich 9	AA490721	0,77	4	0,003	Down-regulated
RHCG	Rh type C glycoprotein	AA864183	0,78	4	0,01	Down-regulated
JUND	jun D proto-oncogene	AA418670	0,78	4	0,032	Down-regulated
PSMA1	proteasome (prosome, macropain) subunit, alpha type, 1	R27585	0,78	4	0,001	Down-regulated
CEACAM1	carcinoembryonic antigen-related cell adhesion molecule 1 (biliary glycoprotein)	AA411757	0,78	3	0,029	Down-regulated
CYP4A11	cytochrome P450, subfamily IVA, polypeptide 11	W84868	0,79	4	0,009	Down-regulated
HCS	cytochrome c	AA865265	0,79	4	0,011	Down-regulated
SAS	Sarcoma amplified sequence	AA664211	0,79	4	0,024	Down-regulated
UBE2B	ubiquitin-conjugating enzyme E2B (RAD6 homolog)	AA598492	0,79	4	0,034	Down-regulated
CPA1	carboxypeptidase A1 (pancreatic)	AA845178	0,79	4	0,006	Down-regulated
UBE2E1	ubiquitin-conjugating enzyme E2E 1 (homologous to yeast UBC4/5)	AA044025	0,79	4	0,011	Down-regulated
CD58	CD58 antigen, (lymphocyte function-associated antigen 3)	AA136359	0,8	4	0,024	Down-regulated
SPINT2	serine protease inhibitor, Kunitz type, 2	AA459039	0,8	4	0,012	Down-regulated
IFI35	interferon-induced protein 35	AA827287	0,8	4	0,014	Down-regulated
GPX3	glutathione peroxidase 3 (plasma)	AA664180	0,8	4	0,024	Down-regulated
FABP3	fatty acid binding protein 3, muscle and heart (mammary-derived growth inhibitor)	AA148548	0,8	4	0,019	Down-regulated
