Probe ID	Gene Symbol	Description	CM/ES Fold change	CM/EB Fold change	FH/ES Fold change	FH/EB Fold change	AH/ES Fold change	AH/EB Fold change
780711	MAP4	microtubule-associated protein 4	321.82	3.24	125.82	1.27	22.68	0.23
2350050	NME5	non-metastatic cells 5, protein expressed in (nucleoside-diphosphate kinase)	312.54	3.44	50.13	0.55	86.43	0.95
60064	FAM70A	family with sequence similarity 70, member A	306.62	12.23	6.05	0.24	11.54	0.46
3840709	TPM1	tropomyosin 1 (alpha)	305.38	2.09	85.45	0.59	1	0.01
5960603	MYL4	myosin, light polypeptide 4, alkali; atrial, embryonic	303.21	49.01	305.99	49.46	90.59	14.64
450537	CADPS	Ca2+-dependent secretion activator	303.17	303.17	102.33	102.33	75.59	75.59
4830477	PRSS35	protease, serine, 35	296.51	19.18	47.74	3.09	0.93	0.06
620241	LIPC	lipase, hepatic	290.89	3.33	2.19	0.03	5.24	0.06
540102	KCNH7	potassium voltage-gated channel, subfamily H (eag-related), member 7	285.91	285.91	20.03	20.03	1.89	1.89
2680035	DGKI	diacylglycerol kinase, iota	281.52	1188.75	83.04	350.64	0.12	0.52
3190059	ACADL	acyl-Coenzyme A dehydrogenase, long chain	280.66	118.1	206.14	86.74	38.45	16.18
6020390	CAB39L	calcium binding protein 39-like	266.22	2.4	3.43	0.03	7.44	0.07
5090068	UNC45B	unc-45 homolog B (C. elegans)	258.18	132.34	169.23	86.75	96.26	49.34
2850692	RNF6	ring finger protein (C3H2C3 type) 6	244.33	40.28	50.8	8.38	188.49	31.08
150746	SLC45A2	solute carrier family 45, member 2	233.67	7.25	376.75	11.69	2.23	0.07
3180026	SRD5A2L2	steroid 5 alpha-reductase 2-like 2	231.62	42.06	81.84	14.86	595.86	108.21
450195	SMARCD3	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3	226.66	64.63	154.09	43.94	32.73	9.33
6380403	NPPB	natriuretic peptide precursor B	225.39	730.53	151.18	490.01	1.85	5.99
2630152	TNNI1	troponin I type 1 (skeletal, slow)	221.46	21.53	118.39	11.51	1	0.1
2970192	AMY2B	amylase, alpha 2B (pancreatic)	209.92	21.94	73.63	7.7	117.36	12.27
4050022	C10orf107	chromosome 10 open reading frame 107	207.22	6.75	1	0.03	1	0.03
4570408	SNRP70	small nuclear ribonucleoprotein 70kDa polypeptide (RNP antigen)	204.54	3.43	100.7	1.69	13.75	0.23
4010164	SMPX	small muscle protein, X-linked	199.26	111.18	105.57	58.9	242.33	135.21
630343	COLQ	collagen-like tail subunit (single strand of homotrimer) of asymmetric acetylcholinesterase	198.84	16.9	61	5.19	7.6	0.65
2320333	CHRM2	cholinergic receptor, muscarinic 2	196.36	196.36	147.55	147.55	159.05	159.05
4050064	DPF3	D4, zinc and double PHD fingers, family 3	193.83	28.2	165.01	24	99.99	14.54
50064	FLJ39502	hypothetical protein FLJ39502	191.36	101.06	124.04	65.51	165.33	87.32
6040524	PHACTR3	phosphatase and actin regulator 3	189.41	4.66	57.93	1.42	26.47	0.65
6520703	KCNIP4	Kv channel interacting protein 4	185.39	23.66	2.44	0.31	1	0.13
4070309	HDAC9	histone deacetylase 9	184.43	2.81	150.27	2.29	21.3	0.32
6370370	LRRC10	leucine rich repeat containing 10	183.9	129.52	196.87	138.65	97.41	68.6
5860564	C6orf155	chromosome 6 open reading frame 155	182.37	8.19	15.34	0.69	2.01	0.09
1440300	PLN	phospholamban	179.54	139.72	113.64	88.44	232.37	180.84
6760041	CLEC4A	C-type lectin domain family 4, member A	177.46	3.04	129.74	2.22	72.52	1.24
650671	ATP2B1	ATPase, Ca++ transporting, plasma membrane 1	173.74	100.17	116.03	66.9	50	28.83
1110327	PPP1R3A	protein phosphatase 1, regulatory (inhibitor) subunit 3A (glycogen and sarcoplasmic reticulum binding subunit, skeletal muscle)	171.56	11.21	46.66	3.05	827.47	54.08
6550189	PHF20L1	PHD finger protein 20-like 1	169.41	18.69	73.67	8.13	70.65	7.8
780730	FLJ23878	schlafen-like 1	167.27	15.32	37.65	3.45	1	0.09
3360403	MSX2	msh homeobox homolog 2 (Drosophila)	167.21	5.19	1.97	0.06	4.61	0.14
6400242	TMEM71	transmembrane protein 71	166.81	166.7	119.06	118.98	73.42	73.38
5220397	TSPAN32	tetraspanin 32	166.31	88.63	121.43	64.71	191.89	102.26
510523	MYL7	myosin, light polypeptide 7, regulatory	165.83	53.51	151.67	48.94	119.14	38.45
7550035	HECTD2	HECT domain containing 2	162.15	4.49	6.67	0.18	0.51	0.01
3870100	IL6ST	interleukin 6 signal transducer (gp130, oncostatin M receptor)	161.49	5.13	30.71	0.97	37.7	1.2
6100019	SYNPO2L	synaptopodin 2-like	161.15	161.15	93.4	93.4	148.69	148.69
6520500	MYBPHL	myosin binding protein H-like	160.16	160.16	570.44	570.44	50.02	50.02
5720500	HAK	alpha-kinase 2	159.32	8.95	110.53	6.21	92.27	5.18
7560524	C9orf47	chromosome 9 open reading frame 47	156.57	7.2	214.16	9.85	23.09	1.06
5890092	CACNA1G	calcium channel, voltage-dependent, alpha 1G subunit	156.33	4.98	48.4	1.54	0.27	0.01
4490278	CFC1	cripto, FRL-1, cryptic family 1	155.01	61.69	2.67	1.06	1	0.4
240411	KBTBD10	kelch repeat and BTB (POZ) domain containing 10	154.04	53.1	177.94	61.34	224.28	77.31
5090274	PALM2	paralemmin 2	152.33	44.08	95.21	27.55	4.62	1.34
3460379	MLCK	MLCK protein	150.6	150.6	100.7	100.7	131.67	131.67
1780639	FGF9	fibroblast growth factor 9 (glia-activating factor)	147.87	6.33	114.05	4.88	130.18	5.57
270110	PPP1R14C	protein phosphatase 1, regulatory (inhibitor) subunit 14C	146.85	22.09	123.56	18.59	91.34	13.74
6270475	ADPRHL1	ADP-ribosylhydrolase like 1	145.37	106.26	96.68	70.67	203.3	148.6
4540682	FAM78A	family with sequence similarity 78, member A	144.4	123.27	83.73	71.48	37.06	31.64
6770315	MB	myoglobin	143.46	143.46	116.42	116.42	565.23	565.23
7210187	NRXN1	neurexin 1	143.33	4.75	92.74	3.07	15.72	0.52
2630441	ANXA7	annexin A7	142.56	47.91	112.43	37.78	336.68	113.14
620730	LRRC39	leucine rich repeat containing 39	140.21	138.72	120.95	119.66	274.58	271.65
5560482	MYH6	myosin, heavy polypeptide 6, cardiac muscle, alpha (cardiomyopathy, hypertrophic 1)	140.03	57.4	128.77	52.79	107.86	44.22
1230521	CAPN3	calpain 3, (p94)	139.97	42.42	20.02	6.07	6.24	1.89
3170692	ITGB1BP2	integrin beta 1 binding protein (melusin) 2	139	130.22	61.04	57.19	94.6	88.63
2340112	NKX2-5	NK2 transcription factor related, locus 5 (Drosophila)	138.78	110.78	73.29	58.51	62.62	49.99
460079	PIWIL4	piwi-like 4 (Drosophila)	137.78	8.16	61.81	3.66	2.01	0.12
4480639	POPDC2	popeye domain containing 2	137.72	128.34	113.21	105.5	106.45	99.2
6480270	YAF2	YY1 associated factor 2	135.53	4.75	71.97	2.52	118.13	4.14
5860504	HTR4	5-hydroxytryptamine (serotonin) receptor 4	133.53	11.7	300.25	26.32	40.96	3.59
6550315	SPTBN5	spectrin, beta, non-erythrocytic 5	131.63	82.5	317.19	198.8	91.22	57.17
5080274	CORIN	corin, serine peptidase	131.33	56.29	126.26	54.12	98.89	42.38
630730	MYO18B	myosin XVIIIB	129.97	129.97	101.1	101.1	103.68	103.68
4890221	PCGF5	polycomb group ring finger 5	129	98.65	40.78	31.18	70.71	54.07
6860678	CSAG2	CSAG family, member 2	128.68	5.12	3.14	0.13	0.48	0.02
4490673	CLIC5	chloride intracellular channel 5	126.92	126.92	122.61	122.61	480.19	480.19
6220193	FAM5C	family with sequence similarity 5, member C	126.57	6.35	314.17	15.77	26.25	1.32
1780170	ABCC5	ATP-binding cassette, sub-family C (CFTR/MRP), member 5	123.69	2.56	36.82	0.76	0.83	0.02
3930220	CSRP3	cysteine and glycine-rich protein 3 (cardiac LIM protein)	119.77	119.77	107.91	107.91	148.47	148.47
1240349	RNF36	ring finger protein 36	119.32	15.64	37.47	4.91	54.46	7.14
4280044	FLJ90579	hypothetical protein FLJ90579	118.54	18.13	4.61	0.71	1	0.15
1780477	TMOD1	tropomodulin 1	117.29	61.92	125.25	66.12	132.88	70.15
1300220	FBXO32	F-box protein 32	115.83	53.53	104.56	48.32	94.5	43.68
2690687	TDRD5	tudor domain containing 5	115.34	14.07	1	0.12	8.87	1.08
6590767	KCNE2	potassium voltage-gated channel, Isk-related family, member 2	111.72	2.17	1	0.02	1	0.02
1090598	TNNT2	troponin T type 2 (cardiac)	111.5	59.39	119.75	63.79	202.52	107.87
6220450	DHRS9	dehydrogenase/reductase (SDR family) member 9	106.69	6.57	185.15	11.4	218.29	13.44
3140280	RCSD1	RCSD domain containing 1	105.53	42.62	125.31	50.61	74.68	30.17
4010341	TNNC1	troponin C type 1 (slow)	105.01	73.92	126.99	89.41	227.06	159.85
240703	TFEB	transcription factor EB	104.76	104.76	279.55	279.55	221.22	221.22
3310603	MTUS1	mitochondrial tumor suppressor 1	104.55	104.55	188.51	188.51	193.39	193.39
5290450	C7	complement component 7	103.94	63.44	386.62	235.96	390.79	238.5
6770739	ACADSB	acyl-Coenzyme A dehydrogenase, short/branched chain	103.6	3.64	28.92	1.02	120.4	4.23
2370162	MSRB3	methionine sulfoxide reductase B3	103.12	17.31	112.8	18.93	142.73	23.95
630010	ANKRD1	ankyrin repeat domain 1 (cardiac muscle)	102.12	98.08	69.4	66.66	202.3	194.3
540202	PLCL1	phospholipase C-like 1	101.98	41.55	83.02	33.82	313.87	127.87
6110709	MYL3	myosin, light polypeptide 3, alkali; ventricular, skeletal, slow	101.83	101.83	132.9	132.9	299.24	299.24
840273	TRH	thyrotropin-releasing hormone	101.35	64.8	1.65	1.06	0.06	0.04
290685	APOBEC2	apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 2	101	85.72	103.29	87.66	148.07	125.66
1450537	FSD2	fibronectin type III and SPRY domain containing 2	100.7	76.58	238.17	181.14	322.19	245.04
2470753	CAMK2D	calcium/calmodulin-dependent protein kinase (CaM kinase) II delta	100.47	30.07	292.52	87.55	361.38	108.16
6650168	C1orf188	chromosome 1 open reading frame 188	100.11	21.9	183.54	40.15	66.39	14.52
6980286	SORBS2	sorbin and SH3 domain containing 2	99.79	99.79	319.29	319.29	131.86	131.86
3850075	STK23	SFRS protein kinase 3	99.67	99.67	1908.21	1908.21	2001.41	2001.41
6450414	LBR	lamin B receptor	99.59	198.09	84.78	168.63	50.1	99.65
1710382	KIAA0774	KIAA0774	99.59	10.66	169.12	18.1	192.99	20.65
70672	MYH7	myosin, heavy polypeptide 7, cardiac muscle, beta	99.55	99.55	137.51	137.51	201.11	201.11
780228	RARB	retinoic acid receptor, beta	99.26	7.49	80.75	6.09	60.6	4.57
2640500	HOP	homeodomain-only protein	98.81	98.81	410.41	410.41	6.92	6.92
3610735	CMYA1	cardiomyopathy associated 1	98.67	98.67	306.02	306.02	221.77	221.77
50524	LDB3	LIM domain binding 3	97.85	84.92	159.53	138.44	205.01	177.92
4200685	MYOM2	myomesin (M-protein) 2, 165kDa	97.58	66.47	262.01	178.48	1286.12	876.07
6940240	CASQ2	calsequestrin 2 (cardiac muscle)	97.5	62.81	3118.19	2008.7	6004.6	3868.09
4290692	CAMK2A	calcium/calmodulin-dependent protein kinase (CaM kinase) II alpha	97.43	3.77	101.47	3.92	79.11	3.06
3990215	RASGRP3	RAS guanyl releasing protein 3 (calcium and DAG-regulated)	97.23	11.85	178.98	21.82	180.41	21.99
2470367	TCAP	titin-cap (telethonin)	97.1	97.1	209.4	209.4	1434.93	1434.93
2570129	PGM5	phosphoglucomutase 5	96.71	3.93	145.87	5.93	192.59	7.83
2370477	MYOM1	myomesin 1 (skelemin) 185kDa	96.37	75.67	137.38	107.87	210.13	165
6200240	C6orf142	chromosome 6 open reading frame 142	96.27	96.27	116.46	116.46	218.92	218.92
3190519	SORBS2	sorbin and SH3 domain containing 2	95.99	40.61	155.64	65.85	128.08	54.19
7550722	Gcom1	GRINL1A combined protein	95.96	41.42	186.62	80.54	637.52	275.15
110754	RGS5	regulator of G-protein signalling 5	95.44	11.41	71.98	8.61	301.84	36.1
5310592	ACTN2	actinin, alpha 2	94.46	85.32	130.08	117.49	176.41	159.34
2970050	GDF10	growth differentiation factor 10	94.39	4.42	8.59	0.4	0.57	0.03
6980577	SKIP	SPHK1 (sphingosine kinase type 1) interacting protein	93.96	62.58	194.67	129.66	253.43	168.8
3840520	FABP3	fatty acid binding protein 3, muscle and heart (mammary-derived growth inhibitor)	93.83	93.83	215.65	215.65	503.98	503.98
6960603	CCDC68	coiled-coil domain containing 68	93.75	17.51	117.22	21.9	170.9	31.92
150092	LRRFIP2	leucine rich repeat (in FLII) interacting protein 2	93.37	62.74	215.66	144.91	265.51	178.41
610347	SLC26A9	solute carrier family 26, member 9	93.06	35.05	222.86	83.93	584.52	220.15
2690139	MB	myoglobin	92.78	86.97	285.24	267.37	524.13	491.29
1820435	MEF2C	MADS box transcription enhancer factor 2, polypeptide C (myocyte enhancer factor 2C)	92.2	7.17	76.33	5.93	45.83	3.56
4060767	SMYD1	SET and MYND domain containing 1	91.49	83.06	133.15	120.87	108.09	98.13
2640136	DCLK2	doublecortin-like kinase 2 , transcript variant 1.	91.46	2.91	171.78	5.46	119.99	3.82
5810767	LOC441931	putative G-protein coupled receptor on chromosome 1.	91.36	91.36	214.56	214.56	177.11	177.11
4070500	C1orf175	chromosome 1 open reading frame 175 .	90.99	3.86	3.22	0.14	29.1	1.23
160008	SYPL2	synaptophysin-like 2 .	90.8	5.01	204.22	11.26	60.27	3.32
1240037	APEG1	aortic preferentially expressed gene 1 .	89.91	75.17	229.63	191.98	193.3	161.61
160369	MGC42630	hypothetical protein MGC42630 .	89.79	14.01	287.04	44.79	257.2	40.14
510672	LOC283932	hypothetical protein LOC283932 .	89.43	86.22	139.34	134.35	252.48	243.44
6020433	C4orf29	chromosome 4 open reading frame 29 .	87.25	12.22	36.97	5.18	4.79	0.67
5290279	PTGER3	prostaglandin E receptor 3 , transcript variant 10.	86.68	15.05	139.15	24.17	86.66	15.05
1780411	ABCA6	ATP-binding cassette, sub-family A , member 6 .	86.07	4.73	89.88	4.94	214.91	11.82
5260274	C17orf44	chromosome 17 open reading frame 44 .	85.74	29.29	202.64	69.23	85.67	29.27
5860131	RASSF4	Ras association domain family 4 .	85.56	70.35	169.34	139.22	138.74	114.07
4250286	ZNF154	zinc finger protein 154	.	84.8	2.43	31.78	0.91	97.76	2.8
6650689	SNAPC3	small nuclear RNA activating complex, polypeptide 3, 50kDa .	84.68	9.49	290.03	32.5	639.38	71.64
3130136	ATP5G3	ATP synthase, H+ transporting, mitochondrial F0 complex, subun 84.43	87.59	402.67	417.73	790.91	820.47
4640040	TRMU	tRNA 5-methylaminomethyl-2-thiouridylate methyltransferase , nu	83.74	100.88	57.7	69.51	139.54	168.1
3830487	MYL2	myosin, light polypeptide 2, regulatory, cardiac, slow	83.11	96.44	1940.66	2251.88	3526.66	4092.23
540274	SORCS3	sortilin-related VPS10 domain containing receptor 3	81.48	124.36	0.83	1.26	1.54	2.35
2970753	PGAM2	phosphoglycerate mutase 2 (muscle)	80.65	84.19	158.07	165.02	352.57	368.07
6510072	FLJ22028	hypothetical protein FLJ22028	80.07	10.88	27.03	3.67	24.34	3.31
6020491	FGF10	fibroblast growth factor 10	78.94	51.46	24.2	15.78	2.78	1.81
5860082	FLJ14437	myopalladin	76.31	53.91	343.32	242.54	1001.08	707.22
4480246	MASP1	mannan-binding lectin serine peptidase 1 (C4/C2 activating component of Ra-reactive factor)	76.09	145.82	25.46	48.79	30.7	58.83
5260523	USP16	ubiquitin specific peptidase 16	75.58	55.61	27.46	20.21	52.67	38.76
7330521	C12orf39	chromosome 12 open reading frame 39	74.77	24.97	379.97	126.9	691.48	230.95
2320279	LOC339977	similar to hypothetical protein MGC38937	74.35	74.35	1	1	1	1
5550563	GATA4	GATA binding protein 4	74.32	11.04	51.11	7.59	36.15	5.37
5220543	C8A	complement component 8, alpha polypeptide	73.89	3.82	1	0.05	1	0.05
4880575	CRIP2	cysteine-rich protein 2	72.32	20.3	80.47	22.58	77.31	21.7
5810138	JPH2	junctophilin 2	71.67	30.69	78.26	33.52	90.32	38.68
4480474	SNAP91	synaptosomal-associated protein, 91kDa homolog (mouse)	71.37	11.78	15.47	2.55	6.28	1.04
4230021	CCR6	chemokine (C-C motif) receptor 6	71.17	2.16	3.28	0.1	3.92	0.12
4560168	FREM1	FRAS1 related extracellular matrix 1	71.11	3.01	23.98	1.01	7.02	0.3
6100112	C4orf18	chromosome 4 open reading frame 18	70.95	3.59	203.46	10.28	183.01	9.25
6110414	TBX5	T-box 5	70.93	222.25	75.95	237.98	37.43	117.29
1300364	NIPSNAP3B	nipsnap homolog 3B (C. elegans)	68.8	68.8	195.82	195.82	380.61	380.61
110603	WDR31	WD repeat domain 31	68.43	7.11	83.33	8.65	241.88	25.12
6450424	FLJ36208	hypothetical protein FLJ36208	68.01	20.34	14.12	4.22	1	0.3
610164	FBXL17	F-box and leucine-rich repeat protein 17	67.8	2.81	52.76	2.19	129.5	5.37
580612	STARD4	START domain containing 4, sterol regulated	67.76	67.76	1	1	1	1
430079	KIAA0774	KIAA0774	67.7	9.69	299.73	42.88	238.71	34.15
1780131	ZNF69	zinc finger protein 69	66.83	9.18	62.89	8.64	21.57	2.96
1260170	PLEKHA6	pleckstrin homology domain containing, family A member 6	66.35	5.65	15.78	1.34	11.34	0.97
3390730	ASB10	ankyrin repeat and SOCS box-containing 10	65.32	65.32	2052.17	2052.17	12184.64	12184.64
2970685	JPH2	junctophilin 2	65.32	30.25	116.01	53.73	57.48	26.62
2350243	UGT2B17	UDP glucuronosyltransferase 2 family, polypeptide B17	64.84	22.71	3.55	1.24	667.08	233.64
6330010	MCEMP1	chromosome 19 open reading frame 59	64.15	145.77	477.23	1084.33	0.57	1.3
7510195	IRX4	iroquois homeobox protein 4	64.09	44.97	40.62	28.5	19.15	13.44
1260427	FRMD3	FERM domain containing 3	63.98	13.7	31.78	6.8	34.79	7.45
580445	NEXN	nexilin (F actin binding protein)	63.95	55.89	51.41	44.93	84.47	73.81
7210278	COX6A2	cytochrome c oxidase subunit VIa polypeptide 2	63.8	92.63	367.85	534.05	1102.79	1601.06
2630161	PNKD	paroxysmal nonkinesiogenic dyskinesia	63.11	7.79	3.29	0.41	2.31	0.28
2630273	AKAP6	A kinase (PRKA) anchor protein 6	62.97	5.89	111.04	10.38	146.54	13.7
70561	FBLN2	fibulin 2	62.86	18.8	102.06	30.52	193.34	57.82
770450	RP13-15M17.2 hypothetical protein LOC199953	62.19	5.33	160.61	13.75	59.04	5.06
5570228	CYP2E1	cytochrome P450, family 2, subfamily E, polypeptide 1	61.56	3.49	106.32	6.03	44.04	2.5
6270601	SLC8A1	solute carrier family 8 (sodium/calcium exchanger), member 1	60.44	29.9	69.8	34.53	32.73	16.19
3170086	C6orf208	chromosome 6 open reading frame 208	59.25	59.25	20.63	20.63	3.33	3.33
70193	ADAM28	ADAM metallopeptidase domain 28	59.12	4.7	1	0.08	3.65	0.29
1820725	FLJ31818	hypothetical protein FLJ31818	59.05	4.56	35.1	2.71	13.34	1.03
3830541	ZDHHC21	zinc finger, DHHC-type containing 21	59.04	59.04	1	1	1	1
7200634	MYH11	myosin, heavy polypeptide 11, smooth muscle	58.51	68.65	70.42	82.62	174.51	204.74
450220	TTN	titin	58.05	30.33	69.43	36.28	13.01	6.8
3990286	MUM1L1	melanoma associated antigen (mutated) 1-like 1	56.72	5.64	21.64	2.15	22.46	2.23
780398	NTRK1	neurotrophic tyrosine kinase, receptor, type 1	56.65	56.65	1	1	1	1
840523	NKX2-8	NK2 transcription factor related, locus 8 (Drosophila)	56.3	3.95	75.01	5.26	12.49	0.88
2120592	SPTBN1	spectrin, beta, non-erythrocytic 1	55.98	88.86	113.52	180.19	162.11	257.32
360475	GATA5	GATA binding protein 5	55.76	2.48	10.66	0.47	4.85	0.22
2570451	ERV3	endogenous retroviral sequence 3 (includes zinc finger protein H-plk/HPF9)	55.18	6.51	6.49	0.77	27.35	3.23
1850600	CCDC62	coiled-coil domain containing 62	54.61	16.91	2.37	0.73	1	0.31
2000008	PPP1R12B	protein phosphatase 1, regulatory (inhibitor) subunit 12B	54.4	97.67	122.83	220.52	132.31	237.54
990564	KIAA0895	KIAA0895 protein	54.11	2.21	26.25	1.07	8.5	0.35
10767	SLCO3A1	solute carrier organic anion transporter family, member 3A1	53.61	87.82	68.37	111.99	31.78	52.05
4570725	DIRAS3	DIRAS family, GTP-binding RAS-like 3	53.53	125.61	102.26	239.94	74.73	175.34
2650162	TMEM16D	transmembrane protein 16D	53.25	80.82	2.51	3.81	0.14	0.22
4850414	MSRB3	methionine sulfoxide reductase B3	53.24	16.81	36.69	11.59	42.63	13.46
2230554	HIST1H2AD	histone 1, H2ad	53.07	53.07	21.56	21.56	3.27	3.27
6480008	STAU	staufen, RNA binding protein, homolog 1 (Drosophila)	52.97	52.97	111.17	111.17	1	1
2750086	C2orf27	chromosome 2 open reading frame 27	52.27	17.75	22.68	7.7	11.22	3.81
6380273	AGT	angiotensinogen (serpin peptidase inhibitor, clade A, member 8)	52.2	3.89	45.94	3.42	53.06	3.95
3120187	NEBL	nebulette	52.11	21.08	20.04	8.11	29.06	11.76
5490634	TCEA3	transcription elongation factor A (SII), 3	52.05	17.67	74.58	25.32	64.79	21.99
6370291	SPINK1	serine peptidase inhibitor, Kazal type 1	51.13	3.58	0.2	0.01	0.11	0.01
780170	WNT2	wingless-type MMTV integration site family member 2	50.76	19.78	1.87	0.73	1.77	0.69
5080458	CPNE5	copine V	50.67	11.21	57.38	12.69	39.25	8.68
7150719	COL2A1	collagen, type II, alpha 1 (primary osteoarthritis, spondyloepiphyseal dysplasia, congenital)	50.21	2.58	1.82	0.09	0.05	0
2140402	C4orf18	chromosome 4 open reading frame 18	49.83	3.87	167.91	13.04	164.26	12.76
6290593	GPR1	G protein-coupled receptor 1	49.73	7.74	9.59	1.49	6.81	1.06
630692	ESRRG	estrogen-related receptor gamma	49.52	20.43	44.39	18.32	42.19	17.41
610537	FLJ41603	FLJ41603 protein	49.45	5.59	92.59	10.48	173.03	19.58
3140068	MASP1	mannan-binding lectin serine peptidase 1 (C4/C2 activating component of Ra-reactive factor)	49.21	131.38	15.36	40.99	20.15	53.78
6620475	BVES	blood vessel epicardial substance	49.2	23.56	58.36	27.94	16.03	7.68
3800717	TMEM117	transmembrane protein 117	48.82	16.52	20.82	7.04	15.51	5.25
5420477	C16orf47	chromosome 16 open reading frame 47	48.73	13.11	5.49	1.48	2.01	0.54
5870228	CYP2J2	cytochrome P450, family 2, subfamily J, polypeptide 2	48.69	47.26	92.87	90.14	126.24	122.53
2850114	FSHR	follicle stimulating hormone receptor	48.39	5.38	5.8	0.64	9.02	1
60600	TYR	tyrosinase (oculocutaneous albinism IA)	47.26	15.71	0.44	0.15	1.77	0.59
4560100	COL21A1	collagen, type XXI, alpha 1	47.17	2.07	113.2	4.96	56.18	2.46
3190608	NUDT13	nudix (nucleoside diphosphate linked moiety X)-type motif 13	47.01	4.55	3.19	0.31	0.47	0.05
2490687	PDLIM3	PDZ and LIM domain 3	46.81	21.13	40.74	18.39	52.67	23.77
10674	NNT	nicotinamide nucleotide transhydrogenase	46.59	15.99	57.53	19.74	202.82	69.6
3850086	SLC4A4	solute carrier family 4, sodium bicarbonate cotransporter, member 4	45.7	5.12	132.4	14.82	149.05	16.69
4890438	PDE4D	phosphodiesterase 4D, cAMP-specific (phosphodiesterase E3 dunce homolog, Drosophila)	45.63	3.31	80.72	5.86	48.62	3.53
3130630	ADCY5	adenylate cyclase 5	45.09	51.56	121.21	138.6	128.32	146.73
6520553	SGIP1	SH3-domain GRB2-like (endophilin) interacting protein 1	44.9	4.11	397.07	36.32	13.18	1.21
2360398	IL1RAP	interleukin 1 receptor accessory protein	44.87	60.72	1.96	2.65	0.17	0.24
6280193	LOC161247	similar to CG10671-like	44.82	31.62	163.72	115.51	181.28	127.9
3830372	CNTN6	contactin 6	44.81	2.34	2.44	0.13	0.37	0.02
270278	BMP2	bone morphogenetic protein 2	44.63	15.68	1.35	0.47	0.87	0.31
4280370	POPDC3	popeye domain containing 3	44.56	51.55	15.8	18.28	10.85	12.55
6100433	PASD1	PAS domain containing 1	44.51	11.83	2.56	0.68	1	0.27
2710730	MEIS2	Meis1, myeloid ecotropic viral integration site 1 homolog 2 (mouse)	44.07	2.01	27.07	1.23	12.51	0.57
1190328	LOC441931	putative G-protein coupled receptor on chromosome 1.	43.45	16.34	3.55	1.34	1.73	0.65
1470681	HOP	homeodomain-only protein	43.14	4.27	104.43	10.35	27.39	2.71
1820592	LMO3	LIM domain only 3 (rhombotin-like 2)	42.84	42.84	15.99	15.99	1	1
1170075	HSPB3	heat shock 27kDa protein 3	42.73	94.44	141.46	312.67	230.49	509.45
