Systematic	Gene Symbol	Description	Entrez Gene	Log Intensity Values M1	A7	A14	C7	C14	O7	O14
GI_29171741-A	PPAP2B	Homo sapiens phosphatidic acid phosphatase type 2B (PPAP2B), transcript variant 2, mRNA.	8613	?0.6817	0.4139	0.5951	?1.6090	?1.8404	0.0853	0.0922
GI_29568085-S	SDC1	Homo sapiens syndecan 1 (SDC1), mRNA.	6382	0.6379	?1.7792	?1.7169	2.0289	2.5978	?1.7140	?1.2265
GI_29740201-S	C15orf23	Homo sapiens chromosome 15 open reading frame 23 (C15orf23), mRNA.	90417	?0.2256	0.1247	0.0870	?1.6856	?1.3156	0.8063	0.7447
GI_31542688-S	C5orf23	Homo sapiens chromosome 5 open reading frame 23 (C5orf23), mRNA.	79614	?0.9259	0.7377	0.8518	?2.2670	?2.4629	0.4283	0.3159
GI_31543449-S	PTX3	Homo sapiens pentaxin-related gene, rapidly induced by IL-1 beta (PTX3), mRNA.	5806	?0.5309	0.4301	0.6199	?3.2706	?3.1457	0.2717	0.0423
GI_32964829-S	COL8A2	Homo sapiens collagen, type VIII, alpha 2 (COL8A2), mRNA.	1296	?0.4979	?0.1827	?0.1771	2.3983	1.1285	?0.1501	0.5740
GI_34147323-S	SERPINE2	Homo sapiens serine (or cysteine) proteinase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 2 (SERPINE2), mRNA.	5270	0.3583	?0.1735	?0.2705	?0.1871	?1.7625	0.0418	0.3565
GI_34222219-S	CHPF	Homo sapiens chondroitin polymerizing factor (CHPF), mRNA.	79586	?0.1880	?0.3085	0.0195	0.9417	1.6792	0.1377	0.0255
GI_34304351-S	BGN	Homo sapiens biglycan (BGN), mRNA.	633	0.1863	?0.4741	?0.9904	1.8441	2.0613	?0.5917	?0.1769
GI_34452701-S	ANKH	Homo sapiens ankylosis, progressive homolog (mouse) (ANKH), mRNA.	56172	?0.1405	?0.3468	?0.3980	1.9032	2.6121	0.1362	0.2076
GI_34577109-I	ALDOA	Homo sapiens aldolase A, fructose-bisphosphate (ALDOA), transcript variant 2, mRNA.	226	0.2722	0.0845	0.4904	?1.8390	?4.5511	?0.0184	?0.4511
GI_37548655-S	OLFML2B	Homo sapiens olfactomedin-like 2B (OLFML2B) mRNA.	25903	?0.1088	?0.0092	?0.1600	1.5639	1.6795	?0.5550	0.1048
GI_38016132-S	FLJ40113	Homo sapiens similar to golgi autoantigen, golgin subfamily a (FLJ40113), mRNA.	374650	?0.2915	0.2505	?0.0136	1.0453	1.5785	?0.3121	?0.3649
GI_39930510-S	CCBE1	Homo sapiens collagen and calcium binding EGF domains 1 (CCBE1), mRNA.	147372	0.4766	?0.7250	?0.7651	?2.0959	?1.8857	0.4579	0.4999
GI_40317614-A	TMEPAI	Homo sapiens transmembrane, prostate androgen induced RNA (TMEPAI), transcript variant 1, mRNA.	56937	?0.4838	0.2304	0.0321	2.3013	2.3872	?0.1680	?0.0132
GI_40317625-S	THBS1	Homo sapiens thrombospondin 1 (THBS1), mRNA.	7057	?0.0609	0.0945	0.2187	?0.4038	?1.7130	0.1597	0.1418
GI_41327755-S	ADAMTS4	Homo sapiens a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 4 (ADAMTS4), mRNA.	9507	?0.7378	0.3704	0.2196	2.1222	2.4524	?0.2427	?0.1231
GI_32130529-A	CMTM3	Homo sapiens CKLF-like MARVEL transmembrane domain containing 3 (CMTM3), mRNA.	123920	?0.0054	0.0109	?0.1266	1.0540	1.7720	?0.3590	0.0973
GI_42716296-S	CLU	Homo sapiens clusterin (complement lysis inhibitor, SP-40,40, sulfated glycoprotein 2, testosterone-repressed prostate message 2, apolipoprotein J) (CLU), transcript variant 1, mRNA.	1191	?0.0165	?0.4015	?0.6002	1.8815	1.7451	?0.1837	?0.0081
GI_4502028-S	ALCAM	Homo sapiens activated leukocyte cell adhesion molecule (ALCAM), mRNA.	214	?0.4321	0.0925	0.0262	?1.9199	?4.4655	1.1540	1.1339
GI_4502040-S	ALDH1A3	Homo sapiens aldehyde dehydrogenase 1 family, member A3 (ALDH1A3), mRNA.	220	0.3394	0.7244	1.2773	?2.1137	?3.7916	?0.2095	?1.0134
GI_4503412-S	HBEGF	Homo sapiens diphtheria toxin receptor (heparin-binding epidermal growth factor-like growth factor) (DTR), mRNA.	1839	0.5969	?0.7689	?0.3265	1.5347	1.8914	?0.7664	?0.6438
GI_4507398-S	TCF4	Homo sapiens transcription factor 4 (TCF4), mRNA.	6925	0.4581	?0.6464	?0.8820	1.4544	1.8483	?0.2636	?0.0804
GI_4507464-S	TGFB3	Homo sapiens transforming growth factor, beta 3 (TGFB3), mRNA.	7043	?0.0634	0.1799	0.3213	3.2386	3.2736	?0.3335	?0.4560
GI_4507668-S	TPT1	Homo sapiens tumor protein, translationally-controlled 1 (TPT1), mRNA.	7178	?0.1809	0.2711	0.2855	0.0376	?2.3107	?0.0011	0.1020
GI_4507810-S	UGCG	Homo sapiens UDP-glucose ceramide glucosyltransferase (UGCG), mRNA.	7357	0.9620	?0.1709	0.3137	?1.8144	?1.0405	0.0859	?0.3534
GI_4507960-S	ZFP36	Homo sapiens zinc finger protein 36, C3H type, homolog (mouse) (ZFP36), mRNA.	7538	0.2268	0.1458	0.0712	?2.2477	?1.7996	?0.0194	0.2137
GI_4755145-S	AEBP1	Homo sapiens AE binding protein 1 (AEBP1), mRNA.	165	0.2491	?1.5791	?1.6139	1.9207	2.0746	?0.3012	0.0292
GI_4826683-S	DAPK1	Homo sapiens death-associated protein kinase 1 (DAPK1), mRNA.	1612	?0.1521	0.3519	0.7550	?1.6311	?1.2218	0.3165	0.0717
GI_5031570-S	ACTR2	Homo sapiens ARP2 actin-related protein 2 homolog (yeast) (ACTR2), mRNA.	10097	0.1536	?0.0569	?0.0646	?0.7740	?1.5722	0.2089	0.1267
GI_5031638-S	CNIH	Homo sapiens cornichon homolog (Drosophila) (CNIH), mRNA.	10175	?0.0784	0.1131	0.2373	?0.0366	?1.8444	0.0184	?0.0358
GI_5031970-S	LRRC17	Homo sapiens leucine rich repeat containing 17 (LRRC17), mRNA.	10234	0.5369	?0.0269	0.0042	2.6441	3.7125	?2.4749	?0.3653
GI_41582237-A	ISLR	Homo sapiens immunoglobulin superfamily containing leucine-rich repeat (ISLR), transcript variant 1, mRNA.	3671	0.1956	?0.8433	?1.2155	2.6252	2.2217	?0.7244	?0.0703
GI_6031179-A	MAP3K4	Homo sapiens mitogen-activated protein kinase kinase kinase 4 (MAP3K4), transcript variant 2, mRNA.	4216	?0.0128	?0.2442	?0.1437	1.1610	1.7231	?0.0411	?0.0223
GI_6912447-S	MORF4L2	Homo sapiens mortality factor 4 like 2 (MORF4L2), mRNA.	9643	?0.3388	0.2137	0.1885	?0.0869	?1.7160	0.1568	0.1983
GI_7108342-S	DUSP1	Homo sapiens dual specificity phosphatase 1 (DUSP1), mRNA.	1843	0.0482	0.0176	0.0762	?1.9314	?1.5557	0.2185	0.1229
GI_9910205-S	C14orf132	Homo sapiens chromosome 14 open reading frame 132 (C14orf132), mRNA.	56967	0.3039	?0.3048	?0.5351	1.3903	1.5959	?0.3821	?0.2433
