Acc	Symbol	name	Unigene	LLID	Function	Chromosome	Cytoband	0439gpr MPP vs LT	0461gpr LT vs MPP	5351gpr MPP vs LT	5352gpr LT vs MPP	5359gpr LT vs MPP	5360gpr MPP vs LT	Pass	Fold change	1/fold change	Score(d)	Numerator(r)	Denominator(s+s0)	q-value (%)
AA216971		Transcribed sequences	Mm.143248					1.8371	3.4584	2.5712	2.804	1.5738	1.4718	6	5.5403966	0.180492494	2.978270797	2.28605	0.767576274	0.289800804
AV028879				NA	G-protein coupled receptor 26		NA	2.3716	2.7071	1.6803	1.8559	1.2861	1.7907	6	4.071408639	0.245615238	2.977730404	1.948616667	0.654396605	0.289800804
AV316721	Cd69	CD69 antigen	Mm.74745	12515		6		2.0304	1.8435	2.8908	3.0588	1.5652	1.3565	6	4.823900473	0.207301126	2.901338796	2.1242	0.732144761	0.289800804
AV019967				NA	AA470251 EST:heart:Mus musculus		NA	1.9376	2.0924	1.4753	1.3753	1.5604		5	2.903206153	0.344446776	2.848814474	1.63193	0.572845306	0.289800804
AV140128	Cnn3	calponin 3, acidic	Mm.275555	71994		3	3 G1	2.0344	3.0275	3.0132	3.2859	1.2666	1.2727	6	5.816574546	0.171922494	2.823222123	2.316716667	0.820593126	0.289800804
AI840607	Cd53	CD53 antigen	Mm.2692	12508		3		1.8786	1.6284	1.9502	2.4683	1.3671	1.2805	6	3.529303457	0.283342028	2.821224191	1.762183333	0.624616554	0.289800804
BG064842	Emb	embigin	Mm.274926	13723		13	13 D2.3	1.2994	1.1243	1.9477	1.8295	1.6711	2.0429	6	3.226375837	0.309945292	2.771106765	1.652483333	0.596326116	0.289800804
AA153963	Lck	lymphocyte protein tyrosine kinase	Mm.293753	16818		4		1.9631	1.2274	1.9765	2.0811	1.1169	1.8554	6	3.365738227	0.297111639	2.75878587	1.7034	0.617445529	0.289800804
AA240645	Fnbp4	formin binding protein 4	Mm.207895	55935		2	2 E1	1.2003	2.6339	1.5379	1.6672	1.5483	2.2887	6	3.732576933	0.267911424	2.723345532	1.812716667	0.665621253	0.289800804
NA	NA	NA	NA		NA			2.7768	1.6699	1.3541	1.4306	1.4675	2.2546	6	3.804106191	0.262873839	2.689864538	1.825583333	0.678689691	0.289800804
BG073859	Ptger2	prostaglandin E receptor 2 (subtype EP2)	Mm.4630	19217		14		5.6201		2.7856	2.7872	1.989	4.2337	5	14.46078395	6.92E-02	2.653095714	3.029343333	1.141814567	0.289800804
AV109395				NA	solute carrier family 25 (mitochondrial carrier; peroxisomal		NA	1.2989	4.5365	3.9524	3.3017	1.8232	1.1577	6	9.463125126	0.105673336	2.586744206	2.6784	1.035432879	0.289800804
AV162234	H2afy	H2A histone family, member Y	Mm.283802	26914		13	13 B1	1.5362	1.1986	2.166	2.4729	1.441	1.3071	6	3.404058415	0.293766992	2.573333117	1.686966667	0.65555705	0.289800804
BG073324	D430026P16Rik	RIKEN cDNA D430026P16 gene	Mm.169755	320183		10	10 D2	2.9896	2.1519	1.6759	1.8701	0.8856	3.8997	6	6.001731076	0.166618595	2.554838994	2.245466667	0.87890731	0.289800804
BG075715	Actn2	actinin alpha 2	Mm.195067	11472		13		2.8282	1.6917	1.6346	1.8324	0.935		5	3.318406964	0.301349416	2.552342453	1.772746667	0.694556745	0.289800804
AV074346		Transcribed sequences	Mm.275252					2.144	2.402	1.4501	1.2807	1.1464	1.3181	6	3.262338891	0.306528547	2.466983738	1.62355	0.658111351	0.289800804
BG069829	Satb1	special AT-rich sequence binding protein 1	Mm.4381	20230		17	17 C	4.713	3.0032	2.8033	2.8028	1.6384		5	8.719433784	0.114686346	2.444554527	2.551098333	1.04358414	0.289800804
AA433546	Evi2a	ecotropic viral integration site 2a	Mm.164948	14017; 216984		11		2.0798	1.7411	1.0921	1.1703	1.3916	1.2978	6	2.839173935	0.352215124	2.434649636	1.462116667	0.600545	0.289800804
AI841308	Atp1b1	ATPase, Na+/K+ transporting, beta 1 polypeptide	Mm.4550	11931		1		3.0897	1.604	0.9799	1.4967	1.9627	1.3816	6	3.808468983	0.262572704	2.356104485	1.752433333	0.743784219	0.289800804
AA059687	St6gal1	beta galactoside alpha 2,6 sialyltransferase 1	Mm.149029	20440; 385641		16		2.295	2.306	0.9161	0.936	1.4637	2.0502	6	3.425441102	0.291933205	2.338977106	1.661166667	0.710210742	0.289800804
AV315554				NA			NA	2.689	2.9727	0.6308	1.381	1.8685	1.611	6	4.192962773	0.238494843	2.326912514	1.858833333	0.798841092	0.289800804
http://genome-www4.stanford.edu/cgi-bin/SMD/source/sourceResult?choice=Gene&option=Name&criteria=								1.978	2.6166	0.9793	1.2547	1.6045	1.1443	6	3.28024526	0.304855253	2.2893854	1.596233333	0.69723225	0.289800804
AV023741				NA	GTP binding protein (gene overexpressed in skeletal muscle)		NA	1.5022	0.8455	1.8318	1.922	1.2444	1.1256	6	2.755007226	0.362975454	2.287733023	1.411916667	0.61716846	0.289800804
BG067078	Slco3a1	solute carrier organic anion transporter family, member 3a1	Mm.268798	108116		7	7 C	1.9804	1.2172	1.1835	1.0833	1.1307	2.2177	6	2.91704768	0.34281236	2.263738422	1.4688	0.648838216	0.289800804
AA038306	Expi	extracellular proteinase inhibitor	Mm.1650	14038		11	11 C	2.8406	2.8318	1.7643	2.0041		1.5768	5	4.279057904	0.2336963	2.239473068	1.877636667	0.838427884	0.289800804
AV017487	Dtx4	deltex 4 homolog (Drosophila)	Mm.247695	207521		19	19 A	2.5604	2.7422	2.5572	2.7631	1.2575	0.0509	6	4.781751535	0.20912839	2.215585071	1.98855	0.897528163	0.289800804
BG064847	Emb	embigin	Mm.274926	13723		13	13 D2.3	1.3135	0.512	2.2564	2.1526	1.3091	1.9368	6	3.240358116	0.308607865	2.203725284	1.580066667	0.716998021	0.289800804
BG064651	AA408868	expreexpressed sequence AA408868	Mm.247272	80859		16	16 A1	1.8484	1.2201	1.7672	1.562	0.5043	1.6532	6	2.808488391	0.356063427	2.190197879	1.425866667	0.651021846	0.289800804
NA	NA	NA	NA		NA			1.7629	1.8225	1.9252	2.0053	0.5121	1.0236	6	3.033743157	0.329625795	2.179803265	1.5086	0.692080806	0.289800804
AA175957	Hpse	heparanase	Mm.332888	15442		5	5 E3	1.4753	1.2444	1.1905	1.3558	0.9041	0.883	6	2.284484298	0.437735554	2.160584367	1.175516667	0.544073485	0.289800804
AV007907	1110007C02Rik	RIKEN cDNA 1110007C02 gene	Mm.347985	71784		13	13 C3	1.3763	1.0986	1.0644	1.339	0.7841	1.5444	6	2.33289821	0.428651364	2.154539873	1.201133333	0.557489489	0.289800804
AV034689	Ccl9	chemokine (C-C motif) ligand 9	Mm.2271	20308		11		2.5814	2.2883	2.006	2.1288	0.2307	1.1455	6	3.774306941	0.264949305	2.148945662	1.730116667	0.805100239	0.289800804
AV061893				NA	arginase type II		NA	1.3047	1.9018	2.3246	2.478	1.2085	0.4681	6	3.413648056	0.29294174	2.130648118	1.614283333	0.757648961	0.289800804
AV087690	Sdc1	syndecan 1	Mm.2580	20969		12		2.7915	2.1671	1.2955	1.9346	0.2884	1.5757	6	3.649019549	0.274046216	2.109322926	1.675466667	0.794314918	0.289800804
AV007959	F630021I08Rik	RIKEN cDNA F630021I08 gene	Mm.31869	268512		11	11 E2	1.569	1.6031	0.7419	0.8741	1.2827	1.4858	6	2.45730802	0.40694939	2.109189121	1.259433333	0.59711731	0.289800804
BG074205				NA			NA	1.7202	2.1035	2.1455	1.942	1.3378	0.1903	6	3.254636625	0.307253963	2.102583403	1.573216667	0.748230327	0.289800804
AV000480	Kmo	kynurenine 3-monooxygenase (kynurenine 3-hydroxylase)	Mm.27217	98256		1	1 H4	2.7844	2.0352	1.3593	1.4591	0.9678	0.8035	6	3.334076579	0.299933123	2.101528671	1.568216667	0.746226634	0.289800804
AA124573	Edg2	endothelial differentiation, lysophosphatidic acid G-protein-coupled receptor, 2	Mm.4772	14745		4		1.8148	2.1104	2.0585	1.5656	0.5136	0.8682	6	3.035791048	0.329403435	2.082948611	1.488516667	0.714619967	0.289800804
BG067028				NA			NA	1.3189	1.2392	1.0831	0.9609	1.1376	0.7869	6	2.141008615	0.467069583	2.072071895	1.087766667	0.524965697	0.289800804
NA	NA	NA	NA		NA			1.3775	1.1337	1.5524	1.7616	0.4258	1.9333	6	2.713127776	0.368578291	2.047292605	1.36405	0.666270174	0.289800804
NA	NA	NA	NA		NA			0.7543	0.9259	2.0503	2.2955	1.1781	1.3468	6	2.907350516	0.343955775	2.038914011	1.42515	0.698975039	0.289800804
BG071673	Camk1d	calcium/calmodulin-dependent protein kinase ID	Mm.313822	227541		2	2 A1	2.6016	2.2477	1.2538	1.0822	1.0336	0.8312	6	3.191180847	0.313363626	2.025213655	1.50835	0.744785616	0.289800804
AA155094	Mpeg1	macrophage expressed gene 1	Mm.3999	17476		19	19 A	1.4988	3.0853	2.501	2.6969	1.4337	-0.1072	6	4.514660794	0.221500583	2.007540276	1.851416667	0.922231394	0.289800804
AV048950	Plac8	placenta-specific 8	Mm.34609	231507		5		1.2935	1.2624	0.935	1.2411	0.9491	0.7583	6	2.12466777	0.47066182	1.99885571	1.073233333	0.536923865	0.289800804
AV013636	Wbscr5	Williams-Beuren syndrome chromosome region 5 homolog (human)	Mm.23955	56743		5	5 G2	0.5299	1.3382	1.7957	1.9597	1.7186	0.8224	6	2.732224925	0.366002078	1.997204096	1.36075	0.681327463	0.289800804
AA105984	Alb1	albumin 1	Mm.16773	NA			NA	1.2298	2.167	1.153	1.0568	0.8881	1.0791	6	2.517292615	0.397252188	1.993590711	1.2623	0.633179114	0.289800804
AV084040	4930541M15Rik	RIKEN cDNA 4930541M15 gene	Mm.144143	67886		1	1 E4	1.9922	2.5362	0.7116	2.0467	0.5854	1.2948	6	3.250354323	0.307658766	1.988491099	1.527816667	0.768329648	0.289800804
AW553287				NA			NA	2.2548	1.7284	1.1892	1.035	0.5413	3.1388	6	3.779808958	0.264563636	1.986244684	1.647916667	0.829664482	0.289800804
BE623181	Lck	lymphocyte protein tyrosine kinase	Mm.293753	16818		4		1.5063	2.253	1.3253	1.5108	0.2494	3.101	6	3.788651885	0.263946129	1.980722497	1.657633333	0.836883175	0.289800804
BF658702	Ccr9	chemokine (C-C motif) receptor 9	Mm.42258	NA			NA	2.1045	2.5688	0.4211	0.7935	1.7368	1.4279	6	3.221560847	0.31040854	1.947925095	1.508766667	0.774550659	0.289800804
BG071096		Transcribed sequences	Mm.173371					1.4507	1.5587	1.5994	1.4708	0.717	0.5832	6	2.437191053	0.410308416	1.946540799	1.229966667	0.631873047	0.289800804
AV070828	Rpl7	ribosomal protein L7	Mm.282053	19989; 380695; 381646		1	1 A3		3.1125	1.6202	2.0689	1.3967	0.8867	5	3.566761906	0.280366345	1.93349112	1.595043333	0.824955086	0.289800804
BG072577	Pepp3	phosphoinositol 3-phosphate-binding protein-3	Mm.253559	240753		1	1 E4	1.6866	1.6976	1.063	1.1364	0.6549	0.9211	6	2.36970597	0.421993282	1.931520965	1.193266667	0.617786029	0.289800804
AI851058	Rasgrp2	RAS, guanyl releasing protein 2	Mm.77017	NA			NA	1.0915	1.6793	1.2445	1.2547	0.4231	1.517	6	2.381996337	0.419815927	1.924736486	1.201683333	0.624336548	0.289800804
AV005025	Nsg2	neuron specific gene family member 2	Mm.3304	18197	neuron specific gene family member 2	11	11 A4	1.3016	2.2423	2.2004	2.4267	0.4619	0.5918	6	3.342283133	0.299196675	1.912686244	1.53745	0.803817147	0.289800804
AA060966	Nsg2	neuron specific gene family member 2	Mm.3304	18197		11	11 A4	1.9743	1.9015	1.5633	2.0555		0.4769	5	2.861551182	0.349460812	1.90091425	1.41503	0.744394441	0.289800804
BG075800	St6gal1	beta galactoside alpha 2,6 sialyltransferase 1	Mm.149029	20440; 385641		16		3.0402	1.8953	0.712	0.8764	1.2533	1.2866	6	3.37388193	0.296394486	1.900506305	1.510633333	0.794858365	0.289800804
BG067155	5930433N17Rik	RIKEN cDNA 5930433N17 gene	Mm.16930	NA			NA	2.3528	1.9267	1.4658	1.4372	0.0705	1.4006	6	3.01171677	0.332036535	1.89821508	1.442266667	0.759801501	0.289800804
AU022992	Centd1	centaurin, delta 1	Mm.244403	212285		5	5 C3.1	1.9256	0.6969	1.0802	0.8316	1.0571	1.8539	6	2.501576368	0.39974794	1.88055049	1.240883333	0.659851113	0.289800804
AI893411				NA			NA	1.4976	1.045	1.9358	2.2162	0.3972	0.9551	6	2.769222818	0.361112148	1.858815002	1.34115	0.721508057	0.289800804
BG072097		9.5 days embryo parthenogenote cDNA, RIKEN full-length enriched library, clone:B130008C17 product:unclassifiable, full insert sequence	Mm.166304					1.8705	1.4675	0.9626	0.7655	1.285	0.6852	6	2.352589808	0.425063475	1.855583557	1.172716667	0.631993457	0.289800804
AI851021	Dhrs3	dehydrogenase/reductase (SDR family) member 3	Mm.14063	20148		4	4 E1	1.5827	1.9845	2.5209	2.3997	0.0781	0.7452	6	3.450120315	0.289844964	1.845624347	1.55185	0.840826576	0.289800804
BG075490		Transcribed sequences	Mm.39181					2.433	2.1542	1.6488	1.6977	0.0598	0.8737	6	3.184268004	0.314043918	1.839691221	1.477866667	0.803323215	0.289800804
AV070800				NA			NA	1.9008	2.1207	1.4668	1.7014	0.3018	0.6471	6	2.816365821	0.35506751	1.827449664	1.356433333	0.742254827	0.289800804
AV134137				NA	AB029001 KIAA1078 protein:brain:Homo sapiens		NA	2.9875	1.8943	1.6636	1.9276	-0.3665	1.6392	6	3.751878638	0.266533142	1.818677418	1.624283333	0.893112389	0.289800804
BG075802		Transcribed sequences	Mm.138715					0.7662	1.4063	1.057	1.0928	1.1114	0.6439	6	2.047987524	0.488284225	1.817361925	1.012933333	0.557364672	0.289800804
AV017583	A630084M22Rik	RIKEN cDNA A630084M22 gene	Mm.27968	320982		1	1 D	1.08	0.7822	1.3108	1.288	0.5463	1.241	6	2.096738312	0.476931238	1.815046379	1.041383333	0.573750261	0.289800804
AV018166				NA	AI482223 EST:Kidney:Mus musculus		NA	0.797	0.9351	0.8735	0.8234	1.5837	1.2048	6	2.09226836	0.477950161	1.814311734	1.03625	0.571153226	0.289800804
AV083754				NA	AA688699 EST:Barstead mouse irradiated colon MPLRB7:Mus musc		NA	1.2668	1.3146	0.9957	1.4082	1.1703	0.3727	6	2.181178444	0.458467762	1.811971427	1.08805	0.600478564	0.289800804
AV103442				NA	AA197978 EST:kidney:Mus musculus		NA	0.7504	0.9118	0.9388	1.2553	0.9533	0.814	6	1.927021215	0.518935646	1.810946362	0.937266667	0.517556282	0.289800804
BG073298		Adult male urinary bladder cDNA, RIKEN full-length enriched library, clone:9530023M19 product:unknown EST, full insert sequence	Mm.162040					1.2645	0.4012	1.266	1.345	0.8796	1.3648	6	2.180592836	0.458590886	1.807432093	1.08685	0.60132273	0.289800804
AW545830				NA			NA	1.378	0.6716	1.048	1.1545	0.6443	1.3895	6	2.111418186	0.47361532	1.804150683	1.04765	0.580688747	0.289800804
BG067190	Ankrd6	ankyrin repeat domain 6	Mm.214766	140577		4	4 A5	1.7493	1.0236	1.7602	1.3381	0.1612	1.4248	6	2.518926923	0.396994447	1.800684418	1.242866667	0.690219038	0.289800804
BG074640	Il10ra	interleukin 10 receptor, alpha	Mm.26658	16154		9		1.8334	2.0243	1.7008	1.8916	-0.3656	1.6527	6	3.085557013	0.324090592	1.787283238	1.4562	0.814756144	0.289800804
AV091086				NA	CDC-like kinase 3		NA	1.6691	2.3789	2.0887	2.0609	0.4081	0.2023	6	3.214190154	0.311120361	1.77648135	1.468	0.82635261	0.289800804
BG065503	Itgb5	integrin beta 5	Mm.6424	16419		16	16 A1	1.3128	1.709	1.6467	1.6392		1.0072	5	2.501612716	0.399742132	1.776435727	1.237573333	0.696660912	0.289800804
BG074426		Transcribed sequences	Mm.182966					1.0199	1.0815	1.7624	1.8073		1.3566	5	2.432885062	0.411034625	1.764720904	1.208676667	0.684910948	0.289800804
BG075237	Smarcc1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 1	Mm.85410	20588		9	9 F2	1.0142	1.182	0.6653	0.7975	0.8159	1.2418	6	1.956334722	0.511159971	1.763164089	0.952783333	0.540382679	0.289800804
BG075680	0610010D24Rik	RIKEN cDNA 0610010D24 gene	Mm.156217	NA			NA	0.7248	1.2721	1.7131	1.6506	0.9076	0.5148	6	2.298467649	0.435072471	1.743865795	1.1305	0.648272363	0.289800804
NA	NA	NA	NA		NA			0.824	0.8773	1.0073	1.1053	0.5799	1.0957	6	1.900122777	0.526281781	1.733257279	0.914916667	0.5278597	0.486538814
AV041829				NA	1700019O07		NA	2.2535	1.7724	0.9066	1.2737	0.3701	0.9292	6	2.612282266	0.382807024	1.733178111	1.250916667	0.721747326	0.486538814
AI851510	Ccr5	chemokine (C-C motif) receptor 5	Mm.14302	12774		9		2.9158	2.4771	0.6261	1.1412		0.7741	5	3.262230894	0.306538695	1.730206316	1.463923333	0.846097555	0.486538814
AV085253				NA	AU044521 EST:Mouse sixteen-cell-embryo cDNA:Mus musculus		NA	0.9717	0.7965	1.3445	1.3198	0.4341	1.9345	6	2.3178822	0.43142831	1.721497252	1.133516667	0.658448142	0.486538814
NA	NA	NA	NA		NA			1.2306	1.5923	0.5495	0.9391	0.954	0.82	6	2.074249153	0.482102161	1.71081436	1.01425	0.592846322	0.486538814
AW544616	Atp1b1	ATPase, Na+/K+ transporting, beta 1 polypeptide	Mm.4550	11931		1		2.298	0.9846	1.7262	1.3831	-0.1321	1.9218	6	2.919135276	0.342567201	1.71006326	1.3636	0.797397401	0.486538814
AV060194				NA	AA282579 EST:germinal center B cell:Homo sapiens		NA	1.6719	0.4772	1.6456	1.5874	0.4585	1.1071	6	2.37341096	0.421334534	1.702215499	1.15795	0.68026052	0.486538814
AV060618				NA	M60921 PC3 NGF-inducible anti-proliferative putative:Okayama		NA	1.9332	1.1777	2.1523	2.6767		0.7524	5	3.267506827	0.306043737	1.69851931	1.44668	0.851730087	0.486538814
NA	NA	NA	NA		NA			0.9462	1.0548	1.7462	2.0795	0.5903	0.6457	6	2.442603985	0.409399152	1.697273642	1.177116667	0.693533817	0.486538814
BG068045	Galnt3	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 3	Mm.38441	14425		2	2 C1.3	2.5326	1.6407	1.2443	0.8237		2.0031	5	3.008647578	0.332375253	1.696276685	1.37571	0.811017455	0.486538814
AA178155	Ccl4	chemokine (C-C motif) ligand 4	Mm.244263	20303		11		0.8571	0.5385	1.2752	1.6109	0.6315	1.5004	6	2.186164726	0.457422073	1.689937943	1.068933333	0.632528157	0.486538814
NA	NA	NA	NA		NA			0.5814	0.8474	1.0185	1.0507	0.7828	0.917	6	1.83359231	0.545377506	1.67682745	0.8663	0.516630378	0.486538814
AA116865	Mgat1	mannoside acetylglucosaminyltransferase 1	Mm.196933	17308		11		0.5909	0.6553	1.5211	1.1467	0.8879	1.108	6	2.028540513	0.492965259	1.67511845	0.984983333	0.58800817	0.486538814
AV134168				NA	AA000608 EST:embryo:Mus musculus		NA	0.5777	2.4226	1.2058	1.642	1.0868	0.4958	6	2.635931897	0.379372472	1.674853647	1.23845	0.739437743	0.486538814
AA175957	Hpse	heparanase	Mm.332888	15442		5	5 E3	1.3882	0.8507	1.109	1.2439	1.0849	0.332	6	2.054370039	0.486767223	1.672298359	1.00145	0.598846488	0.486538814
BG073772	Ckap4	cytoskeleton-associated protein 4	Mm.334999	NA			NA	1.9929	1.3179	0.9869	0.9379	0.4744	0.8706	6	2.264802566	0.441539591	1.670083226	1.096766667	0.656713779	0.486538814
BG071274	Stag1	stromal antigen 1	Mm.42135	20842		9	9 E4	0.7462	1.2626	0.9552	0.8272	0.5851	1.0924	6	1.903693474	0.525294652	1.668867838	0.91145	0.5461487	0.486538814
AV015341		Transcribed sequences	Mm.214924					1.0667	1.4493	0.9769	1.1381	0.7624	0.4417	6	2.008174542	0.497964684	1.658111956	0.972516667	0.586520508	0.486538814
BG074901	Timeless	timeless homolog (Drosophila)	Mm.6458	21853		10		1.5734	0.8923	0.9447	1.0707	0.9728	0.4403	6	2.02949313	0.492733868	1.651797086	0.982366667	0.594725996	0.486538814
AV104375				NA	X77158 transferrin:mammary gland:Rattus norvegicus		NA	1.118	1.6601	0.964	0.8025	1.1321	0.4079	6	2.090700572	0.47830857	1.648049293	1.0141	0.615333536	0.486538814
AV001452	Egfl7	EGF-like domain 7	Mm.268933	353156		2	2 A3	1.2196	0.6208	1.6689	1.7964	0.4876	0.8171	6	2.280627465	0.438475821	1.643128343	1.101733333	0.670509603	0.486538814
http://genome-www4.stanford.edu/cgi-bin/SMD/source/sourceResult?choice=Gene&option=Name&criteria=								0.8902	0.5907	1.4783	1.3484	0.5936	0.988	6	2.03072489	0.492434995	1.640474163	0.981533333	0.598322946	0.619813202
AV017266	Cst7	cystatin F (leukocystatin)	Mm.12965	13011	cystatin 7	2	2 G1-G3	2.7563	1.6907	1.0385	2.2028	-0.2173	1.0527	6	3.262856282	0.306479941	1.629346981	1.420616667	0.87189327	0.619813202
AA543529	Il1b	interleukin 1 beta	Mm.222830	16176		2		0.7339	0.6305	1.9589	1.8752	0.5932	1.0179	6	2.383494661	0.41955202	1.618451681	1.134933333	0.70124635	0.619813202
BG075352	Pdgfa	platelet derived growth factor, alpha	Mm.2675	18590		5		1.4451	1.6805	0.882	0.9071	0.2027	1.2729	6	2.202287677	0.454073285	1.613910381	1.06505	0.659918923	0.619813202
http://genome-www4.stanford.edu/cgi-bin/SMD/source/sourceResult?choice=Gene&option=Name&criteria=								1.3999	1.0466	1.5782	1.4925	0.695	0.2074	6	2.212951816	0.451885121	1.609577776	1.069933333	0.664729191	0.619813202
NA	NA	NA	NA		NA			1.5529	1.3578	1.4863	1.8469	0.1	0.5839	6	2.411105345	0.414747536	1.606330671	1.154633333	0.718801773	0.619813202
NA	NA	NA	NA		NA			1.8958	1.618	0.9987	1.1599	0.2221		5	2.198303858	0.454896168	1.605746627	1.10983	0.691161346	0.619813202
BG071185	Baiap2	brain-specific angiogenesis inhibitor 1-associated protein 2	Mm.197534	108100		11	11 E2	1.1743	0.9902	0.9069	0.9108	0.3513	1.7842	6	2.119729615	0.471758281	1.602859168	1.019616667	0.636123677	0.619813202
BG068533	Rgs2	regulator of G-protein signaling 2	Mm.28262	19735		1		0.7573	0.6054	1.3031	1.4903	0.6194	0.935	6	1.989485133	0.50264261	1.593924104	0.95175	0.597111241	0.619813202
BG073280	Pycr1	pyrroline-5-carboxylate reductase 1	Mm.127731	209027		11	11 E2	1.2344	1.7433	0.7583	0.5247	0.72	1.0044	6	2.080709593	0.480605272	1.59305656	0.997516667	0.626165255	0.619813202
NA	NA	NA	NA		NA			0.8953	0.5536	1.7149	1.6134	0.4491	1.0927	6	2.194686047	0.455646037	1.591373087	1.053166667	0.66179746	0.619813202
BG071476	Map4k4	mitogen-activated protein kinase kinase kinase kinase 4	Mm.19073	26921		1		1.23	0.6784	1.2221	1.4167	0.1667	1.9237	6	2.310845311	0.432742077	1.591114882	1.106266667	0.695277682	0.619813202
