Probe ID	Gene Symbol	Chromosomal location	Representative public ID	Score	Fold Change	q-value	Sam
221737_at	GNA12	Chr:7p22-p21	AK024696	-5.58015	0.582	0.109866	cluster4
200951_s_at	CCND2	Chr:12p13	AW026491	-8.77631	0.46203	0.007223	cluster5
200952_s_at	CCND2	Chr:12p13	AI635187	-9.53799	0.44661	0.007223	cluster5
200953_s_at	CCND2	Chr:12p13	NM_001759	-11.5001	0.35312	0.007223	cluster5
201416_at	SOX4	Chr:6p22.3	BG528420	-11.5336	0.20533	0.007223	cluster5
201417_at	SOX4	Chr:6p22.3	AL136179	-12.9863	0.32733	0.007223	cluster5
201418_s_at	SOX4	Chr:6p22.3	NM_003107	-11.9037	0.22492	0.007223	cluster5
201502_s_at	NFKBIA	Chr:14q13	AI078167	6.590968	1.76399	0.007223	cluster5
201531_at	ZFP36	Chr:19q13.1	NM_003407	7.422244	2.05369	0.007223	cluster5
201642_at	IFNGR2	Chr:21q22.11	NM_005534	14.56519	2.41487	0.007223	cluster5
201850_at	CAPG	Chr:2cen-q24	NM_001747	7.993042	2.29281	0.007223	cluster5
202431_s_at	MYC	Chr:8q24.12-q24.13	NM_002467	-5.63819	0.48789	0.007223	cluster5
203233_at	IL4R	Chr:16p11.2-12.1	NM_000418	7.261545	1.7594	0.007223	cluster5
204798_at	MYB	Chr:6q22-q23	NM_005375	-9.95545	0.53777	0.007223	cluster5
205839_s_at	BZRAP1	Chr:17q22-q23	NM_004758	-6.00885	0.43609	0.007223	cluster5
206848_at	HOXA7	Chr:7p15-p14	NM_006896	-5.82001	0.65702	0.007223	cluster5
209083_at	CORO1A	Chr:16p12.1	U34690	6.892547	1.54644	0.007223	cluster5
209360_s_at	RUNX1	Chr:21q22.3	D43968	-6.9464	0.56382	0.007223	cluster5
210347_s_at	BCL11A	Chr:2p16.1	AF080216	-8.78169	0.55639	0.007223	cluster5
210365_at	RUNX1	Chr:21q22.3	D43967	-5.02121	0.49988	0.007223	cluster5
210457_x_at	HMGA1	Chr:6p21	AF176039	-4.15967	0.64938	0.007223	cluster5
211181_x_at	RUNX1	Chr:21q22.3	AF312386	-5.98028	0.65861	0.007223	cluster5
211182_x_at	RUNX1	Chr:21q22.3	AF312387	-5.80657	0.62136	0.007223	cluster5
212678_at	NF1	Chr:17q11.2	AW054826	-7.47561	0.65009	0.007223	cluster5
213668_s_at	SOX4	Chr:6p22.3	AI989477	-11.4895	0.21272	0.007223	cluster5
216115_at	NF1	Chr:17q11.2	AK024873	-5.87653	0.62879	0.007223	cluster5
219497_s_at	BCL11A	Chr:2p16.1	NM_022893	-9.99353	0.35396	0.007223	cluster5
219498_s_at	BCL11A	Chr:2p16.1	NM_018014	-8.97192	0.38682	0.007223	cluster5
201418_s_at	SOX4	Chr:6p22.3	NM_003107	4.276538	3.14639	4.740829	cluster6
204069_at	MEIS1	Chr:2p14-p13	NM_002398	4.209676	2.92887	4.740829	cluster6
209083_at	CORO1A	Chr:16p12.1	U34690	-6.95521	0.32373	2.966827	cluster6
210365_at	RUNX1	Chr:21q22.3	D43967	4.236101	2.43742	4.740829	cluster6
213668_s_at	SOX4	Chr:6p22.3	AI989477	4.090032	3.1861	4.740829	cluster6
216115_at	NF1	Chr:17q11.2	AK024873	4.753835	1.93567	4.740829	cluster6
201642_at	IFNGR2	Chr:21q22.11	NM_005534	-4.77351	0.54067	0.313333	cluster7
201850_at	CAPG	Chr:2cen-q24	NM_001747	-4.49183	0.30606	0.388733	cluster7
203233_at	IL4R	Chr:16p11.2-12.1	NM_000418	-4.56468	0.50859	0.388733	cluster7
204720_s_at	DNAJC6	Chr:1pter-q31.3	AV729634	11.65655	3.91234	0.08945	cluster7
207042_at	E2F2	Chr:1p36	NM_004091	9.721735	1.85923	0.08945	cluster7
209083_at	CORO1A	Chr:16p12.1	U34690	-6.70922	0.47431	0.08945	cluster7
204720_s_at	DNAJC6	Chr:1pter-q31.3	AV729634	6.391009	2.27355	0.176631	cluster8
205590_at	RASGRP1	Chr:15q15	NM_005739	5.918742	2.77668	0.176631	cluster8
207042_at	E2F2	Chr:1p36	NM_004091	6.819491	1.64928	0.176631	cluster8
200951_s_at	CCND2	Chr:12p13	AW026491	5.291097	1.7826	0.102831	cluster9
200953_s_at	CCND2	Chr:12p13	NM_001759	4.47096	1.67628	0.367599	cluster9
201531_at	ZFP36	Chr:19q13.1	NM_003407	4.726448	1.86539	0.245419	cluster9
208206_s_at	RASGRP2	Chr:11q13	NM_005825	-4.47897	0.66196	0.102831	cluster9
208978_at	CRIP2	Chr:14q32.3	U36190	4.879409	1.81256	0.180922	cluster9
209193_at	PIM1	Chr:6p21.2	M24779	-8.10095	0.30592	0.102831	cluster9
209905_at	HOXA9	Chr:7p15-p14	AI246769	-6.32229	0.09565	0.102831	cluster9
211823_s_at	PXN	Chr:12q24.31	D86862	4.700781	1.61585	0.245419	cluster9
214651_s_at	HOXA9	Chr:7p15-p14	U41813	-5.38935	0.11519	0.102831	cluster9
200951_s_at	CCND2	Chr:12p13	AW026491	4.867393	1.69205	0.219063	cluster10
200952_s_at	CCND2	Chr:12p13	AI635187	5.190713	1.78346	0.124421	cluster10
200953_s_at	CCND2	Chr:12p13	NM_001759	4.29877	1.65182	0.546378	cluster10
205397_x_at	MADH3	Chr:15q21-q22	U76622	4.19361	1.68785	0.568027	cluster10
206589_at	GFI1	Chr:1p22	NM_005263	-5.21149	0.43375	0.124421	cluster10
210347_s_at	BCL11A	Chr:2p16.1	AF080216	4.197065	1.50257	0.568027	cluster10
218902_at	NOTCH1	Chr:9q34.3	NM_017617	6.417063	1.84954	0.124421	cluster10
219497_s_at	BCL11A	Chr:2p16.1	NM_022893	4.76718	2.08601	0.219063	cluster10
219498_s_at	BCL11A	Chr:2p16.1	NM_018014	5.608067	2.34501	0.124421	cluster10
200951_s_at	CCND2	Chr:12p13	AW026491	4.592904	1.89648	0.353931	cluster12
200952_s_at	CCND2	Chr:12p13	AI635187	4.079838	1.94208	0.585204	cluster12
200953_s_at	CCND2	Chr:12p13	NM_001759	4.387883	1.95396	0.431858	cluster12
201416_at	SOX4	Chr:6p22.3	BG528420	-4.53662	0.29855	0.238247	cluster12
201502_s_at	NFKBIA	Chr:14q13	AI078167	-4.35022	0.45802	0.324465	cluster12
204069_at	MEIS1	Chr:2p14-p13	NM_002398	-5.92462	0.17345	0.110712	cluster12
205839_s_at	BZRAP1	Chr:17q22-q23	NM_004758	7.303262	3.15675	0.110712	cluster12
206589_at	GFI1	Chr:1p22	NM_005263	4.441716	1.79821	0.431858	cluster12
209905_at	HOXA9	Chr:7p15-p14	AI246769	-5.28398	0.11417	0.110712	cluster12
210457_x_at	HMGA1	Chr:6p21	AF176039	-5.49581	0.4307	0.110712	cluster12
211181_x_at	RUNX1	Chr:21q22.3	AF312386	-4.33055	0.61368	0.324465	cluster12
211823_s_at	PXN	Chr:12q24.31	D86862	-4.35365	0.50275	0.324465	cluster12
212983_at	HRAS	Chr:11p15.5	NM_005343	5.510038	1.54635	0.110712	cluster12
214651_s_at	HOXA9	Chr:7p15-p14	U41813	-5.80905	0.09689	0.110712	cluster12
201850_at	CAPG	Chr:2cen-q24	NM_001747	-10.5081	0.13601	0.080713	cluster13
204069_at	MEIS1	Chr:2p14-p13	NM_002398	-6.7298	0.17043	0.080713	cluster13
206589_at	GFI1	Chr:1p22	NM_005263	5.890629	1.9985	0.080713	cluster13
208978_at	CRIP2	Chr:14q32.3	U36190	7.985316	2.83633	0.080713	cluster13
209905_at	HOXA9	Chr:7p15-p14	AI246769	-6.36959	0.0905	0.080713	cluster13
214651_s_at	HOXA9	Chr:7p15-p14	U41813	-7.09166	0.06595	0.080713	cluster13
217263_x_at	RUNX1	Chr:21q22.3	S76346	4.741054	1.51734	0.264067	cluster13
219255_x_at	IL17RB	Chr:3p21.1	NM_018725	11.39733	2.09016	0.080713	cluster13
221969_at	---	Chr:9p13	BF510692	8.102778	2.14846	0.080713	cluster13
221737_at	GNA12	Chr:7p22-p21	AK024696	-5.83916	0.46807	1.538688	cluster15
203004_s_at	MEF2D	Chr:1q12-q23	NM_005920	5.514254	1.74084	3.696979	cluster16
212676_at	NF1	Chr:17q11.2	AW293356	-4.75152	0.59018	3.696979	cluster16
