Unigene	Symbol	Description	Functions	Fold change	P
Hs.201967	AKR1C2	Aldo-keto reductase family 1, member C2	Metabolism	3.37	0.04
Hs.44481	FOXF2	Forkhead box F2	Transcription factor	3.33	0.001
Hs.80684	HMGB2	High-mobility group (nonhistone chromosomal) protein 2	DNA-binding protein	3.33	0.002
Hs.15154	SRPX	Sushi-repeat-containing protein, X chromosome	Membrane protein	3.31	0
Hs.170171	GLUL	Glutamate-ammonia ligase (glutamine synthase)	Metabolism	3.23	0
Hs.342874	TGFBR3	Transforming growth factor  receptor III	Receptor	3.23	0.001
Hs.323469	CAV1	Caveolin 1, caveolae protein, 22 kDa	ECM	3.19	0.025
Hs.288555		FLJ22425	?	3.17	0.022
Hs.78183	AKR1C3	Aldo-keto reductase family 1, member C3	Metabolism	3.16	0.032
Hs.1547	KCNJ2	Potassium inwardly rectifying channel, subfamily J, member 2	Ion channel	3.14	0.037
Hs.108884	KIAA0390	KIAA0390 gene product	?	3.13	0.029
Hs.17409	SLC38A6	Solute carrier family 38, member 6	Transporter	3.12	0.006
Hs.10684		EST	?	3.11	0.037
Hs.80988	COL6A3	Collagen, type VI,  3	ECM	3.1	0.022
Hs.297405	MLPH	Melanophilin	Melanosome transport	3.09	0.02
Hs.75319	RRM2	Ribonucleotide reductase M2 polypeptide	DNA synthesis	3.09	0.006
Hs.77695	KIAA0008	KIAA0008 gene product	?	3.06	0.015
Hs.77695	FLJ10829	Hypothetical protein FLJ10829	?	3.06	0.021
Hs.48998	FLRT2	Fibronectin leucine-rich transmembrane protein 2	Cell adhesion	3.05	0.001
Hs.115521	REV3L	REV3-like, catalytic subunit of DNA polymerase  (yeast)	DNA synthesis	3.04	0.029
Hs.77293	KIAA0127	KIAA0127	?	3.02	0.023
Hs.193602	HCAP-G	Chromosome condensation protein G	Chromosome maintenance	3	0.008
