Grp1 Mean	Grp1 SEM	Grp2 Mean	Grp2 SEM	Ratio	Direction	p-value	Gene Identifier	Other ID	Gene Name	UG Cluster	LocusLink	Gene ID
4.967283	0.177241	6.421873	0.172554	2.74	Up	0.004179505	AK022893	233016_at	Homo sapiens, clone IMAGE:4214313, mRNA	Hs.288478	-	-
4.730453	0.1156	6.119053	0.2067	2.62	Up	0.004224095	AK026815	212325_at	DKFZP686A01247 hypothetical protein	Hs.335163	22998	DKFZP686A01247
7.74477	0.122117	6.369723	0.086434	2.59	Down	0.000778415	AK022686	216319_at	CDNA FLJ12624 fis, clone NT2RM4001754	Hs.636868	-	-
6.67825	0.084095	8.041747	0.372384	2.57	Up	0.023342455	AW966474	227182_at	Sushi domain containing 3	Hs.88417	203328	SUSD3
7.661607	0.20267	6.310283	0.293636	2.55	Down	0.019310851	AW274018	231192_at	Endothelial differentiation, lysophosphatidic acid G-protein-coupled receptor, 7	Hs.527909	23566	EDG7
5.035907	0.106402	6.369093	0.098363	2.52	Up	0.000775236	BE466578	237203_at	Homo sapiens, clone IMAGE:4214313, mRNA	Hs.288478	-	-
4.59222	0.266796	5.91399	0.261762	2.5	Up	0.024091824	AA927670	239519_at	Neuropilin 1	Hs.131704	8829	NRP1
6.18535	0.150474	7.48158	0.079899	2.46	Up	0.001601671	NM_017596	204411_at	Kinesin family member 21B	Hs.169182	23046	KIF21B
4.69902	0.068377	5.973977	0.153288	2.42	Up	0.001611553	NM_002193	205258_at	Inhibin, beta B (activin AB beta polypeptide)	Hs.1735	3625	INHBB
4.612727	0.09285	5.881847	0.126486	2.41	Up	0.001269691	NM_002147	205600_x_at	Homeobox B5	Hs.98428	3215	HOXB5
4.95061	0.234419	6.17412	0.277624	2.34	Up	0.028115126	BF062550	230105_at	Homeobox B13	Hs.66731	10481	HOXB13
4.81216	0.073404	6.031373	0.086333	2.33	Up	0.000423121	AI765554	239612_at	Transcribed locus	Hs.634954	-	-
9.74799	0.042411	8.534837	0.162954	2.32	Down	0.001967255	AW594320	228245_s_at	Ovostatin 2	Hs.524331	144203	OVOS2
7.598503	0.187622	6.38864	0.386798	2.31	Down	0.048106852	BF057731	239975_at	Major histocompatibility complex, class II, DP beta 1	Hs.485130	3115	HLA-DPB1
7.151357	0.156778	5.98049	0.207292	2.25	Down	0.010781024	AF270513	224374_s_at	Elastin microfibril interfacer 2	Hs.532815	84034	EMILIN2
9.361897	0.05775	8.2192	0.134007	2.21	Down	0.001435838	AF232772	223541_at	Hyaluronan synthase 3	Hs.592069	3038	HAS3
6.748517	0.270795	7.890827	0.053053	2.21	Up	0.014380432	AU146021	232478_at	Nuclear receptor subfamily 6, group A, member 1	Hs.586460	2649	NR6A1
6.510523	0.023634	7.649313	0.069601	2.2	Up	0.000101309	BG402859	242738_s_at	-	-	-	-
5.420267	0.056846	6.534193	0.118704	2.16	Up	0.00106794	AI050866	230916_at	Nodal homolog (mouse)	Hs.370414	4838	NODAL
8.460233	0.02654	9.573633	0.390098	2.16	Up	0.046510029	BG290193	222760_at	Zinc finger protein 703	Hs.288042	80139	ZNF703
4.719403	0.137063	5.828667	0.368031	2.16	Up	0.047608749	NM_015854	208412_s_at	retinoic acid receptor, beta	-	5915	-
4.51472	0.119712	5.619793	0.170334	2.15	Up	0.00605478	AU147177	232997_at	Transcribed locus	Hs.613670	-	-
5.43378	0.345788	6.53096	0.171362	2.14	Up	0.046724159	N69091	228863_at	Protocadherin 17	Hs.106511	27253	PCDH17
9.077133	0.16135	7.998693	0.270048	2.11	Down	0.026579241	AI110886	228128_x_at	Pregnancy-associated plasma protein A, pappalysin 1	Hs.652381	5069	PAPPA
9.205377	0.072642	8.139787	0.346167	2.09	Down	0.039447998	NM_018846	220239_at	Kelch-like 7 (Drosophila)	Hs.385861	55975	KLHL7
6.15452	0.057043	5.1082	0.308151	2.07	Down	0.028869222	AI197932	229498_at	Transcribed locus	Hs.603756	-	-
9.043047	0.06676	8.01499	0.200392	2.04	Down	0.008236041	AI738919	223611_s_at	Ligand of numb-protein X 1	Hs.555109	84708	LNX1
6.63289	0.104349	5.60663	0.240695	2.04	Down	0.017365557	BG620958	1559400_s_at	Pregnancy-associated plasma protein A, pappalysin 1	Hs.652381	5069	PAPPA
6.233407	0.236601	7.25915	0.2314	2.04	Up	0.036241731	NM_024064	218764_at	protein kinase C, eta	-	5583	-
6.689537	0.091551	7.709393	0.345092	2.03	Up	0.046091806	NM_016569	219682_s_at	T-box 3 (ulnar mammary syndrome)	Hs.129895	6926	TBX3
11.007133	0.208341	9.990737	0.171949	2.02	Down	0.019730876	NM_001124	202912_at	Adrenomedullin	Hs.441047	133	ADM
6.49894	0.035301	5.48557	0.153661	2.02	Down	0.003012894	AI718937	212192_at	Potassium channel tetramerisation domain containing 12	Hs.652146	115207	KCTD12
6.4169	0.126969	7.427557	0.068578	2.01	Up	0.002187935	NM_006885	208033_s_at	AT-binding transcription factor 1	Hs.461285	463	ATBF1
7.877023	0.158931	8.87167	0.10462	1.99	Up	0.006394965	U71075	211320_s_at	Protein tyrosine phosphatase, receptor type, U	Hs.19718	10076	PTPRU
5.971213	0.173639	4.97689	0.120257	1.99	Down	0.009256128	AA463626	229103_at	Wingless-type MMTV integration site family, member 3	Hs.445884	7473	WNT3
8.28339	0.108426	7.303693	0.312776	1.97	Down	0.041575675	AI636080	229797_at	Mucolipin 3	Hs.535239	55283	MCOLN3
5.515947	0.166887	6.493527	0.189126	1.97	Up	0.017905849	AV727449	203845_at	P300/CBP-associated factor	Hs.533055	8850	PCAF
6.93365	0.138193	7.904617	0.060475	1.96	Up	0.002996644	AW015083	238850_at	Hypothetical LOC645323	Hs.12827	645323	LOC645323
7.43378	0.040527	6.46434	0.189979	1.96	Down	0.007540473	AF052094	200878_at	Endothelial PAS domain protein 1	Hs.468410	2034	EPAS1
8.35793	0.069013	9.325847	0.058559	1.96	Up	0.000433186	AW575465	221745_at	WD repeat domain 68	Hs.410596	10238	WDR68
7.290723	0.182368	8.258257	0.041607	1.96	Up	0.006640658	U73304	213436_at	cannabinoid receptor 1 (brain)	-	1268	-
7.666907	0.040353	6.700037	0.235748	1.95	Down	0.01557186	AA531023	229518_at	Family with sequence similarity 46, member B	Hs.632378	115572	FAM46B
7.60582	0.136364	6.640263	0.212273	1.95	Down	0.018665482	AI554075	230423_at	Forkhead box D3	Hs.585161	27022	FOXD3
6.997557	0.091385	6.051177	0.064977	1.93	Down	0.001079434	AL021977	36711_at	-	-	-	-
6.633557	0.063145	5.69506	0.109681	1.92	Down	0.001764799	AI692180	212841_s_at	PTPRF interacting protein, binding protein 2 (liprin beta 2)	Hs.16019	8495	PPFIBP2
8.74399	0.119027	7.80875	0.047542	1.91	Down	0.001875438	AK026966	225342_at	Adenylate kinase 3-like 1	Hs.592601	205	AK3L1
5.52724	0.065404	6.45658	0.184053	1.9	Up	0.008919359	AI625045	229257_at	-	-	-	-
4.51944	0.174416	5.44526	0.178439	1.9	Up	0.020647349	D84476	203836_s_at	Mitogen-activated protein kinase kinase kinase 5	Hs.186486	4217	MAP3K5
6.43538	0.071917	5.511237	0.216623	1.9	Down	0.01549056	AI590190	228457_at	CDNA clone IMAGE:5263177	Hs.592572	-	-
6.40966	0.243663	5.4923	0.12305	1.89	Down	0.028287593	NM_006933	1553313_s_at	Mitochondrial ribosomal protein S6	Hs.302742	64968	MRPS6
7.876547	0.04741	6.96411	0.046486	1.88	Down	0.000162471	AK024556	1566968_at	Sprouty homolog 4 (Drosophila)	Hs.323308	81848	SPRY4
6.345993	0.093976	7.257207	0.140749	1.88	Up	0.005752537	NM_000499	205749_at	Cytochrome P450, family 1, subfamily A, polypeptide 1	Hs.72912	1543	CYP1A1
7.6075	0.096727	6.702433	0.146105	1.87	Down	0.006673806	AI653169	204347_at	Transcribed locus	Hs.594853	-	-
8.514823	0.088852	7.611877	0.14176	1.87	Down	0.005703425	AF039555	203797_at	Visinin-like 1	Hs.444212	7447	VSNL1
6.788587	0.140617	5.89092	0.108908	1.86	Down	0.007246081	AI566130	230630_at	Transcribed locus	Hs.596190	-	-
9.95234	0.122344	9.05656	0.208101	1.86	Down	0.02064027	U19495	209687_at	chemokine (C-X-C motif) ligand 12 (stromal cell-derived factor 1)	-	6387	-
5.052357	0.098368	4.164923	0.102977	1.85	Down	0.003378001	AI758317	241826_x_at	Transcribed locus	Hs.124384	-	-
6.073987	0.088795	5.190483	0.083102	1.84	Down	0.001906861	AW136397	242055_at	Chromosome 6 open reading frame 85	Hs.132340	63027	C6orf85
7.29069	0.070086	6.409293	0.274874	1.84	Down	0.035971556	BF061543	240450_at	Pregnancy-associated plasma protein A, pappalysin 1	Hs.652381	5069	PAPPA
6.11182	0.041904	6.98025	0.227408	1.83	Up	0.019850615	R81072	244774_at	Phosphatase and actin regulator 2	Hs.102471	9749	PHACTR2
6.87675	0.110047	6.00836	0.140466	1.83	Down	0.008240134	NM_018298	220484_at	Mucolipin 3	Hs.535239	55283	MCOLN3
7.096597	0.031995	6.228687	0.064459	1.83	Down	0.00027104	AW205153	210026_s_at	Caspase recruitment domain family, member 10	Hs.57973	29775	CARD10
6.25718	0.040322	5.392233	0.145622	1.82	Down	0.004609987	AW206286	239823_at	Transcribed locus	Hs.553139	-	-
5.63822	0.054855	6.502357	0.136909	1.82	Up	0.004235495	AL359599	215828_at	AT-binding transcription factor 1	Hs.461285	463	ATBF1
7.781007	0.035292	6.917417	0.143019	1.82	Down	0.004226331	BC003379	209679_s_at	Small trans-membrane and glycosylated protein	Hs.652389	57228	LOC57228
5.751047	0.07479	4.893283	0.100753	1.81	Down	0.00239552	BC032716	1554887_at	-	-	-	-
7.878987	0.13372	7.02427	0.075455	1.81	Down	0.005100922	AK027006	214774_x_at	Trinucleotide repeat containing 9	Hs.460789	27324	TNRC9
4.77024	0.054965	5.614923	0.076016	1.8	Up	0.000842191	AL512758	225815_at	Complexin 2	Hs.193235	10814	CPLX2
6.738233	0.066664	5.893943	0.194763	1.8	Down	0.01483661	N36770	221563_at	Dual specificity phosphatase 10	Hs.497822	11221	DUSP10
7.839477	0.133176	6.997267	0.191329	1.79	Down	0.02249964	AK025084	216623_x_at	Trinucleotide repeat containing 9	Hs.460789	27324	TNRC9
6.939537	0.059469	6.099603	0.067268	1.79	Down	0.000727148	NM_001243	206729_at	Tumor necrosis factor receptor superfamily, member 8	Hs.1314	943	TNFRSF8
4.09571	0.061363	4.93175	0.189786	1.79	Up	0.013789649	AL520272	226582_at	Hypothetical gene supported by BC009385	Hs.19193	400043	LOC400043
5.395477	0.104802	6.222803	0.144282	1.77	Up	0.009738696	NM_006255	206099_at	Protein kinase C, eta	Hs.333907	5583	PRKCH
9.056383	0.077952	8.229497	0.106705	1.77	Down	0.003326833	NM_013410	204348_s_at	Adenylate kinase 3-like 1	Hs.10862	205	AK3L1
8.232127	0.055296	7.406377	0.244158	1.77	Down	0.029975443	L03203	210139_s_at	Peripheral myelin protein 22	Hs.372031	5376	PMP22
5.24952	0.101787	6.07394	0.132317	1.77	Up	0.00782528	AI088099	242677_at	Neuropilin 1	Hs.131704	8829	NRP1
6.292577	0.082766	5.468263	0.247051	1.77	Down	0.034060013	M31213	211421_s_at	Ret proto-oncogene (multiple endocrine neoplasia and medullary thyroid carcinoma 1, Hirschsprung disease)	Hs.350321	5979	RET
9.440597	0.11075	8.61885	0.043872	1.77	Down	0.00231562	BF059748	230788_at	Glucosaminyl (N-acetyl) transferase 2, I-branching enzyme (I blood group)	Hs.519884	2651	GCNT2
5.796327	0.169882	6.61762	0.231244	1.77	Up	0.045824647	NM_012476	220443_s_at	Ventral anterior homeobox 2	Hs.249170	25806	VAX2
8.288387	0.068671	7.467503	0.130797	1.77	Down	0.005134321	AF001294	209803_s_at	Pleckstrin homology-like domain, family A, member 2	Hs.154036	7262	PHLDA2
8.91237	0.047621	8.092167	0.048915	1.77	Down	0.000275118	W48843	221489_s_at	Sprouty homolog 4 (Drosophila)	Hs.323308	81848	SPRY4
5.616073	0.213169	6.433357	0.04912	1.76	Up	0.020189976	AL120021	226158_at	Kelch-like 24 (Drosophila)	Hs.407709	54800	KLHL24
8.0703	0.116488	7.26151	0.047778	1.75	Down	0.003019194	AB028976	212845_at	Sterile alpha motif domain containing 4A	Hs.98259	23034	SAMD4A
9.581167	0.103885	10.389067	0.0892	1.75	Up	0.004128228	NM_002899	203423_at	Retinol binding protein 1, cellular	Hs.529571	5947	RBP1
12.1788	0.053888	11.372567	0.089638	1.75	Down	0.001524171	AI671581	231061_at	Transcribed locus, moderately similar to NP_001037755.1  protein LOC686883 [Rattus norvegicus]	Hs.642978	-	-
10.405867	0.078486	9.601467	0.173602	1.75	Down	0.013454516	AK024896	212944_at	Mitochondrial ribosomal protein S6	Hs.302742	64968	MRPS6
5.26181	0.100026	4.463217	0.12127	1.74	Down	0.007080033	AA541630	204198_s_at	Runt-related transcription factor 3	Hs.170019	864	RUNX3
6.75069	0.135147	5.95388	0.108117	1.74	Down	0.010001441	AL577823	235033_at	-	-	-	-
10.103437	0.091417	10.8993	0.238266	1.74	Up	0.035575651	AF001540	224559_at	metastasis associated lung adenocarcinoma transcript 1 (non-coding RNA)	-	378938	-
5.411677	0.121943	6.203013	0.055115	1.73	Up	0.004094606	AI744591	227188_at	Chromosome 21 open reading frame 63	Hs.208358	59271	C21orf63
8.83969	0.099083	8.048587	0.084184	1.73	Down	0.003688032	BC000076	208711_s_at	Cyclin D1	Hs.523852	595	CCND1
8.520027	0.075176	7.73135	0.216282	1.73	Down	0.026188495	NM_006350	207345_at	Follistatin	Hs.9914	10468	FST
7.735037	0.072654	6.947	0.142423	1.73	Down	0.007879608	NM_021630	219165_at	PDZ and LIM domain 2 (mystique)	Hs.632034	64236	PDLIM2
6.138743	0.063541	5.35641	0.037713	1.72	Down	0.000450319	AW026241	236359_at	Sodium channel, voltage-gated, type IV, beta	Hs.65239	6330	SCN4B
5.457353	0.111345	6.238297	0.247832	1.72	Up	0.045270387	AW299598	206194_at	Homeobox C4	Hs.549040	3221	HOXC4
8.600307	0.012402	7.8262	0.258093	1.71	Down	0.040104978	AA156723	226415_at	KIAA1576 protein	Hs.461405	57687	KIAA1576
6.54822	0.01101	7.32073	0.154442	1.71	Up	0.007547523	AI732568	240666_at	Forkhead box P1	Hs.431498	27086	FOXP1
5.89762	0.052854	5.12558	0.102117	1.71	Down	0.002561554	AW471145	226279_at	Protease, serine, 23	Hs.25338	11098	PRSS23
9.97266	0.059789	9.207837	0.094324	1.7	Down	0.002379131	AI203404	236894_at	LINE-1 type transposase domain containing 1	Hs.562195	54596	L1TD1
6.67049	0.06095	5.908787	0.159025	1.7	Down	0.011052797	AI056877	227654_at	Chromosome 20 open reading frame 175	Hs.372578	140876	C20orf175
9.975047	0.010971	9.213387	0.145398	1.7	Down	0.006411618	AW205919	229830_at	Transcribed locus	Hs.535898	-	-
4.69263	0.081104	5.453383	0.1156	1.69	Up	0.005740753	NM_032845	1553385_at	hypothetical protein FLJ14816	-	84931	-
8.35054	0.046888	7.590417	0.118135	1.69	Down	0.003929114	AC_005378	215145_s_at	contactin associated protein-like 2	-	26047	-
6.657187	0.145531	7.417203	0.10648	1.69	Up	0.013534922	BF982289	228126_x_at	Translocase of inner mitochondrial membrane 44 homolog (yeast)	Hs.465784	10469	TIMM44
7.063313	0.115069	7.819117	0.034438	1.69	Up	0.003258836	BC012919	1555420_a_at	Kruppel-like factor 7 (ubiquitous)	Hs.471221	8609	KLF7
6.815487	0.082859	6.064287	0.137728	1.68	Down	0.009492715	BC013077	1558522_at	Homo sapiens, clone IMAGE:3459334, mRNA	Hs.594275	-	-
11.160967	0.029767	10.413133	0.220526	1.68	Down	0.028287685	NM_003256	206243_at	TIMP metallopeptidase inhibitor 4	Hs.591665	7079	TIMP4
6.996353	0.136888	7.74294	0.204953	1.68	Up	0.038811165	BC003697	223176_at	-	-	-	-
6.976527	0.102222	6.230753	0.164933	1.68	Down	0.018406502	AI934339	226238_at	Methylmalonyl CoA epimerase	Hs.94949	84693	MCEE
7.491677	0.144765	8.23712	0.160649	1.68	Up	0.026123409	AI475544	228582_x_at	Metastasis associated lung adenocarcinoma transcript 1 (non-coding RNA)	Hs.642877	378938	MALAT1
6.348803	0.112241	7.094183	0.171878	1.68	Up	0.022139652	U64315	210158_at	Excision repair cross-complementing rodent repair deficiency, complementation group 4	Hs.567265	2072	ERCC4
6.5481	0.088841	7.292013	0.157108	1.67	Up	0.014592382	AU146087	233004_x_at	Nuclear factor I/A	Hs.191911	4774	NFIA
7.53033	0.080565	8.2714	0.150828	1.67	Up	0.012312461	BF801735	238712_at	Forkhead box P1	Hs.431498	27086	FOXP1
6.528487	0.164778	5.788183	0.151049	1.67	Down	0.029604281	AI608725	202637_s_at	Intercellular adhesion molecule 1 (CD54), human rhinovirus receptor	Hs.643447	3383	ICAM1
6.410153	0.072027	7.150367	0.114674	1.67	Up	0.005448151	BF195118	229127_at	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit F6	Hs.246310	522	ATP5J
8.221823	0.05664	7.481697	0.236239	1.67	Down	0.038154269	NM_022481	218950_at	Centaurin, delta 3	Hs.25277	64411	CENTD3
7.759773	0.064545	7.019977	0.0372	1.67	Down	0.000577399	AI963605	230269_at	UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 5	Hs.197749	10317	B3GALT5
10.080567	0.057833	9.34328	0.132721	1.67	Down	0.007018332	NM_007350	217996_at	Pleckstrin homology-like domain, family A, member 1	Hs.602085	22822	PHLDA1
7.466213	0.102881	6.7295	0.230822	1.67	Down	0.043450265	AA215381	243154_at	Transcribed locus	Hs.86650	-	-
8.008383	0.182835	7.272197	0.175956	1.67	Down	0.044063491	NM_000961	208131_s_at	Prostaglandin I2 (prostacyclin) synthase	Hs.302085	5740	PTGIS
7.243473	0.07175	7.975543	0.149098	1.66	Up	0.011472057	AL833500	1563497_at	Ubiquitin specific peptidase 25	Hs.473370	29761	USP25
8.41126	0.161546	7.67936	0.19487	1.66	Down	0.044497194	AA148534	201981_at	Pregnancy-associated plasma protein A, pappalysin 1	Hs.652381	5069	PAPPA
6.599853	0.164309	5.869253	0.119145	1.66	Down	0.022763874	AI733281	239994_at	UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 5	Hs.197749	10317	B3GALT5
8.368583	0.113605	7.638607	0.074454	1.66	Down	0.005790861	AB020675	219300_s_at	Contactin associated protein-like 2	Hs.190621	26047	CNTNAP2
9.878407	0.012462	9.149223	0.09121	1.66	Down	0.001374797	NM_002607	205463_s_at	Platelet-derived growth factor alpha polypeptide	Hs.645488	5154	PDGFA
5.018503	0.052094	5.745567	0.194696	1.66	Up	0.022607705	AI243313	241009_at	Forkhead box N4	Hs.528316	121643	FOXN4
8.219837	0.135265	7.493377	0.050115	1.65	Down	0.007301959	NM_005544	204686_at	Insulin receptor substrate 1	Hs.471508	3667	IRS1
8.53338	0.028586	7.806957	0.131281	1.65	Down	0.005667014	AU144855	202436_s_at	Cytochrome P450, family 1, subfamily B, polypeptide 1	Hs.154654	1545	CYP1B1
7.53633	0.104328	6.81824	0.186944	1.65	Down	0.028456641	AK025651	221648_s_at	chromosome 1 open reading frame 121	-	51029	-
4.902027	0.053578	4.184653	0.106709	1.64	Down	0.003863735	AW664903	240061_at	Hypothetical protein LOC54103	Hs.186649	54103	LOC54103
7.70472	0.053735	6.987463	0.163274	1.64	Down	0.013999623	BG055027	243879_at	Synapsin II	Hs.445503	6854	SYN2
8.101253	0.129152	8.817673	0.030705	1.64	Up	0.005704807	AI288759	226137_at	AT-binding transcription factor 1	Hs.461285	463	ATBF1
4.488757	0.093336	5.19838	0.125294	1.64	Up	0.01048156	BE551351	204850_s_at	Doublecortex; lissencephaly, X-linked (doublecortin)	Hs.34780	1641	DCX
8.66298	0.056995	7.954317	0.178762	1.63	Down	0.019486801	NM_004619	204352_at	TNF receptor-associated factor 5	Hs.523930	7188	TRAF5
5.72822	0.054636	5.020487	0.135206	1.63	Down	0.008320041	AI380207	235845_at	Sp5 transcription factor	Hs.368802	389058	SP5
7.61746	0.095183	6.911687	0.121699	1.63	Down	0.010275556	NM_006208	205066_s_at	Ectonucleotide pyrophosphatase/phosphodiesterase 1	Hs.527295	5167	ENPP1
7.212153	0.175707	6.507333	0.15105	1.63	Down	0.038333453	AA149648	226497_s_at	Fms-related tyrosine kinase 1 (vascular endothelial growth factor/vascular permeability factor receptor)	Hs.507621	2321	FLT1
6.13085	0.115793	5.429387	0.202499	1.63	Down	0.039662631	AF228413	210174_at	Nuclear receptor subfamily 5, group A, member 2	Hs.33446	2494	NR5A2
8.140427	0.117178	7.439453	0.183398	1.63	Down	0.032254608	AI677948	235466_s_at	Dispatched homolog 1 (Drosophila)	Hs.528817	84976	DISP1
6.573407	0.045324	5.87257	0.05174	1.63	Down	0.000522697	U15979	209560_s_at	Delta-like 1 homolog (Drosophila)	Hs.533717	8788	DLK1
7.49003	0.117448	6.790073	0.100483	1.62	Down	0.010589308	U80736	215108_x_at	Trinucleotide repeat containing 9	Hs.460789	27324	TNRC9
5.779977	0.11897	5.080737	0.140152	1.62	Down	0.019045227	AU146117	233025_at	PDZ domain containing 2	Hs.481819	23037	PDZD2
5.836567	0.097426	5.138717	0.186305	1.62	Down	0.02939829	BI869014	1560019_at	Discs, large (Drosophila) homolog-associated protein 1	Hs.627200	9229	DLGAP1
10.477233	0.134882	9.78006	0.191234	1.62	Down	0.040772272	NM_002851	204469_at	Protein tyrosine phosphatase, receptor-type, Z polypeptide 1	Hs.489824	5803	PTPRZ1
8.588107	0.032621	7.891573	0.080269	1.62	Down	0.001299627	AI700633	212812_at	Serine incorporator 5	Hs.288232	256987	SERINC5
8.5857	0.041457	7.889387	0.202951	1.62	Down	0.028264778	BE965369	213506_at	-	-	-	-
9.209293	0.058692	8.51423	0.195307	1.62	Down	0.027070803	U26662	213479_at	Neuronal pentraxin II	Hs.3281	4885	NPTX2
7.511157	0.086066	6.817247	0.230439	1.62	Down	0.04778334	AA551075	212188_at	Potassium channel tetramerisation domain containing 12	Hs.652146	115207	KCTD12
9.276237	0.090034	8.582553	0.176087	1.62	Down	0.024726876	NM_000022	204639_at	Adenosine deaminase	Hs.255479	100	ADA
7.109693	0.133426	6.417023	0.115588	1.62	Down	0.017192669	AL515381	227177_at	CORO2A	-	-	-
7.271837	0.04832	6.58567	0.129451	1.61	Down	0.007673661	AA653638	1557522_x_at	CDNA clone IMAGE:5311184	Hs.595233	-	-
7.379063	0.059461	6.693407	0.042267	1.61	Down	0.00071418	BC015866	1555461_at	-	-	-	-
5.269107	0.129869	4.586063	0.144145	1.61	Down	0.024439394	BC004490	209189_at	V-fos FBJ murine osteosarcoma viral oncogene homolog	Hs.25647	2353	FOS
6.411377	0.228814	5.73055	0.020725	1.6	Down	0.041417333	BF224366	240296_at	OTU domain containing 7B	Hs.98322	56957	OTUD7B
7.70109	0.149384	7.020467	0.04198	1.6	Down	0.011816677	AL136756	204963_at	Sarcospan (Kras oncogene-associated gene)	Hs.183428	8082	SSPN
8.14395	0.047258	7.46541	0.160919	1.6	Down	0.015529461	NM_006729	205726_at	Diaphanous homolog 2 (Drosophila)	Hs.632824	1730	DIAPH2
7.877257	0.187373	8.554807	0.080256	1.6	Up	0.029269872	AF306765	210896_s_at	Aspartate beta-hydroxylase	Hs.332422	444	ASPH
7.543223	0.133496	8.21909	0.124248	1.6	Up	0.020725878	NM_025176	207705_s_at	KIAA0980 protein	Hs.652102	22981	RP4-691N24.1
4.411297	0.093204	5.086977	0.072286	1.6	Up	0.004597515	BF437711	230845_at	Prostate/rectrum and colon protein no. 2	Hs.236557	360205	PRAC2
6.575537	0.085803	5.90055	0.072602	1.6	Down	0.003869796	S69738	216598_s_at	Chemokine (C-C motif) ligand 2	Hs.303649	6347	CCL2
8.918367	0.055931	8.243427	0.230077	1.6	Down	0.046371377	NM_000144	205565_s_at	Frataxin	Hs.29978	2395	FXN
5.31317	0.041299	5.98742	0.133411	1.6	Up	0.008474291	NM_002147	205601_s_at	Homeobox B5	Hs.98428	3215	HOXB5
7.576863	0.163394	6.903497	0.168667	1.59	Down	0.04558645	NM_001779	205173_x_at	CD58 molecule	Hs.34341	965	CD58
