GenBank ID	Symbol	Gene Name	Gene Information
AA972852	RBP1	retinol-binding protein 1, cellular	Known Genes
X00129	RBP4	retinol-binding protein 4, interstitial	Known Genes
AA807607	RDGBB	retinal degeneration B beta	Known Genes
AA428540	REC8	Rec8p	Known Genes
M18963	REG1A	regenerating islet-derived 1 alpha (pancreatic stone protein, pancreatic thread protein)	Known Genes
AC_004003	RIPK2	receptor-interacting serine-threonine kinase 2	Known Genes
AI341482	RNB6	RNB6	Known Genes
AW510670	RNF3	ring finger protein 3	Known Genes
U38894	ROR1	receptor tyrosine kinase-like orphan receptor 1	Known Genes
X65463	RXRB	retinoid X receptor, beta	Known Genes
U72355	SAFB	scaffold attachment factor B	Known Genes
AI338007	SCDGF-B	Spinal cord-derived growth factor-B	Known Genes
AA911283	SCMH1	sex comb on midleg homolog 1	Known Genes
U84487	SCYD1	small inducible cytokine subfamily D (Cys-X3-Cys), member 1 (fractalkine, neurotactin)	Known Genes
W73992	SDCCAG43	serologically defined colon cancer antigen 43	Known Genes
U28369	SEMA3B	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3B	Known Genes
U38276	SEMA3F	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3F	Known Genes
AI026695	SENP1	Sentrin/SUMO-specific protease	Known Genes
Z11793	SEPP1	selenoprotein P, plasma, 1	Known Genes
H89783	SERPINA4	serine (or cysteine) proteinase inhibitor, clade A (alpha antiproteinase, antitrypsin), member 4	Known Genes
J02943	SERPINA6	serine (or cysteine) proteinase inhibitor, clade A (alpha antiproteinase, antitrypsin), member 6	Known Genes
M13690	SERPING1	serine (or cysteine) proteinase inhibitor, clade G (C1 inhibitor), member 1	Known Genes
AF017988	SFRP5	secreted frizzled-related protein 5	Known Genes
N56912	SFTPC	surfactant, pulmonary-associated protein C	Known Genes
Y10032	SGK	serum/glucocorticoid regulated kinase	Known Genes
AI198522	SLC11A3	solute carrier family 11, member 3	Known Genes
U59299	SLC16A5	solute carrier family 16, member 5	Known Genes
AA243675	SLC1A1	solute carrier family 1, member 1	Known Genes
AA435777	SLC25A1	Solute carrier family 25 (mitochondrial carrier; citrate transporter), member 1	Known Genes
NM_000340	SLC2A2	solute carrier family 2 (facilitated glucose transporter), member 2	Known Genes
M95548	SLC3A1	solute carrier family 3 (cystine, dibasic and neutral amino acid transporters, activator of cystine, dibasic and neutral amino acid transport), member 1	Known Genes
AF007216	SLC4A4	solute carrier family 4, sodium bicarbonate cotransporter, member 4	Known Genes
M24847	SLC5A1	solute carrier family 5 (sodium/glucose cotransporter), member 1	Known Genes
AA902273	SMARCD3	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, member 3	Known Genes
U41303	SNRPN	small nuclear ribonucleoprotein polypeptide N	Known Genes
AA604446	SPINK5	serine protease inhibitor, Kazal type, 5	Known Genes
J04765	SPP1	secreted phosphoprotein 1 (osteopontin, bone sialoprotein I, early T-lymphocyte activation 1)	Known Genes
L14865	SSTR5	somatostatin receptor 5	Known Genes
R60028	TAB1	transforming growth factor beta-activated kinase-binding protein 1	Known Genes
X58840	TCF2	transcription factor 2, hepatic; LF-B3; variant hepatic nuclear factor	Known Genes
J05068	TCN1	transcobalamin I (vitamin B12 binding protein, R binder family)	Known Genes
L15203	TFF3	trefoil factor 3 (intestinal)	Known Genes
D29992	TFPI2	tissue factor pathway inhibitor 2	Known Genes
AA403273	TLE1	transducin-like enhancer of split 1, homolog of Drosophila E(sp1)	Known Genes
U31449	TM4SF4	transmembrane 4 superfamily member 4	Known Genes
AA131918	TMEM3	transmembrane protein 3	Known Genes
U70321	TNFRSF14	tumor necrosis factor receptor superfamily, member 14 (herpesvirus entry mediator)	Known Genes
L21715	TNNI2	troponin I, skeletal, fast	Known Genes
AI091425	TONDU	TONDU	Known Genes
U54831	TOP2B	topoisomerase (DNA) II beta (180kD)	Known Genes
U44427	TPD52L1	tumor protein D52-like 1	Known Genes
M10605	TTR	transthyretin (prealbumin, amyloidosis type I)	Known Genes
AI090567	TUBB2	tubulin, beta, 2	Known Genes
L13852	UBE1L	ubiquitin-activating enzyme E1-like	Known Genes
X63359	UGT2B10	UDP glycosyltransferase 2 family, polypeptide B10	Known Genes
J05428	UGT2B7	UDP glycosyltransferase 2 family, polypeptide B7	Known Genes
AA446913	USP11	ubiquitin specific protease 11	Known Genes
L13288	VIPR1	vasoactive intestinal peptide receptor 1	Known Genes
D78298	VLCAD	very-long-chain acyl-CoA dehydrogenase	Known Genes
AA769424	VNN2	vanin 2	Known Genes
AF039022	XPOT	exportin, tRNA (nuclear export receptor for tRNAs)	Known Genes
D83407	ZAKI4	Down syndrome critical region gene 1-like 1	Known Genes
Z19002	ZNF145	zinc finger protein 145 (Kruppel-like, expressed in promyelocytic leukemia)	Known Genes
M58297	ZNF42	zinc finger protein 42 (myeloid-specific retinoic acid- responsive)	Known Genes
N24911	C11ORF2	chromosome 11 open reading frame2	Unknown Genes
AI186263	C21ORF11	chromosome 21 open reading frame 11	Unknown Genes
Y11392	C21ORF2	chromosome 21 open reading frame 2	Unknown Genes
H16793	C8ORF4	chromosome 8 open reading frame 4	Unknown Genes
AI160590	DKFZp434G0522	hypothetical protein DKFZp434G0522	Unknown Genes
T65389	DKFZP434J214	DKFZP434J214 protein	Unknown Genes
H61870	DKFZP564F1123	DKFZP564F1123 protein	Unknown Genes
AI218000	DKFZP564K1964	DKFZP564K1964 protein	Unknown Genes
AI306435	DKFZP586A0522	DKFZP586A0522 protein	Unknown Genes
W05570	DKFZP586B0621	DKFZP586B0621 protein	Unknown Genes
N92489	FLJ10103	hypothetical protein FLJ10103	Unknown Genes
AA933772	FLJ10252	hypothetical protein FLJ10252	Unknown Genes
AA452368	FLJ10582	hypothetical protein FLJ10582	Unknown Genes
AA481246	FLJ12287	hypothetical protein FLJ12287 similar to semaphorins	Unknown Genes
AI042204	FLJ12895	hypothetical protein FLJ12895	Unknown Genes
AI342612	FLJ20011	hypothetical protein FLJ20011	Unknown Genes
AA708532	FLJ20041	hypothetical protein FLJ20041	Unknown Genes
AI016890	FLJ20542	hypothetical protein FLJ20542	Unknown Genes
AA593701	FLJ21817	hypothetical protein FLJ21817 similar to Rhoip2	Unknown Genes
NM_022493	FLJ21988	hypothetical protein FLJ21988	Unknown Genes
N30915	FLJ22649	hypothetical protein FLJ22649 similar to signal peptidase SPC22/23	Unknown Genes
AA650281	FLJ23153	Likely ortholog of mouse tumor necrosis-alpha-induced adipose-related protein	Unknown Genes
AA522448	FLJ23239	hypothetical protein FLJ23239	Unknown Genes
AA403120	HT014	HT014	Unknown Genes
D31884	KIAA0063	KIAA0063 gene product	Unknown Genes
D87465	KIAA0275	KIAA0275 gene product	Unknown Genes
AI190847	KIAA0397	KIAA0397 gene product	Unknown Genes
AB011115	KIAA0543	KIAA0543 protein	Unknown Genes
AA910738	KIAA0579	KIAA0579 protein	Unknown Genes
AA156717	KIAA0668	KIAA0668 protein	Unknown Genes
W56303	KIAA0802	KIAA0802 protein	Unknown Genes
AA127777	KIAA1071	KIAA1071 protein	Unknown Genes
AI148832	KIAA1209	KIAA1209 protein	Unknown Genes
AA573892	KIAA1359	KIAA1359 protein	Unknown Genes
N54300	KIAA1500	KIAA1500 protein	Unknown Genes
N36929	KIAA1954	KIAA1954 protein	Unknown Genes
AA477232	LOC56997	hypothetical protein, clone Telethon(Italy_B41)_Strait02270_FL142	Unknown Genes
AF001550	LOC57146	hypothetical protein from clone 24796	Unknown Genes
AA303231	LOC64744	hypothetical protein AL133206	Unknown Genes
AA044186		Homo sapiens cDNA FLJ11410 fis, clone HEMBA1000852	Unknown Genes
D62873		Homo sapiens cDNA FLJ12900 fis, clone NT2RP2004321	Unknown Genes
AA858162		Homo sapiens cDNA FLJ13005 fis, clone NT2RP3000441	Unknown Genes
AA327291		Homo sapiens cDNA FLJ13322 fis, clone OVARC1001713	Unknown Genes
AI096874		Homo sapiens cDNA FLJ14115 fis, clone MAMMA1001760	Unknown Genes
H28758		Homo sapiens cDNA: FLJ20925 fis, clone ADSE00963	Unknown Genes
T04932		Homo sapiens cDNA: FLJ21545 fis, clone COL06195	Unknown Genes
AK025906		Homo sapiens cDNA: FLJ22253 fis, clone HRC02763	Unknown Genes
AI344138		Homo sapiens cDNA: FLJ22288 fis, clone HRC04157	Unknown Genes
AA206578		Homo sapiens cDNA: FLJ22316 fis, clone HRC05262	Unknown Genes
R89624		Homo sapiens cDNA: FLJ22386 fis, clone HRC07619	Unknown Genes
AA404225		Homo sapiens cDNA: FLJ22418 fis, clone HRC08590	Unknown Genes
AI089485		Homo sapiens cDNA: FLJ22479 fis, clone HRC10831	Unknown Genes
AA505312		Homo sapiens cDNA: FLJ22648 fis, clone HSI07329	Unknown Genes
R72460		Homo sapiens cDNA: FLJ22807 fis, clone KAIA2887	Unknown Genes
AA019961		Homo sapiens cDNA: FLJ22811 fis, clone KAIA2944	Unknown Genes
N46856		Homo sapiens cDNA: FLJ23091 fis, clone LNG07220	Unknown Genes
AA321321		Homo sapiens cDNA: FLJ23091 fis, clone LNG07220	Unknown Genes
AI084531		Homo sapiens cDNA: FLJ23093 fis, clone LNG07264	Unknown Genes
AA543086		Homo sapiens cDNA: FLJ23270 fis, clone COL10309	Unknown Genes
AA741042		Homo sapiens cDNA: FLJ23527 fis, clone LNG05966	Unknown Genes
AF009314		Homo sapiens clone TUA8 Cri-du-chat region mRNA	Unknown Genes
AA293837		Homo sapiens GKAP42 (FKSG21) mRNA, complete cds	Unknown Genes
AA195740		Homo sapiens mRNA full length insert cDNA clone EUROIMAGE 41832	Unknown Genes
AA829835		Homo sapiens mRNA; cDNA DKFZp434M229 (from clone DKFZp434M229)	Unknown Genes
AA985007		Homo sapiens mRNA; cDNA DKFZp564A026 (from clone DKFZp564A026)	Unknown Genes
AA938345		Homo sapiens mRNA; cDNA DKFZp564N1116 (from clone DKFZp564N1116)	Unknown Genes
AA129758		Homo sapiens mRNA; cDNA DKFZp761K2024 (from clone DKFZp761K2024)	Unknown Genes
AI276126		Human DNA sequence from clone RP4-756G23 on chromosome 22q13.313.33	Unknown Genes
AI301241		ESTs, Highly similar to  AF172268 1 Traf2 and NCK interacting kinase, splice variant 5	Unknown Genes
AI291118		ESTs, Highly similar to  AF219140 1 gastric cancer-related protein GCYS-20 [H.sapiens]	Unknown Genes
AA143060		ESTs, Highly similar to  I38945 melanoma ubiquitous mutated protein [H.sapiens]	Unknown Genes
AI304351		ESTs, Moderately similar to  NFY-C [H.sapiens]	Unknown Genes
AA923049		ESTs, Weakly similar to cytokine receptor-like factor 2; cytokine receptor CRL2 precusor	Unknown Genes
AA604003		ESTs, Weakly similar to  CTL1 protein [H.sapiens]	Unknown Genes
AA847242		ESTs, Weakly similar to  G786_HUMAN PROTEIN GS3786 [H.sapiens]	Unknown Genes
AI274179		ESTs, Weakly similar to  LIV protein [H.sapiens]	Unknown Genes
R87741		ESTs, Weakly similar to  RAB8_HUMAN RAS-RELATED PROTEIN RAB-8 [H.sapiens]	Unknown Genes
AA465193		ESTs, Weakly similar to  unnamed protein product [H.sapiens]	Unknown Genes
AI266124		ESTs, Weakly similar to  unnamed protein product [H.sapiens]	Unknown Genes
AA777360	KIAA1002	ESTs	Unknown Genes
AA358397		ESTs	Unknown Genes
AA129817		ESTs	Unknown Genes
F06091		ESTs	Unknown Genes
H42099		ESTs	Unknown Genes
AI090386		ESTs	Unknown Genes
AA449335		ESTs	Unknown Genes
AI243456		ESTs	Unknown Genes
AI355928		ESTs	Unknown Genes
R45502		ESTs	Unknown Genes
AA630642		ESTs	Unknown Genes
AA781393		ESTs	Unknown Genes
AA528243		ESTs	Unknown Genes
AA430699		ESTs	Unknown Genes
AA528190		ESTs	Unknown Genes
AA369905		ESTs	Unknown Genes
AI201894		ESTs	Unknown Genes
AI342469		ESTs	Unknown Genes
AA313152		ESTs	Unknown Genes
AI299327		ESTs	Unknown Genes
AI341332		ESTs	Unknown Genes
N33189		ESTs	Unknown Genes
W37776		ESTs	Unknown Genes
AI023557		ESTs	Unknown Genes
AA418448		ESTs	Unknown Genes
AA458558		ESTs	Unknown Genes
H52704		ESTs	Unknown Genes
AA142875		ESTs	Unknown Genes
AI366443		ESTs	Unknown Genes
H96559		ESTs	Unknown Genes
H98777		ESTs	Unknown Genes
AA989233		ESTs	Unknown Genes
AI032354		ESTs	Unknown Genes
W93000		ESTs	Unknown Genes
AA446184		ESTs	Unknown Genes
AI291207		ESTs	Unknown Genes
AA699359		ESTs	Unknown Genes
AA447217		ESTs	Unknown Genes
AA769604		ESTs	Unknown Genes
AI208970		ESTs	Unknown Genes
N93057		ESTs	Unknown Genes
AI225224		ESTs	Unknown Genes
W67193		ESTs	Unknown Genes
AI022649		ESTs	Unknown Genes
AA625553		ESTs	Unknown Genes
AA446064		ESTs	Unknown Genes
D61466		ESTs	Unknown Genes
H05777		ESTs	Unknown Genes
N30923		ESTs	Unknown Genes
AA135406		ESTs	Unknown Genes
AA661636		ESTs	Unknown Genes
H98796		ESTs	Unknown Genes
AI927063		ESTs	Unknown Genes
AA687594		ESTs	Unknown Genes
AA879280		ESTs	Unknown Genes
