Affymetrix probe set I.D.	Fold change	Gene title	Gene symbol
209905_at	2.00	homeo box A9	HOXA9
212820_at	2.00	Dmx-like 2	DMXL2
219607_s_at	2.00	membrane-spanning 4-domains, subfamily A, member 4	MS4A4A
220234_at	2.00	carbonic anhydrase VIII	CA8
222071_s_at	2.00	solute carrier organic anion transporter family, member 4C1	SLCO4C1
226218_at	2.00	Interleukin 7 receptor	IL7R
242828_at	2.00	Fidgetin	FIGN
1554302_s_at	6.06	CDNA clone IMAGE:3635859, partial cds	NA
222802_at	4.00	KIAA1913	KIAA1913
223204_at	3.73	NA	NA
225481_at	3.73	hypothetical protein DKFZp434L142	DKFZp434L142
225464_at	3.73	chromosome 14 open reading frame 31	C14orf31
235046_at	2.30	chromosome 14 open reading frame 31	C14orf31
229057_at	3.73	Transcribed locus	NA
232760_at	3.48	MRNA; cDNA DKFZp761D191 (from clone DKFZp761D191)	NA
236738_at	3.25	testis expressed sequence 15	TEX15
226189_at	2.83	Similar to LOC166075	LOC401097
1559214_at	2.64	Homo sapiens, clone IMAGE:4794726, mRNA	NA
212328_at	2.46	NA	NA
212327_at	2.46	KIAA1102 protein	KIAA1102
236892_s_at	2.30	KIAA1102 protein	KIAA1102
226136_at	2.46	NA	NA
239791_at	2.30	Hypothetical LOC404266	LOC404266
228863_at	2.30	NA	NA
239791_at	2.30	Hypothetical protein LOC144997	PCDH17
1558871_at	2.14	Homo sapiens, clone IMAGE:4105785, mRNA	NA
221823_at	2.14	hypothetical gene supported by AF038182; BC009203	LOC90355
223698_at	2.00	hypothetical protein FLJ10618	FLJ10618
228904_at	2.00	Transcribed locus, strongly similar to NP_002137.3 homeo box B3 [Homo sapiens]	NA
226510_at	2.00	chromosome 14 open reading frame 125	C14orf125
218692_at	2.00	hypothetical protein FLJ20366	FLJ20366
239710_at	2.00	Transcribed locus	NA
242481_at	2.00	Transcribed locus	NA
1553151_at	-2.00	ATPase, H+ transporting, lysosomal 38kDa, V0 subunit d isoform 2	ATP6V0D2
1554593_s_at	-2.00	Solute carrier family 1 (high affinity aspartate/glutamate transporter), member 6	SLC1A6
1555920_at	-2.00	Chromobox homolog 3 (HP1 gamma homolog, Drosophila)	CBX3
201531_at	-2.00	zinc finger protein 36, C3H type, homolog (mouse)	ZFP36
202191_s_at	-2.00	growth arrest-specific 7	GAS7
202478_at	-2.00	tribbles homolog 2 (Drosophila)	TRIB2
202627_s_at	-2.00	serine (or cysteine) proteinase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1	SERPINE1
205099_s_at	-2.00	chemokine (C-C motif) receptor 1	CCR1
208611_s_at	-2.00	spectrin, alpha, non-erythrocytic 1 (alpha-fodrin)	SPTAN1
209047_at	-2.00	aquaporin 1 (channel-forming integral protein, 28kDa)	AQP1
211541_s_at	-2.00	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1A	DYRK1A
212099_at	-2.00	ras homolog gene family, member B	RHOB
213146_at	-2.00	jumonji domain containing 3	JMJD3
231779_at	-2.00	interleukin-1 receptor-associated kinase 2	IRAK2
1554519_at	-2.14	CD80 antigen (CD28 antigen ligand 1, B7-1 antigen)	CD80
216248_s_at	-2.00	nuclear receptor subfamily 4, group A, member 2	NR4A2
204621_s_at	-2.00	nuclear receptor subfamily 4, group A, member 2	NR4A2
204622_x_at	-2.14	nuclear receptor subfamily 4, group A, member 2	NR4A2
205599_at	-2.14	TNF receptor-associated factor 1	TRAF1
209558_s_at	-2.14	huntingtin interacting protein-1-related	HIP1R
210380_s_at	-2.14	calcium channel, voltage-dependent, alpha 1G  subunit	CACNA1G
216598_s_at	-2.14	chemokine (C-C motif) ligand 2	CCL2
227177_at	-2.14	Coronin, actin binding protein, 2A	CORO2A
228580_at	-2.14	HtrA serine peptidase 3	HTRA3
228885_at	-2.14	MAM domain containing 2	MAMDC2
AFFX-HUMRGE/M10098_3_at	-2.14	signal recognition particle 68kDa	SRP68
203665_at	-2.46	heme oxygenase (decycling) 1	HMOX1
209387_s_at	-2.46	transmembrane 4 L six family member 1	TM4SF1
205945_at	-2.46	interleukin 6 receptor /// interleukin 6 receptor	IL6R
226333_at	-2.46	interleukin 6 receptor	IL6R
203045_at	-2.64	ninjurin 1	NINJ1
227140_at	-2.64	Inhibin, beta A (activin A, activin AB alpha polypeptide)	INHBA
235059_at	-2.64	RAB12, member RAS oncogene family	RAB12
204103_at	-2.83	chemokine (C-C motif) ligand 4	CCL4
1565358_at	-3.03	Retinoic acid receptor, alpha	RARA
1552480_s_at	-3.25	protein tyrosine phosphatase, receptor type, C	PTPRC
218723_s_at	-2.46	response gene to complement 32	RGC32
228193_s_at	-3.48	Response gene to complement 32	RGC32
232693_s_at	-4.00	zinc finger protein 395 /// F-box protein 16	ZNF395 /// FBXO16
207216_at	-3.48	tumor necrosis factor (ligand) superfamily, member 8	TNFSF8
235735_at	-4.00	tumor necrosis factor (ligand) superfamily, member 8	TNFSF8
202111_at	-4.29	solute carrier family 4, anion exchanger, member 2 (erythrocyte membrane protein band 3-like 1)	SLC4A2
205463_s_at	-2.83	platelet-derived growth factor alpha polypeptide	PDGFA
229830_at	-4.29	Platelet-derived growth factor alpha polypeptide	PDGFA
221042_s_at	-9.19	calmin (calponin-like, transmembrane)	CLMN
234989_at	-2.00	trophoblast-derived noncoding RNA	TncRNA
227062_at	-2.14	trophoblast-derived noncoding RNA	TncRNA
1556423_at	-2.00	KIAA1036	KIAA1036
203940_s_at	-2.14	KIAA1036	KIAA1036
226179_at	-2.00	FP15737	NA
AFFX-HUMRGE/M10098_M_at	-2.00	NA	NA
AFFX-HUMRGE/M10098_5_at	-2.14	NA	NA
230741_at	-2.14	Full length insert cDNA clone YX74D05	NA
226407_at	-2.64	LOC440135 /// Homo sapiens, clone IMAGE:2900578, mRNA, partial cds	NA
1564690_at	-4.92	Chromosome 9 open reading frame 41	C9orf41
1562997_a_at	-14.93	Homo sapiens, clone IMAGE:5418716, mRNA	NA
