Probe set id	MEAN FOLD CHANGE(+recMAGP2/-recMAGP2)	Gene symbol	Description	UnigeneID	LocusLink	Chromosomal location
219294_at	-1.2980852	CENPQ	centromere protein Q (CENPQ), mRNA.	Hs.88663	55166	6p12.3
219242_at	1.504452125	CEP63	centrosomal protein 63kDa (CEP63), transcript variant 2, mRNA.	Hs.443301	80254	3q22.1-q22.2
212677_s_at	1.646942065	CEP68	centrosomal protein 68kDa (CEP68), mRNA.	Hs.705398	23177	2p14
209667_at	-1.8212067	CES2	carboxylesterase 2 (intestine, liver) (CES2), transcript variant 2, mRNA.	Hs.282975	8824	16q22.1
239629_at	1.421970641	CFLAR	CASP8 and FADD-like apoptosis regulator	Hs.390736	8837	2q33-q34
1554014_at	1.492301218	CHD2	chromodomain helicase DNA binding protein 2 (CHD2), transcript variant 2, mRNA.	Hs.220864	1106	15q26
213385_at	1.738328687	CHN2	chimerin (chimaerin) 2 (CHN2), transcript variant 1, mRNA.	Hs.654611	1124	7p15.3
204065_at	1.344086383	CHST10	carbohydrate sulfotransferase 10 (CHST10), mRNA.	Hs.516370	9486	2q11.2
223507_at	-1.382588	CLPX	ClpX caseinolytic peptidase X homolog (E. coli)	Hs.113823	10845	15q22.2-q22.3
211043_s_at	1.37796659	CLTB	clathrin, light chain (Lcb) (CLTB), transcript variant 1, mRNA.	Hs.484241	1212	5q35
1560754_at	1.5959221	CMTM7	CKLF-like MARVEL transmembrane domain containing 7	Hs.440494	112616	3p22.3
228297_at	-1.329088	CNN3	Calponin 3, acidic	Hs.483454	1266	1p22-p21
244197_x_at	1.425335713	CNOT2	CCR4-NOT transcription complex, subunit 2			12q15
203642_s_at	-1.3824384	COBLL1	COBL-like 1 (COBLL1), mRNA.	Hs.470457	22837	2q24.3
209083_at	1.608650162	CORO1A	coronin, actin binding protein, 1A (CORO1A), mRNA.	Hs.415067	11151	16p11.2
203858_s_at	1.472418148	COX10	COX10 homolog, cytochrome c oxidase assembly protein, heme A: farnesyltransferase (yeast) (COX10), nuclear gene encoding mitochondrial protein, mRNA.	Hs.462278	1352	17p12-p11.2
205832_at	1.543542643	CPA4	carboxypeptidase A4 (CPA4), mRNA.	Hs.93764	51200	7q32
220768_s_at	-1.2858583	CSNK1G3	casein kinase 1, gamma 3 (CSNK1G3), transcript variant 3, mRNA.	Hs.129206	1456	5q23
202190_at	1.442353113	CSTF1	cleavage stimulation factor, 3 pre-RNA, subunit 1, 50kDa (CSTF1), transcript variant 3, mRNA.	Hs.172865	1477	20q13.31
202450_s_at	1.746510429	CTSK	cathepsin K (CTSK), mRNA.	Hs.632466	1513	1q21
213295_at	-1.5181707	CYLD	cylindromatosis (turban tumor syndrome) (CYLD), transcript variant 2, mRNA.	Hs.578973	1540	16q12.1
202437_s_at	1.638900684	CYP1B1	cytochrome P450, family 1, subfamily B, polypeptide 1 (CYP1B1), mRNA.	Hs.154654	1545	2p21
205998_x_at	1.604570845	CYP3A4	cytochrome P450, family 3, subfamily A, polypeptide 4 (CYP3A4), mRNA.	Hs.654391	1576	7q21.1
225833_at	1.967567406	DAGLB	diacylglycerol lipase, beta (DAGLB), mRNA.	Hs.487498	221955	7p22.1
218774_at	1.436594811	DCPS	decapping enzyme, scavenger (DCPS), mRNA.	Hs.504249	28960	11q24.2
202929_s_at	1.447001264	DDT	D-dopachrome tautomerase (DDT), transcript variant 2, mRNA.	Hs.656723	1652	22q11.23
225488_at	-1.5972997	DERL1	Der1-like domain family, member 1	Hs.241576	79139	8q24.13
202533_s_at	-1.4329333	DHFR	dihydrofolate reductase (DHFR), mRNA.	Hs.592364		5q11.2-q13.2
230229_at	1.775759883	DLG1	Discs, large homolog 1 (Drosophila)	Hs.292549	1739	3q29
203810_at	-1.4738555	DNAJB4	DnaJ (Hsp40) homolog, subfamily B, member 4	Hs.13852	11080	1p31.1
40612_at	1.362723463	DOPEY1	Dopey family member 1	Hs.520246	23033	6q15
205248_at	-1.7403569	DOPEY2	dopey family member 2 (DOPEY2), mRNA.	Hs.204575	9980	21q22.2
222041_at	1.570406013	DPH1	Candidate tumor suppressor in ovarian cancer 2	Hs.513856		17p13.3
218845_at	1.321606979	DUSP22	dual specificity phosphatase 22 (DUSP22), mRNA.	Hs.29106	56940	6p25.3
201694_s_at	1.635601951	EGR1	early growth response 1 (EGR1), mRNA.	Hs.326035	1958	5q31.1
227404_s_at	3.313080472	EGR1	Early growth response 1	Hs.653544	1958	5q31.1
91703_at	1.414924082	EHBP1L1	EH domain binding protein 1-like 1	Hs.502867	254102	11q13.1
45297_at	-1.3000981	EHD2	EH-domain containing 2	Hs.631554	30846	19q13.3
242550_at	1.456695431	EIF3B	Eukaryotic translation initiation factor 3, subunit B	Hs.371001	8662	7p22.2
215190_at	1.529357859	EIF3M	Eukaryotic translation initiation factor 3, subunit M	Hs.502244	10480	11p13
221539_at	1.261261011	EIF4EBP1	eukaryotic translation initiation factor 4E binding protein 1 (EIF4EBP1), mRNA.	Hs.411641	1978	8p12
201767_s_at	1.271012054	ELAC2	elaC homolog 2 (E. coli) (ELAC2), mRNA.	Hs.434232	60528	17p11.2
244660_at	-1.493751	ELAVL1	ELAV (embryonic lethal, abnormal vision, Drosophila)-like 1 (Hu antigen R) (ELAVL1), mRNA.	Hs.184492	1994	19p13.2
204161_s_at	-1.38458	ENPP4	ectonucleotide pyrophosphatase/phosphodiesterase 4 (putative function) (ENPP4), mRNA.	Hs.696582	22875	6p12.3
238633_at	1.660285636	EPC1	Enhancer of polycomb homolog 1 (Drosophila)	Hs.167805	80314	10p11
205231_s_at	-1.3482572	EPM2A	epilepsy, progressive myoclonus type 2A, Lafora disease (laforin) (EPM2A), transcript variant 1, mRNA.	Hs.486696	7957	6q24
235178_x_at	-1.8261508	ESCO2	establishment of cohesion 1 homolog 2 (S. cerevisiae) (ESCO2), mRNA.	Hs.99480	157570	8p21.1
222726_s_at	-1.6257246	EXOC5	exocyst complex component 5 (EXOC5), mRNA.	Hs.655158	10640	14q23.1
1553743_at	-1.5659488	FAM119A	Family with sequence similarity 119, member A	Hs.668241	151194	2q33.3
223203_at	1.415380487	FAM156B	family with sequence similarity 156, member B (FAM156B), mRNA.	Hs.6451		Xp11.22
206848_at	1.738504875	FAM36A	Family with sequence similarity 36, member A	Hs.660918	3204	1q44
239586_at	1.516079769	FAM83A	family with sequence similarity 83, member A (FAM83A), transcript variant 2, mRNA.	Hs.379821	84985	8q24.13
225086_at	-1.3438936	FAM98B	Family with sequence similarity 98, member B	Hs.6799	283742	15q14
229419_at	-1.3956532	FBXW7	F-box and WD repeat domain containing 7	Hs.696040	55294	4q31.3
207499_x_at	2.007326743	FLJ10043	hypothetical protein FLJ10043	Hs.389461	55898	15q26.1
202288_at	-1.3658312	FRAP1	FK506 binding protein 12-rapamycin associated protein 1 (FRAP1), mRNA.	Hs.338207	2475	1p36.2
225167_at	1.415545177	FRMD4A	FERM domain containing 4A (FRMD4A), mRNA.	Hs.330463	55691	10p13
202488_s_at	1.373542037	FXYD3	FXYD domain containing ion transport regulator 3 (FXYD3), transcript variant 1, mRNA.	Hs.301350	5349	19q13.11-q13.12
203706_s_at	-1.3401364	FZD7	frizzled homolog 7 (Drosophila) (FZD7), mRNA.	Hs.173859	8324	2q33
208913_at	-1.2819997	GGA2	golgi associated, gamma adaptin ear containing, ARF binding protein 2 (GGA2), mRNA.	Hs.460336	23062	16p12
220773_s_at	1.910808431	GPHN	gephyrin (GPHN), transcript variant 2, mRNA.	Hs.208765	10243	14q23.3
225767_at	1.782334852	GRAMD1C	GRAM domain containing 1C			3q13.31
208035_at	-1.7931971	GRM6	glutamate receptor, metabotropic 6 (GRM6), mRNA.	Hs.248131	2916	5q35
202967_at	1.44470006	GSTA4	glutathione S-transferase A4 (GSTA4), mRNA.	Hs.485557	2941	6p12.1
225115_at	-1.2946457	HIPK2	homeodomain interacting protein kinase 2 (HIPK2), transcript variant 2, mRNA.	Hs.397465	28996	7q32-q34
222067_x_at	-2.0867556	HIST1H2BD	histone cluster 1, H2bd (HIST1H2BD), transcript variant 1, mRNA.	Hs.591797	3017	6p21.3
221582_at	1.320448224	HIST3H2A	Histone cluster 3, H2a	Hs.700190	92815	1q42.13
1567224_at	1.78654854	HMGA2	High mobility group AT-hook 2	Hs.505924	8091	12q15
207688_s_at	-1.722982	HNRNPA3	Heterogeneous nuclear ribonucleoprotein A3	Hs.632722	3626	2q31.2
213359_at	1.520462999	HNRNPD	Heterogeneous nuclear ribonucleoprotein D (AU-rich element RNA binding protein 1, 37kDa)	Hs.480073	3184	4q21.1-q21.2
203309_s_at	1.575001079	HPS1	Hermansky-Pudlak syndrome 1 (HPS1), transcript variant 1, mRNA.	Hs.404568	3257	10q23.1-q23.3
209581_at	1.285759379	HRASLS3	HRAS-like suppressor 3 (HRASLS3), transcript variant 2, mRNA.	Hs.502775	11145	11q12.3-q13.1
223647_x_at	-1.4187455	HSCB	HscB iron-sulfur cluster co-chaperone homolog (E. coli) (HSCB), mRNA.		150274	22q12.1
214059_at	-1.7074896	IFI44	Interferon-induced protein 44	Hs.82316	10561	1p31.1
213193_x_at	1.503457351	IL23A	Enhancer of polycomb homolog 1 (Drosophila)			12q13.2
204864_s_at	1.456063149	IL6ST	interleukin 6 signal transducer (gp130, oncostatin M receptor) (IL6ST), transcript variant 2, mRNA.	Hs.532082	3572	5q11
205483_s_at	1.336531028	ISG15	ISG15 ubiquitin-like modifier (ISG15), mRNA.	Hs.458485	9636	1p36.33
228793_at	1.69808607	JMJD1C	Jumonji domain containing 1C	Hs.413416	221037	10q21.2-q21.3
229578_at	-1.5110531	JPH2	junctophilin 2 (JPH2), transcript variant 1, mRNA.	Hs.441737	57158	20q13.12
216309_x_at	1.753349028	JRK	jerky homolog (mouse) (JRK), transcript variant 1, mRNA.	Hs.535903	8629	8q24.3
212192_at	-1.3289858	KCTD12	potassium channel tetramerisation domain containing 12 (KCTD12), mRNA.	Hs.693617	115207	13q22.3
218553_s_at	1.603023173	KCTD15	potassium channel tetramerisation domain containing 15 (KCTD15), transcript variant 1, mRNA.	Hs.221873	79047	19q13.11
238077_at	-3.4666883	KCTD6	potassium channel tetramerisation domain containing 6 (KCTD6), transcript variant 2, mRNA.	Hs.13982	200845	3p14.3
207265_s_at	1.545041514	KDELR3	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 3 (KDELR3), transcript variant 1, mRNA.		11015	22q13.1
201728_s_at	1.338128472	KIAA0100	KIAA0100 (KIAA0100), mRNA.	Hs.591189	9703	17q11.2
213424_at	-1.4419796	KIAA0895	KIAA0895 protein (KIAA0895), transcript variant 1, mRNA.	Hs.637458	23366	7p14.2
209760_at	-1.4231781	KIAA0922	KIAA0922 (KIAA0922), transcript variant 2, mRNA.	Hs.205572	23240	4q31.3
214929_s_at	-2.191412	KIAA1109	KIAA1109 (KIAA1109), mRNA.	Hs.408142	84162	4q27
232244_at	-1.8710618	KIAA1161	KIAA1161	Hs.522083	57462	9p13.3
233893_s_at	-1.4153478	KIAA1530	KIAA1530 (KIAA1530), mRNA.	Hs.380475	57654	4p16.3
235727_at	-1.4803158	KLHL28	kelch-like 28 (Drosophila) (KLHL28), mRNA.	Hs.653206	54813	14q21.3
234631_at	1.554777372	KRTAP4-8	PREDICTED: keratin associated protein 4-8, transcript variant 2 (KRTAP4-8), mRNA.	Hs.307019	83898	17
229393_at	-1.5274216	L3MBTL3	l(3)mbt-like 3 (Drosophila) (L3MBTL3), transcript variant 2, mRNA.	Hs.658051	84456	6q23
211768_at	-1.7181879	LAT2	Linker for activation of T cells family, member 2	Hs.647049	7462	7q11.23
1552362_a_at	-1.4371698	LEAP2	liver expressed antimicrobial peptide 2 (LEAP2), mRNA.	Hs.337588	116842	5q31.1
220750_s_at	1.309956376	LEPRE1	leucine proline-enriched proteoglycan (leprecan) 1 (LEPRE1), mRNA.	Hs.437656	64175	1p34.1
241957_x_at	1.722324739	LIN7B	Lin-7 homolog B (C. elegans)	Hs.221737	64130	19q13.3
228791_at	-2.415174	LOC100129502	PREDICTED: hypothetical protein LOC100129502 (LOC100129502), mRNA.	Hs.6734	348110	15
243871_at	1.624246492	LOC100130476	Similar to hCG2036711	Hs.598050		6q23.3
225899_x_at	1.661031065	LOC100133182	Hypothetical protein LOC100133182	Hs.645398		16q24.3
230737_s_at	1.613418739	LOC387647	Patched domain containing 3 pseudogene	Hs.705556	387647	10p11.23
57739_at	-1.4264149	LOC644256	Similar to Dead end homolog 1 (zebrafish)	Hs.591262		17q21.31
213089_at	1.814270252	LOC653188	PREDICTED: similar to Beta-glucuronidase-like protein SMA3, transcript variant 1 (LOC653188), mRNA.		153561	5
1568763_s_at	1.530733923	LOC728613	Programmed cell death 6 pseudogene	Hs.50823		5p15.33
228040_at	1.410775901	LOC728673	PREDICTED: misc_RNA (LOC728673), miscRNA.	Hs.459704		9
222040_at	-1.5706113	LOC728844	Hypothetical LOC728844	Hs.656277		12q13.13
220823_at	1.529362303	LOC729164	PREDICTED: misc_RNA (LOC729164), miscRNA.	Hs.610958	729164	2
226790_at	1.355182673	LOC729967	PREDICTED: misc_RNA (LOC729967), miscRNA.	Hs.99841	378464	2
230738_at	1.576375553	LOC730631	Hypothetical LOC730631	Hs.693936		1q21.2
215375_x_at	2.330360803	LRRFIP1	Leucine rich repeat (in FLII) interacting protein 1	Hs.471779	9208	2q37.3
218729_at	1.457600373	LXN	latexin (LXN), mRNA.	Hs.478067	56925	3q25.32
226675_s_at	-1.4622379	MALAT1	metastasis associated lung adenocarcinoma transcript 1 (non-protein coding) (MALAT1) on chromosome 11.	Hs.642877	378938	11q13.1
231735_s_at	-1.3772202	MALAT1	Metastasis associated lung adenocarcinoma transcript 1 (non-protein coding)		29005	11q13.1
228468_at	-1.4249761	MASTL	microtubule associated serine/threonine kinase-like (MASTL), mRNA.	Hs.276905	84930	10p12.1
201620_at	1.403182643	MBTPS1	membrane-bound transcription factor peptidase, site 1 (MBTPS1), mRNA.	Hs.75890	8720	16q24
220397_at	-1.3503521	MDM1	Mdm1 nuclear protein homolog (mouse) (MDM1), transcript variant 2, mRNA.	Hs.655702	56890	12q15
51176_at	1.30917264	MED27	Mediator complex subunit 27	Hs.374262	9442	9q34.1-q34.3
235473_at	1.44397889	MED6	Mediator complex subunit 6	Hs.497353	10001	14q24.2
1553689_s_at	1.928145722	METTL6	methyltransferase like 6 (METTL6), mRNA.	Hs.149487	131965	3p24.3
227296_at	1.30615691	MFSD3	major facilitator superfamily domain containing 3 (MFSD3), mRNA.	Hs.7678	113655	8q24.3
232446_at	1.587696495	MGC45800	PREDICTED: misc_RNA (MGC45800), miscRNA.		90768	4
226710_at	1.572267219	MGC70857	similar to RIKEN cDNA C030006K11 gene (MGC70857), mRNA.	Hs.105685	414919	8q24
244246_at	1.865509454	MIPOL1	mirror-image polydactyly 1 (MIPOL1), mRNA.	Hs.660396	145282	14q13.3-q21.1
218202_x_at	1.431070487	MRPL44	mitochondrial ribosomal protein L44 (MRPL44), nuclear gene encoding mitochondrial protein, mRNA.	Hs.203559	65080	2q36.1
218112_at	-1.3827553	MRPS34	mitochondrial ribosomal protein S34 (MRPS34), nuclear gene encoding mitochondrial protein, mRNA.	Hs.157160	65993	16p13.3
218112_at	-1.3827553	MRPS34	mitochondrial ribosomal protein S34 (MRPS34), nuclear gene encoding mitochondrial protein, mRNA.	Hs.157160	65993	16p13.3
231941_s_at	-1.4143903	MUC20	Mucin 20, cell surface associated	Hs.599259	200958	3q29
221899_at	1.621599182	N4BP2L2	NEDD4 binding protein 2-like 2	Hs.507680	10443	13q13.1
243296_at	1.466657163	NAMPT	Nicotinamide phosphoribosyltransferase	Hs.489615	10135	7q22.2
213298_at	-1.4494389	NFIC	nuclear factor I/C (CCAAT-binding transcription factor) (NFIC), transcript variant 2, mRNA.	Hs.170131	4782	19p13.3
1552696_at	-1.448998	NIPA1	non imprinted in Prader-Willi/Angelman syndrome 1 (NIPA1), mRNA.	Hs.511797	123606	15q11.2
223692_at	1.613404162	NMNAT1	nicotinamide nucleotide adenylyltransferase 1 (NMNAT1), mRNA.	Hs.633762	64802	1p32-p35
220987_s_at	-1.4464274	NUAK2	NUAK family, SNF1-like kinase, 2 (NUAK2), mRNA.	Hs.131180		1q32.1
214136_at	1.837917375	NUDT13	nudix (nucleoside diphosphate linked moiety X)-type motif 13 (NUDT13), mRNA.	Hs.533657	25961	10q22.1
224958_at	-1.3241459	NUFIP2	nuclear fragile X mental retardation protein interacting protein 2 (NUFIP2), mRNA.	Hs.462598	57532	17q11.2
212316_at	1.43057894	NUP210	nucleoporin 210kDa (NUP210), mRNA.	Hs.475525	23225	3p25.1
231035_s_at	1.581249668	OTUD1	OTU domain containing 1	Hs.601151		10p12.2
226843_s_at	-1.6601128	PAPD5	PAP associated domain containing 5 (PAPD5), transcript variant 2, mRNA.	Hs.514342	64282	16q12.1
203058_s_at	-1.4760551	PAPSS2	3-phosphoadenosine 5-phosphosulfate synthase 2 (PAPSS2), transcript variant 1, mRNA.	Hs.524491	9060	10q23-q24
235165_at	-1.3944209	PARD6B	par-6 partitioning defective 6 homolog beta (C. elegans) (PARD6B), mRNA.	Hs.589848	84612	20q13.13
227204_at	2.053527663	PARD6G	par-6 partitioning defective 6 homolog gamma (C. elegans) (PARD6G), mRNA.	Hs.654920	84552	18q23
211392_s_at	1.384264101	PATZ1	POZ (BTB) and AT hook containing zinc finger 1 (PATZ1), transcript variant 1, mRNA.	Hs.517557	23598	22q12.2
225207_at	-1.4723695	PDK4	pyruvate dehydrogenase kinase, isozyme 4 (PDK4), mRNA.	Hs.8364	5166	7q21.3
232304_at	1.355298934	PELI1	Pellino homolog 1 (Drosophila)	Hs.7886	57162	2p13.3
203879_at	1.355274321	PIK3CD	phosphoinositide-3-kinase, catalytic, delta polypeptide (PIK3CD), mRNA.	Hs.518451	5293	1p36.2
209873_s_at	2.131278667	PKP3	plakophilin 3 (PKP3), mRNA.	Hs.534395	11187	11p15
202789_at	1.33303189	PLCG1	phospholipase C, gamma 1 (PLCG1), transcript variant 2, mRNA.	Hs.268177	5335	20q12-q13.1
202337_at	1.427130638	PMF1	polyamine-modulated factor 1 (PMF1), mRNA.	Hs.530479	11243	1q12
222653_at	1.39618434	PNPO	pyridoxamine 5-phosphate oxidase (PNPO), mRNA.	Hs.631742	55163	17q21.32
219756_s_at	-1.6701364	POF1B	premature ovarian failure, 1B (POF1B), mRNA.	Hs.267038	79983	Xq21.1-q21.2
1552621_at	1.897306394	POLR2J4	polymerase (RNA) II (DNA directed) polypeptide J4, pseudogene (POLR2J4) on chromosome 7.	Hs.700609	246721	7p13
214858_at	1.997509106	PP14571	similar to hCG1777210 (PP14571) on chromosome 2.	Hs.655753		2q37.3
220741_s_at	1.372945559	PPA2	pyrophosphatase (inorganic) 2 (PPA2), nuclear gene encoding mitochondrial protein, transcript variant 3, mRNA.	Hs.654957	27068	4q25
203735_x_at	-1.40044	PPFIBP1	PTPRF interacting protein, binding protein 1 (liprin beta 1) (PPFIBP1), transcript variant 1, mRNA.	Hs.172445	8496	12p11.23-p11.22
228010_at	-1.5554008	PPP2R2C	protein phosphatase 2 (formerly 2A), regulatory subunit B, gamma isoform (PPP2R2C), transcript variant 2, mRNA.	Hs.479069	5522	4p16.1
1553681_a_at	2.203680455	PRF1	perforin 1 (pore forming protein) (PRF1), transcript variant 1, mRNA.	Hs.2200	5551	10q22
202407_s_at	1.507331207	PRPF31	PRP31 pre-mRNA processing factor 31 homolog (S. cerevisiae) (PRPF31), mRNA.	Hs.515598	26121	19q13.42
230270_at	1.404743566	PRPF38B	PRP38 pre-mRNA processing factor 38 (yeast) domain containing B	Hs.342307	55119	1p13.3
204748_at	1.76226204	PTGS2	prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase) (PTGS2), mRNA.	Hs.196384	5743	1q25.2-q25.3
1559529_at	1.546701173	PTK2	PTK2 protein tyrosine kinase 2	Hs.395482	5747	8q24-qter
203933_at	2.097297402	RAB11FIP3	RAB11 family interacting protein 3 (class II) (RAB11FIP3), mRNA.	Hs.531642	9727	16p13.3
201140_s_at	2.626422865	RAB5C	RAB5C, member RAS oncogene family (RAB5C), transcript variant 2, mRNA.	Hs.701970	5878	17q21.2
239635_at	1.999090813	RBM14	RNA binding motif protein 14	Hs.656176	84972	11q13.1
212430_at	2.02214246	RBM38	RNA binding motif protein 38 (RBM38), transcript variant 2, mRNA.	Hs.236361	55544	20q13.31
235536_at	-1.4059832	RNF149	Ring finger protein 149	Hs.142074		2q11.2
1554642_at	-1.4677678	RNF32	Ring finger protein 32	Hs.490715	140545	7q36
204208_at	-1.525581	RNGTT	RNA guanylyltransferase and 5-phosphatase (RNGTT), mRNA.	Hs.705569	8732	6q16
213959_s_at	-1.3718149	RPGRIP1L	RPGRIP1-like (RPGRIP1L), transcript variant 2, mRNA.	Hs.298382	23322	16q12.2
221989_at	1.457742735	RPL10	Ribosomal protein L10		6134	Xq28
215224_at	1.742815201	RPL23	Ribosomal protein L23	Hs.406300	9349	17q
1555878_at	1.62899507	RPS24	Ribosomal protein S24	Hs.356794	6229	10q22-q23
