AFFYID	SYMBOL	LOCUS	GENENAME	p-value	WT Fold ?	p55-/-p75+/+ Fold ?	p55+/+p75-/- Fold ?	DKO Fold ?
1418629_a_at	Khdrbs1	20218	KH domain containing, RNA binding, signal transduction associated 1	0.0276	0.79	1.17	0.75	0.87
1418739_at	Sgk2	27219	serum/glucocorticoid regulated kinase 2	0.0465	1.3	1.02	1.2	0.77
1418849_x_at	Aqp7	11832	aquaporin 7	0.0007	0.92	2.48	0.91	2.33
1419551_s_at	Stk39	53416	serine/threonine kinase 39, STE20/SPS1 homolog (yeast)	0.0227	0.94	0.56	1.16	0.59
1419583_at	Cbx4	12418	chromobox homolog 4 (Drosophila Pc class)	0.0196	0.7	0.89	0.52	0.76
1419984_s_at	D5Ertd689e	52397	DNA segment, Chr 5, ERATO Doi 689, expressed	0.0048	0.57	0.99	0.73	1.25
1420142_s_at	Pa2g4	18813	proliferation-associated 2G4	0.0138	0.96	1.46	1.04	1.28
1420657_at	Ucp3	22229	uncoupling protein 3, mitochondrial	0.0066	0.49	0.64	0.36	0.67
1420863_at	Dctn4	67665	dynactin 4	0.0427	1.56	1.53	1.82	0.9
1420866_at	Zfp161	22666	zinc finger protein 161	0.0111	0.85	0.65	1.04	0.68
1420870_at	Mllt10	17354	myeloid/lymphoid or mixed lineage-leukemia translocation to 10 homolog (Drosophila)	0.0468	0.66	0.76	0.68	0.85
1420997_a_at	Gpi1	14751	glucose phosphate isomerase 1	0.0093	1.08	0.93	1.1	0.95
1422517_a_at	Znrd1	66136	zinc ribbon domain containing, 1	0.0004	0.89	1.27	0.77	1.17
1422788_at	Slc43a3	58207	solute carrier family 43, member 3	0.044	1.29	1.07	1.27	1.07
1423042_at	Fin14	14209	fibroblast growth factor inducible 14	0.0018	0.76	1.12	0.8	1.04
1423128_at	Aip	11632	aryl-hydrocarbon receptor-interacting protein	0.0038	1.19	0.83	1.14	0.59
1423304_a_at	Rnf111	93836	ring finger 111	0.0166	0.83	0.64	0.73	0.62
1423359_at	Pln	18821	phospholamban	0.0084	1.14	0.95	1.07	0.87
1423451_at	Pgrmc1	53328	progesterone receptor membrane component 1	0.0426	1.02	1.26	1.18	1.31
1423489_at	Mmd	67468	monocyte to macrophage differentiation-associated	0.0416	0.51	0.69	0.51	0.84
1423595_at	Mina	67014	myc induced nuclear antigen	0.0215	0.9	0.77	1.3	0.8
1423694_at	Kctd10	330171	potassium channel tetramerisation domain containing 10	0.0245	0.87	1.03	0.93	1.13
1423770_at	Tmc6	217353	transmembrane channel-like gene family 6	0.0314	0.83	1.21	1.09	1.17
1424243_at	Icam1	15894	intercellular adhesion molecule	0.0352	0.8	1.11	0.9	1.21
1424427_at	D1Ertd251e	27878	DNA segment, Chr 1, ERATO Doi 251, expressed	0.0114	1.25	0.56	0.76	0.69
1424542_at	S100a4	20198	S100 calcium binding protein A4	0.0149	0.92	1.09	0.77	1.38
1424572_a_at	H2afy	26914	H2A histone family, member Y	0.0151	1.06	0.83	1.12	0.92
1424669_at	Zfyve21	68520	zinc finger, FYVE domain containing 21	0.0047	0.92	0.79	1.05	0.68
1424807_at	Lama4	16775	laminin, alpha 4	0.0386	0.75	0.95	0.65	0.85
1424955_at	Ccdc5	225745	coiled-coil domain containing 5	0.0178	1.09	0.99	1.17	0.95
1424967_x_at	Tnnt2	21956	troponin T2, cardiac	0.0006	1.14	0.98	1.06	0.92
1425581_s_at	Galnt7	108150	UDP-N-acetyl-alpha-D-galactosamine: polypeptide N-acetylgalactosaminyltransferase 7	0.0103	0.95	0.48	1.06	0.79
1426047_a_at	Ptprr	19279	protein tyrosine phosphatase, receptor type, R	0.0193	1.15	0.65	1.1	0.9
1426439_at	Ddx3y	26900	DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, Y-linked	0.006	0.92	1.33	0.82	1.53
1426799_at	Cbfb	12400	core binding factor beta	0.0257	0.83	1	0.87	1.04
1426915_at	Dapk1	69635	death associated protein kinase 1	0.0128	0.72	1.13	0.88	1
1427045_at	Synpo	104027	synaptopodin	0.0277	0.55	0.75	0.55	0.78
1427259_at	Trim24	21848	tripartite motif protein 24	0.0043	1.26	0.87	1.27	0.95
1427322_at	Wdr9	93871	WD repeat domain 9	0.039	0.76	1.11	0.66	0.82
1427376_a_at	Map4k5	78253	mitogen-activated protein kinase kinase kinase kinase 5	0.0245	0.55	0.74	0.46	0.85
1428137_at	Arl10c	67166	ADP-ribosylation factor-like 10C	0.0026	1.23	0.55	1.41	0.74
1428161_a_at	Chchd2	14004	coiled-coil-helix-coiled-coil-helix domain containing 2	0.0352	1.24	1.05	1.18	1.02
1428169_at	Apg16l	77040	APG16 autophagy 16-like (S. cerevisiae)	0.0349	0.96	1.18	1.07	1.18
1428326_s_at	Hrsp12	15473	heat-responsive protein 12	0.0253	1.11	1.33	1.18	1.59
1428394_at	Lrrc8	241296	leucine-rich repeat-containing 8	0.0484	1.21	1.07	1.17	0.95
1428511_at	Phkg2	68961	5phosphorylase kinase, gamma 2 (testis)	0.0328	1.08	0.83	0.89	0.75
1431008_at	H2-Q1	15006	histocompatibility 2, Q region locus 1	0.0221	0.67	1.01	0.75	0.97
1434773_a_at	Slc2a1	20525	solute carrier family 2 (facilitated glucose transporter), member 1	0.0227	0.98	0.76	1.39	0.93
1435416_x_at	Pigq	14755	phosphatidylinositol glycan, class Q	0.0104	0.78	0.94	0.75	1.12
1435643_x_at	Ubb	22187	ubiquitin B	0.0165	1.24	1.03	1.14	1.02
1435866_s_at	Hist3h2a	319162	histone 3, H2a	0.0166	1.15	1.61	1	1.7
1436703_x_at	Snapc2	102209	small nuclear RNA activating complex, polypeptide 2	0.0115	0.99	0.66	0.86	0.68
1436713_s_at	Gtl2	17263	GTL2, imprinted maternally expressed untranslated mRNA	0.009	0.89	1.5	1.18	1.3
1436801_x_at	Cdc42ep4	56699	CDC42 effector protein (Rho GTPase binding) 4	0.0183	1.46	0.83	1.27	0.96
1436840_x_at	Rpl35	66489	ribosomal protein L35	0.0435	1.22	0.96	1.24	1.13
1436926_at	Esrrb	26380	estrogen related receptor, beta	0.0188	0.69	1.04	0.73	0.9
1437172_x_at	Hadhb	231086	hydroxyacyl-Coenzyme A dehydrogenase/3-ketoacyl-Coenzyme A thiolase/enoyl-Coenzyme A hydratase (trifunctional protein), beta subunit	0.0096	1.09	0.89	1.1	0.97
1438155_x_at	Pigo	56703	phosphatidylinositol glycan, class O	0.0146	1.07	0.76	1.04	0.88
1438320_s_at	Mcm7	17220	minichromosome maintenance deficient 7 (S. cerevisiae)	0.0355	1.34	1.31	1.85	1.12
1439375_x_at	Aldo1	11674	aldolase 1, A isoform	0.035	1.07	0.99	1.11	0.98
1448213_at	Anxa1	16952	annexin A1	0.003	0.88	1.26	1.1	1.49
1448729_a_at	12:00 AM	18952	septin 4	0.0445	0.75	1.02	0.88	0.87
1448820_a_at	Eif2s2	67204	eukaryotic translation initiation factor 2, subunit 2 (beta)	0.0196	1.12	1.31	0.95	1.39
1449042_at	Ctcf	13018	CCCTC-binding factor	0.0303	0.96	0.57	0.93	0.8
1449343_s_at	Sin3a	20466	transcriptional regulator, SIN3A (yeast)	0.0288	0.75	1.01	0.69	0.84
1449354_at	U2af1-rs1	22183	U2 small nuclear ribonucleoprotein auxiliary factor (U2AF) 1, related sequence 1	0.0151	0.87	0.53	0.8	0.62
1449566_at	Nkx2-5	18091	NK2 transcription factor related, locus 5 (Drosophila)	0.0124	0.89	0.77	1.02	0.71
1449710_s_at	Atp5a1	11946	ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit, isoform 1	0.0325	1.07	0.96	1.07	0.89
1449969_at	Tmod4	50874	tropomodulin 4	0.0195	1.16	0.92	1	0.82
1450036_at	Sgk3	170755	serum/glucocorticoid regulated kinase 3	0.0314	0.84	0.97	0.84	1.05
1450048_a_at	Idh2	269951	isocitrate dehydrogenase 2 (NADP+), mitochondrial	0.0377	1.05	1	1.17	0.92
1450081_x_at	Gpi1	14751	glucose phosphate isomerase 1	0.0463	1.1	1.03	1.19	0.99
1450879_at	Atp9b	50771	ATPas, class II, type 9B	0.0244	0.84	0.72	0.82	0.65
1450937_at	Lin7c	22343	lin 7 homolog c (C. elegans)	0.0476	0.78	1.07	0.8	0.93
1450957_a_at	Sqstm1	18412	sequestosome 1	0.0101	0.97	0.91	1.09	0.81
1451002_at	Aco2	11429	aconitase 2, mitochondrial	0.0038	1.1	0.97	1.09	0.88
1451056_at	Psmd7	17463	proteasome (prosome, macropain) 26S subunit, non-ATPase, 7	0.0292	1.21	0.85	1.02	0.97
1451506_at	Mef2c	17260	myocyte enhancer factor 2C	0.0379	0.71	0.87	0.59	0.97
1451891_a_at	Dysf	26903	dysferlin	0.0264	0.88	1.05	0.72	1.02
1451940_x_at	Trdn	76757	triadin	0.007	1.41	0.88	1.2	0.97
1452080_a_at	Tes3-ps	54339	testis derived transcript 3, pseudogene	0.0202	1.05	1.29	0.92	1.42
1452197_at	Smc4l1	70099	SMC4 structural maintenance of chromosomes 4-like 1 (yeast)	0.007	0.87	1.13	1.03	1.33
1452627_at	Senp6	215351	SUMO/sentrin specific protease 6	0.0217	0.89	0.94	0.88	1.13
1453723_x_at	Ubb	22187	ubiquitin B	0.0107	1.21	1.03	1.18	1.04
1454771_at	Cpsf2	51786	cleavage and polyadenylation specific factor 2	0.0023	1.03	1.52	1.08	1.31
1455138_x_at	Cfl1	12631	cofilin 1, non-muscle	0.0173	1.2	1.3	1.15	1.42
1456616_a_at	Bsg	12215	basigin	0.0173	1.23	1	1.13	1.05
1456728_x_at	Aco1	11428	aconitase 1	0.0279	0.7	1.2	0.81	0.89
1460592_at		13821	erythrocyte protein band 4.1-like 1	0.0234	1.26	0.74	1.03	0.77
1460652_at	Esrra	26379	estrogen related receptor, alpha	0.0055	1.24	0.9	1.15	1
