Genbank	Gene name	Gene description	Expression ratios wt GCV	Expression ratios day1	Expression ratios day2	Expression ratios day3	Cluster
AI325697	Ly6a	lymphocyte antigen 6 complex. locus A	1	0.5	0.5	0.6	Cluster 4
M63903	Max	Max protein	1.1	0.6	0.7	0.6	Cluster 4
U67187	Rgs2	regulator of G-protein signaling 2	1.3	0.6	0.6	0.6	Cluster 4
AB008180	Pcdha13	protocadherin alpha 13	0.9	0.6	0.5	0.6	Cluster 4
U58888	Sh3d3	SH3 domain protein 3	1.2	0.6	0.5	0.6	Cluster 4
M63848	Lta4h	leukotriene A4 hydrolase	1.1	0.6	0.5	0.6	Cluster 4
AI325865	Arpc4	actin related protein 2/3 complex. subunit 4	0.9	0.6	0.5	0.6	Cluster 4
D17573	Acrbp	proacrosin binding protein	1	0.7	0.6	0.7	Cluster 4
Z19543	Cnn2	calponin 2	1.5	0.6	0.9	0.7	Cluster 4
U87240	Man2b1	mannosidase 2. alpha B1	1.3	0.8	0.7	0.7	Cluster 4
AA060700	Art5	ADP-ribosyltransferase 5	1.1	0.7	0.5	0.7	Cluster 4
AA038347	Flna	filamin. alpha	1.2	0.6	0.7	0.7	Cluster 4
AA000535	Ampd2	adenosine monophosphate deaminase 2 (isoform L)	1.2	0.7	0.7	0.8	Cluster 4
D30730	Nf1	neurofibromatosis 1	1.3	0.8	0.8	0.8	Cluster 4
AI323951	Anxa10	annexin A10	1.1	0.7	0.9	0.9	Cluster 4
