Probe set	Gene Symbol	Gene Title	SCTUB1	SCUTUB2	SCTUB3	SGLOM1	SGLOM2	SGLOM3	MES1	MES2	MES3	RPTEC1	RPTEC2	RPTEC3
200640_at	YWHAZ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide	9074.5	8145.7	7489.5	6417.7	6650	5842.9	4454.5	4098.1	3322.5	6179.9	6253.1	6984.3
200647_x_at	EIF3C /// EIF3CL	eukaryotic translation initiation factor 3, subunit C /// eukaryotic translation initiation factor 3, subunit C-like	11585.9	9682.8	8363.8	8713.6	10196	8101.9	4440.5	4285.9	4848.7	10236.3	10647.3	10849
200651_at	GNB2L1	guanine nucleotide binding protein (G protein), beta polypeptide 2-like 1	25393.6	23807.8	22768.4	26957	23065.2	24645.3	14424.9	15702.4	13232.4	23546.5	23733.7	25618.8
200655_s_at	CALM1 /// CALM2 /// CALM3	calmodulin 1 (phosphorylase kinase, delta) /// calmodulin 2 (phosphorylase kinase, delta) /// calmodulin 3 (phosphorylase kinase, delta)	2268.5	3170.4	2889.9	2906.5	2962.5	3086.6	4807.9	4803.4	5611.8	2202.2	2017.9	2384.2
200657_at	SLC25A5	solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 5	10878.4	8854.3	10436.6	9592.4	8142.8	10174	6448	4738.7	5341.7	12958.5	12113.9	12938.1
200665_s_at	SPARC	secreted protein, acidic, cysteine-rich (osteonectin)	3575.6	2263.9	2046.5	3103.9	1943.1	2854.6	18568.7	17965.7	18477	4040.5	3833.7	3888.6
200675_at	CD81	CD81 molecule	4466	4022.1	3351.3	3339.3	3717.4	3025.1	5588.4	5809.7	5493.2	2875.1	2717.1	2720.3
200677_at	PTTG1IP	pituitary tumor-transforming 1 interacting protein	11276.6	10843.1	10065.2	10941.5	10523.2	9788.9	13564	13148.3	14484.2	10903.7	10942.4	10425
200696_s_at	GSN	gelsolin (amyloidosis, Finnish type)	1241.8	1187.2	1195.5	1438.4	1287.5	1262.2	1986.5	1878.3	2331.5	782.6	764.3	731.6
200698_at	KDELR2	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 2	2614.5	2535.9	2169.5	2337.1	2195.9	2377	3799.7	3586.4	3634	1774.7	1955.5	1716.5
200699_at	KDELR2	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 2	3525	3055.8	2596.1	2547.9	2376.5	2904.7	4786.4	4776	4398.5	1860	2062.3	2044.1
200700_s_at	KDELR2	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 2	5014.9	4197.3	4011	3817.1	3789.9	3064.9	7725	8977.7	8283.4	4846.9	4511.4	4943.1
200704_at	LITAF	lipopolysaccharide-induced TNF factor	3660.4	3035.4	2892.5	3415.1	2822.6	3053	1544.5	1558.4	1191.7	1350	1262.8	1281.6
200707_at	PRKCSH	protein kinase C substrate 80K-H	1010	782.1	1035.8	902.9	957.4	861.2	1425.2	1531.8	1401.8	867.9	788.7	848.8
200710_at	ACADVL	acyl-Coenzyme A dehydrogenase, very long chain	3030.5	2578.8	2908.5	2630.7	2760.6	2709.9	1292.9	1805.2	1729.6	2058	2277.7	2329.9
200714_x_at	OS9	amplified in osteosarcoma	2584.8	2324.1	2446.9	1822.4	2069.5	2280.1	3757.9	3820.7	3878	1746.2	2091.3	1468.6
200715_x_at	RPL13A	ribosomal protein L13a	22200.9	16535.3	15079.3	16150.7	16103	17030.7	8384.8	10524.4	8627.9	14565.3	15439.4	16332.9
200723_s_at	CAPRIN1	cell cycle associated protein 1	4496.5	4109.5	4250	3845.7	3769.1	3949.1	4514.5	4387.8	4956.5	4745.8	5079.5	5152.5
200736_s_at	GPX1	glutathione peroxidase 1	4858.8	5173.3	4631.2	4325.6	6060.5	5451.9	2077.9	2584.8	2637.4	11076.6	9499.3	9608.4
200739_s_at	SUMO3	SMT3 suppressor of mif two 3 homolog 3 (S. cerevisiae)	659	581.4	619.5	775.9	695.4	795.4	942.7	1057.8	958.2	694.7	641.2	675.1
200740_s_at	SUMO2 /// SUMO3	SMT3 suppressor of mif two 3 homolog 2 (S. cerevisiae) /// SMT3 suppressor of mif two 3 homolog 3 (S. cerevisiae)	1387.4	1531.5	1599.7	1587.9	1747.5	1731.8	2842.4	2961.9	2607.8	1817.6	1849.3	2243.3
200744_s_at	GNB1	guanine nucleotide binding protein (G protein), beta polypeptide 1	4264.4	3315.6	3451.5	3043.8	3002	3547.7	2274.7	2392.9	2743.2	4110.2	4017.3	4340.5
200746_s_at	GNB1	guanine nucleotide binding protein (G protein), beta polypeptide 1	6132.4	6267.9	5618.6	6341.1	5232	4998	3137.5	3149	3075.3	5212.6	5236.8	5276.8
200753_x_at	SFRS2	splicing factor, arginine/serine-rich 2	918.4	840.1	799.7	918.8	906.5	531.6	310	319.7	434.2	916.9	825.2	1002.4
200755_s_at	CALU	calumenin	1418.4	2123.9	1441.6	1723.2	1548.8	1453	4211.8	4375.6	4410.5	837.4	688.8	801.3
200756_x_at	CALU	calumenin	976	1152.6	767.2	779.9	1071.4	738.2	2619.7	2338.3	2788	654.1	660.9	683
200757_s_at	CALU	calumenin	2088.9	2402.5	1622.2	2207.7	1896.2	1767.9	6847.2	6485.1	7307.4	1087.7	1343.7	1236.8
200770_s_at	LAMC1	laminin, gamma 1 (formerly LAMB2)	2782.7	1474	1852.6	2059.1	2718.5	2211.9	4986.3	4863	5231	2551	2383.5	2607.3
200779_at	ATF4	activating transcription factor 4 (tax-responsive enhancer element B67)	7550.4	7721.4	6924	5876	7387.9	6095.7	8391.5	8071.1	8232.8	4040.8	4798	5092.1
200782_at	ANXA5	annexin A5	5518.1	5247.9	5326.4	5301.1	5673.3	4343	12973.6	11740	12888.2	6431.5	6168.6	5741.5
200784_s_at	LOC100134190 /// LRP1	similar to low density lipoprotein-related protein 1 (alpha-2-macroglobulin receptor) /// low density lipoprotein-related protein 1 (alpha-2-macroglobulin receptor)	203.1	49.9	159.9	58.1	63.9	36.3	972.9	921.2	886.9	20.6	29.4	16.9
200785_s_at	LOC100134190 /// LRP1	similar to low density lipoprotein-related protein 1 (alpha-2-macroglobulin receptor) /// low density lipoprotein-related protein 1 (alpha-2-macroglobulin receptor)	292.2	270.1	113.7	190.4	144	102.6	1600.1	1529.7	1520.9	85.8	60.3	70
200786_at	PSMB7	proteasome (prosome, macropain) subunit, beta type, 7	4248.1	5580.6	4626.7	4859.2	5233.9	4454.4	4104.9	3665.3	3603.4	3016.1	2652.6	2673.3
200788_s_at	PEA15	phosphoprotein enriched in astrocytes 15	7666.7	6453.8	3878.5	5945.2	4810.6	4454.1	6649	9877.3	8305.7	2526.4	2503.1	1952
200789_at	ECH1	enoyl Coenzyme A hydratase 1, peroxisomal	2028.1	1665.8	2044.6	2034.5	1661	3089.7	666.3	668.4	584.7	1896.9	1825.9	1423.4
200791_s_at	IQGAP1	IQ motif containing GTPase activating protein 1	4877.4	5415.1	4128	5857.5	5002	4991.8	3161.7	3068.6	2608.9	2800.8	3195.9	2344.5
200793_s_at	ACO2	aconitase 2, mitochondrial	1186.9	905.4	1286.6	1058.1	1133.9	1378.1	822	1016.1	1028.7	2279.8	2611.6	2717.5
200794_x_at	DAZAP2	DAZ associated protein 2	4102.3	4554.8	5021.4	4567.9	5078	6531.7	2184.1	2018.4	2302.5	5463.7	5320.8	5771.6
200802_at	SARS	seryl-tRNA synthetase	3569.2	3872.4	3655.1	3232.8	3184.2	3575.4	6215.2	7103.8	6848.4	3406.7	3123.1	3171.8
200804_at	TMBIM6	transmembrane BAX inhibitor motif containing 6	4443.9	4654.2	5345	4196	4785.7	5435.5	1933.4	2877.4	2702.7	5324.1	5764.4	5736.2
200808_s_at	ZYX	zyxin	2484.6	1471.1	1617	1720.9	1415.8	1521.9	1942.1	1933	2113.1	581.8	599.4	521
200812_at	CCT7	chaperonin containing TCP1, subunit 7 (eta)	3792.2	3455.4	3732.5	3549.9	3259.7	3110.1	2992.6	2717.5	2595.1	3618.9	3622.4	3679.8
200814_at	PSME1	proteasome (prosome, macropain) activator subunit 1 (PA28 alpha)	5076.8	4665.8	6422.4	4624.1	4961.9	5364.1	1510.4	1342.7	998.4	5434.3	5083.4	5070
200824_at	GSTP1	glutathione S-transferase pi 1	18194.5	16496.9	9045.2	13064.9	11612.1	10673.3	2177.3	1840.6	2586.9	8084.8	9603.4	7964.4
200827_at	PLOD1	procollagen-lysine 1, 2-oxoglutarate 5-dioxygenase 1	1132.1	1277.3	1021.7	914.1	883.1	784.9	1556.4	2031.4	1499	794.8	1064.5	882.3
200833_s_at	hCG_1757335 /// RAP1B	hCG1757335 /// RAP1B, member of RAS oncogene family	2565.6	3559.2	3531	3517.1	3112.6	3943.9	8063.8	6824.8	7229.4	2639.9	2569.4	3042.8
200835_s_at	MAP4	microtubule-associated protein 4	517.6	262.8	98.9	248	289.3	333.1	15.1	16	15.3	647.7	544.3	678.2
200843_s_at	EPRS	glutamyl-prolyl-tRNA synthetase	2136.4	3041.4	1880.2	2502.8	2039.3	2166.7	4145.6	4149.3	4016.1	1341	1310.8	1307.3
200845_s_at	PRDX6	peroxiredoxin 6	2810.3	3121.3	3291.5	3452.3	3213.2	3086.8	2843.8	2482.1	2798.9	3819.4	4209	4619.9
200846_s_at	PPP1CA	protein phosphatase 1, catalytic subunit, alpha isoform	3568.9	2342	2677.1	2345.7	2426	2454.9	1479.9	1296	1417.1	2743.1	2427.3	2532.9
200848_at	AHCYL1	S-adenosylhomocysteine hydrolase-like 1	2081.2	1272	1579.5	1407.8	1455.4	1939.5	1066.7	1042.5	1078.7	3944	4893	4327.9
200850_s_at	AHCYL1	S-adenosylhomocysteine hydrolase-like 1	3229.5	3168.7	3628.1	3626.2	3775.9	3582.7	3462.6	2261.8	3141.7	5822.4	6289	5451.5
200862_at	DHCR24	24-dehydrocholesterol reductase	3636.6	5209.9	4446.3	3209	5193.4	5994.5	457.3	508.6	445.4	5988.7	6038	5866.1
200863_s_at	RAB11A	RAB11A, member RAS oncogene family	8482.9	11553.5	11788	7736.2	8760.8	8925.3	4824.5	4375.4	4922.5	9157.7	8800	8832.2
200866_s_at	PSAP	prosaposin	5885.4	6448.3	5515.8	5604.7	6520.8	5978.6	1966.4	1243.9	1281.9	7203	8678.6	7626.4
200871_s_at	PSAP	prosaposin	17684	17793.5	14915.9	17085.9	16954.8	15665.4	6823	6293.1	7589.5	16221.1	18057.5	16709.9
200877_at	CCT4	chaperonin containing TCP1, subunit 4 (delta)	7262.4	6304.1	6706.6	7498.6	5848.9	8700.7	3722.2	4218.9	4303.4	7047.9	7242.9	7522.6
200882_s_at	PSMD4	proteasome (prosome, macropain) 26S subunit, non-ATPase, 4	2497.2	2470.1	2392.7	2737.7	2670.3	3017	1998.8	1740.5	1968.6	2860.2	2428.5	2926.9
200884_at	CKB	creatine kinase, brain	834	808.1	689.6	787.9	516.7	511.7	569.4	667.3	619	1890.8	1599.9	1784.8
200885_at	RHOC	ras homolog gene family, member C	4724.6	4127.6	4527.3	3707.9	3151.7	3309.2	2824.5	2865.6	2677.7	5741.1	4253.2	6194
200895_s_at	FKBP4	FK506 binding protein 4, 59kDa	819.8	1085.2	754.5	740.3	901	799	292.8	330.3	551.2	1116.3	1271.1	1533
200897_s_at	PALLD	palladin, cytoskeletal associated protein	4881.2	4481.3	3554	5076.4	5024.5	3570.3	7908.1	9730.3	8558.8	3493.9	3307.1	3649
200900_s_at	M6PR	mannose-6-phosphate receptor (cation dependent)	1432.8	1839.5	1440.3	1530.3	1586.4	1573.4	681	462.7	591	1905.5	1776.8	1868.8
200901_s_at	M6PR	mannose-6-phosphate receptor (cation dependent)	1291.8	1794.2	1491.8	1357.5	1570.2	1654.9	770.4	757.8	705.3	1123.6	1117.5	1215.9
200910_at	CCT3	chaperonin containing TCP1, subunit 3 (gamma)	4850.3	5252.7	4994.6	5633.9	5129.5	5396.2	3287.4	2755.9	3120.2	4958.8	4690.5	4447.1
200920_s_at	BTG1	B-cell translocation gene 1, anti-proliferative	3073.2	2958.8	4562.5	3194.5	4045	4410.3	2412.1	2953.3	3344.9	1560.8	1342.4	1321.3
200921_s_at	BTG1	B-cell translocation gene 1, anti-proliferative	1446.5	1303.1	1374.3	1567.7	2164.8	1671.4	1767.8	1679	1919.2	887.7	814.8	753.2
200945_s_at	SEC31A	SEC31 homolog A (S. cerevisiae)	3453.4	3379.5	2767.8	3623.6	3453.8	3311.7	5228.1	5851.4	5302	4366	4301.5	4474.7
200946_x_at	GLUD1	glutamate dehydrogenase 1	989.4	1438.1	1052.7	1056.8	959.8	1106.9	947	1183	866.3	2887.5	2536.3	2693.8
200947_s_at	GLUD1	glutamate dehydrogenase 1	524.8	952.3	610.2	537.2	774.3	642.5	490.1	482.6	767.2	1984.8	2275	1736.6
200950_at	ARPC1A	actin related protein 2/3 complex, subunit 1A, 41kDa	1614.4	1789.1	1700.8	1430.9	1391.6	1697.4	2860.6	3210.3	2580.2	1345.2	1193.1	1480.2
200953_s_at	CCND2	cyclin D2	1091.1	5155.6	1045.9	2073.8	1723.6	859.1	114.8	45	88.7	346	330	298.2
200960_x_at	CLTA	clathrin, light chain (Lca)	13089.3	13938.3	12777.7	11669.8	11680.1	13015.3	4100.9	4700.2	4388.2	8982.6	8559.5	8769.6
200965_s_at	ABLIM1	actin binding LIM protein 1	1390.2	1930.3	1707.1	1761	1359.2	2063.8	480.9	469.9	345.6	1679.2	1584.4	1638.6
200966_x_at	ALDOA	aldolase A, fructose-bisphosphate	15812	11892.9	10007.6	11859.3	10409.7	9411.7	17662.6	17762.6	15920.6	21124.5	20624.8	21298.4
200968_s_at	PPIB	peptidylprolyl isomerase B (cyclophilin B)	7265	4389.5	5636.7	5546.2	4861.9	6789.7	13112.7	13118	15916.5	6195	6237.1	6397.3
200974_at	ACTA2	actin, alpha 2, smooth muscle, aorta	1366.6	912.5	794.7	1181	697.9	795.2	19859.5	20514.2	16045.6	817.6	900.8	819.5
200978_at	MDH1	malate dehydrogenase 1, NAD (soluble)	7486.4	8554.6	9959	10302.9	9169.9	10508.4	4948.4	4408.1	4058.1	11744.7	11621.4	9674
200980_s_at	PDHA1	pyruvate dehydrogenase (lipoamide) alpha 1	2569.9	1675.2	2463.3	2396.3	1837.5	2687.9	898.3	944.5	923.2	2692.5	2504.7	2333.2
200992_at	IPO7	importin 7	1671.4	1702.2	1450.3	1442.6	1750.5	1514.5	1249.1	1351	1395.4	2862.6	2368.7	2705.1
200994_at	IPO7	importin 7	1089.3	1208.9	803.2	1450.7	1545.3	1460.3	1349.6	1182.4	1296.1	2085.3	2278.3	1826.4
200999_s_at	CKAP4	cytoskeleton-associated protein 4	4069.1	2765.1	2203.2	2161.3	2308	1647.1	7443.5	7563.1	8302	1993.7	1785.5	1697.9
201011_at	RPN1	ribophorin I	1009.5	910.7	883.9	681	754.7	912.2	1354.7	1828.4	1888.2	1394.7	1165.4	1207.5
201013_s_at	PAICS	phosphoribosylaminoimidazole carboxylase, phosphoribosylaminoimidazole succinocarboxamide synthetase	1858.3	1105.3	1435	2265.2	1594.3	1811.6	1136.5	1074.6	1098.2	2652.5	2820.2	2996.7
201022_s_at	DSTN	destrin (actin depolymerizing factor)	10544.2	10307.9	7998.5	8565	10498	8807.6	20816.6	21219	21005.6	9471.9	9198.4	7794.9
201028_s_at	CD99	CD99 molecule	1452.5	751.1	957.3	1424.2	944.5	1233.2	6385	6547.9	6963.1	2229.8	1894.3	1966.7
201029_s_at	CD99	CD99 molecule	3606.7	1964.1	2015.8	2858.7	2479.2	2475.8	10250.9	11343.1	8807.3	4239.2	3819.2	3844.8
201034_at	ADD3	adducin 3 (gamma)	2665.7	2561.1	1752.5	3013.4	2100.5	2753.7	5834.3	5956.3	7515.5	6703.5	6616.4	6679.3
201058_s_at	MYL9	myosin, light chain 9, regulatory	4059	2967.6	2396.3	2221.8	3073.8	2820.4	11715.9	11194.8	11541.9	736.4	702.6	609.5
201061_s_at	STOM	stomatin	729	1093.3	1285.7	1329.1	1312.1	1052.8	2254.6	2192.2	2296.6	2037.9	2077.4	1853.7
201063_at	RCN1	reticulocalbin 1, EF-hand calcium binding domain	1644	2412.7	1561.8	1685.8	3187.1	2343.7	7226.2	4506	5152.9	1147.1	1121.2	1175.9
201065_s_at	GTF2I /// GTF2IP1 /// LOC100093631	general transcription factor II, i /// general transcription factor II, i, pseudogene 1 /// general transcription factor II, i, pseudogene	2289.7	2395.1	2270.3	2422.5	2767.1	3169	1300.3	1286.6	1200.6	3018.4	3074.9	3010.5
201066_at	CYC1	cytochrome c-1	3270.9	2661.4	2573.8	2903.5	2514.4	3033.5	1205.4	1651.2	1989.3	6153	5093.4	5854.3
201068_s_at	PSMC2	proteasome (prosome, macropain) 26S subunit, ATPase, 2	2743.7	3297.4	2576.8	2902.9	3037.8	2632.6	2997.3	3333.6	3287.6	1833.7	2086.5	1827.8
201069_at	MMP2	matrix metallopeptidase 2 (gelatinase A, 72kDa gelatinase, 72kDa type IV collagenase)	1548.1	1730.4	626.7	898.8	881.9	600.3	7234.9	7928.3	8344.6	327.3	386.9	393.2
201079_at	SYNGR2	synaptogyrin 2	1360	2332.6	1738.1	1386.9	2205.3	1367.6	382.6	193.3	382.3	787.5	981.1	801.1
201089_at	ATP6V1B2	ATPase, H+ transporting, lysosomal 56/58kDa, V1 subunit B2	3363.4	5821.8	6586	3295.9	4340.9	4606.7	1398.8	830.9	1149	1800.9	1689.5	1805.1
201093_x_at	SDHA	succinate dehydrogenase complex, subunit A, flavoprotein (Fp)	2195.3	1926.2	2337.5	1722	1796.1	1900	1468.5	1183.8	1423.8	2847.4	2616.6	2810.1
201112_s_at	CSE1L	CSE1 chromosome segregation 1-like (yeast)	2862.2	3235.5	3122.7	2849.9	2909.1	3193.6	2983.6	3312	2834.2	2159.4	2188.6	2212.4
201120_s_at	PGRMC1	progesterone receptor membrane component 1	1141.8	1422.5	1660.1	1552.7	1702	2142	1487.9	1163.5	1184.5	2829.9	2931.1	2651.8
201125_s_at	ITGB5	integrin, beta 5	1915.1	3078.6	1993.1	2099.4	2199	2035	7296.5	5395.5	5670.3	3218.1	2820.9	2948.1
201126_s_at	MGAT1	mannosyl (alpha-1,3-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase	483.9	452	584.7	330.4	354.8	419.3	1183.1	1260.2	1374.5	450.7	423.2	329.5
201134_x_at	COX7C	cytochrome c oxidase subunit VIIc	13082.7	14958.8	12117.4	15396.9	12928.9	11058.8	6524.7	5289	7819.6	14221.7	12785.1	13131.4
201135_at	ECHS1	enoyl Coenzyme A hydratase, short chain, 1, mitochondrial	5029.5	5402.9	4690.2	5219.4	3937.2	4033	2653.7	2752.9	2963.4	5173.3	4912.9	4851.9
201141_at	GPNMB	glycoprotein (transmembrane) nmb	495	578.6	2114.8	714.4	4353.2	1726.5	2610.2	1777.6	2231.9	64.5	43.6	51.9
201145_at	HAX1	HCLS1 associated protein X-1	2412.7	2321.6	2152.6	1765.6	1762.8	1460.3	4144.9	4230.3	3524.3	1633	1729.8	1581.5
201147_s_at	TIMP3	TIMP metallopeptidase inhibitor 3	33.3	78.2	13.4	36.3	17.1	23.6	7538.8	7310.2	7944.7	31.8	22	5.6
201148_s_at	TIMP3	TIMP metallopeptidase inhibitor 3	31.3	13.5	23.7	25.5	9	23.1	7014.1	6609.1	6419.9	19.1	19.3	11.8
201149_s_at	TIMP3	TIMP metallopeptidase inhibitor 3	156	52.4	163.9	116.9	58.6	24.4	5665.2	7033.7	5999.4	117.5	83.1	70
201150_s_at	TIMP3	TIMP metallopeptidase inhibitor 3	220.2	68.3	171.7	8.6	53.4	6.1	12842.4	13179.2	14068.4	9.2	9	31.2
201152_s_at	MBNL1	muscleblind-like (Drosophila)	1099.2	728.1	751.4	875.3	995.4	1140.3	3263.4	5367.3	4720.6	1334.9	1428	1475.9
201153_s_at	MBNL1	muscleblind-like (Drosophila)	532.9	608	487.6	924	603.6	798	2347.4	2882.7	2359.5	1027.1	1160.2	1247.1
201155_s_at	MFN2	mitofusin 2	799.8	710.9	820.1	592.6	632	667.8	616.4	690	760	1079.3	984.1	1025.4
201160_s_at	CSDA	cold shock domain protein A	3871	3083.2	3480.2	3698.2	3600.6	4140.2	3523.6	3230.3	3953.2	7147.2	8273.5	8084.4
201161_s_at	CSDA	cold shock domain protein A	2535.8	1209.5	1709.7	1788.8	1650.1	2198	879.8	1243.4	1231.3	3846.4	3775.9	4292.8
201174_s_at	TERF2IP	telomeric repeat binding factor 2, interacting protein	589.2	662.8	444.5	617.7	768.2	722.6	1430.7	1287.5	1218.3	478.7	474.6	567.7
201178_at	FBXO7	F-box protein 7	2598.1	2250.5	2248.9	1983.6	1820.1	1948.3	1336	1651.6	1409.1	2183.3	2121.4	2601.1
201185_at	HTRA1	HtrA serine peptidase 1	649.5	1075.2	834.6	606.8	520.1	1057.1	10996.9	11025.5	8486.7	726.6	715.5	718.6
201194_at	SEPW1	selenoprotein W, 1	1604.4	2881	1766.4	1969.9	1478	1891.4	3105.4	3141	2930.8	800.1	801.6	574.6
201198_s_at	PSMD1	proteasome (prosome, macropain) 26S subunit, non-ATPase, 1	1584	2061.5	2241	2220.3	1996.4	1687.5	2633.8	2139	2010.6	906.3	1032.1	1121.9
201204_s_at	RRBP1	ribosome binding protein 1 homolog 180kDa (dog)	428.5	434.8	570.6	623.1	573.7	609.4	335.1	296.5	472	884.7	803.3	1151.9
201208_s_at	TNFAIP1	tumor necrosis factor, alpha-induced protein 1 (endothelial)	1077.9	921.3	1062.8	799.2	597.9	665.9	370.5	359.8	242.1	539.7	627	698.1
201209_at	HDAC1	histone deacetylase 1	2590	2277.3	1662.4	2469.6	2020	1981	996.6	821.3	1005.2	2498.6	2400.8	2657.5
201215_at	PLS3	plastin 3 (T isoform)	2839.8	3180.9	4566.8	4543.3	4525.3	3635.6	5665.5	6779.4	6485	2655.7	2894	2802.7
201234_at	ILK	integrin-linked kinase	2537.7	1847.2	1946.4	1592	1733.9	1905.8	2891.9	3080	3147.5	1450.5	1776.5	1747.8
201241_at	DDX1	DEAD (Asp-Glu-Ala-Asp) box polypeptide 1	2049.7	2660	2328.7	2930.7	2781.9	2765.4	2992.7	2107.8	2773.5	1568	1413.7	1131.3
201242_s_at	ATP1B1	ATPase, Na+/K+ transporting, beta 1 polypeptide	4818.5	4227.5	4524.6	4242.1	4647.6	5001.1	689.7	1245.1	1007.6	15680.4	16278.3	14720.1
