Name	Gene ID	Symbol	Human Fibroblast Median Intensity	hESC Median Intensity
C-type lectin domain family 11, member A	6320	CLEC11A	302.27	194.75
inhibin, beta A (activin A, activin AB alpha polypeptide)	3624	INHBA	2744.34	59.82
laminin, alpha 2 (merosin, congenital muscular dystrophy)	3908	LAMA2	8.53	37.11
jagged 1 (Alagille syndrome)	182	JAG1	230.5	90.77
pro-platelet basic protein (chemokine (C-X-C motif) ligand 7)	5473	PPBP	4.77	5.33
fibrosin 1	64319	FBS1	124.92	59.42
laminin, alpha 4	3910	LAMA4	185.94	7.44
angiopoietin-like 4	51129	ANGPTL4	1471.2	187.2
fibroblast growth factor 5	2250	FGF5	99.17	22.62
tumor necrosis factor (ligand) superfamily, member 11	8600	TNFSF11	12.89	21.99
leukemia inhibitory factor (cholinergic differentiation factor)	3976	LIF	332.21	64.25
EGF-containing fibulin-like extracellular matrix protein 1	2202	EFEMP1	1103.46	97.33
netrin 2-like (chicken)	4917	NTN2L	9.44	6.02
wingless-type MMTV integration site family, member 5B	81029	WNT5B	1932.33	86.48
platelet derived growth factor C	56034	PDGFC	668.87	70.97
gremlin 2, cysteine knot superfamily, homolog (Xenopus laevis)	64388	GREM2	3.9	2.61
glial cell derived neurotrophic factor	2668	GDNF	7.77	3.81
angiopoietin 2	285	ANGPT2	0.43	11.47
angiopoietin 1	284	ANGPT1	36.46	28.07
gastric inhibitory polypeptide	2695	GIP	106.74	93.51
interleukin 13	3596	IL13	0.85	0.68
insulin-like growth factor binding protein 6	3489	IGFBP6	1277.36	99.46
interleukin 4	3565	IL4	10.5	20.99
interferon-induced protein 35	3430	IFI35	106.96	39.9
epiregulin	2069	EREG	13.12	9.3
angiopoietin-like 6	83854	ANGPTL6	2.25	1.14
apolipoprotein E	348	APOE	102.77	4010.07
growth arrest-specific 7	8522	GAS7	84.6	82.14
chemokine (C-C motif) ligand 22	6367	CCL22	12.46	3.72
laminin, alpha 5	3911	LAMA5	678.03	2443.1
hepatocyte growth factor (hepapoietin A; scatter factor)	3082	HGF	23.95	17.5
endothelin 1	1906	EDN1	1625.49	56.91
delta-like 1 (Drosophila)	28514	DLL1	13.35	44.28
cardiotrophin 1	1489	CTF1	58.29	34.48
chemokine (C-X-C motif) ligand 16	58191	CXCL16	38.67	32.93
integrin, alpha E (antigen CD103, human mucosal lymphocyte antigen 1; alpha polypeptide)	3682	ITGAE	689.38	388.92
NEL-like 2 (chicken)	4753	NELL2	26	339.91
chemokine (C-C motif) ligand 19	6363	CCL19	7.22	9.3
bone morphogenetic protein 3 (osteogenic)	651	BMP3	0.43	0.47
interleukin 6 (interferon, beta 2)	3569	IL6	167.13	1.88
angiogenic factor with G patch and FHA domains 1	55109	AGGF1	154.48	103.58
thyrotropin-releasing hormone	7200	TRH	9.39	12.75
CKLF-like MARVEL transmembrane domain containing 8	152189	CMTM8	169.98	336.37
wingless-type MMTV integration site family member 2	7472	WNT2	13.28	4.4
KIT ligand	4254	KITLG	15.22	5.48
leukocyte cell-derived chemotaxin 2	3950	LECT2	0.84	0.52
growth differentiation factor 3	9573	GDF3	11.24	170.77
fibroblast growth factor 18	8817	FGF18	14.54	32.66
wingless-type MMTV integration site family, member 10B	7480	WNT10B	41.2	35.02
tumor necrosis factor (ligand) superfamily, member 13b	10673	TNFSF13B	35.08	21.41
chemokine (C-C motif) ligand 25	6370	CCL25	19.74	16.62
follistatin-like 3 (secreted glycoprotein)	10272	FSTL3	308.67	38.04
integrin, alpha 10	8515	ITGA10	1.41	3.28
brain-derived neurotrophic factor	627	BDNF	474.8	62.11
Norrie disease (pseudoglioma)	4693	NDP	0.86	0.59
fibroblast growth factor 22	27006	FGF22	2.48	0.11
netrin G1	22854	NTNG1	2.61	3.31
nudix (nucleoside diphosphate linked moiety X)-type motif 6	11162	NUDT6	86.13	127.92
fibroblast growth factor 23	8074	FGF23	11.61	18.31
laminin, alpha 3	3909	LAMA3	131.47	89.85
chemokine (C-C motif) ligand 11	6356	CCL11	35.89	27.8
fibroblast growth factor 9 (glia-activating factor)	2254	FGF9	0.39	4.01
chemokine binding protein 2	1238	CCBP2	6.99	1.14
growth differentiation factor 7	151449	GDF7	1.69	0.36
growth differentiation factor 15	9518	GDF15	356.75	60.39
carcinoembryonic antigen-related cell adhesion molecule 21	90273	CEACAM21	2.33	0.93
ciliary neurotrophic factor	1270	CNTF	16.09	5.95
neuromedin B	4828	NMB	258.95	367.91
interleukin 1 family, member 8 (eta)	27177	IL1F8	36.3	0.07
interleukin 12A (natural killer cell stimulatory factor 1, cytotoxic lymphocyte maturation factor 1, p35)	3592	IL12A	39.23	14.25
trefoil factor 1 (breast cancer, estrogen-inducible sequence expressed in)	7031	TFF1	17.13	19.44
betacellulin	685	BTC	0.43	0.06
attractin	8455	ATRN	151.44	77.31
bone morphogenetic protein 10	27302	BMP10	14.6	13.31
vasoactive intestinal peptide	7432	VIP	8.38	5.21
interleukin 17A	3605	IL17A	5.7	2.6
interleukin 7	3574	IL7	58.82	46.15
fms-related tyrosine kinase 3 ligand	2323	FLT3LG	2.17	4.36
insulin-like 5	10022	INSL5	4.4	7.68
tachykinin 3 (neuromedin K, neurokinin beta)	6866	TAC3	13.94	138.73
colony stimulating factor 2 (granulocyte-macrophage)	1437	CSF2	1.17	5.56
chemokine (C-C motif) ligand 17	6361	CCL17	2.74	1.55
growth differentiation factor 5 (cartilage-derived morphogenetic protein-1)	8200	GDF5	473.39	33.28
paxillin	5829	PXN	117.42	64.98
insulin-like 6	11172	INSL6	0.86	1.63
chemokine (C-C motif) ligand 28	56477	CCL28	35.99	15.02
fibroblast growth factor 3 (murine mammary tumor virus integration site (v-int-2) oncogene homolog)	2248	FGF3	29.51	19.07
fibroblast growth factor 16	8823	FGF16	16.24	17.52
transforming growth factor, alpha	7039	TGFA	0.65	3.6
fibroblast growth factor 13	2258	FGF13	2.17	215.79
interleukin 24	11009	IL24	16.62	18.68
natriuretic peptide precursor C	4880	NPPC	1.53	10.83
interleukin 18 (interferon-gamma-inducing factor)	3606	IL18	329.36	928.26
neuregulin 1		NRG1	155	44.23
interleukin 1 family, member 9	56300	IL1F9	30.17	13.81
neurotensin	4922	NTS	0.78	1024.51
insulin	3630	INS	85.22	71.18
interleukin 17D	53342	IL17D	158.31	35.32
chemokine (C-C motif) ligand 27	10850	CCL27	34.98	33
chemokine (C-X-C motif) ligand 11	6373	CXCL11	0.65	0.35
CKLF-like MARVEL transmembrane domain containing 2	146225	CMTM2	15.43	15.73
anti-Mullerian hormone	268	AMH	20.69	41.14
integrin, alpha L (antigen CD11A (p180), lymphocyte function-associated antigen 1; alpha polypeptide)	3683	ITGAL	8.83	15.13
epidermal growth factor (beta-urogastrone)	1950	EGF	35.48	61.37
tumor necrosis factor (ligand) superfamily, member 18	8995	TNFSF18	0.94	0.88
Fas ligand (TNF superfamily, member 6)	356	FASLG	0.58	3.09
wingless-type MMTV integration site family, member 2B	7482	WNT2B	34.33	10.35
chemokine (C-X-C motif) ligand 13 (B-cell chemoattractant)	10563	CXCL13	0.86	0.26
wingless-type MMTV integration site family, member 3	7473	WNT3	33.84	55.65
follicle stimulating hormone, beta polypeptide	2488	FSHB	7.34	0.38
endothelial cell-specific molecule 1	11082	ESM1	31.4	0.66
artemin	9048	ARTN	26.12	32.47
wingless-type MMTV integration site family, member 9A	7483	WNT9A	1.19	0.79
chemokine (C-X-C motif) ligand 9	4283	CXCL9	3.06	6.43
fibroblast growth factor 19	9965	FGF19	10.55	83.55
proopiomelanocortin (adrenocorticotropin/ beta-lipotropin/ alpha-melanocyte stimulating hormone/ beta-melanocyte stimulating hormone/ beta-endorphin)	5443	POMC	1.4	31.69
wingless-type MMTV integration site family, member 8B	7479	WNT8B	5.87	1.22
left-right determination factor 1	10637	LEFTY1	1.86	1798.35
neurturin	4902	NRTN	0.77	7.01
interleukin 1, beta	3553	IL1B	282.64	35.77
jagged 2	3714	JAG2	43.44	67.07
endothelin 2	1907	EDN2	29.46	15.71
interleukin 12B (natural killer cell stimulatory factor 2, cytotoxic lymphocyte maturation factor 2, p40)	3593	IL12B	47.88	48.15
platelet derived growth factor D	80310	PDGFD	6.05	11.75
chemokine (C motif) ligand 1	6375	XCL1	0.75	0.7
endothelial cell growth factor 1 (platelet-derived)	1890	ECGF1	540.68	145.87
growth factor independent 1	2672	GFI1	7.45	4.35
laminin, gamma 3	10319	LAMC3	10.59	119.2
interleukin 15	3600	IL15	42.84	43.59
left-right determination factor 2	7044	LEFTY2	41.97	601.92
growth differentiation factor 9	2661	GDF9	0.42	0.46
angiopoietin-like 1	9068	ANGPTL1	6.45	1.18
leukocyte cell derived chemotaxin 1	11061	LECT1	7.14	667.11
parathyroid hormone	5741	PTH	7.12	11.41
sprouty homolog 2 (Drosophila)	10253	SPRY2	462.18	767.37
angiopoietin 4	51378	ANGPT4	0.38	0.07
bone morphogenetic protein 7 (osteogenic protein 1)	655	BMP7	9.4	80.04
neuregulin 3	10718	NRG3	42.57	39.63
tumor necrosis factor (ligand) superfamily, member 4 (tax-transcriptionally activated glycoprotein 1, 34kDa)	7292	TNFSF4	76.12	12.94
chemokine (C-C motif) ligand 5	6352	CCL5	3.6	4.72
transforming growth factor, beta 1 (Camurati-Engelmann disease)	7040	TGFB1	2.24	1.7
growth differentiation factor 6	392255	GDF6	783.34	32.89
chemokine (C-C motif) ligand 4	6351	CCL4	5.55	9.95
delta-like 3 (Drosophila)	10683	DLL3	40.53	36.81
interleukin 5 (colony-stimulating factor, eosinophil)	3567	IL5	8.78	6.35
somatostatin	6750	SST	5.12	3.39
fibroblast growth factor 2 (basic)	2247	FGF2	70.05	37.95
bone morphogenetic protein 2	650	BMP2	3.02	33.13
interferon, kappa	56832	IFNK	7.7	8.48
tumor necrosis factor (ligand) superfamily, member 7	970	TNFSF7	60.03	39.82
