Gene	Accession #	TB 72 h	MPA 72 h
amyloid beta (A4) precursor-like protein 1	U48437	2.9	2.2
protease inhibitor 3, skin-derived (SKALP)	NM_002638	2.9	2.3
p8 protein (candidate of metastasis 1)	AF135266	2.9	2.4
kinesin family member C2	BF515031	2.8	8.7
gamma-aminobutyric acid (GABA) B receptor, 1	NM_001470	2.8	2.3
microtubule-associated protein 1B	AL523076	2.8	3.3
sterile alpha motif domain containing 4	AB028976	2.8	2.8
myosin, heavy polypeptide 14	NM_024729	2.8	4.5
kallikrein 5	AF243527	2.7	4.1
interferon-stimulated transcription factor 3, gamma 48kDa	NM_006084	2.7	4.3
myxovirus (influenza virus) resistance 1, interferon-inducible protein p78 (mouse)	NM_002462	2.7	2.2
neural precursor cell expressed, developmentally down-regulated 9	U64317	2.7	2.1
protein phosphatase 1, regulatory (inhibitor) subunit 12C	AF312028	2.7	3.4
ferritin, heavy polypeptide 1	AA083483	2.6	4.1
dual specificity phosphatase 10	N36770	2.6	4.1
pim-1 oncogene	M24779	2.6	2.3
xanthine dehydrogenase	BG260086	2.6	4.5
ATP-binding cassette, sub-family C (CFTR/MRP), member 3	AF009670	2.6	2.8
angiomotin like 2	NM_016201	2.6	2.3
fatty acid desaturase 3	NM_021727	2.6	2.1
two pore segment channel 1	NM_017901	2.5	2.4
angiopoietin-like 4	NM_016109	2.5	2.3
glucocorticoid induced transcript 1	AA058770	2.4	3.6
adult retina protein	AA481560	2.4	2.8
zinc finger protein 432	NM_014650	2.4	3.7
glutamate decarboxylase 1 (brain, 67kDa)	NM_000817	2.4	3.6
major histocompatibility complex, class I, E	X56841	2.4	2.3
lectin, galactoside-binding, soluble, 3 binding protein	NM_005567	2.4	2.1
brain expressed X-linked-like 1	AL523320	2.4	2.4
fibronectin 1	X02761	2.4	3.7
cystathionase (cystathionine gamma-lyase)	AL354872	2.4	2.2
bone morphogenetic protein 2	NM_001200	2.3	3.2
cathepsin B	W47179	2.3	2
glucocorticoid induced transcript 1	AC_006042	2.3	3.9
ATPase, Class I, type 8B, member 2	AB032963	2.3	2.5
optineurin	AV757675	2.3	2.2
major histocompatibility complex, class I, C	L07950	2.3	2.2
golgin-67	AF163441	2.2	2.8
jun dimerization protein 2	AA716425	2.2	2.2
calpain 13	AK026692	2.2	2.1
sestrin 2	AL136551	2.2	2.8
F11 receptor	AI814545	2.2	2.1
(proline 4-hydroxylase), alpha polypeptide II	NM_004199	2.2	2.1
laminin, beta 3	L25541	2.2	3.9
zinc finger, FYVE domain containing 1	AB046809	2.2	2.4
transmembrane protease, serine 4	NM_016425	2.2	5.7
tectorin alpha	NM_005422	2.2	2.5
solute carrier family 6 (neurotransmitter transporter),member 16	BC039336	2.2	3.8
protein phosphatase 2C, magnesium-dependent, catalytic subunit	NM_018444	2.2	3.1
UDP-glucose ceramide glucosyltransferase	W72338	2.2	2.2
trans-golgi network protein 2	BC028219	2.1	3.8
laminin, beta 2 (laminin S)	X79683	2.1	3.5
TBC1 domain family, member 3	AL136860	2.1	2.8
mannosyl (alpha-1,3-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase, isoenzyme A	AW006441	2.1	2
vimentin	AI922599	2	2.7
tubulin, beta polypeptide paralog	AL533838	2	2.2
ras homolog gene family, member E	BG054844	2	2
kynureninase (L-kynurenine hydrolase)	BC000879	2	3.6
