Genbank ID	Gene Title	Gene symbol	5 h FC ± SEM	8 d FC ± SEM	1.5 mos FC ± SEM	6 mos FC ± SEM	Gene sequence
AA050777	ribosomal protein L38 /// similar to ribosomal protein L38 /// similar to ribosomal protein L38 /// similar to ribosomal protein L38 /// similar to ribosomal protein L38 /// similar to ribosomal protein L38	Rpl38 /// LOC625646 /// LOC638514 /// LOC664868 /// LOC672023 /// LOC674951	N.C.	-1.6 ± 0.4	N.C.	N.C.	94
BB252350	H3 histone, family 3A /// similar to H3 histone, family 3B /// similar to H3 histone, family 3B /// similar to H3 histone, family 3B /// similar to H3 histone, family 3B /// similar to H3 histone, family 3B	H3f3a /// LOC544973 /// LOC625328 /// LOC669889 /// LOC670535 /// LOC675719	N.C.	-1.7 ± 0.4	N.C.	N.C.	95
BB309731	peptidyl-prolyl isomerase G (cyclophilin G)	Ppig	N.C.	-1.6 ± 0.4	N.C.	N.C.	97
BB709312	beta galactoside alpha 2,6 sialyltransferase 2	St6gal2	N.C.	-4.2 ± 0.4	N.C.	N.C.	99
BB179352	expressed sequence AI854703	AI854703	N.C.	-2.0 ± 0.4	N.C.	N.C.	101
AW108231	ribosomal protein S3	Rps3	N.C.	-1.7 ± 0.4	N.C.	N.C.	102
AU067636	fucosyltransferase 9	Fut9	N.C.	-2.9 ± 0.4	N.C.	N.C.	103
BB049642	glutamate receptor, ionotropic, delta 2	Grid2	N.C.	-2.2 ± 0.5	N.C.	N.C.	104
BB431627	RIKEN cDNA C130052G03 gene	C130052G03Rik	N.C.	-1.6 ± 0.4	N.C.	N.C.	105
BB333383	asparaginyl-tRNA synthetase 2 (mitochondrial)(putative)	Nars2	N.C.	-2.1 ± 0.4	N.C.	N.C.	106
AV024517	expressed sequence AV024533	AV024533	N.C.	-2.0 ± 0.4	N.C.	N.C.	107
BG066504	gene model 288, (NCBI)	Gm288	N.C.	-2.1 ± 0.4	N.C.	N.C.	108
BB132493	radical S-adenosyl methionine domain containing 2	Rsad2	N.C.	-1.7 ± 0.4	N.C.	N.C.	109
BB667865	RIKEN cDNA C730048C13 gene /// similar to integral membrane transport protein UST1R /// similar to integral membrane transport protein UST1R /// similar to integral membrane transport protein UST1R	C730048C13Rik /// LOC434674 /// LOC623195 /// LOC674021	N.C.	-2.2 ± 0.4	N.C.	N.C.	110
BB464622	synaptotagmin XI	Syt11	N.C.	-2.2 ± 0.4	N.C.	N.C.	111
BQ268470	gamma-aminobutyric acid (GABA-A) receptor, subunit alpha 1	Gabra1	N.C.	-4.8 ± 0.5	N.C.	N.C.	112
AV124660	ribosomal protein L26	Rpl26	N.C.	-1.7 ± 0.4	N.C.	N.C.	113
BB392041	EF hand calcium binding protein 1	Efcbp1	N.C.	-2.9 ± 0.5	N.C.	N.C.	114
BM228804	hypothetical LOC631105	LOC631105	N.C.	-3.1 ± 0.5	N.C.	N.C.	115
AV216415	ribosomal protein S16	Rps16	N.C.	-1.6 ± 0.4	N.C.	N.C.	116
AV246497	SLIT and NTRK-like family, member 6	Slitrk6	N.C.	-3.0 ± 0.4	N.C.	N.C.	117
BM213322	phosphoglucomutase 2	Pgm2	N.C.	-1.8 ± 0.4	N.C.	N.C.	118
BM114956	CXXC finger 4	Cxxc4	N.C.	-3.2 ± 0.4	N.C.	N.C.	120
AA419672	ribosomal protein S8	Rps8	N.C.	-1.6 ± 0.4	N.C.	N.C.	123
BG070911	gene model 1564, (NCBI)	Gm1564	N.C.	-11.9 ± 0.8	N.C.	N.C.	124
BG070553	DNA segment, Chr 1, Pasteur Institute 1	D1Pas1	N.C.	-2.9 ± 0.4	N.C.	N.C.	125
BG141806	ribosomal protein L27a	Rpl27a	N.C.	-1.6 ± 0.4	N.C.	N.C.	126
AV376276	RIKEN cDNA 6330416L07 gene	6330416L07Rik	N.C.	-2.4 ± 0.4	N.C.	N.C.	127
AV376276	RIKEN cDNA 3110048L19 gene /// RIKEN cDNA 6330416L07 gene	3110048L19Rik /// 6330416L07Rik	N.C.	-3.3 ± 0.4	N.C.	N.C.	128
BG966742	Tetraspanin 12	Tspan12	N.C.	-2.8 ± 0.4	N.C.	N.C.	129
BB408277	exocyst complex component 5	Exoc5	N.C.	-2.4 ± 0.4	N.C.	N.C.	130
BB541573	RIKEN cDNA E130114P18 gene	E130114P18Rik	N.C.	-2.0 ± 0.4	N.C.	N.C.	131
BB829808	gene model 1960, (NCBI)	Gm1960	N.C.	-4.0 ± 0.6	N.C.	N.C.	132
BG065705	Vacuolar protein sorting 54 (yeast)	Vps54	N.C.	-2.9 ± 0.4	N.C.	N.C.	133
BB315073	CUB and Sushi multiple domains 3	Csmd3	N.C.	-3.4 ± 0.5	N.C.	N.C.	134
BB700394	regulating synaptic membrane exocytosis 1	Rims1	N.C.	-2.1 ± 0.4	N.C.	N.C.	135
BB217568	otopetrin 1	Otop1	N.C.	-1.9 ± 0.4	N.C.	N.C.	136
AV057789	RIKEN cDNA 1100001I22 gene	1100001I22Rik	N.C.	-1.8 ± 0.4	N.C.	N.C.	137
AA530749	steroid 5 alpha-reductase 1	Srd5a1	N.C.	-1.7 ± 0.4	N.C.	N.C.	138
BI900577	ribosomal protein S10 /// similar to ribosomal protein S10 /// similar to ribosomal protein S10	Rps10 /// LOC636539 /// LOC666274	N.C.	-1.5 ± 0.4	N.C.	N.C.	139
AV037157	ribosomal protein S29 /// similar to 40S ribosomal protein S29 /// similar to 40S ribosomal protein S29	Rps29 /// LOC629957 /// LOC637599	N.C.	-1.8 ± 0.4	N.C.	N.C.	140
BB227434	RIKEN cDNA A630005I04 gene	A630005I04Rik	N.C.	-3.5 ± 0.4	N.C.	N.C.	141
BB210853	splicing factor, arginine/serine-rich 11	Sfrs11	N.C.	-2.0 ± 0.4	N.C.	N.C.	142
BB374771	follistatin-like 5	Fstl5	N.C.	-5.7 ± 0.8	N.C.	N.C.	144
BG067949	Hbs1-like (S. cerevisiae)	Hbs1l	N.C.	-1.9 ± 0.4	N.C.	N.C.	146
BB044088	Ephrin A5	Efna5	N.C.	-2.0 ± 0.4	N.C.	N.C.	147
BB538816	Expressed sequence AI848100	AI848100	N.C.	-1.8 ± 0.4	N.C.	N.C.	148
BB829606	vacuolar protein sorting 13A (yeast)	Vps13a	N.C.	-1.7 ± 0.4	N.C.	N.C.	150
BB202204	muscleblind-like 1 (Drosophila)	Mbnl1	N.C.	-1.8 ± 0.4	N.C.	N.C.	151
BM205987	RIKEN cDNA 5730419I09 gene	5730419I09Rik	N.C.	-1.6 ± 0.4	N.C.	N.C.	152
AI666798	RIKEN cDNA 1700029I01 gene	1700029I01Rik	N.C.	-2.2 ± 0.4	N.C.	N.C.	153
BB322506	Exportin 4	Xpo4	N.C.	-9.5 ± 0.7	N.C.	N.C.	154
BB333095	RIKEN cDNA B830007D08 gene	B830007D08Rik	N.C.	-1.7 ± 0.4	N.C.	N.C.	155
BB006752	Exosome component 4	Exosc4	N.C.	-1.5 ± 0.4	N.C.	N.C.	157
BB308131	Synuclein, alpha interacting protein (synphilin)	Sncaip	N.C.	-2.4 ± 0.4	N.C.	N.C.	158
BB496952	mbt domain containing 1	Mbtd1	N.C.	-1.8 ± 0.4	N.C.	N.C.	160
BB312171	jumonji, AT rich interactive domain 1A (Rbp2 like)	Jarid1a	N.C.	-1.6 ± 0.4	N.C.	N.C.	161
BG064958	similar to cysteine and glycine-rich protein 2 binding protein	LOC674229	N.C.	-2.2 ± 0.4	N.C.	N.C.	162
BG075856	Eukaryotic translation elongation factor 2	Eef2	N.C.	-2.8 ± 0.4	N.C.	N.C.	163
BG066615	splicing factor, arginine/serine-rich 10 (transformer 2 homolog, Drosophila)	Sfrs10	N.C.	-3.5 ± 0.4	N.C.	N.C.	164
BM117447	RNA binding motif, single stranded interacting protein	Rbms3	N.C.	-1.6 ± 0.4	N.C.	N.C.	166
BB165498	N-glycanase 1	Ngly1	N.C.	-2.2 ± 0.4	N.C.	N.C.	167
BB149675	transmembrane protease, serine 11f	Tmprss11f	N.C.	-4.3 ± 0.5	N.C.	N.C.	168
BG070914	GDP-mannose 4, 6-dehydratase	Gmds	N.C.	-1.6 ± 0.4	N.C.	N.C.	169
AW555202	similar to carnitine deficiency-associated gene expressed in ventricle 3 isoform CDV3B	LOC236069	N.C.	-1.7 ± 0.4	N.C.	N.C.	170
BB179576	cDNA sequence AF397014	AF397014	N.C.	-3.5 ± 0.4	N.C.	N.C.	171
BB636451	RIKEN cDNA A530053G22 gene	A530053G22Rik	N.C.	-2.5 ± 0.4	N.C.	N.C.	172
BG066112	spermatogenesis associated 5	Spata5	N.C.	-7.9 ± 1.0	N.C.	N.C.	173
BG066515	carnitine deficiency-associated gene expressed in ventricle 3	Cdv3	N.C.	-2.2 ± 0.4	N.C.	N.C.	174
BB011593	leucine-rich repeats and calponin homology (CH) domain containing 1	Lrch1	N.C.	-1.5 ± 0.4	N.C.	N.C.	175
BB155332	similar to Anapc5 protein	LOC433844	N.C.	-4.4 ± 0.5	N.C.	N.C.	177
BG068842	Astrotactin 2	Astn2	N.C.	-4.3 ± 0.7	N.C.	N.C.	179
AV319139	Roundabout homolog 1 (Drosophila)	Robo1	N.C.	-2.5 ± 0.4	N.C.	N.C.	180
BB400711	RIKEN cDNA C330019L16 gene	C330019L16Rik	N.C.	-2.3 ± 0.4	N.C.	N.C.	181
BB546230	RIKEN cDNA A330019N05 gene	A330019N05Rik	N.C.	-4.9 ± 0.6	N.C.	N.C.	182
BB163885	glycosyltransferase-like domain containing 1	Gtdc1	N.C.	-2.2 ± 0.4	N.C.	N.C.	183
BB452489	Glucose-fructose oxidoreductase domain containing 1	Gfod1	N.C.	-2.0 ± 0.4	N.C.	N.C.	184
BB529019	Eph receptor A3	Epha3	N.C.	-2.9 ± 0.5	N.C.	N.C.	185
BB747705	N-acetyltransferase 11	Nat11	N.C.	-1.8 ± 0.4	N.C.	N.C.	186
BE627942	Adenomatosis polyposis coli down-regulated 1	Apcdd1	N.C.	-2.2 ± 0.4	N.C.	N.C.	187
AV169685	similar to ribosomal protein L9	LOC433546	N.C.	-1.5 ± 0.4	N.C.	N.C.	188
BG071002	Vacuolar protein sorting 33A (yeast)	Vps33a	N.C.	-2.8 ± 0.4	N.C.	N.C.	189
BI101322	leucine rich repeat containing 19	Lrrc19	N.C.	-1.8 ± 0.6	N.C.	N.C.	190
BE981934	lectin, mannose-binding, 1	Lman1	N.C.	-2.3 ± 0.4	N.C.	N.C.	191
BB524012	NADH dehydrogenase (ubiquinone) Fe-S protein 4	Ndufs4	N.C.	-2.1 ± 0.4	N.C.	N.C.	192
BG066704	expressed sequence AL023051	AL023051	N.C.	-1.8 ± 0.5	N.C.	N.C.	193
BB484375	Quaking	Qk	N.C.	-2.1 ± 0.4	N.C.	N.C.	194
BB369687	RIKEN cDNA A130001D14 gene	A130001D14Rik	N.C.	-2.3 ± 0.4	N.C.	N.C.	195
AV356898	ZW10 interactor	Zwint	N.C.	-1.8 ± 0.4	N.C.	N.C.	196
BG070101	Coiled-coil-helix-coiled-coil-helix domain containing 6	Chchd6	N.C.	-1.9 ± 0.4	N.C.	N.C.	197
BG067686	bromodomain adjacent to zinc finger domain, 2B	Baz2b	N.C.	-2.7 ± 0.4	N.C.	N.C.	198
BG076014	Similar to reduced expression 2	LOC195531	N.C.	-2.2 ± 0.4	N.C.	N.C.	202
BB029606	DCUN1D1 DCN1, defective in cullin neddylation 1, domain containing 1 (S. cerevisiae)	Dcun1d1	N.C.	-1.6 ± 0.4	N.C.	N.C.	203
BF148780	Cystatin F (leukocystatin)	Cst7	N.C.	-3.5 ± 0.4	N.C.	N.C.	204
BB542257	RIKEN cDNA 6430701C03 gene	6430701C03Rik	N.C.	-6.9 ± 0.4	N.C.	N.C.	205
BB559411	Cytoplasmic FMR1 interacting protein 1	Cyfip1	N.C.	-2.1 ± 0.4	N.C.	N.C.	206
BB727879	ELOVL family member 6, elongation of long chain fatty acids (yeast)	Elovl6	N.C.	-1.8 ± 0.4	N.C.	N.C.	207
BB487930	Smg-6 homolog, nonsense mediated mRNA decay factor (C. elegans)	Smg6	N.C.	-2.1 ± 0.4	N.C.	N.C.	208
BB311521	UPF2 regulator of nonsense transcripts homolog (yeast)	Upf2	N.C.	-2.4 ± 0.4	N.C.	N.C.	210
BG065840	similar to RIKEN cDNA 1700029I01	LOC385211	N.C.	-3.5 ± 0.5	N.C.	N.C.	211
BG063476	Zinc metallopeptidase, STE24 homolog (S. cerevisiae)	Zmpste24	N.C.	-2.1 ± 0.4	N.C.	N.C.	212
BB056332	Heterogeneous nuclear ribonucleoprotein D	Hnrpd	N.C.	-2.8 ± 0.5	N.C.	N.C.	213
BG072510	Nexilin	Nexn	N.C.	-2.5 ± 0.4	N.C.	N.C.	214
BB522317	Dorso-medial telencephalon gene 2	Dmt2	N.C.	-4.2 ± 0.4	N.C.	N.C.	215
BB233975	Pericentriolar material 1	Pcm1	N.C.	-2.0 ± 0.4	N.C.	N.C.	216
BB435741	poly A binding protein, cytoplasmic 5	Pabpc5	N.C.	-3.5 ± 0.5	N.C.	N.C.	218
BB198174	Mesoderm induction early response 1, family member 3	Mier3	N.C.	-1.9 ± 0.4	N.C.	N.C.	219
BB325847	tripartite motif protein 24	Trim24	N.C.	-3.1 ± 0.4	N.C.	N.C.	221
BB456954	acyl-Coenzyme A binding domain containing 5	Acbd5	N.C.	-1.9 ± 0.4	N.C.	N.C.	222
BB363201	Rhomboid domain containing 1	Rhbdd1	N.C.	-2.1 ± 0.4	N.C.	N.C.	223
BB204913	RIKEN cDNA D230007K08 gene	D230007K08Rik	N.C.	-2.0 ± 0.4	N.C.	N.C.	224
BB433285	Gamma-aminobutyric acid (GABA-A) receptor, subunit alpha 2	Gabra2	N.C.	-3.8 ± 0.4	N.C.	N.C.	226
BB767194	IQ motif and WD repeats 1	Iqwd1	N.C.	-2.1 ± 0.4	N.C.	N.C.	227
AI505360	Transmembrane protein 16A	Tmem16a	N.C.	-1.9 ± 0.4	N.C.	N.C.	228
BM878297	RIKEN cDNA E130016E03 gene	E130016E03Rik	N.C.	-3.8 ± 0.5	N.C.	N.C.	229
BB091862	regulator of chromosome condensation (RCC1) and BTB (POZ) domain containing protein 2	Rcbtb2	N.C.	-1.8 ± 0.4	N.C.	N.C.	230
BB322184	Pentatricopeptide repeat domain 2	Ptcd2	N.C.	-2.4 ± 0.4	N.C.	N.C.	231
BB354769	RIKEN cDNA C030002E08 gene	C030002E08Rik	N.C.	-13.3 ± 1.2	N.C.	N.C.	232
BB419334	SET and MYND domain containing 5	Smyd5	N.C.	-2.0 ± 0.4	N.C.	N.C.	233
BE655476	mirror-image polydactyly gene 1 homolog (human)	Mipol1	N.C.	-2.4 ± 0.4	N.C.	N.C.	234
NM_009220	spermiogenesis specific transcript on the Y 1 /// similar to Y-linked testis-specific protein /// similar to Y-linked testis-specific protein /// similar to Y-linked testis-specific protein	Ssty1 /// LOC665276 /// LOC665301 /// LOC665687	N.C.	-3.5 ± 0.4	N.C.	N.C.	235
AI661196	M-phase phosphoprotein 1	Mphosph1	N.C.	-9.8 ± 0.9	N.C.	N.C.	236
AK015210	WD repeat domain 20	Wdr20	N.C.	-3.0 ± 0.4	N.C.	N.C.	237
AK016006	coiled-coil domain containing 7	Ccdc7	N.C.	-3.1 ± 0.6	N.C.	N.C.	238
AV124394	ribosomal protein L23	Rpl23	N.C.	-1.5 ± 0.4	N.C.	N.C.	239
BF531162	prefoldin 4	Pfdn4	N.C.	-1.6 ± 0.4	N.C.	N.C.	240
AV111575	gene model 561, (NCBI)	Gm561	N.C.	-1.5 ± 0.4	N.C.	N.C.	241
AI324936	ribosomal protein L13a	Rpl13a	N.C.	-1.6 ± 0.4	N.C.	N.C.	242
BG074683	cleavage stimulation factor, 3 pre-RNA subunit 2	Cstf2	N.C.	-2.0 ± 0.4	N.C.	N.C.	243
AV239350	carbamoyl-phosphate synthetase 1	Cps1	N.C.	-2.4 ± 0.4	N.C.	N.C.	244
AI415136	ribosomal protein S18	Rps18	N.C.	-1.6 ± 0.4	N.C.	N.C.	245
AU018166	ribosomal protein L41	Rpl41	N.C.	-1.6 ± 0.4	N.C.	N.C.	246
AI450929	ribosomal protein S6 /// similar to 40S ribosomal protein S6 /// similar to 40S ribosomal protein S6 /// similar to 40S ribosomal protein S6 /// similar to 40S ribosomal protein S6 /// similar to 40S ribosomal protein S6 /// similar to 40S ribosomal protein S6 /// similar to 40S ribosomal protein S6 /// similar to 40S ribosomal protein S6 /// similar to 40S ribosomal protein S6	Rps6 /// LOC434404 /// LOC629575 /// LOC638497 /// LOC666577 /// LOC667739 /// LOC667922 /// LOC671306 /// LOC671432 /// LOC672192	N.C.	-1.6 ± 0.4	N.C.	N.C.	247
BG067392	R-spondin 2 homolog (Xenopus laevis)	Rspo2	N.C.	-2.7 ± 0.4	N.C.	N.C.	248
BM122009	natriuretic peptide precursor type A	Nppa	N.C.	-4.3 ± 1.2	N.C.	N.C.	249
AV334671	glutamate receptor, metabotropic 5	Grm5	N.C.	-9.8 ± 0.8	N.C.	N.C.	250
BB032580	Mannosidase 1, alpha	Man1a	N.C.	-1.7 ± 0.4	N.C.	N.C.	252
BB543271	Glutaminase	Gls	N.C.	-3.6 ± 0.4	N.C.	N.C.	258
BM237891	RING CCCH (C3H) domains 1	Rc3h1	N.C.	-1.6 ± 0.4	N.C.	N.C.	259
BM941191	glutamate receptor, metabotropic 4	Grm4	N.C.	-1.8 ± 0.4	N.C.	N.C.	260
BB760085	eyes absent 1 homolog (Drosophila)	Eya1	N.C.	-1.8 ± 0.4	N.C.	N.C.	261
BB175077	dachshund 2 (Drosophila)	Dach2	N.C.	-4.1 ± 0.4	N.C.	N.C.	266
BB363750	splicing factor, arginine/serine-rich 12	Sfrs12	N.C.	-2.2 ± 0.4	N.C.	N.C.	267
AI647966	RIKEN cDNA 5830446M03 gene	5830446M03Rik	N.C.	-2.1 ± 0.4	N.C.	N.C.	268
BB540053	expressed sequence C79407	C79407	N.C.	-2.5 ± 0.4	N.C.	N.C.	270
BG065792	WW domain containing adaptor with coiled-coil	Wac	N.C.	-2.4 ± 0.4	N.C.	N.C.	272
BB291656	SET binding protein 1	Setbp1	N.C.	-1.9 ± 0.4	N.C.	N.C.	273
BM238998	Polypyrimidine tract binding protein 2	Ptbp2	N.C.	-3.9 ± 0.6	N.C.	N.C.	274
BG070141	expressed sequence AU014965	AU014965	N.C.	-3.2 ± 0.5	N.C.	N.C.	275
