Gene symbol	Gene name	Fold change	P	FDR	Expression
IGH	Ig heavy locus	2.68	0.002	0.041	Up-regulated in stage IIA/III
IL21R	Interleukin-21 receptor	2.67	< .001	0.017	Up-regulated in stage IIA/III
TNFSF14	Tumor necrosis factor (ligand) superfamily, member 14	2.64	0.002	0.039	Up-regulated in stage IIA/III
LILRA3	Leukocyte Ig-like receptor, subfamily A (without TM domain), member 3	2.64	0.002	0.043	Up-regulated in stage IIA/III
CCR4	Chemokine (C-C motif) receptor 4	2.52	< .001	0.023	Up-regulated in stage IIA/III
G1P2	Interferon ?–inducible protein (clone IFI-15K)	2.49	< .001	0.029	Up-regulated in stage IIA/III
ISG20	Interferon-stimulated gene 20 kDa	2.42	< .001	< .001	Up-regulated in stage IIA/III
TNIK	TRAF2 and NCK interacting kinase	2.39	< .001	0.017	Up-regulated in stage IIA/III
IGL	Ig lambda locus, constant, variable and joining regions	2.36	0.002	0.042	Up-regulated in stage IIA/III
PRKCQ	Protein kinase C ?	2.24	0.002	0.041	Up-regulated in stage IIA/III
OAS2	2?-5?-oligoadenylate synthetase 2, 69/71 kDa	2.18	< .001	< .001	Up-regulated in stage IIA/III
OAS1	2?,5?-oligoadenylate synthetase 1, 40/46 kDa	2.12	0.002	0.039	Up-regulated in stage IIA/III
IGKC; IGKV1-5	Ig ? constant and variable 1-5	2.09	0.003	0.05	Up-regulated in stage IIA/III
CCR7	Chemokine (C-C motif) receptor 7	2.08	0.001	0.036	Up-regulated in stage IIA/III
ZAP70	?-chain (TCR)–associated protein kinase 70 kDa	2.05	0.002	0.041	Up-regulated in stage IIA/III
CCND2	Cyclin D2	2	0.002	0.039	Up-regulated in stage IIA/III
GBP1	Guanylate-binding protein 1, interferon-inducible, 67 kDa	1.95	0.003	0.046	Up-regulated in stage IIA/III
ZC3HAV1	Zinc finger CCCH type, antiviral 1	1.91	< .001	< .001	Up-regulated in stage IIA/III
IL2RB	Interleukin-2 receptor ?	1.9	0.002	0.041	Up-regulated in stage IIA/III
PTPRCAP	Protein tyrosine phosphatase, receptor type, C-associated protein	1.9	0.003	0.048	Up-regulated in stage IIA/III
C1GALT1	Core 1 synthase	1.89	< .001	0.017	Up-regulated in stage IIA/III
C5R1	Complement component 5 receptor 1 (C5a ligand)	1.88	< .001	0.033	Up-regulated in stage IIA/III
PIM2	pim-2 oncogene	1.88	0.003	0.05	Up-regulated in stage IIA/III
ITGB7	Integrin ?7	1.84	0.002	0.042	Up-regulated in stage IIA/III
DDX58	DEAD (Asp-Glu-Ala-Asp) box polypeptide 58	1.84	0.002	0.041	Up-regulated in stage IIA/III
RARRES3	Retinoic acid receptor responder (tazarotene induced) 3	1.83	0.003	0.047	Up-regulated in stage IIA/III
IFRG28	28 kDa interferon-responsive protein	1.82	0.001	0.036	Up-regulated in stage IIA/III
MX2	Myxovirus (influenza virus) resistance 2 (mouse)	1.75	0.002	0.043	Up-regulated in stage IIA/III
SP100 (IFI41)	Nuclear antigen Sp100	1.71	< .001	< .001	Up-regulated in stage IIA/III
VAV1	vav 1 oncogene	1.68	0.001	0.036	Up-regulated in stage IIA/III
LCP2	Lymphocyte cytosolic protein 2	1.65	0.002	0.042	Up-regulated in stage IIA/III
NFATC2IP	NFAT, cytoplasmic, calcineurin-dependent 2 interacting protein	1.65	< .001	< .001	Up-regulated in stage IIA/III
DUSP5	Dual specificity phosphatase 5	1.64	< .001	0.017	Up-regulated in stage IIA/III
IL10	Interleukin-10	1.64	0.002	0.042	Up-regulated in stage IIA/III
BAX	BCL2-associated X protein	1.63	0.002	0.043	Up-regulated in stage IIA/III
FYB	FYN binding protein (FYB-120/130)	1.61	< .001	0.023	Up-regulated in stage IIA/III
NUP98	Nucleoporin 98 kDa	1.6	0.002	0.041	Up-regulated in stage IIA/III
HSPD1	heat shock 60 kDa protein 1 (chaperonin)	1.56	0.003	0.048	Up-regulated in stage IIA/III
IFNAR2	Interferon (?, ?, and ?) receptor 2	1.53	< .001	< .001	Up-regulated in stage IIA/III
RAP140	Retinoblastoma-associated protein 140 (CTCL tumor antigen se89-1)	1.52	< .001	0.033	Up-regulated in stage IIA/III
FGFR1OP	FGFR1 oncogene partner	1.51	< .001	< .001	Up-regulated in stage IIA/III
