Probe Set	Gene Symbol	Description	Relative Expression	P value
2017_S_AT	CCND1	cyclin D1	-0.88	0.0063
278_AT	NPR2	natriuretic peptide receptor B/guanylate cyclase B	1.07	0.0063
34490_F_AT	FSCN2	fascin homolog 2, actin-bundling protein, retinal	-0.78	0.0063
34201_AT	DNAJA2	DnaJ (Hsp40) homolog, subfamily A, member 2	1.43	0.0064
32038_S_AT	SRP46	splicing factor, arginine/serine-rich	-0.74	0.0064
32230_AT	EIF3S2	eukaryotic translation initiation factor 3, subunit 2	2.68	0.0064
40521_AT	RAB2L	RAB2, member RAS oncogene family-like	-0.8	0.0066
36240_AT	GRF2	guanine nucleotide-releasing factor 2	0.92	0.0068
40791_AT	POLR2A	polymerase (RNA) II polypeptide A	-2.58	0.0069
39031_AT	COX7A1	cytochrome c oxidase subunit VIIa polypeptide 1 (muscle)	0.82	0.007
37791_AT		DNA sequence from clone RP3-454N4 on chromosome 6q16.3-21	0.75	0.0073
39879_S_AT	FLJ10120	hypothetical protein FLJ10120	-1.31	0.0073
34118_AT	ATP1B2	ATPase, Na+/K+–transporting, beta 2 polypeptide	0.86	0.0074
237_S_AT	PPP2Ca	protein phosphatase 2, catalytic subunit, alpha isoform	-1.47	0.0075
33068_F_AT	UGT2B15	UDP glycosyltransferase 2 family	-0.68	0.0077
32528_AT	CLPP	ClpP caseinolytic protease, ATP-dependent, proteolytic subunit homolog , nuclear gene encoding mitochondrial protein	2.21	0.0078
326_I_AT		ribosomal protein S20	2.62	0.008
36692_AT	MTMR8	myotubularin-related protein 8	-0.78	0.0081
36838_AT	KLK10	kallikrein 10 transcript variant 1	0.78	0.0082
40770_F_AT	HNRPDL	heterogeneous nuclear ribonucleoprotein D-like, transcript variant 2	2.14	0.0084
40453_S_AT	SFRS5	splicing factor, arginine/serine-rich 5	-1.85	0.0089
40553_AT		chromosome 5 clone CTC-348J20, complete sequence	-0.78	0.009
41705_AT	RFNG	radical fringe homolog (Drosophila)	1.31	0.0091
31714_AT	MSH4	mutS homolog 4	0.69	0.0092
38087_S_AT	S100A4	S100 calcium-binding protein A4 transcript variant 2	1	0.0092
35784_AT	VAMP3	vesicle-associated membrane protein 3 (cellubrevin)	-0.8	0.0093
37369_S_AT	NFATC4	nuclear factor of activated T cells, cytoplasmic, calcineurin-dependent 4	-0.89	0.0094
38406_F_AT	PTGDS	prostaglandin D2 synthase (21 kD, brain)	1.26	0.0094
36000_AT	CREBL1	cAMP responsive element–binding protein-like 1	0.96	0.0095
39325_AT	EBAF	endometrial bleeding–associated factor	0.76	0.0099
