Symbol	hNCC tpm	HES3 tpm	HES4 tpm
GNA12	59	39	5
GNAI2	59	219	5
GNAQ	20	5	10
GNB2L1	40	127	57
GNG2	99	5	14
GNG4	20	19	19
GNL3	20	102	148
GPC1	20	5	10
GPC3	20	5	5
GPC4	20	15	76
GPI	40	5	5
GPIAP1	20	10	5
GPX1	218	24	225
GPX3	20	24	10
GPX4	238	769	5
GRB10	40	19	5
GRB2	40	10	5
GRN	79	5	5
GSK3B	20	5	10
GSN	40	34	5
GSTM1	20	29	10
GSTP1	1030	5	5
GTF2B	119	19	38
GTPBP1	20	5	5
HADHA	356	58	5
HADHB	20	24	19
HDAC1	20	15	38
HDAC10	20	5	10
HDAC2	40	19	29
HDAC3	20	5	5
HDAC5	59	63	5
HDAC6	40	44	14
HDGF	20	10	14
HES1	40	5	29
HGS	20	83	29
HIF1A	79	117	91
HIP1	20	49	5
HIPK1	20	5	5
HIPK2	20	5	19
HK1	40	5	5
HLA-DRB1	20	5	10
HMGA1	20	44	19
HMGA2	20	5	5
HMGB1	119	15	5
HMGCR	40	5	14
HMGN1	20	5	5
HMMR	59	10	5
HMOX1	40	5	24
HNRPA0	59	10	14
HNRPA1	40	49	48
HNRPA2B1	20	5	5
HNRPAB	20	29	38
HNRPC	139	497	5
HNRPD	416	677	540
HNRPF	59	10	210
HNRPK	317	15	110
HNRPM	277	10	253
HNRPR	40	19	14
HNRPU	20	73	5
HRAS	59	54	33
HRASLS3	20	29	105
HSD11B2	20	10	29
HSF1	20	5	5
HSH2D	20	5	464
HSP90B1	99	5	10
HSPA1A	356	24	14
HSPA5	277	472	249
HSPB8	79	5	14
HSPD1	59	19	5
HSPG2	178	19	10
ICAM3	20	5	14
ICMT	59	68	5
ID1	337	497	358
ID2	40	5	33
ID3	40	10	5
ID4	40	19	5
IFIT3	40	15	10
IFITM3	59	15	10
IFNAR1	20	10	43
IGBP1	40	10	43
IGF1R	20	5	5
IGF2	20	68	10
IGF2R	20	5	24
IGFBP2	20	394	10
IGFBP3	20	5	5
IGFBP4	20	5	86
IGFBP5	20	10	5
IGFBP7	218	24	14
IGSF4	59	5	5
IHPK2	20	5	5
IK	40	24	5
IKBKB	20	5	10
IL13RA1	40	10	14
IL27RA	40	10	5
IL2RA	20	10	5
IL6ST	20	5	14
ILF2	198	10	5
ILF3	20	29	10
ILK	59	10	62
IMPDH1	20	5	14
IMPDH2	119	5	5
ING1	20	5	5
ING5	20	5	38
INPP4A	20	5	5
INSIG1	40	10	24
INSR	20	5	5
IRS1	20	15	10
IRS2	20	5	5
ITCH	20	5	5
ITGA3	20	5	24
ITGA5	158	10	10
ITGA6	59	73	76
ITGAV	59	15	5
ITGB1	970	5	177
ITGB5	40	10	5
IVNS1ABP	20	19	10
JARID2	20	5	5
JMJD1B	20	39	24
JUB	59	5	14
JUN	20	5	10
JUNB	20	5	5
JUND	99	5	24
JUP	79	180	110
KHDRBS1	139	5	48
KIF11	20	5	48
KIF13A	20	5	5
KIF2C	79	10	48
KLC2	20	24	5
KLF5	20	5	5
KLF6	40	24	5
KRT8	20	15	5
LAMA1	40	29	29
LAMA2	20	5	14
LAMA5	40	68	5
LAMB1	40	63	62
LAMC1	20	5	33
LAPTM4B	59	15	24
LASS1	20	5	5
LATS1	20	10	14
LDHA	20	5	196
LEP	1168	297	750
LEPR	20	10	5
LGALS1	693	29	81
LGALS3	20	5	10
LGR4	20	5	72
LIFR	79	5	10
LIG1	79	34	19
LIMK1	59	58	33
LITAF	20	5	10
LMNA	79	15	14
LOX	139	5	5
LPIN1	20	5	5
LRDD	40	15	19
LRIG1	99	5	5
LRP1	20	5	10
LRP2	40	5	5
LRPAP1	20	5	5
LTBP1	40	24	10
LTBP3	198	5	14
LUM	79	10	29
LY6E	59	170	57
LYN	20	10	5
LZTS1	20	5	14
LZTS2	99	5	5
MAD1L1	40	15	14
MAD2L1	59	5	10
MAFF	20	156	196
MAGED1	158	5	5
MAGED2	119	5	10
MAGED4	20	10	5
MAP2K1	40	5	5
MAP2K2	158	5	5
MAP2K4	20	34	14
MAP2K5	20	10	5
MAP2K7	79	63	10
MAP3K1	40	15	10
MAP3K11	119	5	10
MAP3K2	20	5	5
MAPK1	20	5	5
MAPK12	20	34	19
MAPK14	20	29	24
MAPK3	79	5	5
MAPK6	40	107	53
MAPK7	20	88	38
MAPK8	20	10	24
MAPKAPK2	20	68	38
MAPRE1	119	5	86
MAPRE2	20	10	5
MAX	20	5	5
MAZ	40	78	57
MBD1	20	19	5
MBD2	20	29	10
MBD3	40	88	5
MCAM	119	5	19
MCL1	198	10	5
MCM2	20	10	53
MCM3	20	5	119
MCM5	99	5	5
MCM7	257	5	282
MCTS1	40	97	139
MDK	713	5	5
MDM2	20	24	24
MDM4	20	5	5
MDS1	20	10	10
MECP2	40	10	5
MED28	20	5	5
MEN1	20	15	5
MEST	20	10	5
METAP2	79	44	14
METTL3	40	88	158
MFN2	20	10	24
MGAT4B	337	10	53
MICA	40	10	5
MIF	515	10	10
MKI67	40	5	5
MLL	20	5	5
MMP14	119	10	5
MMP15	20	54	38
MMP2	20	10	14
MMP24	20	10	5
MNAT1	20	5	5
MNT	20	5	5
MOG	990	287	531
MORF4L1	79	131	253
MSI1	59	5	14
MSI2	20	10	5
MST1R	40	10	5
MSX1	139	5	14
MSX2	20	15	5
MT2A	218	34	38
MTA1	198	170	5
MTAP	20	5	10
MTCH1	20	5	5
MTHFD1	20	68	10
MVP	178	15	10
MXD4	20	10	14
MXI1	59	5	10
MYBBP1A	20	54	14
MYBL2	158	5	10
MYCL1	20	5	10
MYCN	40	5	5
MYD88	20	10	5
MYH10	59	5	5
MYL9	238	127	5
MYST4	20	15	10
NAB2	79	5	62
NAP1L1	99	19	268
NASP	99	10	10
NBN	40	10	5
NCAM1	20	229	48
NCK2	59	58	29
NCOA1	20	5	5
NCOA2	713	5	91
NCOA3	20	15	14
NCOA4	20	5	33
NCOA6	40	10	5
NDE1	20	5	10
NDN	158	10	5
NDNL2	20	5	24
NDUFV1	20	5	5
NEU1	20	10	10
NF2	40	5	5
NFAT5	20	5	5
NFKB2	20	29	10
NFKBIA	20	5	5
NFKBIB	40	5	5
NKIRAS2	158	15	24
NME1	20	321	5
NME2	20	5	5
NOL8	40	5	10
NOTCH1	20	15	5
NOTCH2	20	29	14
NP	20	5	48
NPDC1	79	49	33
NPM1	99	15	19
NR1H2	20	34	19
NR6A1	20	19	5
NRAS	99	63	5
NRD1	79	5	5
NRG1	59	5	10
NRG4	20	49	5
NRIP1	20	5	10
NUDC	119	5	5
NUP62	20	10	5
NUP98	59	10	5
OAZ1	40	19	5
ODC1	455	161	5
OGFR	20	15	5
OPTN	40	19	5
PA2G4	40	5	86
PAFAH1B1	20	15	5
PAK4	40	10	38
PALM	337	39	5
PAPPA	40	5	5
PARK7	139	5	119
PARP1	99	5	10
PAWR	20	24	38
PAX3	20	5	10
PAX6	20	10	10
PBEF1	20	5	10
PBX1	119	5	76
PCBP4	158	5	19
PCGF2	20	5	14
PCNA	119	268	105
PCOLN3	40	5	5
PCYT1A	20	5	5
PDAP1	119	151	100
PDGFA	20	34	10
PDGFC	40	5	14
PDIA3	238	5	14
PDLIM2	20	19	19
PDPK1	20	5	14
PEA15	20	5	19
PEBP1	317	307	196
PEG10	20	49	19
PELP1	20	102	53
PEMT	79	73	5
PER1	20	44	19
PFDN5	297	336	5
PFN1	574	15	5
PFN2	79	10	19
PGK1	20	5	24
PHB	99	278	5
PHC1	20	78	158
PHLDA2	99	5	5
PIK3CB	20	29	10
PIK3CD	59	5	19
PIK3R2	20	34	33
PIN1	40	73	48
PITPNA	139	5	14
PITX2	20	10	5
PKM2	119	10	19
PKN1	20	10	5
PLA2G6	20	10	5
PLAUR	20	5	5
PLCD1	20	5	5
PLEC1	139	5	29
PLK1	40	5	5
PLK2	59	5	5
PLP1	40	5	5
PLSCR1	20	5	10
PMAIP1	40	10	5
PML	20	15	5
PNN	20	5	5
PNPT1	20	5	10
POLD4	40	44	5
POLL	20	15	5
POLR2J	20	5	5
POMC	20	5	10
POR	20	29	57
PPARBP	79	5	5
PPARD	40	5	5
PPAT	20	10	5
PPIA	1881	5	2232
PPM1D	40	5	10
PPM1G	40	5	91
PPP1CA	20	5	10
PPP1CC	475	282	14
PPP1R12C	40	10	5
PPP1R15A	20	5	19
PPP1R8	20	5	5
PPP2CA	20	5	33
PPP2R1A	119	5	172
PPP2R5C	20	19	29
PPP3CA	20	5	5
PPP5C	119	5	5
PPT1	40	5	33
PRCC	20	15	5
PRDM4	20	10	14
PRDX1	59	24	5
PRDX3	40	5	24
PRDX4	99	5	72
PREB	20	5	43
PRKAR1A	20	15	33
PRKAR2B	20	5	29
PRKCA	20	5	19
PRKCI	40	10	10
PRKCSH	20	10	5
PRKRA	20	5	19
PRMT5	20	146	119
PRNP	20	5	5
PRPF19	158	122	76
PRPF8	20	5	5
PRRX2	20	10	5
PRUNE	20	10	24
PSAP	20	5	5
PSEN1	20	5	5
PSMB2	59	10	5
PSMC1	40	73	38
PSMC3	139	15	124
PSMC4	40	10	10
PSMC5	40	5	5
PSMD2	317	5	10
PSME2	317	5	143
PSMF1	20	29	5
PTEN	20	5	5
PTK2	59	68	76
PTMA	20	5	5
PTN	40	10	5
PTP4A3	40	5	10
PTPN1	20	34	38
PTPN11	40	34	5
PTPN14	20	136	722
PTPN2	20	15	5
PTPRA	20	34	33
PTPRF	158	146	86
PTPRG	594	15	5
PTPRS	20	5	10
PTTG1	99	5	5
PVR	178	10	10
QSCN6	119	10	29
RAB1A	20	5	10
RABGEF1	40	5	5
RAC1	158	5	5
RAF1	59	5	48
RALA	40	34	29
RALBP1	119	15	5
RALGDS	59	39	5
RAP1B	20	5	5
RAPGEF1	20	5	5
RAPGEF2	40	19	5
RARA	20	5	5
RARG	20	29	10
RASA1	40	5	5
RASSF4	20	10	5
RB1CC1	20	5	5
RBBP4	20	102	33
RBBP7	20	19	5
RBBP9	20	24	14
RBM3	20	5	5
RBM5	20	15	62
RBM6	40	102	38
RBM9	40	5	14
RBP1	198	34	67
RBPSUH	20	5	5
RCE1	20	15	5
RDBP	218	122	139
RELA	20	5	5
RFC1	20	34	10
RGL2	99	5	29
RGS2	20	15	5
RGS4	20	5	10
RHOA	20	5	5
RHOB	356	19	38
RHOC	59	112	43
RING1	20	15	14
RIPK2	20	5	29
RPL23A	40	29	43
RPS19	20	5	29
RPS27	99	5	24
RPS3A	20	19	10
RPS4X	20	10	5
RPSA	1703	8985	19
RRM1	20	5	10
RRM2	20	15	43
RSN	20	5	5
RUVBL1	59	5	129
RUVBL2	20	5	19
RXRA	20	5	5
RXRB	40	24	5
RYK	20	29	24
S100A11	158	5	5
SAE1	20	19	14
SALL2	20	5	57
SART1	40	34	19
SART3	40	34	5
SBF1	20	24	24
SCAMP2	20	10	5
SCAMP3	20	5	48
SCAMP4	20	5	5
SCYE1	20	5	5
SDC2	20	5	14
SEC61A1	198	5	10
SEMA3F	59	49	5
SEMA6A	40	5	5
SENP1	20	15	5
SERPINE1	297	10	5
SERPINF1	40	34	29
SERPINH1	20	15	5
SERTAD1	20	5	5
SESN1	20	5	5
SET	198	687	578
SF1	20	5	43
SF3A2	99	5	76
SF3A3	20	5	19
SF3B2	59	5	5
SF3B3	20	5	29
SFN	20	5	10
SFRP1	20	10	5
SFRP2	59	93	38
SFRS1	20	15	10
SFRS2	20	5	5
SFRS2IP	40	5	10
SFRS3	20	278	210
SFRS5	178	10	5
SGK	20	19	5
SH3BP2	40	15	5
SHB	20	5	10
SHC1	20	19	5
SHFM1	158	224	5
SIN3A	20	5	10
SIRT1	59	63	5
SKI	40	10	5
SKIL	20	5	5
SKP1A	297	5	5
SLC12A4	59	19	19
SLC1A3	20	5	10
SLC29A1	59	5	5
SLC29A2	20	10	14
SLC3A2	20	49	48
SLC7A5	20	63	5
SMAD1	20	5	10
SMAD2	1505	1549	4459
SMAD3	40	5	5
SMAD4	20	44	43
SMAD5	20	19	24
SMARCA4	158	156	48
SMARCA5	198	146	158
SMARCE1	59	5	5
SMO	20	5	5
SMOX	40	5	5
SMYD3	20	5	5
SOCS3	79	15	14
SOD1	99	10	10
SOX9	40	10	10
SP1	20	5	19
SPARC	20	273	206
SPHK2	40	49	5
SPINT2	20	15	19
SPRED1	20	15	14
SPRY4	20	10	5
SPTBN1	79	5	10
SRA1	20	10	14
SREBF1	79	5	38
SRF	40	5	10
SS18	40	44	10
SSR1	20	24	19
STAMBP	20	5	10
STARD10	20	10	14
STARD13	20	5	5
STAT1	59	24	33
STAT3	20	19	5
STAT5B	40	5	10
STAT6	20	5	10
STAU1	59	44	53
STK11	20	5	5
STK17B	99	5	5
STMN1	20	351	411
STRAP	20	24	14
STUB1	40	44	53
SUFU	40	5	5
SUMO1	158	5	5
SUMO2	20	5	10
SUMO3	59	29	10
SURF1	20	88	19
SURF4	40	5	10
SURF6	20	29	14
SUV39H1	20	10	24
SUZ12	40	15	10
SYMPK	20	39	5
TACC1	59	5	5
TAF7	40	10	5
TAX1BP3	337	44	19
TBC1D8	20	10	5
TBPL1	119	29	33
TBRG4	20	5	43
TCEB3	20	24	10
TCF12	79	5	5
TCF19	20	5	5
TCF3	20	24	14
TCF4	20	15	5
TCF7	40	10	5
TCOF1	20	5	14
TCP1	554	5	5
TEAD4	20	73	10
TERF1	20	5	5
TFDP1	20	5	14
TFG	178	161	5
TFRC	20	5	5
TGFB1	20	19	24
TGFBR1	40	10	33
TGFBR3	40	10	10
THBS1	20	5	14
THBS2	20	1641	478
THOC1	40	29	10
THY1	139	97	5
TIAL1	20	24	10
TIAM1	20	5	14
TIMELESS	20	5	5
TIMP1	59	5	5
TIMP2	79	5	10
TIMP3	158	10	5
TJP1	119	5	10
TMSB10	1129	1305	808
TMSB4X	20	19	5
TNC	40	15	10
TNFAIP8	20	49	14
TNFRSF12A	218	102	91
TNFRSF19	20	15	10
TNFRSF1A	20	5	19
TNFRSF21	20	19	5
TNFRSF6B	20	5	10
TNFSF10	79	19	29
TNK2	20	15	5
TNKS	20	5	14
TOB1	20	10	5
TOP1	40	5	5
TOPORS	40	10	29
TP53	20	49	33
TP53BP1	20	5	19
TP53I11	40	5	33
TP53INP1	20	5	5
TPM1	772	5	717
TPM2	1010	44	53
TPM3	1683	2844	2748
TPT1	20	5	5
TPX2	20	24	5
TRAF2	20	29	24
TRAF4	20	58	14
TRAP1	99	5	5
TRIB1	20	39	38
TRIM25	20	5	5
TRIM28	356	5	5
TRIM35	20	15	5
TRIT1	20	15	5
TRO	40	39	29
TRRAP	59	5	10
TSC2	20	15	10
TSC22D1	119	180	129
TSG101	20	24	43
TSN	20	5	5
TSPAN3	178	78	105
TSPAN31	40	29	19
TTK	59	5	19
TUSC2	40	29	5
TXN	40	5	24
TXNIP	20	10	10
TXNL1	20	5	5
TXNRD1	20	10	5
TYMS	20	112	19
TYRO3	20	63	5
UBC	59	5	5
UBE1	20	5	14
UBE2B	20	5	5
UBE2C	99	156	5
UBE2E3	20	10	5
UBE2V2	40	15	5
UBTF	20	5	5
UCHL1	257	5	722
UCP2	59	5	10
UGCG	20	5	10
UNC119	79	73	43
UPP1	20	273	86
USP21	20	19	5
USP3	20	5	10
USP7	119	5	48
USP9X	20	5	10
VDAC1	218	10	5
VDR	40	15	38
VEGFB	139	44	5
VEGFC	20	5	5
VHL	40	5	24
VIL2	20	10	10
VIM	20	5	5
VPS28	59	34	10
VRK3	59	10	5
VTI1B	40	5	5
WARS	79	10	5
WASF2	20	5	10
WEE1	40	5	62
WNT5A	20	5	5
XBP1	20	5	5
XPC	59	24	5
XRCC1	139	15	19
XRCC2	495	5	167
XRCC3	20	49	19
XRCC6	297	5	617
XRN2	79	5	5
YAP1	218	102	33
YBX1	59	5	5
YME1L1	20	5	5
YPEL3	59	39	38
YTHDF2	40	83	129
YY1	59	5	10
ZDHHC17	20	5	14
ZFP36L1	198	5	38
ZFP36L2	99	10	5
ZMYND11	20	10	19
ZNF148	20	5	5
ZNF259	20	5	10
ZNF639	20	5	5
ZRF1	20	5	5
ZYX	59	5	76
