FeatureID	Gene	Description	Average logratio	Functional Category	Expression
315447	Mif	Macrophage migration inhibitory factor	6.00	Growth factors/miscellaneous	Up-regulatedgenes
1382096	Aif1	Allograft inflammatory factor 1	3.50	Growth factors/miscellaneous	Up-regulatedgenes
819851	Gstp2	Glutathion¸e S-transferase, pi 2	3.10	Growth factors/miscellaneous	Up-regulatedgenes
570994	Igfbp4	Insulin-like growth factor binding protein 4	2.70	Growth factors/miscellaneous	Up-regulatedgenes
1228288	Ucp2	Uncoupling protein 2, mitochondrial	2.60	Growth factors/miscellaneous	Up-regulatedgenes
537489	Ccnd1	Cyclin D1	2.93	Growth factors/miscellaneous	Up-regulatedgenes
440572	Col13a1	Procollagen, type XIII, alpha 1	4.00	Growth factors/miscellaneous	Up-regulatedgenes
864318	Lst1	Leukocyte-specific transcript 1	2.80	Growth factors/miscellaneous	Up-regulatedgenes
581981		Unknown	3.20	Growth factors/miscellaneous	Up-regulatedgenes
1247540	Dapk3	Death associated protein kinase 3	5.80	Growth factors/miscellaneous	Up-regulatedgenes
1210036	Ifit3	Interferon-induced protein with tetratricopeptide repeats 3	2.50	Growth factors/miscellaneous	Up-regulatedgenes
1227398	Spint1	Serine protease inhibitor, Kunitz type 1	2.80	Proteases and their inhibitors	Up-regulatedgenes
1077734	Serpinh1	Serine (or cysteine) proteinase inhibitor, clade H, member 1	2.50	Proteases and their inhibitors	Up-regulatedgenes
764624	Cd5l	CD5 antigen-like	0.18	Receptors/surface molecules	Down-regulatedgenes
440614	Gp49b	Glycoprotein 49 B	0.29	Receptors/surface molecules	Down-regulatedgenes
404131	Plaur	Urokinase plasminogen activator receptor	0.25	Receptors/surface molecules	Down-regulatedgenes
518979	Hbb-y	Hemoglobin Y, beta-like embryonic chain	0.28	Receptors/surface molecules	Down-regulatedgenes
1617481	Cd83	CD83 antigen	0.30	Receptors/surface molecules	Down-regulatedgenes
437512	Tnfrsf1b	Tumor necrosis factor receptor superfamily, member 1b	0.50	Receptors/surface molecules	Down-regulatedgenes
1068952	Folr2	Folate receptor 2 (fetal)	0.21	Receptors/surface molecules	Down-regulatedgenes
366999	Il11ra1	Interleukin 11 receptor, alpha chain 1	0.49	Receptors/surface molecules	Down-regulatedgenes
1349690	Il11ra2	Interleukin 11 receptor, alpha chain 2	0.43	Receptors/surface molecules	Down-regulatedgenes
405832	P2ry2	Purinergic receptor P2Y, G-protein coupled 2	0.39	Receptors/surface molecules	Down-regulatedgenes
1227418	C4	Complement component 4 (within H-2S)	0.35	Receptors/surface molecules	Down-regulatedgenes
1224549	Igf2r	Insulin-like growth factor 2 receptor	0.43	Receptors/surface molecules	Down-regulatedgenes
533799	Lbp	Lipopolysaccharide binding protein	0.36	Receptors/surface molecules	Down-regulatedgenes
751833	Ccl3	Chemokine (C-C motif) ligand 3	0.44	Chemokines	Down-regulatedgenes
1078018	Ccl4	Chemokine (C-C motif) ligand 4	0.47	Chemokines	Down-regulatedgenes
1077529	Ccl6	Chemokine (C-C motif) ligand 6	0.14	Chemokines	Down-regulatedgenes
1148463	Ccl9	Chemokine (C-C motif) ligand 9	0.38	Chemokines	Down-regulatedgenes
403789	Idb2	Inhibitor of DNA binding 2	0.26	Transcriptional factors	Down-regulatedgenes
1139544	Il1b	Interleukin 1 beta	0.43	Growth factors/miscellaneous	Down-regulatedgenes
1327679	Tnf	Tumor necrosis factor	0.32	Growth factors/miscellaneous	Down-regulatedgenes
1001011	Fcna	Ficolin A	0.07	Growth factors/miscellaneous	Down-regulatedgenes
1195776	Retnla	Resistin-like alpha (Fizzl)	0.06	Growth factors/miscellaneous	Down-regulatedgenes
1264951	Saa3	Serum amyloid A 3	0.04	Growth factors/miscellaneous	Down-regulatedgenes
990152	Fabp5	Fatty acid binding protein 5, epidermal	0.21	Growth factors/miscellaneous	Down-regulatedgenes
523460	Fabp4	Fatty acid binding protein 4, adipocyte	0.22	Growth factors/miscellaneous	Down-regulatedgenes
368778	Pmp22	Peripheral myelin protein	0.21	Growth factors/miscellaneous	Down-regulatedgenes
368524	Mfge8	Milk fat globule-EGF factor 8 protein	0.19	Growth factors/miscellaneous	Down-regulatedgenes
1001588	Pltp	Phospholipid transfer protein	0.19	Growth factors/miscellaneous	Down-regulatedgenes
1227378	Lpl	Lipoprotein lipase	0.05	Growth factors/miscellaneous	Down-regulatedgenes
819960	Arhb	ras homolog gene family, member B	0.22	Growth factors/miscellaneous	Down-regulatedgenes
2101183	Arhc	ras homolog gene family, member C	0.26	Growth factors/miscellaneous	Down-regulatedgenes
976659	Ctsl	Cathepsin L	0.34	Proteases and their inhibitors	Down-regulatedgenes
437755	Ctsb	Cathepsin B	0.33	Proteases and their inhibitors	Down-regulatedgenes
1077399	Sdc1	Syndecan 1	0.16	Proteases and their inhibitors	Down-regulatedgenes
1367299	Slpi	Secretory leukocyte protease inhibitor	0.04	Proteases and their inhibitors	Down-regulatedgenes
622732	Timp1	Tissue inhibitor of metalloproteinase 1	0.47	Proteases and their inhibitors	Down-regulatedgenes
1037661	Mmp12	Matrix metalloproteinase 12	0.25	Proteases and their inhibitors	Down-regulatedgenes
