Gene	GenBank ID	JD beta-beta-HE	JD beta-beta-Pax3	JD beta-beta-MyoD	Function
Rho-associated coiled-coil forming kinase 2 (Rock2)	NM_009072			2.26	VEGF
Aryl hydrocarbon receptor nuclear translocator (ARNT)	AK028546		-2.1		VEGF
VEGFR2 (Flk1, KDR)	NM_010612			-2.22	VEGF
Delta1	NM_007865			-1.95	Notch
Notch 2	BC059256			-1.6	Notch
Lunatic fringe gene homolog (Lfng)	AK004642			-2.1	Notch
Deltex 4 homolog (DTX4)	NM_172442		-1.69	-2.68	Notch
Bone morphogenic protein receptor, type II	NM_007561			-2.34	TGF beta
JNK1 (Mapk8, JNK)	AK030767			-3.91	TGF beta
MAD homolog 5 (Drosophila) (Smad5)	NM_008541			-3.32	TGF beta
MAD homolog 1 (Drosophila) (Smad1)	NM_008539			-2.99	TGF beta
Goosecoid (Gsc)	NM_010351			-1.85	TGF beta
Predicted: Son of sevenless homolog 2 (SOS)	Z11664			-1.78	TGF beta
SMAD specific E3 ubiquitin protein ligase 1 (Smurf1)	NM_029438			1.85	TGF beta
IRAK 1 binding protein 1 (Irak1bp1)	NM_022986		-4.09		NF kappa B
Myeloid differentiation primary response gene 88 (Myd88)	NM_010851		1.51		NF kappa B
CD40 antigen	NM_170701		1.62	1.67	NF kappa B
I kappa kappa-alpha (Chuk)	NM_007700		-1.53	-2.93	NF kappa B
Inhibitor of kappaB kinase g	AK042138			-3.27	NF kappa B
NF kappa B1 (p50)	AK052726			-2.81	NF kappa B
Lymphotoxin B receptor (Ltbr)	NM_010736			-2.81	NF kappa B
Interleukin 1 receptor, type I (Il1r1)	NM_008362			-2.27	NF kappa B
Epidermal growth factor (EGF)	NM_010113			-1.96	NF kappa B
Mucosa-associated lymphoma translocation 1 (MALT1)	NM_172833			-1.73	NF kappa B
Tnf receptor-associated factor 6 (Traf6)	NM_009424			-1.69	NF kappa B
Insulin II (Ins2)	NM_008387			1.89	NF kappa B
Interleukin-1 receptor-associated kinase-1-S (IRAK1-S)	NM_008363			1.59	NF kappa B
Patched homolog 1 (Ptch1)	AK020715			-4.78	Sonic hedgehog
Patched homolog 2 (Ptch2)	NM_008958		1.85	-3.29	Sonic hedgehog
Glycogen synthase kinase 3b (GSK3 beta)	AK088784		-1.92	-2.33	Sonic hedgehog
Brother of CDO (BOC)	NM_172506		2.4		Miscellaneous genes
Protein inhibitor of activated STAT 3 (Pias3)	NM_146135		2.65		Miscellaneous genes
Achaete-scute complex homolog-like 2 (Ascl2)	NM_008554		2.08		Miscellaneous genes
Transcobalamin 2 (Tcn2)	NM_015749		2.06		Miscellaneous genes
Plectin 1	AK046755		1.8		Miscellaneous genes
CD151 (SFA-1)	CF586046		1.83	2.14	Miscellaneous genes
Expressed sequence AI314180 (KIAA0386)	NM_172381		-2.04		Miscellaneous genes
Inhibitor of DNA binding 1 (Id1)	NM_010495		-1.69		Miscellaneous genes
Tax-1 binding protein 1 (TBXP151)	NM_025816		-1.52		Miscellaneous genes
Eyes absent 2 homolog (Eya2)	NM_010165			4.28	Miscellaneous genes
Dystrophia myotonica-protein kinase (Dmpk)	NM_032418			3.18	Miscellaneous genes
Sodium channel, type IV, alpha (Scn4, Skm1)	NM_133199			1.64	Miscellaneous genes
Platelet-derived growth factor, B polypeptide	NM_011057			-1.59	Miscellaneous genes
