Genbank ID	Gene Title	Gene Symbol	5 h FC ± SEM	8 d FC ± SEM	1.5 mos FC ± SEM	6 mos FC ± SEM	Gene sequence
BC019464	ubiquitin-conjugating enzyme E2D 1, UBC4/5 homolog (yeast)	Ube2d1	-1.5 ± 0.4	N.C.	N.C.	N.C.	67
BC023128	protein inhibitor of activated STAT 3	Pias3	-1.5 ± 0.4	N.C.	N.C.	N.C.	68
BC024415	RIKEN cDNA 1700064K09 gene	1700064K09Rik	-1.5 ± 0.4	N.C.	N.C.	N.C.	69
BE457100	de-etiolated homolog 1 (Arabidopsis)	Det1	-2.0 ± 0.4	N.C.	N.C.	N.C.	70
BG073177	RIKEN cDNA 4930470D19 gene	4930470D19Rik	-1.5 ± 0.4	N.C.	N.C.	N.C.	71
BG867006	F-box only protein 3	Fbxo3	-2.0 ± 0.4	N.C.	N.C.	N.C.	72
BG868960	ubiquitin-conjugating enzyme E2A, RAD6 homolog (S. cerevisiae)	Ube2a	-1.7 ± 0.4	N.C.	N.C.	N.C.	73
BM231649	zinc finger protein 294	Zfp294	-1.5 ± 0.3	N.C.	N.C.	N.C.	74
BM249286	ubiquitin specific protease 45	Usp45	-1.7 ± 0.4	N.C.	N.C.	N.C.	75
NM_010890	neural precursor cell expressed, developmentally down-regulted gene 4	Nedd4	-1.9 ± 0.4	N.C.	N.C.	N.C.	76
NM_023605	f-box only protein 9	Fbxo9	-1.5 ± 0.3	N.C.	N.C.	N.C.	77
NM_025785	F-box only protein 25	Fbxo25	-1.8 ± 0.4	N.C.	N.C.	N.C.	78
