Probe ID	Genbank	Symbol	Description	Gene ontology	Fold change	ChangeP-value	Expression
 200628_s_at	M61715	WARS	Tryptophanyl-tRNA synthetase	Cell proliferation	1.9	0.00027	Upregulated genes
 201466_s_at	NM_002228	JUN	v-jun sarcoma virus 17 oncogene homolog	Transcription, cell growth	1.9	0.00165	Upregulated genes
 207574_s_at	NM_015675	GADD45B	Growth arrest and DNA-damage-inducible, beta	Apoptosis	1.9	0.00002	Upregulated genes
 209304_x_at	AF087853	GADD45B	Growth arrest and DNA-damage-inducible, beta	Apoptosis	1.9	0.00007	Upregulated genes
 36004_at	AF074382	IKBKG	Inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase gamma	Trancription, apoptosis	1.9	0.00147	Upregulated genes
 211936_at	AF216292	HSPA5	Heat shock 70 kDa protein 5 (glucose-regulated protein, 78 kDa)		1.7	0.0001	Upregulated genes
 206569_at	NM_006850	IL24	Interleukin 24	Apoptosis, immune response	1.7	0.00087	Upregulated genes
 207536_s_at	NM_001561	TNFRSF9	Tumor necrosis factor receptor superfamily, member 9	Apoptosis, immune response	1.7	0.00031	Upregulated genes
 211839_s_at	U22386	CSF1	Colony stimulating factor 1 (macrophage)	Cell proliferation	1.7	0.00165	Upregulated genes
 219398_at	NM_022094	CIDE-3	Cell death activator CIDE-3	Apoptosis	1.7	0.00108	Upregulated genes
 241840_at	AW204148	HSPA9B	Heat shock 70 kDa protein 9B (mortalin-2)		1.6	0.00077	Upregulated genes
 200921_s_at	NM_001731	BTG1	B-cell translocation gene 1, anti-proliferative	Cell proliferation	1.6	0.00019	Upregulated genes
 201465_s_at	BC002646	JUN	v-jun sarcoma virus 17 oncogene homolog (avian)	Transcription, cell growth	1.6	0.00108	Upregulated genes
 202014_at	NM_014330	PPP1R15A	Protein phosphatase 1, regulatory (inhibitor) subunit 15A	Apoptosis, cell cycle	1.6	0.00039	Upregulated genes
 202643_s_at	AI738896	TNFAIP3	Tumor necrosis factor, alpha-induced protein 3	Apoptosis	1.6	0.00002	Upregulated genes
 37028_at	U83981	PPP1R15A	Protein phosphatase 1, regulatory (inhibitor) subunit 15A	Apoptosis, cell cycle	1.6	0.00031	Upregulated genes
 201464_x_at	BG491844	JUN	v-jun sarcoma virus 17 oncogene homolog (avian)	Transcription, cell growth	1.5	0.00019	Upregulated genes
 214683_s_at	AI251890	CLK1	CDC-like kinase 1	Cell cycle, cell proliferation	1.5	0.00002	Upregulated genes
 218145_at	NM_021158	TRIB3	Chromosome 20 open reading frame 97	Apoptosis	1.5	0.00031	Upregulated genes
 240319_at	AI023795	CARD12	Caspase recruitment domain family, member 12	Apoptosis	1.4	0.00015	Upregulated genes
 200690_at	AA927701	HSPA9B	Heat shock 70 kDa protein 9B (mortalin-2)		1.3	0.00024	Upregulated genes
 202644_s_at	NM_006290	TNFAIP3	Tumor necrosis factor, alpha-induced protein 3	Apoptosis	1.3	0.00011	Upregulated genes
 227345_at	AI738556	TNFRS F10D	Tumor necrosis factor receptor superfamily, member 10d	Apoptosis	1.3	0.00087	Upregulated genes
 35150_at	X60592	TNFRSF5	CD40 antigen	Apoptosis, immune response	1.3	0.00047	Upregulated genes
 203725_at	NM_001924	GADD45A	Growth arrest and DNA-damage-inducible, alpha	Apoptosis, cell cycle	1.2	0.00021	Upregulated genes
