GenBank	Symbol	Gene/protein	Fold change from nonirradiated 2 h	24 h	72 h	Function
NM_004526.1	MCM2	MCM2 minichromosome maintenance deficient 2, mitotin (S. cerevisiae)	1.38	1.07	3.13	Cell cycle
NM_002388.2	MCM3	MCM3 minichromosome maintenance deficient 3 (S. cerevisiae)	1.34	0.85	2.26	Cell cycle
AA807529	MCM5	MCM5 minichromosome maintenance deficient 5, cell division cycle 46 (S. cerevisiae)	1.72	0.72	3.22	Cell cycle
NM_005915.2	MCM6	MCM6 minichromosome maintenance deficient 6 (MIS5 homolog, S. pombe) (S. cerevisiae)	1.52	1.56	3.13	Cell cycle
NM_002592.1	PCNA	Proliferating cell nuclear antigen	1.77	1.78	3.38	Cell cycle
BC001422.1	PGF	Placental growth factor, vascular endothelial growth factor-related protein	0.23	13.02	9.11	Cell cycle
NM_005030.1	PLK	Polo-like kinase (Drosophila)	1.44	1.52	3.89	Cell cycle
NM_000946.1	PRIM1	Primase, polypeptide 1, 49 kDa	2.08	0.91	2.43	Cell cycle
NM_021000.1	PTTG1	Pituitary tumor-transforming 1	1.29	0.79	3.76	Cell cycle
BC003186.1	Pfs2	DNA replication complex GINS protein PSF2	1.93	0.82	4.69	Cell cycle
BC001866.1	RFC5	Replication factor C (activator 1) 5, 36.5 kDa	1.78	1.2	2.29	Cell cycle
NM_006397.1	RNASEH2A	Ribonuclease H2, large subunit	2.11	0.87	2.83	Cell cycle
BC005264.1	RPA3	Replication protein A3, 14 kDa	1.71	1.15	3.05	Cell cycle
BC001886.1	RRM2	Ribonucleotide reductase M2 polypeptide	1.81	0.77	8.55	Cell cycle
NM_014264.1	STK18	Serine/threonine kinase 18	0.8	0.67	2.49	Cell cycle
NM_003236.1	TGFA	Transforming growth factor, alpha	0.54	2.8	1.54	Cell cycle
AF098158.1	TPX2	TPX2, microtubule-associated protein homolog (Xenopus laevis)	1.26	0.41	2.57	Cell cycle
NM_001952.2	E2F6	E2F transcription factor 6	1.01	0.63	2.24	Cell cycle
NM_003620.1	PPM1D	Protein phosphatase 1D magnesium-dependent, delta isoform	2.31	1.67	8.5	Cell cycle
AF022375.1	VEGF	Vascular endothelial growth factor	1.46	0.92	5.9	Cell cycle
NM_002094.1	GSPT1	G1 to S phase transition 1	0.93	1.49	4	Cell cycle
NM_014574.1	STRN3	Striatin, calmodulin binding protein 3	0.92	2.7	1.05	Cell cycle
NM_002748.1	MAPK6	Mitogen-activated protein kinase 6	0.92	0.46	4.19	Cell cycle
NM_002467.1	MYC	v-myc myelocytomatosis viral oncogene homolog (avian)	2.29	1.17	6.12	Cell cycle
NM_002266.1	KPNA2	Karyopherin alpha 2 (RAG cohort 1, importin alpha 1)	1.71	1.36	3.61	Cell cycle
NM_006732.1	FOSB	FBJ murine osteosarcoma viral oncogene homolog B	1.7	0.94	5.4	Cell cycle
NM_005197.1	CHES1	Checkpoint suppressor 1	1.42	0.89	2.02	Cell cycle
N33167	CDKN1C	Cyclin-dependent kinase inhibitor 1C (p57, Kip2)	1.27	4.4	4.85	Cell cycle
M73554.1	CCND1	Cyclin D1 (PRAD1: parathyroid adenomatosis 1)	1.05	0.96	2.52	Cell cycle
Z24459	MTCP1	Mature T-cell proliferation 1	4.15	3.77	21.36	Cell cycle
NM_001253.1	CDC5L	CDC5 cell division cycle 5-like (S. pombe)	1.66	0.97	3.86	Cell cycle
L20320.1	CDK7	Cyclin-dependent kinase 7 (MO15 homolog, Xenopus laevis, cdk-activating kinase)	1.38	1.07	3.13	Cell cycle
D21089.1	XPC	Xeroderma pigmentosum, complementation group C	2.52	2.39	1.81	Repair
U64315.1	ERCC4 (XPF)	Excision repair cross-complementing rodent repair deficiency, complementation group F	0.71	0.8	1.42	Repair
BC002649.1	HIST1H1C	Histone 1, H1c	2.31	1.22	2.57	Histones
NM_021052.1	HIST1H2AE	Histone 1, H2ae	6.86	2.41	1.76	Histones
NM_003523.1	HIST1H2BE	Histone 1, H2be	4.09	3.67	2.48	Histones
NM_003522.1	HIST1H2BF	Histone 1, H2bf	4.67	2.98	1.42	Histones
NM_003525.1	HIST1H2BI	Histone 1, H2bi	3.43	2.76	2.14	Histones
BC000893.1	HIST1H2BK	Histone 1, H2bk	1.32	2.62	1.34	Histones
AA451996	HIST2H2AA	Histone 2, H2aa	3.83	2	0.94	Histones
NM_003528.1	HIST2H2BE	Histone 2, H2be	6.16	1.9	0.71	Histones
NM_001168.1	BIRC5	Baculoviral IAP repeat-containing 5 (survivin)	2.22	0.47	7.54	Apoptosis
NM_000633	BCL2	B-cell CLL/lymphoma 2	1.24	0.49	0.66	Apoptosis
U66879	BAD	BCL2-antagonist of cell death	1.39	0.71	1.37	Apoptosis
NM_004281	BAG3	BCL2-associated athanogene 3	0.49	0.66	0.75	Apoptosis
NM_001188	BAK1	BCL2-antagonist/killer 1	0.88	1.87	1.37	Apoptosis
AA457021	BAG5	BCL2-associated athanogene 5	0.76	0.63	0.45	Apoptosis
AF060922	BNIP3L	BCL2/adenovirus E1B 19 kDa interacting protein 3-like	0.85	0.81	2.06	Apoptosis
NM_004346	CASP3	Caspase 3, apoptosis-related cysteine protease	0.59	0.88	0.64	Apoptosis
U25804	CASP4	Caspase 4, apoptosis-related cysteine protease	1.31	1.64	1.48	Apoptosis
BF439983	CASP8	caspase 8, apoptosis-related cysteine protease	1.33	1.97	1.28	Apoptosis
NM_003655.1	CBX4	Chromobox homolog 4 (Pc class homolog, Drosophila)	1.85	0.4	0.66	Apoptosis
NM_015322.1	FEM1B	fem-1 homolog b (Caenorhabditis elegans)	0.24	0.99	0.81	Apoptosis
NM_002015.2	FOXO1A	Forkhead box O1A (rhabdomyosarcoma)	0.4	0.53	0.7	Apoptosis
NM_001562.1	IL18	Interleukin 18 (interferon-gamma-inducing factor)	1.16	0.35	1.55	Apoptosis
NM_007350.1	PHLDA1	Pleckstrin homology-like domain, family A, member 1	0.2	2.6	2.55	Apoptosis
NM_014456.1	PDCD4	Programmed cell death 4 (neoplastic transformation inhibitor)	1.15	0.21	0.78	Apoptosis
NM_006378.1	SEMA4D	Sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4D	0.93	0.36	0.83	Apoptosis
NM_004760.1	STK17A	Serine/threonine kinase 17a (apoptosis-inducing)	0.18	1.26	0.53	Apoptosis
NM_004226.1	STK17B	Serine/threonine kinase 17b (apoptosis-inducing)	0.27	0.42	0.5	Apoptosis
BF224259	SPF30	Splicing factor 30, survival of motor neuron-related	0.35	0.9	0.54	Apoptosis
NM_006290.1	TNFAIP3	Tumor necrosis factor, alpha-induced protein 3	0.41	0.62	0.49	Apoptosis
NM_006048.1	UBE4B	ubiquitination factor E4B (UFD2 homolog, yeast)	1.32	0.45	0.66	Apoptosis
NM_002467.1	MYC	v-myc myelocytomatosis viral oncogene homolog (avian)	0.43	0.16	0.31	Apoptosis
NM_004052.2	BNIP3	BCL2/adenovirus E1B 19 kDa interacting protein 3	1.31	1.86	3.27	Apoptosis
NM_001279.1	CIDEA	Cell death-inducing DFFA-like effector a	0.89	1.36	2.99	Apoptosis
AF053641.1	CSE1L	CSE1 chromosome segregation 1-like (yeast)	1.43	2.23	2.54	Apoptosis
NM_004938.1	DAPK1	Death-associated protein kinase 1	1.14	5.41	2.45	Apoptosis
NM_004944.1	DNASE1L3	Deoxyribonuclease I-like 3	0.92	7.81	3.13	Apoptosis
NM_002462.1	MX1	Myxovirus (influenza virus) resistance 1, interferon-inducible protein p78 (mouse)	1.61	4.07	5.14	Apoptosis
BC001808.1	NME6	Nonmetastatic cells 6, protein expressed in (nucleoside-diphosphate kinase)	1.17	2.99	2.22	Apoptosis
NM_007350.1	PHLDA1	Pleckstrin homology-like domain, family A, member 1	0.2	2.6	2.55	Apoptosis
AF016266.1	TNFRSF10B	TRAIL, tumor necrosis factor receptor superfamily, member 10b	0.34	2.33	0.78	Apoptosis
NM_004887.1	CXCL14	Chemokine (C-X-C motif) ligand 14	1.26	0.21	0.87	Cytokines and chemokines
NM_006729.1	DIAPH2	Diaphanous homolog 2 (Drosophila)	0.98	0.16	0.58	Cytokines and chemokines
AF196186.1	PARD3	Par-3 partitioning defective 3 homolog (C. elegans)	1.14	0.34	1.01	Cytokines and chemokines
NM_020299.1	AKR1B10	Aldo-keto reductase family 1, member B10 (aldose reductase)	1.9	10.23	11.95	Cytokines and chemokines
NM_001175.1	ARHGDIB	Rho GDP dissociation inhibitor (GDI) beta	1.03	2.94	1.83	Cytokines and chemokines
BG327863	CD24	CD24 antigen (small-cell lung carcinoma cluster 4 antigen)	0.68	2.82	1.84	Cytokines and chemokines
M92934.1	CTGF	Connective tissue growth factor	1.6	0.99	4.65	Cytokines and chemokines
NM_004942.2	DEFB4	Defensin, beta 4	1.18	59.75	30.81	Cytokines and chemokines
NM_001935.1	DPP4	Dipeptidylpeptidase 4 (CD26, adenosine deaminase complexing protein 2)	1.6	1.68	3.58	Cytokines and chemokines
NM_000505.2	F12	Coagulation factor XII (Hageman factor)	2.01	3.68	3.8	Cytokines and chemokines
NM_005532.1	IFI27	Interferon, alpha-inducible protein 27	2.87	3.63	12.1	Cytokines and chemokines
NM_006435.1	IFITM2	Interferon-induced transmembrane protein 2 (1-8D)	1.77	2.62	2.4	Cytokines and chemokines
BF338947	IFITM3	Interferon-induced transmembrane protein 3 (1-8U)	1.92	4.6	5.28	Cytokines and chemokines
NM_001560.1	IL13RA1	Interleukin 13 receptor, alpha 1	1.12	3.58	1.07	Cytokines and chemokines
NM_003856.1	IL1RL1	interleukin 1 receptor-like 1	0.32	8.19	6.01	Cytokines and chemokines
NM_001562.1	IL18	Interleukin 18 (interferon-gamma-inducing factor)	1.16	0.35	1.55	Cytokines and chemokines
NM_004633.1	IL1R2	Interleukin 1 receptor, type II	0.24	1.05	0.44	Cytokines and chemokines
NM_003856.1	IL1RL1	Interleukin 1 receptor-like 1	0.32	8.19	6.01	Cytokines and chemokines
NM_014432.1	IL20RA	Interleukin 20 receptor, alpha	1.37	0.36	0.67	Cytokines and chemokines
NM_006850.1	IL24	Interleukin 24	0.61	4.15	1.34	Cytokines and chemokines
NM_000565.1	IL6R	Interleukin 6 receptor	0.15	0.5	0.41	Cytokines and chemokines
AF043337.1	IL8	Interleukin 8	2.15	1.12	0.27	Cytokines and chemokines
NM_001557.1	IL8RB	Interleukin 8 receptor, beta	0.96	2.83	1.78	Cytokines and chemokines
NM_004030.1	IRF7	Interferon regulatory factor 7	2.66	1.78	1.09	Cytokines and chemokines
NM_006674.1	MICA	MHC class I polypeptide-related sequence A	3.78	1.79	0.97	Cytokines and chemokines
NM_006187.1	OAS3	2-5-oligoadenylate synthetase 3, 100 kDa	1.34	2	2.84	Cytokines and chemokines
NM_003999.1	OSMR	Oncostatin M receptor	0.84	2.73	0.91	Cytokines and chemokines
AI346350	PMSCL1	Polymyositis/scleroderma autoantigen 1, 75 kDa	1.44	0.97	5.78	Cytokines and chemokines
NM_006404.1	PROCR	Protein C receptor, endothelial (EPCR)	1.01	3.86	3.62	Cytokines and chemokines
AB005043.1	SOCS1	Suppressor of cytokine signaling 1	3.02	3.04	1.89	Cytokines and chemokines
NM_001752.1	CAT	Catalase	1.15	0.24	0.89	Oxidatave stress related
NM_002085.1	GPX4	Glutathione peroxidase 4 (phospholipid hydroperoxidase)	1.76	0.51	1.43	Oxidatave stress related
NM_005109.1	OSR1	Oxidative-stress responsive 1	0.29	1.41	0.74	Oxidatave stress related
L19185	PRDX2	Peroxiredoxin 2	1.34	0.39	1.29	Oxidatave stress related
NM_000963.1	PTGS2	Prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)	0.76	0.18	0.71	Oxidatave stress related
NM_005410.1	SEPP1	Selenoprotein P, plasma, 1	1.29	0.26	0.79	Oxidatave stress related
