probe set	gene	fold change
1563174_at	Homo sapiens, clone IMAGE:5742531, mRNA	3.44
211981_at	collagen, type IV, alpha 1	3.43
215906_at	gb:S65921.1 /DB_XREF=gi:425519 /GEN=anti-colorectal carcinoma light chain /FEA=mRNA /CNT=5 /TID=Hs.103996.0 /TIER=ConsEnd /STK=0 /UG=Hs.103996 /DEF=anti-colorectal carcinoma light chain=glycoprotein CANAG-50 specific IgG1 kappa (human, 19.9 hybridoma, antibody 1116NS19.9, mRNA, 998 nt). /PROD=anti-colorectal carcinoma light chain	3.39
202267_at	laminin, gamma 2	3.36
201843_s_at	EGF-containing fibulin-like extracellular matrix protein 1	3.35
202403_s_at	collagen, type I, alpha 2	3.31
219836_at	zinc finger, BED domain containing 2	3.31
212636_at	quaking homolog, KH domain RNA binding (mouse)	3.25
201506_at	transforming growth factor, beta-induced, 68kDa	3.21
201842_s_at	EGF-containing fibulin-like extracellular matrix protein 1	3.19
208498_s_at	amylase, alpha 2A; pancreatic	3.19
211071_s_at	ALL1-fused gene from chromosome 1q /// ALL1-fused gene from chromosome 1q	3.18
209016_s_at	keratin 7	3.14
209758_s_at	microfibrillar associated protein 5	3.1
226632_at	cytoglobin	3.07
201344_at	ubiquitin-conjugating enzyme E2D 2 (UBC4/5 homolog, yeast)	2.95
207173_x_at	cadherin 11, type 2, OB-cadherin (osteoblast)	2.87
225664_at	collagen, type XII, alpha 1	2.8
235866_at	Transcribed locus	2.78
204114_at	nidogen 2 (osteonidogen)	2.71
206383_s_at	Ras-GTPase activating protein SH3 domain-binding protein 2	2.69
206755_at	cytochrome P450, family 2, subfamily B, polypeptide 6	2.67
212464_s_at	fibronectin 1	2.67
226218_at	Interleukin 7 receptor	2.62
241955_at	HECT domain containing 1	2.6
1563431_x_at	gb:AA807959 /DB_XREF=gi:2877365 /DB_XREF=nu90h08.s1 /CLONE=IMAGE:1218015 /TID=Hs2.407400.1 /CNT=2 /FEA=mRNA /TIER=ConsEnd /STK=0 /UG=Hs.407400 /UG_TITLE=Human HepG2 3 region MboI cDNA, clone hmd4f09m3.	2.49
206382_s_at	brain-derived neurotrophic factor	2.47
209118_s_at	tubulin, alpha 3	2.47
201566_x_at	inhibitor of DNA binding 2, dominant negative helix-loop-helix protein	2.46
214085_x_at	gb:AI912583 /DB_XREF=gi:5632438 /DB_XREF=we11d05.x1 /CLONE=IMAGE:2340777 /FEA=EST /CNT=16 /TID=Hs.154762.1 /TIER=Stack /STK=12 /UG=Hs.154762 /LL=11103 /UG_GENE=HRB2 /UG_TITLE=HIV-1 rev binding protein 2	2.43
216060_s_at	dishevelled associated activator of morphogenesis 1	2.41
1561430_s_at	chromosome 3 open reading frame 15	2.41
203065_s_at	caveolin 1, caveolae protein, 22kDa	2.4
218804_at	transmembrane protein 16A	2.4
204221_x_at	gb:U16307.1 /DB_XREF=gi:1100927 /GEN=GliPR /FEA=FLmRNA /CNT=73 /TID=Hs.64639.0 /TIER=FL /STK=0 /UG=Hs.64639 /LL=11010 /DEF=Human glioma pathogenesis-related protein (GliPR) mRNA, complete cds. /PROD=glioma pathogenesis-related protein /FL=gb:NM_006851.1 gb:U16307.1	2.39
216018_at	ring finger protein 5	2.36
201324_at	epithelial membrane protein 1	2.35
201417_at	SRY (sex determining region Y)-box 4	2.35
213506_at	coagulation factor II (thrombin) receptor-like 1	2.34
204363_at	coagulation factor III (thromboplastin, tissue factor)	2.32
208025_s_at	high mobility group AT-hook 2 /// high mobility group AT-hook 2	2.32
1570107_at	gb:BC029332.1 /DB_XREF=gi:20379648 /TID=Hs2.382718.1 /CNT=2 /FEA=mRNA /TIER=ConsEnd /STK=0 /UG=Hs.382718 /UG_TITLE=Homo sapiens, clone IMAGE:5109488, mRNA /DEF=Homo sapiens, clone IMAGE:5109488, mRNA.	2.32
226666_at	gb:BG434703 /DB_XREF=gi:13341209 /DB_XREF=602507901F1 /CLONE=IMAGE:4604832 /FEA=EST /CNT=69 /TID=Hs.197751.0 /TIER=Stack /STK=22 /UG=Hs.197751 /LL=23002 /UG_GENE=KIAA0666 /UG_TITLE=KIAA0666 protein	2.31
200911_s_at	transforming, acidic coiled-coil containing protein 1	2.3
60474_at	chromosome 20 open reading frame 42	2.29
203038_at	protein tyrosine phosphatase, receptor type, K	2.28
212077_at	caldesmon 1	2.27
227530_at	A kinase (PRKA) anchor protein (gravin) 12	2.24
202202_s_at	laminin, alpha 4	2.21
201069_at	matrix metalloproteinase 2 (gelatinase A, 72kDa gelatinase, 72kDa type IV collagenase)	2.2
1568799_at	Homo sapiens, clone IMAGE:4798168, mRNA	2.2
209169_at	glycoprotein M6B	2.18
1553153_at	ATPase, H+ transporting, lysosomal 38kDa, V0 subunit d isoform 2	2.18
208017_s_at	MCF.2 cell line derived transforming sequence	2.17
209369_at	annexin A3	2.17
226847_at	follistatin	2.17
231067_s_at	gb:BF114967 /DB_XREF=gi:10984443 /DB_XREF=hr71g11.x1 /CLONE=IMAGE:3133988 /FEA=EST /CNT=11 /TID=Hs.38022.1 /TIER=Stack /STK=10 /UG=Hs.38022 /UG_TITLE=ESTs	2.13
205807_s_at	tuftelin 1	2.12
231996_at	Nedd4 binding protein 2	2.12
1553155_x_at	ATPase, H+ transporting, lysosomal 38kDa, V0 subunit d isoform 2	2.11
225242_s_at	steroid sensitive gene 1	2.1
204030_s_at	schwannomin interacting protein 1	2.08
222146_s_at	transcription factor 4	2.08
209765_at	a disintegrin and metalloproteinase domain 19 (meltrin beta)	2.07
210517_s_at	A kinase (PRKA) anchor protein (gravin) 12	2.07
200787_s_at	phosphoprotein enriched in astrocytes 15	2.06
233955_x_at	CXXC finger 5	2.06
238843_at	nephronophthisis 1 (juvenile)	2.06
208622_s_at	villin 2 (ezrin)	2.03
222809_x_at	chromosome 14 open reading frame 65	2.03
201109_s_at	thrombospondin 1	2.01
217875_s_at	transmembrane, prostate androgen induced RNA	2.01
222622_at	hypothetical protein LOC283871	2.01
208433_s_at	low density lipoprotein receptor-related protein 8, apolipoprotein e receptor	2
228297_at	gb:AI807004 /DB_XREF=gi:5393570 /DB_XREF=wf37a06.x1 /CLONE=IMAGE:2357746 /FEA=EST /CNT=36 /TID=Hs.194662.1 /TIER=Stack /STK=27 /UG=Hs.194662 /LL=1266 /UG_GENE=CNN3 /UG_TITLE=calponin 3, acidic	2
206632_s_at	apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3B	1.98
227529_s_at	A kinase (PRKA) anchor protein (gravin) 12	1.98
229553_at	phosphoglucomutase 2-like 1	1.96
217676_at	Transcribed locus, strongly similar to NP_613063.1 ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit [Mus musculus]	1.94
225314_at	OCIA domain containing 2	1.94
201108_s_at	thrombospondin 1	1.93
201397_at	phosphoglycerate dehydrogenase	1.93
200906_s_at	palladin	1.91
201714_at	tubulin, gamma 1	1.91
201578_at	podocalyxin-like	1.88
209853_s_at	proteasome (prosome, macropain) activator subunit 3 (PA28 gamma; Ki)	1.88
222450_at	transmembrane, prostate androgen induced RNA	1.88
204141_at	tubulin, beta 2	1.87
205110_s_at	fibroblast growth factor 13	1.87
222996_s_at	CXXC finger 5	1.87
1558292_s_at	phosphatidylinositol glycan, class W	1.87
222449_at	transmembrane, prostate androgen induced RNA	1.86
226936_at	CDNA clone IMAGE:4452583, partial cds	1.86
229860_x_at	hypothetical gene supported by BC038466; BC062790	1.86
220944_at	peptidoglycan recognition protein 4	1.85
209478_at	gb:U95006.1 /DB_XREF=gi:2071992 /FEA=FLmRNA /CNT=89 /TID=Hs.37616.0 /TIER=FL+Stack /STK=48 /UG=Hs.37616 /DEF=Human D9 splice variant A mRNA, complete cds. /PROD=D9 splice variant A /FL=gb:U95006.1 gb:U95007.1	1.84
1553983_at	Deoxythymidylate kinase (thymidylate kinase)	1.84
208002_s_at	brain acyl-CoA hydrolase	1.83
242974_at	CD47 antigen (Rh-related antigen, integrin-associated signal transducer)	1.83
204058_at	Malic enzyme 1, NADP(+)-dependent, cytosolic	1.81
218741_at	chromosome 22 open reading frame 18	1.81
229105_at	G protein-coupled receptor 39	1.8
240159_at	solute carrier family 15 (H+/peptide transporter), member 2	1.8
226279_at	protease, serine, 23	1.79
208511_at	Pituitary tumor-transforming 3	1.77
216212_s_at	dyskeratosis congenita 1, dyskerin	1.77
205422_s_at	integrin, beta-like 1 (with EGF-like repeat domains)	1.76
235921_at	Transcribed locus	1.76
208623_s_at	villin 2 (ezrin)	1.75
219158_s_at	NMDA receptor regulated 1	1.75
210986_s_at	tropomyosin 1 (alpha)	1.74
218950_at	centaurin, delta 3	1.73
218542_at	chromosome 10 open reading frame 3	1.72
218796_at	chromosome 20 open reading frame 42	1.72
225967_s_at	hypothetical LOC284184	1.72
202338_at	thymidine kinase 1, soluble	1.71
212386_at	Transcription factor 4	1.71
201577_at	non-metastatic cells 1, protein (NM23A) expressed in	1.7
202613_at	CTP synthase	1.7
202468_s_at	catenin (cadherin-associated protein), alpha-like 1	1.69
214427_at	nucleolar protein 1, 120kDa	1.69
201068_s_at	proteasome (prosome, macropain) 26S subunit, ATPase, 2	1.67
212097_at	caveolin 1, caveolae protein, 22kDa	1.67
224733_at	chemokine-like factor super family 3	1.67
201325_s_at	epithelial membrane protein 1	1.66
212242_at	tubulin, alpha 1 (testis specific)	1.66
212724_at	Rho family GTPase 3	1.66
1564207_at	hypothetical protein FLJ35390	1.66
201323_at	EBNA1 binding protein 2	1.65
201829_at	neuroepithelial cell transforming gene 1	1.65
202686_s_at	AXL receptor tyrosine kinase	1.65
203432_at	thymopoietin	1.65
208977_x_at	tubulin, beta, 2	1.65
209773_s_at	ribonucleotide reductase M2 polypeptide	1.65
212850_s_at	low density lipoprotein receptor-related protein 4	1.65
216397_s_at	block of proliferation 1	1.65
224469_s_at	chromosome 14 open reading frame 151 /// chromosome 14 open reading frame 151	1.65
225355_at	hypothetical protein DKFZP761M1511	1.65
239070_at	Full-length cDNA clone CS0CAP004YK07 of Thymus of Homo sapiens (human)	1.65
202728_s_at	latent transforming growth factor beta binding protein 1	1.64
204236_at	Friend leukemia virus integration 1	1.64
209277_at	tissue factor pathway inhibitor 2	1.64
217966_s_at	chromosome 1 open reading frame 24	1.64
219258_at	timeless-interacting protein	1.64
223687_s_at	lymphocyte antigen 6 complex, locus K	1.64
226017_at	chemokine-like factor super family 7	1.64
200987_x_at	proteasome (prosome, macropain) activator subunit 3 (PA28 gamma; Ki)	1.63
203505_at	ATP-binding cassette, sub-family A (ABC1), member 1	1.63
218670_at	pseudouridylate synthase 1	1.63
202551_s_at	cysteine-rich motor neuron 1	1.62
216860_s_at	growth differentiation factor 11	1.62
222162_s_at	a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 1	1.62
1553984_s_at	deoxythymidylate kinase (thymidylate kinase)	1.62
201762_s_at	proteasome (prosome, macropain) activator subunit 2 (PA28 beta)	1.61
214247_s_at	dickkopf homolog 3 (Xenopus laevis)	1.61
223517_at	F-box protein 44	1.61
1554408_a_at	thymidine kinase 1, soluble	1.61
1558930_at	Homo sapiens, clone IMAGE:3891572, mRNA	1.61
221521_s_at	DNA replication complex GINS protein PSF2	1.6
235117_at	similar to RIKEN cDNA 2510006C20 gene	1.6
235244_at	Hypothetical LOC131076	1.6
201524_x_at	ubiquitin-conjugating enzyme E2N (UBC13 homolog, yeast)	1.59
201695_s_at	nucleoside phosphorylase	1.59
209482_at	processing of precursor 7, ribonuclease P subunit (S. cerevisiae)	1.59
218580_x_at	aurora-A kinase interacting protein	1.59
225258_at	filamin-binding LIM protein-1	1.59
200039_s_at	proteasome (prosome, macropain) subunit, beta type, 2 /// proteasome (prosome, macropain) subunit, beta type, 2	1.58
201199_s_at	proteasome (prosome, macropain) 26S subunit, non-ATPase, 1	1.58
203797_at	visinin-like 1	1.58
208777_s_at	proteasome (prosome, macropain) 26S subunit, non-ATPase, 11	1.58
212296_at	Transmembrane anchor protein 1	1.58
217919_s_at	mitochondrial ribosomal protein L42	1.58
229958_at	Ceroid-lipofuscinosis, neuronal 8 (epilepsy, progressive with mental retardation)	1.58
1563273_at	Full length insert cDNA clone ZA89G05	1.58
201125_s_at	integrin, beta 5	1.57
202293_at	Stromal antigen 1	1.57
203150_at	Rab9 effector p40	1.57
203726_s_at	laminin, alpha 3	1.57
217393_x_at	gb:AL109622 /DB_XREF=gi:6002166 /FEA=DNA /CNT=1 /TID=Hs.272352.0 /TIER=ConsEnd /STK=0 /UG=Hs.272352 /UG_TITLE=Human DNA sequence from clone RP3-526F5 on chromosome Xq26.3-28. Contains the gene for a novel protein similar to UBE2N (ubiquitin-conjugating enzyme E2N (homologous to yeast UBC13)), ESTs, STSs and GSSs /DEF=Human DNA sequence from clone RP3-526F5 on chromosome Xq26.3-28. Contains the gene for a novel protein similar to UBE2N (ubiquitin-conjugating enzyme E2N (homologous to yeast UBC13)), ESTs, STSs and GSSs	1.57
217959_s_at	trafficking protein particle complex 4	1.57
219493_at	SHC SH2-domain binding protein 1	1.57
241575_at	Transcribed locus	1.57
204059_s_at	malic enzyme 1, NADP(+)-dependent, cytosolic	1.56
205909_at	polymerase (DNA directed), epsilon 2 (p59 subunit)	1.56
207951_at	casein beta	1.55
213039_at	rho/rac guanine nucleotide exchange factor (GEF) 18	1.55
218069_at	XTP3-transactivated protein A	1.55
223532_at	hypothetical protein MGC41816	1.55
224896_s_at	tubulin tyrosine ligase	1.55
225300_at	Chromosome 15 open reading frame 23	1.55
225552_x_at	aurora-A kinase interacting protein	1.55
227013_at	LATS, large tumor suppressor, homolog 2 (Drosophila)	1.55
216422_at	proliferation-associated 2G4, 38kDa	1.54
225615_at	hypothetical protein LOC126917	1.54
227625_s_at	STIP1 homology and U-box containing protein 1	1.54
200830_at	proteasome (prosome, macropain) 26S subunit, non-ATPase, 2	1.53
201090_x_at	tubulin, alpha, ubiquitous	1.53
202695_s_at	serine/threonine kinase 17a (apoptosis-inducing)	1.53
213951_s_at	TBP-1 interacting protein	1.53
224624_at	leucine rich repeat containing 8	1.53
227394_at	Neural cell adhesion molecule 1	1.53
236075_s_at	Zinc finger protein 232	1.53
201277_s_at	heterogeneous nuclear ribonucleoprotein A/B	1.52
202352_s_at	proteasome (prosome, macropain) 26S subunit, non-ATPase, 12	1.52
204219_s_at	proteasome (prosome, macropain) 26S subunit, ATPase, 1	1.52
212625_at	syntaxin 10	1.52
217796_s_at	nuclear protein localization 4	1.52
218826_at	solute carrier family 35, member F2	1.52
221829_s_at	transportin 1	1.52
222404_x_at	butyrate-induced transcript 1	1.52
224634_at	G patch domain containing 4	1.52
225593_at	LSM10, U7 small nuclear RNA associated	1.52
234000_s_at	butyrate-induced transcript 1	1.52
205798_at	interleukin 7 receptor /// interleukin 7 receptor	1.51
209225_x_at	transportin 1	1.51
209899_s_at	fuse-binding protein-interacting repressor	1.51
219933_at	glutaredoxin 2	1.51
226991_at	Nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 2	1.51
200897_s_at	palladin	1.5
209251_x_at	tubulin alpha 6	1.5
214352_s_at	v-Ki-ras2 Kirsten rat sarcoma viral oncogene homolog	1.5
219539_at	gem (nuclear organelle) associated protein 6	1.5
200684_s_at	ubiquitin-conjugating enzyme E2L 3	1.49
202693_s_at	serine/threonine kinase 17a (apoptosis-inducing)	1.49
210386_s_at	metaxin 1	1.49
213646_x_at	tubulin, alpha, ubiquitous	1.49
213726_x_at	tubulin, beta, 2	1.49
218339_at	mitochondrial ribosomal protein L22	1.49
218355_at	kinesin family member 4A	1.49
226461_at	homeo box B9	1.49
227211_at	PHD finger protein 19	1.49
229097_at	Transcribed locus	1.49
201947_s_at	chaperonin containing TCP1, subunit 2 (beta)	1.48
203880_at	COX17 homolog, cytochrome c oxidase assembly protein (yeast)	1.48
207469_s_at	pirin (iron-binding nuclear protein)	1.48
209661_at	kinesin family member C3	1.48
213485_s_at	ATP-binding cassette, sub-family C (CFTR/MRP), member 10	1.48
217958_at	trafficking protein particle complex 4	1.48
219402_s_at	Der1-like domain family, member 1	1.48
225096_at	hypothetical protein, clone 2746033	1.48
227245_at	hypothetical protein FLJ13089	1.48
200658_s_at	prohibitin	1.47
200931_s_at	vinculin	1.47
201088_at	karyopherin alpha 2 (RAG cohort 1, importin alpha 1)	1.47
203033_x_at	fumarate hydratase	1.47
203270_at	deoxythymidylate kinase (thymidylate kinase)	1.47
219148_at	PDZ binding kinase	1.47
63825_at	Abhydrolase domain containing 2	1.47
224867_at	similar to protein of fungal metazoan origin like (11.1 kD) (2C514)	1.47
201144_s_at	eukaryotic translation initiation factor 2, subunit 1 alpha, 35kDa	1.46
209929_s_at	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase gamma	1.46
218662_s_at	chromosome condensation protein G	1.46
221492_s_at	APG3 autophagy 3-like (S. cerevisiae)	1.46
225252_at	chromosome 20 open reading frame 139	1.46
204033_at	thyroid hormone receptor interactor 13	1.45
207490_at	tubulin, alpha 4	1.45
209231_s_at	dynactin 4	1.45
210114_at	inversin	1.45
211752_s_at	NADH dehydrogenase (ubiquinone) Fe-S protein 7, 20kDa (NADH-coenzyme Q reductase) /// NADH dehydrogenase (ubiquinone) Fe-S protein 7, 20kDa (NADH-coenzyme Q reductase)	1.45
217496_s_at	insulin-degrading enzyme	1.45
218883_s_at	MLF1 interacting protein	1.45
225195_at	zinc finger, CSL domain containing 2	1.45
237469_at	gb:T96523 /DB_XREF=gi:735147 /DB_XREF=ye49c09.s1 /CLONE=IMAGE:121072 /FEA=EST /CNT=11 /TID=Hs.242998.0 /TIER=ConsEnd /STK=5 /UG=Hs.242998 /UG_TITLE=ESTs	1.45
202095_s_at	baculoviral IAP repeat-containing 5 (survivin)	1.44
205133_s_at	heat shock 10kDa protein 1 (chaperonin 10)	1.44
211072_x_at	tubulin, alpha, ubiquitous /// tubulin, alpha, ubiquitous	1.44
221641_s_at	likely ortholog of mouse acyl-Coenzyme A thioesterase 2, mitochondrial	1.44
222462_s_at	beta-site APP-cleaving enzyme 1	1.44
230398_at	C-terminal tensin-like	1.44
203324_s_at	caveolin 2	1.43
208805_at	proteasome (prosome, macropain) subunit, alpha type, 6	1.43
209165_at	apoptosis antagonizing transcription factor	1.43
210559_s_at	cell division cycle 2, G1 to S and G2 to M	1.43
211058_x_at	tubulin, alpha, ubiquitous /// tubulin, alpha, ubiquitous	1.43
211926_s_at	myosin, heavy polypeptide 9, non-muscle	1.43
217769_s_at	chromosome 13 open reading frame 12	1.43
223480_s_at	mitochondrial ribosomal protein L47	1.43
202243_s_at	proteasome (prosome, macropain) subunit, beta type, 4	1.42
203606_at	NADH dehydrogenase (ubiquinone) Fe-S protein 6, 13kDa (NADH-coenzyme Q reductase)	1.42
204334_at	Kruppel-like factor 7 (ubiquitous)	1.42
226610_at	proline rich 6	1.42
211969_at	heat shock 90kDa protein 1, alpha	1.41
212687_at	LIM and senescent cell antigen-like domains 1	1.41
218281_at	mitochondrial ribosomal protein L48	1.41
223100_s_at	nudix (nucleoside diphosphate linked moiety X)-type motif 5	1.41
223329_x_at	SGT1, suppressor of G2 allele of SKP1 (S. cerevisiae)	1.41
202705_at	cyclin B2	1.4
203396_at	proteasome (prosome, macropain) subunit, alpha type, 4	1.4
209492_x_at	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit e	1.4
209507_at	replication protein A3, 14kDa	1.4
211746_x_at	proteasome (prosome, macropain) subunit, alpha type, 1 /// proteasome (prosome, macropain) subunit, alpha type, 1	1.4
51176_at	cofactor required for Sp1 transcriptional activation, subunit 8, 34kDa	1.4
224918_x_at	microsomal glutathione S-transferase 1	1.4
227342_s_at	myeloma overexpressed gene (in a subset of t(11;14) positive multiple myelomas)	1.4
214170_x_at	fumarate hydratase	1.39
216237_s_at	MCM5 minichromosome maintenance deficient 5, cell division cycle 46 (S. cerevisiae)	1.39
228075_x_at	transcription factor B1, mitochondrial	1.39
202831_at	glutathione peroxidase 2 (gastrointestinal)	1.38
204218_at	DKFZP564M082 protein	1.38
215354_s_at	proline-, glutamic acid-, leucine-rich protein 1	1.38
221791_s_at	hypothetical protein HSPC016	1.38
204023_at	replication factor C (activator 1) 4, 37kDa	1.37
207165_at	hyaluronan-mediated motility receptor (RHAMM)	1.37
55081_at	MICAL-like 1	1.37
225404_at	hypothetical protein BC011880	1.37
203465_at	mitochondrial ribosomal protein L19	1.36
217835_x_at	chromosome 20 open reading frame 24	1.36
221677_s_at	downstream neighbor of SON	1.36
222077_s_at	Rac GTPase activating protein 1	1.36
223880_x_at	chromosome 20 open reading frame 24	1.36
225106_s_at	hypothetical protein FLJ10826	1.36
201532_at	proteasome (prosome, macropain) subunit, alpha type, 3	1.35
208970_s_at	uroporphyrinogen decarboxylase	1.35
217834_s_at	synaptotagmin binding, cytoplasmic RNA interacting protein	1.35
219030_at	CGI-121 protein	1.35
204948_s_at	follistatin	1.34
209849_s_at	RAD51 homolog C (S. cerevisiae)	1.34
219169_s_at	transcription factor B1, mitochondrial	1.34
219575_s_at	peptide deformylase-like protein /// component of oligomeric golgi complex 8	1.33
201587_s_at	interleukin-1 receptor-associated kinase 1	1.32
202244_at	proteasome (prosome, macropain) subunit, beta type, 4	1.32
208708_x_at	eukaryotic translation initiation factor 5	1.31
226414_s_at	APC11 anaphase promoting complex subunit 11 homolog (yeast)	1.3
203360_s_at	c-myc binding protein	1.27
226642_s_at	NudC domain containing 2	-1.31
219238_at	phosphatidylinositol glycan, class V	-1.32
214853_s_at	SHC (Src homology 2 domain containing) transforming protein 1	-1.33
205625_s_at	calbindin 1, 28kDa	-1.34
204542_at	ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 2	-1.35
208161_s_at	ATP-binding cassette, sub-family C (CFTR/MRP), member 3	-1.35
210538_s_at	baculoviral IAP repeat-containing 3	-1.35
223004_s_at	chromosome 3 open reading frame 1	-1.35
208771_s_at	leukotriene A4 hydrolase	-1.36
224679_at	mesoderm development candidate 2	-1.36
224996_at	Hypothetical protein MGC34646	-1.36
225055_at	LOC440460	-1.36
225632_s_at	RAB43, member RAS oncogene family	-1.36
200666_s_at	DnaJ (Hsp40) homolog, subfamily B, member 1	-1.37
201219_at	C-terminal binding protein 2 /// LOC440008	-1.37
212803_at	NGFI-A binding protein 2 (EGR1 binding protein 2)	-1.37
215718_s_at	PHD finger protein 3	-1.37
221804_s_at	family with sequence similarity 45, member B /// family with sequence similarity 45, member A	-1.37
201844_s_at	RING1 and YY1 binding protein	-1.38
212049_at	CDNA FLJ30463 fis, clone BRACE2009517	-1.38
213360_s_at	POM121 membrane glycoprotein (rat) /// nuclear envelope pore membrane LOC340318	-1.38
218032_at	stannin	-1.38
228708_at	RAB27B, member RAS oncogene family	-1.38
230031_at	heat shock 70kDa protein 5 (glucose-regulated protein, 78kDa)	-1.38
233461_x_at	zinc finger protein 226	-1.38
202596_at	endosulfine alpha	-1.39
204568_at	KIAA0831	-1.39
206662_at	glutaredoxin (thioltransferase)	-1.39
208073_x_at	tetratricopeptide repeat domain 3	-1.39
208747_s_at	complement component 1, s subcomponent	-1.39
242824_at	KIAA0485 protein	-1.39
200704_at	lipopolysaccharide-induced TNF factor	-1.4
213572_s_at	serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 1	-1.4
217952_x_at	PHD finger protein 3	-1.4
222999_s_at	cyclin L2	-1.4
224603_at	Sialyltransferase 7 ((alpha-N-acetylneuraminyl-2,3-beta-galactosyl-1,3)-N-acetyl galactosaminide alpha-2,6-sialyltransferase) B /// CDNA clone IMAGE:3831740, partial cds	-1.4
224611_s_at	DnaJ (Hsp40) homolog, subfamily C, member 5	-1.4
224646_x_at	gb:BF569051 /DB_XREF=gi:11642431 /DB_XREF=602184410T1 /CLONE=IMAGE:4300347 /FEA=EST /CNT=484 /TID=Hs.286.3 /TIER=Stack /STK=135 /UG=Hs.286 /LL=6124 /UG_GENE=RPL4 /UG_TITLE=ribosomal protein L4	-1.4
202034_x_at	RB1-inducible coiled-coil 1	-1.41
203563_at	actin filament associated protein	-1.41
204573_at	carnitine O-octanoyltransferase	-1.41
213400_s_at	transducin (beta)-like 1X-linked	-1.41
218245_at	likely ortholog of chicken tsukushi	-1.41
222904_s_at	transmembrane channel-like 5	-1.41
224711_at	Solute carrier family 25, member 29	-1.41
225627_s_at	KIAA1573 protein	-1.41
231764_at	chromatin accessibility complex 1	-1.41
233850_s_at	KIAA1442 protein	-1.41
1557384_at	Zinc finger protein 131 (clone pHZ-10)	-1.41
200709_at	FK506 binding protein 1A, 12kDa	-1.42
201473_at	jun B proto-oncogene	-1.42
201591_s_at	nischarin	-1.42
202221_s_at	E1A binding protein p300	-1.42
202548_s_at	Rho guanine nucleotide exchange factor (GEF) 7	-1.42
207738_s_at	NCK-associated protein 1	-1.42
209341_s_at	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase beta	-1.42
212345_s_at	cAMP responsive element binding protein 3-like 2	-1.42
213223_at	ribosomal protein L28	-1.42
218419_s_at	hypothetical protein MGC3123	-1.42
222370_x_at	gb:N57781 /DB_XREF=gi:1201671 /DB_XREF=yv56g05.s1 /CLONE=IMAGE:246776 /FEA=EST /CNT=4 /TID=Hs.269584.0 /TIER=ConsEnd /STK=3 /UG=Hs.269584 /UG_TITLE=ESTs, Weakly similar to ALU5_HUMAN ALU SUBFAMILY SC SEQUENCE CONTAMINATION WARNING ENTRY (H.sapiens)	-1.42
202656_s_at	SERTA domain containing 2	-1.43
215696_s_at	KIAA0310	-1.43
221875_x_at	major histocompatibility complex, class I, F	-1.43
222437_s_at	vacuolar protein sorting 24 (yeast)	-1.43
