Affimetrix probe set	Gene/protein	Expression
202076_at	Baculoviral IAP repeat-containing 2 (BIRC2)	Repressed genes
205016_at	Transforming growth factor, alpha (TGFA)	Repressed genes
202241_at	Phosphoprotein regulated by mitogenic pathways	Repressed genes
202857_at	Transmembrane protein 4	Repressed genes
203276_at	Lamin B1	Repressed genes
206924_at	Interleukin 11	Repressed genes
200779_at	Activating transcription factor 4	Repressed genes
202554_s_at	Glutathione S-transferase M3	Repressed genes
203851_at	Insulin-like growth factor binding protein 6	Repressed genes
203814_s_at	NAD(P)H dehydrogenase, quinone 2	Repressed genes
208296_x_at	TNF-induced protein antiapoptosis (GG2-1)	Repressed genes
206581_at	Basonuclin	Repressed genes
206205_at	M phase phosphoprotein 9	Repressed genes
201524_x_at	Ubiquitin-conjugating enzyme E2N	Repressed genes
201508_at	Insulin-like growth factor binding protein 4	Repressed genes
203752_s_at	jun D	Repressed genes
202569_s_at	MAP/microtubule affinity-regulating kinase 3	Repressed genes
201848_s_at	BCL2/adenovirus E1B 19 kDa interacting protein (BNIP3)	Repressed genes
200046_at	Defender against cell death 1 (DAD1)	Repressed genes
204696_s_at	Cell division cycle 25A (cdc25A)	Repressed genes
203628_at	Insulin-like growth factor 1 receptor	Repressed genes
201938_at	CDK2-associated protein 1	Repressed genes
207766_at	Cyclin-dependent kinase-like 1 (CDC2-related kinase)	Repressed genes
200707_at	Protein kinase C substrate 80K-H	Repressed genes
213209_at	TAF6-like RNA polymerase II	Repressed genes
200750_s_at	RAN, member RAS oncogene family	Repressed genes
221566_s_at	Nucleolar protein 3 (apoptosis repressor with CARD domain)	Repressed genes
203928_x_at	Microtubule-associated protein tau	Repressed genes
213829_x_at	Tumor necrosis factor receptor superfamily, member 6b	Repressed genes
204298_s_at	Lysyl oxidase	Induced genes
204493_at	BH3 interacting domain death agains (BID) a	Induced genes
204363_at	Coagulation factor III	Induced genes
201842_s_at	EGF-containing fibulin-like extracellular matrix protein 1	Induced genes
201324_at	Epithelial membrane protein 1	Induced genes
202177_at	Growth arrest-specific 6 (GAS6)	Induced genes
201058_s_at	Myosin	Induced genes
205347_s_at	Thymosin, 	Induced genes
202644_s_at	Tumor necrosis factor, -induced protein 3	Induced genes
203725_at	Growth arrest and DNA-damage-inducible, 	Induced genes
203743_s_at	Thymine-DNA glycosylase	Induced genes
203060_s_at	3-phosphoadenosine 5-phosphosulfate synthase 2	Induced genes
206116_s_at	Tropomyosin 1 ()	Induced genes
209834_at	carbohydrate (chondroitin 6) sulfotransferase 3	Induced genes
202695_s_at	Serine/threonine kinase 17a	Induced genes
209008_x_at	Keratin 8	Induced genes
212481_s_at	Tropomyosin 4	Induced genes
207071_s_at	Aconitase 1	Induced genes
202668_at	Ephrin-B2	Induced genes
210762_s_at	Deleted in liver cancer 1	Induced genes
209369_at	Annexin A3	Induced genes
201954_at	Actin related protein 2/3 complex, subunit 1B	Induced genes
201379_s_at	Tumor protein D52-like 2	Induced genes
200982_s_at	Annexin A6	Induced genes
201980_s_at	Ras suppressor protein 1	Induced genes
202217_at	ES1 (zebrafish) protein, human homolog	Induced genes
201301_s_at	Annexin A4	Induced genes
