TGF-ß target gene	Description	Regulationb	Dependency
VMP1	Likely ortholog of rat vacuote membrane protein 1	Up	Early (1 h) and late (6 h) targets Smad4 independent
CITED2	Cbp/p300-interacting transactivator 2	Down	Early (1 h) and late (6 h) targets Smad4 independent
RGS2	Regulator of G-protein signalling 2, 24 kDa	Down	Early (1 h) and late (6 h) targets Smad4 independent
AKAP12c	A kinase (PRKA) anchor protein (gravin) 12	Up	Late (6 h) targets Smad4 dependent
ARNTL	Aryl hydrocarbon receptor nuclear translocator-like	Up	Late (6 h) targets Smad4 dependent
BJ-TSA-9	Hypothetical protein MGC14128	Up	Late (6 h) targets Smad4 dependent
CKLFSF3	Chemokine-like factor super family 3	Up	Late (6 h) targets Smad4 dependent
ETS2	v-ets erythroblastosis virus E26 oncogene homolog 2 (avian)	Up	Late (6 h) targets Smad4 dependent
IRAK2	Interleukin-1 receptor-associated kinase 2	Up	Late (6 h) targets Smad4 dependent
ITGB6c	Integrin, beta 6	Up	Late (6 h) targets Smad4 dependent
LAMC2	Laminin, gamma 2	Up	Late (6 h) targets Smad4 dependent
MASP2	Mannan-binding lectin serine protease 2	Up	Late (6 h) targets Smad4 dependent
PHACTR3	Phosphatase and actin regulator 3	Up	Late (6 h) targets Smad4 dependent
POLR2J2	DNA directed RNA polymerase II polypeptide J-related gene	Up	Late (6 h) targets Smad4 dependent
SMURF1c	E3 ubiquitin ligase SMURF1	Up	Late (6 h) targets Smad4 dependent
ZNF198	Zinc finger protein 198	Up	Late (6 h) targets Smad4 dependent
AMSH-LP	Associated molecule with the SH3 domain of STAM-like protein	Down	Late (6 h) targets Smad4 dependent
CLDN8	Claudin 8	Down	Late (6 h) targets Smad4 dependent
FLG	Filaggrin	Down	Late (6 h) targets Smad4 dependent
FOXQ1	Forkhead box Q1	Down	Late (6 h) targets Smad4 dependent
GALNT5	UDP-N-acetyl--D-galactosamine	Down	Late (6 h) targets Smad4 dependent
GLMN	Glomulin, FKBP-associated protein	Down	Late (6 h) targets Smad4 dependent
GPR126	G protein-coupled receptor 126	Down	Late (6 h) targets Smad4 dependent
IL1RN	Interleukin-1 receptor antagonist	Down	Late (6 h) targets Smad4 dependent
PARD6B	Par-6 partitioning defective 6 homolog beta (Caenorhabditis elegans)	Down	Late (6 h) targets Smad4 dependent
PBX1	Pre-B-cell leukemia transcription factor 1	Down	Late (6 h) targets Smad4 dependent
PCDH7	BH-protocadherin 7 (brain-heart)	Down	Late (6 h) targets Smad4 dependent
PLEKHK1	Pteckstrin homology domain containing, family K member 1	Down	Late (6 h) targets Smad4 dependent
RAB27B	RAB27B, member RAS oncogene family	Down	Late (6 h) targets Smad4 dependent
RASSF5	Similar to protein interacting with GEF	Down	Late (6 h) targets Smad4 dependent
RDH10	Retinol dehydrogenase 10 (all-trans)	Down	Late (6 h) targets Smad4 dependent
TBX3	Transcription factor Tbx3	Down	Late (6 h) targets Smad4 dependent
TIMP3	Tissue inhibitor of metalloproteinase 3	Down	Late (6 h) targets Smad4 dependent
TNFSF10	Tumor necrosis factor (ligand) superfamily, member 10	Down	Late (6 h) targets Smad4 dependent
ZNF488	Zinc finger protein 488	Down	Late (6 h) targets Smad4 dependent
ACTN1	Actinin, alpha 1	Up	Late (6 h) targets Smad4 independent
ADAM19	A disintegrin and metalloproteinase domain 19	Up	Late (6 h) targets Smad4 independent
AMIGO2	Amphoterin-induced gene 2	Up	Late (6 h) targets Smad4 independent
CDKN2B (p15)c	Cyclin-dependent kinase inhibitor 2B	Up	Late (6 h) targets Smad4 independent
CHST11	Carbohydrate (chondroitin 4) sulfotransferase 11	Up	Late (6 h) targets Smad4 independent
COL4A1	Collagen, type IV, alpha 1	Up	Late (6 h) targets Smad4 independent
CST6	Cystatin E/M	Up	Late (6 h) targets Smad4 independent
DLC1	Deleted in liver cancer 1	Up	Late (6 h) targets Smad4 independent
ELK3	ELK3, ETS-domain protein (SRF accessory protein 2)	Up	Late (6 h) targets Smad4 independent
FHL2	Four and a half LIM domains 2	Up	Late (6 h) targets Smad4 independent
FSTL3	Follistatin-like 3	Up	Late (6 h) targets Smad4 independent
HS3ST2	Heparan sulfate (glucosamine) 3-O-sulfotransferase 2	Up	Late (6 h) targets Smad4 independent
IVL	Involucrin	Up	Late (6 h) targets Smad4 independent
KAL1	Kallmann syndrome 1 sequence	Up	Late (6 h) targets Smad4 independent
LBH	Likely ortholog of mouse limb-bud and heart gene	Up	Late (6 h) targets Smad4 independent
LIPG	Lipase, endothelial	Up	Late (6 h) targets Smad4 independent
LTBP2	Latent transforming growth factor beta binding protein 2	Up	Late (6 h) targets Smad4 independent
MGC29643	Hypothetical protein MGC29643	Up	Late (6 h) targets Smad4 independent
NAV2	Neuron navigator 2	Up	Late (6 h) targets Smad4 independent
NET1	Neuroepithelial cell transforming gene 1	Up	Late (6 h) targets Smad4 independent
P114-RHO-GEF	Rho-specific guanine nucleotide exchange factor p114	Up	Late (6 h) targets Smad4 independent
PAPPA	Pregnancy-associated plasma protein A, pappalysin 1	Up	Late (6 h) targets Smad4 independent
PTGS2	Prostaglandin-endoperoxide synthase 2	Up	Late (6 h) targets Smad4 independent
PTPRB	Protein tyrosine phosphatase, receptor type, B	Up	Late (6 h) targets Smad4 independent
RUNX1	Runt-related transcription factor 1	Up	Late (6 h) targets Smad4 independent
SEC14L2	SEC14-like 2 (Saccharomyces cerevisiae)	Up	Late (6 h) targets Smad4 independent
SEMA3C	Sema domain, immunoglobulin domain (semaphorin) 3C	Up	Late (6 h) targets Smad4 independent
SOX4	SRY (sex-determining region Y)-box 4	Up	Late (6 h) targets Smad4 independent
TAGLN	Transgelin	Up	Late (6 h) targets Smad4 independent
TGFB2	TGF-ß2	Up	Late (6 h) targets Smad4 independent
TP73L	Tumor protein p73-like	Up	Late (6 h) targets Smad4 independent
ANKRD22	Ankyrin repeat domain 22	Down	Late (6 h) targets Smad4 independent
BCMP11	Breast cancer membrane protein 1	Down	Late (6 h) targets Smad4 independent
CLDN1	Claudin 1	Down	Late (6 h) targets Smad4 independent
CLECSF2	C-type lectin, superfamily member 2	Down	Late (6 h) targets Smad4 independent
CYP1A1	Cytochrome P450, family 1A, polypeptide 1	Down	Late (6 h) targets Smad4 independent
DOCK8	Dedicator of cytokinesis 8	Down	Late (6 h) targets Smad4 independent
GATA3	GATA binding protein 3	Down	Late (6 h) targets Smad4 independent
GBP2	Guanylate binding protein 2, interferon-inducible	Down	Late (6 h) targets Smad4 independent
ID2	Inhibitor of DNA binding 2	Down	Late (6 h) targets Smad4 independent
ID3	Inhibitor of DNA binding 3	Down	Late (6 h) targets Smad4 independent
ID4	Inhibitor of DNA binding 4	Down	Late (6 h) targets Smad4 independent
IFIT2	Interferon-induced protein with tetratricopeptide repeats 2	Down	Late (6 h) targets Smad4 independent
PPFIBP2	PTPRF-Interacting protein, binding protein 2 (liprin beta 2)	Down	Late (6 h) targets Smad4 independent
SASH1	SAM and SH3 domain containing 1	Down	Late (6 h) targets Smad4 independent
TGFBR3	TGF-ß receptor III	Down	Late (6 h) targets Smad4 independent
