Affymetrix probe ID	Gene Symbol	Gene Title	Control fold change	In(Lu) fold change	Functional Category
205378_s_at	ACHE	Acetylcholinesterase (Yt blood group)	4.4	8.7	Neurotransmitter regulation
207014_at	GABRA2	Gamma-aminobutyric acid (GABA) A receptor, alpha 2	2.1	6.2	Neurotransmitter regulation
206669_at	GAD1	Glutamate decarboxylase 1 (brain, 67kDa)	2.1	2.2	Neurotransmitter regulation
220811_at	PRG3	Proteoglycan 3	2.2	2.2	Neurotransmitter regulation
200928_s_at	RAB14	RAB14, member RAS oncogene family	3.3	2	Neurotransmitter regulation
213843_x_at	SLC6A8	Solute carrier family 6 (neurotransmitter transporter, creatine), member 8	1.4	2.6	Neurotransmitter regulation
210854_x_at	SLC6A8	Solute carrier family 6 (neurotransmitter transporter, creatine), member 8	1.3	2	Neurotransmitter regulation
202219_at	SLC6A8	Solute carrier family 6 (neurotransmitter transporter, creatine), member 8	1.8	2.5	Neurotransmitter regulation
207043_s_at	SLC6A9	Solute carrier family 6 (neurotransmitter transporter, creatine), member 9	2.6	4.4	Neurotransmitter regulation
215917_at	SNPH	Syntaphilin	3.2	3.8	Neurotransmitter regulation
208223_s_at	ACVR1B	Activin A receptor, type IB	3.1	2.2	Blood group antigens / erythroid factors
205389_s_at	ANK1	Ankyrin 1, erythrocytic	1.2	1.6	Blood group antigens / erythroid factors
207087_x_at	ANK1	Ankyrin 1, erythrocytic	1.2	1.6	Blood group antigens / erythroid factors
205391_x_at	ANK1	Ankyrin 1, erythrocytic	1.4	1.9	Blood group antigens / erythroid factors
208353_x_at	ANK1	Ankyrin 1, erythrocytic	1.6	2	Blood group antigens / erythroid factors
209047_at	AQP1	Aquaporin 1 (Colton blood group)	3.7	5.3	Blood group antigens / erythroid factors
207542_s_at	AQP1	Aquaporin 1 (Colton blood group)	3	6.1	Blood group antigens / erythroid factors
39248_at	AQP3	Aquaporin 3 (Gill blood group)	1	2.3	Blood group antigens / erythroid factors
206177_s_at	ARG1	Arginase, liver	1.9	2.7	Blood group antigens / erythroid factors
207220_at	ART4	ADP-ribosyltransferase 4 (Dombrock blood group)	3	5.8	Blood group antigens / erythroid factors
208677_s_at	BSG	Basigin (Ok blood group)	1.3	1.7	Blood group antigens / erythroid factors
208335_s_at	DARC	Duffy blood group, chemokine receptor	1.9	2.3	Blood group antigens / erythroid factors
210746_s_at	EPB42	Erythrocyte membrane protein band 4.2	2.2	3.8	Blood group antigens / erythroid factors
209962_at	EPOR	Erythropoietin receptor	1.5	2.3	Blood group antigens / erythroid factors
209963_s_at	EPOR	Erythropoietin receptor	1.4	1.9	Blood group antigens / erythroid factors
219905_at	ERMAP	Erythroblast membrane-associated protein (Scianna blood group)	2.5	2.6	Blood group antigens / erythroid factors
211821_x_at	GYPA	Glycophorin A (MNS blood group)	2.3	3.5	Blood group antigens / erythroid factors
205838_at	GYPA	Glycophorin A (MNS blood group)	2.6	3.4	Blood group antigens / erythroid factors
209930_s_at	NFE2	Nuclear factor (erythroid-derived 2), 45kDa	2.1	2.7	Blood group antigens / erythroid factors
205592_at	SLC4A1	Solute carrier family 4, anion exchanger, member 1 (erythrocyte membrane protein band 3, Diego blood group)	4.3	12	Blood group antigens / erythroid factors
202111_at	SLC4A2	Solute carrier family 4, anion exchanger, member 2 (erythrocyte membrane protein band 3-like 1)	2.1	3.1	Blood group antigens / erythroid factors
203662_s_at	TMOD1	Tropomodulin 1	1.8	2.9	Blood group antigens / erythroid factors
203661_s_at	TMOD1	Tropomodulin 1	1.7	2.8	Blood group antigens / erythroid factors
209619_at	CD74	CD74 molecule, major histocompatibility complex, class II invariant chain	-3.3	-6.8	Antigen processing and presentation
211990_at	HLA-DPA1	Major histocompatibility complex, class II, DP alpha 1	-5.8	-8.2	Antigen processing and presentation
211991_s_at	HLA-DPA1	Major histocompatibility complex, class II, DP alpha 1	-4.5	-11	Antigen processing and presentation
201137_s_at	HLA-DPB1	Major histocompatibility complex, class II, DP beta 1	-2.5	-2.9	Antigen processing and presentation
209480_at	HLA-DQB1	Major histocompatibility complex, class II, DQ beta 1	-2.3	-3.3	Antigen processing and presentation
211654_x_at	HLA-DQB1	Major histocompatibility complex, class II, DQ beta 1	-1	-2.6	Antigen processing and presentation
208894_at	HLA-DRA	Major histocompatibility complex, class II, DR alpha	-7.1	-10.2	Antigen processing and presentation
210982_s_at	HLA-DRA	Major histocompatibility complex, class II, DR alpha	-27.7	-23.4	Antigen processing and presentation
215193_x_at	HLA-DRB1	Major histocompatibility complex, class II, DR beta 1	-3.3	-7.1	Antigen processing and presentation
204670_x_at	HLA-DRB1	Major histocompatibility complex, class II, DR beta 1	-4	-3.7	Antigen processing and presentation
208306_x_at	HLA-DRB4	Major histocompatibility complex, class II, DR beta 4	-3.1	-5.4	Antigen processing and presentation
213095_x_at	AIF1	Allograft inflammatory factor 1	-2.7	-3.1	Defense response
215051_x_at	AIF1	Allograft inflammatory factor 1	-6.2	-15.7	Defense response
220307_at	CD244	CD244 molecule, natural killer cell receptor 2B4	-2.8	-1.9	Defense response
211734_s_at	FCER1A	Fc fragment of IgE, high affinity I, receptor for; alpha polypeptide	-2.6	-3.7	Defense response
202490_at	IKBKAP	Inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase complex-associated protein	-1.6	-2.2	Defense response
39402_at	IL1B	Interleukin 1, beta	-2.9	-2.3	Defense response
222062_at	IL27RA	Interleukin 27 receptor, alpha	-6.5	-4.7	Defense response
204959_at	MNDA	Myeloid cell nuclear differentiation antigen	-1	-6.3	Defense response
203949_at	MPO	Myeloperoxidase	-2.1	-4.1	Defense response
203948_s_at	MPO	Myeloperoxidase	-1.9	-3.5	Defense response
205147_x_at	NCF4	Neutrophil cytosolic factor 4, 40kDa	-2.8	-3.5	Defense response
207677_s_at	NCF4	Neutrophil cytosolic factor 4, 40kDa	-3	-4.9	Defense response
212587_s_at	PTPRC	Protein tyrosine phosphatase, receptor type, C	-1.9	-2.4	Defense response
216667_at	RNASE2	Ribonuclease, RNase A family, 2 (liver, eosinophil-derived neurotoxin)	-3.3	-2.7	Defense response
213566_at	RNASE6	Ribonuclease, RNase A family, k6	-4.1	-3.1	Defense response
200986_at	SERPING1	Serpin peptidase inhibitor, clade G (C1 inhibitor), member 1, (angioedema, hereditary)	-9.6	-2.3	Defense response
216981_x_at	SPN	Sialophorin (leukosialin, CD43)	-2.1	-1.1	Defense response
216474_x_at	TPSAB1	Tryptase alpha/beta 1	-1.6	-1.8	Defense response
210084_x_at	TPSAB1	Tryptase alpha/beta 1	-1.6	-2.2	Defense response
215382_x_at	TPSAB1	Tryptase alpha/beta 1	-1.6	-1.8	Defense response
217023_x_at	TPSAB1	Tryptase alpha/beta 1	-1.5	-1.5	Defense response
205683_x_at	TPSAB1	Tryptase alpha/beta 1	-1.6	-1.8	Defense response
207741_x_at	TPSAB1 / TPSB2	Tryptase alpha/beta 1 / tryptase beta 2	-1.4	-1.6	Defense response
207134_x_at	TPSB2	Tryptase beta 2	-1.3	-1.9	Defense response
205653_at	CTSG	Cathepsin G	-1.6	-4	Other immune response
214450_at	CTSW	Cathepsin W	-3.5	-9.4	Other immune response
210889_s_at	FCGR2B	Fc fragment of IgG, low affinity IIb, receptor (CD32)	-2.1	-1.5	Other immune response
201601_x_at	IFITM1	Interferon induced transmembrane protein 1 (9-27)	-2.9	-2.8	Other immune response
212203_x_at	IFITM3	Interferon induced transmembrane protein 3 (1-8U)	-12.7	-8.3	Other immune response
206332_s_at	IFI16	Interferon, gamma-inducible protein 16	-2.2	-3.9	Other immune response
206295_at	IL18	Interleukin 18 (interferon-gamma-inducing factor)	-1.4	-2.4	Other immune response
206618_at	IL18R1	Interleukin 18 receptor 1	-1.3	-4.7	Other immune response
211005_at	LAT	Linker for activation of T cells	-1.5	-1.1	Other immune response
210629_x_at	LST1	Leukocyte specific transcript 1	-2.2	-1.4	Other immune response
203005_at	LTBR	Lymphotoxin beta receptor (TNFR superfamily, member 3)	-2.9	-2.2	Other immune response
217299_s_at	NBN	Nibrin	-1.4	-1	Other immune response
204005_s_at	PAWR	PRKC, apoptosis, WT1, regulator	-1.3	-5.4	Other immune response
209040_s_at	PSMB8	Proteasome (prosome, macropain) subunit, beta type, 8 (large multifunctional peptidase 7)	-3.8	-11.9	Other immune response
207735_at	RNF125	Ring finger protein 125	-2.7	-1.6	Other immune response
207540_s_at	SYK	Spleen tyrosine kinase	-1.3	-2.1	Other immune response
