Gene Symbol	Gene Description	Gene Cluster ID	Fold Changes (ATC/ATN)	Function
FCER1G	Fc fragment of IgE, high affinity I, receptor for; gamma polypeptide	Hs.433300	0.30	Immune response
FCGR2B	Fc fragment of IgG, low affinity Iib, receptor (CD32)	Hs.492655	0.46	Immune response
FCRL4	Fc receptor-like 4	Hs.120260	0.29	Immune response
IGLL1	Immunoglobulin lambda-like polypeptide 1	Hs.348935	0.28	Immune response
IL18BP	Interleukin 18 binding protein	Hs.325978	0.46	Immune response
PVR	Poliovirus receptor	Hs.171844	3.27	Other
APLN	Apelin, AGTRLI ligand	Hs.303084	0.29	Other
CPNE5	Copine V	Hs.372129	0.49	Other
GPR143	G protein-coupled receptor 143	Hs.74124	0.48	Other
HEYL	Hairy/enhancer-of-split related with YRPW motif-like	Hs.472566	0.50	Other
MARCH7	Membrane-associated ring finger (C3HC4) 7	Hs.529272	0.42	Other
NRP2	Neuropilin 2	Hs.471200	0.48	Other
NYD-SP18	Testes development-related NYD-SP18	Hs.131098	0.43	Other
OS9	Amplified in osteosarcoma	Hs.527861	0.50	Other
PARVB	Parvin, beta	Hs.475074	0.51	Other
PER3	Period homolog 3 (Drosophila)	Hs.533339	0.34	Other
PWP1	PWP1 homolog (S. cerevisiae)	Hs.506652	0.48	Other
PXMP3	Peroxisomal membrane protein 3, 35 kDa (Zellweger syndrome)	Hs.437966	0.51	Other
PZP	Pregnancy-zone protein	Hs.480143	0.47	Other
