Abbreviation	Name	log2(intensity)	log2(ratio)	statistical score
EMID1	EMI domain containing 1	11,51	0,94	2,79
KIAA1695	formin homology 2 domain containing 1 (FHOD1)	10,59	0,94	1,50
KIAA1644	encoding KIAA1644 protein	9,51	0,96	0,19
SULT2A1	sulfotransferase family, cytosolic, 2A, dehydroepiandrosterone (DHEA)-preferring, member 1	11,63	0,98	1,89
KIAA1145	transmembrane and coiled-coil domain family 3 (TMCC3)	8,95	1,01	0,84
CYP3A7	cytochrome p450, family 3, subfamily A, polypeptide 7	9,53	1,05	0,75
FLJ10094	ecto-NOX disulfide-thiol exchanger 1 (ENOX1)	6,11	1,05	0,89
ACSL6	acyl-CoA synthetase long-chain family member 6	8,06	1,06	0,36
GATA3	GATA binding protein 3	10,55	1,09	0,77
BMP6	bone morphogenetic protein 6	9,41	1,10	1,84
PJA1	praja 1	13,42	1,11	1,53
CDH22	cadherin-like 22	8,48	1,14	0,89
GATA3	GATA binding protein 3	10,26	1,14	1,01
NS5ATP13TP2	OAF homolog (Drosophila)	11,38	1,14	1,70
SLC31A2	solute carrier family 31 (copper transporters), member 2	9,84	1,15	0,48
AXL	AXL receptor tyrosine kinase	9,35	1,15	0,59
HSPB7	heat shock 27kDa protein family, member 7	11,75	1,16	2,71
FXYD6	FXYD domain containing ion transport regulator 6	13,28	1,19	1,74
DKFZp434C1915	encoding hypothetical protein DKFZp434c1915	14,04	1,20	1,63
TUBB5	tubulin, beta	12,60	1,28	0,29
LOC375682	encoding hypothetical protein LOC375682	10,16	1,29	0,53
TMOD1	tropomodulin 1	7,53	1,29	2,47
MGC45871	family with sequence similarity 101, member B (FAM101B)	10,98	1,29	1,58
SCEL	sciellin	7,89	1,34	1,89
RAB31	Rab31, member of ras oncogene family	9,55	1,39	2,56
EML1	echinoderm microtubule associated protein like 1	8,60	1,39	0,74
PTPRZ1	protein tyrosine phosphatase, receptor-type, Z polypeptide 1	10,15	1,47	0,47
NXN	nucleoredoxin	11,46	1,49	2,39
KIAA0802	encoding KIAA0802 protein	9,14	1,49	2,48
LOC388394	encoding reprimo-like	9,98	1,49	1,67
APOA1	apolipoprotein A1	9,81	1,55	2,62
LOC283157	encoding hypothetical protein LOC283157	9,41	1,58	1,16
C20orf160	chromosome 20 open reading frame 160	8,91	1,58	0,73
PPP2R5A	protein phosphatase 2, regulatory subunit B (B56), alpha isoform	10,55	1,59	2,47
EPAS1	endothelial PAS domain protein 1	10,91	1,63	0,93
KIAA1913	encoding KIAA1913 protein	13,02	1,67	1,47
DAAM2	dishevelled associated activator of morphogenesis 2	12,44	1,70	1,92
C21orf25	chromosome 21 open reading frame 25	11,88	1,73	1,43
FATE1	fetal and adult testis expressed 1	12,27	1,81	3,28
HES6	hairy and enhancer of split 6 (Drosophila)	10,96	2,07	1,65
SORL1	sortilin-related receptor, l (DLR class) A repeats-containing	8,42	2,14	1,48
MLLT7	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 7	10,91	2,25	2,74
ATP1B1	ATPase, Na+/K+ transporting, beta 1 polypeptide	8,79	2,29	1,81
C21orf15	chromosome 21 open reading frame 15	10,66	2,33	1,09
TUBB	tubulin, beta	11,66	2,60	1,29
COL18A1	collagen, type XVIII, alpha 1	10,66	2,93	1,65
