LocusLink	Name
3764	Potassium inwardly-rectifying channel, subfamily J, member 8
3841	Karyopherin alpha 5 (importin alpha 6)
4008	LIM domain 7
4014	Loricrin
4036	Low density lipoprotein-related protein 2
4040	Low density lipoprotein receptor-related protein 6
4256	Matrix Gla protein
4312	Matrix metalloproteinase 1 (interstitial collagenase)
4314	Matrix metalloproteinase 3 (stromelysin 1, progelatinase)
4319	Matrix metalloproteinase 10 (stromelysin 2)
4337	Molybdenum cofactor synthesis 1
4617	Myogenic factor 5
4668	N-acetylgalactosaminidase, alpha-
4707	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 1, 7kDa
4750	NIMA (never in mitosis gene a)-related kinase 1
4916
4974	Oligodendrocyte myelin glycoprotein
5037	Prostatic binding protein
5066	Peptidylglycine alpha-amidating monooxygenase
5111	Proliferating cell nuclear antigen
5142	Phosphodiesterase 4B, cAMP-specific (phosphodiesterase E4 dunce homolog, Drosophila)
5144	Phosphodiesterase 4D, cAMP-specific (phosphodiesterase E3 dunce homolog, Drosophila)
5251	Phosphate regulating endopeptidase homolog, X-linked (hypophosphatemia, vitamin D resistant rickets)
5270	Serine (or cysteine) proteinase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 2
5290	Phosphoinositide-3-kinase, catalytic, alpha polypeptide
5475	Protein phosphatase, EF hand calcium-binding domain 1
5494	Protein phosphatase 1A (formerly 2C), magnesium-dependent, alpha isoform
5581	Protein kinase C, epsilon
5634	Phosphoribosyl pyrophosphate synthetase 2
5789	Protein tyrosine phosphatase, receptor type, D
5965	RecQ protein-like (DNA helicase Q1-like)
6336	Sodium channel, voltage-gated, type X, alpha
6357	Chemokine (C-C motif) ligand 13
6383	Syndecan 2 (heparan sulfate proteoglycan 1, cell surface-associated, fibroglycan)
6447	Secretory granule, neuroendocrine protein 1 (7B2 protein)
6558	Solute carrier family 12 (sodium/potassium/chloride transporters), member 2
6622	Synuclein, alpha (non A4 component of amyloid precursor)
6653
6809
6880	TAF9 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 32kDa
7046	Transforming growth factor, beta receptor I (activin A receptor type II-like kinase, 53kDa)
7247	Translin
7273
7378	Uridine phosphorylase 1
8490	Regulator of G-protein signalling 5
8496	PTPRF interacting protein, binding protein 1 (liprin beta 1)
8502	Plakophilin 4
8513	Lipase, gastric
8674	Vesicle-associated membrane protein 4
8732	RNA guanylyltransferase and 5-phosphatase
8776	Myotubularin related protein 1
9140	APG12 autophagy 12-like (S. cerevisiae)
9205	Zinc finger protein 237
9295	Splicing factor, arginine/serine-rich 11
9442	Cofactor required for Sp1 transcriptional activation, subunit 8, 34kDa
9770	Ras association (RalGDS/AF-6) domain family 2
9879	DEAD (Asp-Glu-Ala-Asp) box polypeptide 46
9922	IQ motif and Sec7 domain 1
9923	KIAA0478 gene product
10006	Abl-interactor 1
10099	Tetraspanin 3
10116	Fem-1 homolog b (C. elegans)
10190	Thioredoxin domain containing 9
10427	SEC24 related gene family, member B (S. cerevisiae)
10458	BAI1-associated protein 2
10477	Ubiquitin-conjugating enzyme E2E 3 (UBC4/5 homolog, yeast)
10542	Hepatitis B virus x interacting protein
10569	Step II splicing factor SLU7
10577	Niemann-Pick disease, type C2
10762	Nucleoporin 50kDa
10879
10935	Peroxiredoxin 3
10973
10983	Cyclin I
11082	Endothelial cell-specific molecule 1
11227	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 5 (GalNAc-T5)
11257	TP53 activated protein 1
11326	V-set and immunoglobulin domain containing 4
22824	Heat shock 70kDa protein 4-like
22887	Forkhead box J3
22996	Chromosome 1 open reading frame 34
23028	Amine oxidase (flavin containing) domain 2
23051	Zinc fingers and homeoboxes 3
23143	Leucine-rich repeats and calponin homology (CH) domain containing 1
23244	SCC-112 protein
23324	Mannosidase, alpha, class 2B, member 2
23511	Nucleoporin 188kDa
23607	CD2-associated protein
25801	Grancalcin, EF-hand calcium binding protein
25816	Tumor necrosis factor, alpha-induced protein 8
25911	Deleted in a mouse model of primary ciliary dyskinesia
26031	Oxysterol binding protein-like 3
26099	Putative MAPK activating protein PM20,PM21
27000	Zuotin related factor 1
27032	ATPase, Ca++ transporting, type 2C, member 1
27067	Staufen, RNA binding protein, homolog 2 (Drosophila)
27244	Sestrin 1
27303	RNA binding motif, single stranded interacting protein
29058	Chromosome 20 open reading frame 30
29880	Asparagine-linked glycosylation 5 homolog (yeast, dolichyl-phosphate beta-glucosyltransferase)
29896	Transformer-2 alpha
51015	Isochorismatase domain containing 1
51088	Kelch-like 5 (Drosophila)
51290	PTX1 protein
51360
51388	Comparative gene identification transcript 37
51397	COMM domain containing 10
51512	G-2 and S-phase expressed 1
51574	HDCMA18P protein
51715	RAB23, member RAS oncogene family
54407	Solute carrier family 38, member 2
54498	Spermine oxidase
54504	Carboxypeptidase, vitellogenic-like
54521	WD repeat domain 44
54532	Ubiquitin specific protease 53
54621
54899	PX domain containing serine/threonine kinase
54951	COMM domain containing 8
54974	Interphase cyctoplasmic foci protein 45
55013	Hypothetical protein FLJ20647
55350	Vanin 3
55358
55544	RNA-binding region (RNP1, RRM) containing 1
55656	Hypothetical protein FLJ20530
55707	Adaptin-ear-binding coat-associated protein 2
55754	Transmembrane protein 30A
55773	Hypothetical protein FLJ11046
55786	Zinc finger protein 415
55972	Mitochondrial carrier family protein
56548	Carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 7
56952	Phosphoribosyl transferase domain containing 1
56954	Nitrilase family, member 2
57448	Baculoviral IAP repeat-containing 6 (apollon)
57515	Tumor differentially expressed 2
64327	Chromosome 7 open reading frame 2
64841	Glucosamine-phosphate N-acetyltransferase 1
64968	Mitochondrial ribosomal protein S6
65977	Pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 3
79819	Hypothetical protein FLJ23129
79944	Chromosome 14 open reading frame 160
80059	Leucine rich repeat transmembrane neuronal 4
80772	Hypothetical protein MGC10334
81608	FIP1 like 1 (S. cerevisiae)
81627	Chromosome 1 open reading frame 25
81796	Solute carrier organic anion transporter family, member 5A1
83549	Uridine-cytidine kinase 1
83591	Hypothetical protein DKFZp564I0422
83656
83852	SET domain, bifurcated 2
84251	Hypothetical protein DKFZp761D221
84259	Hypothetical protein MGC2714
84308	Limitrin
84967	LSM10, U7 small nuclear RNA associated
90701	SEC11-like 3 (S. cerevisiae)
91431	Prematurely terminated mRNA decay factor-like
93323	Sarcoma antigen NY-SAR-48
93487	Chromosome 14 open reading frame 32
114908	Pro-oncosis receptor inducing membrane injury gene
115353	Hypothetical protein MGC8974
115701	Alpha-kinase 2
116983	Centaurin, beta 5
118932	Ankyrin repeat domain 22
140679	Solute carrier family 32 (GABA vesicular transporter), member 1
158787	RIB43A domain with coiled-coils 1
203523	Zinc finger protein 449
219402	Mitochondrial translational initiation factor 3
219770	Connexin40.1
221223	Hypothetical protein FLJ31547
253512	Solute carrier family 25, member 30
254531	PLSC domain containing protein
256471	Hypothetical protein MGC33302
285220	In multiple clusters
	A_23_P62309
	A_23_P109133
	A_23_P48320
	A_23_P23090
