Affymetrix ID	Fold Induction	Common name	Description
1387938_at	0.54	Baalc	brain and acute leukemia, cytoplasmic
1368163_at	0.541	Dpp4	dipeptidylpeptidase 4
1371266_at	0.541	Afm	unnamed protein product; R.norvegicus (Sprague Dawley) alpha albumin gene.
1377389_at	0.542		Transcribed sequences
1379272_at	0.542		Similar to Polyadenylate binding protein-interacting protein 1 (LOC365684), mRNA
1372484_at	0.543		Similar to Probable RNA-dependent helicase p68 (DEAD-box protein p68) (DEAD-box protein 5) (LOC287765), mRNA
1384026_at	0.543	LOC362219	UI-R-C2-mq-d-08-0-UI.s1 UI-R-C2 Rattus norvegicus cDNA clone UI-R-C2-mq-d-08-0-UI 3, mRNA sequence.
1386962_at	0.544	Plcb4	phospholipase C, beta 4
1387973_at	0.544	Cyp4f4	cytochrome P450 4F4
1370389_at	0.544	Gpm6b	glycoprotein m6b
1393420_at	0.545		UI-R-C0-ja-e-02-0-UI.s1 UI-R-C0 Rattus norvegicus cDNA clone UI-R-C0-ja-e-02-0-UI 3, mRNA sequence.
1372708_at	0.545		UI-R-CV2-cgs-d-12-0-UI.s1 UI-R-CV2 Rattus norvegicus cDNA clone UI-R-CV2-cgs-d-12-0-UI 3, mRNA sequence.
1396062_at	0.545		Transcribed sequences
1376749_at	0.546		Transcribed sequence with moderate similarity to protein pir:B35272 (H.sapiens) B35272 osteoinductive factor - human
1398460_at	0.546		Similar to KIAA1731 protein (LOC363018), mRNA
1384716_at	0.547	Syt1	synaptotagmin 1
1369666_at	0.547	Gpd2	glycerol-3-phosphate dehydrogenase 2
1380238_at	0.548		UI-R-BS1-ayn-h-01-0-UI.s1 UI-R-BS1 Rattus norvegicus cDNA clone UI-R-BS1-ayn-h-01-0-UI 3, mRNA sequence.
1377140_at	0.548		Similar to hypothetical protein (LOC307138), mRNA
1374918_at	0.549		Similar to splicing factor Prp8 (LOC287530), mRNA
1378463_at	0.55		Transcribed sequences
1381151_at	0.55		Transcribed sequences
1383263_at	0.55		DRABAH08 Rat DRG Library Rattus norvegicus cDNA clone DRABAH08 5, mRNA sequence.
1376709_at	0.55		Similar to RIKEN cDNA 4933419D20 (LOC295455), mRNA
1395747_at	0.551		Transcribed sequences
1387413_at	0.551	Ncf1	neutrophil cytosolic factor 1
1387423_at	0.552	Lhcgr	luteinizing hormone/choriogonadotropin receptor
1386881_at	0.553	Igfbp3	insulin-like growth factor binding protein 3
1381789_at	0.553		Similar to lysozyme homolog (LOC287751), mRNA
1391170_at	0.553		Similar to mKIAA1757 protein (LOC297514), mRNA
1380261_at	0.554		Transcribed sequences
1380648_at	0.554		Transcribed sequences
1390425_at	0.555		Transcribed sequences
1394596_at	0.555		Similar to Transmembrane 6 superfamily member 1 (LOC361600), mRNA
1391325_at	0.555		Transcribed sequences
1392293_at	0.557		Transcribed sequences
1377751_at	0.557		Transcribed sequences
1387656_at	0.557	Slc4a1	solute carrier family 4, member 1
1376785_at	0.557	Sycp3	synaptonemal complex protein 3
1396169_at	0.557		UI-R-C3-sw-h-11-0-UI.s1 UI-R-C3 Rattus norvegicus cDNA clone UI-R-C3-sw-h-11-0-UI 3, mRNA sequence.
1373540_at	0.558		Similar to heterogeneous nuclear ribonucleoprotein A2/B1 (LOC362361), mRNA
1382315_at	0.558		Transcribed sequences
1378400_at	0.558		Transcribed sequences
1375934_at	0.558		Similar to hypothetical protein FLJ23516; gene related to anergy in lymphocytes (LOC315911), mRNA
1388051_at	0.558	Slc26a3	solute carrier family 26, member 3
1382961_at	0.559		EST207980 Normalized rat spleen, Bento Soares Rattus sp. cDNA clone RSPBJ30 3 end, mRNA sequence.
1375995_at	0.559		Similar to KIAA0528 protein (LOC362461), mRNA
1377792_at	0.559		Transcribed sequences
1383160_at	0.559		Similar to cysteine and histidine-rich domain (CHORD)-containing, zinc-binding protein 1 (LOC315447), mRNA
1389337_at	0.559		Transcribed sequence with moderate similarity to protein pdb:1LBG (E. coli) B Chain B, Lactose Operon Repressor Bound To 21-Base Pair Symmetric Operator Dna, Alpha Carbons Only
1371832_at	0.56		Similar to senescence downregulated leo1-like (LOC300837), mRNA
1391812_at	0.561		Transcribed sequences
1370960_at	0.562	Igfbp5	insulin-like growth factor-binding protein 5
1376624_at	0.562		Transcribed sequences
1399135_at	0.563		Similar to RIKEN cDNA 2310042P20 (LOC300189), mRNA
1380301_at	0.563		UI-R-DM1-cke-i-12-0-UI.s1 UI-R-DM1 Rattus norvegicus cDNA clone UI-R-DM1-cke-i-12-0-UI 3, mRNA sequence.
1385248_a_at	0.563		Transcribed sequence with moderate similarity to protein pir:B35272 (H.sapiens) B35272 osteoinductive factor - human
1369222_at	0.564	Slack	potassium channel subunit (Slack)
1374105_at	0.565	Hig1	hypoxia induced gene 1
1377386_at	0.566		Transcribed sequences
1389223_at	0.566		Similar to hypothetical protein MGC47816 (LOC302036), mRNA
1395315_at	0.566		Transcribed sequences
1393371_at	0.567		Transcribed sequence with weak  similarity to protein pir:T14757 (H.sapiens) T14757 hypothetical protein DKFZp572C163.1 - human
1384203_at	0.568	Ppp1r1a	protein phosphatase 1, regulatory (inhibitor) subunit 1A
1369608_at	0.568	Fgf16	fibroblast growth factor 16
1393826_at	0.568		Similar to apolipoprotein F-like (LOC304603), mRNA
1386077_at	0.568		Similar to CMP-sialic acid transporter (LOC313139), mRNA
1384652_at	0.569		Similar to RIKEN cDNA 2600017A12 (LOC317612), mRNA
1370606_at	0.569	P2ry1	purinergic receptor P2Y, G-protein coupled 1
1383931_at	0.57		UI-R-A1-dv-e-04-0-UI.s1 UI-R-A1 Rattus norvegicus cDNA clone UI-R-A1-dv-e-04-0-UI 3 similar to gi|1479975|gb|L77886|HUMPTPC Human protein tyrosine phosphatase mRNA, complete cds, mRNA sequence.
1377773_at	0.571		Transcribed sequence with moderate similarity to protein pdb:1LBG (E. coli) B Chain B, Lactose Operon Repressor Bound To 21-Base Pair Symmetric Operator Dna, Alpha Carbons Only
1373699_at	0.571		Similar to RIKEN cDNA 1810059A23 (LOC363289), mRNA
1383688_at	0.572		Transcribed sequences
1391428_at	0.573		Transcribed sequences
1371142_at	0.573	Cyp2g1	cytochrome P450, subfamily 2G, polypeptide 1
1388746_at	0.573		Similar to Neuroserpin precursor (Protease inhibitor 12) (LOC290311), mRNA
1379781_at	0.573		Similar to BAF53a (LOC361925), mRNA
1385759_at	0.574	Serpinb10	serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 10
1397135_at	0.574		Transcribed sequences
1371999_at	0.574		Similar to dJ862K6.2.2 (splicing factor, arginine/serine-rich 6 (SRP55-2)(isoform 2)) (LOC362264), mRNA
1382773_at	0.574		EST232046 Normalized rat ovary, Bento Soares Rattus sp. cDNA clone ROVCS42 3 end, mRNA sequence.
1369739_at	0.575	Lepr	leptin receptor
1379715_at	0.575		Similar to CG9346-PA (LOC315903), mRNA
1398152_at	0.575		Transcribed sequences
1368133_at	0.575	Mpdz	multiple PDZ domain protein
1385697_at	0.575		UI-R-DO0-ciy-o-17-0-UI.s1 UI-R-DO0 Rattus norvegicus cDNA clone UI-R-DO0-ciy-o-17-0-UI 3, mRNA sequence.
1377245_a_at	0.576		Similar to KIAA1731 protein (LOC363018), mRNA
1388340_at	0.576	Ns5atp9	Ns5atp9 protein
1383847_at	0.576		UI-R-BT1-bnk-b-09-0-UI.s1 UI-R-BT1 Rattus norvegicus cDNA clone UI-R-BT1-bnk-b-09-0-UI 3, mRNA sequence.
1370741_at	0.576	Olr1696	olfactory receptor-like protein
1388177_at	0.577	Ddn	dendrin
1397367_at	0.577		Transcribed sequence with strong similarity to protein ref:NP_003803.1 (H.sapiens)  a disintegrin and metalloproteinase domain 23 preproprotein [Homo sapiens]
1395955_at	0.577		Similar to C1q and tumor necrosis factor related protein 4; complement-c1q tumor necrosis factor-related protein 4 (LOC311184), mRNA
1390686_at	0.578		Transcribed sequences
1383336_at	0.578		Similar to pinin; DNA segment, Chr 12, ERATO Doi 512, expressed (LOC368070), mRNA
1384907_at	0.578		Transcribed sequences
1374259_at	0.578		Transcribed sequences
1379197_at	0.579	Cacna1h	calcium channel, voltage-dependent, T type, alpha 1H subunit
1369306_at	0.579	Klrd1	killer cell lectin-like receptor, subfamily D, member 1
1398256_at	0.579	Il1b	interleukin 1 beta
1390472_at	0.581		Similar to 2210023K21Rik protein (LOC305237), mRNA
1389536_at	0.581		Transcribed sequences
1389359_at	0.581		Similar to SMC4 protein (LOC295107), mRNA
1384967_at	0.582		UI-R-CN1-cjh-n-24-0-UI.s1 UI-R-CN1 Rattus norvegicus cDNA clone UI-R-CN1-cjh-n-24-0-UI 3, mRNA sequence.
1379881_at	0.582	Abcg2	UI-R-DR0-cjc-i-20-0-UI.s1 UI-R-DR0 Rattus norvegicus cDNA clone UI-R-DR0-cjc-i-20-0-UI 3, mRNA sequence.
1378063_at	0.582		Transcribed sequences
1390301_at	0.582		Transcribed sequences
1369391_at	0.583	Grm8	metabotropic glutamate receptor 8
1374089_at	0.583		Transcribed sequences
1390450_a_at	0.583		Transcribed sequence with moderate similarity to protein pir:B35272 (H.sapiens) B35272 osteoinductive factor - human
1398145_at	0.585		UI-R-CA1-bjf-p-07-0-UI.s1 UI-R-CA1 Rattus norvegicus cDNA clone UI-R-CA1-bjf-p-07-0-UI 3, mRNA sequence.
1383969_at	0.586		Transcribed sequence with weak  similarity to protein sp:Q9Y473 (H.sapiens) Z175_HUMAN Zinc finger protein 175
1389039_at	0.586		Transcribed sequence with strong similarity to protein prf:2018199A (E. coli) 2018199A beta lactamase IRT-4 [Escherichia coli]
1368574_at	0.586	Adra1b	adrenergic receptor, alpha 1b
1382569_at	0.586		Similar to membrane receptor (5H375) (LOC315904), mRNA
1390430_at	0.586		EST448781 Rat Gene Index, normalized rat, Rattus norvegicus cDNA Rattus norvegicus cDNA clone RGIEM36 3 sequence, mRNA sequence.
1385528_at	0.587		Transcribed sequence with moderate similarity to protein sp:P46019 (H.sapiens) KPB2_HUMAN Phosphorylase B kinase alpha regulatory chain, liver isoform
1388661_at	0.59		Similar to hypothetical protein HSPC242 (LOC289745), mRNA
1383397_at	0.59		Similar to nicotinic acetylcholine receptor-associated 46K protein - mouse (LOC362161), mRNA
1390637_at	0.59		Transcribed sequences
1375433_at	0.59		Similar to dispatched B (LOC311324), mRNA
1383406_at	0.591		Transcribed sequences
1397808_at	0.591		Transcribed sequences
1368775_at	0.591	Giot1	gonadotropin inducible ovarian transcription factor 1
1396935_at	0.592		Transcribed sequences
1373661_a_at	0.592	Cxcr4	Chemokine receptor (LCR1)
1396144_at	0.592		Similar to misshapen/NIK-related kinase isoform 2; GCK family kinase MINK; serine/threonine protein kinase (LOC294917), mRNA
1371224_a_at	0.592	Drp2	dystrophin-related protein 2 A-form splice variant
1390682_at	0.592	Rnd2	rapostlin
1384473_at	0.593		Transcribed sequences
1387874_at	0.593	Dbp	D site albumin promoter binding protein
1393350_at	0.593		Transcribed sequences
1382415_at	0.593		LOC360807 (LOC360807), mRNA
1389653_at	0.593		Similar to protocadherin beta 9 (LOC307490), mRNA
1383609_at	0.594		Transcribed sequences
1375911_at	0.594	LOC362219	hypothetical protein LK44
1376661_at	0.594		Transcribed sequences
1394665_at	0.594		Similar to Ras-related protein Rab-33B (LOC365793), mRNA
1380437_at	0.594		Transcribed sequences
1383794_at	0.595		Similar to RIKEN cDNA A930038C07 (LOC312401), mRNA
1381251_at	0.595		Transcribed sequences
1392768_at	0.596		Similar to ASF1 anti-silencing function 1 homolog A (LOC294408), mRNA
1385909_at	0.596		Transcribed sequences
1397637_at	0.596	Ndufa5	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex  5
1395260_at	0.596		Transcribed sequences
1390864_at	0.597		Transcribed sequences
1390557_at	0.597		Transcribed sequences
1381508_at	0.597		Transcribed sequences
1382575_at	0.598		Transcribed sequences
1391154_at	0.598		Transcribed sequences
1391748_at	0.598		Similar to Myb protein P42POP (LOC365213), mRNA
1386200_at	0.599		EST189380 Normalized rat heart, Bento Soares Rattus sp. cDNA clone RHEAG50 3 end, mRNA sequence.
1394975_at	0.599		Similar to nuclear protein, NP220 (LOC312491), mRNA
1391511_at	0.599		UI-R-C0-hu-f-12-0-UI.s1 UI-R-C0 Rattus norvegicus cDNA clone UI-R-C0-hu-f-12-0-UI 3, mRNA sequence.
1379031_at	0.599		Transcribed sequences
1391232_at	0.599		Transcribed sequences
1379830_at	0.599		Transcribed sequences
1380232_at	0.6	LOC171057	dopamine responsive protein
1385337_at	0.6		Transcribed sequence
1396317_at	0.601		Similar to KIAA1254 protein (LOC363098), mRNA
1378690_at	0.601	Ly6b	Similar to Ly6-B antigen gene (LOC362935), mRNA
1375488_at	0.601		Transcribed sequences
1374364_at	0.602		Similar to DEAD-box protein abstrakt homolog (LOC314336), mRNA
1378428_at	0.602		Transcribed sequence with moderate similarity to protein pdb:1LBG (E. coli) B Chain B, Lactose Operon Repressor Bound To 21-Base Pair Symmetric Operator Dna, Alpha Carbons Only
1388451_at	0.603		Transcribed sequences
1385329_at	0.603		Similar to protein kinase NYD-SP15 (LOC361052), mRNA
1395066_at	0.603		UI-R-CA0-bkh-c-09-0-UI.s1 UI-R-CA0 Rattus norvegicus cDNA clone UI-R-CA0-bkh-c-09-0-UI 3, mRNA sequence.
1397534_at	0.604		Transcribed sequence with strong similarity to protein ref:NP_008954.1 (H.sapiens)  cAMP-regulated guanine nucleotide exchange factor II [Homo sapiens]
1393903_at	0.604		UI-R-BT1-ake-e-06-0-UI.s1 UI-R-BT1 Rattus norvegicus cDNA clone UI-R-BT1-ake-e-06-0-UI 3, mRNA sequence.
1384908_at	0.604		Similar to tau tubulin kinase 2; tau-tubulin kinase (LOC311349), mRNA
1374644_at	0.604		Hypothetical LOC306165 (LOC306165), mRNA
1389573_at	0.605		Similar to RIKEN cDNA 1810008K03 (LOC362196), mRNA
1381996_at	0.605	Gpm6b	glycoprotein m6b
1376601_at	0.605		Similar to semaphorin 6A1; semaphorin 6A-1 (LOC361324), mRNA
1377973_at	0.606		UI-R-CA1-bim-d-11-0-UI.s1 UI-R-CA1 Rattus norvegicus cDNA clone UI-R-CA1-bim-d-11-0-UI 3, mRNA sequence.
1382835_at	0.606		Transcribed sequence with weak  similarity to protein ref:NP_079268.1 (H.sapiens)  hypothetical protein FLJ12547 [Homo sapiens]
1379568_at	0.606		Transcribed sequences
1378197_at	0.608	KIFC2	KIFC2 protein
1391410_at	0.608		UI-R-DO1-cmk-o-14-0-UI.s1 UI-R-DO1 Rattus norvegicus cDNA clone UI-R-DO1-cmk-o-14-0-UI 3, mRNA sequence.
1377381_at	0.609		Transcribed sequence with weak  similarity to protein sp:P10161 (H.sapiens) PRPM_HUMAN Salivary proline-rich protein PO
1383895_at	0.61		Similar to dynein, cytoplasmic, light chain 2B; dynein, cytoplasmic, light polypeptide 2B (LOC361415), mRNA
1396389_at	0.611		UI-R-BO0-ahw-b-06-0-UI.s1 UI-R-BO0 Rattus norvegicus cDNA clone UI-R-BO0-ahw-b-06-0-UI 3, mRNA sequence.
