Unigene	Gene name	Description	Map	Avg tumor/avg mucosa
Hs.97805	BEAN	PREDICTED: brain expressed, associated with Nedd4 (BEAN), mRNA.	16	0.358551452
Hs.255973	CRI1	CREBBP/EP300 inhibitor 1 (CRI1), mRNA.	15q21.1-q21.2	0.369276219
Hs.28020	EPM2AIP1	EPM2A (laforin) interacting protein 1 (EPM2AIP1), mRNA.	3p22.1	0.377928949
Hs.477866	PLOD2	procollagen-lysine, 2-oxoglutarate 5-dioxygenase 2 (PLOD2), transcript variant 2, mRNA.	3q23-q24	0.390625
Hs.296323	SGK	serum/glucocorticoid regulated kinase (SGK), mRNA.	6q23	0.406008932
Hs.177446	CA5A	carbonic anhydrase VA, mitochondrial (CA5A), nuclear gene encoding mitochondrial protein, mRNA.	16q24.3	0.416319734
Hs.501023	MXI1	MAX interactor 1 (MXI1), transcript variant 1, mRNA.	10q24-q25	0.425531915
Hs.533878	C14orf114	chromosome 14 open reading frame 114 (C14orf114), mRNA.	14q24.1	0.429000429
Hs.446484	CSNK2A1	casein kinase 2, alpha 1 polypeptide (CSNK2A1), transcript variant 3, mRNA.	20p13	0.440917108
Hs.389649	DDX48	DEAD (Asp-Glu-Ala-Asp) box polypeptide 48 (DDX48), mRNA.	17q25.3	0.441501104
Hs.409558	IL17B	interleukin 17B (IL17B), mRNA.	5q32-34	0.471253534
Hs.181128	ELK1	ELK1, member of ETS oncogene family (ELK1), mRNA.	Xp11.2	0.48828125
Hs.75277	FLJ13910	hypothetical protein FLJ13910 (FLJ13910), mRNA.	2p11.2	0.489955904
Hs.161429	FLJ13273	hypothetical protein FLJ13273 (FLJ13273), mRNA.	4q24	0.494559842
Hs.444157	PPHLN1	Periphilin 1	12q12	0.531914894
Hs.13500		CDNA FLJ31593 fis, clone NT2RI2002481	1	1.587301587
Hs.356377	LOC149603	PREDICTED: hypothetical protein LOC149603 (LOC149603), mRNA.	1	1.602564103
Hs.234774	MLLT1	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 1 (MLLT1), mRNA.	19p13.3	1.610305958
Hs.356549	SNRPD3	small nuclear ribonucleoprotein D3 polypeptide 18kDa (SNRPD3), mRNA.	22q11.23	1.62601626
Hs.474949	RBX1	ring-box 1 (RBX1), mRNA.	22q13.2	1.633986928
Hs.160565	C15orf24	chromosome 15 open reading frame 24 (C15orf24), mRNA.	15q14	1.639344262
Hs.247186	FBS1	fibrosin 1 (FBS1), mRNA.	16p11.2	1.650165017
Hs.131433	ADAMTS13	a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 13 (ADAMTS13), transcript variant 3, mRNA.	9q34	1.655629139
Hs.520348	UBC	ubiquitin C (UBC), mRNA.	12q24.3	1.655629139
Hs.421202	ABCA2	ATP-binding cassette, sub-family A (ABC1), member 2 (ABCA2), transcript variant 2, mRNA.	9q34	1.675041876
	FLJ11710	Hypothetical protein FLJ11710		1.677852349
Hs.16165	EVER1	epidermodysplasia verruciformis 1 (EVER1), mRNA.	17q25.3	1.683501684
Hs.7036	NAGK	N-acetylglucosamine kinase (NAGK), mRNA.	2p13.3	1.683501684
Hs.512661	KIAA1160	KIAA1160 protein	3q21.3	1.683501684
Hs.161276	ZBTB5	zinc finger and BTB domain containing 5 (ZBTB5), mRNA.	9p13.2	1.689189189
Hs.154494	FLJ22555	hypothetical protein FLJ22555 (FLJ22555), mRNA.	2q33.1	1.694915254
Hs.280135	MGC4294	Hypothetical protein MGC4294	20q13.32	1.706484642
Hs.77897	SF3A3	splicing factor 3a, subunit 3, 60kDa (SF3A3), mRNA.	1p34.3	1.709401709
Hs.483924	MRPL22	mitochondrial ribosomal protein L22 (MRPL22), nuclear gene encoding mitochondrial protein, mRNA.	5q33.1-q33.3	1.724137931
Hs.427232	VKORC1L1	Vitamin K epoxide reductase complex, subunit 1-like 1	7q11.21	1.727115717
Hs.530539	NFRKB	nuclear factor related to kappaB binding protein (NFRKB), mRNA.	11q24-q25	1.727115717
Hs.552589	FOXD3	forkhead box D3 (FOXD3), mRNA.	1p32-p31	1.736111111
Hs.285363	LOC284352	PREDICTED: hypothetical protein LOC284352 (LOC284352), mRNA.	19	1.736111111
Hs.533479	LYPLA2	lysophospholipase II (LYPLA2), mRNA.	1p36.12-p35.1	1.736111111
Hs.7744	NDUFV1	NADH dehydrogenase (ubiquinone) flavoprotein 1, 51kDa (NDUFV1), mRNA.	11q13	1.736111111
Hs.435302	ZNF3	zinc finger protein 3 (A8-51) (ZNF3), mRNA.	7q22.1	1.736111111
Hs.461196	DDX19L	DEAD (Asp-Glu-Ala-As) box polypeptide 19-like (DDX19L), mRNA.	16q22.1	1.748251748
Hs.516450	FLJ20297	hypothetical protein FLJ20297 (FLJ20297), mRNA.	2q21.1	1.748251748
Hs.430075	COX7C	cytochrome c oxidase subunit VIIc (COX7C), nuclear gene encoding mitochondrial protein, mRNA.	5q14	1.751313485
Hs.280202	SBF1	SET binding factor 1 (SBF1), transcript variant 1, mRNA.	22q13.33	1.754385965
	COX6BP-3	Cytochrome c oxidase subunit VIb pseudogene-3		1.754385965
Hs.144980	SCAMP4	secretory carrier membrane protein 4 (SCAMP4), mRNA.	19p13.3	1.754385965
Hs.444472	SDHC	succinate dehydrogenase complex, subunit C, integral membrane protein, 15kDa (SDHC), nuclear gene encoding mitochondrial protein, mRNA.	1q21	1.757469244
Hs.282878	KLHL12	kelch-like 12 (Drosophila) (KLHL12), mRNA.	1q32.1	1.757469244
Hs.321391	MGC4549	hypothetical protein MGC4549 (MGC4549), mRNA.	19p13.2	1.757469244
Hs.202	BZRP	benzodiazapine receptor (peripheral) (BZRP), transcript variant PBR-S, mRNA.	22q13.31	1.76056338
Hs.520038	BAT8	HLA-B associated transcript 8 (BAT8), transcript variant NG36/G9a-SPI, mRNA.	6p21.31	1.76056338
Hs.129910	NAT6	N-acetyltransferase 6 (NAT6), mRNA.	3p21.3	1.76056338
Hs.530479	PMF1	polyamine-modulated factor 1 (PMF1), mRNA.	1q12	1.76366843
Hs.102336	ARHGAP8	Rho GTPase activating protein 8 (ARHGAP8), transcript variant 3, mRNA.	22q13.31	1.76366843
Hs.309583	SLC27A5	solute carrier family 27 (fatty acid transporter), member 5 (SLC27A5), mRNA.	19q13.43	1.766784452
Hs.166924	SEC13L1	SEC13-like 1 (S. cerevisiae) (SEC13L1), transcript variant 2, mRNA.	3p25-p24	1.776198934
Hs.148078	RBAF600	Retinoblastoma-associated factor 600	1p36.13	1.776198934
Hs.521087	SLC12A9	solute carrier family 12 (potassium/chloride transporters), member 9 (SLC12A9), mRNA.	7q22	1.779359431
Hs.78769	THOP1	thimet oligopeptidase 1 (THOP1), mRNA.	19q13.3	1.782531194
Hs.95196	MGC3162	hypothetical protein MGC3162 (MGC3162), mRNA.	12q24.33	1.785714286
Hs.529303	ARPC2	actin related protein 2/3 complex, subunit 2, 34kDa (ARPC2), transcript variant 2, mRNA.	2q36.1	1.785714286
Hs.144567	AGXT	Alanine-glyoxylate aminotransferase (oxalosis I; hyperoxaluria I; glycolicaciduria; serine-pyruvate aminotransferase)	2q36-q37	1.788908766
Hs.497369	NAV1	Neuron navigator 1	1	1.788908766
Hs.303197	BCL7C	B-cell CLL/lymphoma 7C (BCL7C), mRNA.	16p11	1.788908766
Hs.524741	ARPC3	actin related protein 2/3 complex, subunit 3, 21kDa (ARPC3), mRNA.	12q24.11	1.788908766
Hs.516253	FLJ25084	hypothetical protein FLJ25084 (FLJ25084), mRNA.	2p13.3	1.788908766
Hs.4742	GPAA1	GPAA1P anchor attachment protein 1 homolog (yeast) (GPAA1), mRNA.	8q24.3	1.792114695
Hs.345694	KCMF1	potassium channel modulatory factor 1 (KCMF1), mRNA.	2p11.2	1.792114695
Hs.444082	EZH2	enhancer of zeste homolog 2 (Drosophila) (EZH2), transcript variant 2, mRNA.	7q35-q36	1.792114695
Hs.474441	TPST2	tyrosylprotein sulfotransferase 2 (TPST2), transcript variant 2, mRNA.	22q12.1	1.805054152
Hs.9857	DCXR	dicarbonyl/L-xylulose reductase (DCXR), mRNA.	17q25.3	1.805054152
Hs.523877	SKD3	suppressor of potassium transport defect 3 (SKD3), mRNA.	11q13.4	1.808318264
Hs.101742	RPUSD1	RNA pseudouridylate synthase domain containing 1 (RPUSD1), mRNA.	16p13.3	1.814882033
Hs.203910	SGTA	small glutamine-rich tetratricopeptide repeat (TPR)-containing, alpha (SGTA), mRNA.	19p13	1.814882033
Hs.529488	SLC6A6	solute carrier family 6 (neurotransmitter transporter, taurine), member 6 (SLC6A6), mRNA.	3p25-p24	1.814882033
Hs.513832	AFG3L1	AFG3 ATPase family gene 3-like 1 (yeast)	16q24.3	1.818181818
Hs.348365	COPl	CARD only protein (COPl), mRNA.	11q22	1.818181818
Hs.512629	EIF4B	eukaryotic translation initiation factor 4B (EIF4B), mRNA.	12q13.13	1.818181818
Hs.145156	CAMKV	CaM kinase-like vesicle-associated (CAMKV), mRNA.	3p21.31	1.818181818
Hs.134623	RNF7	ring finger protein 7 (RNF7), transcript variant 3, mRNA.	3q22-q24	1.821493625
Hs.528655	FLJ20209	Hypothetical protein FLJ20209	3p21.31	1.821493625
Hs.376933	GUK1	guanylate kinase 1 (GUK1), mRNA.	1q32-q41	1.828153565
Hs.465985	ASNA1	arsA arsenite transporter, ATP-binding, homolog 1 (bacterial) (ASNA1), mRNA.	19q13.3	1.831501832
Hs.369125	PSMD14	proteasome (prosome, macropain) 26S subunit, non-ATPase, 14 (PSMD14), mRNA.	2q24.2	1.831501832
Hs.105956	A4GALT	alpha 1,4-galactosyltransferase (A4GALT), mRNA.	22q11.2-q13.2	1.831501832
Hs.30819	C2orf29	chromosome 2 open reading frame 29 (C2orf29), mRNA.	2q11.2	1.834862385
Hs.408257	NDUFS6	NADH dehydrogenase (ubiquinone) Fe-S protein 6, 13kDa (NADH-coenzyme Q reductase) (NDUFS6), mRNA.	5p15.33	1.838235294
Hs.236828	WRNIP1	Werner helicase interacting protein 1	6p25.2	1.838235294
Hs.2853	PCBP1	poly(rC) binding protein 1 (PCBP1), mRNA.	2p13-p12	1.838235294
Hs.485616	DST	Dystonin	6p12-p11	1.838235294
Hs.497492	MDM4	Mdm4, transformed 3T3 cell double minute 4, p53 binding protein (mouse) (MDM4), mRNA.	1q32	1.841620626
Hs.170819	STK29	BR serine/threonine kinase 2	11p15.5	1.84501845
Hs.515524	NUCB1	Nucleobindin 1	19q13.2-q13.4	1.84501845
Hs.3745	MFGE8	milk fat globule-EGF factor 8 protein (MFGE8), mRNA.	15q25	1.848428835
Hs.353214	ICAM3	intercellular adhesion molecule 3 (ICAM3), mRNA.	19p13.3-p13.2	1.848428835
Hs.517582	MCM5	MCM5 minichromosome maintenance deficient 5, cell division cycle 46 (S. cerevisiae)	22q13.1	1.848428835
Hs.433512	ACTR3	ARP3 actin-related protein 3 homolog (yeast) (ACTR3), mRNA.	2q14.1	1.851851852
Hs.410596	HAN11	WD-repeat protein (HAN11), transcript variant 1, mRNA.	17q23.3	1.851851852
Hs.284153	FANCA	Fanconi anemia, complementation group A (FANCA), mRNA.	16q24.3	1.851851852
Hs.445570	CD63	CD63 antigen (melanoma 1 antigen) (CD63), mRNA.	12q12-q13	1.85528757
Hs.531926	MGC45491	Hypothetical protein MGC45491	6p21.1	1.85528757
Hs.213541		Similar to microtubule-associated proteins 1A/1B light chain 3	12q21.1	1.858736059
Hs.516808	PDE6D	phosphodiesterase 6D, cGMP-specific, rod, delta (PDE6D), mRNA.	2q35-q36	1.858736059
Hs.460208	EEIG1	early estrogen-induced gene 1 protein (EEIG1), mRNA.	9	1.858736059
Hs.183232	RPP21	ribonuclease P 21kDa subunit (RPP21), mRNA.	6p21.33	1.865671642
Hs.518773	UBE2D3	ubiquitin-conjugating enzyme E2D 3 (UBC4/5 homolog, yeast) (UBE2D3), transcript variant 7, mRNA.	4q24	1.865671642
Hs.477498	SELB	elongation factor for selenoprotein translation (SELB), mRNA.	3q21.3	1.865671642
Hs.12865	NSFL1C	NSFL1 (p97) cofactor (p47)	20p13	1.869158879
Hs.43812	STX10	syntaxin 10 (STX10), mRNA.	19p13.13	1.872659176
Hs.517864	TEX264	testis expressed sequence 264 (TEX264), mRNA.	3p21.31	1.872659176
Hs.513803	CYBA	cytochrome b-245, alpha polypeptide (CYBA), mRNA.	16q24	1.872659176
Hs.83347	AAMP	angio-associated, migratory cell protein (AAMP), mRNA.	2q35	1.876172608
Hs.444612	SLC2A9	solute carrier family 2 (facilitated glucose transporter), member 9 (SLC2A9), transcript variant 1, mRNA.	4p16-p15.3	1.876172608
Hs.133122	ZDHHC12	zinc finger, DHHC domain containing 12 (ZDHHC12), mRNA.	9q34.11	1.876172608
Hs.73986	CLK2	CDC-like kinase 2 (CLK2), transcript variant 2, mRNA.	1q21	1.876172608
Hs.550502	LIAS	lipoic acid synthetase (LIAS), nuclear gene encoding mitochondrial protein, transcript variant 1, mRNA.	4p14	1.876172608
	MDS026	Uncharacterized hematopoietic stem/progenitor cells protein MDS026		1.876172608
Hs.269099	FUBP1	far upstream element (FUSE) binding protein 1 (FUBP1), mRNA.	1p31.1	1.879699248
Hs.124490	ACIN1	apoptotic chromatin condensation inducer 1 (ACIN1), mRNA.	14q11.2	1.879699248
Hs.467696	HPCAL1	hippocalcin-like 1 (HPCAL1), transcript variant 1, mRNA.	2p25.1	1.883239171
Hs.310637	NY-SAR-41	Sarcoma antigen NY-SAR-41	1p22.1	1.883239171
Hs.26593	HDAC10	histone deacetylase 10 (HDAC10), mRNA.	22q13.31	1.883239171
Mm.276702	Grb7	Growth factor receptor bound protein 7	11	1.886792453
Hs.2316	SOX9	SRY (sex determining region Y)-box 9 (campomelic dysplasia, autosomal sex-reversal) (SOX9), mRNA.	17q24.3-q25.1	1.890359168
Hs.491896	APOC4	apolipoprotein C-IV (APOC4), mRNA.	19q13.2	1.890359168
Hs.3109	ARHGAP4	Rho GTPase activating protein 4 (ARHGAP4), mRNA.	Xq28	1.890359168
Hs.97616	SH3GL1	SH3-domain GRB2-like 1 (SH3GL1), mRNA.	19p13.3	1.893939394
Hs.476706	MRPL37	mitochondrial ribosomal protein L37 (MRPL37), nuclear gene encoding mitochondrial protein, mRNA.	1p32.1	1.893939394
Hs.148988	KIAA1688	KIAA1688 protein	8q24.3	1.893939394
Hs.530823	COPS7A	COP9 constitutive photomorphogenic homolog subunit 7A (Arabidopsis) (COPS7A), mRNA.	12p13.31	1.901140684
Hs.406461	ALG1	asparagine-linked glycosylation 1 homolog (yeast, beta-1,4-mannosyltransferase) (ALG1), mRNA.	16p13.3	1.901140684
Hs.497788	EPRS	glutamyl-prolyl-tRNA synthetase (EPRS), mRNA.	1q41-q42	1.901140684
Hs.369759	TRPM2	Transient receptor potential cation channel, subfamily M, member 2	21q22.3	1.901140684
Hs.459857	CARHSP1	calcium regulated heat stable protein 1, 24kDa (CARHSP1), mRNA.	16p13.2	1.904761905
Hs.528007	U2AF2	U2 (RNU2) small nuclear RNA auxiliary factor 2 (U2AF2), transcript variant 1, mRNA.	19q13.42	1.904761905
Hs.227729	FKBP2	FK506 binding protein 2, 13kDa (FKBP2), transcript variant 2, mRNA.	11q13.1-q13.3	1.904761905
Hs.289052	BCL2L12	BCL2-like 12 (proline rich) (BCL2L12), transcript variant 2, mRNA.	19q13.3	1.904761905
Hs.435761	PIAS3	protein inhibitor of activated STAT, 3 (PIAS3), mRNA.	1q21	1.904761905
Hs.91142	KHSRP	KH-type splicing regulatory protein (FUSE binding protein 2) (KHSRP), mRNA.	19p13.3	1.904761905
Hs.461787	SCIRP10	SCIRP10-related protein (SCIRP10), mRNA.	1q32.3	1.908396947
Hs.335084	FPGS	folylpolyglutamate synthase (FPGS), mRNA.	9cen-q34	1.908396947
Hs.534928		Hypothetical gene supported by AL049275	17q12	1.912045889
Hs.459596	MPG	N-methylpurine-DNA glycosylase (MPG), mRNA.	16p13.3	1.915708812
Hs.469798	TSC22D4	TSC22 domain family 4 (TSC22D4), mRNA.	7p21-p15	1.915708812
Hs.476018	CTNNB1	catenin (cadherin-associated protein), beta 1, 88kDa (CTNNB1), mRNA.	3p21	1.919385797
		Randomized negative control		1.919385797
Hs.517065	RIMS4	regulating synaptic membrane exocytosis 4 (RIMS4), mRNA.	20q13.12	1.919385797
	PPP4R2	Protein phosphatase 4 regulatory subunit 2		1.923076923
Hs.520146	POLR1C	polymerase (RNA) I polypeptide C, 30kDa (POLR1C), transcript variant 2, mRNA.	6p21.1	1.926782274
Hs.455109	B4GALT7	xylosylprotein beta 1,4-galactosyltransferase, polypeptide 7 (galactosyltransferase I) (B4GALT7), mRNA.	5q35.2-q35.3	1.926782274
Hs.502773	MTCBP-1	membrane-type 1 matrix metalloproteinase cytoplasmic tail binding protein-1 (MTCBP-1), mRNA.	2p25.2	1.926782274
Hs.390395	FLJ14007	hypothetical protein FLJ14007 (FLJ14007), mRNA.	8q21.13	1.930501931
Hs.349283	CBX5	chromobox homolog 5 (HP1 alpha homolog, Drosophila) (CBX5), mRNA.	12q13.13	1.930501931
Hs.365116	U2AF1	U2(RNU2) small nuclear RNA auxiliary factor 1 (U2AF1), mRNA.	21q22.3	1.930501931
Hs.370689	UPF2	UPF2 regulator of nonsense transcripts homolog (yeast) (UPF2), transcript variant 2, mRNA.	10p14-p13	1.930501931
Hs.42853	CREBL1	CAMP responsive element binding protein-like 1	6p21.3	1.934235977
Hs.406277	SF3A1	splicing factor 3a, subunit 1, 120kDa (SF3A1), transcript variant 1, mRNA.	22q12.2	1.934235977
Hs.31334	C20orf14	chromosome 20 open reading frame 14 (C20orf14), mRNA.	20q13.33	1.934235977
Hs.271614	C14orf122	chromosome 14 open reading frame 122 (C14orf122), mRNA.	14q11.2	1.937984496
Hs.370854	TSC1	tuberous sclerosis 1 (TSC1), transcript variant 1, mRNA.	9q34	1.941747573
Hs.502814	LRP16	LRP16 protein (LRP16), mRNA.	11q11	1.941747573
Hs.413513	IKBKB	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase beta (IKBKB), mRNA.	8p11.2	1.945525292
Hs.84136	PITX1	paired-like homeodomain transcription factor 1 (PITX1), mRNA.	5q31	1.945525292
Hs.335057	38962	septin 2 (SEPT2), transcript variant 4, mRNA.	2q37	1.945525292
Hs.418175	VPS28	vacuolar protein sorting 28 (yeast) (VPS28), transcript variant 1, mRNA.	8q24.3	1.945525292
Hs.515164	GADD45GIP1	growth arrest and DNA-damage-inducible, gamma interacting protein 1 (GADD45GIP1), mRNA.	19p13.13	1.949317739
Hs.140309	SAMD1	sterile alpha motif domain containing 1 (SAMD1), mRNA.	19p13.12	1.949317739
Hs.544577	GAPD	glyceraldehyde-3-phosphate dehydrogenase (GAPD), mRNA.	12p13	1.949317739
Hs.6396	JTB	jumping translocation breakpoint (JTB), mRNA.	1q21	1.949317739
Hs.345588	MGC45871	Hypothetical protein MGC45871	17p13	1.953125
Hs.368971	NCOA6	nuclear receptor coactivator 6 (NCOA6), mRNA.	20q11	1.953125
Hs.254642	FLJ11506	hypothetical protein FLJ11506 (FLJ11506), mRNA.	15q22.33-q23	1.953125
Hs.98255	ROR2	receptor tyrosine kinase-like orphan receptor 2 (ROR2), mRNA.	9q22	1.953125
Hs.434132	LOC197350	PREDICTED: hypothetical protein LOC197350 (LOC197350), mRNA.	16	1.956947162
Hs.299055	GDI2	GDP dissociation inhibitor 2 (GDI2), mRNA.	10p15	1.956947162
Hs.406861	HSD17B4	hydroxysteroid (17-beta) dehydrogenase 4 (HSD17B4), mRNA.	5q21	1.956947162
Hs.213470	PSMB7	proteasome (prosome, macropain) subunit, beta type, 7 (PSMB7), mRNA.	9q34.11-q34.12	1.960784314
Hs.279529	PX19	px19-like protein (PX19), mRNA.	5q35.3	1.960784314
Hs.522840	GTPBP6	GTP binding protein 6 (putative) (GTPBP6), mRNA.	Yp11.32	1.960784314
Hs.89497	LMNB1	lamin B1 (LMNB1), mRNA.	5q23.3-q31.1	1.960784314
Hs.518244	RPN1	ribophorin I (RPN1), mRNA.	3q21.3	1.960784314
Hs.292026	EIF4E2	eukaryotic translation initiation factor 4E member 2 (EIF4E2), mRNA.	2q37.1	1.964636542
Hs.524121	ROBO4	roundabout homolog 4, magic roundabout (Drosophila) (ROBO4), mRNA.	11q24.2	1.964636542
Hs.505059	PSMD4	proteasome (prosome, macropain) 26S subunit, non-ATPase, 4 (PSMD4), transcript variant 1, mRNA.	1q21.2	1.964636542
Hs.99724	ZNF287	zinc finger protein 287 (ZNF287), mRNA.	17p11.2	1.968503937
Hs.47062	POLR2I	polymerase (RNA) II (DNA directed) polypeptide I, 14.5kDa (POLR2I), mRNA.	19q12	1.972386588
Hs.508765	TMED7	transmembrane emp24 protein transport domain containing 7 (TMED7), mRNA.	5q22.3	1.972386588
Hs.159448	SURF2	surfeit 2 (SURF2), mRNA.	9q34.2	1.972386588
		Homo sapiens, clone IMAGE:4563468, mRNA, partial cds		1.972386588
Hs.39911	KIAA1443	Protein phosphatase 1, regulatory (inhibitor) subunit 3E	14q11.2	1.976284585
Hs.155742	GRHPR	glyoxylate reductase/hydroxypyruvate reductase (GRHPR), mRNA.	9q12	1.98019802
Hs.135763	STIM2	stromal interaction molecule 2 (STIM2), mRNA.	4p15.2	1.98019802
Hs.369479		CDNA: FLJ21221 fis, clone COL00570	6	1.98019802
		Homo sapiens cDNA FLJ32454 fis, clone SKNMC1000007		1.98019802
Hs.512765	AXIN1	axin 1 (AXIN1), transcript variant 2, mRNA.	16p13.3	1.98019802
Hs.78466	PSMD8	proteasome (prosome, macropain) 26S subunit, non-ATPase, 8 (PSMD8), mRNA.	19q13.2	1.984126984
Hs.530727	CUGBP1	CUG triplet repeat, RNA binding protein 1 (CUGBP1), transcript variant 1, mRNA.	11p11	1.984126984
Hs.435771	API5	apoptosis inhibitor 5 (API5), mRNA.	11p12-q12	1.984126984
Hs.454534	USF2	upstream transcription factor 2, c-fos interacting (USF2), transcript variant 2, mRNA.	19q13	1.984126984
Hs.284491	PDXK	pyridoxal (pyridoxine, vitamin B6) kinase (PDXK), mRNA.	21q22.3	1.984126984
Hs.458747	ANP32A	acidic (leucine-rich) nuclear phosphoprotein 32 family, member A (ANP32A), mRNA.	15q22.3-q23	1.988071571
Hs.516111	DCTN1	dynactin 1 (p150, glued homolog, Drosophila) (DCTN1), transcript variant 2, mRNA.	2p13	1.988071571
Hs.520794	YKT6	SNARE protein Ykt6 (YKT6), mRNA.	7p15.1	1.988071571
Hs.307913	STX16	syntaxin 16 (STX16), transcript variant 3, mRNA.	20q13.32	1.992031873
Hs.262960	TRPC4	transient receptor potential cation channel, subfamily C, member 4 (TRPC4), mRNA.	13q13.1-q13.2	1.992031873
Hs.546407	TIP120A	TBP-interacting protein (TIP120A), mRNA.	12q14	1.996007984
Hs.544577	GAPD	glyceraldehyde-3-phosphate dehydrogenase (GAPD), mRNA.	12p13	1.996007984
Hs.483771	SPINK5L3	PREDICTED: serine PI Kazal type 5-like 3 (SPINK5L3), mRNA.	5	1.996007984
Hs.530314	SSNA1	Sjogrens syndrome nuclear autoantigen 1 (SSNA1), mRNA.	9q34.3	1.996007984
Hs.461187	EXOSC6	Exosome component 6	16q22.1	2
Hs.460459	KIAA0556	KIAA0556 protein	16p12.1-p11.2	2
Hs.422990	PSMB5	proteasome (prosome, macropain) subunit, beta type, 5 (PSMB5), mRNA.	14q11.2	2.004008016
Hs.355899	TNFRSF12A	tumor necrosis factor receptor superfamily, member 12A (TNFRSF12A), mRNA.	16p13.3	2.004008016
Hs.551505	JAK1	Janus kinase 1 (a protein tyrosine kinase) (JAK1), mRNA.	1p32.3-p31.3	2.004008016
Hs.467273	CACNG8	calcium channel, voltage-dependent, gamma subunit 8 (CACNG8), mRNA.	19q13.4	2.004008016
Hs.354056	POR	P450 (cytochrome) oxidoreductase (POR), mRNA.	7q11.2	2.008032129
Hs.473937	NDUFV3	NADH dehydrogenase (ubiquinone) flavoprotein 3, 10kDa (NDUFV3), nuclear gene encoding mitochondrial protein, transcript variant 2, mRNA.	21q22.3	2.008032129
Hs.515259	SSBP4	single stranded DNA binding protein 4 (SSBP4), transcript variant 1, mRNA.	19p13.1	2.008032129
Hs.516159		Hypothetical LOC388969	2p11.2	2.008032129
Hs.35052	TEGT	testis enhanced gene transcript (BAX inhibitor 1) (TEGT), mRNA.	12q12-q13	2.012072435
Hs.135805	ZZANK1	zinc finger, ZZ type with ankyrin repeat domain 1 (ZZANK1), mRNA.	1p36.33	2.012072435
Hs.506720	SLC41A3	solute carrier family 41, member 3 (SLC41A3), transcript variant 2, mRNA.	3q21.2	2.012072435
Hs.436385	SLC22A2	solute carrier family 22 (organic cation transporter), member 2 (SLC22A2), transcript variant 1, mRNA.	6q26	2.012072435
Hs.369624	SFRS9	splicing factor, arginine/serine-rich 9 (SFRS9), mRNA.	12q24.31	2.012072435
Hs.65758	ITPR3	inositol 1,4,5-triphosphate receptor, type 3 (ITPR3), mRNA.	6p21	2.012072435
Hs.83636	ADRBK1	adrenergic, beta, receptor kinase 1 (ADRBK1), mRNA.	11q13	2.012072435
Hs.388297	FLJ32440	hypothetical protein FLJ32440 (FLJ32440), mRNA.	8q24.13	2.012072435
