HGNC ID	Name	Fold change MK/EB	Ensembl ID
THBS1	Thrombospondin 1 precursor. [Source:SWISSPROT;Acc:P07996]	26.79131394	ENSG00000137801
NEK6	Serine/threonine-protein kinase Nek6 (EC 2.7.1.37) (NimA-related protein kinase 6) (Protein kinase SID6-1512). [Source:SWISSPROT;Acc:Q9HC98]	26.43581902	ENSG00000119408
ASB7	Ankyrin repeat and SOCS box containing protein 7 (ASB-7). [Source:SWISSPROT;Acc:Q9H672]	25.328796	ENSG00000183475
CD9	CD9 antigen (P24) (Leukocyte antigen MIC3) (Motility-related protein) (MRP-1). [Source:SWISSPROT;Acc:P21926]	23.95092214	ENSG00000010278
ANGP1	Angiopoietin-1 precursor (ANG-1)	23.6657986	ENSG00000154188
GP1BA	Platelet glycoprotein Ib alpha chain precursor (Glycoprotein Ibalpha) (GP-Ib alpha) (GPIbA) (GPIb-alpha) (CD42B-alpha) (CD42B) [Contains: Glycocalicin]. [Source:SWISSPROT;Acc:P07359]	23.08356136	ENSG00000185245
CLU	Clusterin precursor (Complement-associated protein SP-40,40) (Complement cytolysis inhibitor) (CLI) (NA1/NA2) (Apolipoprotein J) (Apo-J) (TRPM-2). [Source:SWISSPROT;Acc:P10909]	21.90924518	ENSG00000120885
ZYX	Zyxin (Zyxin 2). [Source:SWISSPROT;Acc:Q15942]	21.11461378	ENSG00000159840
TPM2	Tropomyosin beta chain (Tropomyosin 2) (Beta-tropomyosin).	20.03137897	ENSG00000198467
TMEM40	TMEM 40	19.7695798	ENSG00000088726
LST1	Leukocyte specific transcript 1 protein (B144 protein). [Source:SWISSPROT;Acc:O00453]	19.69397614	ENSG00000206325
PLSCR3	Phospholipid scramblase 3 (PL scramblase 3) (Ca(2+)-dependent phospholipid scramblase 3). [Source:SWISSPROT;Acc:Q9NRY6]	19.5499101	ENSG00000187838
DKK1	Dickkopf related protein-1 precursor (Dkk-1) (Dickkopf-1) (hDkk-1) (SK). [Source:SWISSPROT;Acc:O94907]	19.31665089	ENSG00000107984
TSPAN15	Tetraspan NET-7. [Source:SWISSPROT;Acc:O95858]	18.97744285	ENSG00000099282
FYB	FYN-binding protein (FYN-T-binding protein) (FYB-120/130) (p120/p130) (SLP-76 associated phosphoprotein) (SLAP-130). [Source:SWISSPROT;Acc:O15117]	18.28199171	ENSG00000082074
SEPT5	Septin 5 (Peanut-like protein 1) (Cell division control related protein 1) (CDCREL-1). [Source:SWISSPROT;Acc:Q99719]	18.26213297	ENSG00000184702
PTP4A1	protein tyrosine phosphatase type IVA, member 3 isoform 2; potentially prenylated protein tyrosine phosphatase. [Source:RefSeq;Acc:NM_007079]	18.18373968	ENSG00000112245
FBXL11	F-box/LRR-repeat protein 11 (F-box and leucine-rich repeat protein 11) (F-box protein FBL7) (F-box protein Lilina). [Source:SWISSPROT;Acc:Q9Y2K7]	18.13945714	ENSG00000173120
SERPINE2	Glia derived nexin precursor (GDN) (Protease nexin I) (PN-1) (Protease inhibitor 7). [Source:SWISSPROT;Acc:P07093]	17.39120844	ENSG00000135919
MEF2C	Myocyte-specific enhancer factor 2C. [Source:SWISSPROT;Acc:Q06413]	17.0600057	ENSG00000081189
SPA17	Sperm surface protein Sp17 (Sperm autoantigenic protein 17) (Sperm protein 17) (Sp17-1)	16.90528743	ENSG00000064199
MEIS1	Homeobox protein Meis1. [Source:Uniprot/SWISSPROT;Acc:O00470]	15.99022142	ENSG00000143995
FCER1G	High affinity immunoglobulin epsilon receptor gamma-subunit precursor (FcERI) (IgE Fc receptor gamma-subunit) (Fc-epsilon RI-gamma). [Source:SWISSPROT;Acc:P30273]	15.95156547	ENSG00000158869
RAB32	Ras-related protein Rab-32. [Source:SWISSPROT;Acc:Q13637]	15.5351047	ENSG00000118508
GPX7	Glutathione peroxidase 7 precursor (EC 1.11.1.9) (CL683). [Source:Uniprot/SWISSPROT;Acc:Q96SL4]	15.35461509	ENSG00000116157
ALDH1A1	Aldehyde dehydrogenase 1A1 (EC 1.2.1.3) (Aldehyde dehydrogenase, cytosolic) (ALDH class 1) (ALHDII) (ALDH-E1). [Source:SWISSPROT;Acc:P00352]	15.24446346	ENSG00000165092
UBE1L	Ubiquitin-activating enzyme E1 homolog (D8). [Source:SWISSPROT;Acc:P41226]	15.19007086	ENSG00000182179
GJA4	Gap junction alpha-4 protein (Connexin 37) (Cx37). [Source:SWISSPROT;Acc:P35212]	15.09876866	ENSG00000187513
GNG11	Guanine nucleotide-binding protein G(I)/G(S)/G(O) gamma-11 subunit. [Source:SWISSPROT;Acc:P50152]	14.78060458	ENSG00000127920
TGFB1I1	androgen receptor coactivator ARA55; Hic-5. [Source:RefSeq;Acc:NM_015927]	14.36508762	ENSG00000140682
ACTN1	Alpha-actinin 1 (Alpha-actinin cytoskeletal isoform) (Non-muscle alpha-actinin 1) (F-actin cross linking protein). [Source:SWISSPROT;Acc:P12814]	14.28641992	ENSG00000072110
DAB2	Disabled homolog 2 (Differentially expressed protein 2) (DOC-2)	14.07888799	ENSG00000153071
STX11	Syntaxin 11. [Source:SWISSPROT;Acc:O75558]	14.03300991	ENSG00000135604
GSN	Gelsolin precursor, plasma (Actin-depolymerizing factor) (ADF) (Brevin) (AGEL). [Source:SWISSPROT;Acc:P06396]	13.88464541	ENSG00000148180
PRTFDC1	phosphoribosyl transferase domain containing 1; HHGP protein. [Source:RefSeq;Acc:NM_020200]	13.84666719	ENSG00000099256
VWF	Von Willebrand factor precursor (vWF) [Contains: Von Willebrand antigen II]. [Source:SWISSPROT;Acc:P04275]	13.4649534	ENSG00000110799
PLXDC2	plexin domain containing 2 precursor; tumor endothelial marker 7-related; 1200007L24Rik. [Source:RefSeq;Acc:NM_032812]	13.14883925	ENSG00000120594
LTBP1	Latent transforming growth factor beta-binding protein, isoform 1S precursor (LTBP-1) (Transforming growth factor beta-1-binding protein 1) (TGF-beta1-BP-1).	13.11957268	ENSG00000049323
LAT2	WBSCR5 protein isoform 1; HSPC046 protein; Williams-Beuren syndrome chromosome region 15; linker for activation of B cells; non-T cell activation linker. [Source:RefSeq;Acc:NM_014146]	13.08362907	ENSG00000086730
SLC2A9	Solute carrier family 2, facilitated glucose transporter, member 9 (Glucose transporter type 9). [Source:SWISSPROT;Acc:Q9NRM0]	12.70847213	ENSG00000109667
CD84	CD84 antigen (leukocyte antigen); leukocyte antigen CD84. [Source:RefSeq;Acc:NM_003874]	12.28332942	ENSG00000066294
TPM4	Tropomyosin alpha 4 chain (Tropomyosin 4) (TM30p1). [Source:SWISSPROT;Acc:P07226]	12.06301003	ENSG00000167460
SLA	SRC-like-adapter (Src-like-adapter protein 1) (hSLAP). [Source:SWISSPROT;Acc:Q13239]	11.64425735	ENSG00000155926
AP1M1	Adaptor-related protein complex 1, mu 1 subunit (Mu-adaptin 1) (Adaptor protein complex AP-1 mu-1 subunit) (Golgi adaptor HA1/AP1 adaptin mu-1 subunit) (Clathrin assembly protein assembly protein complex 1 medium chain 1) (Clathrin coat assembly protein AP47) (Clathrin coat associated protein AP47) (AP-mu chain family member mu1A). [Source:SWISSPROT;Acc:Q9BXS5]	11.25388146	ENSG00000072958
CAMK1	Calcium/calmodulin-dependent protein kinase type I (EC 2.7.1.123) (CAM kinase I). [Source:SWISSPROT;Acc:Q14012]	10.85492594	ENSG00000134072
COTL1	Coactosin-like protein. [Source:SWISSPROT;Acc:Q14019]	10.68775782	ENSG00000103187
TSP50_HUMAN	Testis-specific protease-like protein 50 precursor. [Source:SWISSPROT;Acc:Q9UI38]	10.41797079	ENSG00000206549
c6orf25	G6B protein isoform G6b-A precursor; G6B protein; immunoglobulin receptor. [Source:RefSeq;Acc:NM_025260]	10.35924421	ENSG00000096148
RAB33A	Ras-related protein Rab-33A (Small GTP-binding protein S10). [Source:SWISSPROT;Acc:Q14088]	10.33920032	ENSG00000134594
CAV1	Caveolin-1. [Source:SWISSPROT;Acc:Q03135]	10.30468265	ENSG00000105974
ZBTB16	Zinc finger protein PLZF (Promyelocytic leukemia zinc finger protein) (Zinc finger protein 145). [Source:SWISSPROT;Acc:Q05516]	10.26902936	ENSG00000109906
FKBP10	FK506 binding protein 10 precursor (EC 5.2.1.8) (Peptidyl-prolyl cis- trans isomerase) (PPIase) (Rotamase) (65 kDa FK506-binding protein) (FKBP65) (Immunophilin FKBP65). [Source:SWISSPROT;Acc:Q96AY3]	10.1579327	ENSG00000141756
VSIG2	cortical thymocyte receptor (X. laevis CTX) like. [Source:RefSeq;Acc:NM_014312]	10.14898996	ENSG00000019102
CXCL1	Growth regulated protein precursor (CXCL1) (Melanoma growth stimulatory activity) (MGSA) (Neutrophil-activating protein 3) (NAP- 3). [Source:SWISSPROT;Acc:P09341]	10.14642498	ENSG00000163739
MICAL1	CasL interacting molecule (NEDD9 interacting protein with calponin homology and LIM domains). [Source:SWISSPROT;Acc:Q8TDZ2]	9.263949372	ENSG00000135596
c6orf21	G6f protein [Homo sapiens]. [Source	9.247048169	ENSG00000096141
CFP	Properdin precursor (Factor P). [Source:SWISSPROT;Acc:P27918]	9.087893094	ENSG00000126759
NP_115582.2	nucleotide-binding oligomerization domains 27. [Source:RefSeq;Acc:NM_032206]	9.066137802	ENSG00000140853
Q6NT18_HUMAN	CML2 protein. [Source:Uniprot/SPTREMBL;Acc:Q6NT18]	9.036131604	ENSG00000204872
C1orf78	C1orf78	8.841675542	ENSG00000142694
HLA-DRB3	HLA class II histocompatibility antigen, DR-1 beta chain precursor (Clone P2-beta-3). [Source:SWISSPROT;Acc:P01912]	8.809366841	ENSG00000196101
NCF4	Neutrophil cytosol factor 4 (NCF-4) (Neutrophil NADPH oxidase factor 4) (p40-phox) (p40phox). [Source:SWISSPROT;Acc:Q15080]	8.729825514	ENSG00000100365
K0513_HUMAN	No description	8.619269204	ENSG00000135709
WFDC1	WAP four-disulfide core domain protein 1 precursor (Prostate stromal protein ps20) (ps20 growth inhibitor). [Source:SWISSPROT;Acc:Q9HC57]	8.611398907	ENSG00000103175
XYLT2	xylosyltransferase II; UDP-D-xylose:proteoglycan core protein beta-D-xylosyltransferase. [Source:RefSeq;Acc:NM_022167]	8.58179609	ENSG00000015532
PSMB8	Proteasome subunit beta type 8 precursor (EC 3.4.25.1) (Proteasome component C13) (Macropain subunit C13) (Multicatalytic endopeptidase complex subunit C13). [Source:SWISSPROT;Acc:P28062]	8.581511987	ENSG00000206234
MEST	mesoderm specific transcript isoform a; paternally expressed gene 1. [Source:RefSeq;Acc:NM_002402]	8.561688584	ENSG00000106484
LCP2	Lymphocyte cytosolic protein 2 (SH2 domain-containing leucocyte protein of 76 kDa) (SLP-76 tyrosine phosphoprotein) (SLP76). [Source:SWISSPROT;Acc:Q13094]	8.436785804	ENSG00000043462
PSCD2	Cytohesin 2 (ARF nucleotide-binding site opener) (ARNO protein) (ARF exchange factor). [Source:SWISSPROT;Acc:Q99418]	8.364454869	ENSG00000105443
NP_849159.2	NP_849159.2	8.288043894	ENSG00000167646
EFNB1	Ephrin-B1 precursor (EPH-related receptor tyrosine kinase ligand 2) (LERK-2) (ELK ligand) (ELK-L). [Source:SWISSPROT;Acc:P98172]	8.244342204	ENSG00000090776
VINC	Vinculin (Metavinculin). [Source:SWISSPROT;Acc:P18206]	8.243958099	ENSG00000035403
NP_060401.1	NP_060401.1	8.243136035	ENSG00000075234
TMEM57	Macoilin (Transmembrane protein 57). [Source:Uniprot/SWISSPROT;Acc:Q8N5G2]	8.198213723	ENSG00000204178
Q5VZK9	LRRC16 protein	8.015726645	ENSG00000079691
PRKCD	Protein kinase C, delta type (EC 2.7.1.-) (nPKC-delta). [Source:SWISSPROT;Acc:Q05655]	8.001678963	ENSG00000163932
CTDSPL	Nuclear LIM interactor-interacting factor 1 (NLI-interacting factor 1) (NIF-like protein) (YA22 protein) (HYA22). [Source:SWISSPROT;Acc:O15194]	7.974159681	ENSG00000144677
LAT	Linker for activation of T cells (36 kDa phospho-tyrosine adaptor protein) (pp36) (p36-38). [Source:SWISSPROT;Acc:O43561]	7.927714493	ENSG00000169682
NP_056948.2	NP_056948.2	7.859377351	ENSG00000111913
FAM64A	NP_061886.1	7.858834618	ENSG00000129195
C9orf89	C9orf89	7.815720386	ENSG00000165233
ATP8A1	Potential phospholipid-transporting ATPase IA (EC 3.6.3.1) (Chromaffin granule ATPase II) (ATPase class I type 8A member 1). [Source:SWISSPROT;Acc:Q9Y2Q0]	7.764433877	ENSG00000124406
ITPKA	Inositol-trisphosphate 3-kinase A (EC 2.7.1.127) (Inositol 1,4,5- trisphosphate 3-kinase) (IP3K) (IP3 3-kinase). [Source:SWISSPROT;Acc:P23677]	7.71393254	ENSG00000137825
SULT1A2	Phenol-sulfating phenol sulfotransferase 1 (EC 2.8.2.1) (P-PST) (Thermostable phenol sulfotransferase) (Ts-PST) (HAST1/HAST2) (ST1A3). [Source:SWISSPROT;Acc:P50225]	7.574489404	ENSG00000197165
TMSB4Y	Thymosin beta-4, Y-chromosomal. [Source:SWISSPROT;Acc:O14604]	7.562235306	ENSG00000154620
PTPRCAP	Protein tyrosine phosphatase receptor type C-associated protein (PTPRC-associated protein) (CD45-associated protein) (CD45-AP) (Lymphocyte phosphatase-associated phosphoprotein). [Source:SWISSPROT;Acc:Q14761]	7.530545245	ENSG00000181667
ENPEP	Glutamyl aminopeptidase (EC 3.4.11.7) (EAP) (Aminopeptidase A) (APA) (Differentiation antigen gp160) (CD249 antigen). [Source:Uniprot/SWISSPROT;Acc:Q07075]	7.529114309	ENSG00000138792
PLEKHO1	CK2 interacting protein 1; HQ0024c protein. [Source:RefSeq;Acc:NM_016274]	7.357734731	ENSG00000023902
PGM1	Phosphoglucomutase (EC 5.4.2.2) (Glucose phosphomutase) (PGM). [Source:SWISSPROT;Acc:P36871]	7.35028363	ENSG00000079739
SLCO3A1	Solute carrier family 21 member 11 (Sodium-independent organic anion transporter D) (Organic anion transporting polypeptide D) (OATP-D) (Organic anion transporter polypeptide related protein 3) (OATP-RP3) (OATPRP3) (PGE1 transporter). [Source:SWISSPROT;Acc:Q9UIG8]	7.28466075	ENSG00000176463
ATP2A3	Sarcoplasmic/endoplasmic reticulum calcium ATPase 3 (EC 3.6.3.8) (Calcium pump 3) (SERCA3) (SR Ca(2+)-ATPase 3). [Source:SWISSPROT;Acc:Q93084]	7.199261237	ENSG00000074370
SUCNR1	Succinate receptor 1 (G-protein coupled receptor 91) (P2Y purinoceptor 1-like). [Source:Uniprot/SWISSPROT;Acc:Q9BXA5]	7.177515059	ENSG00000198829
GMFG	Glia maturation factor gamma (GMF-gamma). [Source:SWISSPROT;Acc:O60234]	7.044193701	ENSG00000130755
Q5T4B6_HUMAN	Thymosin beta-4, X-linked	7.002246905	ENSG00000188364
PAPSS2	Bifunctional 3-phosphoadenosine 5-phosphosulfate synthethase 2 (PAPS synthethase 2) (PAPSS 2) (Sulfurylase kinase 2) (SK2) (SK 2) [Includes: Sulfate adenylyltransferase (EC 2.7.7.4) (Sulfate adenylate transferase) (SAT) (ATP-sulfurylase); Adenylylsulfate kinase (EC 2.7.1.25) (Adenylylsulfate 3-phosphotransferase) (APS kinase) (Adenosine-5-phosphosulfate 3-phosphotransferase) (3- phosphoadenosine-5-phosphosulfate synthetase)]. [Source:SWISSPROT;Acc:O95340]	6.992395127	ENSG00000198682
TMEM45A	Dermal papilla derived protein 7. [Source:SWISSPROT;Acc:Q9NWC5]	6.980742571	ENSG00000181458
GPX1	glutathione peroxidase 1 (GPX1), transcript variant 1, mRNA	6.817348291	ENSG00000197582
PARVG	Gamma-parvin. [Source:SWISSPROT;Acc:Q9HBI0]	6.640051804	ENSG00000138964
SLC44A1	CDW92 antigen; CD92 protein; choline transporter-like protein 1. [Source:RefSeq;Acc:NM_080546]	6.621476609	ENSG00000070214
RGS3	Regulator of G-protein signaling 3 (RGS3) (RGP3). [Source:SWISSPROT;Acc:P49796]	6.588808806	ENSG00000138835
AGPAT2	1-acyl-sn-glycerol-3-phosphate acyltransferase beta (EC 2.3.1.51) (1- AGP acyltransferase 2) (1-AGPAT 2) (Lysophosphatidic acid acyltransferase-beta) (LPAAT-beta) (1-acylglycerol-3-phosphate O- acyltransferase 2). [Source:SWISSPROT;Acc:O15120]	6.561506552	ENSG00000169692
NOTCH4	Neurogenic locus notch homolog protein 4 precursor (Notch 4) (hNotch4). [Source:SWISSPROT;Acc:Q99466]	6.53221652	ENSG00000196788
ITGA6	Integrin alpha-6 precursor (VLA-6) (CD49f). [Source:SWISSPROT;Acc:P23229]	6.511873516	ENSG00000091409
PDLIM1	PDZ and LIM domain protein 1 (LIM domain protein CLP-36) (C-terminal LIM domain protein 1) (Elfin). [Source:SWISSPROT;Acc:O00151]	6.416254828	ENSG00000107438
FCER1A	High affinity immunoglobulin epsilon receptor alpha-subunit precursor (FcERI) (IgE Fc receptor, alpha-subunit) (Fc-epsilon RI-alpha). [Source:SWISSPROT;Acc:P12319]	6.275203494	ENSG00000179639
CD74	HLA class II histocompatibility antigen, gamma chain (HLA-DR antigens associated invariant chain) (Ia antigen-associated invariant chain) (Ii) (p33) (CD74 antigen). [Source:SWISSPROT;Acc:P04233]	6.259102129	ENSG00000019582
ART4	Ecto-ADP-ribosyltransferase 4 precursor (EC 2.4.2.31) (NAD(P)(+)-- arginine ADP-ribosyltransferase 4) (Mono(ADP-ribosyl)transferase 4) (Dombrock blood group carrier molecule). [Source:SWISSPROT;Acc:Q93070]	6.133681902	ENSG00000111339
FKBP1B	FK506-binding protein 1B (EC 5.2.1.8) (Peptidyl-prolyl cis-trans isomerase 1B) (PPIase 1B) (Rotamase 1B) (12.6 kDa FKBP) (FKBP-12.6) (Immunophilin FKBP12.6) (h-FKBP-12).	6.126587075	ENSG00000119782
MYLK	Myosin light chain kinase, smooth muscle and non-muscle isozymes (EC 2.7.1.117) (MLCK) [Contains: Telokin (Kinase related protein) (KRP)]. [Source:SWISSPROT;Acc:Q15746]	6.10515331	ENSG00000065534
HA2Q_HUMAN	HLA class II histocompatibility antigen, DP alpha chain precursor (HLA-SB alpha chain) (MHC class II DP3-alpha) (DP(W3)) (DP(W4)). [Source:SWISSPROT;Acc:P20036]	5.992648494	ENSG00000168384
PLAC8	Placenta-specific gene 8 protein (C15 protein). [Source:Uniprot/SWISSPROT;Acc:Q9NZF1]	5.992018276	ENSG00000145287
PTP4A3	protein tyrosine phosphatase type IVA, member 3 isoform 2; potentially prenylated protein tyrosine phosphatase. [Source:RefSeq;Acc:NM_007079]	5.987561608	ENSG00000184489
2B31	HLA class II histocompatibility antigen, DR-1 beta chain precursor (Clone P2-beta-3). [Source:SWISSPROT;Acc:P01912]	5.959637727	ENSG00000196444
CD40	Tumor necrosis factor receptor superfamily member 5 precursor (CD40L receptor) (B-cell surface antigen CD40) (CDw40) (Bp50). [Source:SWISSPROT;Acc:P25942]	5.955501175	ENSG00000101017
FLNA	Filamin A (Alpha-filamin) (Filamin 1) (Endothelial actin-binding protein) (ABP-280) (Nonmuscle filamin). [Source:SWISSPROT;Acc:P21333]	5.846260852	ENSG00000196924
Q96NA9_HUMAN	CDNA FLJ31163 fis, clone KIDNE1000050 (Hypothetical protein FP504).	5.837950666	ENSG00000186316
NP_076933.2	No Description	5.82084403	ENSG00000145882
AOAH	Acyloxyacyl hydrolase precursor (EC 3.1.1.77). [Source:SWISSPROT;Acc:P28039]	5.7857326	ENSG00000136250
1B18_HUMAN	HLA class I histocompatibility antigen, B-8 alpha chain precursor (MHC class I antigen B8). [Source:SWISSPROT;Acc:P30460]	5.638487351	ENSG00000206450
DBP	D-site-binding protein (Albumin D box-binding protein) (TAXREB302). [Source:SWISSPROT;Acc:Q10586]	5.614478655	ENSG00000105516
ANPEP	Aminopeptidase N (EC 3.4.11.2) (hAPN) (Alanyl aminopeptidase) (Microsomal aminopeptidase) (Aminopeptidase M) (gp150) (Myeloid plasma membrane glycoprotein CD13). [Source:SWISSPROT;Acc:P15144]	5.596181083	ENSG00000166825
CCL5	Small inducible cytokine A5 precursor (CCL5) (T-cell specific RANTES protein) (SIS-delta) (T cell-specific protein P228) (TCP228). [Source:SWISSPROT;Acc:P13501]	5.573244822	ENSG00000161570
CAV2	Caveolin-2. [Source:SWISSPROT;Acc:P51636]	5.530250357	ENSG00000105971
TCEA2	Transcription elongation factor A protein 2 (Transcription elongation factor S-II protein 2) (Testis-specific S-II) (Transcription elongation factor TFIIS.l). [Source:SWISSPROT;Acc:Q15560]	5.526727422	ENSG00000171703
C3orf52	C3orf52	5.526310054	ENSG00000114529
PRKACB	cAMP-dependent protein kinase, beta-catalytic subunit (EC 2.7.1.37) (PKA C-beta). [Source:SWISSPROT;Acc:P22694]	5.514164576	ENSG00000142875
CYFIP1	cytoplasmic FMR1 interacting protein 1; selective hybridizing clone (mouse); cytoplasmic FMRP interacting protein 1. [Source:RefSeq;Acc:NM_014608]	5.501276713	ENSG00000068793
ASB9	Ankyrin repeat and SOCS box protein 9 (ASB-9)	5.486920258	ENSG00000102048
URP2_HUMAN	Unc-112 related protein 2 (Kindlin-3) (MIG2-like). [Source:SWISSPROT;Acc:Q86UX7]	5.472145847	ENSG00000149781
MYO10	Myosin X. [Source:SWISSPROT;Acc:Q9HD67]	5.471576688	ENSG00000145555
HLA-DMA	HLA class II histocompatibility antigen, DM alpha chain precursor (MHC class II antigen DMA). [Source:SWISSPROT;Acc:P28067]	5.455232285	ENSG00000206229
CCDC85B	Delta-interacting protein A (Hepatitis delta antigen interacting protein A). [Source:SWISSPROT;Acc:Q15834]	5.447519191	ENSG00000175602
TCEAL3	Transcription elongation factor A protein-like 3 (TCEA-like protein 3) (Transcription elongation factor S-II protein-like 3)	5.426102929	ENSG00000196507
HMHA1	minor histocompatibility antigen HA-1. [Source:RefSeq;Acc:NM_012292]	5.362282932	ENSG00000180448
DHRS10	dehydrogenase/reductase (SDR family) member 10; retinal short-chain dehydrogenase/reductase 3. [Source:RefSeq;Acc:NM_016246]	5.32933239	ENSG00000087076
TSGA2	Testis-specific gene A2 (Male meiotic metaphase chromosome-associated acidic protein) (Meichroacidin). [Source:SWISSPROT;Acc:Q8WYR4]	5.3059404	ENSG00000160188
PPIF	Peptidyl-prolyl cis-trans isomerase, mitochondrial precursor (EC 5.2.1.8) (PPIase) (Rotamase) (Cyclophilin F). [Source:SWISSPROT;Acc:P30405]	5.289064805	ENSG00000108179
ARHGDIB	Rho GDP-dissociation inhibitor 2 (Rho GDI 2) (Rho-GDI beta) (Ly-GDI). [Source:SWISSPROT;Acc:P52566]	5.206256264	ENSG00000111348
UBE2C	Ubiquitin-conjugating enzyme E2 C (EC 6.3.2.19) (Ubiquitin-protein ligase C) (Ubiquitin carrier protein C) (UbcH10). [Source:SWISSPROT;Acc:O00762]	5.192392077	ENSG00000175063
ABHD4	abhydrolase domain containing 4. [Source:RefSeq;Acc:NM_022060]	5.102463747	ENSG00000100439
LIMD2	LIM domain containing 2 [Source:RefSeq_peptide;Acc:NP_085053]	5.081871594	ENSG00000136490
TRO	Trophinin (MAGE-D3 antigen). [Source:SWISSPROT;Acc:Q12816]	5.081868837	ENSG00000067445
DOK2	Docking protein 2 (p56(dok-2)) (Downstream of tyrosine kinase 2). [Source:SWISSPROT;Acc:O60496]	5.014722907	ENSG00000147443
AACS	acetoacetyl-CoA synthetase; acetoacetate-CoA ligase; homolog of C. elegans supressor of ras 5 (sur-5). [Source:RefSeq;Acc:NM_023928]	5.011203267	ENSG00000081760
SLC16A3	Monocarboxylate transporter 4 (MCT 4) (MCT 3). [Source:SWISSPROT;Acc:O15427]	4.828367556	ENSG00000141526
DUSP22	dual specificity phosphatase 22; mitogen-activated protein kinase phosphatase x; homolog of mouse dual specificity phosphatase LMW-DSP2; JNK-stimulating phosphatase 1. [Source:RefSeq;Acc:NM_020185]	4.826441799	ENSG00000112679
HLA-G	HLA class I histocompatibility antigen, A-3 alpha chain precursor (MHC class I antigen A3). [Source:SWISSPROT;Acc:P04439]	4.795419459	ENSG00000204632
HLA-DPB1	HLA class II histocompatibility antigen, DP(W4) beta chain precursor. [Source:SWISSPROT;Acc:P04440]	4.767684938	ENSG00000168383
