Probeset	Symbol	Genbank	T3/T1
216913_s_at	KIAA0690	AK021460	2.74
213358_at	KIAA0802	AB018345	2.1
225597_at	KIAA1126	AI346128	3.39
231856_at	KIAA1244	AB033070	2.61
224746_at	KIAA1522	AB040955	2.7
227778_at	KIAA1833	H11075	3.64
242851_at	KIAA1919	BE964989	2.14
227370_at	KIAA1946	AW043602	2.89
235112_at	KIAA1958	AA088388	2.4
203087_s_at	KIF2	NM_004520	2.2
226792_s_at	KIFC2	BF515031	2.3
218963_s_at	KRT23	NM_015515	2.65
210150_s_at	LAMA5	BC003355	3.01
201505_at	LAMB1	NM_002291	3.4
200618_at	LASP1	NM_006148	2.03
202193_at	LIMK2	NM_005569	3.72
222039_at	LOC146909	AA292789	2.06
238654_at	LOC147645	W79425	2.38
228046_at	LOC152485	AA741243	2.01
215978_x_at	LOC152719	AK021514	2.2
221876_at	LOC155060	AU151157	2.26
238807_at	LOC157567	AW973964	3.01
214801_at	LOC163590	W88821	2.26
228845_at	LOC196463	AW451356	2.01
227549_x_at	LOC254359	AW072426	2.03
227007_at	LOC255104	AI972419	2.59
225911_at	LOC255743	AL138410	2.2
235231_at	LOC285989	AI355709	2.07
241370_at	LOC286052	AA278233	2.51
226592_at	LOC286334	AA031404	2.03
239762_at	LOC286437	AI080505	2.45
229669_at	LOC339260	AA166965	2.22
229860_x_at	LOC401115	AI341602	5.47
227628_at	LOC493869	AL571557	2.33
1557987_at	LOC641298	BC042832	3.01
227576_at	LOC646080	AW003140	2.11
1555743_s_at	LOC649650	U92816	3.71
1558943_x_at	LOC91661	BU686397	2.07
1559352_a_at	LOC92659	BC038198	2.48
204692_at	LRCH4	NM_002319	2.29
221640_s_at	LRDD	AF274972	2.05
225060_at	LRP11	BF696304	2.29
1557360_at	LRPPRC	CA430402	2.25
230793_at	LRRC16	BE671038	2.09
228825_at	LTB4DH	BE566894	2.01
225831_at	LUZP1	AW016830	2.05
244778_x_at	M11S1	N63691	2.84
228846_at	MAD	AW071793	2.52
207325_x_at	MAGEA1	NM_004988	2.19
214373_at	MAGEA11	AI582773	2.45
221261_x_at	MAGED4	NM_030801	2.67
224559_at	MALAT1	AF001540	2.25
226084_at	MAP1B	AA554833	2.02
225540_at	MAP2	BF342661	2.94
212566_at	MAP4	AL523310	2.08
206571_s_at	MAP4K4	NM_004834	2.32
210059_s_at	MAPK13	BC000433	3.29
212046_x_at	MAPK3	X60188	2.17
213671_s_at	MARS	AA621558	2.06
235879_at	MBNL1	AI697540	2.82
209087_x_at	MCAM	AF089868	2.04
229797_at	MCOLN3	AI636080	2.19
239641_at	MDK	AI860159	2.17
206000_at	MEP1A	NM_005588	2.83
226473_at	MGC10561	BE514414	2.7
1555841_at	MGC17337	BQ014020	2.69
225257_at	MGC20255	AA534536	2.96
226121_at	MGC23280	AI076793	2.69
226466_s_at	MGC29729	AL544688	2.02
228221_at	MGC45474	AA809640	2.28
239752_at	MICAL3	BE551781	2.24
55081_at	MICAL-L1	W46406	2.31
243256_at	MKNK1	AW796364	2.3
203414_at	MMD	NM_012329	2.3
203878_s_at	MMP11	NM_005940	2.15
204580_at	MMP12	NM_002426	3.11
203956_at	MORC2	NM_014941	2.25
215731_s_at	MPHOSPH9	X98258	2.52
242871_at	MPRG	AI934557	2.38
228542_at	MRS2L	AI631209	2.31
226134_s_at	MSI2	AI978754	2.94
225520_at	MTHFD1L	AL133260	5.16
201761_at	MTHFD2	NM_006636	2.7
203212_s_at	MTMR2	NM_016156	2.5
201710_at	MYBL2	NM_002466	4.24
228098_s_at	MYLIP	AW292746	3.62
222018_at	NACA	AI992187	2.53
204823_at	NAV3	NM_014903	3.39
227249_at	NDE1	AI857685	2.54
227739_at	NDOR1	AI417537	2.31
240991_at	NDRG1	AI732596	2.37
219502_at	NEIL3	NM_018248	2.81
218888_s_at	NETO2	NM_018092	2.86
214295_at	NFIA	AW129056	2.05
228388_at	NFKBIB	AA044140	2.09
230139_at	NFXL1	AI189822	2.74
234762_x_at	NLN	AK026655	2.54
59625_at	NOL3	AI912351	2.18
39549_at	NPAS2	AI743090	2.01
210519_s_at	NQO1	BC000906	3.16
204105_s_at	NRCAM	NM_005010	4.35
210510_s_at	NRP1	AF145712	2.03
203269_at	NSMAF	NM_003580	3.51
1569030_s_at	NUB1	BC034716	2.76
231914_at	NUDT14	W24623	2.23
242195_x_at	NUMBL	BE350811	2.82
209230_s_at	NUPR1	AF135266	2.52
213241_at	NY-REN-58	AF035307	2.21
226350_at	OPN3	AU155565	3.03
219007_at	p42	NM_024647	2.33
201651_s_at	PACSIN2	NM_007229	2.13
203228_at	PAFAH1B3	NM_002573	3.68
202336_s_at	PAM	NM_000919	4.22
227858_at	PCNXL3	AI379451	2.1
205559_s_at	PCSK5	NM_006200	2.16
213581_at	PDCD2	BF446180	2.54
206792_x_at	PDE4C	NM_000923	2.31
205463_s_at	PDGFA	NM_002607	2.68
208658_at	PDIA4	BC000425	2.35
226452_at	PDK1	AU146532	2.85
219630_at	PDZK1IP1	NM_005764	5.32
202212_at	PES1	NM_014303	2.94
221899_at	PFAAP5	AI809961	2.36
228499_at	PFKFB4	AL038787	2.2
209652_s_at	PGF	BC001422	2.3
227211_at	PHF19	BE544837	2.25
203278_s_at	PHF21A	NM_016621	3.25
223207_x_at	PHPT1	AF285119	2.46
228679_at	PHYHIPL	BF345233	2.49
1568986_x_at	PIGT	AF305815	2.34
223551_at	PKIB	AF225513	3.65
201251_at	PKM2	NM_002654	3.96
201928_at	PKP4	AA194254	2.31
205372_at	PLAG1	NM_002655	2.14
207002_s_at	PLAGL1	NM_002656	3.81
242494_at	PLCB1	AW628168	2.45
232530_at	PLD1	AA132961	3.11
225979_at	PLEKHG2	AK024429	2.03
201136_at	PLP2	NM_002668	2
221538_s_at	PLXNA1	AL136663	3.38
218961_s_at	PNKP	NM_007254	2
239134_at	POLR3C	AA521106	2.94
210910_s_at	POMZP3	BC000487	2.25
219926_at	POPDC3	NM_022361	2.35
205267_at	POU2AF1	NM_006235	4.27
221807_s_at	PP2447	BG399562	2.19
217407_x_at	PPIL2	U37220	3.93
37384_at	PPM1F	D86995	2.16
228494_at	PPP1R9A	AI888150	3.98
206452_x_at	PPP2R4	NM_021131	2.02
227281_at	PRKAG2	T79475	2.18
202408_s_at	PRPF31	NM_015629	2.1
219392_x_at	PRR11	NM_018304	2.06
210367_s_at	PTGES	AF010316	3.73
224950_at	PTGFRN	BF476250	2.58
241387_at	PTK2	AW276701	2.26
211921_x_at	PTMA	AF348514	2.2
209695_at	PTP4A3	BC003105	2.96
244533_at	PTPN14	BE617483	2.24
235138_at	PUM2	AA565051	2.7
227718_at	PURB	BF337790	2
228733_at	PUSL1	AU154793	2.49
227999_at	PWWP2	AI290476	3.22
218944_at	PYCRL	NM_023078	2.54
243851_at	RAB3-GAP150	AI860647	2.34
219494_at	RAD54B	NM_012415	2.25
204558_at	RAD54L	NM_003579	2.3
226389_s_at	RAPGEF1	AU158380	2.59
212707_s_at	RASA4	AI738591	2.75
217221_x_at	RBM10	AL137421	2.04
224578_at	RCC2	AB040903	2.92
218767_at	REXO4	NM_020385	2.16
212651_at	RHOBTB1	AB018283	3.08
239258_at	RHOQ	BE551407	2.06
213194_at	ROBO1	BF059159	5.09
216524_x_at	ROBO2	AL049260	2.9
222823_at		AA766264	2.25
227617_at		BF315093	5.24
221524_s_at	RRAGD	AF272036	2.29
212647_at	RRAS	NM_006270	2.22
1559946_s_at	RUVBL2	AI860098	2
205449_at	SAC3D1	NM_013299	2.13
229528_at	SBNO1	AI670935	2.33
241775_at	SCFD1	AW298119	2.71
212556_at	SCRIB	AI469403	2.4
226337_at	SCYL1BP1	AK021814	2.42
242865_at	SDFR1	AI332638	2.12
226051_at	SELM	BF973568	2.82
203789_s_at	SEMA3C	NM_006379	3.03
35666_at	SEMA3F	U38276	2.35
41220_at	9-Sep	AB023208	2.16
228726_at	SERPINB1	AW512196	2.61
212190_at	SERPINE2	AL541302	5.3
207714_s_at	SERPINH1	NM_004353	2.51
228088_at	SESTD1	AI092265	2.19
37462_i_at	SF3A2	L21990	2.16
35626_at	SGSH	U30894	2.47
209322_s_at	SH2B1	AF227968	2.74
214853_s_at	SHC1	AI091079	2.05
224846_at	SHKBP1	AI348000	2.04
207057_at	SLC16A7	NM_004731	3.39
228497_at	SLC22A15	AI279062	3.1
229464_at	SLC24A5	N50034	2.01
223222_at	SLC25A19	BC001075	2.67
204342_at	SLC25A24	NM_013386	2.42
225306_s_at	SLC25A29	AI826268	2.04
201250_s_at	SLC2A1	NM_006516	2.84
220091_at	SLC2A6	NM_017585	2.28
213119_at	SLC36A1	AW058600	2.09
225295_at	SLC39A10	AB033091	2.09
219215_s_at	SLC39A4	NM_017767	3.01
215812_s_at	SLC6A10P	U41163	3.18
202219_at	SLC6A8	NM_005629	9.58
209921_at	SLC7A11	AB040875	5.36
211989_at	SMARCE1	NM_003079	2.31
34868_at	SMG5	AB029012	2.03
210357_s_at	SMOX	BC000669	2.97
205622_at	SMPD2	NM_003080	2.3
202508_s_at	SNAP25	NM_003081	2.31
215926_x_at	SNAPC4	AK023513	2.12
216905_s_at	SNC19	U20428	2.23
201770_at	SNRPA	NM_004596	2.36
226587_at	SNRPN	BE783065	2.56
228662_at	SOCS7	AI492369	2.47
220129_at	SOHLH2	NM_017826	2.13
224818_at	SORT1	BE622952	2.15
201416_at	SOX4	BG528420	7.08
202935_s_at	SOX9	AI382146	2.84
219888_at	SPAG4	NM_003116	3.37
206239_s_at	SPINK1	NM_003122	10.01
202826_at	SPINT1	NM_003710	2.32
218638_s_at	SPON2	NM_012445	2.38
226342_at	SPTBN1	AW593244	2.24
239811_at	SRPK2	BF954306	3.85
203787_at	SSBP2	NM_012446	2.4
229269_x_at	SSBP4	AA847828	2.07
202786_at	STK39	NM_013233	6.1
231969_at	STOX2	AB037813	2.29
229513_at	STRBP	AK025613	2.62
211470_s_at	SULT1C1	AF186255	5.46
205812_s_at	SULT1C2	NM_006588	2.26
205224_at	SURF2	NM_017503	2.37
223822_at	SUSD4	BC004888	3.33
244872_at	SYNCOILIN	BE514107	3.46
217834_s_at	SYNCRIP	NM_006372	2.92
218308_at	TACC3	NM_006342	2.72
235154_at	TAF3	BG250498	2.27
209154_at	TAX1BP3	AF234997	3.56
218596_at	TBC1D13	NM_018201	2.95
235925_at	TCF12	AW057520	2.02
209153_s_at	TCF3	M31523	2.57
204158_s_at	TCIRG1	NM_006019	2.37
224762_at	TDE2L	AA872583	2.36
203743_s_at	TDG	NM_003211	2.07
226408_at	TEAD2	AA905942	3.65
209215_at	TETRAN	L11669	2.72
243827_at	TEX27	AL038125	2.39
205286_at	TFAP2C	U85658	2.18
218996_at	TFPT	NM_013342	2.54
228121_at	TGFB2	AU145950	2.42
215304_at	THSD4	U79293	2.1
228205_at	TKT	AU152969	2.36
213349_at	TMCC1	AI934469	2.21
1558426_x_at	TMEM142B	BC016797	2.19
218095_s_at	TMEM165	NM_018475	2.27
217733_s_at	TMSB10	NM_021103	2.28
227062_at	TncRNA	AU155361	2.97
232160_s_at	TNIP2	AL137262	2.25
221829_s_at	TNPO1	AI307759	2.06
214774_x_at	TNRC9	AK027006	2.82
221496_s_at	TOB2	D64109	3.44
201379_s_at	TPD52L2	NM_003288	2.51
204083_s_at	TPM2	NM_003289	3.74
204352_at	TRAF5	NM_004619	2.7
217958_at	TRAPPC4	NM_016146	2.03
202734_at	TRIP10	NM_004240	2.1
204033_at	TRIP13	NM_004237	2.19
205802_at	TRPC1	NM_003304	2.13
222651_s_at	TRPS1	BF701166	3.29
218612_s_at	TSSC4	NM_005706	2.28
36936_at	TSTA3	U58766	2.06
203702_s_at	TTLL4	AL043927	3.38
219882_at	TTLL7	NM_024686	2.16
204141_at	TUBB2A	NM_001069	2.56
205807_s_at	TUFT1	NM_020127	2.08
213943_at	TWIST1	X99268	1.84
219192_at	UBAP2	NM_018449	2.19
201377_at	UBAP2L	NM_014847	2.47
205890_s_at	UBD	NM_006398	2.85
218141_at	UBE2O	NM_022066	2.34
224747_at	UBE2Q2	AK000617	2.14
242673_at	UBE3C	AA931284	2.38
201387_s_at	UCHL1	NM_004181	4.44
208998_at	UCP2	U94592	3.04
218757_s_at	UPF3B	NM_023010	2.38
233595_at	USP34	AK024341	2.32
226176_s_at	USP42	BE048999	2.15
225925_s_at	USP48	AA044730	2.5
229997_at	VANGL1	AA789332	2.66
212399_s_at	VGLL4	D50911	2.35
235023_at	VPS13C	AA828371	2.35
227490_at	WDFY2	T87542	2.13
225170_at	WDR5	BE740137	2.03
225898_at	WDR54	AK023015	2.62
1552811_at	WFIKKN1	NM_053284	2.04
209053_s_at	WHSC1	BE793789	2.62
212048_s_at	YARS	AW245400	2.44
213445_at	ZC3H3	D63484	2.59
213051_at	ZC3HAV1	AI133727	2.16
223107_s_at	ZCCHC17	AF151077	2.49
230332_at	ZCCHC7	AA872187	2.67
226926_at	ZD52F10	AA706316	2.99
223642_at	ZIC2	AF193855	2.23
1554171_at	ZMYM3	BC013009	2.01
227477_at	ZMYND19	AL565563	2.2
242953_at	ZNF234	BE909177	2
206261_at	ZNF239	NM_005674	2.58
212368_at	ZNF292	AA972711	2.27
228393_s_at	ZNF302	BF508739	2.25
219848_s_at	ZNF432	NM_014650	2.09
220617_s_at	ZNF532	NM_018181	2.89
1553172_at	ZNF777	NM_015694	2.11
236346_at	ZNF83	BF115793	2.15
226761_at	ZNFN1A4	BF940979	2.46
1555867_at	GNG4	BM666010	2.42
213222_at	PLCB1	AL049593	2.09
1557814_a_at	SSBP2	BF724621	3
81811_at	ND	AI744451	2.18
235969_at	ND	R40373	2.01
237611_at	ND	BE463978	2.11
1555579_s_at	ND	BC029442	2.03
223366_at	ND	BC004287	2.19
231094_s_at	ND	AL035086	2.12
226272_at	ND	N25986	2
216199_s_at	MAP3K4	AL109942	2.49
230710_at	FLJ41489	W05495	2.09
208549_x_at	PTMA	NM_016171	2.02
209435_s_at	ARHGEF2	BC000265	2.61
243976_at	ND	AW779916	2.26
213951_s_at	ND	BE964655	2.17
226584_s_at	ND	AL118502	2.37
230003_at	ND	AW779917	2.68
235229_at	ND	AI694413	2.64
236656_s_at	ND	AW014647	2.76
228479_at	ND	AI094180	2.32
212564_at	ND	AA523921	2.2
211200_s_at	ND	BC002836	2.2
223425_at	ND	BC002848	2.04
226659_at	ND	Z97832	2.21
213870_at	COL11A2	AL031228	2.08
231108_at	ND	H43040	2.61
242354_at	ND	AI191905	2.03
212699_at	ND	BE222801	2.19
229490_s_at	ND	AW271106	2.48
