Gene Name	Average	Fold	Description	GenBank Accession	Cell line
TIMP3	1.58	1.58	TIMP metallopeptidase inhibitor 3 (Sorsby fundus dystrophy, pseudoinflammatory)	AA479202	MCF7 100nM
TMEM98	1.59	1.59	Transmembrane protein 98	AW410287	MCF7 100nM
TNFRSF11B	1.37	1.37	Tumor necrosis factor receptor superfamily, member 11b (osteoprotegerin)	AA599841	MCF7 100nM
TUBB	0.70	-1.44	Tubulin, beta	H37989	MCF7 100nM
UBE2C	0.54	-1.87	Ubiquitin-conjugating enzyme E2C	AA430504	MCF7 100nM
VAMP8	1.71	1.71	Vesicle-associated membrane protein 8 (endobrevin)	T62963	MCF7 100nM
VEGFC	1.32	1.32	Vascular endothelial growth factor C	H07991	MCF7 100nM
WBP5	1.25	1.25	WW domain binding protein 5	H96654	MCF7 100nM
WDR44	2.58	2.58	WD repeat domain 44	W80619	MCF7 100nM
WNT5A	1.21	1.21	Wingless-type MMTV integration site family, member 5A	W93592	MCF7 100nM
XIST	0.65	-1.54	X (inactive)-specific transcript	W72068	MCF7 100nM
A2M	0.57	-1.76	Alpha-2-macroglobulin	R12022	MDA-MB-231 2nM
AGT	2.29	2.29	Angiotensinogen (serpin peptidase inhibitor, clade A, member 8)	AI359985	MDA-MB-231 2nM
AGT	2.10	2.10	Angiotensinogen (serpin peptidase inhibitor, clade A, member 8)	H64380	MDA-MB-231 2nM
ARHGDIB	59.05	59.05	Rho GDP dissociation inhibitor (GDI) beta	N49912	MDA-MB-231 2nM
ASNS	2.22	2.22	Asparagine synthetase	AA894927	MDA-MB-231 2nM
BAI3	0.96	-1.04	Brain-specific angiogenesis inhibitor 3	AI698275	MDA-MB-231 2nM
BNC2	2.98	2.98	Basonuclin 2	N24805	MDA-MB-231 2nM
BTRC	1.23	1.23	Beta-transducin repeat containing	AA705262	MDA-MB-231 2nM
C6orf155	1.94	1.94	Transcribed locus	AA780180	MDA-MB-231 2nM
CASP7	2.82	2.82	Caspase 7, apoptosis-related cysteine peptidase	T50828	MDA-MB-231 2nM
CCND1	0.56	-1.80	Cyclin D1	AA487700	MDA-MB-231 2nM
CD3D	1.66	1.66	CD3D antigen, delta polypeptide (TiT3 complex)	AA055946	MDA-MB-231 2nM
CD69	0.96	-1.04	CD69 antigen (p60, early T-cell activation antigen)	AA279883	MDA-MB-231 2nM
CDC42EP2	1.31	1.31	CDC42 effector protein (Rho GTPase binding) 2	W81196	MDA-MB-231 2nM
CDH1	0.60	-1.67	Cadherin 1, type 1, E-cadherin (epithelial)	AI671174	MDA-MB-231 2nM
CG018	2.80	2.80	Hypothetical gene CG018	AA488718	MDA-MB-231 2nM
CGA	1.08	1.08	Glycoprotein hormones, alpha polypeptide	AA677403	MDA-MB-231 2nM
CHST11	1.51	1.51	Carbohydrate (chondroitin 4) sulfotransferase 11	R42888	MDA-MB-231 2nM
COL5A1	2.08	2.08	Collagen, type V, alpha 1	R75635	MDA-MB-231 2nM
CRLF1	3.69	3.69	Cytokine receptor-like factor 1	AA706010	MDA-MB-231 2nM
CRYM	0.83	-1.20	Crystallin, mu	R67147	MDA-MB-231 2nM
CXorf26	1.00	1.00	Chromosome X open reading frame 26	BE622364	MDA-MB-231 2nM
DCT	12.43	12.43	Dopachrome tautomerase (dopachrome delta-isomerase, tyrosine-related protein 2)	W56586	MDA-MB-231 2nM
DKFZp451M2119	0.65	-1.55	Hypothetical protein DKFZp451M2119	AI033390	MDA-MB-231 2nM
DOC1	2.36	2.36	Downregulated in ovarian cancer 1	W69790	MDA-MB-231 2nM
EGR1	0.80	-1.25	Early growth response 1	AA486628	MDA-MB-231 2nM
EPAS1	2.20	2.20	Endothelial PAS domain protein 1	AA680300	MDA-MB-231 2nM
ERBB3	2.30	2.30	V-erb-b2 erythroblastic leukemia viral oncogene homolog 3 (avian)	AA877334	MDA-MB-231 2nM
FBXO11	0.78	-1.28	F-box protein 11	R31259	MDA-MB-231 2nM
FOLH1	1.35	1.35	Folate hydrolase (prostate-specific membrane antigen) 1	N64840	MDA-MB-231 2nM
GABBR2	1.07	1.07	Gamma-aminobutyric acid (GABA) B receptor, 2	AA775405	MDA-MB-231 2nM
GYG2	3.56	3.56	Glycogenin 2	H04789	MDA-MB-231 2nM
HIST2H2BE	2.20	2.20	Histone 2, H2be	AA705142	MDA-MB-231 2nM
HMOX1	1.94	1.94	Heme oxygenase (decycling) 1	BU731927	MDA-MB-231 2nM
HOXB2	2.97	2.97	Homeobox B2	AA911661	MDA-MB-231 2nM
HSPA1L	0.48	-2.07	Heat shock 70kDa protein 1-like	H17513	MDA-MB-231 2nM
HSPA2	0.56	-1.78	Heat shock 70kDa protein 2	BE259102	MDA-MB-231 2nM
HSPA2	0.50	-1.99	Heat shock 70kDa protein 2	AA455102	MDA-MB-231 2nM
HSPA8	0.42	-2.40	Heat shock 70kDa protein 8	AA620511	MDA-MB-231 2nM
HSPA8	0.38	-2.65	Heat shock 70kDa protein 8	AA629567	MDA-MB-231 2nM
IFI16	1.34	1.34	Interferon, gamma-inducible protein 16	AA491191	MDA-MB-231 2nM
IFI44	3.32	3.32	Interferon-induced protein 44	BE221241	MDA-MB-231 2nM
IGF1R	1.94	1.94	Insulin-like growth factor 1 receptor	AA001709	MDA-MB-231 2nM
IL1RAP	1.52	1.52	Interleukin 1 receptor accessory protein	AA404284	MDA-MB-231 2nM
IL1RAP	0.65	-1.53	Interleukin 1 receptor accessory protein	T91161	MDA-MB-231 2nM
IL1RL1	0.73	-1.36	Interleukin 1 receptor-like 1	AA128153	MDA-MB-231 2nM
IL6	1.52	1.52	Interleukin 6	N98591	MDA-MB-231 2nM
IQGAP2	1.83	1.83	IQ motif containing GTPase activating protein 2	W32272	MDA-MB-231 2nM
IRF8	0.60	-1.65	Interferon regulatory factor 8	N62269	MDA-MB-231 2nM
ITM2A	0.48	-2.06	Integral membrane protein 2A	N53447	MDA-MB-231 2nM
KCNK2	0.69	-1.44	Potassium channel, subfamily K, member 2	R59601	MDA-MB-231 2nM
KIAA0523	2.13	2.13	KIAA0523	H18630	MDA-MB-231 2nM
KLRC3	2.36	2.36	Killer cell lectin-like receptor subfamily C, member 2	W93370	MDA-MB-231 2nM
LCP1	2.78	2.78	Lymphocyte cytosolic protein 1 (L-plastin)	W73144	MDA-MB-231 2nM
LCP2	0.69	-1.46	Lymphocyte cytosolic protein 2 (SH2 domain containing leukocyte protein of 76kDa)	AA927372	MDA-MB-231 2nM
LOC286408	0.93	-1.07	Similar to putative UST1-like organic anion transporter	AI922061	MDA-MB-231 2nM
LUM	0.72	-1.40	Lumican	AA453712	MDA-MB-231 2nM
LYPLA3	2.01	2.01	Lysophospholipase 3 (lysosomal phospholipase A2)	W72651	MDA-MB-231 2nM
MAF	2.46	2.46	V-maf musculoaponeurotic fibrosarcoma oncogene homolog (avian)	N34436	MDA-MB-231 2nM
MARCKS	1.73	1.73	Myristoylated alanine-rich protein kinase C substrate	AA131421	MDA-MB-231 2nM
MARS	1.83	1.83	Methionine-tRNA synthetase	AA015892	MDA-MB-231 2nM
MCAM	7.25	7.25	Melanoma cell adhesion molecule	AA497002	MDA-MB-231 2nM
MIF	1.20	1.20	Macrophage migration inhibitory factor (glycosylation-inhibiting factor)	R65649	MDA-MB-231 2nM
MLANA	3.07	3.07	Melan-A	N26562	MDA-MB-231 2nM
MSTP9	2.02	2.02	Macrophage stimulating, pseudogene 9	AA707273	MDA-MB-231 2nM
MYB	1.31	1.31	V-myb myeloblastosis viral oncogene homolog (avian)	N49526	MDA-MB-231 2nM
NPAL3	1.86	1.86	NIPA-like domain containing 3	AA421769	MDA-MB-231 2nM
NPAS2	2.11	2.11	Neuronal PAS domain protein 2	H26182	MDA-MB-231 2nM
NR1H2	2.86	2.86	Nuclear receptor subfamily 1, group H, member 2	AA629265	MDA-MB-231 2nM
NR4A3	1.07	1.07	Nuclear receptor subfamily 4, group A, member 3	R55760	MDA-MB-231 2nM
NRG1	1.40	1.40	Neuregulin 1	R72075	MDA-MB-231 2nM
NTN4	13.23	13.23	Netrin 4	R76614	MDA-MB-231 2nM
P2RY5	4.69	4.69	Purinergic receptor P2Y, G-protein coupled, 5	R91539	MDA-MB-231 2nM
PABPC4	0.49	-2.04	Poly(A) binding protein, cytoplasmic 4 (inducible form)	AA486221	MDA-MB-231 2nM
PARD3	0.98	-1.02	Par-3 partitioning defective 3 homolog (C. elegans)	AI123159	MDA-MB-231 2nM
PDGFRA	0.69	-1.45	Platelet-derived growth factor receptor, alpha polypeptide	H23235	MDA-MB-231 2nM
PDZK1IP1	1.35	1.35	PDZK1 interacting protein 1	AA151002	MDA-MB-231 2nM
PIK3R1	2.05	2.05	Phosphoinositide-3-kinase, regulatory subunit 1 (p85 alpha)	R54050	MDA-MB-231 2nM
PLA2R1	1.90	1.90	Phospholipase A2 receptor 1, 180kDa	AA086038	MDA-MB-231 2nM
PPP2R3A	6.07	6.07	Protein phosphatase 2 (formerly 2A), regulatory subunit B, alpha	T89372	MDA-MB-231 2nM
PRKD3	1.47	1.47	Protein kinase D3	AA463213	MDA-MB-231 2nM
PRSS23	2.03	2.03	Protease, serine, 23	AI299995	MDA-MB-231 2nM
PTPN3	3.03	3.03	Protein tyrosine phosphatase, non-receptor type 3	AA449455	MDA-MB-231 2nM
PTPRF	0.61	-1.64	Protein tyrosine phosphatase, receptor type, F	AA704725	MDA-MB-231 2nM
PTPRM	1.68	1.68	Protein tyrosine phosphatase, receptor type, M	H26426	MDA-MB-231 2nM
PXK	1.79	1.79	PX domain containing serine/threonine kinase	AA404249	MDA-MB-231 2nM
RAB31	3.07	3.07	RAB31, member RAS oncogene family	AA432084	MDA-MB-231 2nM
RASGRF1	1.40	1.40	Ras protein-specific guanine nucleotide-releasing factor 1	AI207890	MDA-MB-231 2nM
SERPINF1	50.89	50.89	Serpin peptidase inhibitor, clade F (alpha-2 antiplasmin, pigment epithelium derived factor), member 1	AW409975	MDA-MB-231 2nM
SGK	1.37	1.37	Serum/glucocorticoid regulated kinase	BM669560	MDA-MB-231 2nM
SH2D1A	1.03	1.03	SH2 domain protein 1A, Duncans disease (lymphoproliferative syndrome)	AI338791	MDA-MB-231 2nM
SLC6A8	1.27	1.27	Solute carrier family 6 (neurotransmitter transporter, creatine), member 8	AA047465	MDA-MB-231 2nM
SLCO4C1	1.04	1.04	Solute carrier organic anion transporter family, member 4C1	AA954028	MDA-MB-231 2nM
SSBP2	2.29	2.29	Single-stranded DNA binding protein 2	AA451851	MDA-MB-231 2nM
ST3GAL5	1.49	1.49	ST3-beta-galactoside alpha-2,3- syaliltransferase 5	R93185	MDA-MB-231 2nM
TAS2R49	0.64	-1.55	Transcribed locus	AI248261	MDA-MB-231 2nM
TGFBR3	6.70	6.70	Transforming growth factor, beta receptor III (betaglycan, 300kDa)	H62473	MDA-MB-231 2nM
THBD	2.46	2.46	Thrombomodulin	H59861	MDA-MB-231 2nM
THBS2	2.16	2.16	Thrombospondin 2	H38240	MDA-MB-231 2nM
TIMP2	1.66	1.66	TIMP metallopeptidase inhibitor 2	BM668101	MDA-MB-231 2nM
TMEM22	5.18	5.18	Transmembrane protein 22	AA634063	MDA-MB-231 2nM
TMEM50B	2.59	2.59	Transmembrane protein 50B	AA876148	MDA-MB-231 2nM
TYR	4.17	4.17	Tyrosinase (oculocutaneous albinism IA)	N42770	MDA-MB-231 2nM
TYRP1	6.51	6.51	Tyrosinase-related protein 1	AA424996	MDA-MB-231 2nM
USP4	2.29	2.29	Ubiquitin specific peptidase 4 (proto-oncogene)	AA454143	MDA-MB-231 2nM
VHL	1.83	1.83	Von Hippel-Lindau tumor suppressor	H73054	MDA-MB-231 2nM
VLDLR	2.01	2.01	Very low density lipoprotein receptor	R37255	MDA-MB-231 2nM
WNT5A	0.51	-1.97	Wingless-type MMTV integration site family, member 5A	W93592	MDA-MB-231 2nM
WRN	1.38	1.38	Werner syndrome	BM677308	MDA-MB-231 2nM
ZFP90	1.09	1.09	Zinc finger protein 90 homolog (mouse)	N36929	MDA-MB-231 2nM
A2M	0.58	-1.72	Alpha-2-macroglobulin	R12022	MDA-MB-231 100nM
ABCA1	1.82	1.82	ATP-binding cassette, sub-family A (ABC1), member 1	AA521292	MDA-MB-231 100nM
APOH	8.83	8.83	Apolipoprotein H (beta-2-glycoprotein I)	H68848	MDA-MB-231 100nM
ARPC1B	1.99	1.99	Actin related protein 2/3 complex, subunit 1B, 41kDa	AA188155	MDA-MB-231 100nM
ARRDC4	2.03	2.03	Arrestin domain containing 4	T59940	MDA-MB-231 100nM
ASNS	1.32	1.32	Asparagine synthetase	AA894927	MDA-MB-231 100nM
Bles03	1.87	1.87	Basophilic leukemia expressed protein BLES03	H03478	MDA-MB-231 100nM
C10orf42	1.10	1.10	Chromosome 10 open reading frame 42	AA884837	MDA-MB-231 100nM
C3orf57	2.94	2.94	Chromosome 3 open reading frame 57	BC037817	MDA-MB-231 100nM
CD3D	1.61	1.61	CD3D antigen, delta polypeptide (TiT3 complex)	AA055946	MDA-MB-231 100nM
CD47	1.48	1.48	CD47 antigen (Rh-related antigen, integrin-associated signal transducer)	AA455448	MDA-MB-231 100nM
CD69	1.38	1.38	CD69 antigen (p60, early T-cell activation antigen)	AA279883	MDA-MB-231 100nM
CDH1	0.71	-1.41	Cadherin 1, type 1, E-cadherin (epithelial)	H97778	MDA-MB-231 100nM
CKS2	1.12	1.12	CDC28 protein kinase regulatory subunit 2	AA010065	MDA-MB-231 100nM
CSF1	3.21	3.21	Colony stimulating factor 1 (macrophage)	AA878257	MDA-MB-231 100nM
CSPG2	0.85	-1.17	Chondroitin sulfate proteoglycan 2 (versican)	BM696244	MDA-MB-231 100nM
CSPG2	0.80	-1.25	Chondroitin sulfate proteoglycan 2 (versican)	AA101875	MDA-MB-231 100nM
CYR61	0.97	-1.03	Cysteine-rich, angiogenic inducer, 61	AA777187	MDA-MB-231 100nM
DCT	9.71	9.71	Dopachrome tautomerase (dopachrome delta-isomerase, tyrosine-related protein 2)	W56586	MDA-MB-231 100nM
DMWD	1.14	1.14	Dystrophia myotonica-containing WD repeat motif	AI001038	MDA-MB-231 100nM
EGFL7	0.67	-1.49	EGF-like-domain, multiple 7	AA449686	MDA-MB-231 100nM
EGR1	0.38	-2.61	Early growth response 1	AA486628	MDA-MB-231 100nM
ELMO1	2.02	2.02	Engulfment and cell motility 1	H17121	MDA-MB-231 100nM
ETV4	1.61	1.61	Ets variant gene 4 (E1A enhancer binding protein, E1AF)	AW411286	MDA-MB-231 100nM
FOLR1	3.05	3.05	Folate receptor 1 (adult)	BE900714	MDA-MB-231 100nM
FOLR1	1.41	1.41	Folate receptor 1 (adult)	R24635	MDA-MB-231 100nM
FREQ	0.91	-1.10	Frequenin homolog (Drosophila)	AA135929	MDA-MB-231 100nM
FXYD3	0.64	-1.56	FXYD domain containing ion transport regulator 3	AA126115	MDA-MB-231 100nM
GADD45A	1.14	1.14	Transcribed locus	AA147214	MDA-MB-231 100nM
GAGE2	3.44	3.44	G antigen 1	BG700165	MDA-MB-231 100nM
GALNT3	0.66	-1.53	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 3 (GalNAc-T3)	W40257	MDA-MB-231 100nM
GATA3	8.19	8.19	GATA binding protein 3	H72474	MDA-MB-231 100nM
HHEX	2.95	2.95	Homeobox, hematopoietically expressed	AI285592	MDA-MB-231 100nM
HIST1H2AC	2.81	2.81	Histone 1, H2ac	N50797	MDA-MB-231 100nM
HIST1H4B	1.81	1.81	Histone 1, H4b	AI218900	MDA-MB-231 100nM
HIST1H4C	1.34	1.34	Histone 1, H4c	AA868008	MDA-MB-231 100nM
HMGA1	1.81	1.81	High mobility group AT-hook 1	AA448261	MDA-MB-231 100nM
IL1RL1	1.75	1.75	Interleukin 1 receptor-like 1	AA128153	MDA-MB-231 100nM
IL32	2.04	2.04	Interleukin 32	N90140	MDA-MB-231 100nM
IL32	1.79	1.79	Interleukin 32	AA458965	MDA-MB-231 100nM
ITGB2	0.57	-1.74	Integrin, beta 2 (antigen CD18 (p95), lymphocyte function-associated antigen 1; macrophage antigen 1 (mac-1) beta subunit)	AW467461	MDA-MB-231 100nM
ITM2A	1.12	1.12	Integral membrane protein 2A	N53447	MDA-MB-231 100nM
KIAA0258	2.25	2.25	KIAA0258	BE263434	MDA-MB-231 100nM
KLF9	1.69	1.69	Kruppel-like factor 9	T63779	MDA-MB-231 100nM
KLRK1	1.86	1.86	Killer cell lectin-like receptor subfamily K, member 1	AA903175	MDA-MB-231 100nM
LAMA1	2.07	2.07	Laminin, alpha 1	AA062659	MDA-MB-231 100nM
LAMA4	1.27	1.27	Laminin, alpha 4	R43734	MDA-MB-231 100nM
LCP1	2.96	2.96	Lymphocyte cytosolic protein 1 (L-plastin)	W73144	MDA-MB-231 100nM
LENG4	1.23	1.23	Leukocyte receptor cluster (LRC) member 4	BF205852	MDA-MB-231 100nM
LOC286408	0.56	-1.80	Similar to putative UST1-like organic anion transporter	AI922061	MDA-MB-231 100nM
LUM	1.39	1.39	Lumican	AA453712	MDA-MB-231 100nM
MAF	1.98	1.98	V-maf musculoaponeurotic fibrosarcoma oncogene homolog (avian)	N34436	MDA-MB-231 100nM
MAP7	1.14	1.14	Microtubule-associated protein 7	AA488409	MDA-MB-231 100nM
MARCKSL1	1.44	1.44	MARCKS-like 1	AA961735	MDA-MB-231 100nM
MGST1	1.15	1.15	Microsomal glutathione S-transferase 1	AA495936	MDA-MB-231 100nM
MPDU1	1.86	1.86	Mannose-P-dolichol utilization deffect 1	AA421296	MDA-MB-231 100nM
MST1R	0.80	-1.25	Macrophage stimulating 1 receptor (c-met-related tyrosine kinase)	AA173453	MDA-MB-231 100nM
MSTP9	0.76	-1.32	Macrophage stimulating, pseudogene 9	AA707273	MDA-MB-231 100nM
